statement_id	record_unit_id	page	fresh_surfaces	atomic_lexeme_chain	atomic_card_count	fluent_statement_de	terminal_scope	roundtrip_match	separation_rule_de
B3-S001	B3	f83r	solkeedy	Langsammlung;	1	Sammle ihn lange	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B3-S002	B3	f83r	qotal chkeedy	Folgeziel → Langwärmen;	2	Führe ihn danach dorthin; Wärme ihn lange	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B3-S003	B3	f83r	dy daiin dy lchedy	dies → Sollmaß → dies → abführen;	4	Halte diesen Posten aktiv; Arbeite nach dem vorgeschriebenen Maß; Halte diesen Posten aktiv; Führe ihn ab	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B3-S004	B3	f83r	qokaiin otal dar	bemessen → Folgeziel → davon	3	Messe den Posten ab; Führe ihn danach dorthin; Nimm davon	NONCLOSE	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B3-S005	B3	f83r	schedy	überführen;	1	Führe den Posten über	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B3-S006	B3	f83r	chedchy okal olchedy	Postentransfer → Orteinsatz → weiterführen;	3	Führe den aktuellen Posten über; Setze ihn dort ein; Führe ihn weiter	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B3-S007	B3	f83r	qokaiin chedy qokeedy	bemessen → überführen → Langkontakt;	3	Messe den Posten ab; Führe den Posten über; Lass ihn lange einwirken	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B3-S008	B3	f83r	lchedy	abführen;	1	Führe ihn ab	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B3-S009	B3	f83r	qoky	einsetzen	1	Setze den Posten ein	NONCLOSE	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B3-S010	B3	f83r	pchedal otedy	Zielzuführung → Kurzfolge;	2	Führe ihn dem Ziel zu; Führe ihn kurz zum Folgeschritt weiter	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B3-S011	B3	f83r	shecthedchy choky chedy chary	Vorbereitungstransfer → einsetzen → überführen → Quellposten	4	Führe die vorbereitete Portion über; Setze den Posten ein; Führe den Posten über; Nimm den Posten aus der Quelle	NONCLOSE	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B3-S012	B3	f83r	sor tedy	Ansatz → Kurzabsetzung;	2	Verwende den Ansatz; Lass ihn kurz absetzen	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B3-S013	B3	f83r	qokaiin chkain qcthey qokedy	bemessen → Portion → Kurzvorbereitung → Kurzkontakt;	4	Messe den Posten ab; Nimm eine Portion; Bereite ihn kurz vor; Lass ihn kurz einwirken	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B3-S014	B3	f83r	okair sheedy	Laufeinsatz → Langabsetzen;	2	Setze ihn in den Lauf ein; Lass ihn lange absetzen	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B3-S015	B3	f83r	lchedy	abführen;	1	Führe ihn ab	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B3-S016	B3	f83r	lo okchedy	Abzug → Rücktransfer;	2	Ziehe ihn ab; Führe den vorigen Posten über	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B3-S017	B3	f83r	qokeedy	Langkontakt;	1	Lass ihn lange einwirken	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B3-S018	B3	f83r	tedy	Kurzabsetzung;	1	Lass ihn kurz absetzen	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B3-S019	B3	f83r	qokshedy	Einsatzabsetzen;	1	Lass ihn nach dem Einsatz absetzen	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B3-S020	B3	f83r	dal lchedy	dorthin → abführen;	2	Führe ihn dorthin; Führe ihn ab	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B3-S021	B3	f83r	qokaiin checthy dal dy saiin shedal shecthy dy dal checthy dalchdy	bemessen → bereit → dorthin → dies → Sollmaß → Zielabsetzung → Kurzvorbereitung → dies → dorthin → bereit → Zieltransfer;	11	Messe den Posten ab; Halte ihn bereit; Führe ihn dorthin; Halte diesen Posten aktiv; Arbeite nach dem vorgeschriebenen Maß; Lass ihn am Ziel absetzen; Bereite ihn kurz vor; Halte diesen Posten aktiv; Führe ihn dorthin; Halte ihn bereit; Führe ihn zum Ziel über	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B3-S022	B3	f83r	qotchedy	Folgetransfer;	1	Führe danach den nächsten Posten über	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B3-S023	B3	f83r	lchedy	abführen;	1	Führe ihn ab	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B3-S024	B3	f83r	schedy	überführen;	1	Führe den Posten über	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B3-S025	B3	f83r	qokchdy	Neueinsatz;	1	Setze einen neuen Posten ein	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B3-S026	B3	f83r	cheedar chldaiin chedy okain checthy chealror solkeedy	Quelltransfer → Sollabsetzung → überführen → Zugabe → bereit → Zielbereitung → Langsammlung;	7	Führe ihn von der Quelle über; Lass ihn bis zum Sollstand absetzen; Führe den Posten über; Gib einen Anteil zu; Halte ihn bereit; Stelle ihn am Zielgefäß bereit; Sammle ihn lange	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B3-S027	B3	f83r	qoteedy	Langfolgestufe;	1	Führe die lange Folgestufe aus	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B3-S028	B3	f83r	qokeey qokedy	Langkontakt → Kurzkontakt;	2	Lass ihn länger einwirken; Lass ihn kurz einwirken	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B3-S029	B3	f83r	qol cheeety qokedy	weiter → Vollteil → Kurzkontakt;	3	Arbeite weiter; Nimm den ganzen bezeichneten Teil; Lass ihn kurz einwirken	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B3-S030	B3	f83r	qoky daiin schedair otchedy	einsetzen → Sollmaß → Weiterlauf → Folgetransfer;	4	Setze den Posten ein; Arbeite nach dem vorgeschriebenen Maß; Führe ihn im Lauf weiter; Führe danach den nächsten Posten über	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B3-S031	B3	f83r	qokeedy	Langkontakt;	1	Lass ihn lange einwirken	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B3-S032	B3	f83r	chedain chedy qotedaiin otaiin otedy	Anteilstransfer → überführen → Kurzsoll → Folgemaß → Kurzfolge;	5	Führe einen Anteil über; Führe den Posten über; Halte die kurze Sollstufe ein; Arbeite danach nach dem nächsten Maß; Führe ihn kurz zum Folgeschritt weiter	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B3-S033	B3	f83r	ldy	abziehen;	1	Ziehe ihn ab	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B3-S034	B3	f83r	soiiin checthy chety otaiin olsaly tedy	Arbeitsstufe → bereit → Teil → Folgemaß → Zwischenziel → Kurzabsetzung;	6	Stelle die Arbeitsstufe ein; Halte ihn bereit; Nimm den bezeichneten Teil; Arbeite danach nach dem nächsten Maß; Führe zum Zwischenziel; Lass ihn kurz absetzen	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B4-S001	B4	f83r	qokeedy	Langkontakt;	1	Lass ihn lange einwirken	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B4-S002	B4	f83r	qolchey okeey qokedy	Weiterposten → Langkontakt → Kurzkontakt;	3	Nimm den nächsten Einsatzposten; Lass ihn länger einwirken; Lass ihn kurz einwirken	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B4-S003	B4	f83r	chedy otal otchey okeey choky cheol cheedy	überführen → Folgeziel → Folgeposten → Langkontakt → einsetzen → weiter → Kurzabsetzung;	7	Führe den Posten über; Führe ihn danach dorthin; Nimm das nächste; Lass ihn länger einwirken; Setze den Posten ein; Arbeite weiter; Lass ihn kurz absetzen	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B4-S004	B4	f83r	qokylddy	befestigen;	1	Befestige ihn	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B4-S005	B4	f83r	dain chedy qokeedy	Einlage → überführen → Langkontakt;	3	Lege die Einlage ein; Führe den Posten über; Lass ihn lange einwirken	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B4-S006	B4	f83r	shckhedy	durchlassen;	1	Lass ihn hindurch	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B4-S007	B4	f83r	shckhedy	durchlassen;	1	Lass ihn hindurch	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B4-S008	B4	f83r	saiin cheeky sheey qokedy	Sollmaß → Langbearbeitung → Langhalt → Kurzkontakt;	4	Arbeite nach dem vorgeschriebenen Maß; Bearbeite ihn länger; Halte ihn lange; Lass ihn kurz einwirken	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B4-S009	B4	f83r	cheedy	Kurzabsetzung;	1	Lass ihn kurz absetzen	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B4-S010	B4	f83r	oldy	fertig;	1	Beende den Arbeitsschritt	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B4-S011	B4	f83r	saiin cheky okeeol okain chedy sol lkedy	Sollmaß → Kurzwärme → Langfortsetzung → Zugabe → überführen → weiter → Weiterabzug;	7	Arbeite nach dem vorgeschriebenen Maß; Wärme ihn kurz; Setze den Gang lange fort; Gib einen Anteil zu; Führe den Posten über; Arbeite weiter; Ziehe ihn weiter ab	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B4-S012	B4	f83r	lchedy	abführen;	1	Führe ihn ab	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B4-S013	B4	f83r	qokol cheedy	Wiedereinsatz → Kurzabsetzung;	2	Setze den verbleibenden Posten erneut ein; Lass ihn kurz absetzen	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B4-S014	B4	f83r	sor chey qockhey dairydy	Ansatz → dies → Kurzdurchgang → Laufschluss;	4	Verwende den Ansatz; Halte diesen Posten aktiv; Führe ihn kurz hindurch; Schließe den Lauf ab	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B4-S015	B4	f83r	okain cheey chkain chckhal solkey lchedy	Zugabe → Klarlauf → Portion → Zielpassage → Kurzsammlung → abführen;	6	Gib einen Anteil zu; Nimm den klaren Ablauf; Nimm eine Portion; Führe ihn durch die Zielpassage; Sammle ihn kurz; Führe ihn ab	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B4-S016	B4	f83r	qolkain cheal skar cheedy	Folgeportion → dorthin → Quellausguss → Kurzabsetzung;	4	Nimm einen weiteren Anteil; Führe ihn dorthin; Gieße ihn von der Quellseite zu; Lass ihn kurz absetzen	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B5-S001	B5	f83r	otchdy	Nachtransfer;	1	Führe ihn danach über	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B5-S002	B5	f83r	qokchdy	Neueinsatz;	1	Setze einen neuen Posten ein	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B5-S003	B5	f83r	shedal sal sol lol chdal saiin sol daiiin chdy	Zielabsetzung → dorthin → weiter → Weiterabzug → Zieltransfer → Sollmaß → weiter → Endstufe → überführen	9	Lass ihn am Ziel absetzen; Führe ihn dorthin; Arbeite weiter; Ziehe ihn weiter ab; Führe ihn zum Ziel über; Arbeite nach dem vorgeschriebenen Maß; Arbeite weiter; Stelle die Endstufe ein; Führe den Posten über	NONCLOSE	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B6-S001	B6	f83r	solkeey qekey raly sol saiin sol dain sy ldalor	Langsammlung → Kurzbearbeitung → Endposten → weiter → Sollmaß → weiter → Einlage → dies → Endziel	9	Sammle ihn lange; Bearbeite ihn kurz; Nimm den Endposten; Arbeite weiter; Arbeite nach dem vorgeschriebenen Maß; Arbeite weiter; Lege die Einlage ein; Halte diesen Posten aktiv; Führe bis zum Endziel	NONCLOSE	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
