statement_id	page	record	event_count	local_events	motif_events	coarse_skeleton	counted_skeleton	exact_workshop_recipe	source_cards	reconstructed_cards	source_surface	reconstructed_surface	exact_roundtrip	minimal_reading_de
B2-S012	f82r	B2	8	6	2	LOCAL>FRAME>LOCAL	LOCAL5>FRAME[M01_ITEM_MEASURE_FRAME]>LOCAL1	LOCAL(PROC116|PROC031|PROC117|PROC092|PROC118)>FRAME[M01_ITEM_MEASURE_FRAME](PROC009|PROC019)>LOCAL(PROC119)	PROC116|PROC031|PROC117|PROC092|PROC118|PROC009|PROC019|PROC119	PROC116|PROC031|PROC117|PROC092|PROC118|PROC009|PROC019|PROC119	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	YES	WEITERLEITEN · ABNEHMEN · ARBEITSPOSTEN / HALTEN · LANG · ARBEITSPOSTEN / BEREIT · KURZ · ARBEITSPOSTEN / ANSETZEN · LANG · ARBEITSPOSTEN / WEITERLEITEN · LANG · ARBEITSPOSTEN / [LAUFENDER POSTEN IM SOLLMASS-RAHMEN] / ANSETZEN · VOLL; SCHLUSS
B3-S003	f83r	B3	4	1	3	FRAME>LOCAL	FRAME[M01_ITEM_MEASURE_FRAME]>LOCAL1	FRAME[M01_ITEM_MEASURE_FRAME](PROC019|PROC009|PROC019)>LOCAL(PROC120)	PROC019|PROC009|PROC019|PROC120	PROC019|PROC009|PROC019|PROC120	chey daiin chey lchedy	chey daiin chey lchedy	YES	[LAUFENDER POSTEN IM SOLLMASS-RAHMEN] / WEITERLEITEN · UMSETZEN; SCHLUSS
B3-S007	f83r	B3	3	1	2	LOCAL>CLOSE	LOCAL1>CLOSE[M07_TRANSFER_LONG_CLOSE]	LOCAL(PROC038)>CLOSE[M07_TRANSFER_LONG_CLOSE](PROC042|PROC100)	PROC038|PROC042|PROC100	PROC038|PROC042|PROC100	qokaiin chedy qokeedy	qokaiin chedy qokeedy	YES	ANSETZEN · SOLLMASS / [POSTEN UMSETZEN UND LANG ANSETZEN; SCHLUSS]
B3-S021	f83r	B3	11	9	2	LOCAL>FRAME>LOCAL	LOCAL3>FRAME[M01_ITEM_MEASURE_FRAME]>LOCAL6	LOCAL(PROC038|PROC014|PROC055)>FRAME[M01_ITEM_MEASURE_FRAME](PROC019|PROC009)>LOCAL(PROC142|PROC143|PROC019|PROC055|PROC014|PROC144)	PROC038|PROC014|PROC055|PROC019|PROC009|PROC142|PROC143|PROC019|PROC055|PROC014|PROC144	PROC038|PROC014|PROC055|PROC019|PROC009|PROC142|PROC143|PROC019|PROC055|PROC014|PROC144	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	YES	ANSETZEN · SOLLMASS / BEREIT · ARBEITSPOSTEN / ZIELSTELLE / [LAUFENDER POSTEN IM SOLLMASS-RAHMEN] / ABSETZEN · ZIELSTELLE / HALTEN · KURZ · BEREIT · ARBEITSPOSTEN / ARBEITSPOSTEN / ZIELSTELLE / BEREIT · ARBEITSPOSTEN / ZIELSTELLE · UMSETZEN; SCHLUSS
B3-S028	f83r	B3	2	0	2	BRANCH	BRANCH[M09_LONG_SET_BRANCH]	BRANCH[M09_LONG_SET_BRANCH](PROC092|PROC067)	PROC092|PROC067	PROC092|PROC067	qokeey qokedy	qokeey qokedy	YES	[NACH LANGEM ANSETZEN WEITERSETZEN ODER KURZ SCHLIESSEN]
B3-S030	f83r	B3	4	2	2	BINDER>LOCAL	BINDER[M02_SET_ITEM_MEASURE]>LOCAL2	BINDER[M02_SET_ITEM_MEASURE](PROC008|PROC009)>LOCAL(PROC150|PROC145)	PROC008|PROC009|PROC150|PROC145	PROC008|PROC009|PROC150|PROC145	qoky saiin schedair otchedy	qoky saiin schedair otchedy	YES	[POSTEN ANSETZEN, DANN SOLLMASS] / UMSETZEN · FLUESSIGKEITSLAUF / DANACH · UMSETZEN; SCHLUSS
B4-S002	f83r	B4	3	1	2	LOCAL>BRANCH	LOCAL1>BRANCH[M09_LONG_SET_BRANCH]	LOCAL(PROC154)>BRANCH[M09_LONG_SET_BRANCH](PROC092|PROC067)	PROC154|PROC092|PROC067	PROC154|PROC092|PROC067	qolchey qokeey qokedy	qolchey qokeey qokedy	YES	FORTSETZEN · ARBEITSPOSTEN / [NACH LANGEM ANSETZEN WEITERSETZEN ODER KURZ SCHLIESSEN]
B4-S003	f83r	B4	7	3	4	LOCAL>BRANCH>CLOSE	LOCAL3>BRANCH[M09_LONG_SET_BRANCH]>CLOSE[M04_CONTINUE_CLOSE]	LOCAL(PROC042|PROC131|PROC065)>BRANCH[M09_LONG_SET_BRANCH](PROC092|PROC008)>CLOSE[M04_CONTINUE_CLOSE](PROC013|PROC078)	PROC042|PROC131|PROC065|PROC092|PROC008|PROC013|PROC078	PROC042|PROC131|PROC065|PROC092|PROC008|PROC013|PROC078	chedy otal otchey qokeey qoky tol shedy	chedy otal otchey qokeey qoky tol shedy	YES	UMSETZEN · ARBEITSPOSTEN / DANACH · ZIELSTELLE / DANACH · ARBEITSPOSTEN / [NACH LANGEM ANSETZEN WEITERSETZEN ODER KURZ SCHLIESSEN] / [FORTSETZEN, ABSETZEN UND SCHLIESSEN]
B4-S005	f83r	B4	3	1	2	LOCAL>CLOSE	LOCAL1>CLOSE[M07_TRANSFER_LONG_CLOSE]	LOCAL(PROC156)>CLOSE[M07_TRANSFER_LONG_CLOSE](PROC042|PROC100)	PROC156|PROC042|PROC100	PROC156|PROC042|PROC100	dain chedy qokeedy	dain chedy qokeedy	YES	PORTION / [POSTEN UMSETZEN UND LANG ANSETZEN; SCHLUSS]
B4-S011	f83r	B4	7	5	2	LOCAL>BINDER>LOCAL	LOCAL4>BINDER[M06_FEED_CONTINUATION]>LOCAL1	LOCAL(PROC009|PROC083|PROC158|PROC080)>BINDER[M06_FEED_CONTINUATION](PROC042|PROC013)>LOCAL(PROC159)	PROC009|PROC083|PROC158|PROC080|PROC042|PROC013|PROC159	PROC009|PROC083|PROC158|PROC080|PROC042|PROC013|PROC159	saiin cheky okeeol okain chdy sol lkedy	saiin cheky okeeol okain chdy sol lkedy	YES	SOLLMASS / WAERMEN · KURZ · ARBEITSPOSTEN / ANSETZEN · LANG · FORTSETZEN / ANSETZEN · PORTION / [VORLAUF, ZIEL ODER UMSETZUNG IN DIE FORTSETZUNG FUEHREN] / WEITERLEITEN · ZUDOSIEREN · KURZ; SCHLUSS
B4-S014	f83r	B4	4	2	2	BINDER>LOCAL	BINDER[M03_PREPARATION_ITEM]>LOCAL2	BINDER[M03_PREPARATION_ITEM](PROC016|PROC019)>LOCAL(PROC161|PROC162)	PROC016|PROC019|PROC161|PROC162	PROC016|PROC019|PROC161|PROC162	or chey qockhey dairydy	or chey qockhey dairydy	YES	[ANSATZ AUF DEN LAUFENDEN POSTEN BEZIEHEN] / ARBEITSGANG · DURCHLASSKANAL · KURZ · ARBEITSPOSTEN / FLUESSIGKEITSLAUF · ARBEITSPOSTEN; SCHLUSS
B4-S016	f83r	B4	4	2	2	BINDER>LOCAL	BINDER[M08_PORTION_TARGET]>LOCAL2	BINDER[M08_PORTION_TARGET](PROC070|PROC055)>LOCAL(PROC165|PROC078)	PROC070|PROC055|PROC165|PROC078	PROC070|PROC055|PROC165|PROC078	qolkain dal skar shedy	qolkain dal skar shedy	YES	[PORTION ZUDOSIEREN UND AN DIE ZIELSTELLE GEBEN] / ZUDOSIEREN · VORRAT / ABSETZEN; SCHLUSS
B5-S003	f83r	B5	9	5	4	LOCAL>BINDER>LOCAL>BRIDGE>LOCAL	LOCAL1>BINDER[M06_FEED_CONTINUATION]>LOCAL2>BRIDGE[M05_MEASURE_CONTINUATION]>LOCAL2	LOCAL(PROC142)>BINDER[M06_FEED_CONTINUATION](PROC055|PROC013)>LOCAL(PROC167|PROC168)>BRIDGE[M05_MEASURE_CONTINUATION](PROC009|PROC013)>LOCAL(PROC169|PROC042)	PROC142|PROC055|PROC013|PROC167|PROC168|PROC009|PROC013|PROC169|PROC042	PROC142|PROC055|PROC013|PROC167|PROC168|PROC009|PROC013|PROC169|PROC042	shedal dal cheol lol chdal aiin sol daiiin chedy	shedal dal cheol lol chdal aiin sol daiiin chedy	YES	ABSETZEN · ZIELSTELLE / [VORLAUF, ZIEL ODER UMSETZUNG IN DIE FORTSETZUNG FUEHREN] / WEITERLEITEN · FORTSETZEN / UMSETZEN · ZIELSTELLE / [SOLLMASS UND FORTSETZUNG DIREKT KOPPELN] / ZWEITMARKER · ARBEITSSTUFE / UMSETZEN · ARBEITSPOSTEN
B6-S001	f83r	B6	9	7	2	LOCAL>BRIDGE>LOCAL	LOCAL3>BRIDGE[M05_MEASURE_CONTINUATION]>LOCAL4	LOCAL(PROC170|PROC171|PROC172)>BRIDGE[M05_MEASURE_CONTINUATION](PROC013|PROC009)>LOCAL(PROC013|PROC156|PROC019|PROC173)	PROC170|PROC171|PROC172|PROC013|PROC009|PROC013|PROC156|PROC019|PROC173	PROC170|PROC171|PROC172|PROC013|PROC009|PROC013|PROC156|PROC019|PROC173	solkeey qekey raly ol daiin ol dain chey ldalor	solkeey qekey raly ol daiin ol dain chey ldalor	YES	AUFFANGEN · LANG · ARBEITSPOSTEN / KURZ · ZUDOSIEREN · KURZ · ARBEITSPOSTEN / KUEHLEN · ZIELSTELLE · ARBEITSPOSTEN / [SOLLMASS UND FORTSETZUNG DIREKT KOPPELN] / FORTSETZEN / PORTION / ARBEITSPOSTEN / WEITERLEITEN · ZIELSTELLE · ANSATZ
