sheet_id	entry_no_within_sheet	record	page	locus	event_id	input_rule_surface	retain_tail	wrapper_stamp	output_surface	address_rule	instruction_de
RS06	6	B1	f81v	f81v.17	E128	chckhy	hckhy	s	shckhy	LOCUS_PLUS_INPUT_SURFACE	In f81v.17 bei chckhy den Stempel s setzen.
RS06	7	B1	f81v	f81v.21	E142	okey	okey	q	qokey	LOCUS_PLUS_INPUT_SURFACE	In f81v.21 bei okey den Stempel q setzen.
RS06	8	B1	f81v	f81v.21	E148	ol	ol	q	qol	LOCUS_PLUS_INPUT_SURFACE	In f81v.21 bei ol den Stempel q setzen.
RS06	9	B1	f81v	f81v.24	E153	qokeey	okeey	Ø	okeey	LOCUS_PLUS_INPUT_SURFACE	In f81v.24 bei qokeey den Stempel Ø setzen.
RS06	10	B1	f81v	f81v.24	E154	ol	ol	q	qol	LOCUS_PLUS_INPUT_SURFACE	In f81v.24 bei ol den Stempel q setzen.
RS06	11	B1	f81v	f81v.24	E155	shedy	edy	che	cheedy	LOCUS_PLUS_INPUT_SURFACE	In f81v.24 bei shedy den Stempel che setzen.
RS06	12	B1	f81v	f81v.24	E156	dal	al	s	sal	LOCUS_PLUS_INPUT_SURFACE	In f81v.24 bei dal den Stempel s setzen.
RS06	13	B1	f81v	f81v.27	E163	shedy	edy	t	tedy	LOCUS_PLUS_INPUT_SURFACE	In f81v.27 bei shedy den Stempel t setzen.
RS06	14	B1	f81v	f81v.27	E166	dal	al	ch	chal	LOCUS_PLUS_INPUT_SURFACE	In f81v.27 bei dal den Stempel ch setzen.
RS07	1	B2	f82r	f82r.2	E167	schedy	chedy	d	dchedy	LOCUS_PLUS_INPUT_SURFACE	In f82r.2 bei schedy den Stempel d setzen.
RS07	2	B2	f82r	f82r.2	E170	chey	y	d	dy	LOCUS_PLUS_INPUT_SURFACE	In f82r.2 bei chey den Stempel d setzen.
RS07	3	B2	f82r	f82r.7	E190	otaiin	otaiin	s	sotaiin	LOCUS_PLUS_INPUT_SURFACE	In f82r.7 bei otaiin den Stempel s setzen.
RS07	4	B2	f82r	f82r.19	E200	qokain	okain	Ø	okain	LOCUS_PLUS_INPUT_SURFACE	In f82r.19 bei qokain den Stempel Ø setzen.
RS07	5	B2	f82r	f82r.26	E214	dal	al	che	cheal	LOCUS_PLUS_INPUT_SURFACE	In f82r.26 bei dal den Stempel che setzen.
RS07	6	B2	f82r	f82r.26	E217	daiin	aiin	Ø	aiin	LOCUS_PLUS_INPUT_SURFACE	In f82r.26 bei daiin den Stempel Ø setzen.
RS08	1	B3	f83r	f83r.6	E242	qolchedy	olchedy	Ø	olchedy	LOCUS_PLUS_INPUT_SURFACE	In f83r.6 bei qolchedy den Stempel Ø setzen.
RS08	2	B3	f83r	f83r.11	E254	chor	or	s	sor	LOCUS_PLUS_INPUT_SURFACE	In f83r.11 bei chor den Stempel s setzen.
RS08	3	B3	f83r	f83r.11	E257	kain	kain	ch	chkain	LOCUS_PLUS_INPUT_SURFACE	In f83r.11 bei kain den Stempel ch setzen.
RS08	4	B3	f83r	f83r.11	E258	qcthey	cthey	sh	shcthey	LOCUS_PLUS_INPUT_SURFACE	In f83r.11 bei qcthey den Stempel sh setzen.
RS08	5	B3	f83r	f83r.14	E264	okchedy	okchedy	q	qokchedy	LOCUS_PLUS_INPUT_SURFACE	In f83r.14 bei okchedy den Stempel q setzen.
RS08	6	B3	f83r	f83r.14	E271	checthy	cthy	sh	shcthy	LOCUS_PLUS_INPUT_SURFACE	In f83r.14 bei checthy den Stempel sh setzen.
RS08	7	B3	f83r	f83r.14	E273	chey	y	s	sy	LOCUS_PLUS_INPUT_SURFACE	In f83r.14 bei chey den Stempel s setzen.
RS08	8	B3	f83r	f83r.15	E278	dal	al	t	tal	LOCUS_PLUS_INPUT_SURFACE	In f83r.15 bei dal den Stempel t setzen.
RS08	9	B3	f83r	f83r.15	E279	checthy	cthy	sh	shcthy	LOCUS_PLUS_INPUT_SURFACE	In f83r.15 bei checthy den Stempel sh setzen.
RS08	10	B3	f83r	f83r.15	E281	otchedy	otchedy	q	qotchedy	LOCUS_PLUS_INPUT_SURFACE	In f83r.15 bei otchedy den Stempel q setzen.
RS08	11	B3	f83r	f83r.16	E283	schedy	chedy	t	tchedy	LOCUS_PLUS_INPUT_SURFACE	In f83r.16 bei schedy den Stempel t setzen.
RS08	12	B3	f83r	f83r.20	E291	olkeedy	olkeedy	s	solkeedy	LOCUS_PLUS_INPUT_SURFACE	In f83r.20 bei olkeedy den Stempel s setzen.
RS08	13	B3	f83r	f83r.20	E299	daiin	aiin	s	saiin	LOCUS_PLUS_INPUT_SURFACE	In f83r.20 bei daiin den Stempel s setzen.
RS08	14	B3	f83r	f83r.24	E309	oiiin	oiiin	s	soiiin	LOCUS_PLUS_INPUT_SURFACE	In f83r.24 bei oiiin den Stempel s setzen.
RS08	15	B3	f83r	f83r.24	E311	chty	ty	che	chety	LOCUS_PLUS_INPUT_SURFACE	In f83r.24 bei chty den Stempel che setzen.
RS09	1	B4	f83r	f83r.25	E320	qotal	otal	Ø	otal	LOCUS_PLUS_INPUT_SURFACE	In f83r.25 bei qotal den Stempel Ø setzen.
RS09	2	B4	f83r	f83r.26	E324	ol	ol	t	tol	LOCUS_PLUS_INPUT_SURFACE	In f83r.26 bei ol den Stempel t setzen.
RS09	3	B4	f83r	f83r.35	E342	chedy	dy	ch	chdy	LOCUS_PLUS_INPUT_SURFACE	In f83r.35 bei chedy den Stempel ch setzen.
RS09	4	B4	f83r	f83r.41	E358	olkain	olkain	q	qolkain	LOCUS_PLUS_INPUT_SURFACE	In f83r.41 bei olkain den Stempel q setzen.
RS10	1	B5	f83r	f83r.48	E366	ol	ol	che	cheol	LOCUS_PLUS_INPUT_SURFACE	In f83r.48 bei ol den Stempel che setzen.
RS10	2	B5	f83r	f83r.48	E369	daiin	aiin	Ø	aiin	LOCUS_PLUS_INPUT_SURFACE	In f83r.48 bei daiin den Stempel Ø setzen.
RS11	1	B6	f83r	f83r.54	E377	saiin	aiin	d	daiin	LOCUS_PLUS_INPUT_SURFACE	In f83r.54 bei saiin den Stempel d setzen.
