event_serial	statement_id	record_unit_id	page	assigned_renderer	workshop_hand	master_card_id	semantic_atoms	actual_visible_surface	profile_preferred_surface	surface_match	learning_mode
94	H5-S005	H5	f56r	R-C	S-FLUSSHAND	MC034	HO	sho	sho	YES	MEMORIZE_RECURRENT_SECTION_CARD
95	H5-S005	H5	f56r	R-C	S-FLUSSHAND	MC103	OK+Y	chokchy	chokchy	YES	MEMORIZE_RECURRENT_SECTION_CARD
96	H5-S005	H5	f56r	R-C	S-FLUSSHAND	MC136	CHEO+AR	kchoar	kchoar	YES	COPY_SINGLETON_FROM_MASTER
97	H5-S005	H5	f56r	R-C	S-FLUSSHAND	MC068	OT+DAN	sotodan	sotodan	YES	COPY_SINGLETON_FROM_MASTER
98	H5-S006	H5	f56r	R-C	S-FLUSSHAND	MC171	OT+Y	otchey	otchey	YES	MEMORIZE_SHARED_17
99	H5-S006	H5	f56r	R-C	S-FLUSSHAND	MC104	E+OL	keol	keol	YES	COPY_SINGLETON_FROM_MASTER
100	H5-S006	H5	f56r	R-C	S-FLUSSHAND	MC039	AIIN	daiin	saiin	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17
101	B1-S001	B1	f81v	R-D	KURZHAND	MC083	OK+E+CLOSE	qokedy	qokedy	YES	MEMORIZE_RECURRENT_SECTION_CARD
102	B1-S002	B1	f81v	R-D	KURZHAND	MC120	OK+AIIN	okaiin	okaiin	YES	MEMORIZE_SHARED_17
103	B1-S002	B1	f81v	R-D	KURZHAND	MC023	AIR	kair	kair	YES	COPY_SINGLETON_FROM_MASTER
104	B1-S002	B1	f81v	R-D	KURZHAND	MC040	OK+AL	okal	okal	YES	MEMORIZE_SHARED_17
105	B1-S002	B1	f81v	R-D	KURZHAND	MC055	AR	sar	dar	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17
106	B1-S002	B1	f81v	R-D	KURZHAND	MC153	OL	ol	ol	YES	MEMORIZE_SHARED_17
107	B1-S002	B1	f81v	R-D	KURZHAND	MC105	AIN	kain	kain	YES	COPY_SINGLETON_FROM_MASTER
108	B1-S002	B1	f81v	R-D	KURZHAND	MC097	OL+AIN	olkain	olkain	YES	COPY_SINGLETON_FROM_MASTER
109	B1-S002	B1	f81v	R-D	KURZHAND	MC154	AL	al	al	YES	MEMORIZE_SHARED_17
110	B1-S002	B1	f81v	R-D	KURZHAND	MC153	OL	ol	ol	YES	MEMORIZE_SHARED_17
111	B1-S002	B1	f81v	R-D	KURZHAND	MC016	OL	rol	rol	YES	COPY_SINGLETON_FROM_MASTER
112	B1-S002	B1	f81v	R-D	KURZHAND	MC012	LOCAL_WHOLE	dl	dl	YES	MEMORIZE_RECURRENT_SECTION_CARD
113	B1-S002	B1	f81v	R-D	KURZHAND	MC157	OL+OR	olor	olor	YES	MEMORIZE_SHARED_17
114	B1-S002	B1	f81v	R-D	KURZHAND	MC153	OL	ol	ol	YES	MEMORIZE_SHARED_17
115	B1-S002	B1	f81v	R-D	KURZHAND	MC058	CKH+E+AL	sheckhal	sheckhal	YES	COPY_SINGLETON_FROM_MASTER
116	B1-S002	B1	f81v	R-D	KURZHAND	MC039	AIIN	daiin	aiin	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17
117	B1-S002	B1	f81v	R-D	KURZHAND	MC096	OK+EE+AL	qokeedal	qokeedal	YES	COPY_SINGLETON_FROM_MASTER
118	B1-S002	B1	f81v	R-D	KURZHAND	MC039	AIIN	daiin	aiin	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17
119	B1-S002	B1	f81v	R-D	KURZHAND	MC035	CKH+Y	chckhy	chckhy	YES	MEMORIZE_RECURRENT_SECTION_CARD
120	B1-S002	B1	f81v	R-D	KURZHAND	MC025	CHD+CLOSE	schedy	dchedy	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	COPY_SINGLETON_FROM_MASTER
121	B1-S003	B1	f81v	R-D	KURZHAND	MC153	OL	qol	ol	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17
122	B1-S003	B1	f81v	R-D	KURZHAND	MC061	SH+KCH+CHD+CLOSE	sshkchdy	sshkchdy	YES	COPY_SINGLETON_FROM_MASTER
123	B1-S004	B1	f81v	R-D	KURZHAND	MC074	CHD+Y	chedy	chdy	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17
124	B1-S004	B1	f81v	R-D	KURZHAND	MC153	OL	ol	ol	YES	MEMORIZE_SHARED_17
125	B1-S004	B1	f81v	R-D	KURZHAND	MC128	SHED+E+CLOSE	shedy	tedy	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_RECURRENT_SECTION_CARD
126	B1-S005	B1	f81v	R-D	KURZHAND	MC028	OL+CHD+CLOSE	qolchedy	olchedy	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	COPY_SINGLETON_FROM_MASTER
127	B1-S006	B1	f81v	R-D	KURZHAND	MC017	OK+AIN	qokain	okain	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	COPY_SINGLETON_FROM_MASTER
128	B1-S006	B1	f81v	R-D	KURZHAND	MC035	CKH+Y	shckhy	chckhy	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_RECURRENT_SECTION_CARD
129	B1-S006	B1	f81v	R-D	KURZHAND	MC012	LOCAL_WHOLE	dl	dl	YES	MEMORIZE_RECURRENT_SECTION_CARD
130	B1-S006	B1	f81v	R-D	KURZHAND	MC056	AL	ral	ral	YES	COPY_SINGLETON_FROM_MASTER
131	B1-S007	B1	f81v	R-D	KURZHAND	MC088	OK+CHD+CLOSE	qokchdy	qokchdy	YES	COPY_SINGLETON_FROM_MASTER
132	B1-S008	B1	f81v	R-D	KURZHAND	MC123	Y	chey	y	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17
133	B1-S008	B1	f81v	R-D	KURZHAND	MC153	OL	ol	ol	YES	MEMORIZE_SHARED_17
134	B1-S008	B1	f81v	R-D	KURZHAND	MC147	CHK+E+Y	cheky	cheky	YES	MEMORIZE_RECURRENT_SECTION_CARD
135	B1-S008	B1	f81v	R-D	KURZHAND	MC153	OL	ol	ol	YES	MEMORIZE_SHARED_17
136	B1-S008	B1	f81v	R-D	KURZHAND	MC128	SHED+E+CLOSE	shedy	tedy	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_RECURRENT_SECTION_CARD
137	B1-S009	B1	f81v	R-D	KURZHAND	MC083	OK+E+CLOSE	qokedy	qokedy	YES	MEMORIZE_RECURRENT_SECTION_CARD
138	B1-S010	B1	f81v	R-D	KURZHAND	MC083	OK+E+CLOSE	qokedy	qokedy	YES	MEMORIZE_RECURRENT_SECTION_CARD
139	B1-S011	B1	f81v	R-D	KURZHAND	MC035	CKH+Y	chckhy	chckhy	YES	MEMORIZE_RECURRENT_SECTION_CARD
140	B1-S011	B1	f81v	R-D	KURZHAND	MC026	OK+Y	qoky	oky	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17
141	B1-S012	B1	f81v	R-D	KURZHAND	MC130	WASH	lsho	lsho	YES	COPY_SINGLETON_FROM_MASTER
142	B1-S012	B1	f81v	R-D	KURZHAND	MC007	OK+E+Y	qokey	okey	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	COPY_SINGLETON_FROM_MASTER
143	B1-S012	B1	f81v	R-D	KURZHAND	MC038	WASH+CLOSE	lshedy	lshedy	YES	MEMORIZE_RECURRENT_SECTION_CARD
144	B1-S013	B1	f81v	R-D	KURZHAND	MC038	WASH+CLOSE	lshedy	lshedy	YES	MEMORIZE_RECURRENT_SECTION_CARD
145	B1-S014	B1	f81v	R-D	KURZHAND	MC074	CHD+Y	chedy	chdy	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17
146	B1-S014	B1	f81v	R-D	KURZHAND	MC134	OL	qolky	qolky	YES	COPY_SINGLETON_FROM_MASTER
147	B1-S014	B1	f81v	R-D	KURZHAND	MC051	L+CHD+AL	lchedal	lchedal	YES	COPY_SINGLETON_FROM_MASTER
148	B1-S014	B1	f81v	R-D	KURZHAND	MC153	OL	qol	ol	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17
149	B1-S014	B1	f81v	R-D	KURZHAND	MC121	OT+AR	otar	otar	YES	COPY_SINGLETON_FROM_MASTER
150	B1-S015	B1	f81v	R-D	KURZHAND	MC109	Y+E+TY	ytey	ytey	YES	COPY_SINGLETON_FROM_MASTER
151	B1-S015	B1	f81v	R-D	KURZHAND	MC005	OK+CHD+CLOSE	okchedy	okchedy	YES	COPY_SINGLETON_FROM_MASTER
152	B1-S016	B1	f81v	R-D	KURZHAND	MC040	OK+AL	qokal	okal	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17
153	B1-S016	B1	f81v	R-D	KURZHAND	MC002	OK+EE+Y	okeey	okeey	YES	COPY_SINGLETON_FROM_MASTER
154	B1-S016	B1	f81v	R-D	KURZHAND	MC153	OL	qol	ol	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17
155	B1-S016	B1	f81v	R-D	KURZHAND	MC128	SHED+E+CLOSE	cheedy	tedy	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_RECURRENT_SECTION_CARD
156	B1-S017	B1	f81v	R-D	KURZHAND	MC154	AL	sal	al	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17
157	B1-S017	B1	f81v	R-D	KURZHAND	MC106	E+OL	teol	teol	YES	COPY_SINGLETON_FROM_MASTER
158	B1-S017	B1	f81v	R-D	KURZHAND	MC139	CHD+CLOSE	dchdy	dchdy	YES	COPY_SINGLETON_FROM_MASTER
159	B1-S018	B1	f81v	R-D	KURZHAND	MC118	L+Y	ly	ly	YES	COPY_SINGLETON_FROM_MASTER
160	B1-S018	B1	f81v	R-D	KURZHAND	MC076	SH+E+OL	dsheol	dsheol	YES	COPY_SINGLETON_FROM_MASTER
161	B1-S018	B1	f81v	R-D	KURZHAND	MC033	IIN	oiiin	oiiin	YES	COPY_SINGLETON_FROM_MASTER
162	B1-S018	B1	f81v	R-D	KURZHAND	MC045	SOLK+EE+CLOSE	olkeedy	olkeedy	YES	COPY_SINGLETON_FROM_MASTER
163	B1-S019	B1	f81v	R-D	KURZHAND	MC128	SHED+E+CLOSE	tedy	tedy	YES	MEMORIZE_RECURRENT_SECTION_CARD
164	B1-S020	B1	f81v	R-D	KURZHAND	MC147	CHK+E+Y	cheky	cheky	YES	MEMORIZE_RECURRENT_SECTION_CARD
165	B1-S020	B1	f81v	R-D	KURZHAND	MC143	CKHE+CLOSE	shckhedy	shckhedy	YES	COPY_SINGLETON_FROM_MASTER
166	B1-S021	B1	f81v	R-D	KURZHAND	MC154	AL	chal	al	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17
167	B2-S001	B2	f82r	R-B	Q-EINTRITTSHAND	MC025	CHD+CLOSE	dchedy	dchedy	YES	MEMORIZE_RECURRENT_SECTION_CARD
168	B2-S002	B2	f82r	R-B	Q-EINTRITTSHAND	MC028	OL+CHD+CLOSE	qolchedy	qolchedy	YES	MEMORIZE_RECURRENT_SECTION_CARD
169	B2-S003	B2	f82r	R-B	Q-EINTRITTSHAND	MC017	OK+AIN	qokain	qokain	YES	MEMORIZE_RECURRENT_SECTION_CARD
170	B2-S003	B2	f82r	R-B	Q-EINTRITTSHAND	MC123	Y	dy	chey	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17
171	B2-S003	B2	f82r	R-B	Q-EINTRITTSHAND	MC082	OK+EE+CLOSE	qokeedy	qokeedy	YES	MEMORIZE_RECURRENT_SECTION_CARD
172	B2-S004	B2	f82r	R-B	Q-EINTRITTSHAND	MC040	OK+AL	qokal	qokal	YES	MEMORIZE_SHARED_17
173	B2-S004	B2	f82r	R-B	Q-EINTRITTSHAND	MC168	L+CKH+Y	lcheckhy	lcheckhy	YES	COPY_SINGLETON_FROM_MASTER
174	B2-S004	B2	f82r	R-B	Q-EINTRITTSHAND	MC127	L+CHD	lched	lched	YES	COPY_SINGLETON_FROM_MASTER
175	B2-S004	B2	f82r	R-B	Q-EINTRITTSHAND	MC002	OK+EE+Y	qokeey	qokeey	YES	MEMORIZE_RECURRENT_SECTION_CARD
176	B2-S004	B2	f82r	R-B	Q-EINTRITTSHAND	MC133	L+CKHE+CLOSE	lcheckhedy	lcheckhedy	YES	COPY_SINGLETON_FROM_MASTER
177	B2-S005	B2	f82r	R-B	Q-EINTRITTSHAND	MC054	OK+AL+Y	qokaly	qokaly	YES	COPY_SINGLETON_FROM_MASTER
178	B2-S005	B2	f82r	R-B	Q-EINTRITTSHAND	MC036	SOLK+AIIN	solkaiin	solkaiin	YES	COPY_SINGLETON_FROM_MASTER
179	B2-S005	B2	f82r	R-B	Q-EINTRITTSHAND	MC035	CKH+Y	chckhy	chckhy	YES	COPY_SINGLETON_FROM_MASTER
180	B2-S005	B2	f82r	R-B	Q-EINTRITTSHAND	MC120	OK+AIIN	qokaiin	qokaiin	YES	MEMORIZE_SHARED_17
181	B2-S005	B2	f82r	R-B	Q-EINTRITTSHAND	MC120	OK+AIIN	qokaiin	qokaiin	YES	MEMORIZE_SHARED_17
182	B2-S005	B2	f82r	R-B	Q-EINTRITTSHAND	MC112	CTH+OL	octheol	octheol	YES	COPY_SINGLETON_FROM_MASTER
