statement_id	record_unit_id	visible_owner	visible_sequence	layered_card_reading	fluent_owner_expansion_de	event_count	common_portable_count	local_common_axis_count	prose_extension_count	whole_or_local_count	r218_editorial_status	r218_owner_expansion_de	r221_literal_card_reading	r221_owner_expansion_de	r221_revision
H4-S002	H4	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	daiin chedy talam	[KERN:Sollwert] [KERN:überführen] [ACHSE:AL→Verwahrort]	Die Sollmenge überführen und am Verwahrort ablegen.	3	2	1	0	0	UNCHANGED	Die Sollmenge überführen und am Verwahrort ablegen.	Sollwert | überführen | Verwahrort	Die Sollmenge überführen und am Verwahrort ablegen.	UNCHANGED
H4-S003	H4	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	ykaiin cheoar cheeky oldy	[ACHSE:AIIN+Y→Sollportion] [ACHSE:AR+CHEO→Quellauszug] [ACHSE:Y+EE+CHK→länger bearbeiten] [KERN:Schluss]	Eine Sollportion aus dem Quellauszug nehmen, länger bearbeiten und fertigstellen.	4	1	3	0	0	UNCHANGED	Eine Sollportion aus dem Quellauszug nehmen, länger bearbeiten und fertigstellen.	Sollportion | Quellauszug | länger bearbeiten | Schluss	Sollportion aus dem Quellauszug nehmen und länger bearbeiten; Schluss.	RESULT_OR_CLOSE_REVISED
H4-S004	H4	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	aiin okal oltchy or y orain	[KERN:Sollwert] [KERN:dorthin einsetzen] [ACHSE:OL+Y+CTH→Folgebereitung] [KERN:Ansatz] [KERN:dies] [ACHSE:OR+AIN→Bereitungsanteil]	Das Sollmaß am Ziel einsetzen und aus diesem Ansatz mit dem Bereitungsanteil die Folgezubereitung bilden.	6	4	2	0	0	UNCHANGED	Das Sollmaß am Ziel einsetzen und aus diesem Ansatz mit dem Bereitungsanteil die Folgezubereitung bilden.	Sollwert | dorthin einsetzen | Folgebereitung | Ansatz | dies | Bereitungsanteil	Das Sollmaß am Ziel einsetzen und aus diesem Ansatz mit dem Bereitungsanteil die Folgezubereitung bilden.	UNCHANGED
H5-S001	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	chochor cho chodaly daiin sho kchol otchor choky dal	[ACHSE:OR+HO→Zugabeansatz] [PROSA:weitere Zutat] [ACHSE:AL+Y+HO→Zielzugabe] [KERN:Sollwert] [PROSA:weitere Zutat] [ACHSE:OL→weiter bearbeiten] [ACHSE:OT+OR→Folgeansatz] [KERN:einsetzen] [KERN:dorthin]	Einen Zugabeansatz herstellen, die weitere Zutat als Zielzugabe auf Sollmaß bringen, den Folgeansatz weiter bearbeiten, einsetzen und dorthin führen.	9	3	4	2	0	TIGHTENED	Zugabeansatz, weitere Zutat als Zielzugabe auf Sollwert, Folgeansatz weiterbearbeiten, einsetzen und dorthin führen.	Zugabeansatz | weitere Zutat | Zielzugabe | Sollwert | weitere Zutat | weiter bearbeiten | Folgeansatz | einsetzen | dorthin	Zugabeansatz, weitere Zutat als Zielzugabe auf Sollwert, Folgeansatz weiterbearbeiten, einsetzen und dorthin führen.	UNCHANGED
H5-S002	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	schol choy choky cheeckhody	[GANZKARTE:vom vorigen] [ACHSE:Y+HO→Zugabeposten] [KERN:einsetzen] [GANZKARTE:auftragen; Schluss]	Vom vorigen Ansatz den Zugabeposten nehmen, einsetzen und an der Zielstelle auftragen; Schluss.	4	1	1	0	2	UNCHANGED	Vom vorigen Ansatz den Zugabeposten nehmen, einsetzen und an der Zielstelle auftragen; Schluss.	vom vorigen | Zugabeposten | einsetzen | auftragen; Schluss	Vom vorigen Ansatz den Zugabeposten nehmen, einsetzen und an der Zielstelle auftragen; Schluss.	UNCHANGED
H5-S003	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	sh cho kchey qokokchy	[GANZKARTE:Stängel] [PROSA:weitere Zutat] [ACHSE:Y+E→Kurzbearbeitung] [ACHSE:OK+Y→erneut einsetzen]	Den Stängel und eine weitere Zutat kurz bearbeiten und erneut einsetzen.	4	0	2	1	1	UNCHANGED	Den Stängel und eine weitere Zutat kurz bearbeiten und erneut einsetzen.	Stängel | weitere Zutat | Kurzbearbeitung | erneut einsetzen	Den Stängel und eine weitere Zutat kurz bearbeiten und erneut einsetzen.	UNCHANGED
H5-S004	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	okchy chokcheo kchal	[ACHSE:OK+Y→weiterbearbeiten] [ACHSE:OK+CHEO→Auszug einsetzen] [ACHSE:AL→Zielbearbeitung]	Weiterbearbeiten, den Auszug einsetzen und an der Zielstelle verteilen.	3	0	3	0	0	UNCHANGED	Weiterbearbeiten, den Auszug einsetzen und an der Zielstelle verteilen.	weiterbearbeiten | Auszug einsetzen | Zielbearbeitung	Weiterbearbeiten, den Auszug einsetzen und an der Zielstelle verteilen.	UNCHANGED
H5-S005	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	sho chokchy kchoar sotodan	[PROSA:weitere Zutat] [ACHSE:OK+Y→weiterbearbeiten] [ACHSE:AR+CHEO→bearbeiteter Quellauszug] [ACHSE:OT→Folgeanwendung]	Eine weitere Zutat mit dem bearbeiteten Quellauszug weiterbearbeiten und die Folgeanwendung ausführen.	4	0	3	1	0	UNCHANGED	Eine weitere Zutat mit dem bearbeiteten Quellauszug weiterbearbeiten und die Folgeanwendung ausführen.	weitere Zutat | weiterbearbeiten | bearbeiteter Quellauszug | Folgeanwendung	Eine weitere Zutat mit dem bearbeiteten Quellauszug weiterbearbeiten und die Folgeanwendung ausführen.	UNCHANGED
H5-S006	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	otchey keol daiin	[KERN:das nächste] [ACHSE:OL+E→kurz weiterbearbeiten] [KERN:Sollwert]	Zum nächsten Posten wechseln, kurz weiterbearbeiten und auf Sollmaß bringen.	3	2	1	0	0	UNCHANGED	Zum nächsten Posten wechseln, kurz weiterbearbeiten und auf Sollmaß bringen.	das nächste | kurz weiterbearbeiten | Sollwert	Zum nächsten Posten wechseln, kurz weiterbearbeiten und auf Sollmaß bringen.	UNCHANGED
B1-S001	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	qokedy	[ACHSE:OK+DY+E→kurz einwirken; Schluss]	Kurz einwirken lassen; Schluss.	1	0	1	0	0	UNCHANGED	Kurz einwirken lassen; Schluss.	kurz einwirken; Schluss	Kurz einwirken lassen; Schluss.	UNCHANGED
B1-S002	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	[ACHSE:OK+AIIN→bemessen] [PROSA:Beckenlauf] [KERN:dorthin einsetzen] [KERN:davon] [KERN:weiter] [PROSA:Portion] [ACHSE:OL+AIN→weiterer Anteil] [KERN:dorthin] [KERN:weiter] [ACHSE:OL→Anschluss] [GANZKARTE:Zusatz] [KERN:derselbe Ansatz] [KERN:weiter] [ACHSE:AL+E+CKH→Kurze Zielpassage] [KERN:Sollwert] [ACHSE:OK+AL+EE→Langer Zieleinsatz] [KERN:Sollwert] [ACHSE:Y+CKH→durchleiten] [ACHSE:CHED~CHD→überführen; Schluss]	Eine Portion ansetzen, den Posten lang einwirken lassen und über den Fortsetzungsweg weitergeben.	19	9	7	2	1	UNCHANGED	Eine Portion ansetzen, den Posten lang einwirken lassen und über den Fortsetzungsweg weitergeben.	bemessen | Beckenlauf | dorthin einsetzen | davon | weiter | Portion | weiterer Anteil | dorthin | weiter | Anschluss | Zusatz | derselbe Ansatz | weiter | Kurze Zielpassage | Sollwert | Langer Zieleinsatz | Sollwert | durchleiten | überführen; Schluss	Eine Portion ansetzen, den Posten lang einwirken lassen und über den Fortsetzungsweg weitergeben.	UNCHANGED
B1-S003	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	qol sshkchdy	[KERN:weiter] [GANZKARTE:Haltetransfer; Schluss]	Weiterführen und haltend übertragen; Schluss.	2	1	0	0	1	UNCHANGED	Weiterführen und haltend übertragen; Schluss.	weiter | Haltetransfer; Schluss	Weiterführen und haltend übertragen; Schluss.	UNCHANGED
B1-S004	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	chedy ol shedy	[KERN:überführen] [KERN:weiter] [ACHSE:DY+E+SHED→kurz absetzen; Schluss]	Überführen, weiterführen und kurz absetzen lassen; Schluss.	3	2	1	0	0	UNCHANGED	Überführen, weiterführen und kurz absetzen lassen; Schluss.	überführen | weiter | kurz absetzen; Schluss	Überführen, weiterführen und kurz absetzen lassen; Schluss.	UNCHANGED
B1-S005	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	qolchedy	[ACHSE:OL+DY+CHED~CHD→weiterführen; Schluss]	Weiterführen; Schluss.	1	0	1	0	0	UNCHANGED	Weiterführen; Schluss.	weiterführen; Schluss	Weiterführen; Schluss.	UNCHANGED
B1-S006	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	qokain shckhy dl ral	[PROSA:Anteil zugeben] [ACHSE:Y+CKH→durchleiten] [GANZKARTE:Zusatz] [ACHSE:AL→Zielmarke]	Einen Anteil zugeben, durchleiten und den Zusatz an der Zielmarke halten.	4	0	2	1	1	UNCHANGED	Einen Anteil zugeben, durchleiten und den Zusatz an der Zielmarke halten.	Anteil zugeben | durchleiten | Zusatz | Zielmarke	Einen Anteil zugeben, durchleiten und den Zusatz an der Zielmarke halten.	UNCHANGED
B1-S007	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	qokchdy	[ACHSE:CHED~CHD→einführen; Schluss]	In die offene Zielstelle einführen; Schluss.	1	0	1	0	0	UNCHANGED	In die offene Zielstelle einführen; Schluss.	einführen; Schluss	In die offene Zielstelle einführen; Schluss.	UNCHANGED
B1-S008	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	chey ol cheky ol shedy	[KERN:dies] [KERN:weiter] [ACHSE:Y+E+CHK→kurz wärmen] [KERN:weiter] [ACHSE:DY+E+SHED→kurz absetzen; Schluss]	Diesen Posten weiterführen, kurz wärmen, nochmals weiterführen und kurz absetzen lassen; Schluss.	5	3	2	0	0	UNCHANGED	Diesen Posten weiterführen, kurz wärmen, nochmals weiterführen und kurz absetzen lassen; Schluss.	dies | weiter | kurz wärmen | weiter | kurz absetzen; Schluss	Diesen Posten weiterführen, kurz wärmen, nochmals weiterführen und kurz absetzen lassen; Schluss.	UNCHANGED
B1-S009	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	qokedy	[ACHSE:OK+DY+E→kurz einwirken; Schluss]	Kurz einwirken lassen; Schluss.	1	0	1	0	0	UNCHANGED	Kurz einwirken lassen; Schluss.	kurz einwirken; Schluss	Kurz einwirken lassen; Schluss.	UNCHANGED
B1-S010	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	qokedy	[ACHSE:OK+DY+E→kurz einwirken; Schluss]	Kurz einwirken lassen; Schluss.	1	0	1	0	0	UNCHANGED	Kurz einwirken lassen; Schluss.	kurz einwirken; Schluss	Kurz einwirken lassen; Schluss.	UNCHANGED
B1-S011	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	chckhy qoky	[ACHSE:Y+CKH→durchleiten] [KERN:einsetzen]	Durch den verbundenen Gang leiten und einsetzen.	2	1	1	0	0	UNCHANGED	Durch den verbundenen Gang leiten und einsetzen.	durchleiten | einsetzen	Durch den verbundenen Gang leiten und einsetzen.	UNCHANGED
B1-S012	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	lsho qokey lshedy	[PROSA:Waschgang] [ACHSE:OK+Y+E→kurz einwirken] [ACHSE:DY+LSH→Waschgang; Schluss]	Waschen, kurz einwirken lassen und nochmals waschen; Schluss.	3	0	2	1	0	UNCHANGED	Waschen, kurz einwirken lassen und nochmals waschen; Schluss.	Waschgang | kurz einwirken | Waschgang; Schluss	Waschen, kurz einwirken lassen und nochmals waschen; Schluss.	UNCHANGED
B1-S013	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	lshedy	[ACHSE:DY+LSH→Waschgang; Schluss]	Einen Waschgang ausführen; Schluss.	1	0	1	0	0	UNCHANGED	Einen Waschgang ausführen; Schluss.	Waschgang; Schluss	Einen Waschgang ausführen; Schluss.	UNCHANGED
B1-S014	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	chedy qolky lchedal qol otar	[KERN:überführen] [ACHSE:OL→Weiterweg] [ACHSE:AL+CHED~CHD+L→Zielabführung] [KERN:weiter] [ACHSE:OT+AR→Folgequelle]	Überführen, über den Weiterweg an der Zielstelle abführen und zur Folgequelle weitergehen.	5	2	3	0	0	UNCHANGED	Überführen, über den Weiterweg an der Zielstelle abführen und zur Folgequelle weitergehen.	überführen | Weiterweg | Zielabführung | weiter | Folgequelle	Überführen, über den Weiterweg an der Zielstelle abführen und zur Folgequelle weitergehen.	UNCHANGED
B1-S015	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	ytey okchedy	[GANZKARTE:Kurzteil] [ACHSE:CHED~CHD→einführen; Schluss]	Den kurzen Teil aus der eben gesetzten Quelle einführen; Schluss.	2	0	1	0	1	UNCHANGED	Den kurzen Teil aus der eben gesetzten Quelle einführen; Schluss.	Kurzteil | einführen; Schluss	Den kurzen Teil aus der eben gesetzten Quelle einführen; Schluss.	UNCHANGED
B1-S016	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	qokal okeey qol cheedy	[KERN:dorthin einsetzen] [ACHSE:OK+Y+EE→lange einwirken] [KERN:weiter] [ACHSE:DY+E+SHED→kurz absetzen; Schluss]	Am Ziel einsetzen, länger einwirken lassen, weiterführen und kurz absetzen lassen; Schluss.	4	2	2	0	0	UNCHANGED	Am Ziel einsetzen, länger einwirken lassen, weiterführen und kurz absetzen lassen; Schluss.	dorthin einsetzen | lange einwirken | weiter | kurz absetzen; Schluss	Am Ziel einsetzen, länger einwirken lassen, weiterführen und kurz absetzen lassen; Schluss.	UNCHANGED
B1-S017	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	sal teol dchdy	[KERN:dorthin] [ACHSE:OL+E→kurz weiterführen] [ACHSE:CHED~CHD→Transfer; Schluss]	Dorthin bringen, kurz weiterführen und übertragen; Schluss.	3	1	2	0	0	UNCHANGED	Dorthin bringen, kurz weiterführen und übertragen; Schluss.	dorthin | kurz weiterführen | Transfer; Schluss	Dorthin bringen, kurz weiterführen und übertragen; Schluss.	UNCHANGED
B1-S018	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	ly dsheol oiiin olkeedy	[GANZKARTE:Auffanggefäß] [ACHSE:OL+E→Kurzhalt] [PROSA:Arbeitsstufe] [PROSA:lange sammeln; Schluss]	Im Auffanggefäß kurz halten, die Arbeitsstufe setzen und länger auffangen; Schluss.	4	0	1	2	1	UNCHANGED	Im Auffanggefäß kurz halten, die Arbeitsstufe setzen und länger auffangen; Schluss.	Auffanggefäß | Kurzhalt | Arbeitsstufe | lange sammeln; Schluss	Im Auffanggefäß kurz halten, die Arbeitsstufe setzen und länger auffangen; Schluss.	UNCHANGED
B1-S019	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	tedy	[ACHSE:DY+E+SHED→kurz absetzen; Schluss]	Kurz absetzen lassen; Schluss.	1	0	1	0	0	UNCHANGED	Kurz absetzen lassen; Schluss.	kurz absetzen; Schluss	Kurz absetzen lassen; Schluss.	UNCHANGED
B1-S020	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	cheky shckhedy	[ACHSE:Y+E+CHK→kurz wärmen] [PROSA:durchlassen; Schluss]	Kurz wärmen und durchlassen; Schluss.	2	0	1	1	0	UNCHANGED	Kurz wärmen und durchlassen; Schluss.	kurz wärmen | durchlassen; Schluss	Kurz wärmen und durchlassen; Schluss.	UNCHANGED
B1-S021	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	chal	[KERN:dorthin]	Dorthin bringen.	1	1	0	0	0	UNCHANGED	Dorthin bringen.	dorthin	Dorthin bringen.	UNCHANGED
B2-S001	B2	obere Paarbecken-/Zylinderstation	dchedy	[ACHSE:CHED~CHD→überführen; Schluss]	In die obere Paarbeckenstation überführen; Schluss.	1	0	1	0	0	UNCHANGED	In die obere Paarbeckenstation überführen; Schluss.	überführen; Schluss	In die obere Paarbeckenstation überführen; Schluss.	UNCHANGED
B2-S002	B2	obere Paarbecken-/Zylinderstation	qolchedy	[ACHSE:OL+DY+CHED~CHD→weiterführen; Schluss]	Durch die obere Station weiterführen; Schluss.	1	0	1	0	0	UNCHANGED	Durch die obere Station weiterführen; Schluss.	weiterführen; Schluss	Durch die obere Station weiterführen; Schluss.	UNCHANGED
B2-S003	B2	obere Paarbecken-/Zylinderstation	qokain dy qokeedy	[PROSA:Anteil zugeben] [KERN:dies] [ACHSE:OK+DY+EE→lange einwirken; Schluss]	Einen Anteil zugeben, diesen Posten länger einwirken lassen; Schluss.	3	1	1	1	0	UNCHANGED	Einen Anteil zugeben, diesen Posten länger einwirken lassen; Schluss.	Anteil zugeben | dies | lange einwirken; Schluss	Einen Anteil zugeben, diesen Posten länger einwirken lassen; Schluss.	UNCHANGED
B2-S004	B2	obere Paarbecken-/Zylinderstation	qokal lcheckhy lched qokeey lcheckhedy	[KERN:dorthin einsetzen] [ACHSE:Y+L+CKH→Abführpassage] [ACHSE:CHED~CHD+L→Abführung] [ACHSE:OK+Y+EE→lange einwirken] [PROSA:Trennabzug; Schluss]	Am Ziel einsetzen, durch die Abführpassage führen, abführen, länger einwirken lassen und getrennt abziehen; Schluss.	5	1	3	1	0	TIGHTENED	Am Ziel einsetzen, durchleiten, abführen, länger einwirken und getrennt abziehen; Schluss.	dorthin einsetzen | Abführpassage | Abführung | lange einwirken | Trennabzug; Schluss	Am Ziel einsetzen, durchleiten, abführen, länger einwirken und getrennt abziehen; Schluss.	UNCHANGED
B2-S005	B2	obere Paarbecken-/Zylinderstation	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	[ACHSE:OK+AL+Y→Zieleinsatz] [ACHSE:AIIN+SOLK→Sollsammlung] [ACHSE:Y+CKH→durchleiten] [ACHSE:OK+AIIN→bemessen] [ACHSE:OK+AIIN→bemessen] [ACHSE:OL+CTH→Fortsetzung vorbereiten] [ACHSE:Y+EE+CHK→Langwärmen] [ACHSE:DY+L→abziehen; Schluss]	Am Ziel einsetzen, bis zum Soll sammeln, durchleiten, am Zeilenübergang einmal bemessen, die Fortsetzung vorbereiten, länger wärmen und abziehen; Schluss.	8	0	8	0	0	TIGHTENED	Am Ziel einsetzen, bis zum Soll sammeln, durchleiten, zweimal bemessen, die Fortsetzung vorbereiten, länger wärmen und abziehen; Schluss.	Zieleinsatz | Sollsammlung | durchleiten | bemessen | bemessen | Fortsetzung vorbereiten | Langwärmen | abziehen; Schluss	Am Ziel einsetzen, bis zum Soll sammeln, durchleiten, zweimal bemessen, die Fortsetzung vorbereiten, länger wärmen und abziehen; Schluss.	UNCHANGED
B2-S006	B2	obere Paarbecken-/Zylinderstation	oteey qokal sheckhy qoky	[ACHSE:OT+Y+EE→Langfolge] [KERN:dorthin einsetzen] [ACHSE:Y+E+CKH→Kurzpassage] [KERN:einsetzen]	Die lange Folge ausführen, dorthin einsetzen, durch die kurze Passage führen und einsetzen.	4	2	2	0	0	UNCHANGED	Die lange Folge ausführen, dorthin einsetzen, durch die kurze Passage führen und einsetzen.	Langfolge | dorthin einsetzen | Kurzpassage | einsetzen	Die lange Folge ausführen, dorthin einsetzen, durch die kurze Passage führen und einsetzen.	UNCHANGED
B2-S007	B2	mittlere linke Geräte-/Inline-Knotenstation	dshedy	[GANZKARTE:Frischwasser zugeben; Schluss]	An der mittleren linken Knotenstation Frischwasser zugeben; Schluss.	1	0	0	0	1	UNCHANGED	An der mittleren linken Knotenstation Frischwasser zugeben; Schluss.	Frischwasser zugeben; Schluss	An der mittleren linken Knotenstation Frischwasser zugeben; Schluss.	UNCHANGED
