grammar	paragraph	mention	form	patient	patient_form	axis	value	status	operations	new_input_order	raw_line	row_status
J	f24r|f24r.1-f24r.20	f24r.2:5	oky	f24r.2:2	char	thermal	warm	NOT_DIRECT_PRECEDING_MATERIAL			qotaiin char odaiin okai{ikh}al oky	recorded
J	f24r|f24r.1-f24r.20	f24r.17:5	oky	f24r.17:3	sham	thermal	warm	NOT_DIRECT_PRECEDING_MATERIAL			sshey otam sham cthoj oky	recorded
M	f24r|f24r.1-f24r.20	f24r.2:5	oky	f24r.2:2	char	thermal	warm	NOT_DIRECT_PRECEDING_MATERIAL			qotaiin char odaiin okai{ikh}al oky	recorded
M	f24r|f24r.1-f24r.20	f24r.17:5	oky	f24r.17:3	sham	thermal	warm	NOT_DIRECT_PRECEDING_MATERIAL			sshey otam sham cthoj oky	recorded
B	f45v|f45v.5-f45v.11	f45v.5:5	oty	f45v.5:1	qotol	thermal	cold	NOT_DIRECT_PRECEDING_MATERIAL			qotol choiin okchar dar oty shoto dol py otytam	recorded
B	f45v|f45v.5-f45v.11	f45v.10:3	oky			thermal	warm	MISSING_PATIENT			dshor otshy oky tsholol ytchord	recorded
J	f45v|f45v.5-f45v.11	f45v.5:5	oty	f45v.5:1	qotol	thermal	cold	NOT_DIRECT_PRECEDING_MATERIAL			qotol choiin okchar dar oty shoto dol py otytam	recorded
J	f45v|f45v.5-f45v.11	f45v.10:3	oky			thermal	warm	MISSING_PATIENT			dshor otshy oky tsholol ytchord	recorded
M	f45v|f45v.5-f45v.11	f45v.5:5	oty	f45v.5:1	qotol	thermal	cold	NOT_DIRECT_PRECEDING_MATERIAL			qotol choiin okchar dar oty shoto dol py otytam	recorded
M	f45v|f45v.5-f45v.11	f45v.10:3	oky			thermal	warm	MISSING_PATIENT			dshor otshy oky tsholol ytchord	recorded
B	f86v5|f86v5.18-f86v5.25	f86v5.19:6	oty	f86v5.18:8	ody	thermal	cold	NOT_DIRECT_PRECEDING_MATERIAL			ycheeytydaiin ykeeo chey shckhy shoky oty oty otain olkchdy	recorded
B	f86v5|f86v5.18-f86v5.25	f86v5.19:7	oty	f86v5.18:8	ody	thermal	cold	NOT_DIRECT_PRECEDING_MATERIAL			ycheeytydaiin ykeeo chey shckhy shoky oty oty otain olkchdy	recorded
J	f86v5|f86v5.18-f86v5.25	f86v5.19:6	oty	f86v5.18:8	ody	thermal	cold	NOT_DIRECT_PRECEDING_MATERIAL			ycheeytydaiin ykeeo chey shckhy shoky oty oty otain olkchdy	recorded
J	f86v5|f86v5.18-f86v5.25	f86v5.19:7	oty	f86v5.18:8	ody	thermal	cold	NOT_DIRECT_PRECEDING_MATERIAL			ycheeytydaiin ykeeo chey shckhy shoky oty oty otain olkchdy	recorded
M	f86v5|f86v5.18-f86v5.25	f86v5.19:6	oty	f86v5.18:8	ody	thermal	cold	NOT_DIRECT_PRECEDING_MATERIAL			ycheeytydaiin ykeeo chey shckhy shoky oty oty otain olkchdy	recorded
M	f86v5|f86v5.18-f86v5.25	f86v5.19:7	oty	f86v5.18:8	ody	thermal	cold	NOT_DIRECT_PRECEDING_MATERIAL			ycheeytydaiin ykeeo chey shckhy shoky oty oty otain olkchdy	recorded
B	f93r|f93r.1-f93r.32	f93r.7:2	shol	f93r.7:1	shor	moisture	wet	NO_PRECEDING_ACTION_ON_POSTPOSED_MATERIAL			shor shol ody cheodaiin s	recorded
B	f93r|f93r.1-f93r.32	f93r.19:2	shol	f93r.19:1	tchor	moisture	wet	NO_PRECEDING_ACTION_ON_POSTPOSED_MATERIAL			tchor shol r sheoky	recorded
B	f93r|f93r.1-f93r.32	f93r.21:2	shol			moisture	wet	MISSING_PATIENT			dol shol daiin shcthy	recorded
J	f93r|f93r.1-f93r.32	f93r.7:2	shol	f93r.7:1	shor	moisture	wet	NO_PRECEDING_ACTION_ON_POSTPOSED_MATERIAL			shor shol ody cheodaiin s	recorded
J	f93r|f93r.1-f93r.32	f93r.19:2	shol	f93r.19:1	tchor	moisture	wet	NO_PRECEDING_ACTION_ON_POSTPOSED_MATERIAL			tchor shol r sheoky	recorded
J	f93r|f93r.1-f93r.32	f93r.21:2	shol			moisture	wet	MISSING_PATIENT			dol shol daiin shcthy	recorded
M	f93r|f93r.1-f93r.32	f93r.7:2	shol	f93r.7:1	shor	moisture	wet	NO_PRECEDING_ACTION_ON_POSTPOSED_MATERIAL			shor shol ody cheodaiin s	recorded
M	f93r|f93r.1-f93r.32	f93r.19:2	shol	f93r.19:1	tchor	moisture	wet	NO_PRECEDING_ACTION_ON_POSTPOSED_MATERIAL			tchor shol r sheoky	recorded
M	f93r|f93r.1-f93r.32	f93r.21:2	shol			moisture	wet	MISSING_PATIENT			dol shol daiin shcthy	recorded
B	f102v2|f102v2.30-f102v2.39	f102v2.32:8	oky	f102v2.32:4	okeol	thermal	warm	NOT_DIRECT_PRECEDING_MATERIAL			dar cheor shoar okeol shoy s ar oky cheeor ol daiin sy	recorded
B	f102v2|f102v2.30-f102v2.39	f102v2.34:7	okey			thermal	warm	MISSING_PATIENT			sorshey okeeor sheockhey qokeos okchol ctheor okey sal	recorded
B	f102v2|f102v2.30-f102v2.39	f102v2.35:8	teody	f102v2.35:7	cheo	thermal	cold	NO_PRECEDING_ACTION_ON_POSTPOSED_MATERIAL			ychor sheol por sheeor shekeey qoky cheo teody qokeol daiin	recorded
B	f102v2|f102v2.30-f102v2.39	f102v2.36:6	okey	f102v2.35:9	qokeol	thermal	warm	NOT_DIRECT_PRECEDING_MATERIAL			okeeor cheey okeey sor eeey okey okey okeey qokeor	recorded
B	f102v2|f102v2.30-f102v2.39	f102v2.36:7	okey	f102v2.35:9	qokeol	thermal	warm	NOT_DIRECT_PRECEDING_MATERIAL			okeeor cheey okeey sor eeey okey okey okeey qokeor	recorded
B	f102v2|f102v2.30-f102v2.39	f102v2.38:5	okey	f102v2.38:7	sho	thermal	warm	NOT_DIRECT_PRECEDING_MATERIAL	f102v2.38:4		dar cheey ckheey qokeor okey chos sho ykeey okeeo ra[in:i?]	recorded
J	f102v2|f102v2.30-f102v2.39	f102v2.32:8	oky	f102v2.32:4	okeol	thermal	warm	NOT_DIRECT_PRECEDING_MATERIAL			dar cheor shoar okeol shoy s ar oky cheeor ol daiin sy	recorded
J	f102v2|f102v2.30-f102v2.39	f102v2.34:7	okey			thermal	warm	MISSING_PATIENT			sorshey okeeor sheockhey qokeos okchol ctheor okey sal	recorded
J	f102v2|f102v2.30-f102v2.39	f102v2.35:8	teody	f102v2.35:7	cheo	thermal	cold	ELIGIBLE	f102v2.35:5;f102v2.35:6	56	ychor sheol por sheeor shekeey qoky cheo teody qokeol daiin	recorded
J	f102v2|f102v2.30-f102v2.39	f102v2.36:6	okey	f102v2.35:9	qokeol	thermal	warm	NOT_DIRECT_PRECEDING_MATERIAL			okeeor cheey okeey sor eeey okey okey okeey qokeor	recorded
J	f102v2|f102v2.30-f102v2.39	f102v2.36:7	okey	f102v2.35:9	qokeol	thermal	warm	NOT_DIRECT_PRECEDING_MATERIAL			okeeor cheey okeey sor eeey okey okey okeey qokeor	recorded
J	f102v2|f102v2.30-f102v2.39	f102v2.38:5	okey	f102v2.38:7	sho	thermal	warm	NOT_DIRECT_PRECEDING_MATERIAL	f102v2.38:4		dar cheey ckheey qokeor okey chos sho ykeey okeeo ra[in:i?]	recorded
M	f102v2|f102v2.30-f102v2.39	f102v2.32:8	oky	f102v2.32:4	okeol	thermal	warm	NOT_DIRECT_PRECEDING_MATERIAL			dar cheor shoar okeol shoy s ar oky cheeor ol daiin sy	recorded
M	f102v2|f102v2.30-f102v2.39	f102v2.34:7	okey			thermal	warm	MISSING_PATIENT			sorshey okeeor sheockhey qokeos okchol ctheor okey sal	recorded
M	f102v2|f102v2.30-f102v2.39	f102v2.35:8	teody	f102v2.35:7	cheo	thermal	cold	ELIGIBLE	f102v2.35:5;f102v2.35:6	56	ychor sheol por sheeor shekeey qoky cheo teody qokeol daiin	recorded
M	f102v2|f102v2.30-f102v2.39	f102v2.36:6	okey	f102v2.35:9	qokeol	thermal	warm	NOT_DIRECT_PRECEDING_MATERIAL			okeeor cheey okeey sor eeey okey okey okeey qokeor	recorded
M	f102v2|f102v2.30-f102v2.39	f102v2.36:7	okey	f102v2.35:9	qokeol	thermal	warm	NOT_DIRECT_PRECEDING_MATERIAL			okeeor cheey okeey sor eeey okey okey okeey qokeor	recorded
M	f102v2|f102v2.30-f102v2.39	f102v2.38:5	okey	f102v2.38:7	sho	thermal	warm	NOT_DIRECT_PRECEDING_MATERIAL	f102v2.38:4		dar cheey ckheey qokeor okey chos sho ykeey okeeo ra[in:i?]	recorded
B	f106r|f106r.8-f106r.9	f106r.8:9	qoteedy			thermal	cold	MISSING_PATIENT			porarchy orar ol kaiin shedy oteedy qotor qoteedo qoteedy dair ok[ch:ee]daim	recorded
J	f106r|f106r.8-f106r.9	f106r.8:9	qoteedy			thermal	cold	MISSING_PATIENT			porarchy orar ol kaiin shedy oteedy qotor qoteedo qoteedy dair ok[ch:ee]daim	recorded
M	f106r|f106r.8-f106r.9	f106r.8:9	qoteedy			thermal	cold	MISSING_PATIENT			porarchy orar ol kaiin shedy oteedy qotor qoteedo qoteedy dair ok[ch:ee]daim	recorded
