sequence	statement_id	record_id	page	statement_ordinal	entry_boundary	exit_boundary	visible_owner_pre	visible_owner_operation	visible_owner_post	owner_break_inside_statement	active_pre	active_operation	active_post	target_pre	target_operation	target_post	previous_pre	previous_operation	previous_post	memory_slots_filled_pre	memory_slots_filled_post	visible_card_cues	surface_sequence	atom_sequence	macro_program	literal_card_reading_de	expanded_workshop_reading_de	scribe_memory_instruction_de
11	H4-S002	H4	f55v	2	WITHIN_LOCUS_FIELD_BOUNDARY	START_NEW_CLAUSE	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	MITFÜHREN	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	NO	H4:I001	CARRY	H4:I001	LEER	INTRODUCE	H4:T001	LEER	CARRY	LEER	2	3	ZIEL_SICHTBAR|AKTUELLER_POSTEN|SOLLWERT	daiin chedy talam	AIIN | CHD+Y | AL+AM	SINGLE_TRANSFER[H4-S002-U01] | SINGLE_STORE[H4-S002-U02]	Sollmaß; laufenden Posten umsetzen; am Ziel verwahren	Miss eine Portion des Ansatzes ab. Wring sie durch Leinwand und lass sie klar absetzen. Verwahre den klaren Auszug; damit endet der Posten.	Besitzer mitführen: WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT; Posten carry: H4:I001; Ziel introduce: H4:T001; Voriges carry: LEER.
12	H4-S003	H4	f55v	3	START_NEW_CLAUSE	WITHIN_LOCUS_FIELD_BOUNDARY	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	MITFÜHREN	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	NO	H4:I001	INTRODUCE	H4:I002	H4:T001	RESET	LEER	LEER	INTRODUCE	H4:I001	3	3	FORTSETZEN|QUELLE_SICHTBAR|AKTUELLER_POSTEN|SOLLWERT|ZELLE_SCHLIESSEN	ykaiin cheoar cheeky oldy	Y+AIIN | CHEO+AR | CHK+EE+Y | OL+CLOSE	M18[H4-S003-U01+H4-S003-U02]	Postenmaß; Auszug entnehmen; länger erwärmen und offen halten; Fortsetzung abschließen	Wasche damit eine unreine äußere Wunde. Verwende dazu den klaren Auszug. Einmal oder nach örtlicher Vorschrift. Beende diesen Gebrauch.	Besitzer mitführen: WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT; Posten introduce: H4:I002; Ziel reset: LEER; Voriges introduce: H4:I001.
13	H4-S004	H4	f55v	4	WITHIN_LOCUS_FIELD_BOUNDARY	RECORD_END	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	MITFÜHREN	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	NO	H4:I002	RESUME	H4:I002	LEER	CARRY	LEER	H4:I001	CARRY	H4:I001	3	3	FORTSETZEN|ZIEL_SICHTBAR|AKTUELLER_POSTEN|SOLLWERT|PORTION	aiin okal oltchy or y orain	AIIN | OK+AL | OL+CTH+Y | OR | Y | OR+AIN	M06[H4-S004-U01+H4-S004-U02]	Sollmaß; dort ansetzen; bereiten Posten weiterführen; Ansatz; dieser Posten; Ansatzportion	Nimm ein örtliches Maß der zurückbehaltenen Blätter. Lege sie an die bezeichnete äußere Stelle. Erwärme sie gelinde. Führe sie als zweiten Ansatz. Mische sie mit Honig. Lege den warmen Umschlag frisch auf.	Besitzer mitführen: WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT; Posten resume: H4:I002; Ziel carry: LEER; Voriges carry: H4:I001.
14	H5-S001	H5	f56r	1	RECORD_START	RESUME_ACTIVE_ITEM	LEER	AUS_BILD_SETZEN	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NO	LEER	INTRODUCE	H5:I001	LEER	INTRODUCE	H5:T001	LEER	RESET	LEER	0	3	NÄCHSTER_POSTEN|FORTSETZEN|ZIEL_SICHTBAR|AKTUELLER_POSTEN|SOLLWERT	chochor cho chodaly daiin sho kchol otchor choky dal	HO+OR | HO | HO+AL+Y | AIIN | HO | KCH+OL | OT+OR | OK+Y | AL	SINGLE_PROCESS[H5-S001-U01] | SINGLE_SET[H5-S001-U02]	Zutatenansatz; Eingangsposten oder Zutat; diese Zutat zur Stelle bringen; Sollmaß; Zutat; weiter bearbeiten; Folgeansatz; aktuellen Posten ansetzen; dorthin	Von der abgebildeten, unbenannten Pflanze. Sammle das ganze oberirdische Kraut an einem feuchten Standort. Nimm es zu Beginn der Blüte. Nimm nur ein kleines örtliches Maß. Zerstoße die frischen klebrigen Blätter. Lege sie als Auflage auf. Auf eine einzelne Warze oder ein Hühnerauge. Lass die Auflage nur kurz einwirken. An der örtlich bezeichneten Hautstelle.	Besitzer aus bild setzen: WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB; Posten introduce: H5:I001; Ziel introduce: H5:T001; Voriges reset: LEER.
15	H5-S002	H5	f56r	2	RESUME_ACTIVE_ITEM	NEXT_PARALLEL_CELL	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	MITFÜHREN	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NO	H5:I001	RESUME	H5:I001	H5:T001	INTRODUCE	H5:T002	LEER	CARRY	LEER	3	3	FORTSETZEN|AKTUELLER_POSTEN|ZELLE_SCHLIESSEN	schol choy choky cheeckhody	PREV+OL | HO+Y | OK+Y | EE+CKH+HO+CLOSE	M07[H5-S002-U01+H5-S002-U02]	vorigen Posten fortsetzen; diese Zutat; aktuellen Posten ansetzen; länger auftragen; Schluss	Nimm die Auflage wieder ab. Wasche die Stelle mit Wasser. Wiederhole den Gebrauch nur, wenn er vertragen wird. Beende die äußere Anwendung.	Besitzer mitführen: WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB; Posten resume: H5:I001; Ziel introduce: H5:T002; Voriges carry: LEER.
16	H5-S003	H5	f56r	3	NEXT_PARALLEL_CELL	RESUME_ACTIVE_ITEM	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	MITFÜHREN	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NO	H5:I001	INTRODUCE	H5:I002	H5:T002	INTRODUCE	H5:T003	LEER	INTRODUCE	H5:I001	3	4	AKTUELLER_POSTEN	sh cho kchey qokokchy	SH | HO | KCH+E+Y | OK+OK+Y	SINGLE_HOLD[H5-S003-U01] | SINGLE_PROCESS[H5-S003-U02] | SINGLE_SET[H5-S003-U03]	halten; Eingangsposten oder Zutat; diesen Posten kurz bearbeiten; erneut ansetzen	Nimm vom übrigen Kraut die blühenden Stiele. Trockne sie im Schatten. Zerreibe sie grob. Verwahre sie trocken.	Besitzer mitführen: WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB; Posten introduce: H5:I002; Ziel introduce: H5:T003; Voriges introduce: H5:I001.
17	H5-S004	H5	f56r	4	RESUME_ACTIVE_ITEM	NEXT_PARALLEL_CELL	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	MITFÜHREN	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NO	H5:I002	RESUME	H5:I002	H5:T003	INTRODUCE	H5:T004	H5:I001	CARRY	H5:I001	4	4	ZIEL_SICHTBAR|AKTUELLER_POSTEN	okchy chokcheo kchal	OK+Y | OK+CHEO | KCH+AL	M19[H5-S004-U01+H5-S004-U02] | SINGLE_PROCESS[H5-S004-U03]	Posten zur Weiterbearbeitung ansetzen; Auszug zugeben; an der Zielstelle bearbeiten	Setze daraus einen schwachen Auszug an. Nimm milden Wein als Medium. Seihe ihn durch ein Tuch.	Besitzer mitführen: WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB; Posten resume: H5:I002; Ziel introduce: H5:T004; Voriges carry: H5:I001.
18	H5-S005	H5	f56r	5	NEXT_PARALLEL_CELL	NEXT_PARALLEL_CELL	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	MITFÜHREN	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NO	H5:I002	INTRODUCE	H5:I003	H5:T004	RESET	LEER	H5:I001	INTRODUCE	H5:I002	4	3	NÄCHSTER_POSTEN|QUELLE_SICHTBAR|AKTUELLER_POSTEN	sho chokchy kchoar sotodan	HO | OK+Y | CHEO+AR | OT+DAN	SINGLE_SET[H5-S005-U01] | SINGLE_APPLY[H5-S005-U02]	Zutat; Posten zur Weiterbearbeitung ansetzen; Auszug daraus; danach anwenden	Gib Honig hinzu. Erwärme gelinde. Gib den Auszug als Brusttrank. Gebrauche ihn bei trockenem Husten.	Besitzer mitführen: WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB; Posten introduce: H5:I003; Ziel reset: LEER; Voriges introduce: H5:I002.
19	H5-S006	H5	f56r	6	NEXT_PARALLEL_CELL	RECORD_END	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	MITFÜHREN	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NO	H5:I003	INTRODUCE	H5:I004	LEER	RESET	LEER	H5:I002	INTRODUCE	H5:I003	3	3	NÄCHSTER_POSTEN|FORTSETZEN|AKTUELLER_POSTEN|SOLLWERT	otchey keol daiin	OT+Y | E+OL | AIIN	SINGLE_CONTINUE[H5-S006-U01]	nächster Teilposten; kurz weiterbearbeiten; Sollmaß	Führe den ausgewählten Trankanteil als Gabe. Je Gabe. Nimm ein kleines örtliches Maß.	Besitzer mitführen: WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB; Posten introduce: H5:I004; Ziel reset: LEER; Voriges introduce: H5:I003.
20	B1-S001	B1	f81v	1	RECORD_START	WITHIN_LOCUS_FIELD_BOUNDARY	LEER	AUS_BILD_SETZEN	B1_SHARED_TWO_ROW_POOL	NO	LEER	INTRODUCE	B1:I001	LEER	INTRODUCE	B1:T001	LEER	RESET	LEER	0	3	ZELLE_SCHLIESSEN	qokedy	OK+E+CLOSE	SINGLE_SET[B1-S001-U01]	kurz ansetzen; Schluss	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	Besitzer aus bild setzen: B1_SHARED_TWO_ROW_POOL; Posten introduce: B1:I001; Ziel introduce: B1:T001; Voriges reset: LEER.
21	B1-S002	B1	f81v	2	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B1_SHARED_TWO_ROW_POOL	MITFÜHREN	B1_SHARED_TWO_ROW_POOL	NO	B1:I001	RESUME	B1:I002	B1:T001	INTRODUCE	B1:T005	LEER	RESUME	B1:I001	3	4	FORTSETZEN|QUELLE_SICHTBAR|ZIEL_SICHTBAR|AKTUELLER_POSTEN|SOLLWERT|PORTION|ZELLE_SCHLIESSEN	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	OK+AIIN | AIR | OK+AL | AR | OL | AIN | OL+AIN | AL | OL | OL | LOCAL_WHOLE | OL+OR | OL | CKH+E+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+CLOSE	M19[B1-S002-U01+B1-S002-U02] | M01[B1-S002-U03+B1-S002-U04+B1-S002-U05] | M01[B1-S002-U06+B1-S002-U07+B1-S002-U08] | M08[B1-S002-U09+B1-S002-U10] | SINGLE_PASSAGE[B1-S002-U11] | SINGLE_TRANSFER[B1-S002-U12]	auf Sollmaß einstellen; Beckenwasser; dort ansetzen; aus dem Ansatz; fortsetzen; eine Portion; weitere Portion; dorthin; fortsetzen; vom vorigen Gang weiterführen; Zusatz; Fortsetzungsansatz; fortsetzen; kurz zur Zielstelle durchleiten; Sollmaß; dort länger halten; Sollmaß; durchleiten; Posten überführen; Schluss	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Der zurücklaufende Strom. Den aktiven Posten an der örtlich bezeichneten Station führen. Daraus, aus demselben Ansatz. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Ein abgemessener Anteil. Das untere Becken. Den aktiven Posten an der örtlich bezeichneten Station führen. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Bevor es abkühlt. Der vorbereitete Bade- oder Waschzusatz. Den vorigen recordlokalen Posten wieder aufnehmen. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Eine mäßige Menge. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Der eingetauchte Teil. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Durch die verbundenen Läufe. Spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt.	Besitzer mitführen: B1_SHARED_TWO_ROW_POOL; Posten resume: B1:I002; Ziel introduce: B1:T005; Voriges resume: B1:I001.
22	B1-S003	B1	f81v	3	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B1_SHARED_TWO_ROW_POOL	MITFÜHREN	B1_SHARED_TWO_ROW_POOL	NO	B1:I002	CARRY	B1:I002	B1:T005	CARRY	B1:T005	B1:I001	RESUME	B1:I001	4	4	FORTSETZEN|ZELLE_SCHLIESSEN	qol sshkchdy	OL | SH+KCH+CHD+CLOSE	SINGLE_CONTINUE[B1-S003-U01] | SINGLE_HOLD[B1-S003-U02]	fortsetzen; im Arbeitsgang schwenken; Schluss	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Halte es warm und beende den Schritt.	Besitzer mitführen: B1_SHARED_TWO_ROW_POOL; Posten carry: B1:I002; Ziel carry: B1:T005; Voriges resume: B1:I001.
23	B1-S004	B1	f81v	4	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B1_SHARED_TWO_ROW_POOL	MITFÜHREN	B1_SHARED_TWO_ROW_POOL	NO	B1:I002	CARRY	B1:I002	B1:T005	CARRY	B1:T005	B1:I001	RESUME	B1:I001	4	4	FORTSETZEN|AKTUELLER_POSTEN|ZELLE_SCHLIESSEN	chedy ol shedy	CHD+Y | OL | SHED+E+CLOSE	M15[B1-S004-U01+B1-S004-U02] | SINGLE_SETTLE[B1-S004-U03]	laufenden Posten umsetzen; fortsetzen; kurz absetzen lassen; Schluss	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Rühre, bis alles gleichmäßig vermischt ist. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	Besitzer mitführen: B1_SHARED_TWO_ROW_POOL; Posten carry: B1:I002; Ziel carry: B1:T005; Voriges resume: B1:I001.
24	B1-S005	B1	f81v	5	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B1_SHARED_TWO_ROW_POOL	MITFÜHREN	B1_SHARED_TWO_ROW_POOL	NO	B1:I002	CARRY	B1:I002	B1:T005	INTRODUCE	B1:T006	B1:I001	CARRY	B1:I001	4	4	FORTSETZEN|ZELLE_SCHLIESSEN	qolchedy	OL+CHD+CLOSE	SINGLE_CONTINUE[B1-S005-U01]	weiterüberführen; Schluss	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt.	Besitzer mitführen: B1_SHARED_TWO_ROW_POOL; Posten carry: B1:I002; Ziel introduce: B1:T006; Voriges carry: B1:I001.
