job_step	phase	statement_id	page	owner_pre	owner_operation	owner_post	active_pre	active_operation	active_post	target_pre	target_operation	target_post	previous_pre	previous_operation	previous_post	visible_card_cues	surface_sequence	macro_program	master_dictation_de	scribe_readback_de
11	HOW	B2-S007	f82r	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	VOR_SATZ_UMSCHALTEN	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	B2:I001	INTRODUCE	B2:I003	B2:T007	RESET	LEER	B2:I002	INTRODUCE	B2:I001	ZELLE_SCHLIESSEN	dshedy	SINGLE_SETTLE[B2-S007-U01]	Beginne am sichtbaren Mittelknoten eine neue örtliche Charge, lasse sie kurz absetzen und schließe.	Beginne am sichtbaren Mittelknoten eine neue örtliche Charge, lasse sie kurz absetzen und schließe.
12	HOW	B2-S008	f82r	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	MITFÜHREN	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	B2:I003	CARRY	B2:I003	LEER	INTRODUCE	B2:T008	B2:I001	RESUME	B2:I001	NÄCHSTER_POSTEN|QUELLE_SICHTBAR|SOLLWERT|ZELLE_SCHLIESSEN	sotaiin qokar shedy	M10[B2-S008-U01+B2-S008-U02]	Nimm den folgenden Sollwert, setze von der bezeichneten Quelle an, lasse die Charge stehen und schließe.	Nimm den folgenden Sollwert, setze von der bezeichneten Quelle an, lasse die Charge stehen und schließe.
13	HOW	B2-S009	f82r	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	MITFÜHREN	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	B2:I003	CARRY	B2:I003	B2:T008	CARRY	B2:T008	B2:I001	CARRY	B2:I001	FORTSETZEN|ZELLE_SCHLIESSEN	solshedy	SINGLE_CONTINUE[B2-S009-U01]	Führe denselben Absetzgang weiter und schließe ihn.	Führe denselben Absetzgang weiter und schließe ihn.
14	HOW	B2-S010	f82r	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	MITFÜHREN	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	B2:I003	CARRY	B2:I003	B2:T008	INTRODUCE	B2:T009	B2:I001	CARRY	B2:I001	AKTUELLER_POSTEN	qokeey qoky ls cheey	M19[B2-S010-U01+B2-S010-U02] | SINGLE_LEAD_OUT[B2-S010-U03]	Halte die Charge länger, setze denselben Posten weiter, öffne den örtlichen Ausgang und prüfe das sichtbare Ergebnis.	Halte die Charge länger, setze denselben Posten weiter, öffne den örtlichen Ausgang und prüfe das sichtbare Ergebnis.
15	HOW	B2-S011	f82r	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	VOR_SATZ_UMSCHALTEN	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	B2:I003	CARRY	B2:I003	B2:T009	CARRY	B2:T009	B2:I001	CARRY	B2:I001	QUELLE_SICHTBAR|PORTION|ZELLE_SCHLIESSEN	okain char okain qokeedy	M19[B2-S011-U01+B2-S011-U02] | SINGLE_SET[B2-S011-U03]	Gib an der mittleren rechten Station eine Portion aus derselben Quelle und danach eine zweite Portion ein; halte länger und schließe.	Gib an der mittleren rechten Station eine Portion aus derselben Quelle und danach eine zweite Portion ein; halte länger und schließe.
16	HOW	B2-S012	f82r	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	IM_SATZ_UMSCHALTEN	B2_LOWER_GREEN_MULTI_FIGURE_POOL	B2:I003	CARRY	B2:I003	B2:T009	CARRY	B2:T009	B2:I001	RESUME	B2:I001	AKTUELLER_POSTEN|SOLLWERT|ZELLE_SCHLIESSEN	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	SINGLE_LEAD_OUT[B2-S012-U01] | M12[B2-S012-U02+B2-S012-U03] | SINGLE_LEAD_OUT[B2-S012-U04] | SINGLE_SET[B2-S012-U05]	Ziehe an der mittleren Station den sichtbaren Anteil ab; beginne nach dem Bildwechsel im unteren Mehrfigurenfeld einen neuen Posten, halte ihn bereit, temperiere länger, leite ihn weiter, miss ihn und vollende den Gang.	Ziehe an der mittleren Station den sichtbaren Anteil ab; beginne nach dem Bildwechsel im unteren Mehrfigurenfeld einen neuen Posten, halte ihn bereit, temperiere länger, leite ihn weiter, miss ihn und vollende den Gang.
17	HOW	B2-S013	f82r	B2_LOWER_GREEN_MULTI_FIGURE_POOL	MITFÜHREN	B2_LOWER_GREEN_MULTI_FIGURE_POOL	B2:I003	CARRY	B2:I003	B2:T009	RESUME	B2:T009	B2:I001	CARRY	B2:I001	ZELLE_SCHLIESSEN	lchedy	SINGLE_LEAD_OUT[B2-S013-U01]	Führe im unteren Feld die verbrauchte Charge ab und schließe.	Führe im unteren Feld die verbrauchte Charge ab und schließe.
18	HOW	B2-S014	f82r	B2_LOWER_GREEN_MULTI_FIGURE_POOL	MITFÜHREN	B2_LOWER_GREEN_MULTI_FIGURE_POOL	B2:I003	CARRY	B2:I003	B2:T009	INTRODUCE	B2:T010	B2:I001	CARRY	B2:I001	QUELLE_SICHTBAR	lar	SINGLE_LEAD_OUT[B2-S014-U01]	Führe vom bezeichneten unteren Ausgang weiter; der Posten bleibt für den nächsten Schritt offen.	Führe vom bezeichneten unteren Ausgang weiter; der Posten bleibt für den nächsten Schritt offen.
19	HOW	B2-S015	f82r	B2_LOWER_GREEN_MULTI_FIGURE_POOL	VOR_SATZ_UMSCHALTEN	B2_LOWER_POOL_EDGE_STATIONS	B2:I003	INTRODUCE	B2:I004	B2:T010	RESET	LEER	B2:I001	INTRODUCE	B2:I003	ZELLE_SCHLIESSEN	tshey qokeedy	SINGLE_SET[B2-S015-U01]	Nimm an der Randstation den sichtbaren Ablauf als Eingang, halte den neuen Posten länger und schließe.	Nimm an der Randstation den sichtbaren Ablauf als Eingang, halte den neuen Posten länger und schließe.
20	HOW	B2-S016	f82r	B2_LOWER_POOL_EDGE_STATIONS	MITFÜHREN	B2_LOWER_POOL_EDGE_STATIONS	B2:I004	CARRY	B2:I004	LEER	INTRODUCE	B2:T011	B2:I003	CARRY	B2:I003	NÄCHSTER_POSTEN|QUELLE_SICHTBAR|ZIEL_SICHTBAR|AKTUELLER_POSTEN|SOLLWERT|ZELLE_SCHLIESSEN	cheal lchedar ches aiin oteey qokaiin okey pchedy	SINGLE_LEAD_OUT[B2-S016-U01] | SINGLE_DIVIDE[B2-S016-U02] | M19[B2-S016-U03+B2-S016-U04] | SINGLE_LEAD_IN[B2-S016-U05]	Führe zum Ziel und von der Quelle ab, teile den Posten, stelle ihn auf Sollmaß, nimm den längeren Folgeposten, setze ihn kurz ein und schließe.	Führe zum Ziel und von der Quelle ab, teile den Posten, stelle ihn auf Sollmaß, nimm den längeren Folgeposten, setze ihn kurz ein und schließe.
21	HOW	B2-S017	f82r	B2_LOWER_POOL_EDGE_STATIONS	MITFÜHREN	B2_LOWER_POOL_EDGE_STATIONS	B2:I004	CARRY	B2:I004	B2:T011	INTRODUCE	B2:T012	B2:I003	CARRY	B2:I003	ZIEL_SICHTBAR|ZELLE_SCHLIESSEN	rsheal daldy	SINGLE_HOLD[B2-S017-U01]	Halte den Posten kurz am Ziel, führe ihn zur zweiten Zielöffnung und schließe.	Halte den Posten kurz am Ziel, führe ihn zur zweiten Zielöffnung und schließe.
22	HOW	B2-S018	f82r	B2_LOWER_POOL_EDGE_STATIONS	MITFÜHREN	B2_LOWER_POOL_EDGE_STATIONS	B2:I004	CARRY	B2:I004	B2:T012	CARRY	B2:T012	B2:I003	CARRY	B2:I003	ZELLE_SCHLIESSEN	qokeedy	SINGLE_SET[B2-S018-U01]	Lasse den örtlichen Einsatz länger wirken und schließe.	Lasse den örtlichen Einsatz länger wirken und schließe.
23	HOW	B2-S019	f82r	B2_LOWER_POOL_EDGE_STATIONS	MITFÜHREN	B2_LOWER_POOL_EDGE_STATIONS	B2:I004	CARRY	B2:I004	B2:T012	CARRY	B2:T012	B2:I003	CARRY	B2:I003	ZELLE_SCHLIESSEN	rshedy	SINGLE_WASH[B2-S019-U01]	Wasche den örtlichen Posten und schließe.	Wasche den örtlichen Posten und schließe.
24	HOW	B2-S020	f82r	B2_LOWER_POOL_EDGE_STATIONS	MITFÜHREN	B2_LOWER_POOL_EDGE_STATIONS	B2:I004	CARRY	B2:I004	B2:T012	CARRY	B2:T012	B2:I003	CARRY	B2:I003	NÄCHSTER_POSTEN|ZELLE_SCHLIESSEN	qoteedy	SINGLE_OWNER_ACTION[B2-S020-U01]	Führe den nächsten längeren Einsatzgang aus und schließe.	Führe den nächsten längeren Einsatzgang aus und schließe.
25	HOW	B2-S021	f82r	B2_LOWER_POOL_EDGE_STATIONS	MITFÜHREN	B2_LOWER_POOL_EDGE_STATIONS	B2:I004	CARRY	B2:I004	B2:T012	CARRY	B2:T012	B2:I003	CARRY	B2:I003	ZELLE_SCHLIESSEN	qokeedy	SINGLE_SET[B2-S021-U01]	Halte den abschließenden Einsatz länger und schließe.	Halte den abschließenden Einsatz länger und schließe.
26	HOW	B2-S022	f82r	B2_LOWER_POOL_EDGE_STATIONS	MITFÜHREN	B2_LOWER_POOL_EDGE_STATIONS	B2:I004	CARRY	B2:I004	B2:T012	CARRY	B2:T012	B2:I003	CARRY	B2:I003	ZELLE_SCHLIESSEN	lochedy	SINGLE_LEAD_OUT[B2-S022-U01]	Führe den verbleibenden Rest in den Schlussgang und schließe.	Führe den verbleibenden Rest in den Schlussgang und schließe.
