variant	paragraph	locus	mention	form	kind	axis	value	scope	patient	patient_form	phase	rule	debts	row_status
M	f6v|f6v.6-f6v.21	f6v.15	f6v.15:4	chy	STANDALONE	thermal	hot	PHYSICAL	f6v.14:3	cthol	1	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	recorded
M	f6v|f6v.6-f6v.21	f6v.18	f6v.18:1	ytchocthol	PROCESSED_NOMINAL	moisture	wet	PHYSICAL	f6v.18:1	ytchocthol	0	NOMINAL_INPUT		recorded
M	f6v|f6v.6-f6v.21	f6v.19	f6v.19:1	ocholy	BARE_NOMINAL	moisture	dry	CONSTITUTION	f6v.19:1	ocholy	0	NOMINAL_INPUT		recorded
M	f6v|f6v.6-f6v.21	f6v.19	f6v.19:3	chy	STANDALONE	thermal	hot	PHYSICAL	f6v.19:1	ocholy	1	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.19:2	recorded
M	f6v|f6v.6-f6v.21	f6v.20	f6v.20:2	choldar	BARE_NOMINAL	moisture	dry	CONSTITUTION	f6v.20:2	choldar	0	NOMINAL_INPUT		recorded
B	f9v|f9v.5-f9v.12	f9v.6	f9v.6:4	chody	PROCESSED_NOMINAL	moisture	dry	PHYSICAL	f9v.6:4	chody	0	NOMINAL_INPUT		recorded
B	f9v|f9v.5-f9v.12	f9v.7	f9v.7:2	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f9v.6:4	chody	2	REGISTERED_ACTION_RESULT	UNREAD_BETWEEN:f9v.6:5;UNREAD_BETWEEN:f9v.6:6;UNREAD_BETWEEN:f9v.6:7;UNREAD_BETWEEN:f9v.6:8;IMPLICIT_SUBJECT_CONTINUATION	recorded
B	f9v|f9v.5-f9v.12	f9v.7	f9v.7:3	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f9v.7:6	otal	1	REGISTERED_ACTION_RESULT	UNREAD_BETWEEN:f9v.7:4	recorded
B	f9v|f9v.5-f9v.12	f9v.7	f9v.7:6	otal	BARE_NOMINAL	thermal	cold	CONSTITUTION	f9v.7:6	otal	0	NOMINAL_INPUT		recorded
B	f9v|f9v.5-f9v.12	f9v.9	f9v.9:2	chy	STANDALONE	thermal	hot	PHYSICAL			0	MISSING	MISSING_MATERIAL_BINDING	recorded
B	f9v|f9v.5-f9v.12	f9v.10	f9v.10:1	oty	STANDALONE	thermal	cold	PHYSICAL	f9v.10:2	kchol	0	LOCAL_RIGHT		recorded
B	f9v|f9v.5-f9v.12	f9v.10	f9v.10:2	kchol	BARE_NOMINAL	moisture	dry	CONSTITUTION	f9v.10:2	kchol	0	NOMINAL_INPUT		recorded
B	f9v|f9v.5-f9v.12	f9v.10	f9v.10:3	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f9v.10:2	kchol	1	REGISTERED_ACTION_RESULT		recorded
B	f9v|f9v.5-f9v.12	f9v.10	f9v.10:4	chy	STANDALONE	thermal	hot	PHYSICAL	f9v.10:2	kchol	1	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f9v.10:3	recorded
B	f9v|f9v.5-f9v.12	f9v.11	f9v.11:2	chshoty	BARE_NOMINAL	thermal	cold	CONSTITUTION	f9v.11:2	chshoty	0	NOMINAL_INPUT		recorded
B	f9v|f9v.5-f9v.12	f9v.11	f9v.11:2	chshoty	BARE_NOMINAL	moisture	wet	CONSTITUTION	f9v.11:2	chshoty	0	NOMINAL_INPUT		recorded
B	f9v|f9v.5-f9v.12	f9v.11	f9v.11:3	oky	STANDALONE	thermal	warm	PHYSICAL	f9v.11:2	chshoty	0	LOCAL_LEFT		recorded
J	f9v|f9v.5-f9v.12	f9v.6	f9v.6:4	chody	PROCESSED_NOMINAL	moisture	dry	PHYSICAL	f9v.6:4	chody	0	NOMINAL_INPUT		recorded
J	f9v|f9v.5-f9v.12	f9v.7	f9v.7:2	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f9v.6:4	chody	2	REGISTERED_ACTION_RESULT	UNREAD_BETWEEN:f9v.6:5;UNREAD_BETWEEN:f9v.6:6;UNREAD_BETWEEN:f9v.6:7;UNREAD_BETWEEN:f9v.6:8;IMPLICIT_SUBJECT_CONTINUATION	recorded
J	f9v|f9v.5-f9v.12	f9v.7	f9v.7:3	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f9v.7:6	otal	1	REGISTERED_ACTION_RESULT	UNREAD_BETWEEN:f9v.7:4	recorded
J	f9v|f9v.5-f9v.12	f9v.7	f9v.7:6	otal	BARE_NOMINAL	thermal	cold	CONSTITUTION	f9v.7:6	otal	0	NOMINAL_INPUT		recorded
J	f9v|f9v.5-f9v.12	f9v.9	f9v.9:2	chy	STANDALONE	thermal	hot	PHYSICAL			0	MISSING	MISSING_MATERIAL_BINDING	recorded
J	f9v|f9v.5-f9v.12	f9v.10	f9v.10:1	oty	STANDALONE	thermal	cold	PHYSICAL	f9v.10:2	kchol	0	LOCAL_RIGHT		recorded
J	f9v|f9v.5-f9v.12	f9v.10	f9v.10:2	kchol	BARE_NOMINAL	moisture	dry	CONSTITUTION	f9v.10:2	kchol	0	NOMINAL_INPUT		recorded
J	f9v|f9v.5-f9v.12	f9v.10	f9v.10:3	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f9v.10:2	kchol	1	REGISTERED_ACTION_RESULT		recorded
J	f9v|f9v.5-f9v.12	f9v.10	f9v.10:4	chy	STANDALONE	thermal	hot	PHYSICAL	f9v.10:2	kchol	1	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f9v.10:3	recorded
J	f9v|f9v.5-f9v.12	f9v.11	f9v.11:2	chshoty	BARE_NOMINAL	thermal	cold	CONSTITUTION	f9v.11:2	chshoty	0	NOMINAL_INPUT		recorded
J	f9v|f9v.5-f9v.12	f9v.11	f9v.11:2	chshoty	BARE_NOMINAL	moisture	wet	CONSTITUTION	f9v.11:2	chshoty	0	NOMINAL_INPUT		recorded
J	f9v|f9v.5-f9v.12	f9v.11	f9v.11:3	oky	STANDALONE	thermal	warm	PHYSICAL	f9v.11:2	chshoty	0	LOCAL_LEFT		recorded
M	f9v|f9v.5-f9v.12	f9v.6	f9v.6:4	chody	PROCESSED_NOMINAL	moisture	dry	PHYSICAL	f9v.6:4	chody	0	NOMINAL_INPUT		recorded
M	f9v|f9v.5-f9v.12	f9v.7	f9v.7:2	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f9v.6:4	chody	2	REGISTERED_ACTION_RESULT	UNREAD_BETWEEN:f9v.6:5;UNREAD_BETWEEN:f9v.6:6;UNREAD_BETWEEN:f9v.6:7;UNREAD_BETWEEN:f9v.6:8;IMPLICIT_SUBJECT_CONTINUATION	recorded
M	f9v|f9v.5-f9v.12	f9v.7	f9v.7:3	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f9v.7:6	otal	1	REGISTERED_ACTION_RESULT	UNREAD_BETWEEN:f9v.7:4	recorded
M	f9v|f9v.5-f9v.12	f9v.7	f9v.7:6	otal	BARE_NOMINAL	thermal	cold	CONSTITUTION	f9v.7:6	otal	0	NOMINAL_INPUT		recorded
M	f9v|f9v.5-f9v.12	f9v.9	f9v.9:2	chy	STANDALONE	thermal	hot	PHYSICAL			0	MISSING	MISSING_MATERIAL_BINDING	recorded
M	f9v|f9v.5-f9v.12	f9v.10	f9v.10:1	oty	STANDALONE	thermal	cold	PHYSICAL	f9v.10:2	kchol	0	LOCAL_RIGHT		recorded
M	f9v|f9v.5-f9v.12	f9v.10	f9v.10:2	kchol	BARE_NOMINAL	moisture	dry	CONSTITUTION	f9v.10:2	kchol	0	NOMINAL_INPUT		recorded
M	f9v|f9v.5-f9v.12	f9v.10	f9v.10:3	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f9v.10:2	kchol	1	REGISTERED_ACTION_RESULT		recorded
M	f9v|f9v.5-f9v.12	f9v.10	f9v.10:4	chy	STANDALONE	thermal	hot	PHYSICAL	f9v.10:2	kchol	1	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f9v.10:3	recorded
M	f9v|f9v.5-f9v.12	f9v.11	f9v.11:2	chshoty	BARE_NOMINAL	thermal	cold	CONSTITUTION	f9v.11:2	chshoty	0	NOMINAL_INPUT		recorded
M	f9v|f9v.5-f9v.12	f9v.11	f9v.11:2	chshoty	BARE_NOMINAL	moisture	wet	CONSTITUTION	f9v.11:2	chshoty	0	NOMINAL_INPUT		recorded
M	f9v|f9v.5-f9v.12	f9v.11	f9v.11:3	oky	STANDALONE	thermal	warm	PHYSICAL	f9v.11:2	chshoty	0	LOCAL_LEFT		recorded
B	f17v|f17v.1-f17v.23	f17v.4	f17v.4:1	kchor	BARE_NOMINAL	moisture	dry	CONSTITUTION	f17v.4:1	kchor	0	NOMINAL_INPUT		recorded
B	f17v|f17v.1-f17v.23	f17v.5	f17v.5:2	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f17v.5:4	tchol	1	REGISTERED_ACTION_RESULT	UNREAD_BETWEEN:f17v.5:3	recorded
B	f17v|f17v.1-f17v.23	f17v.5	f17v.5:4	tchol	PROCESSED_NOMINAL	moisture	dry	PHYSICAL	f17v.5:4	tchol	0	NOMINAL_INPUT		recorded
B	f17v|f17v.1-f17v.23	f17v.6	f17v.6:5	otaiin	BARE_NOMINAL	thermal	cold	CONSTITUTION	f17v.6:5	otaiin	0	NOMINAL_INPUT		recorded
B	f17v|f17v.1-f17v.23	f17v.9	f17v.9:2	shol	STANDALONE	moisture	wet	PHYSICAL	f17v.9:3	kchol	0	LOCAL_RIGHT		recorded
B	f17v|f17v.1-f17v.23	f17v.9	f17v.9:3	kchol	BARE_NOMINAL	moisture	dry	CONSTITUTION	f17v.9:3	kchol	0	NOMINAL_INPUT		recorded
B	f17v|f17v.1-f17v.23	f17v.10	f17v.10:2	okeor	BARE_NOMINAL	thermal	warm	CONSTITUTION	f17v.10:2	okeor	0	NOMINAL_INPUT		recorded
B	f17v|f17v.1-f17v.23	f17v.11	f17v.11:4	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f17v.10:4	okol	1	REGISTERED_ACTION_RESULT	UNREAD_BETWEEN:f17v.10:5;UNREAD_BETWEEN:f17v.10:6;UNREAD_BETWEEN:f17v.11:1;UNREAD_BETWEEN:f17v.11:2;UNREAD_BETWEEN:f17v.11:3;IMPLICIT_SUBJECT_CONTINUATION	recorded
B	f17v|f17v.1-f17v.23	f17v.13	f17v.13:2	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f17v.12:6	chor	1	REGISTERED_ACTION_RESULT	UNREAD_BETWEEN:f17v.13:1;IMPLICIT_SUBJECT_CONTINUATION	recorded
B	f17v|f17v.1-f17v.23	f17v.13	f17v.13:3	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f17v.13:4	cthol	1	REGISTERED_ACTION_RESULT		recorded
B	f17v|f17v.1-f17v.23	f17v.13	f17v.13:6	sheol	BARE_NOMINAL	moisture	wet	CONSTITUTION	f17v.13:6	sheol	0	NOMINAL_INPUT		recorded
B	f17v|f17v.1-f17v.23	f17v.14	f17v.14:4	chodaiin	BARE_NOMINAL	moisture	dry	CONSTITUTION	f17v.14:4	chodaiin	0	NOMINAL_INPUT		recorded
B	f17v|f17v.1-f17v.23	f17v.14	f17v.14:5	okeol	BARE_NOMINAL	thermal	warm	CONSTITUTION	f17v.14:5	okeol	0	NOMINAL_INPUT		recorded
B	f17v|f17v.1-f17v.23	f17v.15	f17v.15:5	otor	BARE_NOMINAL	thermal	cold	CONSTITUTION	f17v.15:5	otor	0	NOMINAL_INPUT		recorded
B	f17v|f17v.1-f17v.23	f17v.15	f17v.15:6	oteol	BARE_NOMINAL	thermal	cold	CONSTITUTION	f17v.15:6	oteol	0	NOMINAL_INPUT		recorded
B	f17v|f17v.1-f17v.23	f17v.16	f17v.16:2	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f17v.16:3	okeol	1	REGISTERED_ACTION_RESULT		recorded
B	f17v|f17v.1-f17v.23	f17v.16	f17v.16:3	okeol	BARE_NOMINAL	thermal	warm	CONSTITUTION	f17v.16:3	okeol	0	NOMINAL_INPUT		recorded
B	f17v|f17v.1-f17v.23	f17v.18	f17v.18:1	otor	BARE_NOMINAL	thermal	cold	CONSTITUTION	f17v.18:1	otor	0	NOMINAL_INPUT		recorded
B	f17v|f17v.1-f17v.23	f17v.18	f17v.18:4	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f17v.18:2	cheeor	1	REGISTERED_ACTION_RESULT		recorded
B	f17v|f17v.1-f17v.23	f17v.20	f17v.20:4	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f17v.20:3	cheor	2	REGISTERED_ACTION_RESULT		recorded
B	f17v|f17v.1-f17v.23	f17v.23	f17v.23:2	okeor	BARE_NOMINAL	thermal	warm	CONSTITUTION	f17v.23:2	okeor	0	NOMINAL_INPUT		recorded
J	f17v|f17v.1-f17v.23	f17v.4	f17v.4:1	kchor	BARE_NOMINAL	moisture	dry	CONSTITUTION	f17v.4:1	kchor	0	NOMINAL_INPUT		recorded
J	f17v|f17v.1-f17v.23	f17v.5	f17v.5:2	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f17v.5:4	tchol	1	REGISTERED_ACTION_RESULT	UNREAD_BETWEEN:f17v.5:3	recorded
J	f17v|f17v.1-f17v.23	f17v.5	f17v.5:4	tchol	PROCESSED_NOMINAL	moisture	dry	PHYSICAL	f17v.5:4	tchol	0	NOMINAL_INPUT		recorded
J	f17v|f17v.1-f17v.23	f17v.6	f17v.6:5	otaiin	BARE_NOMINAL	thermal	cold	CONSTITUTION	f17v.6:5	otaiin	0	NOMINAL_INPUT		recorded
J	f17v|f17v.1-f17v.23	f17v.9	f17v.9:2	shol	STANDALONE	moisture	wet	PHYSICAL	f17v.9:3	kchol	0	LOCAL_RIGHT		recorded
J	f17v|f17v.1-f17v.23	f17v.9	f17v.9:3	kchol	BARE_NOMINAL	moisture	dry	CONSTITUTION	f17v.9:3	kchol	0	NOMINAL_INPUT		recorded
J	f17v|f17v.1-f17v.23	f17v.10	f17v.10:2	okeor	BARE_NOMINAL	thermal	warm	CONSTITUTION	f17v.10:2	okeor	0	NOMINAL_INPUT		recorded
J	f17v|f17v.1-f17v.23	f17v.11	f17v.11:4	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f17v.10:4	okol	1	REGISTERED_ACTION_RESULT	UNREAD_BETWEEN:f17v.10:5;UNREAD_BETWEEN:f17v.10:6;UNREAD_BETWEEN:f17v.11:1;UNREAD_BETWEEN:f17v.11:2;UNREAD_BETWEEN:f17v.11:3;IMPLICIT_SUBJECT_CONTINUATION	recorded
J	f17v|f17v.1-f17v.23	f17v.13	f17v.13:2	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f17v.13:4	cthol	1	REGISTERED_ACTION_RESULT		recorded
J	f17v|f17v.1-f17v.23	f17v.13	f17v.13:3	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f17v.13:4	cthol	2	REGISTERED_ACTION_RESULT		recorded
J	f17v|f17v.1-f17v.23	f17v.13	f17v.13:6	sheol	BARE_NOMINAL	moisture	wet	CONSTITUTION	f17v.13:6	sheol	0	NOMINAL_INPUT		recorded
J	f17v|f17v.1-f17v.23	f17v.14	f17v.14:4	chodaiin	BARE_NOMINAL	moisture	dry	CONSTITUTION	f17v.14:4	chodaiin	0	NOMINAL_INPUT		recorded
J	f17v|f17v.1-f17v.23	f17v.14	f17v.14:5	okeol	BARE_NOMINAL	thermal	warm	CONSTITUTION	f17v.14:5	okeol	0	NOMINAL_INPUT		recorded
J	f17v|f17v.1-f17v.23	f17v.15	f17v.15:5	otor	BARE_NOMINAL	thermal	cold	CONSTITUTION	f17v.15:5	otor	0	NOMINAL_INPUT		recorded
J	f17v|f17v.1-f17v.23	f17v.15	f17v.15:6	oteol	BARE_NOMINAL	thermal	cold	CONSTITUTION	f17v.15:6	oteol	0	NOMINAL_INPUT		recorded
J	f17v|f17v.1-f17v.23	f17v.16	f17v.16:2	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f17v.16:3	okeol	1	REGISTERED_ACTION_RESULT		recorded
J	f17v|f17v.1-f17v.23	f17v.16	f17v.16:3	okeol	BARE_NOMINAL	thermal	warm	CONSTITUTION	f17v.16:3	okeol	0	NOMINAL_INPUT		recorded
J	f17v|f17v.1-f17v.23	f17v.18	f17v.18:1	otor	BARE_NOMINAL	thermal	cold	CONSTITUTION	f17v.18:1	otor	0	NOMINAL_INPUT		recorded
J	f17v|f17v.1-f17v.23	f17v.18	f17v.18:4	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f17v.18:2	cheeor	1	REGISTERED_ACTION_RESULT		recorded
J	f17v|f17v.1-f17v.23	f17v.20	f17v.20:4	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f17v.20:3	cheor	3	REGISTERED_ACTION_RESULT		recorded
J	f17v|f17v.1-f17v.23	f17v.23	f17v.23:2	okeor	BARE_NOMINAL	thermal	warm	CONSTITUTION	f17v.23:2	okeor	0	NOMINAL_INPUT		recorded
M	f17v|f17v.1-f17v.23	f17v.4	f17v.4:1	kchor	BARE_NOMINAL	moisture	dry	CONSTITUTION	f17v.4:1	kchor	0	NOMINAL_INPUT		recorded
M	f17v|f17v.1-f17v.23	f17v.5	f17v.5:2	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f17v.5:4	tchol	1	REGISTERED_ACTION_RESULT	UNREAD_BETWEEN:f17v.5:3	recorded
M	f17v|f17v.1-f17v.23	f17v.5	f17v.5:4	tchol	PROCESSED_NOMINAL	moisture	dry	PHYSICAL	f17v.5:4	tchol	0	NOMINAL_INPUT		recorded
M	f17v|f17v.1-f17v.23	f17v.6	f17v.6:5	otaiin	BARE_NOMINAL	thermal	cold	CONSTITUTION	f17v.6:5	otaiin	0	NOMINAL_INPUT		recorded
M	f17v|f17v.1-f17v.23	f17v.9	f17v.9:2	shol	STANDALONE	moisture	wet	PHYSICAL	f17v.9:3	kchol	0	LOCAL_RIGHT		recorded
M	f17v|f17v.1-f17v.23	f17v.9	f17v.9:3	kchol	BARE_NOMINAL	moisture	dry	CONSTITUTION	f17v.9:3	kchol	0	NOMINAL_INPUT		recorded
M	f17v|f17v.1-f17v.23	f17v.10	f17v.10:2	okeor	BARE_NOMINAL	thermal	warm	CONSTITUTION	f17v.10:2	okeor	0	NOMINAL_INPUT		recorded
M	f17v|f17v.1-f17v.23	f17v.11	f17v.11:4	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f17v.10:4	okol	1	REGISTERED_ACTION_RESULT	UNREAD_BETWEEN:f17v.10:5;UNREAD_BETWEEN:f17v.10:6;UNREAD_BETWEEN:f17v.11:1;UNREAD_BETWEEN:f17v.11:2;UNREAD_BETWEEN:f17v.11:3;IMPLICIT_SUBJECT_CONTINUATION	recorded
M	f17v|f17v.1-f17v.23	f17v.13	f17v.13:2	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f17v.13:4	cthol	1	REGISTERED_ACTION_RESULT		recorded
M	f17v|f17v.1-f17v.23	f17v.13	f17v.13:3	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f17v.13:4	cthol	2	REGISTERED_ACTION_RESULT		recorded
M	f17v|f17v.1-f17v.23	f17v.13	f17v.13:6	sheol	BARE_NOMINAL	moisture	wet	CONSTITUTION	f17v.13:6	sheol	0	NOMINAL_INPUT		recorded
M	f17v|f17v.1-f17v.23	f17v.14	f17v.14:4	chodaiin	BARE_NOMINAL	moisture	dry	CONSTITUTION	f17v.14:4	chodaiin	0	NOMINAL_INPUT		recorded
M	f17v|f17v.1-f17v.23	f17v.14	f17v.14:5	okeol	BARE_NOMINAL	thermal	warm	CONSTITUTION	f17v.14:5	okeol	0	NOMINAL_INPUT		recorded
M	f17v|f17v.1-f17v.23	f17v.15	f17v.15:5	otor	BARE_NOMINAL	thermal	cold	CONSTITUTION	f17v.15:5	otor	0	NOMINAL_INPUT		recorded
M	f17v|f17v.1-f17v.23	f17v.15	f17v.15:6	oteol	BARE_NOMINAL	thermal	cold	CONSTITUTION	f17v.15:6	oteol	0	NOMINAL_INPUT		recorded
M	f17v|f17v.1-f17v.23	f17v.16	f17v.16:2	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f17v.16:3	okeol	1	REGISTERED_ACTION_RESULT		recorded
M	f17v|f17v.1-f17v.23	f17v.16	f17v.16:3	okeol	BARE_NOMINAL	thermal	warm	CONSTITUTION	f17v.16:3	okeol	0	NOMINAL_INPUT		recorded
M	f17v|f17v.1-f17v.23	f17v.18	f17v.18:1	otor	BARE_NOMINAL	thermal	cold	CONSTITUTION	f17v.18:1	otor	0	NOMINAL_INPUT		recorded
M	f17v|f17v.1-f17v.23	f17v.18	f17v.18:4	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f17v.18:2	cheeor	1	REGISTERED_ACTION_RESULT		recorded
M	f17v|f17v.1-f17v.23	f17v.20	f17v.20:4	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f17v.20:3	cheor	3	REGISTERED_ACTION_RESULT		recorded
M	f17v|f17v.1-f17v.23	f17v.23	f17v.23:2	okeor	BARE_NOMINAL	thermal	warm	CONSTITUTION	f17v.23:2	okeor	0	NOMINAL_INPUT		recorded
B	f19v|f19v.8-f19v.14	f19v.9	f19v.9:2	oky	STANDALONE	thermal	warm	PHYSICAL	f19v.9:3	chor	0	LOCAL_RIGHT		recorded
B	f19v|f19v.8-f19v.14	f19v.9	f19v.9:5	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f19v.9:3	chor	1	REGISTERED_ACTION_RESULT	UNREAD_BETWEEN:f19v.9:4	recorded
B	f19v|f19v.8-f19v.14	f19v.9	f19v.9:6	oky	STANDALONE	thermal	warm	PHYSICAL	f19v.9:3	chor	1	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f19v.9:5;UNREAD_BETWEEN:f19v.9:4;UNREAD_BETWEEN:f19v.9:4	recorded
B	f19v|f19v.8-f19v.14	f19v.11	f19v.11:1	qotol	BARE_NOMINAL	thermal	cold	CONSTITUTION	f19v.11:1	qotol	0	NOMINAL_INPUT		recorded
B	f19v|f19v.8-f19v.14	f19v.12	f19v.12:5	otaiin	BARE_NOMINAL	thermal	cold	CONSTITUTION	f19v.12:5	otaiin	0	NOMINAL_INPUT		recorded
B	f19v|f19v.8-f19v.14	f19v.13	f19v.13:3	oty	STANDALONE	thermal	cold	PHYSICAL	f19v.13:7	ytaiin	0	LOCAL_RIGHT	UNREAD_BETWEEN:f19v.13:4;UNREAD_BETWEEN:f19v.13:6	recorded
B	f19v|f19v.8-f19v.14	f19v.13	f19v.13:7	ytaiin	BARE_NOMINAL	thermal	cold	CONSTITUTION	f19v.13:7	ytaiin	0	NOMINAL_INPUT		recorded
J	f19v|f19v.8-f19v.14	f19v.9	f19v.9:2	oky	STANDALONE	thermal	warm	PHYSICAL	f19v.9:3	chor	0	LOCAL_RIGHT		recorded
J	f19v|f19v.8-f19v.14	f19v.9	f19v.9:5	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f19v.9:3	chor	1	REGISTERED_ACTION_RESULT	UNREAD_BETWEEN:f19v.9:4	recorded
