edition	locus	raw_line	all_group_separators	maximal_runs	J_eligible	M_eligible	row_status
ZL3b	f24r.12	qokchy qotchy tol tod ckhy	DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;LINE_END	f24r.12:1-2=qokchy qotchy	f24r.12:1-2	f24r.12:1-2	recorded
ZL3b	f6v.10	qokchod ychear kchdy	DEFINITE_SPACE;DEFINITE_SPACE;LINE_END	f6v.10:1-2=qokchod ychear	f6v.10:1-2	f6v.10:1-2	recorded
ZL3b	f6v.14	qokor chol cthol tchalody	DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;LINE_END	f6v.14:1-2=qokor chol	f6v.14:1-2	f6v.14:1-2	recorded
ZL3b	f6v.7	ychos ychol daiin cthol dol	DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;LINE_END	f6v.7:1-2=ychos ychol		f6v.7:1-2	recorded
ZL3b	f6v.8	ychor chor okchey qokom	DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;LINE_END	f6v.8:3-4=okchey qokom			recorded
IT2a	f17v.13	ykeor chol chol cthol chkor sheol	DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;LINE_END	f17v.13:2-3=chol chol	f17v.13:2-3	f17v.13:2-3	recorded
IT2a	f17v.20	ykeey okeey cheor chol sho ydaiin	DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;LINE_END	f17v.20:1-2=ykeey okeey	f17v.20:1-2	f17v.20:1-2	recorded
IT2a	f17v.5	ychol chol dolcheey tchol dar ckhy	DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;LINE_END	f17v.5:1-2=ychol chol			recorded
IT2a	f45v.9	ychor cthy chol qokom sy sa ykchom	DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DRAWING_INTERRUPTION;DEFINITE_SPACE;LINE_END	f45v.9:3-4=chol qokom			recorded
IT2a	f93r.10	ychor chey keol cheol ckhody	DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;LINE_END				recorded
IT2a	f99r.50	qokeeo okeey qokeey okesy qokeeo sar sheseky or al	DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;LINE_END	f99r.50:2-3=okeey qokeey			recorded
IT2a	f9v.7	qochol chol ctchy daiin otal dor daim	DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DRAWING_INTERRUPTION;DRAWING_INTERRUPTION;DRAWING_INTERRUPTION;LINE_END				recorded
IT2a	f102v2.35	ychor sheol por sheeor shekeey qoky cheo keody qokeol dain	DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;LINE_END	f102v2.35:5-6=shekeey qoky	f102v2.35:5-6	f102v2.35:5-6	recorded
IT2a	f102v2.36	okeeor cheey okeey sor chey okey okey okeey qokeor	DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;LINE_END	f102v2.36:2-3=cheey okeey;f102v2.36:8-9=okeey qokeor			recorded
IT2a	f106r.8	porarchy oror olkaiin shedy oteedy qotor qoteedo qoteedy dair okeedaim	DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;LINE_END	f106r.8:5-6=oteedy qotor			recorded
IT2a	f24r.12	qokchy qotchy tol tod ckhy	DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;LINE_END	f24r.12:1-2=qokchy qotchy	f24r.12:1-2	f24r.12:1-2	recorded
IT2a	f6v.10	qokche? ychear kchdy	DEFINITE_SPACE;DEFINITE_SPACE;LINE_END				recorded
IT2a	f6v.14	qokor chol cthol tchalody	DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;LINE_END	f6v.14:1-2=qokor chol	f6v.14:1-2	f6v.14:1-2	recorded
IT2a	f6v.7	ychos ychol daiin cthol dol	DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;LINE_END	f6v.7:1-2=ychos ychol		f6v.7:1-2	recorded
IT2a	f6v.8	ychor chor okchey qokom	DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;LINE_END	f6v.8:3-4=okchey qokom			recorded
RF1b	f17v.13	ykeor chal chol cthol chkor sheol	DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;LINE_END				recorded
RF1b	f17v.20	ykeey okeey cheor chol sho odaiin	DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;LINE_END	f17v.20:1-2=ykeey okeey	f17v.20:1-2	f17v.20:1-2	recorded
RF1b	f17v.5	ychol chol dolcheey tchol dar ckhy	DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;LINE_END	f17v.5:1-2=ychol chol			recorded
RF1b	f45v.9	ychor cthy chol qokom sy sa okchom	DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DRAWING_INTERRUPTION;DEFINITE_SPACE;LINE_END	f45v.9:3-4=chol qokom			recorded
RF1b	f93r.10	ychos chey keol cheol ckhody	DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;LINE_END	f93r.10:1-2=ychos chey			recorded
RF1b	f99r.50	qokeeo okeey qokeey okesy qokeeo sar sheseky or al	DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;LINE_END	f99r.50:2-3=okeey qokeey			recorded
RF1b	f9v.7	qo chol chol {ct}chy daiin otal dor daim	DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DRAWING_INTERRUPTION;DRAWING_INTERRUPTION;DRAWING_INTERRUPTION;LINE_END	f9v.7:1-3=qo chol chol			recorded
RF1b	f102v2.35	ychor sheol por sheeor shekeey qoky che@221;teody qokeol daiin	DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;LINE_END	f102v2.35:5-6=shekeey qoky			recorded
RF1b	f102v2.36	okeeor cheey okeey s@221;r eeey okey okey okeey qokeor	DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;LINE_END	f102v2.36:2-3=cheey okeey;f102v2.36:8-9=okeey qokeor			recorded
RF1b	f106r.8	porarchy @221;rar ol kaiin shedy oteedy qotor qoteedo qoteedy dair o@176;eedaim	DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;LINE_END	f106r.8:6-7=oteedy qotor			recorded
RF1b	f24r.12	qokchy qotchy tol tod ckho	DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;LINE_END	f24r.12:1-2=qokchy qotchy	f24r.12:1-2	f24r.12:1-2	recorded
RF1b	f6v.10	qokchod ychear kchdy	DEFINITE_SPACE;DEFINITE_SPACE;LINE_END	f6v.10:1-2=qokchod ychear	f6v.10:1-2	f6v.10:1-2	recorded
RF1b	f6v.14	qokor chol cthol tchalody	DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;LINE_END	f6v.14:1-2=qokor chol	f6v.14:1-2	f6v.14:1-2	recorded
RF1b	f6v.7	ychos ychol daiin cthol dol	DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;LINE_END	f6v.7:1-2=ychos ychol		f6v.7:1-2	recorded
RF1b	f6v.8	ychor chor okchey qokom	DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;LINE_END	f6v.8:3-4=okchey qokom			recorded
