category_signature	card_types	events
MATERIAL_STATE>ITEM_REFERENCE>LICENSED_ENDPOINT	1	1
MATERIAL_STATE>QUANTITY	1	1
PROCESS_MODIFIER>ADDRESS	1	1
PROCESS_MODIFIER>ADDRESS>ITEM_REFERENCE	1	1
PROCESS_MODIFIER>DIRECTION_SEQUENCE	1	1
PROCESS_MODIFIER>PROCESS_VERB>GRADE>ADDRESS	1	1
PROCESS_MODIFIER>PROCESS_VERB>LICENSED_ENDPOINT	1	1
PROCESS_STATE>QUANTITY	1	1
PROCESS_STATE>WORK_OBJECT>MATERIAL_STATE	1	1
PROCESS_VERB	1	1
PROCESS_VERB>ADDRESS>ITEM_REFERENCE	1	1
PROCESS_VERB>CONTROL_ACTION>GRADE>WORK_OBJECT	1	1
PROCESS_VERB>CONTROL_ACTION>PROCESS_VERB>LICENSED_ENDPOINT	1	1
PROCESS_VERB>GRADE>ADDRESS	1	1
PROCESS_VERB>GRADE>PROCESS_STATE>ITEM_REFERENCE	1	1
PROCESS_VERB>GRADE>PROCESS_STATE>PROCESS_VERB>ITEM_REFERENCE	1	1
PROCESS_VERB>GRADE>WORK_OBJECT>ADDRESS	1	1
PROCESS_VERB>GRADE>WORK_OBJECT>ITEM_REFERENCE	1	1
PROCESS_VERB>ITEM_REFERENCE>CONTROL_ACTION>LICENSED_ENDPOINT	1	1
PROCESS_VERB>ITEM_REFERENCE>QUANTITY	1	1
PROCESS_VERB>PROCESS_VERB>ADDRESS	1	1
PROCESS_VERB>PROCESS_VERB>GRADE>LICENSED_ENDPOINT	1	1
PROCESS_VERB>PROCESS_VERB>ITEM_REFERENCE	1	1
PROCESS_VERB>WORK_OBJECT	1	1
PROCESS_VERB>WORK_OBJECT>ADDRESS	1	1
PROCESS_VERB>WORK_OBJECT>ITEM_REFERENCE>CONTROL_ACTION>ITEM_REFERENCE	1	1
WORK_OBJECT>ITEM_REFERENCE>CONTROL_ACTION>MATERIAL_STATE	1	1
WORK_OBJECT>LICENSED_ENDPOINT	1	1
WORK_OBJECT>PROCESS_STATE>DIRECTION_SEQUENCE>ITEM_REFERENCE	1	1
WORK_OBJECT>PROCESS_STATE>GRADE>DIRECTION_SEQUENCE	1	1
WORK_OBJECT>WORK_OBJECT>GRADE>ITEM_REFERENCE	1	1
