component_recipe	first_action	second_action	ordered_pair	ordered_reading_de	grade_atoms	argument_atoms	dy_count	clean_pair_slot_recipe	canonical_pair_skeleton	event_count	register_count	registers	page_count	surfaces	portable_reading_de
CH+E+O+R	CH	R	CH+R	NEHMEN → MARKIEREN	E	NONE	0	YES	CH+R|E|NONE|OPEN	16	3	BIOLOGICAL|CELESTIAL|PHARMA	8	cheor	NEHMEN · GRAD I · AUSFÜHRUNG · MARKIEREN
CH+E+O+R+OL	CH	R	CH+R	NEHMEN → MARKIEREN	E	NONE	0	YES	CH+R|E|NONE|OPEN	1	1	PHARMA	1	cheorol	NEHMEN · GRAD I · AUSFÜHRUNG · MARKIEREN · FORTSETZEN
CH+E+O+S	CH	S	CH+S	NEHMEN → WÄHLEN	E	NONE	0	YES	CH+S|E|NONE|OPEN	4	2	CELESTIAL|PHARMA	4	cheos	NEHMEN · GRAD I · AUSFÜHRUNG · WÄHLEN
CH+E+O+T+E+Y	CH	T	CH+T	NEHMEN → EINSTELLEN	E|E	Y	0	NO	NONCANONICAL_MULTISLOT	1	1	PHARMA	1	cheotey	NEHMEN · GRAD I · AUSFÜHRUNG · EINSTELLEN · GRAD I · POSTEN
CH+E+OL+CH+E+Y	CH	CH	CH+CH	NEHMEN → NEHMEN	E|E	Y	0	NO	NONCANONICAL_MULTISLOT	1	1	BIOLOGICAL	1	cheolchey	NEHMEN · GRAD I · FORTSETZEN · NEHMEN · GRAD I · POSTEN
CH+E+OL+T+AR	CH	T	CH+T	NEHMEN → EINSTELLEN	E	NONE	0	YES	CH+T|E|NONE|OPEN	1	1	BIOLOGICAL	1	checholtar	NEHMEN · GRAD I · FORTSETZEN · EINSTELLEN · AUSGANG
CH+E+P	CH	P	CH+P	NEHMEN → EINSETZEN	E	NONE	0	YES	CH+P|E|NONE|OPEN	1	1	BIOLOGICAL	1	chep	NEHMEN · GRAD I · EINSETZEN
CH+E+P+OL	CH	P	CH+P	NEHMEN → EINSETZEN	E	NONE	0	YES	CH+P|E|NONE|OPEN	1	1	BIOLOGICAL	1	chepol	NEHMEN · GRAD I · EINSETZEN · FORTSETZEN
CH+E+P+Y	CH	P	CH+P	NEHMEN → EINSETZEN	E	Y	0	YES	CH+P|E|Y|OPEN	2	2	BIOLOGICAL|PHARMA	2	chepy	NEHMEN · GRAD I · EINSETZEN · POSTEN
CH+E+S	CH	S	CH+S	NEHMEN → WÄHLEN	E	NONE	0	YES	CH+S|E|NONE|OPEN	6	2	BIOLOGICAL|CELESTIAL	5	ches	NEHMEN · GRAD I · WÄHLEN
CH+E+T+E+D_ADDR+Y	CH	T	CH+T	NEHMEN → EINSTELLEN	E|E	Y	0	NO	NONCANONICAL_MULTISLOT	1	1	BIOLOGICAL	1	chetedy	NEHMEN · GRAD I · EINSTELLEN · GRAD I · HIER · POSTEN
CH+E+T+E+LOCAL_CHAR_G	CH	T	CH+T	NEHMEN → EINSTELLEN	E|E	NONE	0	NO	NONCANONICAL_MULTISLOT	1	1	HERBAL	1	cheteg	NEHMEN · GRAD I · EINSTELLEN · GRAD I · VARIANTE
CH+E+T+E+Y	CH	T	CH+T	NEHMEN → EINSTELLEN	E|E	Y	0	NO	NONCANONICAL_MULTISLOT	2	2	BIOLOGICAL|CELESTIAL	2	chetey	NEHMEN · GRAD I · EINSTELLEN · GRAD I · POSTEN
CH+EE+T+EE+Y	CH	T	CH+T	NEHMEN → EINSTELLEN	EE|EE	Y	0	NO	NONCANONICAL_MULTISLOT	1	1	CELESTIAL	1	cheeteey	NEHMEN · GRAD II · EINSTELLEN · GRAD II · POSTEN
CH+EE+T+Y	CH	T	CH+T	NEHMEN → EINSTELLEN	EE	Y	0	YES	CH+T|EE|Y|OPEN	1	1	BIOLOGICAL	1	cheety	NEHMEN · GRAD II · EINSTELLEN · POSTEN
CH+K	CH	K	CH+K	NEHMEN → GEBEN	NONE	NONE	0	YES	CH+K|NONE|NONE|OPEN	1	1	BIOLOGICAL	1	chckh	NEHMEN · GEBEN
CH+K+AIIN	CH	K	CH+K	NEHMEN → GEBEN	NONE	AIIN	0	YES	CH+K|NONE|AIIN|OPEN	3	2	CELESTIAL|PHARMA	2	chekaiin|chkaiin	NEHMEN · GEBEN · WERT
CH+K+AIN	CH	K	CH+K	NEHMEN → GEBEN	NONE	AIN	0	YES	CH+K|NONE|AIN|OPEN	4	2	SOURCE_SECTION_T|BIOLOGICAL	3	chekain|chkain	NEHMEN · GEBEN · ANTEIL
CH+K+AIR	CH	K	CH+K	NEHMEN → GEBEN	NONE	NONE	0	YES	CH+K|NONE|NONE|OPEN	1	1	BIOLOGICAL	1	chekair	NEHMEN · GEBEN · BAHN
CH+K+AL	CH	K	CH+K	NEHMEN → GEBEN	NONE	NONE	0	YES	CH+K|NONE|NONE|OPEN	3	2	BIOLOGICAL|CELESTIAL	3	chekal|chkal|ckhal	NEHMEN · GEBEN · ZIELORT
CH+K+AM_ADDR	CH	K	CH+K	NEHMEN → GEBEN	NONE	NONE	0	YES	CH+K|NONE|NONE|OPEN	1	1	BIOLOGICAL	1	chekam	NEHMEN · GEBEN · HIER
CH+K+AR	CH	K	CH+K	NEHMEN → GEBEN	NONE	NONE	0	YES	CH+K|NONE|NONE|OPEN	4	3	SOURCE_SECTION_T|BIOLOGICAL|CELESTIAL	3	chekar|chkar|ckhar	NEHMEN · GEBEN · AUSGANG
CH+K+E+D_ADDR+Y	CH	K	CH+K	NEHMEN → GEBEN	E	Y	0	YES	CH+K|E|Y|OPEN	2	1	BIOLOGICAL	2	chkedy	NEHMEN · GEBEN · GRAD I · HIER · POSTEN
CH+K+E+OL	CH	K	CH+K	NEHMEN → GEBEN	E	NONE	0	YES	CH+K|E|NONE|OPEN	1	1	CELESTIAL	1	chekeol	NEHMEN · GEBEN · GRAD I · FORTSETZEN
CH+K+E+OR	CH	K	CH+K	NEHMEN → GEBEN	E	OR	0	YES	CH+K|E|OR|OPEN	1	1	PHARMA	1	chkeor	NEHMEN · GEBEN · GRAD I · EINHEIT
CH+K+E+Y	CH	K	CH+K	NEHMEN → GEBEN	E	Y	0	YES	CH+K|E|Y|OPEN	13	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	8	cheky|ckhey	NEHMEN · GEBEN · GRAD I · POSTEN
CH+K+EE+AL	CH	K	CH+K	NEHMEN → GEBEN	EE	NONE	0	YES	CH+K|EE|NONE|OPEN	1	1	CELESTIAL	1	chkeeal	NEHMEN · GEBEN · GRAD II · ZIELORT
CH+K+EE+DY	CH	K	CH+K	NEHMEN → GEBEN	EE	NONE	1	YES	CH+K|EE|NONE|CLOSE	2	1	BIOLOGICAL	2	chekeedy|chkeedy	NEHMEN · GEBEN · GRAD II · SCHLUSS
CH+K+EE+Y	CH	K	CH+K	NEHMEN → GEBEN	EE	Y	0	YES	CH+K|EE|Y|OPEN	6	2	HERBAL|BIOLOGICAL	6	cheeky|chkeey	NEHMEN · GEBEN · GRAD II · POSTEN
CH+K+O	CH	K	CH+K	NEHMEN → GEBEN	NONE	NONE	0	YES	CH+K|NONE|NONE|OPEN	2	2	HERBAL|PHARMA	2	chckho|ckho	NEHMEN · GEBEN · AUSFÜHRUNG
CH+K+O+DY	CH	K	CH+K	NEHMEN → GEBEN	NONE	NONE	1	YES	CH+K|NONE|NONE|CLOSE	1	1	HERBAL	1	ckhody	NEHMEN · GEBEN · AUSFÜHRUNG · SCHLUSS
CH+K+O+D_ADDR+Y	CH	K	CH+K	NEHMEN → GEBEN	NONE	Y	0	YES	CH+K|NONE|Y|OPEN	1	1	CELESTIAL	1	chekody	NEHMEN · GEBEN · AUSFÜHRUNG · HIER · POSTEN
CH+K+O+Y	CH	K	CH+K	NEHMEN → GEBEN	NONE	Y	0	YES	CH+K|NONE|Y|OPEN	1	1	CELESTIAL	1	chekoy	NEHMEN · GEBEN · AUSFÜHRUNG · POSTEN
CH+K+OL	CH	K	CH+K	NEHMEN → GEBEN	NONE	NONE	0	YES	CH+K|NONE|NONE|OPEN	5	3	HERBAL|CELESTIAL|PHARMA	4	chckhol|chekol|ckhol	NEHMEN · GEBEN · FORTSETZEN
CH+K+OR	CH	K	CH+K	NEHMEN → GEBEN	NONE	OR	0	YES	CH+K|NONE|OR|OPEN	3	2	HERBAL|BIOLOGICAL	3	chkor|chkorol|ckhor	NEHMEN · GEBEN · EINHEIT
CH+K+Y	CH	K	CH+K	NEHMEN → GEBEN	NONE	Y	0	YES	CH+K|NONE|Y|OPEN	29	4	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	14	chchky|chckhy|chky|ckhy|qckhsy	NEHMEN · GEBEN · POSTEN
CH+O+CH+LOCAL_CHAR_F+E+Y	CH	CH	CH+CH	NEHMEN → NEHMEN	E	Y	0	YES	CH+CH|E|Y|OPEN	1	1	HERBAL	1	chocfhey	NEHMEN · AUSFÜHRUNG · NEHMEN · HIER · GRAD I · POSTEN
CH+O+CH+LOCAL_CHAR_F+Y	CH	CH	CH+CH	NEHMEN → NEHMEN	NONE	Y	0	YES	CH+CH|NONE|Y|OPEN	2	2	BIOLOGICAL|CELESTIAL	2	chcfhdy|chocfhy	NEHMEN · AUSFÜHRUNG · NEHMEN · HIER · POSTEN
CH+O+E+R	CH	R	CH+R	NEHMEN → MARKIEREN	E	NONE	0	YES	CH+R|E|NONE|OPEN	1	1	CELESTIAL	1	choer	NEHMEN · AUSFÜHRUNG · GRAD I · MARKIEREN
CH+O+P	CH	P	CH+P	NEHMEN → EINSETZEN	NONE	NONE	0	YES	CH+P|NONE|NONE|OPEN	1	1	HERBAL	1	chop	NEHMEN · AUSFÜHRUNG · EINSETZEN
CH+O+S	CH	S	CH+S	NEHMEN → WÄHLEN	NONE	NONE	0	YES	CH+S|NONE|NONE|OPEN	5	3	HERBAL|CELESTIAL|PHARMA	3	chos	NEHMEN · AUSFÜHRUNG · WÄHLEN
CH+OL+D_ADDR+SH+Y	CH	SH	CH+SH	NEHMEN → HALTEN	NONE	Y	0	YES	CH+SH|NONE|Y|OPEN	1	1	HERBAL	1	choldshy	NEHMEN · FORTSETZEN · HIER · HALTEN · POSTEN
CH+OR+CH+Y	CH	CH	CH+CH	NEHMEN → NEHMEN	NONE	OR|Y	0	NO	NONCANONICAL_MULTISLOT	2	1	HERBAL	2	chorchy	NEHMEN · EINHEIT · NEHMEN · POSTEN
CH+OR+OL+S+AL	CH	S	CH+S	NEHMEN → WÄHLEN	NONE	OR	0	YES	CH+S|NONE|OR|OPEN	1	1	PHARMA	1	chorcholsal	NEHMEN · EINHEIT · FORTSETZEN · WÄHLEN · ZIELORT
CH+OR+SH+E+DY	CH	SH	CH+SH	NEHMEN → HALTEN	E	OR	1	YES	CH+SH|E|OR|CLOSE	1	1	BIOLOGICAL	1	chorshedy	NEHMEN · EINHEIT · HALTEN · GRAD I · SCHLUSS
CH+OT+CH+E+Y	CH	CH	CH+CH	NEHMEN → NEHMEN	E	Y	0	YES	CH+CH|E|Y|OPEN	1	1	HERBAL	1	chotchey	NEHMEN · DANACH · NEHMEN · GRAD I · POSTEN
CH+P+AL	CH	P	CH+P	NEHMEN → EINSETZEN	NONE	NONE	0	YES	CH+P|NONE|NONE|OPEN	1	1	BIOLOGICAL	1	cphal	NEHMEN · EINSETZEN · ZIELORT
CH+P+AL+DY	CH	P	CH+P	NEHMEN → EINSETZEN	NONE	NONE	1	YES	CH+P|NONE|NONE|CLOSE	1	1	HERBAL	1	cphaldy	NEHMEN · EINSETZEN · ZIELORT · SCHLUSS
CH+P+AR	CH	P	CH+P	NEHMEN → EINSETZEN	NONE	NONE	0	YES	CH+P|NONE|NONE|OPEN	1	1	SOURCE_SECTION_T	1	cphar	NEHMEN · EINSETZEN · AUSGANG
CH+P+E+AL+Y	CH	P	CH+P	NEHMEN → EINSETZEN	E	Y	0	YES	CH+P|E|Y|OPEN	1	1	SOURCE_SECTION_T	1	cphealy	NEHMEN · EINSETZEN · GRAD I · ZIELORT · POSTEN
CH+P+E+DY	CH	P	CH+P	NEHMEN → EINSETZEN	E	NONE	1	YES	CH+P|E|NONE|CLOSE	1	1	BIOLOGICAL	1	cphedy	NEHMEN · EINSETZEN · GRAD I · SCHLUSS
CH+P+E+O+DY	CH	P	CH+P	NEHMEN → EINSETZEN	E	NONE	1	YES	CH+P|E|NONE|CLOSE	1	1	PHARMA	1	cpheody	NEHMEN · EINSETZEN · GRAD I · AUSFÜHRUNG · SCHLUSS
CH+P+E+Y	CH	P	CH+P	NEHMEN → EINSETZEN	E	Y	0	YES	CH+P|E|Y|OPEN	3	3	SOURCE_SECTION_T|BIOLOGICAL|PHARMA	3	cphey|qocphey	NEHMEN · EINSETZEN · GRAD I · POSTEN
CH+P+EEE+D_ADDR+OL	CH	P	CH+P	NEHMEN → EINSETZEN	EEE	NONE	0	YES	CH+P|EEE|NONE|OPEN	1	1	PHARMA	1	cpheeedol	NEHMEN · EINSETZEN · GRAD III · HIER · FORTSETZEN
CH+P+O	CH	P	CH+P	NEHMEN → EINSETZEN	NONE	NONE	0	YES	CH+P|NONE|NONE|OPEN	1	1	SOURCE_SECTION_T	1	cpho	NEHMEN · EINSETZEN · AUSFÜHRUNG
CH+P+O+D_ADDR+AL	CH	P	CH+P	NEHMEN → EINSETZEN	NONE	NONE	0	YES	CH+P|NONE|NONE|OPEN	1	1	SOURCE_SECTION_T	1	cphodal	NEHMEN · EINSETZEN · AUSFÜHRUNG · HIER · ZIELORT
CH+P+O+Y	CH	P	CH+P	NEHMEN → EINSETZEN	NONE	Y	0	YES	CH+P|NONE|Y|OPEN	1	1	SOURCE_SECTION_T	1	cphoy	NEHMEN · EINSETZEN · AUSFÜHRUNG · POSTEN
CH+P+OL	CH	P	CH+P	NEHMEN → EINSETZEN	NONE	NONE	0	YES	CH+P|NONE|NONE|OPEN	2	2	CELESTIAL|PHARMA	2	cphol	NEHMEN · EINSETZEN · FORTSETZEN
CH+P+OR	CH	P	CH+P	NEHMEN → EINSETZEN	NONE	OR	0	YES	CH+P|NONE|OR|OPEN	2	2	HERBAL|CELESTIAL	2	chpor|cphor	NEHMEN · EINSETZEN · EINHEIT
CH+P+Y	CH	P	CH+P	NEHMEN → EINSETZEN	NONE	Y	0	YES	CH+P|NONE|Y|OPEN	2	2	SOURCE_SECTION_T|HERBAL	2	cphy	NEHMEN · EINSETZEN · POSTEN
CH+R	CH	R	CH+R	NEHMEN → MARKIEREN	NONE	NONE	0	YES	CH+R|NONE|NONE|OPEN	1	1	BIOLOGICAL	1	chr	NEHMEN · MARKIEREN
CH+S	CH	S	CH+S	NEHMEN → WÄHLEN	NONE	NONE	0	YES	CH+S|NONE|NONE|OPEN	1	1	CELESTIAL	1	chs	NEHMEN · WÄHLEN
CH+S+DY	CH	S	CH+S	NEHMEN → WÄHLEN	NONE	NONE	1	YES	CH+S|NONE|NONE|CLOSE	1	1	BIOLOGICAL	1	chsdy	NEHMEN · WÄHLEN · SCHLUSS
CH+T	CH	T	CH+T	NEHMEN → EINSTELLEN	NONE	NONE	0	YES	CH+T|NONE|NONE|OPEN	1	1	HERBAL	1	cth	NEHMEN · EINSTELLEN
CH+T+AIIN	CH	T	CH+T	NEHMEN → EINSTELLEN	NONE	AIIN	0	YES	CH+T|NONE|AIIN|OPEN	4	2	SOURCE_SECTION_T|HERBAL	3	chtaiin|cthaiin	NEHMEN · EINSTELLEN · WERT
CH+T+AL	CH	T	CH+T	NEHMEN → EINSTELLEN	NONE	NONE	0	YES	CH+T|NONE|NONE|OPEN	6	3	SOURCE_SECTION_T|HERBAL|BIOLOGICAL	4	chcthal|chtal|cthal	NEHMEN · EINSTELLEN · ZIELORT
CH+T+AR	CH	T	CH+T	NEHMEN → EINSTELLEN	NONE	NONE	0	YES	CH+T|NONE|NONE|OPEN	6	3	SOURCE_SECTION_T|HERBAL|BIOLOGICAL	4	cthar	NEHMEN · EINSTELLEN · AUSGANG
CH+T+E+O+D_ADDR	CH	T	CH+T	NEHMEN → EINSTELLEN	E	NONE	0	YES	CH+T|E|NONE|OPEN	1	1	HERBAL	1	ctheod	NEHMEN · EINSTELLEN · GRAD I · AUSFÜHRUNG · HIER
CH+T+E+O+Y	CH	T	CH+T	NEHMEN → EINSTELLEN	E	Y	0	YES	CH+T|E|Y|OPEN	1	1	PHARMA	1	ctheody	NEHMEN · EINSTELLEN · GRAD I · AUSFÜHRUNG · POSTEN
CH+T+E+OL	CH	T	CH+T	NEHMEN → EINSTELLEN	E	NONE	0	YES	CH+T|E|NONE|OPEN	1	1	PHARMA	1	ctheol	NEHMEN · EINSTELLEN · GRAD I · FORTSETZEN
CH+T+E+Y	CH	T	CH+T	NEHMEN → EINSTELLEN	E	Y	0	YES	CH+T|E|Y|OPEN	6	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	6	cthey|qctheed|qcthey	NEHMEN · EINSTELLEN · GRAD I · POSTEN
CH+T+EE+Y	CH	T	CH+T	NEHMEN → EINSTELLEN	EE	Y	0	YES	CH+T|EE|Y|OPEN	1	1	CELESTIAL	1	chteey	NEHMEN · EINSTELLEN · GRAD II · POSTEN
CH+T+LOCAL_CHAR_I+AR	CH	T	CH+T	NEHMEN → EINSTELLEN	NONE	NONE	0	YES	CH+T|NONE|NONE|OPEN	1	1	SOURCE_SECTION_T	1	cthiar	NEHMEN · EINSTELLEN · VARIANTE · AUSGANG
CH+T+O	CH	T	CH+T	NEHMEN → EINSTELLEN	NONE	NONE	0	YES	CH+T|NONE|NONE|OPEN	2	1	HERBAL	2	ctho	NEHMEN · EINSTELLEN · AUSFÜHRUNG
CH+T+O+AR+Y	CH	T	CH+T	NEHMEN → EINSTELLEN	NONE	Y	0	YES	CH+T|NONE|Y|OPEN	1	1	SOURCE_SECTION_T	1	cthoary	NEHMEN · EINSTELLEN · AUSFÜHRUNG · AUSGANG · POSTEN
CH+T+O+OR	CH	T	CH+T	NEHMEN → EINSTELLEN	NONE	OR	0	YES	CH+T|NONE|OR|OPEN	1	1	HERBAL	1	cthoor	NEHMEN · EINSTELLEN · AUSFÜHRUNG · EINHEIT
CH+T+OL	CH	T	CH+T	NEHMEN → EINSTELLEN	NONE	NONE	0	YES	CH+T|NONE|NONE|OPEN	6	4	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|PHARMA	5	cthol	NEHMEN · EINSTELLEN · FORTSETZEN
CH+T+OL+D_ADDR+AR	CH	T	CH+T	NEHMEN → EINSTELLEN	NONE	NONE	0	YES	CH+T|NONE|NONE|OPEN	1	1	SOURCE_SECTION_T	1	ctholdar	NEHMEN · EINSTELLEN · FORTSETZEN · HIER · AUSGANG
CH+T+OR	CH	T	CH+T	NEHMEN → EINSTELLEN	NONE	OR	0	YES	CH+T|NONE|OR|OPEN	3	2	SOURCE_SECTION_T|HERBAL	3	chtor|cthor	NEHMEN · EINSTELLEN · EINHEIT
CH+T+Y	CH	T	CH+T	NEHMEN → EINSTELLEN	NONE	Y	0	YES	CH+T|NONE|Y|OPEN	19	3	SOURCE_SECTION_T|HERBAL|BIOLOGICAL	10	checthy|chty|cthy	NEHMEN · EINSTELLEN · POSTEN
CH+T+Y+D_ADDR	CH	T	CH+T	NEHMEN → EINSTELLEN	NONE	Y	0	YES	CH+T|NONE|Y|OPEN	1	1	HERBAL	1	cthyd	NEHMEN · EINSTELLEN · POSTEN · HIER
CH+Y+K+E+Y	CH	K	CH+K	NEHMEN → GEBEN	E	Y|Y	0	NO	NONCANONICAL_MULTISLOT	1	1	HERBAL	1	chykey	NEHMEN · POSTEN · GEBEN · GRAD I · POSTEN
CHD+Y+K+AIN	CHD	K	CHD+K	BEARBEITEN → GEBEN	NONE	Y|AIN	0	NO	NONCANONICAL_MULTISLOT	1	1	HERBAL	1	chdykain	BEARBEITEN · POSTEN · GEBEN · ANTEIL
CHD+Y+K+AR	CHD	K	CHD+K	BEARBEITEN → GEBEN	NONE	Y	0	YES	CHD+K|NONE|Y|OPEN	1	1	BIOLOGICAL	1	chedykar	BEARBEITEN · POSTEN · GEBEN · AUSGANG
CHD+Y+OK+AM_ADDR	CHD	OK	CHD+OK	BEARBEITEN → SETZEN	NONE	Y	0	YES	CHD+OK|NONE|Y|OPEN	1	1	BIOLOGICAL	1	chedyqokam	BEARBEITEN · POSTEN · SETZEN · HIER
CHD+Y+T+Y	CHD	T	CHD+T	BEARBEITEN → EINSTELLEN	NONE	Y|Y	0	NO	NONCANONICAL_MULTISLOT	1	1	HERBAL	1	chdyty	BEARBEITEN · POSTEN · EINSTELLEN · POSTEN
DA+CH+K+Y	CH	K	CH+K	NEHMEN → GEBEN	NONE	Y	0	YES	CH+K|NONE|Y|OPEN	1	1	BIOLOGICAL	1	dackhy	ZWEITE STUFE · NEHMEN · GEBEN · POSTEN
D_ADDR+CH+E+O+K+E+D_ADDR+Y	CH	K	CH+K	NEHMEN → GEBEN	E|E	Y	0	NO	NONCANONICAL_MULTISLOT	1	1	BIOLOGICAL	1	dcheokedy	HIER · NEHMEN · GRAD I · AUSFÜHRUNG · GEBEN · GRAD I · HIER · POSTEN
D_ADDR+CH+E+O+R	CH	R	CH+R	NEHMEN → MARKIEREN	E	NONE	0	YES	CH+R|E|NONE|OPEN	1	1	HERBAL	1	dcheor	HIER · NEHMEN · GRAD I · AUSFÜHRUNG · MARKIEREN
D_ADDR+CH+S+E+D_ADDR	CH	S	CH+S	NEHMEN → WÄHLEN	E	NONE	0	YES	CH+S|E|NONE|OPEN	1	1	BIOLOGICAL	1	dchsed	HIER · NEHMEN · WÄHLEN · GRAD I · HIER
D_ADDR+K+SH+E+Y	K	SH	K+SH	GEBEN → HALTEN	E	Y	0	YES	K+SH|E|Y|OPEN	1	1	HERBAL	1	dkshey	HIER · GEBEN · HALTEN · GRAD I · POSTEN
D_ADDR+SH+EE+S	SH	S	SH+S	HALTEN → WÄHLEN	EE	NONE	0	YES	SH+S|EE|NONE|OPEN	1	1	BIOLOGICAL	1	dshees	HIER · HALTEN · GRAD II · WÄHLEN
D_ADDR+Y+L+CH+E+S	CH	S	CH+S	NEHMEN → WÄHLEN	E	Y	0	YES	CH+S|E|Y|OPEN	2	1	BIOLOGICAL	2	dylches|shlches	HIER · POSTEN · VERBINDUNG · NEHMEN · GRAD I · WÄHLEN
E+CH+K+E+AR	CH	K	CH+K	NEHMEN → GEBEN	E|E	NONE	0	NO	NONCANONICAL_MULTISLOT	1	1	CELESTIAL	1	eckhear	GRAD I · NEHMEN · GEBEN · GRAD I · AUSGANG
