first_action	first_value_de	second_action	second_value_de	ordered_pair	ordered_reading_de	status	exact_recipe_type_count	event_count	clean_recipe_type_count	register_count	registers	licensed_grades	licensed_arguments	endpoint_license
T	EINSTELLEN	R	MARKIEREN	T+R	EINSTELLEN → MARKIEREN	PAIR_ABSENT	0	0	0	0	NONE	NONE	NONE	NO_CLOSE_SLOT
T	EINSTELLEN	P	EINSETZEN	T+P	EINSTELLEN → EINSETZEN	PAIR_ABSENT	0	0	0	0	NONE	NONE	NONE	NO_CLOSE_SLOT
R	MARKIEREN	OK	SETZEN	R+OK	MARKIEREN → SETZEN	PAIR_ABSENT	0	0	0	0	NONE	NONE	NONE	NO_CLOSE_SLOT
R	MARKIEREN	CH	NEHMEN	R+CH	MARKIEREN → NEHMEN	PAIR_ATTESTED	2	2	2	1	BIOLOGICAL	E	Y	NO_CLOSE_SLOT
R	MARKIEREN	SH	HALTEN	R+SH	MARKIEREN → HALTEN	PAIR_ATTESTED	4	6	4	1	BIOLOGICAL	E|EE	Y	CLOSE_SLOT_ATTESTED
R	MARKIEREN	K	GEBEN	R+K	MARKIEREN → GEBEN	PAIR_ABSENT	0	0	0	0	NONE	NONE	NONE	NO_CLOSE_SLOT
R	MARKIEREN	S	WÄHLEN	R+S	MARKIEREN → WÄHLEN	PAIR_ATTESTED	1	1	1	1	BIOLOGICAL	NONE	Y	NO_CLOSE_SLOT
R	MARKIEREN	CHD	BEARBEITEN	R+CHD	MARKIEREN → BEARBEITEN	PAIR_ATTESTED	1	2	1	1	BIOLOGICAL	NONE	Y	NO_CLOSE_SLOT
R	MARKIEREN	T	EINSTELLEN	R+T	MARKIEREN → EINSTELLEN	PAIR_ATTESTED	1	1	1	1	BIOLOGICAL	NONE	AIN	NO_CLOSE_SLOT
R	MARKIEREN	R	MARKIEREN	R+R	MARKIEREN → MARKIEREN	PAIR_ABSENT	0	0	0	0	NONE	NONE	NONE	NO_CLOSE_SLOT
R	MARKIEREN	P	EINSETZEN	R+P	MARKIEREN → EINSETZEN	PAIR_ABSENT	0	0	0	0	NONE	NONE	NONE	NO_CLOSE_SLOT
P	EINSETZEN	OK	SETZEN	P+OK	EINSETZEN → SETZEN	PAIR_ABSENT	0	0	0	0	NONE	NONE	NONE	NO_CLOSE_SLOT
P	EINSETZEN	CH	NEHMEN	P+CH	EINSETZEN → NEHMEN	PAIR_ATTESTED	16	16	15	4	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	E|EE	Y|AIIN|OR	CLOSE_SLOT_ATTESTED
P	EINSETZEN	SH	HALTEN	P+SH	EINSETZEN → HALTEN	PAIR_ATTESTED	11	15	11	4	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|PHARMA	E	Y|OR	CLOSE_SLOT_ATTESTED
P	EINSETZEN	K	GEBEN	P+K	EINSETZEN → GEBEN	PAIR_ATTESTED	2	2	0	2	BIOLOGICAL|PHARMA	E|EE	Y|OR	NO_CLOSE_SLOT
P	EINSETZEN	S	WÄHLEN	P+S	EINSETZEN → WÄHLEN	PAIR_ATTESTED	1	1	1	1	BIOLOGICAL	NONE	NONE	NO_CLOSE_SLOT
P	EINSETZEN	CHD	BEARBEITEN	P+CHD	EINSETZEN → BEARBEITEN	PAIR_ATTESTED	13	31	13	1	BIOLOGICAL	E	Y	CLOSE_SLOT_ATTESTED
P	EINSETZEN	T	EINSTELLEN	P+T	EINSETZEN → EINSTELLEN	PAIR_ABSENT	0	0	0	0	NONE	NONE	NONE	NO_CLOSE_SLOT
P	EINSETZEN	R	MARKIEREN	P+R	EINSETZEN → MARKIEREN	PAIR_ATTESTED	1	1	1	1	HERBAL	NONE	NONE	CLOSE_SLOT_ATTESTED
P	EINSETZEN	P	EINSETZEN	P+P	EINSETZEN → EINSETZEN	PAIR_ABSENT	0	0	0	0	NONE	NONE	NONE	NO_CLOSE_SLOT
