rank	page	locus	surface	working_default_de	practical_render_de	card_type	composition	strongest_rival_de	strength	reader_merge_surface	zl3b_line	v39_translation_de	v40_translation_de	status
11	f108v	f108v.35	sholkeedy	feuchte Drogenbasis, vollständig erhitzt	feuchte Drogenbasis, vollständig erhitzt	PRODUCTIVE_COMPOUND	SH_MOIST+OL_BASE+K_HOT+EEDY_FINISHED	heißer Feuchtauszug	MEDIUM_EXACT_WHOLE	NONE	daiin chedy lchedy sholkeedy qokeedy chey qokeey qokeedy oteedy lchedam	Grad-/Maßwert III; trocken in der Mitte des Grades, abgeschlossen; getrocknetes Drogenholz; [sholkeedy:?]; heiß am Ende des Grades, abgeschlossen; trocken in der Mitte des Grades; heiß am Ende des Grades; heiß am Ende des Grades, abgeschlossen; kalter Ansatz am Ende des Grades, abgeschlossen; ein Maß getrocknetes Drogenholz	drei Maße; bis zur mittleren Trockenstufe gebracht; getrocknetes Drogenholz; feuchte Drogenbasis, vollständig erhitzt; bis zur Heizendstufe gebracht; bis zur mittleren Trockenstufe; bis zur Heizendstufe; bis zur Heizendstufe gebracht; Ansatz auf Kühlendstufe abgeschlossen; ein Maß getrocknetes Drogenholz	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
12	f108v	f108v.45	chedar	abgemessene Trockenfraktion I, Mittelstufe	abgemessene Trockenfraktion I, Mittelstufe	PRODUCTIVE_COMPOUND	CH_DRY+E_MIDDLE+D_MEASURE+AR_FRACTION_I	anders getrenntes CHE+D+AR	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	sheol shedy qokeey chedar sheal qokeedy qokeedy qokey sheey qokeal aral	feuchtes Material; feucht in der Mitte des Grades, abgeschlossen; heiß am Ende des Grades; [chedar:?]; Rohstoffklasse I, feucht in der Gradmitte; heiß am Ende des Grades, abgeschlossen; heiß am Ende des Grades, abgeschlossen; heiß in der Mitte des Grades; feucht am Ende des Grades; Rohstoffklasse I, heiß in der Gradmitte; Rohdrogenfraktion I	feuchtes Material; bis zur mittleren Einweichstufe gebracht; bis zur Heizendstufe; abgemessene Trockenfraktion I, Mittelstufe; Rohstoff I bis zur mittleren Einweichstufe; bis zur Heizendstufe gebracht; bis zur Heizendstufe gebracht; bis zur mittleren Heizstufe; vollständig eingeweicht; Rohstoff I bis zur mittleren Heizstufe; Rohdrogenfraktion I	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
13	f108v	f108v.50	teedar	abgemessene kalte Fraktion I, Endstufe	abgemessene kalte Fraktion I, Endstufe	PRODUCTIVE_COMPOUND	T_COLD+EE_END+D_MEASURE+AR_FRACTION_I	abgekühlte Fraktion ohne Maßwert	MEDIUM_EXACT_WHOLE	NONE	dsheey oteey cheol teedar okeedy qokeedy checkhy oteey aiin okeey chey qokey	abgemessene, vollständig angefeuchtete Droge; kalter Ansatz am Ende des Grades; trockener Drogenstoff; [teedar:?]; heißer Ansatz am Ende des Grades, abgeschlossen; heiß am Ende des Grades, abgeschlossen; trockenes Arzneikompositum am Gradanfang; kalter Ansatz am Ende des Grades; Menge III; heißer Ansatz am Ende des Grades; trocken in der Mitte des Grades; heiß in der Mitte des Grades	abgemessene, vollständig angefeuchtete Droge; Ansatz auf Kühlendstufe; trockener Drogenstoff; abgemessene kalte Fraktion I, Endstufe; Ansatz auf Heizendstufe abgeschlossen; bis zur Heizendstufe gebracht; trockenes Arzneikompositum am Gradanfang; Ansatz auf Kühlendstufe; drei Teile; Ansatz auf Heizendstufe; bis zur mittleren Trockenstufe; bis zur mittleren Heizstufe	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
14	f10v	f10v.6	qotoiin	kalte Zubereitung, Form III	kalte Zubereitung, Form III	PRODUCTIVE_COMPOUND	QO_FRAME+T_COLD+O_PREP+IIN_III	QOTAIIN-Lesevariante: kalt, Stufe III	MEDIUM_EXACT_WHOLE	NONE	shoiin chor shcthy qoty qotoiin qokol chor aiin	Feuchtansatz, Form III; Pflanzen-/Reproduktionsteil; feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut; kalt am Anfang des Grades; [qotoiin:?]; erhitze Folgendes: Pflanzen-/Reproduktionsteil; Menge III	Feuchtansatz, Form III; Pflanzenteil; feuchte Krautdroge; leicht gekühlt; kalte Zubereitung, Form III; erhitze Folgendes: Pflanzenteil; drei Teile	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
15	f11v	f11v.3	qokchd	abgemessene heiß-trockene Droge	abgemessene heiß-trockene Droge	PRODUCTIVE_COMPOUND	QO_FRAME+K_HOT+CH_DRY+D_MEASURE	verkürztes QOKCHDY	MEDIUM_EXACT_WHOLE	NONE	otchor dy kchy tchy ar qokchd oky choldy dy	kalt-trockene Drogenportion im Ansatz; heiß und trocken am Anfang des Grades; kalt und trocken am Anfang des Grades; Drogenfraktion I; [qokchd:?]; heißer Ansatz am Anfang des Grades; fertig getrocknete Droge.	kalt-trockene Drogenportion im Ansatz; heiß und angetrocknet; kalt und angetrocknet; Drogenfraktion I; abgemessene heiß-trockene Droge; leicht erhitzter Ansatz; fertig getrocknete Droge.	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
16	f13r	f13r.9	ykoly	Eintrag: heißer Drogenstoff	hierzu: heißer Drogenstoff	ENTRY_COMPOSITE	Y_ENTRY+KOL_HOT_MATERIAL+Y_CLOSE	heißen Auszug abseihen	MEDIUM_EXACT_WHOLE	NONE	oldy shey chol doiin ykoly okchal daldy	fertiger, abgeseihter Auszug; feucht in der Mitte des Grades; trocken; nominal trockenes Gut/Material; Zubereitungsmaß, Form III; [ykoly:?]; Ansatz aus heiß-trockenem Rohstoff Klasse I am Gradanfang; abgemessene Rohstoffmenge I, abgeschlossen	fertiger, abgeseihter Auszug; bis zur mittleren Einweichstufe; Trockengut; Zubereitungsmaß, Form III; hierzu: heißer Drogenstoff; Ansatz aus heiß-trockenem Rohstoff Klasse I am Gradanfang; abgemessene Rohstoffmenge I, abgeschlossen	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
17	f15r	f15r.11	choross	Pflanzenteil als fertige Arzneispecies	Pflanzenteil als fertige Arzneispecies	PRODUCTIVE_COMPOUND	CHOR_PLANT_PART+O_PREP+SS_SPECIES	Pflanzenteile auskochen	LOW_EXPLORATORY	NONE	okaiin otaiin chl sy chor choross	heiß, Grad III, im Ansatzrahmen; kalt im Zubereitungsrahmen, Grad III; trockne Folgendes: Saatgut in Grundform; Pflanzen-/Reproduktionsteil; [choross:?]	Ansatz auf Heizstufe III; kalt im Zubereitungsrahmen, Grad III; trockne Folgendes: Saatgut in Grundform; Pflanzenteil; Pflanzenteil als fertige Arzneispecies	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
18	f16r	f16r.11	sokchy	heiß-trockener Samenansatz, Grundform	heiß-trockener Samenansatz, Grundform	PRODUCTIVE_COMPOUND	S_SEED+O_PREP+K_HOT+CH_DRY+Y_BASE	Salz statt Saat	MEDIUM_EXACT_WHOLE	NONE	sokchy qokol choty okchy cthy chy kchy	[sokchy:?]; erhitze Folgendes: kalter Trockenansatz; heiß-trockener Ansatz am Anfang des Grades; CTH-Drogenmaterial; trocken am Anfang des Grades; heiß und trocken am Anfang des Grades	heiß-trockener Samenansatz, Grundform; erhitze Folgendes: kalter Trockenansatz; heiß-trockener Ansatz am Anfang des Grades; Krautdroge; angetrocknet; heiß und angetrocknet	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
19	f18r	f18r.10	qokchol	heiß-trockenes Drogenmaterial	heiß-trockenes Drogenmaterial	PRODUCTIVE_COMPOUND	QO_FRAME+K_HOT+CHOL_DRY_MATERIAL	Trockengut erhitzen	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	dar shor qokchol ol ydaiin	abgemessene Fraktion I; Blüten-/Fruchtstand; reproduktiver Teil; [qokchol:?]; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; davon drei Maße	abgemessene Fraktion I; Blüten-/Fruchtstand; Blüten- oder Fruchtdroge; heiß-trockenes Drogenmaterial; Grundansatz; davon drei Maße	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
20	f22r	f22r.12	odchaiin	Ansatz aus abgemessener Trockendroge, Stufe III	Ansatz aus abgemessener Trockendroge, Stufe III	PRODUCTIVE_COMPOUND	O_PREP+D_MEASURE+CH_DRY+A+IIN_III	Trockenheitsstufe III ohne Dosis	MEDIUM_EXACT_WHOLE	NONE	odchaiin cthy okchy kchy dchol daiin ydaiin	[odchaiin:?]; CTH-Drogenmaterial; heiß-trockener Ansatz am Anfang des Grades; heiß und trocken am Anfang des Grades; Maß trockenen Materials; Qualitätsgrad III; davon drei Maße	Ansatz aus abgemessener Trockendroge, Stufe III; Krautdroge; heiß-trockener Ansatz am Anfang des Grades; heiß und angetrocknet; Maß trockenen Materials; Stufe III; davon drei Maße	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
21	f22v	f22v.6	fshor	Blütendroge / Blütenstand	Blütendroge / Blütenstand	LEARNED_WHOLE	LEARNED_F_FLOWER+SHOR_PART	undurchsichtiges Pflanzenteil	LOW_EXPLORATORY	NONE	fshor shy tchor otaiin	[fshor:?]; feucht am Anfang des Grades; kalt-trockene Drogenportion; kalt im Zubereitungsrahmen, Grad III	Blütendroge / Blütenstand; leicht angefeuchtet; kalt-trockene Drogenportion; kalt im Zubereitungsrahmen, Grad III	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
22	f23v	f23v.7	ylg	in ein Holzgefäß geben	gib Vorstehendes in ein Holzgefäß.	LEARNED_ACTION_WHOLE	LEARNED_CONTAINER_ACTION	Drogenposten oder Abschlusszeichen	LOW_EXPLORATORY	NONE	otor oiin sho shol qokol daiin sol daiin ylg	kalte Drogenportion im Ansatz; Zubereitungsform III; feuchter Ansatz; feucht; nominal feuchtes Gut/Material; erhitze bis Grad III; Samenmaterial/Saatgut; Qualitätsgrad III; [ylg:?]	kalte Drogenportion im Ansatz; Zubereitungsform III; feuchter Ansatz; Feuchtgut; erhitze bis Grad III; Samenmaterial/Saatgut; Stufe III; gib Vorstehendes in ein Holzgefäß.	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
23	f24r	f24r.17	cthoj	ein Bündel Kraut	ein Bündel Kraut	LEARNED_WHOLE	CTHO_HERB_PREP+J_BUNDLE_UNIT	bloßer Krautansatz	LOW_EXPLORATORY	NONE	sshey otam sham cthoj oky	eingeweichte Saat, Form I; ein Maß kalten Ansatzes; ein Maß Flüssigkeit; [cthoj:?]; heißer Ansatz am Anfang des Grades	eingeweichte Saat, Form I; ein Maß kalten Ansatzes; ein Maß Flüssigkeit; ein Bündel Kraut; leicht erhitzter Ansatz	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
24	f28v	f28v.9	choly	Trockenrückstand	Trockenrückstand	PRODUCTIVE_COMPOUND	CHOL_DRY_MATERIAL+Y_CLOSE	trocken abseihen	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	sor chear chl choly dar	Samenportion; trockene Fraktion I; trockne Folgendes: [choly:?]; abgemessene Fraktion I	Samenportion; trockene Fraktion I; trockne Folgendes: Trockenrückstand; abgemessene Fraktion I	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
25	f31r	f31r.4	lo	Holzabsud	Holzabsud	PRODUCTIVE_COMPOUND	L_WOOD+O_DECOCTION	Flüssigkeitsansatz	MEDIUM_EXACT_WHOLE	NONE	qotar chy dar lo r ar cheey keeol chedy qokey	kalte Drogenfraktion I; trocken am Anfang des Grades; abgemessene Fraktion I; [lo:?]; Wurzel; Drogenfraktion I; trocken am Ende des Grades; stark erhitzter Drogenstoff; trocken in der Mitte des Grades, abgeschlossen; heiß in der Mitte des Grades	kalte Drogenfraktion I; angetrocknet; abgemessene Fraktion I; Holzabsud; Wurzel; Drogenfraktion I; vollständig getrocknet; stark erhitzter Drogenstoff; bis zur mittleren Trockenstufe gebracht; bis zur mittleren Heizstufe	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
26	f32r	f32r.10	dchor	abgemessener Pflanzenteil	abgemessener Pflanzenteil	PRODUCTIVE_COMPOUND	D_MEASURE+CHOR_PLANT_PART	trockene Portion	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	dchor ctho daiin	[dchor:?]; Krautansatz; Grad-/Maßwert III	abgemessener Pflanzenteil; Krautansatz; drei Maße	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
27	f32v	f32v.5	dosg	eine Dosis Rückstand	eine Dosis Rückstand	PRODUCTIVE_COMPOUND	D_DOSE+O_PREP+SG_RESIDUE	abgemessener Samenansatz	LOW_EXPLORATORY	NONE	chokchy daiin shy chor qo kaiin dain dchol dosg	Trockenansatz: heiß-trockene Grundform; Grad-/Maßwert III; feucht am Anfang des Grades; Pflanzen-/Reproduktionsteil; nimm Folgendes: heiß, Grad III; Grad-/Maßwert II; Maß trockenen Materials; [dosg:?]	Trockenansatz: heiß-trockene Grundform; drei Maße; leicht angefeuchtet; Pflanzenteil; nimm Folgendes: heiß, Grad III; zwei Maße; Maß trockenen Materials; eine Dosis Rückstand	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
28	f35r	f35r.3	cthory	Portion Blatt- oder Krautdroge	Portion Blatt- oder Krautdroge	PRODUCTIVE_COMPOUND	CTH_HERB+OR_PORTION+Y_BASE	neutrale CTH-Materialform	MEDIUM_EXACT_WHOLE	NONE	dchaiin cthey qotchey taiin cthory	abgemessene Trockendroge, Grad III; CTH-Drogenmaterial, Form I; im Herbal Blatt-/Krautdroge, Form I; kalt und trocken in der Mitte des Grades; kalt, Grad III; [cthory:?]	abgemessene Trockendroge, Grad III; Krautdroge, Form I; Blatt-/Krautdroge, Form I; kalt und bis zur mittleren Trockenstufe; kalt, Grad III; Portion Blatt- oder Krautdroge	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
29	f35r	f35r.7	shosaiin	eingeweichtes Saatgut, Charge III	eingeweichtes Saatgut, Charge III	PRODUCTIVE_COMPOUND	SH_MOIST+O_PREP+S_SEED+A+IIN_III	feuchte Salzlösung, Menge III	MEDIUM_EXACT_WHOLE	NONE	shosaiin tchor choky	[shosaiin:?]; kalt-trockene Drogenportion; heiß-trockene Zubereitung, Grundform	eingeweichtes Saatgut, Charge III; kalt-trockene Drogenportion; heiß-trockene Zubereitung, Grundform	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
30	f35v	f35v.4	ytchy	Eintrag: kalt-trockene Grundform	Eintrag: kalt-trockene Grundform	ENTRY_COMPOSITE	Y_ENTRY+T_COLD+CH_DRY+Y_BASE	hierzu kalt-trocken	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	ytchy qotchy dchy cthy	[ytchy:?]; kalt und trocken am Anfang des Grades; Dosis Trockendroge, Grundform; CTH-Drogenmaterial	Eintrag: kalt-trockene Grundform; kalt und angetrocknet; Dosis Trockendroge, Grundform; Krautdroge	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
31	f35v	f35v.7	tcho	Kalt-Trockenansatz	Kalt-Trockenansatz	PRODUCTIVE_COMPOUND	T_COLD+CHO_DRY_PREP	kühlen und trocknen	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	tcho tchor shol sho kol daiin	[tcho:?]; kalt-trockene Drogenportion; feucht; nominal feuchtes Gut/Material; feuchter Ansatz; heiß; nominal heißes Gut/Material; Qualitätsgrad III	Kalt-Trockenansatz; kalt-trockene Drogenportion; Feuchtgut; feuchter Ansatz; heiß; nominal heißes Gut/Material; Stufe III	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
32	f37r	f37r.3	ckhor	Portion Arzneikompositum	Portion Arzneikompositum	PRODUCTIVE_COMPOUND	CKH_COMPOSITE+OR_PORTION	undurchsichtige Pflanzenportion	MEDIUM_EXACT_WHOLE	NONE	qo shy qokaiin cthol dy ckhor oky dy	nimm Folgendes: feucht am Anfang des Grades; heiß, Grad III; CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge; [ckhor:?]; heißer Ansatz am Anfang des Grades.	nimm Folgendes: leicht angefeuchtet; heiß, Grad III; CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge; Portion Arzneikompositum; leicht erhitzter Ansatz.	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
33	f3r	f3r.11	sols	fertige Salzspecies	fertige Salzspecies	PRODUCTIVE_COMPOUND	SOL_SALT+S_SPECIES	fertiger Saatgutposten	MEDIUM_EXACT_WHOLE	NONE	pcheol shol sols sheol shey	getrockneter Pulverstoff; feucht; nominal feuchtes Gut/Material; [sols:?]; feuchtes Material; feucht in der Mitte des Grades	getrockneter Pulverstoff; Feuchtgut; fertige Salzspecies; feuchtes Material; bis zur mittleren Einweichstufe	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
34	f40v	f40v.5	solaiin	Salz, Menge III	Salz, Menge III	PRODUCTIVE_COMPOUND	SOL_SALT+A+IIN_III	Saatgut, Charge III	MEDIUM_EXACT_WHOLE	NONE	solaiin okar oly chckhy	[solaiin:?]; heiße Drogenfraktion I im Ansatz; seihe Vorstehendes ab; Arzneikompositum: trocken, Gradanfang	Salz, drei Teile; heiße Drogenfraktion I im Ansatz; seihe Vorstehendes ab; Arzneikompositum: trocken, Gradanfang	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
