surface	working_meaning_de	composition	strongest_rival_de	family
qokeo	bereite einen heißen Auszug	QOK_HEAT+E_LINK+O_EXTRACT	bloßer heißer Ansatz in Bindungsform	ACTION
chsy	getrocknetes Saatgut	CH_DRY+SY_SEED_BASE	trockene Arzneispecies	SEED
keear	erste Drogenfraktion vollständig erhitzt	K_HOT+EE_END+AR_FRACTION_I	stark erhitzte Fraktion ohne Endwert	FRACTION
dalam	ein Maß Rohdroge I	D_MEASURE+AL_RAW_I+AM_UNIT_I	Dosis I ohne Rohstoffklasse	MEASURE
dsheol	eine Dosis eingeweichte Droge	D_DOSE+SHEOL_MOIST_MATERIAL	abgemessene Feuchtflüssigkeit	MEASURE
shcthey	angefeuchtete Krautdroge, Form I	SH_MOIST+CTH_HERB+EY_FORM_I	feuchtes Arzneikompositum	HERB
qorchain	nimm zwei Teile Trockendroge	QOR_TAKE_PORTION+CHAIN_DRY_II	nominale Trockenportion II	ACTION
teeedy	vollständig abgekühlt und abgeschlossen	T_COLD+EEE_END_III+DY_FINISHED	lange geruhter statt gekühlter Zustand	COLD
teeodain	zwei Maße vollständig gekühlter Ansatz	T_COLD+EE_END+O_PREP+DAIN_DOSE_II	kalter Ansatz, Dosis II ohne Endstufe	MEASURE
odys	fertige Arzneimischung im Ansatz	O_PREP+DY_FINISHED+S_DRUG_MIXTURE	bloßes Ansatzschlusszeichen	PREPARATION
qopchdy	nimm fertig getrocknetes Pulver	QO_TAKE+P_POWDER+CHDY_DRY_FINISHED	nominales Trockenpulverpräparat	ACTION
qotam	nimm ein Maß kalten Ansatzes	QO_TAKE+T_COLD+AM_UNIT_I	Qualitätsgrad I im kalten Rahmen	ACTION
okeol	Grundansatz bis zur mittleren Heizstufe erwärmt	O_PREP+K_HOT+E_MIDDLE+OL_BASE	heißer Drogenstoff ohne Auszug	EXTRACT
sa	gib Saatgut zu	S_SEED+A_ADD	Specieszeichen oder Beginn von SAIIN	ACTION
oeeeody	lange geruhter, fertig abgezogener Ansatz	O_PREP+EEE_LONG_REST+O_EXTRACT+DY_FINISHED	dreifach konzentrierter Ansatz	PREPARATION
olar	erste Holzrohstofffraktion im Ansatz	O_PREP+L_WOOD+AR_FRACTION_I	lexikalisierter Grundauszug, Fraktion I	WOOD
air	zweite Drogenfraktion	AIR_FRACTION_II	Menge oder Qualitätsgrad II	FRACTION
chodaiin	Trockenansatz, Dosis III	CHO_DRY_PREP+D_A+IIN_DOSE_III	trocken, Grad III ohne Dosis	MEASURE
choar	Trockenansatz, Fraktion I	CHO_DRY_PREP+AR_FRACTION_I	Pflanzenteil statt Trockenansatz	DRY
chorar	Pflanzenteil-Fraktion I	CHOR_PLANT_PART+AR_FRACTION_I	doppelt geschriebene Trockenfraktion	PLANT_PART
ykanam	nimm hiervon ein Maß und erwärme es leicht	Y_REFERENCE+KAN_HOT_I+AM_UNIT_I	Eintrag mit Heißgrad I ohne Maß	ENTRY
orain	Drogenportion II	OR_PORTION+A+IN_II	Qualitätsgrad II	MEASURE
chery	getrocknete Rohwurzel	CH_DRY+E_MIDDLE+R_ROOT+Y_BASE	gebundene Trockenfraktion	ROOT
oleey	Holzdrogenansatz vollständig ausgezogen	O_PREP+L_WOOD+EEY_END	lexikalisierter Grundauszug bis Endstufe	WOOD
sheed	Einweichung vollständig abgeschlossen	SH_MOIST+EE_END+D_CLOSED	vollständig feuchter Zustand ohne Handlung	ACTION
ch	trockne	LEARNED_CH_DRY_ACTION	abgetrennter Anfang einer längeren CH-Form	ACTION
qodchy	nimm eine Dosis Trockendroge	QO_TAKE+D_DOSE+CHY_DRY_BASE	nominale Trockendosis	ACTION
octhol	Krautdroge im Ansatz	O_PREP+CTHOL_HERB_MATERIAL	kalte Trockenzubereitung	HERB
yky	hierzu leicht erhitzen	Y_REFERENCE+KY_HOT_START	Eintrag eines heißen Grundstoffs	ACTION
chyty	nach dem Trocknen leicht kühlen	CH_DRY+Y_SEQUENCE+TY_COLD_START	trocken-kalte Grundform	ACTION
dshy	eine Dosis leicht angefeuchtete Droge	D_DOSE+SHY_MOIST_START	abgemessener Feuchtgrad	MEASURE
o	Ansatzwasser	LEARNED_FREE_WATER_SIGLUM	freies Ansatzzeichen oder Öl	LIQUID
oeeesoy	lange geruhter Samenmazerat	O_MACERATION+EEE_LONG+S_SEED+O_PREP+Y_BASE	dreifach konzentrierte Arzneispecies	SEED
kchochaiin	Trockenansatz bis Stufe III erhitzt und getrocknet	K_HOT+CHO_DRY_PREP+CHAIIN_DRY_III	heiße Drogenportion III	HOT_DRY
okshor	heißer Blüten- oder Fruchtansatz	O_PREP+K_HOT+SHOR_FLOWER_PART	heiße Drogenportion ohne Pflanzenwert	FLOWER
cfhar	Blütenfraktion I	CFH_FLOWER_WHOLE+AR_FRACTION_I	undurchsichtige Trockenfraktion	FLOWER
okaial	heißer Ansatz aus drei Teilen Rohdroge I	O_PREP+K_HOT+AI_AL_RAW_III	heißer Rohstoff I mit Schreibvariante	RAW_MATERIAL
okeeaiin	drei Teile vollständig erhitzter Ansatz	O_PREP+K_HOT+EE_END+A+IIN_III	heißer Ansatz, bloße Menge III	HOT_PREP
cthod	gieße den Krautansatz ab	CTH_HERB+O_PREP+D_CLOSE_ACTION	verkürzter Krautabsud	ACTION
cthorchy	Portion Krautdroge, leicht angetrocknet	CTHOR_HERB_PORTION+CHY_DRY_START	bloße Krautportion	HERB
ykeedar	erhitze hiervon die erste Fraktion vollständig	Y_REFERENCE+KEE_HOT_END+D_AR_MEASURED_FRACTION_I	abgemessene Heißfraktion ohne Eintrag	ENTRY
dytchor	danach eine kalt-trockene Drogenportion	DY_SEQUENCE+TCHOR_COLD_DRY_PORTION	abgemessener Pflanzenteil	ACTION
ycheo	nimm hierzu den Trockenansatz	Y_REFERENCE+CHEO_DRY_PREP	hierzu ein zweiter Trockenansatz	ENTRY
ked	Erhitzung auf Mittelstufe abgeschlossen	K_HOT+E_MIDDLE+D_CLOSED	verkürzte Heißgradform	ACTION
oo	setze ein zweites Mal an	LEARNED_DOUBLE_PREPARATION_ACTION	zweite Wassergabe	ACTION
qokeeaiin	erhitze drei Teile bis zur Endstufe	QO_TAKE_OR_COMMAND+K_HOT+EE_END+A+IIN_III	nominaler heißer Qualitätsgrad III	ACTION
schaiin	getrocknetes Saatgut, Stufe III	S_SEED+CH_DRY+A+IIN_III	Salz statt Saatgut	SEED
od	miss vom Ansatz ab	O_PREP+D_MEASURE_ACTION	bloßes Ansatzschlusszeichen	ACTION
chkaly	Rohdroge I leicht trocknen und erhitzen	CH_DRY+K_HOT+AL_RAW_I+Y_BASE	Rohstoffklasse statt Behandlung	ACTION
qooldy	gib den fertigen Auszug hinzu	QO_TAKE_OR_ADD+OLDY_FINISHED_EXTRACT	kalter Rohstoff I, fertig	ACTION
choror	Portion Blüten- oder Fruchtdroge	CHOR_PLANT_PART+OR_PORTION	doppelte unbestimmte Portion	FLOWER
ykchon	nimm hierzu einen heiß-trockenen Ansatz, Stufe I	Y_REFERENCE+KCHO_HOT_DRY_PREP+N_I	hierzu einen Trockenansatz erhitzen	ENTRY
qoykam	nimm hiervon ein Maß und erhitze es	QO_COMMAND+Y_REFERENCE+KAM_HOT_UNIT_I	nominales heißes Maß	ACTION
daram	ein Maß Fraktion I	D_MEASURE+AR_FRACTION_I+AM_UNIT_I	Wurzelmaß I	MEASURE
arol	Grundauszug, Fraktion I	AR_FRACTION_I+OL_BASE	Wurzelstoff statt Auszugsfraktion	FRACTION
lkol	heißer Holzabsud	L_WOOD+KOL_HOT_MATERIAL	allgemeiner heißer Auszug	WOOD
daiidy	drei Maße, vollständig abgeteilt	D_MEASURE+A+II_VALUE+DY_FINISHED	Rohstoffmenge III	MEASURE
kchain	heiß getrocknete Droge, Stufe II	K_HOT+CHAIN_DRY_II	trocken-heißer Grad II ohne Stoff	HOT_DRY
lchar	trockene Holzfraktion I	L_WOOD+CHAR_DRY_FRACTION_I	Pfund Trockenfraktion I	WOOD
ykolody	nimm hiervon den heißen Auszug und stelle ihn fertig	Y_REFERENCE+KOL_HOT_MATERIAL+ODY_FINISHED_EXTRACT	heißes Drogenholz, fertig	ENTRY
dcholdy	eine Dosis fertig getrocknete Droge	D_DOSE+CHOLDY_DRY_FINISHED	Maß Trockenrückstand	MEASURE
chokolg	ein Gran heißen Trockenabsud	CHO_DRY_PREP+KOL_HOT_EXTRACT+G_GRAIN_SIGLUM	gib den heißen Trockenansatz in ein Gefäß	MEASURE
dochod	eine Dosis abgeschlossener Trockenansatz	D_DOSE+O_PREP+CHOD_DRY_FINISHED	abgemessener Pflanzenteil	MEASURE
oleeeb	stark eingedickter Holzdrogenauszug	LEARNED_THICKENED_WOOD_EXTRACT_WHOLE	Holzdrogenansatz im Bad	EXTRACT
oshol	Mazerat aus eingeweichter Droge	O_PREP+SHOL_MOIST_MATERIAL	feuchtes Material ohne Flüssigkeitswert	MOIST_PREP
olkeeody	vollständig ausgekochter Holzdrogenauszug	O_PREP+L_WOOD+K_HOT+EE_END+O_EXTRACT+DY_FINISHED	lexikalisierter vollständig ausgekochter Grundauszug	WOOD
cheky	bis zur mittleren Trockenstufe, dann leicht erhitzen	CHE_DRY_MIDDLE+KY_HOT_START	statischer trocken-heißer Zustand	ACTION
qodaim	nimm zwei Maße	LEARNED_QODAIM_MEASURE_II	Qualitätsgrad II mit freiem Handvoll-Siglum	ACTION
ykar	nimm hiervon die erste erhitzte Drogenfraktion	Y_REFERENCE+KAR_HOT_FRACTION_I	hierzu eine Heißfraktion	ENTRY
kcharg	ein Gran erhitzte Trockenfraktion I	K_HOT+CH_DRY+AR_FRACTION_I+G_GRAIN_SIGLUM	fülle die heiße Trockenfraktion ab	MEASURE
qotoeey	kühle den Ansatz vollständig	QO_COMMAND+T_COLD+O_PREP+EEY_END	nominaler kalter Ansatz am Gradende	ACTION
m	eine Handvoll	LEARNED_MANIPULUS_SIGLUM	bloßes Schlusszeichen; allgemeines Maß	MEASURE
ydain	davon zwei Maße	Y_REFERENCE+D+A+IN_II	Eintrag: Gradwert II	MEASURE
ajy	fülle ein Bündel ab und schließe	LEARNED_BUNDLE_FILL_CLOSE_ACTION	unbekanntes kurzes Abschlusswort	ACTION
oldair	zweite abgemessene Holzrohstofffraktion im Ansatz	O_PREP+L_WOOD+DAIR_MEASURED_FRACTION_II	lexikalisierter Grundauszug, Fraktion II	WOOD
qokechdy	erhitze und trockne bis zum Abschluss	QOK_HEAT+E_SEQUENCE+CHDY_DRY_FINISHED	nominaler heiß-trockener Zustand	ACTION
dara	eine gleiche Menge der ersten Fraktion	DAR_MEASURED_FRACTION_I+A_EQUAL_PART	abgemessene Fraktion ohne Gleichteilwert	MEASURE
olchedy	Holzdroge im Ansatz fertig getrocknet	O_PREP+L_WOOD+CHEDY_DRY_FINISHED	lexikalisierte getrocknete Drogenbasis	WOOD
olshedy	Holzdroge im Ansatz vollständig eingeweicht	O_PREP+L_WOOD+SHEDY_MOIST_FINISHED	lexikalisierte eingeweichte Drogenbasis	WOOD
olchy	Holzdroge im Ansatz leicht getrocknet	O_PREP+L_WOOD+CHY_DRY_BASE	lexikalisierte trockene Drogenbasis	WOOD
cheolchey	trockenen Drogenstoff bis Mittelstufe nachtrocknen	CHEOL_DRY_MATERIAL+CHEY_DRY_MIDDLE	statische doppelte Trockenform	ACTION
qolkchey	gib heiß getrocknete Droge hinzu	QOL_ADD+KCHEY_HOT_DRY_MIDDLE	nominaler heißer Trockenstoff	ACTION
qokeed	erhitze bis zur Endstufe und schließe ab	QOK_HEAT+EE_END+D_CLOSED	nominaler heißer Endzustand	ACTION
chees	vollständig getrocknete Kräutermischung	CH_DRY+EE_END+S_DRUG_MIXTURE	vollständig getrocknetes Saatgut	DRY
oin	bereite einen zweiten Ansatz	O_PREP+IN_II_ACTION	zwei Teile Flüssigkeit	ACTION
qykaiin	erhitze hiervon bis Stufe III	Q_COMMAND+Y_REFERENCE+KAIIN_HOT_III	nominaler heißer Eintrag III	ACTION
sokol	heißer Saatgutabsud	S_SEED+O_PREP+KOL_HOT_MATERIAL	heißer Salzansatz	SEED
ykain	erhitze hiervon auf Stufe II	Y_REFERENCE+K_HOT+A+IN_II	hierzu Heizstufe II	ENTRY
lshckhy	angefeuchtete Kräutermischung mit Drogenholz	L_WOOD+SH_MOIST+CKH_COMPOSITE+Y_BASE	feuchte Krautdroge aus Holz	WOOD
lr	Wurzelholz	LEARNED_WOOD_ROOT_WHOLE	Pfundzeichen plus Wurzel	ROOT
qokam	nimm ein Maß und erhitze es	QOK_HEAT+AM_UNIT_I	heiße Maßeinheit I ohne Imperativ	ACTION
solor	eine Portion Saatgutansatz	SOL_SEED_PREP+OR_PORTION	Salzportion	SEED
chkag	ein Gran trocken-heiße Droge	CH_DRY+K_HOT+A_PART+G_GRAIN_SIGLUM	fülle eine trocken-heiße Charge ab	MEASURE
salchey	Saatrohstoff bis zur mittleren Trockenstufe	SAL_SEED_RAW+CHEY_DRY_MIDDLE	Rohstoff I ohne Saatwert	SEED
dytain	danach auf Kühlstufe II	DY_SEQUENCE+T_COLD+A+IN_II	Eintrag: kalt, Stufe II	ACTION
tedyol	Grundansatz bis zur mittleren Kühlstufe gebracht und abgeschlossen	T_COLD+E_MIDDLE+DY_FINISHED+OL_BASE	kalter Auszug mit umgekehrter Grenze	COLD
dykshy	danach heiß anfeuchten	DY_SEQUENCE+K_HOT+SHY_MOIST_START	statischer heiß-feuchter Zustand	ACTION
saltar	kalte Saatgutfraktion I	SAL_SEED_RAW+TAR_COLD_FRACTION_I	kalte Rohstofffraktion I	SEED
yshey	weiche hiervon bis zur mittleren Stufe ein	Y_REFERENCE+SHEY_MOIST_MIDDLE	hierzu eingeweichtes Drogenholz	ENTRY
olsheol	eingeweichte Holzdroge im Ansatz	O_PREP+L_WOOD+SHEOL_MOIST_MATERIAL	lexikalisierte Drogenbasis mit Einweichflüssigkeit	WOOD
loly	seihe den Holzabsud ab	L_WOOD+OLY_STRAIN_ACTION	fertig aufbereiteter Holzstoff	ACTION
ytar	nimm hiervon die erste gekühlte Drogenfraktion	Y_REFERENCE+TAR_COLD_FRACTION_I	hierzu eine Kaltfraktion	ENTRY
lky	Holzdroge, leicht erhitzt	L_WOOD+KY_HOT_START	rohes Drogenholz	WOOD
salshey	Saatrohstoff bis zur mittleren Einweichstufe	SAL_SEED_RAW+SHEY_MOIST_MIDDLE	Salzlösung statt Saatgut	SEED
olkeedy	Holzdrogenansatz vollständig erhitzt und abgeschlossen	O_PREP+L_WOOD+K_HOT+EE_END+DY_FINISHED	lexikalisierte Drogenbasis bis Heizendstufe	WOOD
solkeedy	Saatgutansatz vollständig erhitzt	SOL_SEED_PREP+K_HOT+EE_END+DY_FINISHED	Salzlösung vollständig erhitzt	SEED
techedy	kühle die vollständig getrocknete Droge ab	T_COLD+E_SEQUENCE+CHEDY_DRY_FINISHED	kalt-trockener Mittelzustand	ACTION
chcthdy	trockne die Krautdroge vollständig	CH_DRY+CTH_HERB+DY_FINISHED	getrocknetes Arzneikompositum	ACTION
cheolkain	erhitze den getrockneten Drogenstoff auf Stufe II	CHEOL_DRY_MATERIAL+K_HOT+A+IN_II	Trockenansatz, heiß auf Stufe II	ACTION
rolkeedy	erhitze den Wurzelauszug vollständig	R_ROOT+OL_BASE+K_HOT+EE_END+DY_FINISHED	heiße Wurzeldroge ohne Auszug	ACTION
ydair	davon zwei Teile der Fraktion	Y_REFERENCE+DAIR_MEASURED_FRACTION_II	Eintrag: abgemessene Fraktion II	MEASURE
olpchdy	fertiges Trockenpulver aus Holzdroge im Ansatz	O_PREP+L_WOOD+PCHDY_DRY_POWDER_FINISHED	fertiges Pulver in lexikalisierter Drogenbasis	WOOD
ytas	nimm hierzu einen Teil kalte Droge	Y_REFERENCE+T_COLD+A_PART+S_DRUG	kalte Arzneispecies ohne Menge	ENTRY
teody	kühle den Ansatz ab und schließe	T_COLD+E_MIDDLE+O_PREP+DY_FINISHED	kalter Gradzustand ohne Ansatz	ACTION
chokain	erhitze den Trockenansatz auf Stufe II	CH_DRY+O_PREP+K_HOT+A+IN_II	heiß-trockene Droge II ohne Ansatz	ACTION
qoeeeety	lasse den Ansatz vollständig abkühlen und ruhen	LEARNED_LONG_COOL_REST_ACTION	bloßer kalter Endgrad III	ACTION
qoeey	nimm die Endportion hinzu	LEARNED_END_PORTION_ADD_ACTION	lasse bis zur Endstufe stehen	ACTION
opol	Pulveransatz	O_PREP+POL_POWDER_MATERIAL	Pulverstoff ohne Ansatz	POWDER
chean	leicht angetrocknete Droge	CH_DRY+E_MIDDLE+A+N_I	Trockenstufe I ohne Stoff	DRY
cheain	Droge bis zur Trockenstufe II	CH_DRY+E_MIDDLE+A+IN_II	Trockenstufe II ohne Stoff	DRY
chodey	Trockenansatz bis zur mittleren Stufe fertigstellen	CHO_DRY_PREP+DEY_MIDDLE_FINISH	bloß getrockneter Ansatz	ACTION
okam	ein Maß heißen Ansatzes	O_PREP+K_HOT+AM_UNIT_I	eingekochter Ansatz ohne Reduktionssignal	HOT_PREP
ctheor	eine Portion Krautdroge	CTH_HERB+E_MIDDLE+OR_PORTION	trockener Drogenteil ohne Krautwert	HERB
