statement_id	page	record	phase_signature	phase_count	has_close	complete_action_sequence_de	actions_preserved	macro_status	macro_id	macro_frequency
B3-S003	f83r	B3	ROUTE>MEASURE_CHARGE>CLOSE	3	YES	abführen + abmessen und umsetzen	YES	COMPOSE_ONCE_FROM_PHASES	NONE	1
B3-S004	f83r	B3	MEASURE_CHARGE	1	NO	bis zum Sollmaß beschicken	YES	TAUGHT_RECURRENT_MACRO	WM04	5
B3-S005	f83r	B3	ROUTE>CLOSE	2	YES	umfüllen	YES	TAUGHT_RECURRENT_MACRO	WM01	16
B3-S006	f83r	B3	ROUTE>APPLY>ROUTE>CLOSE	4	YES	umschöpfen → anlegen → in die nächste Station weitergeben	YES	COMPOSE_ONCE_FROM_PHASES	NONE	1
B3-S007	f83r	B3	MEASURE_CHARGE>ROUTE>HOLD>CLOSE	4	YES	bis zum Sollmaß beschicken → umschöpfen → einwirken lassen	YES	COMPOSE_ONCE_FROM_PHASES	NONE	1
B3-S008	f83r	B3	ROUTE>CLOSE	2	YES	abführen + überführen	YES	TAUGHT_RECURRENT_MACRO	WM01	16
B3-S009	f83r	B3	MEASURE_CHARGE	1	NO	den Arbeitsstoff einsetzen	YES	TAUGHT_RECURRENT_MACRO	WM04	5
B3-S010	f83r	B3	MEASURE_CHARGE>ROUTE>CLOSE	3	YES	einfüllen + umfüllen	YES	TAUGHT_RECURRENT_MACRO	WM06	5
B3-S011	f83r	B3	HOLD>SPECIALIST>MEASURE_CHARGE>ROUTE	4	NO	halten + umsetzen → den Arbeitsstoff einsetzen → umschöpfen	YES	COMPOSE_ONCE_FROM_PHASES	NONE	1
B3-S012	f83r	B3	SETTLE>CLOSE	2	YES	absetzen lassen	YES	TAUGHT_RECURRENT_MACRO	WM03	6
B3-S013	f83r	B3	MEASURE_CHARGE>HOLD>CLOSE	3	YES	bis zum Sollmaß beschicken → dosiert zugeben → einwirken lassen	YES	TAUGHT_RECURRENT_MACRO	WM05	5
B3-S014	f83r	B3	ROUTE>SETTLE>CLOSE	3	YES	einleiten → ruhen lassen	YES	TAUGHT_RECURRENT_MACRO	WM14	2
B3-S015	f83r	B3	ROUTE>CLOSE	2	YES	abführen + überführen	YES	TAUGHT_RECURRENT_MACRO	WM01	16
B3-S016	f83r	B3	ROUTE>MEASURE_CHARGE>ROUTE>CLOSE	4	YES	führen → einsetzen + überführen	YES	TAUGHT_RECURRENT_MACRO	WM13	2
B3-S017	f83r	B3	HOLD>CLOSE	2	YES	einwirken lassen	YES	TAUGHT_RECURRENT_MACRO	WM02	15
B3-S018	f83r	B3	SETTLE>CLOSE	2	YES	absetzen lassen	YES	TAUGHT_RECURRENT_MACRO	WM03	6
B3-S019	f83r	B3	HOLD>SETTLE>CLOSE	3	YES	einwirken lassen + ruhen lassen	YES	TAUGHT_RECURRENT_MACRO	WM09	2
B3-S020	f83r	B3	ROUTE>CLOSE	2	YES	hinleiten + umfüllen	YES	TAUGHT_RECURRENT_MACRO	WM01	16
B3-S021	f83r	B3	MEASURE_CHARGE>SETTLE>HOLD>ROUTE>CLOSE	5	YES	bis zum Sollmaß beschicken → ablagern → stehen lassen → umfüllen	YES	COMPOSE_ONCE_FROM_PHASES	NONE	1
B3-S022	f83r	B3	ROUTE>CLOSE	2	YES	in die nächste Station weitergeben	YES	TAUGHT_RECURRENT_MACRO	WM01	16
B3-S023	f83r	B3	ROUTE>CLOSE	2	YES	abführen + überführen	YES	TAUGHT_RECURRENT_MACRO	WM01	16
B3-S024	f83r	B3	ROUTE>CLOSE	2	YES	in die nächste Station weitergeben	YES	TAUGHT_RECURRENT_MACRO	WM01	16
B3-S025	f83r	B3	MEASURE_CHARGE>ROUTE>CLOSE	3	YES	einsetzen + überführen	YES	TAUGHT_RECURRENT_MACRO	WM06	5
B3-S026	f83r	B3	ROUTE>MEASURE_CHARGE>THERMAL>SETTLE>HOLD>CLOSE	6	YES	ableiten → umschöpfen → eine Portion einfüllen → abkühlen lassen → auffangen und stehen lassen	YES	COMPOSE_ONCE_FROM_PHASES	NONE	1
B3-S027	f83r	B3	CLOSE	1	YES	NO_EXPLICIT_ACTION_CARD	YES	TAUGHT_RECURRENT_MACRO	WM07	4
B3-S028	f83r	B3	HOLD>CLOSE	2	YES	wirken lassen → einwirken lassen	YES	TAUGHT_RECURRENT_MACRO	WM02	15
B3-S029	f83r	B3	MEASURE_CHARGE>HOLD>CLOSE	3	YES	eintragen → einwirken lassen	YES	TAUGHT_RECURRENT_MACRO	WM05	5
B3-S030	f83r	B3	MEASURE_CHARGE>ROUTE>CLOSE	3	YES	den Arbeitsstoff einsetzen → durchleiten → in die nächste Station weitergeben	YES	TAUGHT_RECURRENT_MACRO	WM06	5
B3-S031	f83r	B3	HOLD>CLOSE	2	YES	einwirken lassen	YES	TAUGHT_RECURRENT_MACRO	WM02	15
B3-S032	f83r	B3	MEASURE_CHARGE>CLOSE	2	YES	abmessen und umsetzen → abmessen und umsetzen	YES	TAUGHT_RECURRENT_MACRO	WM11	2
B3-S033	f83r	B3	ROUTE>CLOSE	2	YES	abführen	YES	TAUGHT_RECURRENT_MACRO	WM01	16
B3-S034	f83r	B3	MEASURE_CHARGE>SETTLE>CLOSE	3	YES	eintragen → ablagern	YES	TAUGHT_RECURRENT_MACRO	WM08	3
B4-S001	f83r	B4	HOLD>CLOSE	2	YES	einwirken lassen	YES	TAUGHT_RECURRENT_MACRO	WM02	15
B4-S002	f83r	B4	HOLD>CLOSE	2	YES	wirken lassen → einwirken lassen	YES	TAUGHT_RECURRENT_MACRO	WM02	15
B4-S003	f83r	B4	ROUTE>APPLY>MEASURE_CHARGE>SETTLE>CLOSE	5	YES	umschöpfen → anlegen → den Arbeitsstoff einsetzen → absetzen lassen	YES	COMPOSE_ONCE_FROM_PHASES	NONE	1
B4-S004	f83r	B4	MEASURE_CHARGE>APPLY>CLOSE	3	YES	einsetzen + festbinden	YES	COMPOSE_ONCE_FROM_PHASES	NONE	1
B4-S005	f83r	B4	MEASURE_CHARGE>HOLD>CLOSE	3	YES	abmessen und umsetzen → einwirken lassen	YES	TAUGHT_RECURRENT_MACRO	WM05	5
B4-S006	f83r	B4	HOLD>CLOSE	2	YES	zurückhalten	YES	TAUGHT_RECURRENT_MACRO	WM02	15
B4-S007	f83r	B4	HOLD>CLOSE	2	YES	zurückhalten	YES	TAUGHT_RECURRENT_MACRO	WM02	15
B4-S008	f83r	B4	HOLD>CLOSE	2	YES	warm halten → einwirken lassen → einwirken lassen	YES	TAUGHT_RECURRENT_MACRO	WM02	15
B4-S009	f83r	B4	SETTLE>CLOSE	2	YES	absetzen lassen	YES	TAUGHT_RECURRENT_MACRO	WM03	6
B4-S010	f83r	B4	CLOSE	1	YES	NO_EXPLICIT_ACTION_CARD	YES	TAUGHT_RECURRENT_MACRO	WM07	4
B4-S011	f83r	B4	HOLD>MEASURE_CHARGE>ROUTE>MEASURE_CHARGE>CLOSE	5	YES	warm halten → wirken lassen → eine Portion einfüllen → umschöpfen → abführen + zugeben	YES	COMPOSE_ONCE_FROM_PHASES	NONE	1
B4-S012	f83r	B4	ROUTE>CLOSE	2	YES	abführen + überführen	YES	TAUGHT_RECURRENT_MACRO	WM01	16
B4-S013	f83r	B4	MEASURE_CHARGE>SETTLE>CLOSE	3	YES	weiter beschicken → absetzen lassen	YES	TAUGHT_RECURRENT_MACRO	WM08	3
B4-S014	f83r	B4	CLOSE	1	YES	NO_EXPLICIT_ACTION_CARD	YES	TAUGHT_RECURRENT_MACRO	WM07	4
B4-S015	f83r	B4	MEASURE_CHARGE>HOLD>MEASURE_CHARGE>ROUTE>SETTLE>ROUTE>CLOSE	7	YES	eine Portion einfüllen → stehen lassen → dosiert zugeben → ablaufen lassen → auffangen → abführen + überführen	YES	COMPOSE_ONCE_FROM_PHASES	NONE	1
B4-S016	f83r	B4	MEASURE_CHARGE>ROUTE>SETTLE>CLOSE	4	YES	dosiert zugeben → zuführen → absetzen lassen	YES	COMPOSE_ONCE_FROM_PHASES	NONE	1
B5-S001	f83r	B5	ROUTE>CLOSE	2	YES	in die nächste Station weitergeben	YES	TAUGHT_RECURRENT_MACRO	WM01	16
B5-S002	f83r	B5	MEASURE_CHARGE>ROUTE>CLOSE	3	YES	einsetzen + überführen	YES	TAUGHT_RECURRENT_MACRO	WM06	5
B5-S003	f83r	B5	SETTLE>ROUTE>MEASURE_CHARGE	3	NO	ablagern → hinleiten → umfüllen → abmessen und umsetzen	YES	COMPOSE_ONCE_FROM_PHASES	NONE	1
B6-S001	f83r	B6	SETTLE>MEASURE_CHARGE>THERMAL>ROUTE	4	NO	auffangen → zugeben → abkühlen lassen → hinleiten	YES	COMPOSE_ONCE_FROM_PHASES	NONE	1
