event_id	page	record	statement_id	product_handle	fifth_hand_surface	identity	component_recipe	concrete_default_de
E033	f10r	H2	H2-S003	A.Z3	or	PROC016	OR	ANSATZ
E034	f10r	H2	H2-S003	A.Z3	or	PROC016	OR	ANSATZ
E035	f10r	H2	H2-S003	A.Z3	chey	PROC019	Y	POSTEN
E036	f10r	H2	H2-S003	A.Z3	kaiiin	PROC024	K+IIN	ZUGEBEN · EINE EINGESTELLTE ARBEITSSTUFE
E037	f10r	H2	H2-S003	A.Z3	chey	PROC019	Y	POSTEN
E038	f10r	H2	H2-S003	A.Z3	chodaiin	PROC025	CH+O+AIIN	ENTNEHMEN · ARBEITSGANG · EIN KLEINER SCHOEPFBECHER
E039	f11r	H3	H3-S001	B.X1	tshol	PROC026	T+SH+OL	BEARBEITEN · HALTEN · WEITER
E040	f11r	H3	H3-S001	B.X1	schoal	PROC027	SH+O+AL	HALTEN · ARBEITSGANG · ZIELSTELLE
E041	f11r	H3	H3-S001	B.X1	cfhy	PROC028	CFH+Y	AUSPRESSEN · POSTEN
E042	f11r	H3	H3-S001	B.X1	shfydaiin	PROC029	SH+Y+AIIN	HALTEN · POSTEN · EIN KLEINER SCHOEPFBECHER
E043	f11r	H3	H3-S001	B.X1	cphy	PROC030	P+Y	EINBRINGEN · POSTEN
E044	f11r	H3	H3-S001	B.X1	cheey	PROC031	SH+EE+Y	HALTEN · DREI KURZE ARBEITSGAENGE · POSTEN
E045	f11r	H3	H3-S001	B.X1	tchody	PROC032	T+CH+O+DY	BEARBEITEN · ENTNEHMEN · ARBEITSGANG · SCHLUSS
E046	f11r	H3	H3-S002	B.X2	shoyty	PROC033	SH+O+Y+T+Y	HALTEN · ARBEITSGANG · POSTEN · BEARBEITEN · POSTEN
E047	f11r	H3	H3-S003	B.X3	schol	PROC034	RESUME_CARD	DAVON
E048	f11r	H3	H3-S003	B.X3	chey	PROC019	Y	POSTEN
E049	f11r	H3	H3-S003	B.X3	kchy	PROC035	K+Y	ZUGEBEN · POSTEN
E050	f11r	H3	H3-S003	B.X3	chey	PROC019	Y	POSTEN
E051	f11r	H3	H3-S003	B.X3	daiin	PROC009	AIIN	EIN KLEINER SCHOEPFBECHER
E052	f11r	H3	H3-S004	B.X4	qotchy	PROC036	OT+Y	DANACH · POSTEN
E053	f11r	H3	H3-S004	B.X4	okchol	PROC037	OK+OL	ANSETZEN · WEITER
E054	f11r	H3	H3-S004	B.X4	checthy	PROC014	CTH+Y	BEREITEN · POSTEN
E055	f11r	H3	H3-S004	B.X4	chey	PROC019	Y	POSTEN
E056	f55v	H4	H4-S001	C.M1	qokaiin	PROC038	OK+AIIN	ANSETZEN · EIN KLEINER SCHOEPFBECHER
E057	f55v	H4	H4-S001	C.M1	daiin	PROC009	AIIN	EIN KLEINER SCHOEPFBECHER
E058	f55v	H4	H4-S001	C.M1	ykain	PROC039	Y+K+AIN	POSTEN · ZUGEBEN · EIN ABGEGRENZTER TEIL
E059	f55v	H4	H4-S001	C.M1	ykan	PROC040	Y+K+AN	POSTEN · ZUGEBEN · NACHGABE
E060	f55v	H4	H4-S001	C.M1	ody	PROC041	O+DY	ARBEITSGANG · SCHLUSS
E061	f55v	H4	H4-S002	C.M2	daiin	PROC009	AIIN	EIN KLEINER SCHOEPFBECHER
E062	f55v	H4	H4-S002	C.M2	chedy	PROC042	CHD+Y	UMSETZEN · POSTEN
E063	f55v	H4	H4-S002	C.M2	talam	PROC043	TALAM	BEISEITESTELLEN
E064	f55v	H4	H4-S003	C.W1	ykaiin	PROC044	Y+K+AIIN	POSTEN · ZUGEBEN · EIN KLEINER SCHOEPFBECHER
E065	f55v	H4	H4-S003	C.W1	cheoar	PROC045	CH+E+O+AR	ENTNEHMEN · EIN KURZER ARBEITSGANG · ARBEITSGANG · QUELLE
E066	f55v	H4	H4-S003	C.W1	cheeky	PROC046	CHK+EE+Y	WAERMEN · DREI KURZE ARBEITSGAENGE · POSTEN
E067	f55v	H4	H4-S003	C.W1	oldy	PROC047	OL+DY	WEITER · SCHLUSS
E068	f55v	H4	H4-S004	C.W2	daiin	PROC009	AIIN	EIN KLEINER SCHOEPFBECHER
E069	f55v	H4	H4-S004	C.W2	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE
E070	f55v	H4	H4-S004	C.W2	oltchy	PROC049	OL+T+Y	WEITER · BEARBEITEN · POSTEN
E071	f55v	H4	H4-S004	C.W2	or	PROC016	OR	ANSATZ
E072	f55v	H4	H4-S004	C.W2	chey	PROC019	Y	POSTEN
E073	f55v	H4	H4-S004	C.W2	orain	PROC050	OR+AIN	ANSATZ · EIN ABGEGRENZTER TEIL
E074	f56r	H5	H5-S001	D.I1	chochor	PROC051	HO+CH+OR	ZUTAT · ENTNEHMEN · ANSATZ
E075	f56r	H5	H5-S001	D.I1	cho	PROC052	HO	ZUTAT
E076	f56r	H5	H5-S001	D.I1	chodaly	PROC053	HO+AL+Y	ZUTAT · ZIELSTELLE · POSTEN
E077	f56r	H5	H5-S001	D.I1	daiin	PROC009	AIIN	EIN KLEINER SCHOEPFBECHER
E078	f56r	H5	H5-S001	D.I1	cho	PROC052	HO	ZUTAT
E079	f56r	H5	H5-S001	D.I1	kchol	PROC054	K+OL	ZUGEBEN · WEITER
E080	f56r	H5	H5-S001	D.I1	otchor	PROC020	OT+CH+OR	DANACH · ENTNEHMEN · ANSATZ
E081	f56r	H5	H5-S001	D.I1	qoky	PROC008	OK+Y	ANSETZEN · POSTEN
E082	f56r	H5	H5-S001	D.I1	dal	PROC055	AL	ZIELSTELLE
E083	f56r	H5	H5-S002	D.P1	schol	PROC034	RESUME_CARD	DAVON
E084	f56r	H5	H5-S002	D.P1	choy	PROC056	HO+Y	ZUTAT · POSTEN
E085	f56r	H5	H5-S002	D.P1	qoky	PROC008	OK+Y	ANSETZEN · POSTEN
E086	f56r	H5	H5-S002	D.P1	cheeckhody	PROC057	CH+EE+CKH+O+DY	ENTNEHMEN · DREI KURZE ARBEITSGAENGE · DURCHLASS · ARBEITSGANG · SCHLUSS
E087	f56r	H5	H5-S003	D.I2	sh	PROC058	SH	HALTEN
E088	f56r	H5	H5-S003	D.I2	cho	PROC052	HO	ZUTAT
E089	f56r	H5	H5-S003	D.I2	kchey	PROC059	K+E+Y	ZUGEBEN · EIN KURZER ARBEITSGANG · POSTEN
E090	f56r	H5	H5-S003	D.I2	qokokchy	PROC060	OK+OK+Y	ANSETZEN · ANSETZEN · POSTEN
E091	f56r	H5	H5-S004	D.A1	okchy	PROC011	OK+Y	ANSETZEN · POSTEN
E092	f56r	H5	H5-S004	D.A1	chokcheo	PROC061	OK+CH+E+O	ANSETZEN · ENTNEHMEN · EIN KURZER ARBEITSGANG · ARBEITSGANG
E093	f56r	H5	H5-S004	D.A1	kchal	PROC062	K+AL	ZUGEBEN · ZIELSTELLE
E094	f56r	H5	H5-S005	D.P2	cho	PROC052	HO	ZUTAT
E095	f56r	H5	H5-S005	D.P2	chokchy	PROC011	OK+Y	ANSETZEN · POSTEN
E096	f56r	H5	H5-S005	D.P2	kchoar	PROC063	K+HO+AR	ZUGEBEN · ZUTAT · QUELLE
E097	f56r	H5	H5-S005	D.P2	sotodan	PROC064	OT+O+AIN	DANACH · ARBEITSGANG · EIN ABGEGRENZTER TEIL
E098	f56r	H5	H5-S006	D.P3	otchey	PROC065	OT+Y	DANACH · POSTEN
E099	f56r	H5	H5-S006	D.P3	keol	PROC066	K+E+OL	ZUGEBEN · EIN KURZER ARBEITSGANG · WEITER
E100	f56r	H5	H5-S006	D.P3	daiin	PROC009	AIIN	EIN KLEINER SCHOEPFBECHER
