statement_id	record_unit_id	page	owner_sequence	event_count	atomic_sequence	program_sequence	primary_program_id	primary_program_de	secondary_program_ids	secondary_programs_de	apprentice_reading_de
B1-S011	B1	f81v	B1_SHARED_TWO_ROW_POOL	2	durchleiten → Einsetzen	P08_DURCHLASSEN → P03_AM_ZIEL_EINSETZEN	P08_DURCHLASSEN	Durchlassen und waschen	P03_AM_ZIEL_EINSETZEN	Am Ziel einsetzen	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Leite den Posten hindurch; dann setze den Posten ein.
B1-S012	B1	f81v	B1_SHARED_TWO_ROW_POOL	3	Waschgang → Kurzkontakt → Waschgang	P08_DURCHLASSEN → P04_KURZ_BEHANDELN → P08_DURCHLASSEN	P08_DURCHLASSEN	Durchlassen und waschen	P04_KURZ_BEHANDELN	Kurz behandeln	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Führe einen Waschgang aus; dann lass ihn kurz einwirken; dann führe einen Waschgang aus.
B1-S013	B1	f81v	B1_SHARED_TWO_ROW_POOL	1	Waschgang	P08_DURCHLASSEN	P08_DURCHLASSEN	Durchlassen und waschen	NONE	KEINE	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Führe einen Waschgang aus.
B1-S014	B1	f81v	B1_SHARED_TWO_ROW_POOL	5	Umsetzen → Weiterweg → Zielabführung → Fortsetzung → Folgequelle	P07_UEBERFUEHREN → P06_FORTSETZEN → P10_ABZIEHEN_ABFUEHREN → P06_FORTSETZEN → P06_FORTSETZEN	P06_FORTSETZEN	Fortsetzen und folgen	P07_UEBERFUEHREN|P10_ABZIEHEN_ABFUEHREN	Überführen und umsetzen | Abziehen und abführen	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Setze den laufenden Posten um; dann führe auf dem Weg weiter; dann führe ihn am Ziel ab; dann führe den laufenden Gang fort; dann wechsle zur folgenden Quelle.
B1-S015	B1	f81v	B1_SHARED_TWO_ROW_POOL	2	Kurzteil → Rücktransfer	P02_MATERIAL_GEBEN → P07_UEBERFUEHREN	P02_MATERIAL_GEBEN	Material geben oder teilen	P07_UEBERFUEHREN	Überführen und umsetzen	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Nimm einen kleinen Teil; dann führe den vorigen Posten über.
B1-S016	B1	f81v	B1_SHARED_TWO_ROW_POOL	4	Zieleinsatz → Langkontakt → Fortsetzung → Kurzabsetzung	P03_AM_ZIEL_EINSETZEN → P05_LANG_BEHANDELN → P06_FORTSETZEN → P09_ABSETZEN_SAMMELN	P03_AM_ZIEL_EINSETZEN	Am Ziel einsetzen	P05_LANG_BEHANDELN|P06_FORTSETZEN|P09_ABSETZEN_SAMMELN	Lang behandeln oder wärmen | Fortsetzen und folgen | Absetzen und sammeln	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Setze an der Zielstelle ein; dann lass ihn länger einwirken; dann führe den laufenden Gang fort; dann lass ihn kurz absetzen.
B1-S017	B1	f81v	B1_SHARED_TWO_ROW_POOL	3	Stelle → Kurzfortgang → Transfer	P03_AM_ZIEL_EINSETZEN → P06_FORTSETZEN → P07_UEBERFUEHREN	P03_AM_ZIEL_EINSETZEN	Am Ziel einsetzen	P06_FORTSETZEN|P07_UEBERFUEHREN	Fortsetzen und folgen | Überführen und umsetzen	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Binde die bezeichnete Stelle; dann führe ihn kurz weiter; dann führe ihn über.
B1-S018	B1	f81v	B1_SHARED_TWO_ROW_POOL	4	Auffanggefäß → Kurzhalt → Arbeitsstufe → Langsammlung	P09_ABSETZEN_SAMMELN → P04_KURZ_BEHANDELN → P01_DOSIEREN → P09_ABSETZEN_SAMMELN	P09_ABSETZEN_SAMMELN	Absetzen und sammeln	P04_KURZ_BEHANDELN|P01_DOSIEREN	Kurz behandeln | Dosieren und einstellen	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Stelle das Auffanggefäß bereit; dann halte ihn kurz; dann stelle die Arbeitsstufe ein; dann sammle ihn lange.
B1-S019	B1	f81v	B1_SHARED_TWO_ROW_POOL	1	Kurzabsetzung	P09_ABSETZEN_SAMMELN	P09_ABSETZEN_SAMMELN	Absetzen und sammeln	NONE	KEINE	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Lass ihn kurz absetzen.
B1-S020	B1	f81v	B1_SHARED_TWO_ROW_POOL	2	Kurzwärme → durchlassen	P05_LANG_BEHANDELN → P08_DURCHLASSEN	P05_LANG_BEHANDELN	Lang behandeln oder wärmen	P08_DURCHLASSEN	Durchlassen und waschen	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Wärme ihn kurz; dann lass ihn hindurch.
B1-S021	B1	f81v	B1_SHARED_TWO_ROW_POOL	1	Stelle	P03_AM_ZIEL_EINSETZEN	P03_AM_ZIEL_EINSETZEN	Am Ziel einsetzen	NONE	KEINE	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Binde die bezeichnete Stelle.
B2-S001	B2	f82r	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	1	überführen	P07_UEBERFUEHREN	P07_UEBERFUEHREN	Überführen und umsetzen	NONE	KEINE	Bei PAARBECKEN_MIT_MITTELZYLINDER: Führe den Posten über.
B2-S002	B2	f82r	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	1	weiterführen	P06_FORTSETZEN	P06_FORTSETZEN	Fortsetzen und folgen	NONE	KEINE	Bei PAARBECKEN_MIT_MITTELZYLINDER: Führe ihn weiter.
B2-S003	B2	f82r	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	3	Zugabe → Diesposten → Langkontakt	P02_MATERIAL_GEBEN → P12_BESTAND_REFERENZIEREN → P05_LANG_BEHANDELN	P02_MATERIAL_GEBEN	Material geben oder teilen	P12_BESTAND_REFERENZIEREN|P05_LANG_BEHANDELN	Bestand referenzieren | Lang behandeln oder wärmen	Bei PAARBECKEN_MIT_MITTELZYLINDER: Gib einen Anteil zu; dann halte diesen Posten aktiv; dann lass ihn lange einwirken.
B2-S004	B2	f82r	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	5	Zieleinsatz → Abführpassage → Abführung → Langkontakt → Trennabzug	P03_AM_ZIEL_EINSETZEN → P10_ABZIEHEN_ABFUEHREN → P10_ABZIEHEN_ABFUEHREN → P05_LANG_BEHANDELN → P10_ABZIEHEN_ABFUEHREN	P10_ABZIEHEN_ABFUEHREN	Abziehen und abführen	P03_AM_ZIEL_EINSETZEN|P05_LANG_BEHANDELN	Am Ziel einsetzen | Lang behandeln oder wärmen	Bei PAARBECKEN_MIT_MITTELZYLINDER: Setze an der Zielstelle ein; dann führe ihn durch die Abführpassage; dann führe ihn ab; dann lass ihn länger einwirken; dann ziehe die getrennte Fraktion ab.
B2-S005	B2	f82r	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	8	Zieleinsatz → Sollsammlung → durchleiten → Sollstellung → Sollstellung → Folgevorbereitung → Langwärmen → abziehen	P03_AM_ZIEL_EINSETZEN → P09_ABSETZEN_SAMMELN → P08_DURCHLASSEN → P01_DOSIEREN → P01_DOSIEREN → P06_FORTSETZEN → P05_LANG_BEHANDELN → P10_ABZIEHEN_ABFUEHREN	P01_DOSIEREN	Dosieren und einstellen	P03_AM_ZIEL_EINSETZEN|P09_ABSETZEN_SAMMELN|P08_DURCHLASSEN|P06_FORTSETZEN|P05_LANG_BEHANDELN|P10_ABZIEHEN_ABFUEHREN	Am Ziel einsetzen | Absetzen und sammeln | Durchlassen und waschen | Fortsetzen und folgen | Lang behandeln oder wärmen | Abziehen und abführen	Bei PAARBECKEN_MIT_MITTELZYLINDER: Setze an der Zielstelle ein; dann sammle ihn bis zur Sollmenge; dann leite den Posten hindurch; dann stelle das Sollmaß ein; dann stelle das Sollmaß ein; dann setze den nächsten Durchgang an; dann wärme ihn lange; dann ziehe ihn ab.
B2-S006	B2	f82r	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	4	Langfolge → Zieleinsatz → Kurzpassage → Einsetzen	P06_FORTSETZEN → P03_AM_ZIEL_EINSETZEN → P08_DURCHLASSEN → P03_AM_ZIEL_EINSETZEN	P03_AM_ZIEL_EINSETZEN	Am Ziel einsetzen	P06_FORTSETZEN|P08_DURCHLASSEN	Fortsetzen und folgen | Durchlassen und waschen	Bei PAARBECKEN_MIT_MITTELZYLINDER: Führe ihn länger im Folgegang weiter; dann setze an der Zielstelle ein; dann führe ihn kurz hindurch; dann setze den Posten ein.
B2-S007	B2	f82r	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	1	Vorabsetzschluss	P09_ABSETZEN_SAMMELN	P09_ABSETZEN_SAMMELN	Absetzen und sammeln	NONE	KEINE	Bei ZWISCHENGERAET_MIT_KNOTEN: Setze den vorigen Posten ab und schließe.
B2-S008	B2	f82r	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	3	Folgemaß → Quelleinsatz → Kurzabsetzung	P01_DOSIEREN → P03_AM_ZIEL_EINSETZEN → P09_ABSETZEN_SAMMELN	P01_DOSIEREN	Dosieren und einstellen	P03_AM_ZIEL_EINSETZEN|P09_ABSETZEN_SAMMELN	Am Ziel einsetzen | Absetzen und sammeln	Bei ZWISCHENGERAET_MIT_KNOTEN: Arbeite danach nach dem nächsten Maß; dann setze den Quellposten ein; dann lass ihn kurz absetzen.
B2-S009	B2	f82r	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	1	Folgeabsetzen	P09_ABSETZEN_SAMMELN	P09_ABSETZEN_SAMMELN	Absetzen und sammeln	NONE	KEINE	Bei ZWISCHENGERAET_MIT_KNOTEN: Lass danach den nächsten Posten absetzen.
B2-S010	B2	f82r	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	4	Langkontakt → Einsetzen → Auslass → Klarauszug	P05_LANG_BEHANDELN → P03_AM_ZIEL_EINSETZEN → P08_DURCHLASSEN → P10_ABZIEHEN_ABFUEHREN	P05_LANG_BEHANDELN	Lang behandeln oder wärmen	P03_AM_ZIEL_EINSETZEN|P08_DURCHLASSEN|P10_ABZIEHEN_ABFUEHREN	Am Ziel einsetzen | Durchlassen und waschen | Abziehen und abführen	Bei ZWISCHENGERAET_MIT_KNOTEN: Lass ihn länger einwirken; dann setze den Posten ein; dann führe zum Auslass; dann nimm den Klarauszug.
B2-S011	B2	f82r	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	4	Zugabe → Quelle → Zugabe → Langkontakt	P02_MATERIAL_GEBEN → P12_BESTAND_REFERENZIEREN → P02_MATERIAL_GEBEN → P05_LANG_BEHANDELN	P02_MATERIAL_GEBEN	Material geben oder teilen	P12_BESTAND_REFERENZIEREN|P05_LANG_BEHANDELN	Bestand referenzieren | Lang behandeln oder wärmen	Bei AMBIGUER_RECHTER_POSTEN: Gib einen Anteil zu; dann nimm aus der bezeichneten Quelle; dann gib einen Anteil zu; dann lass ihn lange einwirken.
B2-S012	B2	f82r	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION|B2_LOWER_GREEN_MULTI_FIGURE_POOL	8	Abführgut → Klarauszug → Kurzvorbereitung → Langkontakt → Klarabzug → Sollmaß → Diesposten → Volleinsatz	P10_ABZIEHEN_ABFUEHREN → P10_ABZIEHEN_ABFUEHREN → P04_KURZ_BEHANDELN → P05_LANG_BEHANDELN → P10_ABZIEHEN_ABFUEHREN → P01_DOSIEREN → P12_BESTAND_REFERENZIEREN → P03_AM_ZIEL_EINSETZEN	P10_ABZIEHEN_ABFUEHREN	Abziehen und abführen	P04_KURZ_BEHANDELN|P05_LANG_BEHANDELN|P01_DOSIEREN|P12_BESTAND_REFERENZIEREN|P03_AM_ZIEL_EINSETZEN	Kurz behandeln | Lang behandeln oder wärmen | Dosieren und einstellen | Bestand referenzieren | Am Ziel einsetzen	Bei AMBIGUER_RECHTER_POSTEN: Nimm das abzuführende Gut. Neuer lokaler Posten: Bei MEHRPLATZ_BADBECKEN: Nimm den Klarauszug; dann bereite ihn kurz vor; dann lass ihn länger einwirken; dann ziehe den klaren Anteil ab; dann arbeite nach dem vorgeschriebenen Maß; dann halte diesen Posten aktiv; dann setze ihn vollständig ein.
B2-S013	B2	f82r	B2_LOWER_GREEN_MULTI_FIGURE_POOL	1	abführen	P10_ABZIEHEN_ABFUEHREN	P10_ABZIEHEN_ABFUEHREN	Abziehen und abführen	NONE	KEINE	Bei MEHRPLATZ_BADBECKEN: Führe ihn ab.
B2-S014	B2	f82r	B2_LOWER_GREEN_MULTI_FIGURE_POOL	1	Quellabzug	P10_ABZIEHEN_ABFUEHREN	P10_ABZIEHEN_ABFUEHREN	Abziehen und abführen	NONE	KEINE	Bei MEHRPLATZ_BADBECKEN: Ziehe ihn aus der Quelle ab.
B2-S015	B2	f82r	B2_LOWER_POOL_EDGE_STATIONS	2	Folgeklarlauf → Langkontakt	P06_FORTSETZEN → P05_LANG_BEHANDELN	P06_FORTSETZEN	Fortsetzen und folgen	P05_LANG_BEHANDELN	Lang behandeln oder wärmen	Bei RAND_ZUFUEHR_ABFUEHRSTATIONEN: Nimm danach den klaren Ablauf; dann lass ihn lange einwirken.
B2-S016	B2	f82r	B2_LOWER_POOL_EDGE_STATIONS	8	Stelle → Quellabführung → teilen → Sollmaß → Langfolge → Sollstellung → Kurzkontakt → Zuführung	P03_AM_ZIEL_EINSETZEN → P10_ABZIEHEN_ABFUEHREN → P02_MATERIAL_GEBEN → P01_DOSIEREN → P06_FORTSETZEN → P01_DOSIEREN → P04_KURZ_BEHANDELN → P07_UEBERFUEHREN	P01_DOSIEREN	Dosieren und einstellen	P03_AM_ZIEL_EINSETZEN|P10_ABZIEHEN_ABFUEHREN|P02_MATERIAL_GEBEN|P06_FORTSETZEN|P04_KURZ_BEHANDELN|P07_UEBERFUEHREN	Am Ziel einsetzen | Abziehen und abführen | Material geben oder teilen | Fortsetzen und folgen | Kurz behandeln | Überführen und umsetzen	Bei RAND_ZUFUEHR_ABFUEHRSTATIONEN: Binde die bezeichnete Stelle; dann führe ihn von der Quelle ab; dann teile den Posten; dann arbeite nach dem vorgeschriebenen Maß; dann führe ihn länger im Folgegang weiter; dann stelle das Sollmaß ein; dann lass ihn kurz einwirken; dann führe ihn zu.
B2-S017	B2	f82r	B2_LOWER_POOL_EDGE_STATIONS	2	Zielkurzhalt → Zielschluss	P04_KURZ_BEHANDELN → P03_AM_ZIEL_EINSETZEN	P04_KURZ_BEHANDELN	Kurz behandeln	P03_AM_ZIEL_EINSETZEN	Am Ziel einsetzen	Bei RAND_ZUFUEHR_ABFUEHRSTATIONEN: Halte den zugeführten Posten kurz am Ziel; dann schließe den Schritt am Ziel ab.
B2-S018	B2	f82r	B2_LOWER_POOL_EDGE_STATIONS	1	Langkontakt	P05_LANG_BEHANDELN	P05_LANG_BEHANDELN	Lang behandeln oder wärmen	NONE	KEINE	Bei RAND_ZUFUEHR_ABFUEHRSTATIONEN: Lass ihn lange einwirken.
B2-S019	B2	f82r	B2_LOWER_POOL_EDGE_STATIONS	1	Absetzschluss	P09_ABSETZEN_SAMMELN	P09_ABSETZEN_SAMMELN	Absetzen und sammeln	NONE	KEINE	Bei RAND_ZUFUEHR_ABFUEHRSTATIONEN: Setze ab und schließe.
B2-S020	B2	f82r	B2_LOWER_POOL_EDGE_STATIONS	1	Langfolgestufe	P06_FORTSETZEN	P06_FORTSETZEN	Fortsetzen und folgen	NONE	KEINE	Bei RAND_ZUFUEHR_ABFUEHRSTATIONEN: Führe die lange Folgestufe aus.
B2-S021	B2	f82r	B2_LOWER_POOL_EDGE_STATIONS	1	Langkontakt	P05_LANG_BEHANDELN	P05_LANG_BEHANDELN	Lang behandeln oder wärmen	NONE	KEINE	Bei RAND_ZUFUEHR_ABFUEHRSTATIONEN: Lass ihn lange einwirken.
B2-S022	B2	f82r	B2_LOWER_POOL_EDGE_STATIONS	1	Abführung	P10_ABZIEHEN_ABFUEHREN	P10_ABZIEHEN_ABFUEHREN	Abziehen und abführen	NONE	KEINE	Bei RAND_ZUFUEHR_ABFUEHRSTATIONEN: Führe ihn ab.
B3-S001	B3	f83r	B3_UPPER_MARGIN_OPEN_FAN_STATION	1	Langsammlung	P09_ABSETZEN_SAMMELN	P09_ABSETZEN_SAMMELN	Absetzen und sammeln	NONE	KEINE	Bei OFFENER_FAECHERZULAUF: Sammle ihn lange.
B3-S002	B3	f83r	B3_UPPER_MARGIN_OPEN_FAN_STATION	2	Folgeziel → Langwärmen	P03_AM_ZIEL_EINSETZEN → P05_LANG_BEHANDELN	P03_AM_ZIEL_EINSETZEN	Am Ziel einsetzen	P05_LANG_BEHANDELN	Lang behandeln oder wärmen	Bei OFFENER_FAECHERZULAUF: Führe ihn danach dorthin; dann wärme ihn lange.
B3-S003	B3	f83r	B3_UPPER_MARGIN_OPEN_FAN_STATION	4	Diesposten → Sollmaß → Diesposten → abführen	P12_BESTAND_REFERENZIEREN → P01_DOSIEREN → P12_BESTAND_REFERENZIEREN → P10_ABZIEHEN_ABFUEHREN	P12_BESTAND_REFERENZIEREN	Bestand referenzieren	P01_DOSIEREN|P10_ABZIEHEN_ABFUEHREN	Dosieren und einstellen | Abziehen und abführen	Bei OFFENER_FAECHERZULAUF: Halte diesen Posten aktiv; dann arbeite nach dem vorgeschriebenen Maß; dann halte diesen Posten aktiv; dann führe ihn ab.
B3-S004	B3	f83r	B3_UPPER_MARGIN_OPEN_FAN_STATION	3	Sollstellung → Folgeziel → Quelle	P01_DOSIEREN → P03_AM_ZIEL_EINSETZEN → P12_BESTAND_REFERENZIEREN	P01_DOSIEREN	Dosieren und einstellen	P03_AM_ZIEL_EINSETZEN|P12_BESTAND_REFERENZIEREN	Am Ziel einsetzen | Bestand referenzieren	Bei OFFENER_FAECHERZULAUF: Stelle das Sollmaß ein; dann führe ihn danach dorthin; dann nimm aus der bezeichneten Quelle.
B3-S005	B3	f83r	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	1	überführen	P07_UEBERFUEHREN	P07_UEBERFUEHREN	Überführen und umsetzen	NONE	KEINE	Bei RUNDE_ZWISCHENSTATION: Führe den Posten über.
B3-S006	B3	f83r	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	3	Postentransfer → Zieleinsatz → weiterführen	P07_UEBERFUEHREN → P03_AM_ZIEL_EINSETZEN → P06_FORTSETZEN	P07_UEBERFUEHREN	Überführen und umsetzen	P03_AM_ZIEL_EINSETZEN|P06_FORTSETZEN	Am Ziel einsetzen | Fortsetzen und folgen	Bei RUNDE_ZWISCHENSTATION: Führe den aktuellen Posten über; dann setze an der Zielstelle ein; dann führe ihn weiter.
B3-S007	B3	f83r	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	3	Sollstellung → Umsetzen → Langkontakt	P01_DOSIEREN → P07_UEBERFUEHREN → P05_LANG_BEHANDELN	P01_DOSIEREN	Dosieren und einstellen	P07_UEBERFUEHREN|P05_LANG_BEHANDELN	Überführen und umsetzen | Lang behandeln oder wärmen	Bei RUNDE_ZWISCHENSTATION: Stelle das Sollmaß ein; dann setze den laufenden Posten um; dann lass ihn lange einwirken.
B3-S008	B3	f83r	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	1	abführen	P10_ABZIEHEN_ABFUEHREN	P10_ABZIEHEN_ABFUEHREN	Abziehen und abführen	NONE	KEINE	Bei RUNDE_ZWISCHENSTATION: Führe ihn ab.
B3-S009	B3	f83r	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	1	Einsetzen	P03_AM_ZIEL_EINSETZEN	P03_AM_ZIEL_EINSETZEN	Am Ziel einsetzen	NONE	KEINE	Bei RUNDE_ZWISCHENSTATION: Setze den Posten ein.
B3-S010	B3	f83r	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	2	Zielzuführung → Kurzfolge	P07_UEBERFUEHREN → P06_FORTSETZEN	P07_UEBERFUEHREN	Überführen und umsetzen	P06_FORTSETZEN	Fortsetzen und folgen	Bei KORB_SAMMELGEFAESS: Führe ihn dem Ziel zu; dann führe ihn kurz zum Folgeschritt weiter.
B3-S011	B3	f83r	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	4	Vorbereitungstransfer → Einsetzen → Umsetzen → Quellposten	P07_UEBERFUEHREN → P03_AM_ZIEL_EINSETZEN → P07_UEBERFUEHREN → P12_BESTAND_REFERENZIEREN	P07_UEBERFUEHREN	Überführen und umsetzen	P03_AM_ZIEL_EINSETZEN|P12_BESTAND_REFERENZIEREN	Am Ziel einsetzen | Bestand referenzieren	Bei KORB_SAMMELGEFAESS: Führe die vorbereitete Portion über; dann setze den Posten ein; dann setze den laufenden Posten um; dann nimm den Posten aus der Quelle.
B3-S012	B3	f83r	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	2	Ansatz → Kurzabsetzung	P12_BESTAND_REFERENZIEREN → P09_ABSETZEN_SAMMELN	P12_BESTAND_REFERENZIEREN	Bestand referenzieren	P09_ABSETZEN_SAMMELN	Absetzen und sammeln	Bei KORB_SAMMELGEFAESS: Verwende den Ansatz; dann lass ihn kurz absetzen.
B3-S013	B3	f83r	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	4	Sollstellung → Portion → Kurzvorbereitung → Kurzkontakt	P01_DOSIEREN → P01_DOSIEREN → P04_KURZ_BEHANDELN → P04_KURZ_BEHANDELN	P01_DOSIEREN	Dosieren und einstellen	P04_KURZ_BEHANDELN	Kurz behandeln	Bei KORB_SAMMELGEFAESS: Stelle das Sollmaß ein; dann nimm eine Portion; dann bereite ihn kurz vor; dann lass ihn kurz einwirken.
B3-S014	B3	f83r	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	2	Laufeinsatz → Langabsetzen	P03_AM_ZIEL_EINSETZEN → P09_ABSETZEN_SAMMELN	P03_AM_ZIEL_EINSETZEN	Am Ziel einsetzen	P09_ABSETZEN_SAMMELN	Absetzen und sammeln	Bei KORB_SAMMELGEFAESS: Setze ihn in den Lauf ein; dann lass ihn lange absetzen.
