priority	hypothesis_family	route_status	formal_signature	held_endpoint	nearest_prior	distinctive_constraint	registered_failure
21	ANAPHORA_ELLIPSIS_REPEAT	LEGACY_BROAD_CONSTRAINED	short record predictable from immediately prior complete record by deletion/repeat pointer	held omitted-span or resume-class prediction	GDT165;GDT341-GDT343	Retained as a separate broad GDT373 family; the new comparator-derived families above are not subnotes. uses cross-record structural reuse, not next-host identity or semantic concepts	fails if exact record cache/frequency matches or wins
22	PAIRED_CORRELATIVE_OPERATORS	LEGACY_BROAD_CONSTRAINED	two separated rewrite sites co-occur beyond marginals	held paired-site completion from source-side context	GDT346;GDT347	Retained as a separate broad GDT373 family; the new comparator-derived families above are not subnotes. record-level paired rewrite; not target-coordinate compatibility graph	fails if coupling null preserving marginal rewrite rates explains it
23	MARKEDNESS_NEGATION_EXCLUSION	LEGACY_BROAD_CONSTRAINED	rare optional operator mutually excludes a common construction	held exclusion and downstream-state signature	GDT087;GDT311	Retained as a separate broad GDT373 family; the new comparator-derived families above are not subnotes. anonymous EXCLUSION_LIKE only; no negation gloss	fails if rarity/host licensing explains exclusion
24	AGREEMENT	LEGACY_BROAD_CONSTRAINED	separated fields covary in rewrite class conditional on record/layout	held distant partner class	GDT077;GDT346	Retained as a separate broad GDT373 family; the new comparator-derived families above are not subnotes. not same-group wrapper-right coupling; requires separated scope	fails if exact tuple identity or shared position explains covariation
25	ASSIGNMENT_EQUATION_POSSESSION	LEGACY_BROAD_CONSTRAINED	reversible or directional two-field relation template	held relation orientation/partner arity	GDT143-GDT148;GDT339-GDT343	Retained as a separate broad GDT373 family; the new comparator-derived families above are not subnotes. no referent, possession, or equality gloss; formal RELATION_LIKE only	fails without recurrent cross-host two-place template
26	QUANTIFICATION_PLURALITY	LEGACY_BROAD_CONSTRAINED	operator predicts multiplicity, repeat count, or record-size delta	held count distribution conditional on layout/source	NUMBER_CALENDAR_CLOSED;GDT121	Retained as a separate broad GDT373 family; the new comparator-derived families above are not subnotes. no number value or plurality gloss	fails if length/opportunity baseline explains counts
27	TEMPORAL_PROCESS_OPERATORS	LEGACY_BROAD_CONSTRAINED	ordered continuation/state-change rewrite over records	held direction and downstream transition	GDT340-GDT344	Retained as a separate broad GDT373 family; the new comparator-derived families above are not subnotes. source-only SEQUENCE_LIKE behavior; comparator event semantics remain uncalibrated	fails if order-only or exact identity baseline wins
28	OR_LIKE_MUTUAL_EXCLUSION	LEGACY_BROAD_CONSTRAINED	two alternative rewrite classes occupy the same licensed source context but do not co-occur	held alternative choice and exclusion	GDT311;GDT346	Retained as a separate broad GDT373 family; the new comparator-derived families above are not subnotes. distinct from rare markedness by symmetric alternatives	fails if alternatives are register allomorphs or host-disjoint
29	COMPARISON_EQUALITY_RANGE	LEGACY_BROAD_CONSTRAINED	paired/repeated fields with symmetry or bounded interval structure	held pair/range completion	GDT273;NUMBER_CALENDAR_CLOSED	Retained as a separate broad GDT373 family; the new comparator-derived families above are not subnotes. formal symmetry only; no quantity/equality meaning	fails without multiple independent base records
30	CONDITIONAL_BRANCHING	LEGACY_BROAD_CONSTRAINED	one source state predicts two structured continuation branches	held branch existence and branch-type distribution	GDT120;GDT125	Retained as a separate broad GDT373 family; the new comparator-derived families above are not subnotes. record branching, not latent class naming	fails if page-local template mixture explains branches
31	ACTION_IMPERATIVE_HEADS	LEGACY_BROAD_CONSTRAINED	record-initial optional operator changes continuation architecture	held downstream record signature	GDT334-GDT336;GDT311	Retained as a separate broad GDT373 family; the new comparator-derived families above are not subnotes. anonymous entry-controller only, not action/POS	fails if known line-entry renderer and position suffice
32	EMBEDDING_COMPLEMENTIZERS	LEGACY_BROAD_CONSTRAINED	operator introduces nested field span and predictable closure	held nested boundary/closure completion	GDT273;GDT345	Retained as a separate broad GDT373 family; the new comparator-derived families above are not subnotes. hierarchical rewrite endpoint rather than guessed complementizer	fails if ordinary field length and DY/B3 explain nesting
33	ARGUMENT_ALTERNATIONS	LEGACY_BROAD_CONSTRAINED	same opaque base record alternates dependent-field count/order with stable rewrite	held alternate construction for unseen base	GDT127;GDT345	Retained as a separate broad GDT373 family; the new comparator-derived families above are not subnotes. whole-record alternation, not one-slot substitution	fails without unseen-base transfer
34	DEIXIS_REFERENCE	LEGACY_BROAD_CONSTRAINED	record-position-sensitive operator resumes or points to a prior structural object	held antecedent distance/class	GDT165;GDT166	Retained as a separate broad GDT373 family; the new comparator-derived families above are not subnotes. no demonstrative gloss; exact prior-record structural reference only	fails if recency/frequency/page position baseline wins
35	REGISTER_SPECIFIC_ALLOMORPHY	LEGACY_BROAD_CONSTRAINED	same record rewrite realized by different atomic operators across registers	held cross-register rewrite equivalence	GDT017;GDT025;GDT077;GDT087;GDT091	Retained as a separate broad GDT373 family; the new comparator-derived families above are not subnotes. q/DY/EO and wrapper facts are priors, not rediscoveries	fails if equivalence needs tuple merging or substring identity
36	ANALOGY_PARADIGM_RELATIONS	LEGACY_BROAD_CONSTRAINED	paradigm relation only when induced from whole-record rewrite behavior	held unseen-base record variant	GDT003;GDT078;MINIMAL_PAIRS_CLOSED	Retained as a separate broad GDT373 family; the new comparator-derived families above are not subnotes. character rectangles and isolated minimal pairs are forbidden duplicates	do not run if reducible to surface/string edit
37	OPEN_CLOSED_CLASS_DIAGNOSTICS	LEGACY_AUXILIARY	operator-context diversity versus opaque tuple inventory concentration	held type recurrence/diversity and operator productivity	GDT162-GDT167;GDT327	Retained as a separate broad GDT373 family; the new comparator-derived families above are not subnotes. diagnostic for candidate interpretation only; not an operator or lexical claim	fails as evidence if exact identity/frequency entirely determines class
