entry	preferred_gdt779_default_de	alternate_1_de	alternate_2_de	confidence	card_class	v99_reading_id	v99_unconditional_global_export_allowed	selected_exact_fallback_contexts	final_form_raw_parent_contexts	final_form_exact_parent_contexts	protected_exact_contextual_contexts	nonexact_fallback_exclusions	rendered_displays_de	positive_evidence	counterevidence	scope	replaceable	default_is_translation	confirmed_lexeme	confirmed_plaintext	component_export_credit
cheol	Trockenmaterial	getrocknetes Material	Trockenansatz	C1	DIRECT_INHERITED_WHOLE_CARD	cheol#1	1	2	4	3	1	1	Trockenmaterial	GDT737/GDT738 stützen DRY/MATERIAL über 18 reader-exakte headed Stellen und 142 bare Vorkommen.	Patient und Material gegen Zubereitung bleiben offen; keine Teilform ist frei.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
cheor	trockener Teil	getrocknete Portion	trockener Pflanzenteil	C1	RETIRED_PATIENT_SANITIZATION	cheor#GLOBAL	1	1	2	2	1	0	trockener Teil	71 exakte Ganzwortvorkommen; GDT737/GDT738 tragen DRY/PART und den Teil-/Portionsträger im Discovery-Pfad.	W23 bleibt unentschieden; Teil gegen Portion und der konkrete Patient sind offen.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
chety	kalt-trockene Form	abgekühltes Trockengut	Trocken-Kaltstufe	C2	DIRECT_INHERITED_WHOLE_CARD	chety#GLOBAL	1	1	1	1	0	0	kalt-trockene Form	18 exakte Ganzwortvorkommen und die vollständige V13/GDT734-Qualitätskarte tragen COLD plus DRY plus FORM.	Reihenfolge, Träger und genaue Stufe sind nicht unabhängig bestimmt.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
chody	trocken aufbereitetes Ergebnis	leicht getrocknete Zubereitung	getrocknete Abschlussform	C0	DIRECT_INHERITED_WHOLE_CARD	chody#1	1	1	1	1	0	0	trocken aufbereitetes Ergebnis	GDT691/GDT717 sichern einen nominalen Ganzwortwert; GDT737 erhält DRY/PREPARATION/CLOSE als Kandidatenfamilie.	Nur eine aktive Karte; GDT738 bleibt unentschieden und die sichtbare Endung ist kein freier Abschlussmarker.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
chokaiin	erhitzter Trockenansatz III	heiße Trockenform III	Trockenmenge III unter Wärme	C2	DIRECT_INHERITED_WHOLE_CARD	chokaiin#GLOBAL	1	1	1	1	0	0	erhitzter Trockenansatz III	15 exakte Ganzwortvorkommen; GDT663 trägt im vollständigen Wort Trockenansatz, Wärme und III-Leiter.	III kann Grad, Wert oder Menge sein; der Träger bleibt eine Arbeitshypothese.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
daiin	Wertstufe III	Mengenstufe III	Grad III	C2	NEW_EXACT_OL_SCOPE	daiin#V84_CORE	0	1	8	7	6	1	Wertstufe III	Die DAIN/DAIIN-Leiter, 721 bare Vorkommen im GDT737-Audit und GDT764s begrenzte X-daiin-Felder tragen VALUE III.	Die skalare Dimension bleibt offen; die neue Lizenz gilt nur für das exakte ol-plus-Ganzwort.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
daldy	abgemessene Rohstoffportion I	Materialposten I, abgeschlossen	Messwert I	C1	DIRECT_INHERITED_WHOLE_CARD	daldy#GLOBAL	1	1	2	1	0	0	abgemessene Rohstoffportion I	19 exakte Ganzwortvorkommen und GDT655/GDT730 tragen Mess-/Portionsrolle I plus Abschluss.	Rohstoff gegen Zubereitung sowie Portion gegen Wert sind nicht entschieden.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
dam	Maß I	abgemessene Portion	Dosis I	C0	DIRECT_INHERITED_WHOLE_CARD	dam#V84_1	1	1	3	2	1	1	Maß I	GDT661/GDT711 verbinden die vollständige Form mit Messkopf und Maßfamilie.	Nur eine aktive Stelle; Einheit, gezählter Gegenstand und Dosisdimension sind unbekannt.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
dl	Rohstoffmaß	Materialmenge	Dosisfeld	C1	DIRECT_INHERITED_WHOLE_CARD	dl#GLOBAL	1	1	1	1	0	0	Rohstoffmaß	18 exakte Ganzwortvorkommen auf 15 Seiten und die GDT661-Ganzwortkarte tragen MATERIAL plus MEASURE.	Keine Einheit oder Materialidentität ist bestimmt; Maß gegen Dosis bleibt offen.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
kaiiin	Wärmestufe IV	stark erhitzt	Grad IV	C1	NEW_EXACT_OL_SCOPE	kaiiin#GLOBAL	0	1	1	1	0	0	Wärmestufe IV	Vier exakte Ganzwortvorkommen in der V13-Qualitäts-/Gradreihe tragen HOT plus IV.	Die Karte war bisher nur kontextlizenziert; Zustand gegen Grad und der Träger bleiben offen.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
lkedy	erhitztes Material, Mittelstufe	erhitzte Zubereitung, Mittelstufe	Wärme-Endstufe	C0	RETIRED_PATIENT_SANITIZATION	lkedy#1	1	1	1	1	0	0	erhitztes Material, Mittelstufe	GDT690 trägt am vollständigen Wort eine Wärme-/Ordinalrolle und eine nominale Identitätsposition.	Nur eine aktive Stelle; der alte konkrete Patient ist unbelegt, und Mittel- gegen Endstufe bleibt offen.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
loeees	Zubereitungscharge, Endstufe	Materialcharge, Endstufe	abgeschlossene Zubereitung	C0	RETIRED_PATIENT_SANITIZATION	loeees#GLOBAL	1	1	1	1	0	0	Zubereitungscharge, Endstufe	Zwei exakte Ganzwortvorkommen und GDT669 tragen CHARGE/PREPARATION plus eine späte Stufe.	Der alte konkrete Patient ist unbelegt; Charge gegen Zubereitung und die genaue Endstufe bleiben offen.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
ochedar	abgemessener Trockenanteil I	trockene Zubereitung, Mittelstufe	Trockenmaß I	C0	DIRECT_INHERITED_WHOLE_CARD	ochedar#GLOBAL	1	1	1	1	0	0	abgemessener Trockenanteil I	GDT660 liefert eine exakte vollständige Karte mit Trocken-, Mess- und Anteil-I-Achsen.	Singleton ohne seitenübergreifenden Bedeutungsbeleg; Mittelstufe und Träger sind offen.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
oeeal	Trockenmaterial I, Endstufe	Rohstoffklasse I	getrocknete Zubereitung I	C0	DIRECT_INHERITED_WHOLE_CARD	oeeal#GLOBAL	1	1	1	1	0	0	Trockenmaterial I, Endstufe	Zwei exakte Ganzwortvorkommen und GDT656s lokale Ganzwortanalogie tragen DRY/MATERIAL/I.	Kein seitenübergreifender Bedeutungsbeleg trennt Material, Klasse und genaue Stufe.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
okchy	heiße Trockenform, Anfangsstufe	erhitzter Trockenansatz	heiß-trockener Zustand	C2	DIRECT_INHERITED_WHOLE_CARD	okchy#GLOBAL	1	1	1	1	0	0	heiße Trockenform, Anfangsstufe	22 exakte Ganzwortvorkommen und GDT647s Qualitäts-/Stufenfamilie tragen HOT plus DRY plus BEGIN.	Wärme-Trocken-Reihenfolge und Form gegen Ansatz sind offen.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
okeeey	stark erhitzt, Endstufe	vollständig erhitzte Zubereitung	Wärme-Endstufe	C0	COMPOSITION_DERIVED_WHOLE__NO_COMPONENT_EXPORT	okeeey#G734	1	1	1	1	0	0	stark erhitzt, Endstufe	20 Cache-Vorkommen und GDT734s eindeutige vollständige Kartenroute tragen starke Wärme plus späte Stufe.	Der Träger und der genaue Stufenname sind offen; kein Teilzeichen erhält Bedeutung.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
oky	erste Wärmestufe	heißer Ansatz am Anfang	erhitzte Grundform	C1	DIRECT_INHERITED_WHOLE_CARD	oky#1	1	1	1	1	0	0	erste Wärmestufe	Die vollständige Karte hat zwei exakte Kernstellen; GDT758 stützt wiederkehrend HOT plus BEGIN und wählt erste Wärmestufe.	Ansatz gegen Form sowie Temperaturwort gegen bloße Stufe bleiben offen.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
olshdy	angefeuchtetes Material, abgeschlossen	eingeweichte Zubereitung	Feuchtmaterial, Endstufe	C1	RETIRED_PATIENT_SANITIZATION	olshdy#GLOBAL	1	1	1	1	0	0	angefeuchtetes Material, abgeschlossen	Drei exakte Ganzwortvorkommen und GDT662 tragen MOIST plus MATERIAL plus CLOSE ohne den alten Patienten.	Angefeuchtet gegen eingeweicht und Material gegen Zubereitung bleiben offen.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
otchy	kalt-trockene Anfangsstufe	abgekühlte Trockenform	kalte Zubereitung	C1	DIRECT_INHERITED_WHOLE_CARD	otchy#1	1	1	1	1	0	0	kalt-trockene Anfangsstufe	GDT647/GDT717 tragen die vollständige Form in 40 all-reader-exakten Vorkommen mit COLD, DRY und BEGIN.	Der Zubereitungsträger ist ersetzbar; Zustand gegen Vorgang und genaue Stufe bleiben offen.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
otol	kalte Zubereitung	abgekühltes Material	Kaltansatz	C2	DIRECT_INHERITED_WHOLE_CARD	otol#GLOBAL	1	2	2	2	0	0	kalte Zubereitung	58 exakte Ganzwortvorkommen auf 48 Seiten und GDT648s strikte Ganzwortkomplettierung tragen COLD plus PREPARATION.	Zubereitung gegen Material und Zustand gegen Abkühlungsvorgang bleiben offen.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
qockhey	mische	Zubereitung	bewahre auf	C0	GDT755_LATER_COMPLETE_WHOLE_REPLACEMENT	qockhey#GLOBAL	1	1	1	1	0	0	mische	GDT755s spätere vollständige Ganzwortkarte hat 12 exakte Stellen und sieben vollständige Außenfelder; PROCESS plus PREPARATION passt historisch zu misce.	Fünf der sieben Außenfelder sind offen; die Form ist nie zeileninitial und kein Teilstring trägt den Vorgang.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
qokaiin	Wärmestufe III	erhitzte Form III	Wert-/Gradstufe III	C0	DIRECT_INHERITED_WHOLE_CARD	qokaiin#1	1	1	1	1	0	0	Wärmestufe III	Sieben exakte Kartenstellen und die ältere vollständige V13-Karte tragen eine HOT/III-Arbeitshypothese.	GDT749 findet die Außenverteilung baseline-nah; HOT darf deshalb nicht global gesprochen werden und III bleibt mehrdeutig.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
qokar	erhitzter Anteil I	heiße Fraktion I	Wärmeauszug I	C1	RETIRED_PATIENT_SANITIZATION	qokar#1	1	1	1	1	0	0	erhitzter Anteil I	Sechs exakte Kartenstellen und GDT693s vollständiges AR-Turnier tragen HOT plus PART/SHARE plus I.	Der alte konkrete Patient ist unbelegt; Anteil gegen Fraktion oder Auszug bleibt offen.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
qokeedy	erhitzt, Endstufe	Wärmeabschluss	erhitzte Abschlussform	C0	DIRECT_INHERITED_WHOLE_CARD	qokeedy#1	1	1	1	1	0	0	erhitzt, Endstufe	GDT689 trägt am vollständigen Wort Wärme plus späte/abschließende Stufe.	Nur eine aktive Kartenstelle; Zustand gegen Vorgang und Endstufe gegen Abschluss sind offen.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
qoly	zugeben und abschließen	weitergeben	Zugabe abschließen	C1	DIRECT_INHERITED_WHOLE_CARD	qoly#GLOBAL	1	1	1	1	0	0	zugeben und abschließen	Sieben exakte Ganzwortvorkommen und GDT663s vollständige praktische Karte tragen Zugabe plus Abschluss.	Die genaue Operation, der Referent und eine mögliche bloße Strukturrolle bleiben offen.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
shal	Feuchtmaterial I	angefeuchtete Grundform	eingeweichter Stoff, Stufe I	C0	DIRECT_INHERITED_WHOLE_CARD	shal#1	1	1	1	1	0	0	Feuchtmaterial I	GDT656/GDT712 tragen eine feuchte Startzelle mit I über elf reader-exakte Familienpositionen.	Nur eine aktive Ganzwortkarte; Materialart, eingeweicht gegen feucht und I-Dimension sind offen.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
sham	Flüssigkeitsmaß	eine Flüssigkeitsportion	Dosisfeld	C1	DIRECT_INHERITED_WHOLE_CARD	sham#GLOBAL	1	1	1	1	0	0	Flüssigkeitsmaß	Sechs exakte Ganzwortvorkommen und GDT662s praktische Ganzwortkarte tragen LIQUID plus MEASURE.	Flüssigkeit, historische Einheit und Maß gegen Dosis sind nicht identifiziert.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
sheol	feuchtes Material	eingeweichtes Material	Feuchtzubereitung	C2	DIRECT_INHERITED_WHOLE_CARD	sheol#GLOBAL	1	1	2	2	1	0	feuchtes Material	90 exakte Ganzwortvorkommen; GDT737s Feuchtmaterial-Gitter und GDT758s feucht/eingeweicht-Karte konvergieren.	Feucht gegen eingeweicht sowie Material gegen Zubereitung bleiben offen.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
sho	feuchter Ansatz	eingeweichte Zubereitung	Feuchtmaterial	C2	DIRECT_INHERITED_WHOLE_CARD	sho#GLOBAL	1	1	1	1	0	0	feuchter Ansatz	106 exakte Ganzwortvorkommen auf 65 Seiten und die vollständige V13-Karte tragen MOIST plus PREPARATION.	Ansatz gegen Material und feucht gegen eingeweicht sind nicht vollständig getrennt.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
tedy	Kalt-Mittelstufe abgeschlossen	abgekühlt, Mittelstufe	kalte Abschlussform	C2	DIRECT_INHERITED_WHOLE_CARD	tedy#GLOBAL	1	1	1	1	0	0	Kalt-Mittelstufe abgeschlossen	31 exakte Ganzwortvorkommen und GDT647s Qualitäts-/Subgradfamilie tragen COLD plus MIDDLE plus CLOSE.	Zustand gegen Vorgang und Mittelstufe gegen allgemeine Abschlussform bleiben offen.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
teedy	Kalt-Endstufe abgeschlossen	vollständig abgekühlt	kalte Abschlussform	C2	DIRECT_INHERITED_WHOLE_CARD	teedy#GLOBAL	1	1	1	1	0	0	Kalt-Endstufe abgeschlossen	13 exakte Ganzwortvorkommen und GDT647s Qualitäts-/Subgradfamilie tragen COLD plus END plus CLOSE.	Zustand gegen Abkühlungsvorgang und Endstufe gegen Abschluss sind offen.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
teey	Kalt-Endstufe	vollständig abgekühlt	kalter Endzustand	C2	DIRECT_INHERITED_WHOLE_CARD	teey#GLOBAL	1	1	1	1	0	0	Kalt-Endstufe	17 exakte Ganzwortvorkommen und GDT647s Qualitäts-/Subgradfamilie tragen COLD plus END.	Gradende gegen vollständige Abkühlung und Zustand gegen Anweisung sind offen.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
teody	abkühlen und abschließen	kalte Abschlussform	Abkühlungsvorgang	C1	DIRECT_INHERITED_WHOLE_CARD	teody#GLOBAL	1	1	1	1	0	0	abkühlen und abschließen	Sieben exakte Ganzwortvorkommen und GDT664s vollständige Karte tragen COLD plus PROCESS plus CLOSE.	Vorgang gegen Ergebnis und der betroffene Träger sind offen.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
tey	Kalt-Mittelstufe	abgekühlte Form	kalter Zwischenzustand	C2	DIRECT_INHERITED_WHOLE_CARD	tey#GLOBAL	1	1	2	2	1	0	Kalt-Mittelstufe	Neun exakte Ganzwortvorkommen und GDT647s Qualitäts-/Subgradfamilie tragen COLD plus MIDDLE.	Mittelstufe gegen allgemeinen Zwischenzustand und Zustand gegen Vorgang sind offen.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
