residual_id	target_occurrence_id	page	physical_folio	locus	ol_ordinal	right_ordinal	right_surface	right_reader_exact	residual_reason	gdt779_default_de	v99_complete_card_present	final_44_deck_member	component_export_credit
G779-R064	G769-T0287	f76r	f76	f76r.53	4	5	chedor	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R065	G769-T0288	f76r	f76	f76r.56	2	3	shedy	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R066	G769-T0292	f77r	f77	f77r.32	4	5	chealor	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R067	G769-T0293	f77r	f77	f77r.40	2	3	eeedy	0	NO_V99R7_COMPLETE_WORD_CARD_READER_NONEXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R068	G769-T0295	f77r	f77	f77r.45	9	10	raiin	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R069	G769-T0297	f77v	f77	f77v.9	8	9	sheedy	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R070	G769-T0298	f77v	f77	f77v.23	3	4	shedy	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R071	G769-T0300	f77v	f77	f77v.27	9	0	NONE	0	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0	0
G779-R072	G769-T0306	f78r	f78	f78r.14	9	0	NONE	0	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0	0
G779-R073	G769-T0308	f78r	f78	f78r.29	2	3	kedy	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R074	G769-T0309	f78r	f78	f78r.29	11	0	NONE	0	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0	0
G779-R075	G769-T0311	f78r	f78	f78r.33	8	9	keedy	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R076	G769-T0316	f78v	f78	f78v.4	5	6	keedy	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R077	G769-T0317	f78v	f78	f78v.4	10	0	NONE	0	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0	0
G779-R078	G769-T0318	f78v	f78	f78v.5	4	5	chsey	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R079	G769-T0322	f78v	f78	f78v.11	6	7	chdy	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R080	G769-T0325	f78v	f78	f78v.20	8	9	okalor	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R081	G769-T0331	f78v	f78	f78v.26	5	6	shedy	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R082	G769-T0334	f78v	f78	f78v.27	8	9	chedy	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R083	G769-T0337	f79r	f79	f79r.4	11	0	NONE	0	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0	0
G779-R084	G769-T0340	f79r	f79	f79r.13	9	0	NONE	0	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0	0
G779-R085	G769-T0342	f79r	f79	f79r.17	11	0	NONE	0	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0	0
G779-R086	G769-T0344	f79r	f79	f79r.22	8	9	dorchedchey	0	NO_V99R7_COMPLETE_WORD_CARD_READER_NONEXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R087	G769-T0348	f79r	f79	f79r.32	10	0	NONE	0	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0	0
G779-R088	G769-T0349	f79r	f79	f79r.33	8	0	NONE	0	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0	0
G779-R089	G769-T0361	f79v	f79	f79v.25	9	0	NONE	0	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0	0
G779-R090	G769-T0365	f79v	f79	f79v.32	6	7	o	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R091	G769-T0371	f79v	f79	f79v.40	10	0	NONE	0	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0	0
G779-R092	G769-T0373	f80r	f80	f80r.16	4	5	chedy	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R093	G769-T0374	f80r	f80	f80r.23	10	11	keedy	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R094	G769-T0377	f80r	f80	f80r.32	8	0	NONE	0	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0	0
G779-R095	G769-T0378	f80r	f80	f80r.33	8	0	NONE	0	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0	0
G779-R096	G769-T0382	f80r	f80	f80r.37	9	10	shey	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R097	G769-T0383	f80r	f80	f80r.38	13	0	NONE	0	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0	0
G779-R098	G769-T0385	f80r	f80	f80r.42	8	0	NONE	0	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0	0
G779-R099	G769-T0386	f80r	f80	f80r.49	7	8	shees	0	NO_V99R7_COMPLETE_WORD_CARD_READER_NONEXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R100	G769-T0389	f80v	f80	f80v.5	8	0	NONE	0	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0	0
G779-R101	G769-T0391	f80v	f80	f80v.15	11	12	dal	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R102	G769-T0398	f80v	f80	f80v.31	2	3	oiin	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R103	G769-T0407	f81r	f81	f81r.5	5	6	olaiin	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R104	G769-T0408	f81r	f81	f81r.5	7	8	or	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R105	G769-T0409	f81r	f81	f81r.6	2	3	eses	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R106	G769-T0410	f81r	f81	f81r.6	7	0	NONE	0	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0	0
G779-R107	G769-T0418	f81r	f81	f81r.29	9	0	NONE	0	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0	0
G779-R108	G769-T0425	f81v	f81	f81v.7	2	3	sheckhal	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R109	G769-T0432	f81v	f81	f81v.19	2	3	shedy	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R110	G769-T0435	f82r	f82	f82r.16	7	8	s	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R111	G769-T0441	f83r	f83	f83r.42	2	3	chcthdy	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R112	G769-T0442	f83r	f83	f83r.52	4	0	NONE	0	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0	0
G779-R113	G769-T0443	f83r	f83	f83r.53	4	0	NONE	0	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0	0
G779-R114	G769-T0450	f85r1	f85	f85r1.11	2	3	shdair	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R115	G769-T0459	f85r2	f85	f85r2.1	27	28	lkechch	0	NO_V99R7_COMPLETE_WORD_CARD_READER_NONEXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R116	G769-T0460	f85r2	f85	f85r2.8	5	6	oloqorain	0	NO_V99R7_COMPLETE_WORD_CARD_READER_NONEXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R117	G769-T0462	f85r2	f85	f85r2.23	4	5	sheoly	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R118	G769-T0463	f86v5	f86	f86v5.2	9	10	ytol	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R119	G769-T0466	f86v5	f86	f86v5.15	11	12	chsky	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R120	G769-T0469	f86v5	f86	f86v5.33	2	3	kaiin	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R121	G769-T0471	f86v5	f86	f86v5.37	5	6	cheody	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R122	G769-T0482	f86v6	f86	f86v6.35	11	0	NONE	0	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0	0
G779-R123	G769-T0487	f88r	f88	f88r.21	6	7	sheeol	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R124	G769-T0488	f88r	f88	f88r.22	5	6	chorcholsal	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R125	G769-T0490	f89r1	f89	f89r1.21	8	9	sshr	0	NO_V99R7_COMPLETE_WORD_CARD_READER_NONEXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R126	G769-T0492	f89v1	f89	f89v1.9	7	8	cheokchey	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R127	G769-T0493	f89v1	f89	f89v1.11	4	5	shodain	0	NO_V99R7_COMPLETE_WORD_CARD_READER_NONEXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R128	G769-T0497	f90r1	f90	f90r1.5	5	6	okachey	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R129	G769-T0498	f93r	f93	f93r.3	8	9	schodchy	0	NO_V99R7_COMPLETE_WORD_CARD_READER_NONEXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R130	G769-T0515	f95v1	f95	f95v1.6	8	9	shedar	0	NO_V99R7_COMPLETE_WORD_CARD_READER_NONEXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R131	G769-T0517	f95v1	f95	f95v1.9	3	4	k	0	NO_V99R7_COMPLETE_WORD_CARD_READER_NONEXACT	Ansatz-/Zubereitungsposten	0	0	0
