passage_patch_id	span_ids	target_occurrence_ids	page	physical_folio	locus	target_count	right_surfaces	right_token_ids	selected_whole_defaults_de	written_line_eva	inherited_gdt778_patch_de	gdt779_practical_patch_de	patch_legend	default_is_translation	confirmed_plaintext	component_export_credit
G779-P011	G779-S011	G769-T0125	f114r	f114	f114r.14	1	daldy	f114r.14@6	abgemessene Rohstoffportion I	solpchd oiin chcthdy qodair ol daldy qopdain opdaiin opdairody opdaildo ary	solpchd oiin chcthdy qodair ol daldy qopdain opdaiin opdairody opdaildo ary	solpchd oiin chcthdy qodair ⟦abgemessene Rohstoffportion I⟧ qopdain opdaiin opdairody opdaildo ary	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P012	G779-S012	G769-T0161	f20r	f20	f20r.4	1	teey	f20r.4@3	Kalt-Endstufe	ochol ol teey otolchey	ochol ol teey otolchey	ochol ⟦Kalt-Endstufe⟧ otolchey	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P013	G779-S013	G769-T0164	f22r	f22	f22r.7	1	otchy	f22r.7@7	kalt-trockene Anfangsstufe	kchol shol dsheor chdoly ytaiin ol otchy cphal	kchol shol dsheor chdoly ytaiin ol otchy cphal	kchol shol dsheor chdoly ytaiin ⟦kalt-trockene Anfangsstufe⟧ cphal	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P014	G779-S014	G769-T0168	f23v	f23	f23v.1	1	chcphy	f23v.1@9	trockene Mischung	podairol odaiiily sho al dy opchol otol ol chcphy qotchar s	podairol odaiiily sho al dy opchol otol ol chcphy qotchar s	podairol odaiiily sho al dy opchol otol ⟦trockene Mischung⟧ qotchar s	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P015	G779-S015	G769-T0181	f32v	f32	f32v.11	1	sho	f32v.11@2	feuchter Ansatz	ol sho chy	ol sho chy	⟦feuchter Ansatz⟧ chy	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P016	G779-S016	G769-T0244	f66r	f66	f66r.62	1	cheeky	f66r.62@2	getrocknet, dann leicht erhitzt	ol cheeky daiir chky axor akar y daiin	ol cheeky daiir chky axor akar y daiin	⟦getrocknet, dann leicht erhitzt⟧ daiir chky axor akar y daiin	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P017	G779-S017	G769-T0249	f6r	f6	f6r.11	1	chokaiin	f6r.11@4	erhitzter Trockenansatz III	ychar olchaj ol chokaiin	ychar olchaj ol chokaiin	ychar olchaj ⟦erhitzter Trockenansatz III⟧	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P018	G779-S018|G779-S019	G769-T0257|G769-T0258	f75r	f75	f75r.26	2	sheol|qoly	f75r.26@3|f75r.26@6	feuchtes Material || zugeben und abschließen	dain ol sheol dain ol qoly dar ajy	dain ol sheol dain ol qoly dar ajy	dain ⟦feuchtes Material⟧ dain ⟦zugeben und abschließen⟧ dar ajy	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P019	G779-S021	G769-T0278	f75v	f75	f75v.48	1	cheedy	f75v.48@8	getrocknetes Ergebnis, Endform	qokear chedy shckhy dol ycheedy saino ol cheedy qokar otar dal daiin	qokear chedy shckhy dol ycheedy saino ol cheedy qokar otar dal daiin	qokear chedy shckhy dol ycheedy saino ⟦getrocknetes Ergebnis, Endform⟧ qokar otar dal daiin	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P020	G779-S020	G769-T0266	f75v	f75	f75v.7	1	chety	f75v.7@5	kalt-trockene Form	qokchdy qokal dal ol chety lchdy shedy ched otedy qotedy otar	qokchdy qokal dal ol chety lchdy shedy ched otedy qotedy otar	qokchdy qokal dal ⟦kalt-trockene Form⟧ lchdy shedy ched otedy qotedy otar	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P021	G779-S022	G769-T0290	f76v	f76	f76v.20	1	checkhy	f76v.20@5	trockene Mischung, Anfangsstufe	dol sheetey qokedy ol checkhy lshedy qokeedy cheedy qokeedy shl loiii	dol sheetey qokedy ol checkhy lshedy qokeedy cheedy qokeedy shl loiii	dol sheetey qokedy ⟦trockene Mischung, Anfangsstufe⟧ lshedy qokeedy cheedy qokeedy shl loiii	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P022	G779-S023	G769-T0294	f77r	f77	f77r.43	1	cheedy	f77r.43@4	getrocknetes Ergebnis, Endform	d chee ol cheedy qotaiin qoteedy qotedy raiin	d chee ol cheedy qotaiin qoteedy qotedy raiin	d chee ⟦getrocknetes Ergebnis, Endform⟧ qotaiin qoteedy qotedy raiin	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P023	G779-S024	G769-T0301	f77v	f77	f77v.29	1	cheedy	f77v.29@9	getrocknetes Ergebnis, Endform	tchadchy lshedy daly dal dsheedy pcheol lfol ol cheedy qoty	tchadchy lshedy daly dal dsheedy pcheol lfol ol cheedy qoty	tchadchy lshedy daly dal dsheedy pcheol lfol ⟦getrocknetes Ergebnis, Endform⟧ qoty	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P024	G779-S025	G769-T0305	f78r	f78	f78r.12	1	tedy	f78r.12@7	Kalt-Mittelstufe abgeschlossen	dor shekedy qokol kechdy otedy ol tedy chckhedy	dor shekedy qokol kechdy otedy ol tedy chckhedy	dor shekedy qokol kechdy otedy ⟦Kalt-Mittelstufe abgeschlossen⟧ chckhedy	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P025	G779-S026	G769-T0307	f78r	f78	f78r.28	1	qokeedy	f78r.28@3	erhitzt, Endstufe	orain ol qokeedy kchol tchal olkee yfchey ofchedy taly	orain ol qokeedy kchol tchal olkee yfchey ofchedy taly	orain ⟦erhitzt, Endstufe⟧ kchol tchal olkee yfchey ofchedy taly	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P026	G779-S028	G769-T0323	f78v	f78	f78v.12	1	qokaiin	f78v.12@3	Wärmestufe III	sheor ol qokaiin shckhy otaly qolsheey qokal sain	sheor ol qokaiin shckhy otaly qolsheey qokal sain	sheor ⟦Wärmestufe III⟧ shckhy otaly qolsheey qokal sain	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P027	G779-S029	G769-T0326	f78v	f78	f78v.21	1	qokar	f78v.21@6	erhitzter Anteil I	chedy lshedy olshedy otaiin ol qokar shedy yteedy	chedy lshedy olshedy otaiin ol qokar shedy yteedy	chedy lshedy olshedy otaiin ⟦erhitzter Anteil I⟧ shedy yteedy	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P028	G779-S030	G769-T0330	f78v	f78	f78v.25	1	sham	f78v.25@9	Flüssigkeitsmaß	teeol olkeshey qolcheol ol or sheckhedy or ol sham	teeol olkeshey qolcheol ⟦Portionsträger⟧ sheckhedy or ol sham	teeol olkeshey qolcheol ⟦Portionsträger⟧ sheckhedy or ⟦Flüssigkeitsmaß⟧	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P029	G779-S027	G769-T0319	f78v	f78	f78v.5	1	cheeky	f78v.5@7	getrocknet, dann leicht erhitzt	qor olkeey olkain ol chsey ol cheeky dar okal dal olchedy	qor olkeey olkain ol chsey ol cheeky dar okal dal olchedy	qor olkeey olkain ol chsey ⟦getrocknet, dann leicht erhitzt⟧ dar okal dal olchedy	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P030	G779-S031	G769-T0343	f79r	f79	f79r.18	1	dam	f79r.18@10	Maß I	solor olshey qokaiin chey qokain otain otain otal ol dam	solor olshey qokaiin chey qokain otain otain otal ol dam	solor olshey qokaiin chey qokain otain otain otal ⟦Maß I⟧	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P031	G779-S032	G769-T0360	f79v	f79	f79v.25	1	olshdy	f79v.25@3	angefeuchtetes Material, abgeschlossen	qokeey ol olshdy qotain oteedy olkain otshey sain ol	qokeey ol olshdy qotain oteedy olkain otshey sain ol	qokeey ⟦angefeuchtetes Material, abgeschlossen⟧ qotain oteedy olkain otshey sain ol	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P032	G779-S033	G769-T0362	f79v	f79	f79v.26	1	otol	f79v.26@8	kalte Zubereitung	ykeedy okaiin dykaiin otedy dkeey tar ol otol oiiiny	ykeedy okaiin dykaiin otedy dkeey tar ol otol oiiiny	ykeedy okaiin dykaiin otedy dkeey tar ⟦kalte Zubereitung⟧ oiiiny	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P033	G779-S034	G769-T0366	f79v	f79	f79v.35	1	otol	f79v.35@6	kalte Zubereitung	qor cheey kain chl ol otol dain otain ol oteedy qokan	qor cheey kain chl ol otol dain otain ⟦Zubereitungszustand: kalt, Endform⟧ qokan	qor cheey kain chl ⟦kalte Zubereitung⟧ dain otain ⟦Zubereitungszustand: kalt, Endform⟧ qokan	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P034	G779-S035	G769-T0369	f79v	f79	f79v.37	1	shal	f79v.37@3	Feuchtmaterial I	pol ol shal kain okeey lkeey qokal otchsdy okeshdy	pol ol shal kain okeey lkeey qokal otchsdy okeshdy	pol ⟦Feuchtmaterial I⟧ kain okeey lkeey qokal otchsdy okeshdy	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P035	G779-S036	G769-T0379	f80r	f80	f80r.34	1	qockhey	f80r.34@6	mische	ey rcheky shepchedy qokar ol qockhey olchey qokedy koroiin y	ey rcheky shepchedy qokar ol qockhey olchey qokedy koroiin y	ey rcheky shepchedy qokar ⟦mische⟧ olchey qokedy koroiin y	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P036	G779-S037	G769-T0400	f80v	f80	f80v.39	1	chckhy	f80v.39@7	trockene Mischung, Anfangsstufe	sol aiin chey qokain ches ol chckhy qokeedy tchdy aral	sol aiin chey qokain ches ol chckhy qokeedy tchdy aral	sol aiin chey qokain ches ⟦trockene Mischung, Anfangsstufe⟧ qokeedy tchdy aral	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P037	G779-S038	G769-T0401	f80v	f80	f80v.40	1	cheeor	f80v.40@3	Portion Trockengut	qokain ol cheeor olar chey tchar ol chedy qotal olchedy	qokain ol cheeor olar chey tchar ol chedy qotal olchedy	qokain ⟦Portion Trockengut⟧ olar chey tchar ol chedy qotal olchedy	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P038	G779-S040	G769-T0413	f81r	f81	f81r.17	1	ochedar	f81r.17@7	abgemessener Trockenanteil I	y checthy okeedy shey qokedy ol ochedar	y checthy okeedy shey qokedy ol ochedar	y checthy okeedy shey qokedy ⟦abgemessener Trockenanteil I⟧	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P039	G779-S041	G769-T0415	f81r	f81	f81r.22	1	daiin	f81r.22@5	Wertstufe III	qotal chedy qol ol daiin ol chedar ol oly	qotal chedy qol ol daiin ⟦abgemessener Trockenanteil I⟧ ⟦und dann⟧ oly	qotal chedy qol ⟦Wertstufe III⟧ ⟦abgemessener Trockenanteil I⟧ ⟦und dann⟧ oly	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P040	G779-S039	G769-T0405	f81r	f81	f81r.4	1	chcthy	f81r.4@5	trockenes Pflanzenmaterial	dchedy qokain ol ol chcthy ykeedy al	dchedy qokain ⟦Unterfeld: weiterer Ansatz⟧ ol chcthy ykeedy al	dchedy qokain ⟦Unterfeld: weiterer Ansatz⟧ ⟦trockenes Pflanzenmaterial⟧ ykeedy al	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P041	G779-S042	G769-T0430	f81v	f81	f81v.18	1	cheky	f81v.18@4	antrocknen, dann erwärmen	qokchdy chey ol cheky ol shedy qokedy qokedy chckhy qoky	qokchdy chey ol cheky ⟦Zustand: feuchtes Ergebnis, Form I⟧ qokedy qokedy chckhy qoky	qokchdy chey ⟦antrocknen, dann erwärmen⟧ ⟦Zustand: feuchtes Ergebnis, Form I⟧ qokedy qokedy chckhy qoky	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P042	G779-S043	G769-T0446	f83v	f83	f83v.29	1	cheal	f83v.29@2	trockenes Rohmaterial I	ol cheal shedy chey tal shedal dalshdy	ol cheal shedy chey tal shedal dalshdy	⟦trockenes Rohmaterial I⟧ shedy chey tal shedal dalshdy	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P043	G779-S044	G769-T0468	f86v5	f86	f86v5.32	1	teody	f86v5.32@11	abkühlen und abschließen	dshey ytchy dy qotal shdy or aiin chody chey ol teody aiin	dshey ytchy dy qotal shdy or aiin chody chey ol teody aiin	dshey ytchy dy qotal shdy or aiin chody chey ⟦abkühlen und abschließen⟧ aiin	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P044	G779-S045	G769-T0479	f86v6	f86	f86v6.34	1	kaiiin	f86v6.34@12	Wärmestufe IV	soraiin ar shey qoteody or aiiin oeey ldaiiin or oro ol kaiiin	soraiin ar shey qoteody or aiiin oeey ldaiiin or oro ol kaiiin	soraiin ar shey qoteody or aiiin oeey ldaiiin or oro ⟦Wärmestufe IV⟧	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P045	G779-S046	G769-T0481	f86v6	f86	f86v6.35	1	tey	f86v6.35@8	Kalt-Mittelstufe	sar aiin otar cheody qotaiin qokaiin ol tey qokaiin okar ol	sar aiin otar cheody qotaiin qokaiin ol tey qokaiin okar ol	sar aiin otar cheody qotaiin qokaiin ⟦Kalt-Mittelstufe⟧ qokaiin okar ol	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P046	G779-S047	G769-T0499	f93r	f93	f93r.5	1	chody	f93r.5@2	trocken aufbereitetes Ergebnis	ol chody cfhol dol qokol otodar chodain	ol chody cfhol dol qokol otodar chodain	⟦trocken aufbereitetes Ergebnis⟧ cfhol dol qokol otodar chodain	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P047	G779-S048	G769-T0503	f94v	f94	f94v.2	1	teedy	f94v.2@2	Kalt-Endstufe abgeschlossen	ol teedy oteey qekeey oteey teedal ykeedy qotarain	ol teedy oteey qekeey oteey teedal ykeedy qotarain	⟦Kalt-Endstufe abgeschlossen⟧ oteey qekeey oteey teedal ykeedy qotarain	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P048	G779-S049	G769-T0505	f94v	f94	f94v.4	1	okchy	f94v.4@7	heiße Trockenform, Anfangsstufe	dchdy otar otchy kedy qokchdy ol okchy	dchdy otar otchy kedy qokchdy ol okchy	dchdy otar otchy kedy qokchdy ⟦heiße Trockenform, Anfangsstufe⟧	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P049	G779-S050	G769-T0524	f99v	f99	f99v.35	1	okeeey	f99v.35@2	stark erhitzt, Endstufe	ol okeeey oqoeeol cheol chody okoiin	ol okeeey oqoeeol cheol chody okoiin	⟦stark erhitzt, Endstufe⟧ oqoeeol cheol chody okoiin	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
