witness_ordinal	target_surface	ordered_pair	source_deck	statement_id	physical_page	register	left_event_id	right_event_id	left_surface	right_surface	left_recipe	right_recipe	visible_left_seam	visible_right_seam	visible_target_seam_exact	exact_aiicthy_target_tile_path	guard
12	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S020	f18r	HERBAL	G407-E0553	G407-E0554	cthaiin	cthol	CH+T+AIIN	CH+T+OL	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
13	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S020	f18r	HERBAL	G407-E0566	G407-E0567	shaiin	cthy	SH+AIIN	CH+T+Y	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
14	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S022	f18r	HERBAL	G407-E0597	G407-E0598	shaiin	cthar	SH+AIIN	CH+T+AR	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
15	rotaiin	R>OT	GDT407_OLD26	G404-S009	f24v	HERBAL	G407-E0622	G407-E0623	otaiir	otchos	OT+IIN+R	OT+CH+O+S	r	ot	YES	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
16	aiicthy	AIIN>CH	GDT407_OLD26	G404-S010	f24v	HERBAL	G407-E0662	G407-E0663	ydaiin	chear	Y+D_ADDR+AIIN	CH+E+AR	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
17	ofaram	AR>AM_ADDR	GDT407_OLD26	P1009-S024	f55v	HERBAL	G407-E0711	G407-E0712	kar	am	K+AR	AM_ADDR	ar	am	YES	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
18	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S025	f55v	HERBAL	G407-E0721	G407-E0722	qokaiin	chaiin	OK+AIIN	CH+AIIN	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
19	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S026	f55v	HERBAL	G407-E0778	G407-E0779	ykaiin	cheoar	Y+K+AIIN	CH+E+O+AR	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
20	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S030	f56r	HERBAL	G407-E0864	G407-E0865	daiin	cthol	AIIN	CH+T+OL	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
21	ofaram	AR>AM_ADDR	GDT407_OLD26	P1009-S032	f67r2	CELESTIAL	G407-E0921	G407-E0922	ar	amy	AR	AM_ADDR+Y	ar	am	YES	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
22	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S040	f67r2	CELESTIAL	G407-E0988	G407-E0989	aiin	choeea	AIIN	CH+O+EE+A_ADDR	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
23	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S049	f71v	CELESTIAL	G407-E1128	G407-E1129	otaiin	chkeeal	OT+AIIN	CH+K+EE+AL	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
24	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S053	f72r	CELESTIAL	G407-E1160	G407-E1161	chalaiin	chekeol	AL+AIIN	CH+K+E+OL	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
25	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S054	f72r	CELESTIAL	G407-E1187	G407-E1188	otaiin	chetey	OT+AIIN	CH+E+T+E+Y	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
26	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S056	f72r	CELESTIAL	G407-E1214	G407-E1215	aiin	chal	AIIN	CH+AL	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
27	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S063	f72r	CELESTIAL	G407-E1327	G407-E1328	aiin	chekackhy	AIIN	CH+E+CH+K+Y	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
28	ofaram	AR>AM_ADDR	GDT407_OLD26	P1009-S069	f72r	CELESTIAL	G407-E1400	G407-E1401	ar	am	AR	AM_ADDR	ar	am	YES	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
29	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S174	f75r	BIOLOGICAL	G407-E1810	G407-E1811	olaiin	ch	OL+AIIN	CH	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
30	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S197	f76r	BIOLOGICAL	G407-E1896	G407-E1897	qoaiin	ches	CARRIER_Q+O+AIIN	CH+E+S	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
31	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S198	f76r	BIOLOGICAL	G407-E1906	G407-E1907	aiin	chekain	AIIN	CH+K+AIN	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
32	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S240	f76r	BIOLOGICAL	G407-E2091	G407-E2092	aiin	chodaiin	AIIN	CH+O+D_ADDR+AIIN	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
33	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S245	f76r	BIOLOGICAL	G407-E2133	G407-E2134	qokaiin	cheol	OK+AIIN	CH+E+O+L	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
34	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S299	f76r	BIOLOGICAL	G407-E2384	G407-E2385	ldaiin	checkhey	L+AIIN	CH+E+CH+K+E+Y	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
35	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S331	f77r	BIOLOGICAL	G407-E2474	G407-E2475	daiin	cheedy	AIIN	CH+EE+D_ADDR+Y	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
36	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S351	f77r	BIOLOGICAL	G407-E2545	G407-E2546	qokaiin	chcthy	OK+AIIN	CH+CH+T+Y	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
37	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S358	f77r	BIOLOGICAL	G407-E2566	G407-E2567	qokaiin	chckhey	OK+AIIN	CH+CH+K+E+Y	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
38	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S364	f77r	BIOLOGICAL	G407-E2601	G407-E2602	qokaiin	checkhy	OK+AIIN	CH+E+CH+K+Y	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
39	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S371	f77r	BIOLOGICAL	G407-E2630	G407-E2631	qokaiin	chcphey	OK+AIIN	CH+CH+P+E+Y	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
40	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S382	f77r	BIOLOGICAL	G407-E2685	G407-E2686	qokaiin	ches	OK+AIIN	CH+E+S	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
41	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S382	f77r	BIOLOGICAL	G407-E2696	G407-E2697	daiin	chlchpsheey	AIIN	CH+L+CH+P+SH+EE+Y	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
42	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S389	f81v	BIOLOGICAL	G407-E2964	G407-E2965	daiin	chcthy	AIIN	CH+CH+T+Y	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
43	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S391	f81v	BIOLOGICAL	G407-E2991	G407-E2992	daiin	chckhy	AIIN	CH+K+Y	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
44	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S440	f82r	BIOLOGICAL	G407-E3196	G407-E3197	solkaiin	chckhy	OL+K+AIIN	CH+K+Y	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
45	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S449	f82r	BIOLOGICAL	G407-E3244	G407-E3245	qokaiin	chkedy	OK+AIIN	CH+K+E+D_ADDR+Y	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
46	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S472	f82r	BIOLOGICAL	G407-E3338	G407-E3339	daiin	cheoky	AIIN	CH+E+O+K+Y	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
47	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S473	f82r	BIOLOGICAL	G407-E3348	G407-E3349	qokaiin	cheor	OK+AIIN	CH+E+O+R	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
48	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S490	f82r	BIOLOGICAL	G407-E3406	G407-E3407	qotaiin	chcthey	OT+AIIN	CH+CH+T+E+Y	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
49	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S494	f82r	BIOLOGICAL	G407-E3423	G407-E3424	raiin	cheol	R+AIIN	CH+E+O+L	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
50	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S498	f82r	BIOLOGICAL	G407-E3441	G407-E3442	shedaiin	chckhey	SH+E+AIIN	CH+CH+K+E+Y	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
51	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S508	f83r	BIOLOGICAL	G407-E3493	G407-E3494	qotaiin	checkhy	OT+AIIN	CH+E+CH+K+Y	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
52	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S521	f83r	BIOLOGICAL	G407-E3545	G407-E3546	aiin	chky	AIIN	CH+K+Y	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
53	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S522	f83r	BIOLOGICAL	G407-E3551	G407-E3552	qokaiin	chkain	OK+AIIN	CH+K+AIN	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
54	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S566	f83r	BIOLOGICAL	G407-E3691	G407-E3692	saiin	cheeky	S+AIIN	CH+K+EE+Y	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
55	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S578	f83r	BIOLOGICAL	G407-E3725	G407-E3726	saiin	cheky	S+AIIN	CH+K+E+Y	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
56	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S590	f88r	PHARMA	G407-E3829	G407-E3830	saiin	cheos	S+AIIN	CH+E+O+S	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
57	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S592	f88r	PHARMA	G407-E3863	G407-E3864	aiin	chor	AIIN	CH+OR	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
58	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S592	f88r	PHARMA	G407-E3866	G407-E3867	aiin	chosals	AIIN	CH+O+S+AL+S	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
59	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S595	f88v	PHARMA	G407-E3935	G407-E3936	aiin	cheokal	AIIN	CH+E+O+K+AL	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
60	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S595	f88v	PHARMA	G407-E3947	G407-E3948	qoaiin	cheoy	CARRIER_Q+O+AIIN	CH+E+O+Y	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
61	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S596	f88v	PHARMA	G407-E3960	G407-E3961	aiin	chody	AIIN	CH+O+D_ADDR+Y	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
62	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S602	f88v	PHARMA	G407-E4005	G407-E4006	olaiin	cheody	OL+AIIN	CH+E+O+Y	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
63	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S602	f88v	PHARMA	G407-E4010	G407-E4011	sqokeodaiin	cheody	S+OK+E+O+D_ADDR+AIIN	CH+E+O+Y	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
64	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S610	f89r	PHARMA	G407-E4077	G407-E4078	daldaiin	chodaiin	AL+AIIN	CH+O+D_ADDR+AIIN	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
65	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S610	f89r	PHARMA	G407-E4086	G407-E4087	daiin	ctheody	AIIN	CH+T+E+O+Y	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
66	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S610	f89r	PHARMA	G407-E4094	G407-E4095	daiin	ckhol	AIIN	CH+K+OL	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
67	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S611	f89r	PHARMA	G407-E4112	G407-E4113	saiin	cheocphey	S+AIIN	CH+CH+P+E+Y	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
68	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S614	f89r	PHARMA	G407-E4185	G407-E4186	daiin	chodaiin	AIIN	CH+O+D_ADDR+AIIN	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
69	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S617	f89r	PHARMA	G407-E4203	G407-E4204	aiin	cheodal	AIIN	CH+E+O+AL	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
70	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S617	f89r	PHARMA	G407-E4209	G407-E4210	daiin	chody	AIIN	CH+O+D_ADDR+Y	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
71	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S622	f89r	PHARMA	G407-E4291	G407-E4292	saiin	chchky	S+AIIN	CH+K+Y	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
72	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S626	f89r	PHARMA	G407-E4306	G407-E4307	daiin	cheok	AIIN	CH+E+O+K	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
73	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S627	f89r	PHARMA	G407-E4362	G407-E4363	daiin	ycheary	AIIN	CH+E+AR	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
74	aiicthy	AIIN>CH	GDT407_OLD26	G404-S063	f95v	HERBAL	G407-E4423	G407-E4424	aiin	chckhy	AIIN	CH+K+Y	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
75	ofaram	AR>AM_ADDR	GDT407_OLD26	G404-S069	f95v	HERBAL	G407-E4477	G407-E4478	qokar	am	OK+AR	AM_ADDR	ar	am	YES	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
76	aiicthy	AIIN>CH	GDT407_OLD26	G404-S080	f95v	HERBAL	G407-E4528	G407-E4529	fchodaiin	chtal	LOCAL_CHAR_F+CH+O+D_ADDR+AIIN	CH+T+AL	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
