component_recipe	portable_core_de	renderer_rule	base_surface	marked_surface	base_events	marked_events	semantic_effect	scribal_use_de
OK+EE+Y	SETZEN · LÄNGER · DIES	CH_RENDERER_SHELL	okeey	chokeey	8	2	NONE	breiter ch-Renderer des gleichen Kartenkerns.
OK+OR	SETZEN · SATZ	Q_POST_CLOSE_ENTRY_SHELL	okor	qokor	1	1	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
OK+OR	SETZEN · SATZ	CH_RENDERER_SHELL	okor	chokor	1	2	NONE	breiter ch-Renderer des gleichen Kartenkerns.
OK+Y	SETZEN · DIES	Q_POST_CLOSE_ENTRY_SHELL	okchy	qokchy	3	4	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
OK+Y	SETZEN · DIES	Q_POST_CLOSE_ENTRY_SHELL	oky	qoky	9	21	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
OK+Y	SETZEN · DIES	CH_RENDERER_SHELL	oky	choky	9	3	NONE	breiter ch-Renderer des gleichen Kartenkerns.
OL	FORTSETZEN	Q_POST_CLOSE_ENTRY_SHELL	ol	qol	36	16	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
OL	FORTSETZEN	CH_RENDERER_SHELL	ol	chol	36	22	NONE	breiter ch-Renderer des gleichen Kartenkerns.
OL	FORTSETZEN	S_SERIES_SHELL	ol	sol	36	12	NONE	s-Reihen- oder Fortsetzungsrenderer.
OL+AIIN	FORTSETZEN · SOLLWERT	CH_RENDERER_SHELL	olaiin	cholaiin	3	1	NONE	breiter ch-Renderer des gleichen Kartenkerns.
OL+K+AL	FORTSETZEN · GEBEN · ZIEL	CH_RENDERER_SHELL	olkal	cholkal	1	1	NONE	breiter ch-Renderer des gleichen Kartenkerns.
OL+OR	FORTSETZEN · SATZ	CH_RENDERER_SHELL	olor	cholor	4	1	NONE	breiter ch-Renderer des gleichen Kartenkerns.
OL+Y	FORTSETZEN · DIES	Q_POST_CLOSE_ENTRY_SHELL	olchey	qolchey	3	1	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
OL+Y	FORTSETZEN · DIES	Q_POST_CLOSE_ENTRY_SHELL	oly	qoly	6	2	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
OL+Y	FORTSETZEN · DIES	CH_RENDERER_SHELL	oly	choly	6	2	NONE	breiter ch-Renderer des gleichen Kartenkerns.
CTH+E+Y	BEREIT · KURZ · DIES	Q_POST_CLOSE_ENTRY_SHELL	cthey	qcthey	1	1	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
L	LEITEN	D_ADDRESS_SHELL	l	dl	6	2	NONE	bezeichneter Unter-/Adressrahmen; Kernwert bleibt unverändert.
SH+E+OL	HALTEN · KURZ · FORTSETZEN	D_ADDRESS_SHELL	sheol	dsheol	4	2	NONE	bezeichneter Unter-/Adressrahmen; Kernwert bleibt unverändert.
E+Y	KURZ · DIES	Q_POST_CLOSE_ENTRY_SHELL	ey	qey	3	1	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
K+AR	GEBEN · QUELLE	S_SERIES_SHELL	kar	skar	4	1	NONE	s-Reihen- oder Fortsetzungsrenderer.
O	AUSFÜHREN	Q_POST_CLOSE_ENTRY_SHELL	o	qo	8	2	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
O+CKH+E+Y	AUSFÜHREN · DURCHLASS · KURZ · DIES	Q_POST_CLOSE_ENTRY_SHELL	ockhey	qockhey	1	3	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
OK+AIIN	SETZEN · SOLLWERT	Q_POST_CLOSE_ENTRY_SHELL	okaiin	qokaiin	8	18	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
OK+AIR	SETZEN · LAUF	Q_POST_CLOSE_ENTRY_SHELL	okair	qokair	1	1	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
OK+AR	SETZEN · QUELLE	Q_POST_CLOSE_ENTRY_SHELL	okar	qokar	13	8	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
OK+CHD+DY	SETZEN · UMSETZEN · SCHLIESSEN	Q_POST_CLOSE_ENTRY_SHELL	okchdy	qokchdy	2	5	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
OK+E+AL	SETZEN · KURZ · ZIEL	Q_POST_CLOSE_ENTRY_SHELL	okeal	qokeal	1	1	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
OK+E+DY	SETZEN · KURZ · SCHLIESSEN	Q_POST_CLOSE_ENTRY_SHELL	okedy	qokedy	7	38	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
OK+EE+DY	SETZEN · LÄNGER · SCHLIESSEN	Q_POST_CLOSE_ENTRY_SHELL	okeedy	qokeedy	7	38	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
OK+EE+O+D_ADDR+Y	SETZEN · LÄNGER · AUSFÜHREN · TEIL · DIES	Q_POST_CLOSE_ENTRY_SHELL	okeeody	qokeeody	2	1	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
OK+EE+OL	SETZEN · LÄNGER · FORTSETZEN	Q_POST_CLOSE_ENTRY_SHELL	okeeol	qokeeol	2	1	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
OK+E+O+D_ADDR+Y	SETZEN · KURZ · AUSFÜHREN · TEIL · DIES	Q_POST_CLOSE_ENTRY_SHELL	okeody	qokeody	2	1	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
OK+E+OL	SETZEN · KURZ · FORTSETZEN	Q_POST_CLOSE_ENTRY_SHELL	okeol	qokeol	1	3	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
OK+E+Y	SETZEN · KURZ · DIES	Q_POST_CLOSE_ENTRY_SHELL	okey	qokey	6	9	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
OK+SH+E+DY	SETZEN · HALTEN · KURZ · SCHLIESSEN	Q_POST_CLOSE_ENTRY_SHELL	okshedy	qokshedy	2	3	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
OL+CHD+DY	FORTSETZEN · UMSETZEN · SCHLIESSEN	Q_POST_CLOSE_ENTRY_SHELL	olchedy	qolchedy	5	2	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
OL+DY	FORTSETZEN · SCHLIESSEN	Q_POST_CLOSE_ENTRY_SHELL	oldy	qoldy	12	2	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
SOLK+EE+Y	AUFFANGEN · LÄNGER · DIES	S_SERIES_SHELL	olkeey	solkeey	3	2	NONE	s-Reihen- oder Fortsetzungsrenderer.
SOLK+Y	AUFFANGEN · DIES	Q_POST_CLOSE_ENTRY_SHELL	olky	qolky	1	1	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
OL+S	FORTSETZEN · AUSWÄHLEN	S_SERIES_SHELL	ols	sols	2	1	NONE	s-Reihen- oder Fortsetzungsrenderer.
OL+SH+E+DY	FORTSETZEN · HALTEN · KURZ · SCHLIESSEN	S_SERIES_SHELL	olshedy	solshedy	3	1	NONE	s-Reihen- oder Fortsetzungsrenderer.
O+P+Y	AUSFÜHREN · EINSETZEN · DIES	Q_POST_CLOSE_ENTRY_SHELL	opchy	qopchy	1	3	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
OR	SATZ	Q_POST_CLOSE_ENTRY_SHELL	or	qor	19	1	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
OT	DANACH	Q_POST_CLOSE_ENTRY_SHELL	ot	qot	1	1	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
OT+AIIN	DANACH · SOLLWERT	Q_POST_CLOSE_ENTRY_SHELL	otaiin	qotaiin	5	3	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
OT+AIN	DANACH · EINHEIT	Q_POST_CLOSE_ENTRY_SHELL	otain	qotain	4	1	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
OT+AIR	DANACH · LAUF	Q_POST_CLOSE_ENTRY_SHELL	otair	qotair	1	1	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
OT+AL	DANACH · ZIEL	Q_POST_CLOSE_ENTRY_SHELL	otal	qotal	6	5	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
OT+AR	DANACH · QUELLE	Q_POST_CLOSE_ENTRY_SHELL	otar	qotar	15	4	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
OT+CHD+DY	DANACH · UMSETZEN · SCHLIESSEN	Q_POST_CLOSE_ENTRY_SHELL	otchedy	qotchedy	1	2	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
OT+Y	DANACH · DIES	Q_POST_CLOSE_ENTRY_SHELL	oty	qoty	6	10	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
OT+CH+OL	DANACH · NEHMEN · FORTSETZEN	Q_POST_CLOSE_ENTRY_SHELL	otchol	qotchol	2	2	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
OT+CH+OR	DANACH · NEHMEN · SATZ	Q_POST_CLOSE_ENTRY_SHELL	otchor	qotchor	2	1	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
OT+E+DY	DANACH · KURZ · SCHLIESSEN	Q_POST_CLOSE_ENTRY_SHELL	otedy	qotedy	8	5	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
OT+EE+AL	DANACH · LÄNGER · ZIEL	Q_POST_CLOSE_ENTRY_SHELL	oteeal	qoteeal	1	1	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
OT+EE+DY	DANACH · LÄNGER · SCHLIESSEN	Q_POST_CLOSE_ENTRY_SHELL	oteedy	qoteedy	3	8	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
OT+EE+Y	DANACH · LÄNGER · DIES	Q_POST_CLOSE_ENTRY_SHELL	oteey	qoteey	7	4	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
OT+E+OR	DANACH · KURZ · SATZ	Q_POST_CLOSE_ENTRY_SHELL	oteor	qoteor	1	2	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
OT+OR	DANACH · SATZ	Q_POST_CLOSE_ENTRY_SHELL	otor	qotor	7	3	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
SH+E+Y	HALTEN · KURZ · DIES	T_ENTRY_SHELL	shey	tshey	25	1	NONE	seltener t-Eintrittsrenderer.
