rule_id	surface	expected_v63_gloss_de	v64_main_gloss_de	practical_head_de	live_rivals_de	decision_class	basis
P025	olpchedy	fertiges Trockenpulver aus Holzansatz	fertiges Holzextraktpulver	Holzextraktpulver	getrocknetes Holzpulver|Holzrückstand	MATERIAL_RESULT_COLLAPSE	O-L-P bindet Präparation, Holz und Pulver; Extraktpulver bewahrt die Zubereitungsrelation gegenüber rohem Holzpulver.
P026	opchedaiin	drei Dosen bis zur Mittelstufe getrockneter Pulveransatz	drei Dosen bis zur Mittelstufe getrockneten Pulvers	Pulver	Pulverzubereitung|Trockenpulver	MATERIAL_RESULT_COLLAPSE	Das sichtbare Pulver trägt das dosierte Trockengut ohne zweiten Ansatzkopf.
P027	opchey	Trockenpulver-Ansatz, Form I	Trockenpulver, Form I	Trockenpulver	Pulverzubereitung	MATERIAL_RESULT_COLLAPSE	Trockenpulver ist bereits ein praktischer Produktkopf.
P028	op	Pulveransatz	Pulverzubereitung	Pulverzubereitung	Pulvermischung|Pulveransatz	MATERIAL_PREPARATION	Einwertige kurze Arbeitswahl für den bereits sichtbaren Pulverstoffkopf.
P029	chopo	Pulverzubereitung aus Trockenansatz	Pulverzubereitung aus Trockengut	Pulverzubereitung	Pulvermischung aus Trockenextrakt	MATERIAL_SOURCE_COLLAPSE	Die Quelle ist trockene Ware; ein zweiter laufender Ansatzkopf trägt keine Zusatzinformation.
P030	qocho	Trockenansatz nehmen	getrocknete Droge nehmen	getrocknete Droge	Trockenzubereitung|Trockenmasse	MATERIAL_RESULT_COLLAPSE	Das direkte Nehmen verlangt einen handhabbaren Stoffkopf; Droge ist praktischer als industrielles Trockengut.
P031	ytcho	hieraus einen Kalt-Trockenansatz herstellen	hieraus eine kalte Trockenmischung herstellen	Trockenmischung	Kaltansatz|Trockenmasse	INTERMEDIATE_DRY_PREPARATION	Herstellen bezeichnet eine konkrete Mischung; kein fertiger Rückstand oder Extrakt.
P032	ykcho	hieraus einen heiß-trockenen Ansatz bereiten	hieraus eine warme Trockenmischung bereiten	Trockenmischung	heiße Trockenzubereitung|Trockenextrakt	INTERMEDIATE_DRY_PREPARATION	K fügt Wärme zur selben Trockenmischung hinzu, die t in der kalten Schwester trägt; das lizenzierte Verb bereiten bleibt erhalten.
P033	orom	eine Handvoll Ansatz als Portion	eine Handvoll Drogenmaterial als Portion	Drogenmaterial	Zubereitung|Trockengut	LOCAL_QUANTITY_CONTEXT	Ohne CH- oder anderes Trockensignal darf orom nicht allein Trockengut erfinden.
P034	chokol	heißer Trockenabsud	heißer Absud aus Trockengut	Absud	Trockenzubereitung|heißes Trockengut	CONTRADICTION_REPAIR	Trocken beschreibt die Ausgangsware; ein Absud selbst ist flüssig und daher nicht trocken.
P035	daiin	Qualitätsgrad III des heißen Trockenabsuds	Qualitätsgrad III dieses heißen Absuds	Absud	Trockenzubereitung	LEFT_HEAD_CARRY	Unmittelbarer Genitivcarry des vorherigen chokol-Kopfes; kein freier daiin-Stoffwert.
P036	ockhdar	erste abgemessene Fraktion des Arzneikompositum-Ansatzes	erste abgemessene Fraktion der Arzneizubereitung	Arzneizubereitung	Arzneiansatz|Arzneikompositum-Auszug	O_CKH_PREPARATION_PRESERVATION	GDT652 trennt den qualifizierten O-CKH-Präparationskopf vom nackten CKH-Kompositum; die Zubereitung darf nicht auf den Stoffkopf kollabieren.
P037	chockhy	Arzneikompositum im Trockenansatz am Gradanfang	trockene Arzneizubereitung, Gradanfang	Arzneizubereitung	Trockenansatz des Arzneikompositums	O_CKH_PREPARATION_PRESERVATION	Die qualifizierte O-CKH-Zubereitung bleibt sichtbar; trocken und Gradanfang werden als Zustand derselben Zubereitung gesprochen.
P038	kchod	heiß-trockener Ansatz, abgezogen und abgeschlossen	heißer Auszug aus Trockengut, abgezogen und abgeschlossen	Auszug	Absud|heiß-trockene Zubereitung	EXACT_WORKFLOW_WHOLE	Abziehen trägt den Auszugkopf; trocken beschreibt die Ausgangsware, Hitze allein kein Kochen.
P039	ofchedy	fertig getrockneter Blütenansatz	fertig getrocknete Blütenmasse	Blütenmasse	Blütentrockenextrakt|Blütenrückstand	MATERIAL_RESULT_COLLAPSE	Der terminale Trockenschritt liefert eine zubereitete Blütenmasse statt rohem Blütenmaterial.
P040	solchedy	bis zur Mittelstufe fertig getrockneter Samenansatz	bis zur Mittelstufe getrocknete Samenmasse	Samenmasse	Samenrückstand|Samenzubereitung	MATERIAL_RESULT_COLLAPSE	Der terminale Trockenschritt liefert eine zubereitete Samenmasse; der Samen-Wortkopf bleibt sichtbar.
P041	olkar	erste erhitzte Holzfraktion im Ansatz	erster heißer Holzauszug	Holzauszug	erste erhitzte Fraktion des Holzansatzes	LOCAL_CONTEXT_WHOLE	Konkrete lokale Working Main; erst die nächste vollständige O/Q-Fraktionsrunde darf daraus eine Stammprognose machen.
P042	otair	zweite kalte Drogenfraktion im Ansatz	zweiter Kaltauszug der Droge	Kaltauszug	zweite Fraktion des kalten Ansatzes	LOCAL_CONTEXT_WHOLE	Konkrete lokale Working Main; die ot-Fraktionsschwestern bleiben bis zur gemeinsamen Runde offen.
P043	okal	Rohstoffklasse I im Ansatz, heiß am Gradanfang	Rohstoffklasse I im heißen Ansatz, Gradanfang	heißer Ansatz	Rohstoffklasse I der Heißzubereitung	LOCAL_CONTEXT_WHOLE	Lokale Relationsglättung, keine freie ok/al-Stammprognose.
P044	olkaiir	dritte erhitzte Holzfraktion im Ansatz	dritter heißer Holzauszug	Holzauszug	dritte erhitzte Fraktion des Holzansatzes	LOCAL_CONTEXT_WHOLE	Konkrete lokale Working Main; Fraktionsschwestern werden erst gemeinsam exportiert.
P045	okar	heiße Drogenfraktion I im Ansatz	erster heißer Drogenauszug	Drogenauszug	erste Drogenfraktion des heißen Ansatzes	LOCAL_CONTEXT_WHOLE	Konkrete lokale Working Main; qokar bleibt bis zur vollständigen Schwesterprüfung offen.
P046	oidal	abgemessene Rohstoffmenge I im Ansatz, Grundform	abgemessene Rohstoffmenge I im Grundansatz	Grundansatz	Rohstoffmenge I der Grundzubereitung	LOCAL_CONTEXT_WHOLE	Lokale Relationsglättung, keine freie oid/al-Stammprognose.
P047	otal	Rohstoffklasse I im Ansatz, kalt am Gradanfang	Rohstoffklasse I im kalten Ansatz, Gradanfang	kalter Ansatz	Rohstoffklasse I der Kaltzubereitung	LOCAL_CONTEXT_WHOLE	Lokale Relationsglättung, keine freie ot/al-Stammprognose.
P048	qodaiin	drei Portionen der ersten erhitzten Drogenfraktion im Ansatz	drei Portionen des ersten heißen Drogenauszugs	heißer Drogenauszug	drei Portionen der ersten Fraktion des erhitzten Ansatzes	LOCAL_CONTEXT_WHOLE	Konkrete lokale Mengen-/Auszugslesung; kein freier qodaiin- oder daiin-Stoffwert.
P049	oar	Drogenfraktion I im Ansatz	erster Drogenauszug	Drogenauszug	erste Drogenfraktion des Ansatzes	LOCAL_CONTEXT_WHOLE	Konkrete lokale Working Main; oair/qodar/odar bleiben bis zur Schwesterprüfung offen.
P050	daiin	drei Portionen der ersten erhitzten Drogenfraktion im Ansatz	drei Portionen des ersten heißen Drogenauszugs	heißer Drogenauszug	drei Portionen der ersten Fraktion des erhitzten Ansatzes	LOCAL_CONTEXT_WHOLE	Lokaler linker Kopfcarry; kein freier daiin-Auszugwert.
P051	otar	kalte Drogenfraktion I im Ansatz	erster Kaltauszug der Droge	Kaltauszug	erste Drogenfraktion des kalten Ansatzes	LOCAL_CONTEXT_WHOLE	Konkrete lokale Working Main; qotar und weitere Schwestern bleiben bis zur gemeinsamen Runde offen.
P052	otshey	kalt-feuchter Ansatz in der Mitte des Grades	kaltes Mazerat in der Mitte des Grades	Mazerat	kalt-feuchte Zubereitung|Einweichung	EXACT_MOIST_WHOLE	Die sechste SH-Präparationsform schließt die lokale Regel SH plus Präparationskopf gleich Mazerat.
P053	okeeodar	erste abgemessene Fraktion des vollständig erhitzten Ansatzes	erste abgemessene Fraktion des vollständig erhitzten Auszugs	Auszug	Fraktion der Heißzubereitung|Absud	EXACT_WORKFLOW_WHOLE	Der sichtbare keeod-Auszugkopf wird in der erweiterten Mengenform erhalten.
P054	qopaiin	drei Teile Pulveransatz nehmen	drei Teile Pulverzubereitung nehmen	Pulverzubereitung	Pulvermischung|Pulveransatz	MATERIAL_PREPARATION	Die sichtbare op/qop-Familie behält auf derselben Zeile denselben Pulverzubereitungskopf; q trägt hier die Einnahme-/Mengenform.
