statement_order	statement_id	record_unit_id	page	master_card_ids	visible_surface_sequence	portable_card_count	total_card_count	coverage_status	missing_card_forms	missing_teaching_tiers	current_reading_de
35	B1-S016	B1	f81v	MC040 MC002 MC153 MC128	qokal okeey qol cheedy	2	4	PORTABLE_SKELETON_ONLY	okeey|cheedy	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS|SPECIALIST_TABLET_CARD	Im gemeinsamen zweireihigen Figurenbecken: Setze dort länger an, führe weiter, lass absetzen und schließe
36	B1-S017	B1	f81v	MC154 MC106 MC139	sal teol dchdy	1	3	PORTABLE_SKELETON_ONLY	teol|dchdy	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS|SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM	Im gemeinsamen zweireihigen Figurenbecken: Führe dorthin, führe kurz weiter, setze um und schließe.
37	B1-S018	B1	f81v	MC118 MC076 MC033 MC045	ly dsheol oiiin olkeedy	0	4	NO_PORTABLE_CARD	ly|dsheol|oiiin|olkeedy	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM|SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS|SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM|SPECIALIST_TABLET_CARD	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Gefäß bereit, lass den Posten kurz weiter ruhen, bringe ihn auf Sollstufe, sammle länger und schließe.
38	B1-S019	B1	f81v	MC128	tedy	0	1	NO_PORTABLE_CARD	cheedy	SPECIALIST_TABLET_CARD	Im gemeinsamen zweireihigen Figurenbecken: Lass absetzen und schließe
39	B1-S020	B1	f81v	MC147 MC143	cheky shckhedy	0	2	NO_PORTABLE_CARD	cheky|shckhedy	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM|SPECIALIST_TABLET_CARD	Im gemeinsamen zweireihigen Figurenbecken: Wärme kurz, seih und schließe
40	B1-S021	B1	f81v	MC154	chal	1	1	FULLY_WRITABLE_WITH_17	NONE	NONE	Im gemeinsamen zweireihigen Figurenbecken: Führe den Posten dorthin
41	B2-S001	B2	f82r	MC025	dchedy	0	1	NO_PORTABLE_CARD	dchedy	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze um und schließe.
42	B2-S002	B2	f82r	MC028	qolchedy	0	1	NO_PORTABLE_CARD	olchedy	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Führe weiter und schließe.
43	B2-S003	B2	f82r	MC017 MC123 MC082	qokain dy qokeedy	1	3	PORTABLE_SKELETON_ONLY	okain|qokeedy	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM|SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Gib eine Portion zu, setze den Posten länger an und schließe.
44	B2-S004	B2	f82r	MC040 MC168 MC127 MC002 MC133	qokal lcheckhy lched qokeey lcheckhedy	1	5	PORTABLE_SKELETON_ONLY	lcheckhy|lched|okeey|lcheckhedy	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM|SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM|SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS|SPECIALIST_TABLET_CARD	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze dort an, leite durch den Ausgang, führe ab, setze länger an, seih ab und schließe.
45	B2-S005	B2	f82r	MC054 MC036 MC035 MC120 MC120 MC112 MC166 MC004	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	2	8	PORTABLE_SKELETON_ONLY	qokaly|solkaiin|chckhy|octheol|chkeey|ldy	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS|SPECIALIST_TABLET_CARD|SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM|SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS|SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM|SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze diesen Posten dort an, sammle bis zum Sollmaß, leite durch, stelle das Sollmaß ein, führe bereit weiter, wärme länger, ziehe ab und schließe.
46	B2-S006	B2	f82r	MC063 MC040 MC132 MC026	oteey qokal sheckhy qoky	2	4	PORTABLE_SKELETON_ONLY	oteey|sheckhy	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS|SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Nimm den langen Folgeposten, setze ihn dort an, leite ihn kurz durch und setze den Posten an.
47	B2-S007	B2	f82r	MC138	dshedy	0	1	NO_PORTABLE_CARD	dshedy	SPECIALIST_TABLET_CARD	Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Gib dem weitergeführten Überlaufposten Frischwasser zu und schließe.
48	B2-S008	B2	f82r	MC060 MC044 MC128	sotaiin qokar shedy	0	3	NO_PORTABLE_CARD	otaiin|qokar|cheedy	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS|SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS|SPECIALIST_TABLET_CARD	Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Stelle das Folgemaß ein, setze daraus an, lass absetzen und schließe.
49	B2-S009	B2	f82r	MC149	solshedy	0	1	NO_PORTABLE_CARD	solshedy	SPECIALIST_TABLET_CARD	Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Lass weiter absetzen und schließe.
50	B2-S010	B2	f82r	MC002 MC026 MC065 MC119	qokeey qoky ls cheey	2	4	PORTABLE_SKELETON_ONLY	okeey|ls	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS|SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM	Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Setze länger an, führe den Posten durch den Auslass und nimm den Klarlauf.
51	B2-S011	B2	f82r	MC017 MC055 MC017 MC082	okain char okain qokeedy	1	4	PORTABLE_SKELETON_ONLY	okain|okain|qokeedy	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM|SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM|SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS	Für die liegende Figur im kleinen Becken: Nimm aus dem gesetzten Ansatz eine Portion, gib eine weitere Portion zu, lasse sie länger einwirken und schließe den Schritt.
52	B2-S012	B2	f82r	MC008 MC119 MC073 MC002 MC066 MC039 MC123 MC140	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	3	8	PORTABLE_SKELETON_ONLY	lchy|qcthey|okeey|lcheey|qokeeedy	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM|SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS|SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS|SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM|SPECIALIST_TABLET_CARD	Ziehe den Anwendungsanteil aus dem kleinen Liegebecken ab. Wechsle ohne behauptete Leitungsverbindung zum grünen Mehrpersonenbecken: Nimm dort den Klarlauf, halte ihn kurz bereit, setze ihn länger an, führe ihn nach Sollmaß ab, vollende den Posten und schließe.
53	B2-S013	B2	f82r	MC155	lchedy	0	1	NO_PORTABLE_CARD	lchedy	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM	Für den Ansatz des grünen Mehrpersonenbeckens: Führe ab und schließe.
54	B2-S014	B2	f82r	MC029	lar	0	1	NO_PORTABLE_CARD	lar	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM	Für den Ansatz des grünen Mehrpersonenbeckens: Führe von dort ab.
55	B2-S015	B2	f82r	MC141 MC082	tshey qokeedy	0	2	NO_PORTABLE_CARD	tshey|qokeedy	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM|SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS	Für die Rand- und Servicebadansatz des unteren Beckens: Halte den vorigen Ablauf geschlossen, gib den Klarlauf zu, setze länger an und schließe.
56	B2-S016	B2	f82r	MC154 MC011 MC152 MC039 MC063 MC120 MC007 MC070	cheal lchedar ches aiin oteey qokaiin okey pchedy	3	8	PORTABLE_SKELETON_ONLY	lchedar|ches|oteey|okey|pchedy	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM|SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM|SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS|SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS|SPECIALIST_TABLET_CARD	Für die Rand- und Servicebadansatz des unteren Beckens: Führe ihn dorthin und von dort ab, teile gleich, stelle das Sollmaß ein, nimm den langen Folgeposten, setze kurz an, führe ein und schließe.
57	B2-S017	B2	f82r	MC102 MC079	rsheal daldy	0	2	NO_PORTABLE_CARD	rsheal|daldy	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS|SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS	Für die Rand- und Servicebadansatz des unteren Beckens: Lass den Posten kurz am Ziel ruhen, schließe die Nebenöffnung und beende den Schritt.
58	B2-S018	B2	f82r	MC082	qokeedy	0	1	NO_PORTABLE_CARD	qokeedy	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS	Für die Rand- und Servicebadansatz des unteren Beckens: Setze länger an und schließe.
59	B2-S019	B2	f82r	MC084	rshedy	0	1	NO_PORTABLE_CARD	rshedy	SPECIALIST_TABLET_CARD	Für die Rand- und Servicebadansatz des unteren Beckens: Führe den Waschgang aus und schließe.
60	B2-S020	B2	f82r	MC173	qoteedy	0	1	NO_PORTABLE_CARD	qoteedy	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS	Für die Rand- und Servicebadansatz des unteren Beckens: Nimm die lange Folge und schließe.
61	B2-S021	B2	f82r	MC082	qokeedy	0	1	NO_PORTABLE_CARD	qokeedy	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS	Für die Rand- und Servicebadansatz des unteren Beckens: Setze länger an und schließe.
62	B2-S022	B2	f82r	MC167	lochedy	0	1	NO_PORTABLE_CARD	lochedy	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM	Für die Rand- und Servicebadansatz des unteren Beckens: Führe den Rest ab und schließe.
63	B3-S001	B3	f83r	MC045	olkeedy	0	1	NO_PORTABLE_CARD	olkeedy	SPECIALIST_TABLET_CARD	Für die Charge der oberen offenen Fächerstation: Sammle länger und schließe.
64	B3-S002	B3	f83r	MC093 MC110	qotal chkeedy	0	2	NO_PORTABLE_CARD	otal|chkeedy	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS|SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM	Für die Charge der oberen offenen Fächerstation: Führe danach dorthin, wärme länger und schließe.
65	B3-S003	B3	f83r	MC123 MC039 MC123 MC155	chey daiin chey lchedy	3	4	PORTABLE_SKELETON_ONLY	lchedy	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM	Für die Charge der oberen offenen Fächerstation: Nimm den aktuellen Posten nach Sollmaß, führe ihn ab und schließe.
66	B3-S004	B3	f83r	MC120 MC093 MC055	qokaiin qotal dar	2	3	PORTABLE_SKELETON_ONLY	otal	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS	Für die Charge der oberen offenen Fächerstation: Stelle das Sollmaß ein, führe danach dorthin und nimm daraus.
67	B3-S005	B3	f83r	MC025	schedy	0	1	NO_PORTABLE_CARD	dchedy	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM	Für die Charge des runden Randgefäßes: Setze die entnommene Sollmaßportion um und schließe.
68	B3-S006	B3	f83r	MC064 MC040 MC028	chedchy qokal olchedy	1	3	PORTABLE_SKELETON_ONLY	chedchy|olchedy	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM|SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM	Für die Charge des runden Randgefäßes: Setze dorthin um, führe weiter und schließe.
