event_id	physical_page	locus	kind	surface	component_recipe	portable_default_de	local_contextual_expansion_de	edition_source
P912-E0013	f10r	f10r.2	CURRENT_BASE	os	OS	DAZU	Gefäß	PASS1002
P912-E0014	f10r	f10r.2	CURRENT_BASE	chair	CH+AIR	NEHMEN · LAUF	ENTNEHMEN · FLÜSSIGKEITSLAUF	PASS1002
P912-E0015	f10r	f10r.2	CURRENT_BASE	otytchol	OT+Y+T+CH+OL	DANACH · POSTEN · STELLEN · NEHMEN · FORTSETZEN	auffangen	PASS1002
P912-E0016	f10r	f10r.2	CURRENT_BASE	oky	OK+Y	SETZEN · POSTEN	ANSETZEN · POSTEN	PASS1002
P912-E0017	f10r	f10r.2	CURRENT_BASE	daiin	AIIN	MASS	MASS	PASS1002
P912-E0018	f10r	f10r.2	CURRENT_BASE	etyd	E+T+Y	KURZ · STELLEN · POSTEN	Wurzelrest	PASS1002
P912-E0019	f10r	f10r.3	CURRENT_BASE	qotor	OT+OR	DANACH · ANSATZ	DANACH · ANSATZ	PASS1002
P912-E0020	f10r	f10r.3	CURRENT_BASE	o	O	AUSFÜHREN	AUSFÜHREN	PASS1002
P912-E0021	f10r	f10r.3	CURRENT_BASE	tchy	T+Y	STELLEN · POSTEN	STELLEN · POSTEN	PASS1002
P912-E0022	f10r	f10r.3	CURRENT_BASE	daiin	AIIN	MASS	MASS	PASS1002
P912-E0023	f10r	f10r.3	CURRENT_BASE	chocthy	CH+O+CTH+Y	NEHMEN · AUSFÜHREN · BEREIT · POSTEN	ENTNEHMEN · AUSFÜHREN · BEREIT · POSTEN	PASS1002
P912-E0024	f10r	f10r.3	CURRENT_BASE	qotchy	OT+Y	DANACH · POSTEN	DANACH · POSTEN	PASS1002
P912-E0025	f10r	f10r.3	CURRENT_BASE	chol	OL	FORTSETZEN	FORTSETZEN	PASS1002
P912-E0026	f10r	f10r.3	CURRENT_BASE	or	OR	ANSATZ	ANSATZ	PASS1002
P912-E0027	f10r	f10r.3	CURRENT_BASE	yty	Y+T+Y	POSTEN · STELLEN · POSTEN	POSTEN · STELLEN · POSTEN	PASS1002
P912-E0028	f10r	f10r.3	CURRENT_BASE	dy	Y	POSTEN	POSTEN	PASS1002
P912-E0029	f10r	f10r.3	CURRENT_BASE	dy	Y	POSTEN	POSTEN	PASS1002
P912-E0030	f10r	f10r.4	CURRENT_BASE	sor	S+OR	AUSWÄHLEN · ANSATZ	AUSWÄHLEN · ANSATZ	PASS1002
P912-E0031	f10r	f10r.4	CURRENT_BASE	chaiin	CH+AIIN	NEHMEN · MASS	ENTNEHMEN · MASS	PASS1002
P912-E0032	f10r	f10r.4	CURRENT_BASE	chcthy	CH+CTH+Y	NEHMEN · BEREIT · POSTEN	ENTNEHMEN · BEREIT · POSTEN	PASS1002
P912-E0033	f10r	f10r.4	CURRENT_BASE	ctho	CTH+O	BEREIT · AUSFÜHREN	BEREIT · AUSFÜHREN	PASS1002
P912-E0034	f10r	f10r.4	CURRENT_BASE	ckhy	CKH+Y	DURCHLASS · POSTEN	DURCHLASS · POSTEN	PASS1002
P912-E0035	f10r	f10r.4	CURRENT_BASE	or	OR	ANSATZ	ANSATZ	PASS1002
P912-E0036	f10r	f10r.4	CURRENT_BASE	aiin	AIIN	MASS	MASS	PASS1002
P912-E0037	f10r	f10r.4	CURRENT_BASE	chtchor	CH+T+CH+OR	NEHMEN · STELLEN · NEHMEN · ANSATZ	ENTNEHMEN · STELLEN · ENTNEHMEN · ANSATZ	PASS1002
P912-E0038	f10r	f10r.4	CURRENT_BASE	doiir	D_ADDR+O+IIN+R	TEIL · AUSFÜHREN · STUFE · MERKEN	TEIL · AUSFÜHREN · STUFE · MERKEN	PASS1002
P912-E0039	f10r	f10r.4	CURRENT_BASE	ody	O+DY	AUSFÜHREN · SCHLUSS	AUSFÜHREN · SCHLUSS	PASS1002
P912-E0040	f10r	f10r.5	CURRENT_BASE	qokchy	OK+Y	SETZEN · POSTEN	ANSETZEN · POSTEN	PASS1002
P912-E0041	f10r	f10r.5	CURRENT_BASE	qotchol	OT+CH+OL	DANACH · NEHMEN · FORTSETZEN	anwärmen	PASS1002
P912-E0042	f10r	f10r.5	CURRENT_BASE	chol	OL	FORTSETZEN	FORTSETZEN	PASS1002
P912-E0043	f10r	f10r.5	CURRENT_BASE	cthy	CTH+Y	BEREIT · POSTEN	BEREIT · POSTEN	PASS1002
P912-E0044	f10r	f10r.6	CURRENT_BASE	ycheor	Y+CHEO+R	POSTEN · AUSZUG · MERKEN	POSTEN · AUSZUG · MERKEN	PASS1002
P912-E0045	f10r	f10r.6	CURRENT_BASE	cthy	CTH+Y	BEREIT · POSTEN	BEREIT · POSTEN	PASS1002
P912-E0046	f10r	f10r.6	CURRENT_BASE	chor	CH+OR	NEHMEN · ANSATZ	ENTNEHMEN · ANSATZ	PASS1002
P912-E0047	f10r	f10r.6	CURRENT_BASE	cthaiin	CTH+AIIN	BEREIT · MASS	BEREIT · MASS	PASS1002
P912-E0048	f10r	f10r.6	CURRENT_BASE	qoctholy	CARRIER_Q+O+CTH+OL+Y	BEGINN · AUSFÜHREN · BEREIT · FORTSETZEN · POSTEN	pressen	PASS1002
P912-E0049	f10r	f10r.6	CURRENT_BASE	dy	Y	POSTEN	POSTEN	PASS1002
P912-E0050	f10r	f10r.6	CURRENT_BASE	chy	Y	POSTEN	POSTEN	PASS1002
P912-E0051	f10r	f10r.6	CURRENT_BASE	taiin	T+AIIN	STELLEN · MASS	STELLEN · MASS	PASS1002
P912-E0052	f10r	f10r.6	CURRENT_BASE	shy	Y	POSTEN	POSTEN	PASS1002
P912-E0053	f10r	f10r.7	CURRENT_BASE	dchy	D_ADDR+Y	TEIL · POSTEN	TEIL · POSTEN	PASS1002
P912-E0054	f10r	f10r.7	CURRENT_BASE	qokchol	OK+OL	SETZEN · FORTSETZEN	ANSETZEN · FORTSETZEN	PASS1002
P912-E0055	f10r	f10r.7	CURRENT_BASE	y	Y	POSTEN	POSTEN	PASS1002
P912-E0056	f10r	f10r.7	CURRENT_BASE	kchaiin	K+CH+AIIN	GEBEN · NEHMEN · MASS	ZUGEBEN · ENTNEHMEN · MASS	PASS1002
P912-E0057	f10r	f10r.7	CURRENT_BASE	yty	Y+T+Y	POSTEN · STELLEN · POSTEN	POSTEN · STELLEN · POSTEN	PASS1002
P912-E0058	f10r	f10r.7	CURRENT_BASE	daiin	AIIN	MASS	MASS	PASS1002
P912-E0059	f10r	f10r.7	CURRENT_BASE	cth	CTH	BEREIT	BEREIT	PASS1002
P912-E0060	f10r	f10r.7	CURRENT_BASE	dain	AIN	PORTION	PORTION	PASS1002
P912-E0061	f10r	f10r.7	CURRENT_BASE	dair	D_ADDR+AIR	TEIL · LAUF	TEIL · FLÜSSIGKEITSLAUF	PASS1002
P912-E0062	f10r	f10r.7	CURRENT_BASE	am	AM_ADDR	INNEN	INNEN	PASS1002
P912-E0063	f10r	f10r.8	CURRENT_BASE	qotchor	OT+CH+OR	DANACH · NEHMEN · ANSATZ	DANACH · ENTNEHMEN · ANSATZ	PASS1002
P912-E0064	f10r	f10r.8	CURRENT_BASE	chor	CH+OR	NEHMEN · ANSATZ	ENTNEHMEN · ANSATZ	PASS1002
P912-E0065	f10r	f10r.8	CURRENT_BASE	otol	OT+OL	DANACH · FORTSETZEN	DANACH · FORTSETZEN	PASS1002
P912-E0066	f10r	f10r.8	CURRENT_BASE	chol	OL	FORTSETZEN	FORTSETZEN	PASS1002
P912-E0067	f10r	f10r.8	CURRENT_BASE	cholor	OL+OR	FORTSETZEN · ANSATZ	FORTSETZEN · ANSATZ	PASS1002
P912-E0068	f10r	f10r.8	CURRENT_BASE	chol	OL	FORTSETZEN	FORTSETZEN	PASS1002
P912-E0069	f10r	f10r.8	CURRENT_BASE	daiin	AIIN	MASS	MASS	PASS1002
P912-E0070	f10r	f10r.8	CURRENT_BASE	dar	D_ADDR+AR	TEIL · QUELLE	TEIL · VORRAT	PASS1002
P912-E0071	f10r	f10r.9	CURRENT_BASE	oykchor	O+Y+K+CH+OR	AUSFÜHREN · POSTEN · GEBEN · NEHMEN · ANSATZ	Topf	PASS1002
P912-E0072	f10r	f10r.9	CURRENT_BASE	shor	SH+OR	HALTEN · ANSATZ	HALTEN · ANSATZ	PASS1002
P912-E0073	f10r	f10r.9	CURRENT_BASE	chor	CH+OR	NEHMEN · ANSATZ	ENTNEHMEN · ANSATZ	PASS1002
P912-E0074	f10r	f10r.9	CURRENT_BASE	chy	Y	POSTEN	POSTEN	PASS1002
P912-E0075	f10r	f10r.9	CURRENT_BASE	kaiiin	K+A_ADDR+LOCAL_CHAR_I+IIN	GEBEN · ORT · UNTERSTUFE · STUFE	ZUGEBEN · ORT · UNTERSTUFE · STUFE	PASS1002
P912-E0076	f10r	f10r.9	CURRENT_BASE	dy	Y	POSTEN	POSTEN	PASS1002
P912-E0077	f10r	f10r.9	CURRENT_BASE	chodaiin	CH+O+D_ADDR+AIIN	NEHMEN · AUSFÜHREN · TEIL · MASS	ENTNEHMEN · AUSFÜHREN · TEIL · MASS	PASS1002
P912-E0078	f10r	f10r.10	CURRENT_BASE	oqotor	O+OT+OR	AUSFÜHREN · DANACH · ANSATZ	AUSFÜHREN · DANACH · ANSATZ	PASS1002
P912-E0079	f10r	f10r.10	CURRENT_BASE	otor	OT+OR	DANACH · ANSATZ	DANACH · ANSATZ	PASS1002
P912-E0080	f10r	f10r.10	CURRENT_BASE	cfhy	CFH+Y	TRENNEN · POSTEN	TRENNEN · POSTEN	PASS1002
P912-E0081	f10r	f10r.10	CURRENT_BASE	cthor	CTH+OR	BEREIT · ANSATZ	BEREIT · ANSATZ	PASS1002
P912-E0082	f10r	f10r.10	CURRENT_BASE	osain	O+S+AIN	AUSFÜHREN · AUSWÄHLEN · PORTION	AUSFÜHREN · AUSWÄHLEN · PORTION	PASS1002
P912-E0083	f10r	f10r.10	CURRENT_BASE	ytoiin	Y+T+O+IIN	POSTEN · STELLEN · AUSFÜHREN · STUFE	POSTEN · STELLEN · AUSFÜHREN · STUFE	PASS1002
P912-E0084	f10r	f10r.11	CURRENT_BASE	otchoshor	OT+CH+O+SH+OR	DANACH · NEHMEN · AUSFÜHREN · HALTEN · ANSATZ	DANACH · ENTNEHMEN · AUSFÜHREN · HALTEN · ANSATZ	PASS1002
P912-E0085	f10r	f10r.11	CURRENT_BASE	qoty	OT+Y	DANACH · POSTEN	DANACH · POSTEN	PASS1002
P912-E0086	f10r	f10r.11	CURRENT_BASE	qotor	OT+OR	DANACH · ANSATZ	DANACH · ANSATZ	PASS1002
P912-E0087	f10r	f10r.11	CURRENT_BASE	cthyd	CTH+Y+D_ADDR	BEREIT · POSTEN · TEIL	BEREIT · POSTEN · TEIL	PASS1002
P912-E0088	f10r	f10r.11	CURRENT_BASE	otar	OT+AR	DANACH · QUELLE	DANACH · VORRAT	PASS1002
P912-E0089	f10r	f10r.12	CURRENT_BASE	odaiin	O+D_ADDR+AIIN	AUSFÜHREN · TEIL · MASS	AUSFÜHREN · TEIL · MASS	PASS1002
P912-E0090	f10r	f10r.12	CURRENT_BASE	daiin	AIIN	MASS	MASS	PASS1002
P912-E0091	f10r	f10r.12	CURRENT_BASE	qotchy	OT+Y	DANACH · POSTEN	DANACH · POSTEN	PASS1002
P912-E0092	f10r	f10r.12	CURRENT_BASE	qotor	OT+OR	DANACH · ANSATZ	DANACH · ANSATZ	PASS1002
P912-E0093	f11r	f11r.1	CURRENT_BASE	tshol	T+SH+OL	STELLEN · HALTEN · FORTSETZEN	Blütenkraut	PASS1002
P912-E0094	f11r	f11r.1	CURRENT_BASE	schoal	SH+O+AL	HALTEN · AUSFÜHREN · ZIEL	Weinsud	PASS1002
P912-E0095	f11r	f11r.1	CURRENT_BASE	cfhy	CFH+Y	TRENNEN · POSTEN	auswringen	PASS1002
P912-E0096	f11r	f11r.1	CURRENT_BASE	shfydaiin	SH+Y+AIIN	HALTEN · POSTEN · MASS	vorgeschriebene Stehzeit	PASS1002
P912-E0097	f11r	f11r.1	CURRENT_BASE	cphy	CPH+Y	UMLEITEN · POSTEN	nachseihen	PASS1002
P912-E0098	f11r	f11r.1	CURRENT_BASE	shey	SH+E+Y	HALTEN · KURZ · POSTEN	Klarlauf	PASS1002
P912-E0099	f11r	f11r.1	CURRENT_BASE	tchody	T+CH+O+DY	STELLEN · NEHMEN · AUSFÜHREN · SCHLUSS	kalt stellen	PASS1002
P912-E0100	f11r	f11r.1	CURRENT_BASE	shoyty	SH+O+Y+T+Y	HALTEN · AUSFÜHREN · POSTEN · STELLEN · POSTEN	Blütenreserve	PASS1002
P912-E0101	f11r	f11r.2	CURRENT_BASE	socthody	S+O+CTH+O+D_ADDR+Y	AUSWÄHLEN · AUSFÜHREN · BEREIT · AUSFÜHREN · TEIL · POSTEN	AUSWÄHLEN · AUSFÜHREN · BEREIT · AUSFÜHREN · TEIL · POSTEN	PASS1002
P912-E0102	f11r	f11r.2	CURRENT_BASE	qodor	CARRIER_Q+O+D_ADDR+OR	BEGINN · AUSFÜHREN · TEIL · ANSATZ	BEGINNEN · AUSFÜHREN · TEIL · ANSATZ	PASS1002
P912-E0103	f11r	f11r.2	CURRENT_BASE	y	Y	POSTEN	POSTEN	PASS1002
P912-E0104	f11r	f11r.2	CURRENT_BASE	kshy	K+SH+Y	GEBEN · HALTEN · POSTEN	ZUGEBEN · HALTEN · POSTEN	PASS1002
P912-E0105	f11r	f11r.2	CURRENT_BASE	daiin	AIIN	MASS	MASS	PASS1002
P912-E0106	f11r	f11r.2	CURRENT_BASE	ytchy	Y+T+Y	POSTEN · STELLEN · POSTEN	POSTEN · STELLEN · POSTEN	PASS1002
P912-E0107	f11r	f11r.2	CURRENT_BASE	ytchoky	Y+T+OK+Y	POSTEN · STELLEN · SETZEN · POSTEN	POSTEN · STELLEN · ANSETZEN · POSTEN	PASS1002
P912-E0108	f11r	f11r.2	CURRENT_BASE	kchol	K+OL	GEBEN · FORTSETZEN	ZUGEBEN · FORTSETZEN	PASS1002
P912-E0109	f11r	f11r.2	CURRENT_BASE	daiin	AIIN	MASS	MASS	PASS1002
P912-E0110	f11r	f11r.3	CURRENT_BASE	qoty	OT+Y	DANACH · POSTEN	DANACH · POSTEN	PASS1002
P912-E0111	f11r	f11r.3	CURRENT_BASE	chol	OL	FORTSETZEN	FORTSETZEN	PASS1002
P912-E0112	f11r	f11r.3	CURRENT_BASE	cthy	CTH+Y	BEREIT · POSTEN	BEREIT · POSTEN	PASS1002
P912-E0113	f11r	f11r.3	CURRENT_BASE	dor	D_ADDR+OR	TEIL · ANSATZ	TEIL · ANSATZ	PASS1002
P912-E0114	f11r	f11r.3	CURRENT_BASE	ykychy	Y+K+Y+CH+Y	POSTEN · GEBEN · POSTEN · NEHMEN · POSTEN	POSTEN · ZUGEBEN · POSTEN · ENTNEHMEN · POSTEN	PASS1002
P912-E0115	f11r	f11r.3	CURRENT_BASE	choty	CH+OT+Y	NEHMEN · DANACH · POSTEN	ENTNEHMEN · DANACH · POSTEN	PASS1002
P912-E0116	f11r	f11r.3	CURRENT_BASE	dain	AIN	PORTION	PORTION	PASS1002
P912-E0117	f11r	f11r.3	CURRENT_BASE	chaiin	CH+AIIN	NEHMEN · MASS	ENTNEHMEN · MASS	PASS1002
P912-E0118	f11r	f11r.3	CURRENT_BASE	daiin	AIIN	MASS	MASS	PASS1002
P912-E0119	f11r	f11r.3	CURRENT_BASE	dod	D_ADDR+O+D_ADDR	TEIL · AUSFÜHREN · TEIL	TEIL · AUSFÜHREN · TEIL	PASS1002
P912-E0120	f11r	f11r.4	CURRENT_BASE	dchol	D_ADDR+OL	TEIL · FORTSETZEN	Voriges	PASS1002
P912-E0121	f11r	f11r.4	CURRENT_BASE	chy	Y	POSTEN	POSTEN	PASS1002
P912-E0122	f11r	f11r.4	CURRENT_BASE	kchy	K+Y	GEBEN · POSTEN	Trank	PASS1002
P912-E0123	f11r	f11r.4	CURRENT_BASE	dy	Y	POSTEN	POSTEN	PASS1002
P912-E0124	f11r	f11r.4	CURRENT_BASE	daiin	AIIN	MASS	MASS	PASS1002
P912-E0125	f11r	f11r.5	CURRENT_BASE	tchol	T+OL	STELLEN · FORTSETZEN	STELLEN · FORTSETZEN	PASS1002
P912-E0126	f11r	f11r.5	CURRENT_BASE	shor	SH+OR	HALTEN · ANSATZ	HALTEN · ANSATZ	PASS1002
P912-E0127	f11r	f11r.5	CURRENT_BASE	shor	SH+OR	HALTEN · ANSATZ	HALTEN · ANSATZ	PASS1002
P912-E0128	f11r	f11r.5	CURRENT_BASE	dky	D_ADDR+K+Y	TEIL · GEBEN · POSTEN	TEIL · ZUGEBEN · POSTEN	PASS1002
P912-E0129	f11r	f11r.5	CURRENT_BASE	y	Y	POSTEN	POSTEN	PASS1002
P912-E0130	f11r	f11r.5	CURRENT_BASE	daiin	AIIN	MASS	MASS	PASS1002
P912-E0131	f11r	f11r.5	CURRENT_BASE	cthy	CTH+Y	BEREIT · POSTEN	BEREIT · POSTEN	PASS1002
P912-E0132	f11r	f11r.5	CURRENT_BASE	d	D_ADDR	TEIL	TEIL	PASS1002
P912-E0133	f11r	f11r.5	CURRENT_BASE	y	Y	POSTEN	POSTEN	PASS1002
P912-E0134	f11r	f11r.5	CURRENT_BASE	chodl	CH+O+D_ADDR+L	NEHMEN · AUSFÜHREN · TEIL · LEITEN	ENTNEHMEN · AUSFÜHREN · TEIL · LEITEN	PASS1002
P912-E0135	f11r	f11r.5	CURRENT_BASE	daiin	AIIN	MASS	MASS	PASS1002
P912-E0136	f11r	f11r.6	CURRENT_BASE	odl	O+D_ADDR+L	AUSFÜHREN · TEIL · LEITEN	AUSFÜHREN · TEIL · LEITEN	PASS1002
P912-E0137	f11r	f11r.6	CURRENT_BASE	d	D_ADDR	TEIL	TEIL	PASS1002
P912-E0138	f11r	f11r.6	CURRENT_BASE	s	S	AUSWÄHLEN	AUSWÄHLEN	PASS1002
P912-E0139	f11r	f11r.6	CURRENT_BASE	y	Y	POSTEN	POSTEN	PASS1002
P912-E0140	f11r	f11r.6	CURRENT_BASE	otol	OT+OL	DANACH · FORTSETZEN	DANACH · FORTSETZEN	PASS1002
P912-E0141	f11r	f11r.6	CURRENT_BASE	chaiin	CH+AIIN	NEHMEN · MASS	ENTNEHMEN · MASS	PASS1002
P912-E0142	f11r	f11r.6	CURRENT_BASE	ykchor	Y+K+CH+OR	POSTEN · GEBEN · NEHMEN · ANSATZ	POSTEN · ZUGEBEN · ENTNEHMEN · ANSATZ	PASS1002
P912-E0143	f11r	f11r.6	CURRENT_BASE	dair	D_ADDR+AIR	TEIL · LAUF	TEIL · FLÜSSIGKEITSLAUF	PASS1002
P912-E0144	f11r	f11r.6	CURRENT_BASE	chody	CH+O+D_ADDR+Y	NEHMEN · AUSFÜHREN · TEIL · POSTEN	ENTNEHMEN · AUSFÜHREN · TEIL · POSTEN	PASS1002
P912-E0145	f11r	f11r.6	CURRENT_BASE	cthy	CTH+Y	BEREIT · POSTEN	BEREIT · POSTEN	PASS1002
P912-E0146	f11r	f11r.6	CURRENT_BASE	s	S	AUSWÄHLEN	AUSWÄHLEN	PASS1002
P912-E0147	f11r	f11r.6	CURRENT_BASE	daiin	AIIN	MASS	MASS	PASS1002
P912-E0148	f11r	f11r.7	CURRENT_BASE	qotchy	OT+Y	DANACH · POSTEN	DANACH · POSTEN	PASS1002
P912-E0149	f11r	f11r.7	CURRENT_BASE	okchol	OK+OL	SETZEN · FORTSETZEN	ANSETZEN · FORTSETZEN	PASS1002
P912-E0150	f11r	f11r.7	CURRENT_BASE	cthy	CTH+Y	BEREIT · POSTEN	BEREIT · POSTEN	PASS1002
P912-E0151	f11r	f11r.7	CURRENT_BASE	dy	Y	POSTEN	POSTEN	PASS1002
P912-E0152	f13r	f13r.1	CURRENT_BASE	torshor	T+OR+SH+OR	STELLEN · ANSATZ · HALTEN · ANSATZ	Artikelkopf: die große sichtbare Speicherwurzel/Krone aktivieren.	PASS1002
P912-E0153	f13r	f13r.1	CURRENT_BASE	opchy	O+P+Y	AUSFÜHREN · EINSETZEN · POSTEN	AUSFÜHREN · EINSETZEN · POSTEN	PASS1002
P912-E0154	f13r	f13r.1	CURRENT_BASE	shol	SH+OL	HALTEN · FORTSETZEN	HALTEN · FORTSETZEN	PASS1002
P912-E0155	f13r	f13r.1	CURRENT_BASE	dy	Y	POSTEN	POSTEN	PASS1002
P912-E0156	f13r	f13r.1	CURRENT_BASE	qopchy	O+P+Y	AUSFÜHREN · EINSETZEN · POSTEN	AUSFÜHREN · EINSETZEN · POSTEN	PASS1002
P912-E0157	f13r	f13r.1	CURRENT_BASE	shol	SH+OL	HALTEN · FORTSETZEN	HALTEN · FORTSETZEN	PASS1002
P912-E0158	f13r	f13r.1	CURRENT_BASE	opchor	O+P+CH+OR	AUSFÜHREN · EINSETZEN · NEHMEN · ANSATZ	AUSFÜHREN · EINSETZEN · ENTNEHMEN · ANSATZ	PASS1002
P912-E0159	f13r	f13r.1	CURRENT_BASE	dypchy	D_ADDR+Y+P+Y	TEIL · POSTEN · EINSETZEN · POSTEN	TEIL · POSTEN · EINSETZEN · POSTEN	PASS1002
P912-E0160	f13r	f13r.1	CURRENT_BASE	dchg	D_ADDR+CH+LOCAL_CHAR_G	TEIL · NEHMEN · EINMAL	Einen der kleinen sichtbaren Rundkörper am Wurzelhals abnehmen.	PASS1002
P912-E0161	f13r	f13r.2	CURRENT_BASE	dchol	D_ADDR+OL	TEIL · FORTSETZEN	TEIL · FORTSETZEN	PASS1002
P912-E0162	f13r	f13r.2	CURRENT_BASE	chol	OL	FORTSETZEN	FORTSETZEN	PASS1002
P912-E0163	f13r	f13r.2	CURRENT_BASE	dol	D_ADDR+OL	TEIL · FORTSETZEN	TEIL · FORTSETZEN	PASS1002
P912-E0164	f13r	f13r.2	CURRENT_BASE	shkchy	SH+K+Y	HALTEN · GEBEN · POSTEN	HALTEN · ZUGEBEN · POSTEN	PASS1002
P912-E0165	f13r	f13r.2	CURRENT_BASE	ydal	Y+AL	POSTEN · ZIEL	POSTEN · ZIELSTELLE	PASS1002
P912-E0166	f13r	f13r.2	CURRENT_BASE	shy	Y	POSTEN	POSTEN	PASS1002
P912-E0167	f13r	f13r.2	CURRENT_BASE	ykchy	Y+K+Y	POSTEN · GEBEN · POSTEN	POSTEN · ZUGEBEN · POSTEN	PASS1002
P912-E0168	f13r	f13r.2	CURRENT_BASE	qoty	OT+Y	DANACH · POSTEN	DANACH · POSTEN	PASS1002
P912-E0169	f13r	f13r.2	CURRENT_BASE	daiin	AIIN	MASS	MASS	PASS1002
P912-E0170	f13r	f13r.2	CURRENT_BASE	s	S	AUSWÄHLEN	AUSWÄHLEN	PASS1002
P912-E0171	f13r	f13r.2	CURRENT_BASE	y	Y	POSTEN	POSTEN	PASS1002
P912-E0172	f13r	f13r.3	CURRENT_BASE	s	S	AUSWÄHLEN	AUSWÄHLEN	PASS1002
P912-E0173	f13r	f13r.3	CURRENT_BASE	y	Y	POSTEN	POSTEN	PASS1002
P912-E0174	f13r	f13r.3	CURRENT_BASE	dchor	D_ADDR+CH+OR	TEIL · NEHMEN · ANSATZ	TEIL · ENTNEHMEN · ANSATZ	PASS1002
P912-E0175	f13r	f13r.3	CURRENT_BASE	shaiin	SH+AIIN	HALTEN · MASS	HALTEN · MASS	PASS1002
P912-E0176	f13r	f13r.3	CURRENT_BASE	oeees	O+EEE+S	AUSFÜHREN · VOLL · AUSWÄHLEN	AUSFÜHREN · VOLL · AUSWÄHLEN	PASS1002
P912-E0177	f13r	f13r.3	CURRENT_BASE	ykor	Y+K+OR	POSTEN · GEBEN · ANSATZ	POSTEN · ZUGEBEN · ANSATZ	PASS1002
P912-E0178	f13r	f13r.3	CURRENT_BASE	chor	CH+OR	NEHMEN · ANSATZ	ENTNEHMEN · ANSATZ	PASS1002
P912-E0179	f13r	f13r.3	CURRENT_BASE	ytshy	Y+T+Y	POSTEN · STELLEN · POSTEN	POSTEN · STELLEN · POSTEN	PASS1002
P912-E0180	f13r	f13r.3	CURRENT_BASE	ykchy	Y+K+Y	POSTEN · GEBEN · POSTEN	POSTEN · ZUGEBEN · POSTEN	PASS1002
P912-E0181	f13r	f13r.3	CURRENT_BASE	kchy	K+Y	GEBEN · POSTEN	ZUGEBEN · POSTEN	PASS1002
P912-E0182	f13r	f13r.3	CURRENT_BASE	dar	D_ADDR+AR	TEIL · QUELLE	TEIL · VORRAT	PASS1002
P912-E0183	f13r	f13r.4	CURRENT_BASE	qodchy	O+D_ADDR+Y	AUSFÜHREN · TEIL · POSTEN	AUSFÜHREN · TEIL · POSTEN	PASS1002
P912-E0184	f13r	f13r.4	CURRENT_BASE	ytchy	Y+T+Y	POSTEN · STELLEN · POSTEN	POSTEN · STELLEN · POSTEN	PASS1002
P912-E0185	f13r	f13r.4	CURRENT_BASE	otchor	OT+CH+OR	DANACH · NEHMEN · ANSATZ	DANACH · ENTNEHMEN · ANSATZ	PASS1002
P912-E0186	f13r	f13r.5	CURRENT_BASE	shorodo	SH+OR+O+D_ADDR+O	HALTEN · ANSATZ · AUSFÜHREN · TEIL · AUSFÜHREN	HALTEN · ANSATZ · AUSFÜHREN · TEIL · AUSFÜHREN	PASS1002
