surface	events	pages	kinds	primary_transfer_class	component_recipe	portable_default_de	source_surface	edit_distance	owner_bound_label_use	confidence
chcthy	1	f77r	P	EXACT_REGISTERED_SURFACE	CH+CTH+Y	NEHMEN · BEREIT · POSTEN	chcthy	0	NO	HIGH
chdy	1	f77r	P	EXACT_REGISTERED_SURFACE	CHD+Y	UMSETZEN · POSTEN	chdy	0	NO	HIGH
chealor	1	f77r	P	NEAR_REGISTERED_ALLOGRAPH	AL+R+OR	ZIEL · MERKEN · ANSATZ	chealror	1	NO	MEDIUM
chealy	1	f77r	P	NEAR_REGISTERED_ALLOGRAPH	AL	ZIEL	cheal	1	NO	MEDIUM
chear	1	f17r	P	EXACT_REGISTERED_SURFACE	CH+E+AR	NEHMEN · KURZ · QUELLE	chear	0	NO	HIGH
checkhy	2	f77r|f88v	P	EXACT_REGISTERED_SURFACE	CH+E+CKH+Y	NEHMEN · KURZ · DURCHLASS · POSTEN	checkhy	0	NO	HIGH
ched	1	f77r	P	EXACT_REGISTERED_SURFACE	CHD	UMSETZEN	ched	0	NO	HIGH
chedaiin	4	f77r	P	EXACT_REGISTERED_SURFACE	CHD+AIIN	UMSETZEN · MASS	chedaiin	0	NO	HIGH
chedy	12	f77r	P	EXACT_REGISTERED_SURFACE	CHD+Y	UMSETZEN · POSTEN	chedy	0	NO	HIGH
chee	1	f77r	P	VISIBLE_NEW_COMPOSITION	SH+EE	HALTEN · LÄNGER	ched	1	NO	MEDIUM_HIGH
cheedy	6	f77r|f88v	P	EXACT_REGISTERED_SURFACE	CH+EE+D_ADDR+Y	NEHMEN · LÄNGER · TEIL · POSTEN	cheedy	0	NO	HIGH
cheekaiin	1	f71v	C	VISIBLE_NEW_COMPOSITION	CHK+EE+K+AIIN	BEHANDELN · LÄNGER · GEBEN · MASS	chedaiin	2	NO	MEDIUM_HIGH
cheeky	1	f77r	P	EXACT_REGISTERED_SURFACE	CHK+EE+Y	BEHANDELN · LÄNGER · POSTEN	cheeky	0	NO	HIGH
cheeol	2	f77r|f88v	P	VISIBLE_NEW_COMPOSITION	SH+EE+OL	HALTEN · LÄNGER · FORTSETZEN	chedol	1	NO	MEDIUM_HIGH
chees	3	f77r|f88v	P	EXACT_REGISTERED_SURFACE	SH+EE+S_ADDR	HALTEN · LÄNGER · SONDERORT	chees	0	NO	HIGH
cheety	1	f77r	P	VISIBLE_NEW_COMPOSITION	CH+EE+T+Y	NEHMEN · LÄNGER · STELLEN · POSTEN	cheedy	1	NO	MEDIUM_HIGH
cheey	6	f71v|f77r	C|P	EXACT_REGISTERED_SURFACE	SH+EE+Y	HALTEN · LÄNGER · POSTEN	cheey	0	NO	HIGH
chekol	1	f88v	P	VISIBLE_NEW_COMPOSITION	CHK+OL	BEHANDELN · FORTSETZEN	chedol	1	NO	MEDIUM_HIGH
cheockhy	2	f88v	P	VISIBLE_NEW_COMPOSITION	CHEO+CKH+Y	AUSZUG · DURCHLASS · POSTEN	checkhy	1	NO	MEDIUM_HIGH
cheocthy	1	f88v	L	LOCAL_OWNER_ADDRESS	LOCAL_ADDRESS	BILDADRESSE	OWNER_COPY		YES	OWNER_BOUND
cheody	4	f88v	P	EXACT_REGISTERED_SURFACE	CHEO+Y	AUSZUG · POSTEN	cheody	0	NO	HIGH
cheokal	1	f88v	P	VISIBLE_NEW_COMPOSITION	CHEO+K+AL	AUSZUG · GEBEN · ZIEL	chekal	1	NO	MEDIUM_HIGH
cheokam	1	f88v	P	VISIBLE_NEW_COMPOSITION	CHEO+K+AM_ADDR	AUSZUG · GEBEN · INNEN	chekam	1	NO	MEDIUM_HIGH
cheol	3	f71v|f77r	C|P	EXACT_REGISTERED_SURFACE	CHEO+L	AUSZUG · LEITEN	cheol	0	NO	HIGH
cheols	1	f71v	C	VISIBLE_NEW_COMPOSITION	CHEO+L+S	AUSZUG · LEITEN · AUSWÄHLEN	cheol	1	NO	MEDIUM_HIGH
cheor	4	f71v|f88v	C|P	EXACT_REGISTERED_SURFACE	CHEO+R	AUSZUG · MERKEN	cheor	0	NO	HIGH
cheorol	1	f88v	P	VISIBLE_NEW_COMPOSITION	CHEO+R+OL	AUSZUG · MERKEN · FORTSETZEN	chtorol	1	NO	MEDIUM_HIGH
cheos	1	f88v	P	EXACT_REGISTERED_SURFACE	CHEO+S	AUSZUG · AUSWÄHLEN	cheos	0	NO	HIGH
cheosdy	1	f88v	L	LOCAL_OWNER_ADDRESS	LOCAL_ADDRESS	BILDADRESSE	OWNER_COPY		YES	OWNER_BOUND
cheoy	1	f88v	P	VISIBLE_NEW_COMPOSITION	CHEO+Y	AUSZUG · POSTEN	chedy	1	NO	MEDIUM_HIGH
ches	1	f77r	P	EXACT_REGISTERED_SURFACE	CH+E+S	NEHMEN · KURZ · AUSWÄHLEN	ches	0	NO	HIGH
cheteg	1	f17r	P	TENTATIVE_ROOTED_VARIANT	SH+EE+Y	HALTEN · LÄNGER · POSTEN	cheey	2	NO	WORKING
chetey	1	f77r	P	VISIBLE_NEW_COMPOSITION	CH+E+T+E+Y	NEHMEN · KURZ · STELLEN · KURZ · POSTEN	cheey	1	NO	MEDIUM_HIGH
chey	5	f71v|f77r	C|P	EXACT_REGISTERED_SURFACE	Y	POSTEN	chey	0	NO	HIGH
chfaly	1	f71v	L	LOCAL_OWNER_ADDRESS	LOCAL_ADDRESS	BILDADRESSE	OWNER_COPY		YES	OWNER_BOUND
chkeeal	1	f71v	C	VISIBLE_NEW_COMPOSITION	CHK+EE+AL	BEHANDELN · LÄNGER · ZIEL	cheal	2	NO	MEDIUM_HIGH
chkeor	1	f88v	P	VISIBLE_NEW_COMPOSITION	CHK+E+OR	BEHANDELN · KURZ · ANSATZ	cheeor	1	NO	MEDIUM_HIGH
chl	1	f77r	P	NEAR_REGISTERED_ALLOGRAPH	Y	POSTEN	chy	1	NO	MEDIUM
chlchpsheey	1	f77r	P	VISIBLE_NEW_COMPOSITION	CH+L+CH+P+SH+EE+Y	NEHMEN · LEITEN · NEHMEN · EINSETZEN · HALTEN · LÄNGER · POSTEN	checphedy	4	NO	WORKING
cho	2	f17r|f88v	P	EXACT_REGISTERED_SURFACE	HO	TEILSTOFF	cho	0	NO	HIGH
chockhy	1	f88v	P	VISIBLE_NEW_COMPOSITION	HO+CKH+Y	TEILSTOFF · DURCHLASS · POSTEN	chckhy	1	NO	MEDIUM_HIGH
chocthey	1	f88v	P	VISIBLE_NEW_COMPOSITION	CH+O+CTH+E+Y	NEHMEN · AUSFÜHREN · BEREIT · KURZ · POSTEN	chcthey	1	NO	MEDIUM_HIGH
chody	2	f88v	P	EXACT_REGISTERED_SURFACE	CH+O+D_ADDR+Y	NEHMEN · AUSFÜHREN · TEIL · POSTEN	chody	0	NO	HIGH
choeey	1	f88v	P	VISIBLE_NEW_COMPOSITION	HO+EE+Y	TEILSTOFF · LÄNGER · POSTEN	cheey	1	NO	MEDIUM_HIGH
chog	1	f17r	P	NEAR_REGISTERED_ALLOGRAPH	HO	TEILSTOFF	cho	1	NO	MEDIUM
chokar	1	f88v	P	VISIBLE_NEW_COMPOSITION	OK+AR	SETZEN · QUELLE	chekar	1	NO	MEDIUM_HIGH
choky	2	f17r|f88v	P	EXACT_REGISTERED_SURFACE	OK+Y	SETZEN · POSTEN	choky	0	NO	HIGH
chol	3	f17r|f77r	P	EXACT_REGISTERED_SURFACE	OL	FORTSETZEN	chol	0	NO	HIGH
choldshy	1	f17r	P	VISIBLE_NEW_COMPOSITION	CH+OL+D_ADDR+SH+Y	NEHMEN · FORTSETZEN · TEIL · HALTEN · POSTEN	cfholdy	3	NO	WORKING
chop	1	f17r	P	VISIBLE_NEW_COMPOSITION	CH+O+P	NEHMEN · AUSFÜHREN · EINSETZEN	cho	1	NO	MEDIUM_HIGH
chor	3	f17r|f88v	P	EXACT_REGISTERED_SURFACE	CH+OR	NEHMEN · ANSATZ	chor	0	NO	HIGH
chotam	1	f88v	P	TENTATIVE_ROOTED_VARIANT	OT+AM_ADDR	DANACH · INNEN	otam	2	NO	WORKING
chotom	1	f17r	P	NEAR_REGISTERED_ALLOGRAPH	CH+OT+OL	NEHMEN · DANACH · FORTSETZEN	chotol	1	NO	MEDIUM
chpchy	1	f71v	C	VISIBLE_NEW_COMPOSITION	CH+P+CH+Y	NEHMEN · EINSETZEN · NEHMEN · POSTEN	chchs	2	NO	MEDIUM_HIGH
chr	1	f77r	P	VISIBLE_NEW_COMPOSITION	CH+R	NEHMEN · MERKEN	ch	1	NO	MEDIUM_HIGH
chtos	1	f71v	C	VISIBLE_NEW_COMPOSITION	CH+T+O+S	NEHMEN · STELLEN · AUSFÜHREN · AUSWÄHLEN	cheos	1	NO	MEDIUM_HIGH
chy	2	f17r|f77r	P	EXACT_REGISTERED_SURFACE	Y	POSTEN	chy	0	NO	HIGH
chypcham	1	f17r	P	TENTATIVE_ROOTED_VARIANT	CH+O+P+CH+AL	NEHMEN · AUSFÜHREN · EINSETZEN · NEHMEN · ZIEL	chopchal	2	NO	WORKING
ckhody	1	f17r	P	VISIBLE_NEW_COMPOSITION	CKH+O+DY	DURCHLASS · AUSFÜHREN · SCHLUSS	chody	1	NO	MEDIUM_HIGH
cphaldy	1	f17r	P	VISIBLE_NEW_COMPOSITION	CPH+AL+DY	UMLEITEN · ZIEL · SCHLUSS	cfholdy	2	NO	MEDIUM_HIGH
cpheody	1	f88v	P	VISIBLE_NEW_COMPOSITION	CPH+E+O+DY	UMLEITEN · KURZ · AUSFÜHREN · SCHLUSS	cheody	1	NO	MEDIUM_HIGH
cpheor	1	f88v	L	LOCAL_OWNER_ADDRESS	LOCAL_ADDRESS	BILDADRESSE	OWNER_COPY		YES	OWNER_BOUND
cphey	1	f77r	P	NEAR_REGISTERED_ALLOGRAPH	CPH+E+DY	UMLEITEN · KURZ · SCHLUSS	cphedy	1	NO	MEDIUM
cphor	1	f17r	P	VISIBLE_NEW_COMPOSITION	CPH+OR	UMLEITEN · ANSATZ	chor	1	NO	MEDIUM_HIGH
cthar	1	f17r	P	NEAR_REGISTERED_ALLOGRAPH	AR	QUELLE	char	1	NO	MEDIUM
cthey	1	f17r	P	EXACT_REGISTERED_SURFACE	CTH+E+Y	BEREIT · KURZ · POSTEN	cthey	0	NO	HIGH
cthy	1	f17r	P	EXACT_REGISTERED_SURFACE	CTH+Y	BEREIT · POSTEN	cthy	0	NO	HIGH
d	2	f17r|f77r	P	EXACT_REGISTERED_SURFACE	D_ADDR	TEIL	d	0	NO	HIGH
dag	1	f77r	P	VISIBLE_NEW_COMPOSITION	DA+LOCAL_CHAR_G	ZWEIT · EINMAL	dal	1	NO	MEDIUM_HIGH
daiiin	2	f17r|f77r	P	EXACT_REGISTERED_SURFACE	DA+IIN	ZWEIT · STUFE	daiiin	0	NO	HIGH
daiin	11	f71v|f77r|f88v	C|P	EXACT_REGISTERED_SURFACE	AIIN	MASS	daiin	0	NO	HIGH
daimd	1	f88v	P	NEAR_REGISTERED_ALLOGRAPH	DA+IIN+M_LOCAL	ZWEIT · STUFE · MITTE	daim	1	NO	MEDIUM
dain	2	f88v	P	EXACT_REGISTERED_SURFACE	AIN	PORTION	dain	0	NO	HIGH
dair	2	f17r|f88v	P	EXACT_REGISTERED_SURFACE	D_ADDR+AIR	TEIL · LAUF	dair	0	NO	HIGH
dairodain	1	f88v	P	VISIBLE_NEW_COMPOSITION	D_ADDR+AIR+O+D_ADDR+AIN	TEIL · LAUF · AUSFÜHREN · TEIL · PORTION	dadaiin	4	NO	WORKING
dal	5	f71v|f77r|f88v	C|P	EXACT_REGISTERED_SURFACE	AL	ZIEL	dal	0	NO	HIGH
dalchedy	1	f77r	P	NEAR_REGISTERED_ALLOGRAPH	AL+CHD+DY	ZIEL · UMSETZEN · SCHLUSS	dalchdy	1	NO	MEDIUM
dalo	2	f77r	P	VISIBLE_NEW_COMPOSITION	D_ADDR+AL+O	TEIL · ZIEL · AUSFÜHREN	dal	1	NO	MEDIUM_HIGH
dam	1	f88v	P	EXACT_REGISTERED_SURFACE	DA+AM_ADDR	ZWEIT · INNEN	dam	0	NO	HIGH
dan	1	f71v	L	LOCAL_OWNER_ADDRESS	LOCAL_ADDRESS	BILDADRESSE	OWNER_COPY		YES	OWNER_BOUND
dar	4	f17r|f71v|f88v	C|P	EXACT_REGISTERED_SURFACE	D_ADDR+AR	TEIL · QUELLE	dar	0	NO	HIGH
daraly	1	f88v	P	VISIBLE_NEW_COMPOSITION	D_ADDR+AR+AL+Y	TEIL · QUELLE · ZIEL · POSTEN	araly	1	NO	MEDIUM_HIGH
daram	1	f17r	P	EXACT_REGISTERED_SURFACE	DA+R+A_ADDR+AM_ADDR	ZWEIT · MERKEN · ORT · INNEN	daram	0	NO	HIGH
daramdal	1	f88v	L	LOCAL_OWNER_ADDRESS	LOCAL_ADDRESS	BILDADRESSE	OWNER_COPY		YES	OWNER_BOUND
dararda	1	f88v	L	LOCAL_OWNER_ADDRESS	LOCAL_ADDRESS	BILDADRESSE	OWNER_COPY		YES	OWNER_BOUND
darchdar	1	f77r	L	LOCAL_OWNER_ADDRESS	LOCAL_ADDRESS	BILDADRESSE	OWNER_COPY		YES	OWNER_BOUND
daror	1	f77r	P	NEAR_REGISTERED_ALLOGRAPH	D_ADDR+AR+O+AM_ADDR	TEIL · QUELLE · AUSFÜHREN · INNEN	darom	1	NO	MEDIUM
dary	2	f77r	P	EXACT_REGISTERED_SURFACE	DA+R+Y	ZWEIT · MERKEN · POSTEN	dary	0	NO	HIGH
das	1	f17r	P	NEAR_REGISTERED_ALLOGRAPH	O+DA+S	AUSFÜHREN · ZWEIT · AUSWÄHLEN	odas	1	NO	MEDIUM
dchchy	1	f17r	P	VISIBLE_NEW_COMPOSITION	D_ADDR+CH+Y	TEIL · NEHMEN · POSTEN	chchs	2	NO	MEDIUM_HIGH
dchdy	1	f77r	L	LOCAL_OWNER_ADDRESS	LOCAL_ADDRESS	BILDADRESSE	dchdy	0	YES	OWNER_BOUND
dcheor	1	f17r	P	VISIBLE_NEW_COMPOSITION	D_ADDR+CHEO+R	TEIL · AUSZUG · MERKEN	cheor	1	NO	MEDIUM_HIGH
dody	1	f17r	P	NEAR_REGISTERED_ALLOGRAPH	O+DY	AUSFÜHREN · SCHLUSS	ody	1	NO	MEDIUM
dol	1	f77r	P	EXACT_REGISTERED_SURFACE	D_ADDR+OL	TEIL · FORTSETZEN	dol	0	NO	HIGH
dolchl	1	f77r	P	TENTATIVE_ROOTED_VARIANT	D_ADDR+OL+OL	TEIL · FORTSETZEN · FORTSETZEN	dolol	2	NO	WORKING
dor	1	f17r	P	EXACT_REGISTERED_SURFACE	D_ADDR+OR	TEIL · ANSATZ	dor	0	NO	HIGH
dotedy	1	f77r	L	LOCAL_OWNER_ADDRESS	LOCAL_ADDRESS	BILDADRESSE	OWNER_COPY		YES	OWNER_BOUND
doy	1	f88v	P	VISIBLE_NEW_COMPOSITION	D_ADDR+O+Y	TEIL · AUSFÜHREN · POSTEN	dky	1	NO	MEDIUM_HIGH
dshedy	1	f77r	P	EXACT_REGISTERED_SURFACE	SH+E+DY	HALTEN · KURZ · SCHLUSS	dshedy	0	NO	HIGH
dshor	1	f88v	P	EXACT_REGISTERED_SURFACE	D_ADDR+SH+OR	TEIL · HALTEN · ANSATZ	dshor	0	NO	HIGH
dy	4	f71v|f77r|f88v	C|P	EXACT_REGISTERED_SURFACE	Y	POSTEN	dy	0	NO	HIGH
dychear	1	f17r	P	TENTATIVE_ROOTED_VARIANT	CH+E+AR	NEHMEN · KURZ · QUELLE	chear	2	NO	WORKING
dylches	1	f77r	P	VISIBLE_NEW_COMPOSITION	D_ADDR+Y+L+CH+E+S	TEIL · POSTEN · LEITEN · NEHMEN · KURZ · AUSWÄHLEN	ches	3	NO	WORKING
eeedy	1	f77r	P	VISIBLE_NEW_COMPOSITION	EEE+DY	VOLL · SCHLUSS	deeedy	1	NO	MEDIUM_HIGH
fshody	1	f17r	P	TENTATIVE_ROOTED_VARIANT	CH+O+D_ADDR+Y	NEHMEN · AUSFÜHREN · TEIL · POSTEN	chody	2	NO	WORKING
iin	1	f77r	P	VISIBLE_NEW_COMPOSITION	IIN	STUFE	aiin	1	NO	MEDIUM_HIGH
kaiin	1	f71v	C	EXACT_REGISTERED_SURFACE	K+AIIN	GEBEN · MASS	kaiin	0	NO	HIGH
kal	1	f71v	C	EXACT_REGISTERED_SURFACE	K+AL	GEBEN · ZIEL	kal	0	NO	HIGH
keedy	1	f77r	P	EXACT_REGISTERED_SURFACE	K+EE+DY	GEBEN · LÄNGER · SCHLUSS	keedy	0	NO	HIGH
keeod	1	f88v	P	VISIBLE_NEW_COMPOSITION	K+EE+O+D_ADDR	GEBEN · LÄNGER · AUSFÜHREN · TEIL	keedy	2	NO	MEDIUM_HIGH
keeodaiin	1	f88v	P	TENTATIVE_ROOTED_VARIANT	T+E+O+AIIN	STELLEN · KURZ · AUSFÜHREN · MASS	teodaiin	2	NO	WORKING
keey	1	f71v	C	EXACT_REGISTERED_SURFACE	K+EE+Y	GEBEN · LÄNGER · POSTEN	keey	0	NO	HIGH
keor	1	f71v	C	VISIBLE_NEW_COMPOSITION	K+E+OR	GEBEN · KURZ · ANSATZ	keol	1	NO	MEDIUM_HIGH
key	1	f88v	P	VISIBLE_NEW_COMPOSITION	K+E+Y	GEBEN · KURZ · POSTEN	ey	1	NO	MEDIUM_HIGH
korain	1	f88v	P	NEAR_REGISTERED_ALLOGRAPH	OR+AIN	ANSATZ · PORTION	orain	1	NO	MEDIUM
kosholdy	1	f88v	P	VISIBLE_NEW_COMPOSITION	K+O+SH+OL+DY	GEBEN · AUSFÜHREN · HALTEN · FORTSETZEN · SCHLUSS	cfholdy	3	NO	WORKING
ksheo	1	f17r	P	NEAR_REGISTERED_ALLOGRAPH	SH+E+O	HALTEN · KURZ · AUSFÜHREN	sheo	1	NO	MEDIUM
l	1	f77r	P	EXACT_REGISTERED_SURFACE	L	LEITEN	l	0	NO	HIGH
laiin	2	f77r	P	VISIBLE_NEW_COMPOSITION	L+AIIN	LEITEN · MASS	aiin	1	NO	MEDIUM_HIGH
lchdy	1	f88v	P	EXACT_REGISTERED_SURFACE	L+CHD+Y	LEITEN · UMSETZEN · POSTEN	lchdy	0	NO	HIGH
lchear	1	f77r	P	VISIBLE_NEW_COMPOSITION	L+CH+E+AR	LEITEN · NEHMEN · KURZ · QUELLE	chear	1	NO	MEDIUM_HIGH
lchedy	5	f77r	P	EXACT_REGISTERED_SURFACE	L+CHD+DY	LEITEN · UMSETZEN · SCHLUSS	lchedy	0	NO	HIGH
lchey	2	f77r|f88v	P	EXACT_REGISTERED_SURFACE	L+Y	LEITEN · POSTEN	lchey	0	NO	HIGH
lfcheal	1	f77r	P	TENTATIVE_ROOTED_VARIANT	AL	ZIEL	cheal	2	NO	WORKING
lkeo	1	f88v	P	VISIBLE_NEW_COMPOSITION	L+K+E+O	LEITEN · GEBEN · KURZ · AUSFÜHREN	okeo	1	NO	MEDIUM_HIGH
lod	1	f77r	P	VISIBLE_NEW_COMPOSITION	L+O+D_ADDR	LEITEN · AUSFÜHREN · TEIL	dod	1	NO	MEDIUM_HIGH
lol	4	f77r	P	EXACT_REGISTERED_SURFACE	L+OL	LEITEN · FORTSETZEN	lol	0	NO	HIGH
loly	2	f77r	P	VISIBLE_NEW_COMPOSITION	L+OL+Y	LEITEN · FORTSETZEN · POSTEN	lol	1	NO	MEDIUM_HIGH
lom	1	f77r	P	NEAR_REGISTERED_ALLOGRAPH	L+O	LEITEN · AUSFÜHREN	lo	1	NO	MEDIUM
lsheedy	1	f77r	P	EXACT_REGISTERED_SURFACE	LSH+EE+D_ADDR+Y	SPÜLEN · LÄNGER · TEIL · POSTEN	lsheedy	0	NO	HIGH
lsheey	2	f77r	P	VISIBLE_NEW_COMPOSITION	L+SH+EE+Y	LEITEN · HALTEN · LÄNGER · POSTEN	lcheey	1	NO	MEDIUM_HIGH
lshey	1	f77r	P	EXACT_REGISTERED_SURFACE	L+SH+E+Y	LEITEN · HALTEN · KURZ · POSTEN	lshey	0	NO	HIGH
ltaiin	1	f77r	P	VISIBLE_NEW_COMPOSITION	L+T+AIIN	LEITEN · STELLEN · MASS	lkaiin	1	NO	MEDIUM_HIGH
mol	1	f17r	P	NEAR_REGISTERED_ALLOGRAPH	OL	FORTSETZEN	ol	1	NO	MEDIUM
o	2	f17r|f77r	L|P	EXACT_REGISTERED_SURFACE	O	AUSFÜHREN	o	0	YES	HIGH
ochey	1	f71v	C	VISIBLE_NEW_COMPOSITION	O+CH+E+Y	AUSFÜHREN · NEHMEN · KURZ · POSTEN	chey	1	NO	MEDIUM_HIGH
odaiin	1	f88v	P	EXACT_REGISTERED_SURFACE	O+D_ADDR+AIIN	AUSFÜHREN · TEIL · MASS	odaiin	0	NO	HIGH
ods	1	f17r	P	NEAR_REGISTERED_ALLOGRAPH	O+DY	AUSFÜHREN · SCHLUSS	ody	1	NO	MEDIUM
ofaom	1	f71v	L	LOCAL_OWNER_ADDRESS	LOCAL_ADDRESS	BILDADRESSE	OWNER_COPY		YES	OWNER_BOUND
oiiiin	1	f77r	P	NEAR_REGISTERED_ALLOGRAPH	O+IIN	AUSFÜHREN · STUFE	oiiin	1	NO	MEDIUM
oiil	1	f17r	L	LOCAL_OWNER_ADDRESS	LOCAL_ADDRESS	BILDADRESSE	OWNER_COPY		YES	OWNER_BOUND
oin	1	f77r	P	NEAR_REGISTERED_ALLOGRAPH	O+IIN	AUSFÜHREN · STUFE	oiin	1	NO	MEDIUM
okaiin	6	f17r|f71v|f77r|f88v	C|L|P	EXACT_REGISTERED_SURFACE	OK+AIIN	SETZEN · MASS	okaiin	0	YES	HIGH
okaikaly	1	f71v	C	VISIBLE_NEW_COMPOSITION	OK+A_ADDR+IIN+K+AL+Y	SETZEN · ORT · STUFE · GEBEN · ZIEL · POSTEN	okairady	2	NO	MEDIUM_HIGH
okal	1	f71v	C	EXACT_REGISTERED_SURFACE	OK+AL	SETZEN · ZIEL	okal	0	NO	HIGH
okalar	1	f71v	C	VISIBLE_NEW_COMPOSITION	OK+AL+AR	SETZEN · ZIEL · QUELLE	okala	1	NO	MEDIUM_HIGH
okalyd	1	f88v	L	LOCAL_OWNER_ADDRESS	LOCAL_ADDRESS	BILDADRESSE	OWNER_COPY		YES	OWNER_BOUND
okam	1	f71v	C	VISIBLE_NEW_COMPOSITION	OK+AM_ADDR	SETZEN · INNEN	kam	1	NO	MEDIUM_HIGH
okaraiin	1	f71v	L	LOCAL_OWNER_ADDRESS	LOCAL_ADDRESS	BILDADRESSE	OWNER_COPY		YES	OWNER_BOUND
okchom	1	f17r	P	VISIBLE_NEW_COMPOSITION	OK+CH+O+AM_ADDR	SETZEN · NEHMEN · AUSFÜHREN · INNEN	okchol	1	NO	MEDIUM_HIGH
okchor	1	f71v	C	EXACT_REGISTERED_SURFACE	OK+CH+OR	SETZEN · NEHMEN · ANSATZ	okchor	0	NO	HIGH
okearcheol	1	f88v	P	VISIBLE_NEW_COMPOSITION	OK+E+AR+CHEO+L	SETZEN · KURZ · QUELLE · AUSZUG · LEITEN	okarchedy	3	NO	WORKING
okedy	1	f77r	P	EXACT_REGISTERED_SURFACE	OK+E+DY	SETZEN · KURZ · SCHLUSS	okedy	0	NO	HIGH
okeey	1	f71v	C	EXACT_REGISTERED_SURFACE	OK+EE+Y	SETZEN · LÄNGER · POSTEN	okeey	0	NO	HIGH
okeo	2	f71v	C	EXACT_REGISTERED_SURFACE	OK+E+O	SETZEN · KURZ · AUSFÜHREN	okeo	0	NO	HIGH
okeodaly	1	f71v	C	VISIBLE_NEW_COMPOSITION	OK+E+O+D_ADDR+AL+Y	SETZEN · KURZ · AUSFÜHREN · TEIL · ZIEL · POSTEN	okeodal	1	NO	MEDIUM_HIGH
okeosar	1	f71v	C	TENTATIVE_ROOTED_VARIANT	OK+E+AR	SETZEN · KURZ · QUELLE	okear	2	NO	WORKING
okol	2	f71v|f88v	C|P	EXACT_REGISTERED_SURFACE	OK+OL	SETZEN · FORTSETZEN	okol	0	NO	HIGH
okolar	1	f71v	L	LOCAL_OWNER_ADDRESS	LOCAL_ADDRESS	BILDADRESSE	okolar	0	YES	OWNER_BOUND
okor	1	f17r	P	EXACT_REGISTERED_SURFACE	OK+OR	SETZEN · ANSATZ	okor	0	NO	HIGH
okshy	1	f17r	P	NEAR_REGISTERED_ALLOGRAPH	OK+Y	SETZEN · POSTEN	okchy	1	NO	MEDIUM
ol	6	f77r|f88v	P	EXACT_REGISTERED_SURFACE	OL	FORTSETZEN	ol	0	NO	HIGH
