role_shape_id	role_shape_frame	record_count	strict_template_count	strict_template_ids	page_count	register_count	recurrence_class	pages	registers	record_ids	surface_examples	claim_status
G480-S014	COORDINATE[ORDER · REL · ARG @START_FRESH_SIBLING:FORWARD_OPEN]	3	2	G480-T014|G480-T050	3	2	CROSS_REGISTER	f71v|f72r|f89r	CELESTIAL|PHARMA	G475-R014|G475-R055|G475-R133	otalaiin || otalshy || otalsy	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S015	INSTRUCTION[ORDER · REL @START_FRESH_SIBLING:FORWARD_OPEN / ACTION · REL @NONE]	1	1	G480-T015	1	1	SINGLETON	f71v	CELESTIAL	G475-R015	otar|shar	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S016	INSTRUCTION[ACTION · ORDER · ACTION · NAME @KEEP_ACTIVE_UNIT:BRIDGE_LEFT_TO_RIGHT]	1	1	G480-T016	1	1	SINGLETON	f71v	CELESTIAL	G475-R016	sholshdy	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S017	INSTRUCTION[NAME · ACTION · NAME @NONE]	1	1	G480-T017	1	1	SINGLETON	f72r	CELESTIAL	G475-R017	oshodady	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S018	CATALOGUE[NAME · ARG · ARG @NONE]	1	1	G480-T018	1	1	SINGLETON	f72r	CELESTIAL	G475-R018	chdaiirdainy	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S019	COORDINATE[MOD · ARG @NONE / REL @NONE / REL · ARG @NONE]	1	1	G480-T019	1	1	SINGLETON	f72r	CELESTIAL	G475-R019	oaiin|ar|ary	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S020	INSTRUCTION[ACTION · REL · MOD @NONE]	3	3	G480-T020|G480-T033|G480-T051	1	1	SAME_PAGE_RECURRENT	f72r	CELESTIAL	G475-R020|G475-R034|G475-R056	okalam || okaram || okaldy	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S021	INSTRUCTION[NAME · REL · ACTION · NAME @NONE]	2	2	G480-T021|G480-T056	1	1	SAME_PAGE_RECURRENT	f72r	CELESTIAL	G475-R021|G475-R062	ytalshdy || osarsheeeo	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S022	COORDINATE[ORDER · REL · REL · ARG @START_FRESH_SIBLING:FORWARD_OPEN]	2	1	G480-T023	1	1	SAME_PAGE_RECURRENT	f72r	CELESTIAL	G475-R023|G475-R037	otaraldy || otaraldy	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S023	COORDINATE[ORDER · ARG @START_FRESH_SIBLING:FORWARD_OPEN / ORDER · ARG @START_FRESH_SIBLING:FORWARD_OPEN]	1	1	G480-T024	1	1	SINGLETON	f72r	CELESTIAL	G475-R024	otaiin|otain	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S024	INSTRUCTION[ORDER · REL · NAME @START_FRESH_SIBLING:FORWARD_OPEN / ARG · ACTION @NONE / ARG · MOD @NONE]	1	1	G480-T025	1	1	SINGLETON	f72r	CELESTIAL	G475-R025	otalef|ys|ainam	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S025	INSTRUCTION[MOD · ORDER @KEEP_ACTIVE_UNIT:BACKWARD_HOLD / ACTION · REL · MOD @NONE]	1	1	G480-T026	1	1	SINGLETON	f72r	CELESTIAL	G475-R026	ochol|sharam	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S026	COORDINATE[MOD · MOD · REL · REL · REL @NONE]	1	1	G480-T027	1	1	SINGLETON	f72r	CELESTIAL	G475-R027	ofaralar	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S027	CATALOGUE[ORDER · NAME · ARG @START_FRESH_SIBLING:FORWARD_OPEN]	2	2	G480-T028|G480-T099	2	2	CROSS_REGISTER	f72r|f89r	CELESTIAL|PHARMA	G475-R028|G475-R111	otchoshy || otorain	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S028	CATALOGUE[ORDER · NAME · REL @START_FRESH_SIBLING:FORWARD_OPEN]	1	1	G480-T029	1	1	SINGLETON	f72r	CELESTIAL	G475-R029	otchdal	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S029	INSTRUCTION[ACTION · MOD · ARG @NONE / REL · ARG @NONE]	2	1	G480-T030	1	1	SAME_PAGE_RECURRENT	f72r	CELESTIAL	G475-R030|G475-R042	okeey|ary || okeey|ary	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S030	COORDINATE[ORDER · ARG · ARG @START_FRESH_SIBLING:FORWARD_OPEN]	1	1	G480-T031	1	1	SINGLETON	f72r	CELESTIAL	G475-R031	otainy	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S031	INSTRUCTION[ACTION · NAME · REL · NAME @NONE]	1	1	G480-T032	1	1	SINGLETON	f72r	CELESTIAL	G475-R033	oklairdy	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S032	INSTRUCTION[ACTION · REL · NAME @NONE]	2	2	G480-T034|G480-T084	2	2	CROSS_REGISTER	f72r|f88v	CELESTIAL|PHARMA	G475-R035|G475-R094	okairy || okalyd	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S033	INSTRUCTION[ACTION · NAME · REL · REL @NONE]	1	1	G480-T035	1	1	SINGLETON	f72r	CELESTIAL	G475-R036	okealar	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S034	INSTRUCTION[ACTION · REL · REL @NONE]	2	1	G480-T036	1	1	SAME_PAGE_RECURRENT	f72r	CELESTIAL	G475-R038|G475-R077	okalar || okalar	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S035	INSTRUCTION[ACTION · REL @NONE]	2	1	G480-T037	1	1	SAME_PAGE_RECURRENT	f72r	CELESTIAL	G475-R039|G475-R041	okal || okal	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S036	CATALOGUE[ORDER · NAME · REL · NAME @START_FRESH_SIBLING:FORWARD_OPEN]	1	1	G480-T039	1	1	SINGLETON	f72r	CELESTIAL	G475-R043	oteeary	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S037	COORDINATE[ORDER · REL @START_FRESH_SIBLING:FORWARD_OPEN / ARG @NONE]	1	1	G480-T040	1	1	SINGLETON	f72r	CELESTIAL	G475-R044	otair|dy	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S038	INSTRUCTION[ACTION · REL · NAME · MOD @NONE]	1	1	G480-T041	1	1	SINGLETON	f72r	CELESTIAL	G475-R045	okaircham	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S039	INSTRUCTION[ACTION · NAME · REL @NONE]	1	1	G480-T042	1	1	SINGLETON	f72r	CELESTIAL	G475-R046	okeal	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S040	COORDINATE[ORDER · REL @START_FRESH_SIBLING:FORWARD_OPEN]	2	2	G480-T043|G480-T047	1	1	SAME_PAGE_RECURRENT	f72r	CELESTIAL	G475-R047|G475-R052	otar || otal	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S041	CATALOGUE[ARG · REL · NAME @NONE]	1	1	G480-T044	1	1	SINGLETON	f72r	CELESTIAL	G475-R049	orary	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S042	INSTRUCTION[ACTION · NAME @NONE]	1	1	G480-T045	1	1	SINGLETON	f72r	CELESTIAL	G475-R050	okyd	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S043	COORDINATE[ORDER · ORDER · MOD @START_FRESH_SIBLING|KEEP_ACTIVE_UNIT:FORWARD_OPEN|BRIDGE_LEFT_TO_RIGHT]	1	1	G480-T046	1	1	SINGLETON	f72r	CELESTIAL	G475-R051	otolam	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S044	CATALOGUE[NAME · REL · REL @NONE]	3	2	G480-T048|G480-T065	1	1	SAME_PAGE_RECURRENT	f72r	CELESTIAL	G475-R053|G475-R071|G475-R079	ralal || ytairal || opalal	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S045	INSTRUCTION[ACTION · MOD @NONE]	2	2	G480-T049|G480-T079	2	2	CROSS_REGISTER	f72r|f77r	CELESTIAL|BIOLOGICAL	G475-R054|G475-R089	okam || dchdy	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S046	CATALOGUE[NAME · REL @NONE]	2	2	G480-T052|G480-T080	2	2	CROSS_REGISTER	f72r|f77r	CELESTIAL|BIOLOGICAL	G475-R057|G475-R090	chosar || soral	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S047	COORDINATE[ORDER · MOD @START_FRESH_SIBLING:FORWARD_OPEN]	1	1	G480-T053	1	1	SINGLETON	f72r	CELESTIAL	G475-R058	otam	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S048	INSTRUCTION[ACTION · REL · NAME · MOD @NONE] || INSTRUCTION[ORDER · NAME · REL · ARG @KEEP_ACTIVE_UNIT:FORWARD_OPEN] || COORDINATE[ORDER · REL · ARG @KEEP_ACTIVE_UNIT:FORWARD_OPEN]	1	1	G480-T054	1	1	SINGLETON	f72r	CELESTIAL	G475-R060	okarcham|olkalaiin|olalsy	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S049	CATALOGUE[ARG · NAME · MOD @NONE]	1	1	G480-T055	1	1	SINGLETON	f72r	CELESTIAL	G475-R061	oraiinam	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S050	COORDINATE[ORDER · MOD @START_FRESH_SIBLING:FORWARD_OPEN / ARG @NONE]	1	1	G480-T057	1	1	SINGLETON	f72r	CELESTIAL	G475-R063	oto|aiin	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S051	INSTRUCTION[NAME · MOD · MOD @NONE / REL @NONE / ACTION · MOD · ACTION @NONE]	1	1	G480-T058	1	1	SINGLETON	f72r	CELESTIAL	G475-R064	opoiiinoin|al|ches	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S052	CATALOGUE[NAME · ARG @NONE / REL · REL · ARG @NONE]	1	1	G480-T059	1	1	SINGLETON	f72r	CELESTIAL	G475-R065	ypaiin|alaly	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S053	COORDINATE[ORDER · MOD · ARG @START_FRESH_SIBLING:FORWARD_OPEN / ARG @NONE]	1	1	G480-T060	1	1	SINGLETON	f72r	CELESTIAL	G475-R066	oteey|daiin	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S054	CATALOGUE[NAME · ARG @NONE]	5	3	G480-T061|G480-T086|G480-T116	3	2	CROSS_REGISTER	f72r|f88v|f89r	CELESTIAL|PHARMA	G475-R067|G475-R072|G475-R096|G475-R128|G475-R131	oeeodaiin || oeeesaiin || cpheor || oporain || yorain	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S055	INSTRUCTION[MOD · MOD · ACTION · ORDER · NAME @KEEP_ACTIVE_UNIT:BRIDGE_LEFT_TO_RIGHT]	1	1	G480-T062	1	1	SINGLETON	f72r	CELESTIAL	G475-R068	ofsholdy	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S056	INSTRUCTION[NAME · MOD · ARG @NONE / ACTION · ARG @NONE] || INSTRUCTION[NAME · ORDER · REL · ORDER @KEEP_ACTIVE_UNIT|KEEP_ACTIVE_UNIT:BRIDGE_LEFT_TO_RIGHT|BACKWARD_HOLD]	1	1	G480-T063	1	1	SINGLETON	f72r	CELESTIAL	G475-R069	opoeey|okaiin|ykolairol	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S057	CATALOGUE[ARG · REL · NAME · MOD @NONE]	1	1	G480-T064	1	1	SINGLETON	f72r	CELESTIAL	G475-R070	oralkam	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S058	COORDINATE[ARG · ARG @NONE]	1	1	G480-T066	1	1	SINGLETON	f72r	CELESTIAL	G475-R073	ory	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S059	INSTRUCTION[MOD · ACTION · MOD · ARG @NONE / NAME · ARG · MOD @NONE]	1	1	G480-T067	1	1	SINGLETON	f72r	CELESTIAL	G475-R074	ochey|fydy	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S060	CATALOGUE[MOD · MOD @NONE / MOD @NONE / NAME · REL · ARG @NONE]	1	1	G480-T068	1	1	SINGLETON	f72r	CELESTIAL	G475-R075	of|o|eeesaly	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S061	CATALOGUE[NAME · REL · ARG @NONE / REL · REL @NONE]	1	1	G480-T069	1	1	SINGLETON	f72r	CELESTIAL	G475-R076	ykaraiin|airal	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S062	CATALOGUE[ARG · REL · NAME @NONE] || CATALOGUE[ORDER · ARG @KEEP_ACTIVE_UNIT:FORWARD_OPEN / ORDER · NAME @KEEP_ACTIVE_UNIT:FORWARD_OPEN] || INSTRUCTION[ORDER · NAME · ACTION · NAME · REL @KEEP_ACTIVE_UNIT:FORWARD_OPEN]	1	1	G480-T070	1	1	SINGLETON	f72r	CELESTIAL	G475-R078	orara|olaiin|olay|olfsheoral	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S063	CATALOGUE[NAME · REL · NAME @NONE]	2	1	G480-T071	2	2	CROSS_REGISTER	f72r|f89r	CELESTIAL|PHARMA	G475-R080|G475-R134	yfary || ytarem	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S064	CATALOGUE[ARG · NAME · REL @NONE]	1	1	G480-T072	1	1	SINGLETON	f72r	CELESTIAL	G475-R081	oraiiral	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S065	CATALOGUE[NAME · REL @NONE / ACTION · REL @NONE]	1	1	G480-T073	1	1	SINGLETON	f72r	CELESTIAL	G475-R082	ytoar|shar	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S066	INSTRUCTION[NAME · ACTION · ACTION · NAME @NONE]	1	1	G480-T074	1	1	SINGLETON	f72r	CELESTIAL	G475-R083	octho	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S067	COORDINATE[REL · REL @NONE] || COORDINATE[ORDER · NAME · REL @KEEP_ACTIVE_UNIT:FORWARD_OPEN]	1	1	G480-T075	1	1	SINGLETON	f72r	CELESTIAL	G475-R084	aral|oletal	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S068	CATALOGUE[NAME · REL · NAME · REL @NONE] || CATALOGUE[ORDER · NAME @KEEP_ACTIVE_UNIT:FORWARD_OPEN]	1	1	G480-T076	1	1	SINGLETON	f77r	BIOLOGICAL	G475-R085	darchdar|olkchs	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S069	COORDINATE[ORDER · MOD · MOD @START_FRESH_SIBLING:FORWARD_OPEN]	1	1	G480-T077	1	1	SINGLETON	f77r	BIOLOGICAL	G475-R086	otedy	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S070	COORDINATE[ORDER · ORDER @START_FRESH_SIBLING|KEEP_ACTIVE_UNIT:FORWARD_OPEN|BACKWARD_HOLD]	1	1	G480-T078	1	1	SINGLETON	f77r	BIOLOGICAL	G475-R088	otol	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S071	CATALOGUE[NAME · ORDER · NAME @START_FRESH_SIBLING:BRIDGE_LEFT_TO_RIGHT]	1	1	G480-T081	1	1	SINGLETON	f77r	BIOLOGICAL	G475-R091	dotedy	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S072	INSTRUCTION[ORDER · ACTION · MOD @START_FRESH_SIBLING:FORWARD_OPEN]	1	1	G480-T082	1	1	SINGLETON	f77r	BIOLOGICAL	G475-R092	otchdy	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S073	COORDINATE[ORDER · ORDER · ARG @START_FRESH_SIBLING|KEEP_ACTIVE_UNIT:FORWARD_OPEN|BRIDGE_LEFT_TO_RIGHT / MOD @NONE]	1	1	G480-T083	1	1	SINGLETON	f77r	BIOLOGICAL	G475-R093	otolaiin|o	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S074	INSTRUCTION[NAME · ACTION · ACTION · ARG @NONE]	1	1	G480-T085	1	1	SINGLETON	f88v	PHARMA	G475-R095	cheocthy	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S075	CATALOGUE[ORDER · REL @START_FRESH_SIBLING:FORWARD_OPEN / REL · NAME @NONE]	1	1	G480-T087	1	1	SINGLETON	f88v	PHARMA	G475-R097	otar|arody	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S076	INSTRUCTION[ORDER · ACTION · ORDER @START_FRESH_SIBLING|KEEP_ACTIVE_UNIT:FORWARD_OPEN|BACKWARD_HOLD]	1	1	G480-T088	1	1	SINGLETON	f88v	PHARMA	G475-R098	otokol	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S077	CATALOGUE[ORDER · NAME · MOD @START_FRESH_SIBLING:FORWARD_OPEN]	1	1	G480-T089	1	1	SINGLETON	f88v	PHARMA	G475-R099	otoram	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S078	CATALOGUE[MOD · NAME @NONE]	1	1	G480-T090	1	1	SINGLETON	f88v	PHARMA	G475-R101	cheosdy	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S079	INSTRUCTION[ACTION · ARG @NONE]	2	2	G480-T091|G480-T118	2	1	CROSS_PAGE	f88v|f89r	PHARMA	G475-R102|G475-R130	okaiin || okain	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S080	CATALOGUE[NAME · REL · NAME · REL @NONE]	1	1	G480-T092	1	1	SINGLETON	f88v	PHARMA	G475-R103	daramdal	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S081	CATALOGUE[ORDER · NAME · MOD · REL · NAME @START_FRESH_SIBLING:FORWARD_OPEN]	1	1	G480-T093	1	1	SINGLETON	f88v	PHARMA	G475-R104	otydary	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S082	CATALOGUE[NAME · REL · REL · NAME @NONE]	1	1	G480-T094	1	1	SINGLETON	f88v	PHARMA	G475-R106	dararda	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S083	INSTRUCTION[ACTION · ACTION · ARG @NONE] || INSTRUCTION[NAME · ORDER @KEEP_ACTIVE_UNIT:BACKWARD_HOLD] || INSTRUCTION[ORDER · NAME · MOD @KEEP_ACTIVE_UNIT:FORWARD_OPEN]	1	1	G480-T095	1	1	SINGLETON	f89r	PHARMA	G475-R107	okchshy|qkol|oldam	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S084	CATALOGUE[ORDER · ORDER · NAME @START_FRESH_SIBLING|KEEP_ACTIVE_UNIT:FORWARD_OPEN|BRIDGE_LEFT_TO_RIGHT]	1	1	G480-T096	1	1	SINGLETON	f89r	PHARMA	G475-R108	otoldy	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S085	CATALOGUE[REL · REL · NAME · ARG @NONE]	1	1	G480-T097	1	1	SINGLETON	f89r	PHARMA	G475-R109	ararchodaiin	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S086	INSTRUCTION[ARG · ACTION · ARG · MOD @NONE] || INSTRUCTION[ORDER @KEEP_ACTIVE_UNIT:FORWARD_OPEN / ACTION · MOD · ACTION @NONE]	1	1	G480-T098	1	1	SINGLETON	f89r	PHARMA	G475-R110	ykyd|chol|ches	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S087	INSTRUCTION[ACTION · ARG @NONE / ARG @NONE]	1	1	G480-T100	1	1	SINGLETON	f89r	PHARMA	G475-R112	okaiin|dan	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S088	INSTRUCTION[NAME · ACTION · MOD · ARG @NONE]	1	1	G480-T101	1	1	SINGLETON	f89r	PHARMA	G475-R113	ykocfhy	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S089	CATALOGUE[NAME · REL · NAME · MOD @NONE]	1	1	G480-T102	1	1	SINGLETON	f89r	PHARMA	G475-R114	saldam	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S090	CATALOGUE[NAME · MOD · REL · REL · NAME @NONE]	1	1	G480-T103	1	1	SINGLETON	f89r	PHARMA	G475-R115	sydarary	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S091	COORDINATE[ARG · MOD · ARG @NONE]	1	1	G480-T104	1	1	SINGLETON	f89r	PHARMA	G475-R116	yddy	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S092	CATALOGUE[NAME · ARG · ARG @NONE] || CATALOGUE[NAME · ORDER · ARG @KEEP_ACTIVE_UNIT:BRIDGE_LEFT_TO_RIGHT]	1	1	G480-T105	1	1	SINGLETON	f89r	PHARMA	G475-R117	odory|doly	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S093	CATALOGUE[NAME · MOD @NONE]	1	1	G480-T106	1	1	SINGLETON	f89r	PHARMA	G475-R118	opchosam	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S094	INSTRUCTION[NAME · REL · NAME · ACTION · NAME · ORDER @KEEP_ACTIVE_UNIT:BACKWARD_HOLD]	1	1	G480-T107	1	1	SINGLETON	f89r	PHARMA	G475-R119	saloiinsheol	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S095	INSTRUCTION[MOD · ACTION · ACTION · MOD · ARG @NONE]	1	1	G480-T108	1	1	SINGLETON	f89r	PHARMA	G475-R120	opcheor	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S096	CATALOGUE[ORDER · ORDER · NAME @START_FRESH_SIBLING|KEEP_ACTIVE_UNIT:FORWARD_OPEN|BRIDGE_LEFT_TO_RIGHT / ARG @NONE]	1	1	G480-T109	1	1	SINGLETON	f89r	PHARMA	G475-R121	otold|y	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
