cell_id	component_value	portable_root_or_layer	component_class	active_model	cell_status	realization_form_count	realization_forms_de	witness_record_count	witness_records	page_count	pages	frame_class_count	frame_classes	invented_form_count
G487-MC20	FORTSETZEN	OL	ORDER_CONTROL	COORDINATE	OPEN	0	OPEN	0	NONE	0	NONE	0	NONE	0
G487-MC21	FORTSETZEN	OL	ORDER_CONTROL	INSTRUCTION	OBSERVED	1	Führe das Setzen … fort	1	G475-R004	1	f71v	1	INSTRUCTION_SETZEN	0
G487-MC22	HALTEN	SH	ACTION	CATALOGUE	OPEN	0	OPEN	0	NONE	0	NONE	0	NONE	0
G487-MC23	HALTEN	SH	ACTION	COORDINATE	OPEN	0	OPEN	0	NONE	0	NONE	0	NONE	0
G487-MC24	HALTEN	SH	ACTION	INSTRUCTION	OBSERVED	1	halte ihn	1	G475-R129	1	f89r	1	INSTRUCTION_SETZEN	0
G487-MC25	HIER	LOCAL_HIER	LOCAL_SCOPE	CATALOGUE	OBSERVED	1	Hier-Vermerk	3	G475-R061|G475-R099|G475-R118	3	f72r|f88v|f89r	1	CATALOGUE_ENTRY	0
G487-MC26	HIER	LOCAL_HIER	LOCAL_SCOPE	COORDINATE	OBSERVED	1	bezeichnete Stelle	1	G475-R058	1	f72r	1	COORDINATE_AFTER	0
G487-MC27	HIER	LOCAL_HIER	LOCAL_SCOPE	INSTRUCTION	OBSERVED	1	an der bezeichneten Stelle	4	G475-R020|G475-R034|G475-R054|G475-R113	2	f72r|f89r	2	INSTRUCTION_NEHMEN|INSTRUCTION_SETZEN	0
G487-MC28	POSTEN	Y	ARGUMENT	CATALOGUE	OBSERVED	1	Postenangabe	3	G475-R003|G475-R028|G475-R059	2	f71v|f72r	1	CATALOGUE_ENTRY	0
G487-MC29	POSTEN	Y	ARGUMENT	COORDINATE	OBSERVED	1	Positionsposten	1	G475-R055	1	f72r	1	COORDINATE_AFTER	0
G487-MC30	POSTEN	Y	ARGUMENT	INSTRUCTION	OBSERVED	1	Positionsposten	2	G475-R040|G475-R048	1	f72r	1	INSTRUCTION_SETZEN	0
G487-MC31	SCHLUSS	LICENSED_CLOSE_HULL	LOCAL_SCOPE	CATALOGUE	OPEN	0	OPEN	0	NONE	0	NONE	0	NONE	0
G487-MC32	SCHLUSS	LICENSED_CLOSE_HULL	LOCAL_SCOPE	COORDINATE	OPEN	0	OPEN	0	NONE	0	NONE	0	NONE	0
G487-MC33	SCHLUSS	LICENSED_CLOSE_HULL	LOCAL_SCOPE	INSTRUCTION	OBSERVED	1	schließe den Schritt	1	G475-R056	1	f72r	1	INSTRUCTION_SETZEN	0
G487-MC34	WERT	AIIN	ARGUMENT	CATALOGUE	OBSERVED	1	Wertangabe	2	G475-R067|G475-R072	1	f72r	1	CATALOGUE_ENTRY	0
G487-MC35	WERT	AIIN	ARGUMENT	COORDINATE	OBSERVED	1	Positionswert	1	G475-R014	1	f71v	1	COORDINATE_AFTER	0
G487-MC36	WERT	AIIN	ARGUMENT	INSTRUCTION	OBSERVED	2	Mengenwert|Positionswert	2	G475-R008|G475-R102	2	f71v|f88v	1	INSTRUCTION_SETZEN	0
G487-MC37	ZIELORT	AL	RELATION	CATALOGUE	OBSERVED	1	Zielzuordnung	7	G475-R003|G475-R022|G475-R029|G475-R053|G475-R059|G475-R079|G475-R081	2	f71v|f72r	2	CATALOGUE_ENTRY|CATALOGUE_SEQUENCE	0
G487-MC38	ZIELORT	AL	RELATION	COORDINATE	OBSERVED	1	Zielposition	2	G475-R052|G475-R055	1	f72r	1	COORDINATE_AFTER	0
G487-MC39	ZIELORT	AL	RELATION	INSTRUCTION	OBSERVED	2	am Zielgefäß|zur Zielposition	7	G475-R020|G475-R021|G475-R038|G475-R039|G475-R041|G475-R077|G475-R094	2	f72r|f88v	2	INSTRUCTION_HALTEN|INSTRUCTION_SETZEN	0
