anonymous_family	behavior_block	feature_ordinal	feature	pivot_recurrence_dependent	exact_identity_value_used	semantic_state
CMP_FUNCTION_03	MARKED_INVERSE_DELTA	1	H1_UNIQUE_DELTA	0	0	UNASSIGNED
CMP_FUNCTION_03	MARKED_INVERSE_DELTA	2	H1_ENTROPY_DELTA	0	0	UNASSIGNED
CMP_FUNCTION_03	MARKED_INVERSE_DELTA	3	H1_PIVOT_RETURN_LEFT	1	0	UNASSIGNED
CMP_FUNCTION_03	MARKED_INVERSE_DELTA	4	H1_PIVOT_RETURN_RIGHT	1	0	UNASSIGNED
CMP_FUNCTION_03	MARKED_INVERSE_DELTA	5	H1_RIGHT_NOVELTY_RATE	0	0	UNASSIGNED
CMP_FUNCTION_03	MARKED_INVERSE_DELTA	6	H2_UNIQUE_DELTA	0	0	UNASSIGNED
CMP_FUNCTION_03	MARKED_INVERSE_DELTA	7	H2_ENTROPY_DELTA	0	0	UNASSIGNED
CMP_FUNCTION_03	MARKED_INVERSE_DELTA	8	H2_PIVOT_RETURN_LEFT	1	0	UNASSIGNED
CMP_FUNCTION_03	MARKED_INVERSE_DELTA	9	H2_PIVOT_RETURN_RIGHT	1	0	UNASSIGNED
CMP_FUNCTION_03	MARKED_INVERSE_DELTA	10	H2_RIGHT_NOVELTY_RATE	0	0	UNASSIGNED
CMP_FUNCTION_03	MARKED_INVERSE_DELTA	11	H4_UNIQUE_DELTA	0	0	UNASSIGNED
CMP_FUNCTION_03	MARKED_INVERSE_DELTA	12	H4_ENTROPY_DELTA	0	0	UNASSIGNED
CMP_FUNCTION_03	MARKED_INVERSE_DELTA	13	H4_PIVOT_RETURN_LEFT	1	0	UNASSIGNED
CMP_FUNCTION_03	MARKED_INVERSE_DELTA	14	H4_PIVOT_RETURN_RIGHT	1	0	UNASSIGNED
CMP_FUNCTION_03	MARKED_INVERSE_DELTA	15	H4_RIGHT_NOVELTY_RATE	0	0	UNASSIGNED
CMP_FUNCTION_03	MARKED_INVERSE_DELTA	16	H8_UNIQUE_DELTA	0	0	UNASSIGNED
CMP_FUNCTION_03	MARKED_INVERSE_DELTA	17	H8_ENTROPY_DELTA	0	0	UNASSIGNED
CMP_FUNCTION_03	MARKED_INVERSE_DELTA	18	H8_PIVOT_RETURN_LEFT	1	0	UNASSIGNED
CMP_FUNCTION_03	MARKED_INVERSE_DELTA	19	H8_PIVOT_RETURN_RIGHT	1	0	UNASSIGNED
CMP_FUNCTION_03	MARKED_INVERSE_DELTA	20	H8_RIGHT_NOVELTY_RATE	0	0	UNASSIGNED
CMP_FUNCTION_03	MARKED_INVERSE_DELTA	21	PREV_EQUALS_NEXT	0	0	UNASSIGNED
CMP_FUNCTION_03	MARKED_INVERSE_DELTA	22	DELETE_BRIDGE_LOG_FREQUENCY	0	0	UNASSIGNED
CMP_FUNCTION_03	MARKED_INVERSE_DELTA	23	LOG_FORWARD_RETURN_DISTANCE	1	0	UNASSIGNED
CMP_FUNCTION_03	MARKED_INVERSE_DELTA	24	LOG_BACKWARD_RETURN_DISTANCE	1	0	UNASSIGNED
CMP_FUNCTION_04	CLOSED_CLASS_BOTTLENECK	1	H1_BAG_JACCARD	0	0	UNASSIGNED
CMP_FUNCTION_04	CLOSED_CLASS_BOTTLENECK	2	H1_PIVOT_RETURN_LEFT	1	0	UNASSIGNED
CMP_FUNCTION_04	CLOSED_CLASS_BOTTLENECK	3	H1_PIVOT_RETURN_RIGHT	1	0	UNASSIGNED
CMP_FUNCTION_04	CLOSED_CLASS_BOTTLENECK	4	H1_LEFT_RIGHT_RECONVERGENCE	0	0	UNASSIGNED
CMP_FUNCTION_04	CLOSED_CLASS_BOTTLENECK	5	H2_BAG_JACCARD	0	0	UNASSIGNED
CMP_FUNCTION_04	CLOSED_CLASS_BOTTLENECK	6	H2_PIVOT_RETURN_LEFT	1	0	UNASSIGNED
CMP_FUNCTION_04	CLOSED_CLASS_BOTTLENECK	7	H2_PIVOT_RETURN_RIGHT	1	0	UNASSIGNED
CMP_FUNCTION_04	CLOSED_CLASS_BOTTLENECK	8	H2_LEFT_RIGHT_RECONVERGENCE	0	0	UNASSIGNED
CMP_FUNCTION_04	CLOSED_CLASS_BOTTLENECK	9	H4_BAG_JACCARD	0	0	UNASSIGNED
CMP_FUNCTION_04	CLOSED_CLASS_BOTTLENECK	10	H4_PIVOT_RETURN_LEFT	1	0	UNASSIGNED
CMP_FUNCTION_04	CLOSED_CLASS_BOTTLENECK	11	H4_PIVOT_RETURN_RIGHT	1	0	UNASSIGNED
CMP_FUNCTION_04	CLOSED_CLASS_BOTTLENECK	12	H4_LEFT_RIGHT_RECONVERGENCE	0	0	UNASSIGNED
CMP_FUNCTION_04	CLOSED_CLASS_BOTTLENECK	13	H8_BAG_JACCARD	0	0	UNASSIGNED
CMP_FUNCTION_04	CLOSED_CLASS_BOTTLENECK	14	H8_PIVOT_RETURN_LEFT	1	0	UNASSIGNED
CMP_FUNCTION_04	CLOSED_CLASS_BOTTLENECK	15	H8_PIVOT_RETURN_RIGHT	1	0	UNASSIGNED
CMP_FUNCTION_04	CLOSED_CLASS_BOTTLENECK	16	H8_LEFT_RIGHT_RECONVERGENCE	0	0	UNASSIGNED
CMP_FUNCTION_04	CLOSED_CLASS_BOTTLENECK	17	LOG_DOMAIN_FORM_FREQUENCY	1	0	UNASSIGNED
CMP_FUNCTION_04	CLOSED_CLASS_BOTTLENECK	18	LOG_DOMAIN_RECORD_COVERAGE	1	0	UNASSIGNED
CMP_FUNCTION_04	CLOSED_CLASS_BOTTLENECK	19	LOG_PREV_DIVERSITY	1	0	UNASSIGNED
CMP_FUNCTION_04	CLOSED_CLASS_BOTTLENECK	20	LOG_NEXT_DIVERSITY	1	0	UNASSIGNED
CMP_FUNCTION_04	CLOSED_CLASS_BOTTLENECK	21	POSITION_STD	1	0	UNASSIGNED
CMP_FUNCTION_04	CLOSED_CLASS_BOTTLENECK	22	COLLECTION_COVERAGE	1	0	UNASSIGNED
CMP_FUNCTION_04	CLOSED_CLASS_BOTTLENECK	23	NEIGHBOR_DIVERSITY_PER_OCCURRENCE	1	0	UNASSIGNED
CMP_FUNCTION_04	CLOSED_CLASS_BOTTLENECK	24	LOG_FORWARD_RETURN_DISTANCE	1	0	UNASSIGNED
CMP_FUNCTION_04	CLOSED_CLASS_BOTTLENECK	25	NO_FORWARD_RETURN	1	0	UNASSIGNED
