stage	unit	page	surface_sequence	literal_sequence_de	fluent_workshop_reading_de	marks	calibration_changed
APPLY_B3	B3-S009	f83r	qoky	ANSETZEN · POSTEN	Am runden Mittelgefaess: Den laufenden Posten ansetzen.	1	NO
APPLY_B3	B3-S010	f83r	pchedal otedy	EINBRINGEN · UMSETZEN · ZIELSTELLE; DANACH · EIN KURZER ARBEITSGANG · SCHLUSS	Am unteren Korbgefaess: An der Zielstelle einbringen und umsetzen; danach den kurzen Folgeschritt schliessen.	2	NO
APPLY_B3	B3-S011	f83r	shecthedchy qoky chedy chary	HALTEN · EIN KURZER ARBEITSGANG · BEREITEN · UMSETZEN · POSTEN; ANSETZEN · POSTEN; UMSETZEN · POSTEN; QUELLE · POSTEN	Am unteren Korbgefaess: Kurz bis bereit den laufenden Posten halten und umsetzen; dann ihn ansetzen; dann ihn umsetzen; dann ihn aus der Quelle.	4	NO
APPLY_B3	B3-S012	f83r	sor shedy	ANSATZ; STEHENLASSEN · SCHLUSS	Am unteren Korbgefaess: Den Ansatz stehen lassen und den Schritt schliessen.	2	NO
APPLY_B3	B3-S013	f83r	qokaiin chkain shcthey qokedy	ANSETZEN · EIN KLEINER SCHOEPFBECHER; ZUGEBEN · EIN ABGEGRENZTER TEIL; BEREITEN · EIN KURZER ARBEITSGANG · POSTEN; ANSETZEN · EIN KURZER ARBEITSGANG · SCHLUSS	Am unteren Korbgefaess: Nach Sollmass ansetzen; dann als Portion zugeben; dann kurz den laufenden Posten bereitet halten; dann kurz ansetzen; den Schritt schliessen.	4	NO
APPLY_B3	B3-S014	f83r	okair sheedy	ANSETZEN · WASSER; HALTEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	Am unteren Korbgefaess: Das laufende Wasser ansetzen; dann laenger halten; den Schritt schliessen.	2	NO
APPLY_B3	B3-S015	f83r	lchedy	LEITEN · UMSETZEN · SCHLUSS	Am unteren Korbgefaess: Leiten und umsetzen; den Schritt schliessen.	1	NO
APPLY_B3	B3-S016	f83r	lo qokchedy	LEITEN · ARBEITSGANG; ANSETZEN · UMSETZEN · SCHLUSS	Am unteren Korbgefaess und im bildlich unverbundenen Zwischenabschnitt: Im Arbeitsgang leiten; dann ansetzen und umsetzen; den Schritt schliessen.	2	NO
APPLY_B3	B3-S017	f83r	qokeedy	ANSETZEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt: Laenger ansetzen; den Schritt schliessen.	1	NO
APPLY_B3	B3-S018	f83r	shedy	STEHENLASSEN · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt: Stehen lassen; den Schritt schliessen.	1	NO
APPLY_B3	B3-S019	f83r	qokshedy	ANSETZEN · HALTEN · EIN KURZER ARBEITSGANG · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt: Kurz ansetzen und halten; den Schritt schliessen.	1	NO
APPLY_B3	B3-S020	f83r	dal lchedy	ZIELSTELLE; LEITEN · UMSETZEN · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt: An der Zielstelle leiten, umsetzen und den Schritt schliessen.	2	NO
APPLY_B3	B3-S021	f83r	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	ANSETZEN · EIN KLEINER SCHOEPFBECHER; BEREITEN · POSTEN; ZIELSTELLE; POSTEN; EIN KLEINER SCHOEPFBECHER; STEHENLASSEN · ZIELSTELLE; HALTEN · EIN KURZER ARBEITSGANG · BEREITEN · POSTEN; POSTEN; ZIELSTELLE; BEREITEN · POSTEN; ZIELSTELLE · UMSETZEN · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt: Nach Sollmass ansetzen und den Posten bereitet halten. An der Zielstelle nach Sollmass stehen lassen und kurz bis zur Bereitschaft halten. Den Posten beibehalten, an der Zielstelle erneut bereitet halten, umsetzen und schliessen.	11	NO
APPLY_B3	B3-S022	f83r	qotchedy	DANACH · UMSETZEN · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt: Danach umsetzen; den Schritt schliessen.	1	NO
APPLY_B3	B3-S023	f83r	lchedy	LEITEN · UMSETZEN · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt: Leiten und umsetzen; den Schritt schliessen.	1	NO
APPLY_B3	B3-S024	f83r	tchedy	UMSETZEN · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt: Umsetzen; den Schritt schliessen.	1	NO
APPLY_B3	B3-S025	f83r	qokchdy	ANSETZEN · UMSETZEN · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt: Ansetzen und umsetzen; den Schritt schliessen.	1	NO
APPLY_B3	B3-S026	f83r	cheedar chldaiin chedy qokain checthy chealror solkeedy	DREI KURZE ARBEITSGAENGE · QUELLE; LEITEN · EIN KLEINER SCHOEPFBECHER; UMSETZEN · POSTEN; ANSETZEN · EIN ABGEGRENZTER TEIL; BEREITEN · POSTEN; ZIELSTELLE · KUEHLEN · ANSATZ; SAMMELN · DREI KURZE ARBEITSGAENGE · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt und am durch den Bogen verbundenen Hauptpaar: Laenger aus der Quelle arbeiten; nach Sollmass leiten, den Posten umsetzen, eine Portion ansetzen und bereitet halten; den Ansatz an der Zielstelle kuehlen, laenger sammeln und schliessen.	7	NO
APPLY_B3	B3-S027	f83r	qoteedy	DANACH · DREI KURZE ARBEITSGAENGE · SCHLUSS	Am durch den Bogen verbundenen Hauptpaar: Danach laenger; den Schritt schliessen.	1	NO
APPLY_B3	B3-S028	f83r	qokeey qokedy	ANSETZEN · DREI KURZE ARBEITSGAENGE · POSTEN; ANSETZEN · EIN KURZER ARBEITSGANG · SCHLUSS	Am durch den Bogen verbundenen Hauptpaar: Laenger den laufenden Posten ansetzen; dann kurz ansetzen; den Schritt schliessen.	2	NO
APPLY_B3	B3-S029	f83r	sol cheeety qokedy	WEITER; BIS DER GANZE POSTEN ERFASST IST · BEARBEITEN · POSTEN; ANSETZEN · EIN KURZER ARBEITSGANG · SCHLUSS	Am durch den Bogen verbundenen Hauptpaar: Weiterarbeiten; dann den laufenden Posten vollstaendig bearbeiten; dann kurz ansetzen; den Schritt schliessen.	3	NO
APPLY_B3	B3-S030	f83r	qoky saiin schedair otchedy	ANSETZEN · POSTEN; EIN KLEINER SCHOEPFBECHER; UMSETZEN · WASSER; DANACH · UMSETZEN · SCHLUSS	Am durch den Bogen verbundenen Hauptpaar: Den Posten nach Sollmass ansetzen, das laufende Wasser umsetzen; danach nochmals umsetzen und schliessen.	4	NO
APPLY_B3	B3-S031	f83r	qokeedy	ANSETZEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	Am durch den Bogen verbundenen Hauptpaar: Laenger ansetzen; den Schritt schliessen.	1	NO
APPLY_B3	B3-S032	f83r	chedain chedy qotedaiin otaiin otedy	UMSETZEN · EIN ABGEGRENZTER TEIL; UMSETZEN · POSTEN; DANACH · EIN KURZER ARBEITSGANG · EIN KLEINER SCHOEPFBECHER; DANACH · EIN KLEINER SCHOEPFBECHER; DANACH · EIN KURZER ARBEITSGANG · SCHLUSS	Am durch den Bogen verbundenen Hauptpaar: Eine Portion und dann den laufenden Posten umsetzen; danach kurz nach Sollmass, anschliessend nochmals nach Sollmass und den folgenden Kurzschritt schliessen.	5	NO
APPLY_B3	B3-S033	f83r	ldy	LEITEN · SCHLUSS	Am durch den Bogen verbundenen Hauptpaar: Leiten; den Schritt schliessen.	1	NO
APPLY_B3	B3-S034	f83r	soiiin checthy chety otaiin olsaly shedy	ARBEITSGANG · EINE EINGESTELLTE ARBEITSSTUFE; BEREITEN · POSTEN; BEARBEITEN · POSTEN; DANACH · EIN KLEINER SCHOEPFBECHER; WEITER · ZIELSTELLE · POSTEN; STEHENLASSEN · SCHLUSS	Am durch den Bogen verbundenen Hauptpaar: Den Arbeitsgang bis zur Stufe fuehren; den Posten bereitet halten und bearbeiten; danach nach Sollmass an der Zielstelle weiterfuehren, stehen lassen und schliessen.	6	NO
CONDITION_C2@f67r2.15	f67r2.15	f67r2	dolchsody	VON DER TEILADRESSE WEITER ZUM STERNBEZUG; DEN LOKALEN ARBEITSGANG SCHLIESSEN	Gehe von der Teiladresse zum Sternbezug weiter und schließe den lokalen Arbeitsgang.	1	NO
