record_id	transformation_codes	fluent_reading_de
G475-R049	CATALOGUE_PROSE	Sternstelle »y« mit Einheitsangabe und Ausgangszuordnung.
G475-R050	ALREADY_FLUENT	Setze den Sternstelleneintrag »yd«.
G475-R051	COORDINATE_PROSE|CONTINUATION_SMOOTHED|ORDER_TRACE_SEPARATED	Die Adressspur wird danach bis zur bezeichneten Stelle fortgesetzt.
G475-R052	COORDINATE_PROSE|ORDER_TRACE_SEPARATED	Danach weist die Adressspur zur Zielposition.
G475-R053	CATALOGUE_PROSE|DUPLICATE_COLLAPSED	Sternstelle »r« mit zweifacher Zielzuordnung.
G475-R054	ALREADY_FLUENT	Setze den Eintrag an der bezeichneten Stelle.
G475-R055	COORDINATE_PROSE|ORDER_TRACE_SEPARATED	Danach führt die Adressspur von der Zielposition zum Positionsposten.
G475-R056	PUNCTUATION_SMOOTHED	Setze den Eintrag zur Zielposition und schließe den Schritt.
G475-R057	CATALOGUE_PROSE	Sternstelle »chos« mit Ausgangszuordnung.
G475-R058	COORDINATE_PROSE|ORDER_TRACE_SEPARATED	Danach weist die Adressspur zur bezeichneten Stelle.
G475-R059	CATALOGUE_PROSE	Sternstelle »ain« mit Zielzuordnung und Postenangabe.
G475-R060	MULTI_LOCUS_SMOOTHED|CONTINUATION_SMOOTHED|SAME_GANG_SMOOTHED|ORDER_TRACE_SEPARATED	Setze den Sternstelleneintrag »ch« von der Ausgangsposition aus an der bezeichneten Stelle. Führe im selben Arbeitsgang den Bezug des Sternstelleneintrags »k« und des Positionswerts zur Zielposition fort. Die zugehörige Adressspur wird bis zur Zielposition und zum Positionsposten fortgesetzt.
G475-R061	CATALOGUE_PROSE	Sternstelle »aiin« mit Einheitsangabe und Hier-Vermerk.
G475-R062	OBJECT_REFERENCE_SMOOTHED	Halte die Sternstelleneinträge »os« und »eeeo« von der Ausgangsposition aus.
G475-R063	COORDINATE_PROSE|LIST_COMPACTED|ORDER_TRACE_SEPARATED	Die erste Adressspur führt danach zum Ausführungspunkt; die zweite bezeichnet den Positionswert.
G475-R064	LIST_COMPACTED|OBJECT_REFERENCE_SMOOTHED|QUALIFIER_REORDERED	Beziehe den Sternstelleneintrag »opoiiin« als Ausführung auf der bezeichneten Stufe; beziehe den Eintrag zur Zielposition; nimm ihn auf und wähle ihn auf Grad I.
G475-R065	LIST_COMPACTED|CATALOGUE_PROSE|DUPLICATE_COLLAPSED	Katalogfolge: Sternstelle »yp« mit Wertangabe; Eintrag »alaly« mit zweifacher Zielzuordnung und Postenangabe.
G475-R066	COORDINATE_PROSE|LIST_COMPACTED|ORDER_TRACE_SEPARATED	Die erste Adressspur führt danach über Grad II zum Positionsposten; die zweite bezeichnet den Positionswert.
G475-R067	CATALOGUE_PROSE	Sternstelle »oeeo« mit Wertangabe.
G475-R068	CONTINUATION_SMOOTHED|QUALIFIER_REORDERED|ORDER_TRACE_SEPARATED	Halte den Sternstelleneintrag »dy« an der bezeichneten Stelle als Ausführung weiter.
G475-R069	LIST_COMPACTED|MULTI_LOCUS_SMOOTHED|CONTINUATION_SMOOTHED|SAME_GANG_SMOOTHED|ORDER_TRACE_SEPARATED	Beziehe den Sternstelleneintrag »opo« und den Positionsposten auf Grad II; setze den Positionswert. Führe im selben Arbeitsgang den Bezug des Sternstelleneintrags »yk« entlang der Ringbahn zweimal weiter.
G475-R070	CATALOGUE_PROSE	Sternstelle »k« mit Einheitsangabe, Zielzuordnung und Hier-Vermerk.
G475-R071	CATALOGUE_PROSE	Sternstelle »yt« mit Bahnvermerk und Zielzuordnung.
G475-R072	CATALOGUE_PROSE	Sternstelle »oeees« mit Wertangabe.
G475-R073	COORDINATE_PROSE	Die Adressspur führt von der Positionseinheit zum Positionsposten.
G475-R074	LIST_COMPACTED|SAME_GANG_SMOOTHED|OBJECT_REFERENCE_SMOOTHED	Nimm den Positionsposten als Ausführung der Stufe I auf; nimm im selben Gang den Sternstelleneintrag »f« und den Positionsposten auf und schließe den Schritt.
G475-R075	LIST_COMPACTED|CATALOGUE_PROSE	Katalogfolge: Eintrag »of« mit Ausführungs- und Hier-Vermerk; Eintrag »o« mit Ausführungsvermerk; Sternstelle »eees« mit Zielzuordnung und Postenangabe.
G475-R076	LIST_COMPACTED|CATALOGUE_PROSE	Katalogfolge: Sternstelle »yk« mit Ausgangszuordnung und Wertangabe; Eintrag »airal« mit Bahnvermerk und Zielzuordnung.
G475-R077	QUALIFIER_REORDERED	Setze den Eintrag zur Zielposition, ausgehend von der Ausgangsposition.
G475-R078	MULTI_LOCUS_SMOOTHED|CONTINUATION_SMOOTHED|CATALOGUE_PROSE|SAME_GANG_SMOOTHED|ORDER_TRACE_SEPARATED	Sternstelle »a« mit Einheitsangabe und Ausgangszuordnung. Führe den Katalog mit Eintrag »olaiin« samt Fortsetzungs- und Wertvermerk und mit Sternstelle »ay« samt Fortsetzungsvermerk weiter. Führe im selben Arbeitsgang das Halten der Sternstelleneinträge »f« und »eor« zur Zielposition fort.
G475-R079	CATALOGUE_PROSE|DUPLICATE_COLLAPSED	Sternstelle »op« mit zweifacher Zielzuordnung.
G475-R080	CATALOGUE_PROSE|DUPLICATE_COLLAPSED	Sternstellen »yf« und »y« mit Ausgangszuordnung.
G475-R081	CATALOGUE_PROSE	Sternstelle »aiir« mit Einheitsangabe und Zielzuordnung.
G475-R082	LIST_COMPACTED|CATALOGUE_PROSE	Katalogfolge: Sternstelle »yto« mit Ausgangszuordnung; Eintrag »shar« mit Haltevermerk und Ausgangszuordnung.
G475-R083	OBJECT_REFERENCE_SMOOTHED|DUPLICATE_COLLAPSED	Nimm zwei Vorkommen des Sternstelleneintrags »o« auf und stelle beide ein.
G475-R084	MULTI_LOCUS_SMOOTHED|COORDINATE_PROSE|CONTINUATION_SMOOTHED|ORDER_TRACE_SEPARATED	Die Adressspur führt von der Ausgangs- zur Zielposition; die zugehörige Spur wird anschließend über Sternstelle »et« zur Zielposition fortgesetzt.
G475-R085	MULTI_LOCUS_SMOOTHED|CATALOGUE_PROSE|DUPLICATE_COLLAPSED|ORDER_TRACE_SEPARATED	Badstationen »d« und »chd« mit je einer Ausgangszuordnung; fortgesetzter Katalogeintrag: Badstation »kchs« mit Fortsetzungsvermerk.
G475-R086	COORDINATE_PROSE|ORDER_TRACE_SEPARATED	Danach führt die Adressspur über Grad I zum Endpunkt.
G475-R087	CATALOGUE_PROSE|ORDER_TRACE_SEPARATED	Badstation »ork« mit Folgevermerk.
G475-R088	COORDINATE_PROSE|CONTINUATION_SMOOTHED|ORDER_TRACE_SEPARATED	Die Adressspur wird danach fortgesetzt.
G475-R089	PUNCTUATION_SMOOTHED	Bearbeite den Eintrag und schließe den Schritt.
G475-R090	CATALOGUE_PROSE	Badstation »sor« mit Zielzuordnung.
G475-R091	CATALOGUE_PROSE|ORDER_TRACE_SEPARATED	Katalogfolge: Badstation »d« mit Folgevermerk; danach Badstation »edy«.
G475-R092	PUNCTUATION_SMOOTHED|ORDER_TRACE_SEPARATED	Bearbeite danach den Eintrag und schließe den Schritt.
G475-R093	COORDINATE_PROSE|LIST_COMPACTED|CONTINUATION_SMOOTHED|ORDER_TRACE_SEPARATED	Die erste Adressspur wird danach bis zum Stationswert fortgesetzt; die zweite bezeichnet den Ausführungspunkt.
G475-R094	QUALIFIER_REORDERED	Setze den Drogeneintrag »yd« als Ansatz am Zielgefäß an.
G475-R095	OBJECT_REFERENCE_SMOOTHED	Nimm den Drogeneintrag »cheo« sowie den Drogenposten und stelle beide ein.
G475-R096	CATALOGUE_PROSE	Droge »cphe« mit Einheitsangabe.
G475-R097	LIST_COMPACTED|CATALOGUE_PROSE|ORDER_TRACE_SEPARATED	Katalogfolge: Eintrag »otar« mit Folgevermerk und Ausgangszuordnung; Droge »ody« mit Ausgangszuordnung.
G475-R098	CONTINUATION_SMOOTHED|ORDER_TRACE_SEPARATED	Setze den Eintrag danach als Ansatz an und führe das Setzen weiter.
G475-R099	CATALOGUE_PROSE|ORDER_TRACE_SEPARATED	Droge »or« mit Folgevermerk und Hier-Vermerk.
G475-R100	CATALOGUE_PROSE|ORDER_TRACE_SEPARATED	Droge »ora« mit Folgevermerk.
G475-R101	ALREADY_FLUENT	Droge »cheosdy« — Drogenfamilie »cheo«.
G475-R102	ALREADY_FLUENT	Setze den Mengenwert als Ansatz an.
G475-R103	CATALOGUE_PROSE|DUPLICATE_COLLAPSED	Drogen »d« und »am« mit Ausgangs- beziehungsweise Zielzuordnung.
G475-R104	CATALOGUE_PROSE|DUPLICATE_COLLAPSED|ORDER_TRACE_SEPARATED	Zweimal Droge »y«, mit Folgevermerk, Hier-Vermerk und Ausgangszuordnung.
G475-R105	CATALOGUE_PROSE|ORDER_TRACE_SEPARATED	Droge »dordy« mit Folgevermerk.
G475-R106	CATALOGUE_PROSE|DUPLICATE_COLLAPSED	Drogen »d« und »da« mit je einer Ausgangszuordnung.
G475-R107	MULTI_LOCUS_SMOOTHED|CONTINUATION_SMOOTHED|SAME_GANG_SMOOTHED|OBJECT_REFERENCE_SMOOTHED|ORDER_TRACE_SEPARATED	Setze den Drogenposten als Ansatz an und nimm ihn. Führe im selben Arbeitsgang den Bezug weiter: zuerst für Drogeneintrag »qk«, dann für Drogeneintrag »d« an der bezeichneten Stelle.
G475-R108	CATALOGUE_PROSE|ORDER_TRACE_SEPARATED	Droge »dy« mit Folge- und Fortsetzungsvermerk.
G475-R109	CATALOGUE_PROSE|DUPLICATE_COLLAPSED	Droge »cho« mit zweifacher Ausgangszuordnung und Wertangabe.
G475-R110	MULTI_LOCUS_SMOOTHED|SAME_GANG_SMOOTHED|OBJECT_REFERENCE_SMOOTHED|ORDER_TRACE_SEPARATED	Gib die beiden Drogenposten — außen und innen — an der bezeichneten Stelle zu. Beziehe den Eintrag im selben Arbeitsgang weiter; nimm ihn dann auf und wähle ihn auf Grad I.
G475-R111	CATALOGUE_PROSE|ORDER_TRACE_SEPARATED	Droge »or« mit Folgevermerk und Anteilsangabe.
G475-R112	LIST_COMPACTED|SAME_GANG_SMOOTHED	Setze den Mengenwert und im selben Gang den Drogenanteil als Ansatz an.
G475-R113	OBJECT_REFERENCE_SMOOTHED	Nimm den Drogeneintrag »yko« sowie den Drogenposten an der bezeichneten Stelle.
G475-R114	CATALOGUE_PROSE|DUPLICATE_COLLAPSED	Drogen »s« und »d« mit Zielzuordnung beziehungsweise Hier-Vermerk.
G475-R115	CATALOGUE_PROSE|DUPLICATE_COLLAPSED	Drogen »sy« und »y« mit Hier-Vermerk sowie zweifacher Ausgangszuordnung.
G475-R116	COORDINATE_PROSE	Die Adressspur führt vom Drogenposten über die bezeichnete Stelle zurück zum Drogenposten.
G475-R117	MULTI_LOCUS_SMOOTHED|CATALOGUE_PROSE|CONTINUATION_SMOOTHED|ORDER_TRACE_SEPARATED	Droge »od« mit Einheits- und Postenangabe; fortgesetzter Katalogeintrag: Droge »d« mit Fortsetzungsvermerk und Postenangabe.
G475-R118	CATALOGUE_PROSE	Droge »opchos« mit Hier-Vermerk.
G475-R119	CONTINUATION_SMOOTHED|OBJECT_REFERENCE_SMOOTHED|ORDER_TRACE_SEPARATED	Führe das Halten der Drogeneinträge »s«, »oiin« und »e« zum Zielgefäß fort.
G475-R120	OBJECT_REFERENCE_SMOOTHED|QUALIFIER_REORDERED	Setze die Ansatzeinheit ein und nimm sie als Ausführung auf Grad I.
G475-R121	LIST_COMPACTED|CATALOGUE_PROSE|ORDER_TRACE_SEPARATED	Katalogfolge: Droge »d« mit Folge- und Fortsetzungsvermerk; Eintrag »y« mit Postenangabe.
G475-R122	LIST_COMPACTED|CONTINUATION_SMOOTHED|SAME_GANG_SMOOTHED|OBJECT_REFERENCE_SMOOTHED|ORDER_TRACE_SEPARATED	Führe das Ansetzen des Eintrags fort; führe auch sein Halten fort und halte im selben Gang den Drogenposten.
G475-R123	CATALOGUE_PROSE	Droge »opchor« mit Ausführungs- und Stufenvermerk.
G475-R124	ALREADY_FLUENT	Gib die Ansatzeinheit, den Drogenanteil und den Drogenposten zu.
G475-R125	GDT483_RETAINED	Wähle den Eintrag und markiere ihn – als Ausführung auf der zweiten Stufe.
G475-R126	ALREADY_FLUENT	Wähle den Drogenposten.
G475-R127	QUALIFIER_REORDERED	Nimm den Drogenposten als Ausführung auf Grad I.
G475-R128	CATALOGUE_PROSE	Droge »opor« mit Anteilsangabe.
G475-R129	OBJECT_REFERENCE_SMOOTHED	Setze den Drogeneintrag »dchos« als Ansatz an und halte ihn.
G475-R130	ALREADY_FLUENT	Setze den Drogenanteil als Ansatz an.
G475-R131	CATALOGUE_PROSE	Droge »yor« mit Anteilsangabe.
G475-R132	CATALOGUE_PROSE	Droge »ak« mit Ausführungsvermerk, Hier-Vermerk und Zielzuordnung.
G475-R133	COORDINATE_PROSE|ORDER_TRACE_SEPARATED	Danach führt die Adressspur vom Zielgefäß zum Drogenposten.
G475-R134	CATALOGUE_PROSE|DUPLICATE_COLLAPSED	Drogen »yt« und »em« mit Ausgangszuordnung.
G475-R135	COORDINATE_PROSE|CONTINUATION_SMOOTHED|ORDER_TRACE_SEPARATED	Die Adressspur wird danach fortgesetzt, führt zum Ausgangsgefäß und wird dort nochmals fortgesetzt.
