dictionary_entry_id	surfaces	component_recipe	atomic_pocket_sequence_de	observed_channel	observed_channel_reading_de	events	pages
P912-D0246	chty	CH+T+Y	AUSWAHL + EINSTELLUNG + DIES	WORKSHOP_PROSE	bezeichneten Anteil entnehmen; Arbeitsgang einstellen; dieser Arbeitsgegenstand	1	f10r
P912-D0750	os	OS	DAZU	WORKSHOP_PROSE	dazu oder außerdem	2	f10r,f55v
P912-D0062	chair	CH+AIR	AUSWAHL + LAUFWEG	WORKSHOP_PROSE	bezeichneten Anteil entnehmen; Flüssigkeits- oder Stationslauf	1	f10r
P912-D0875	otytchol	OT+Y+T+CH+OL	NAECHST + DIES + EINSTELLUNG + AUSWAHL + WEITER	WORKSHOP_PROSE	danach oder nächster Posten; dieser Arbeitsgegenstand; Arbeitsgang einstellen; bezeichneten Anteil entnehmen; im selben Arbeitsgang fortfahren	1	f10r
P912-D0668	oky	OK+Y	START + DIES	WORKSHOP_PROSE	Arbeitsgang ansetzen; dieser Arbeitsgegenstand	2	f10r,f55v
P912-D0289	daiin	AIIN	SOLLWERT	WORKSHOP_PROSE	Sollmaß	23	f10r,f11r,f13r,f55v,f56r
P912-D0401	etyd	E+T+Y	KURZ + EINSTELLUNG + DIES	WORKSHOP_PROSE	kurz oder direkt; Arbeitsgang einstellen; dieser Arbeitsgegenstand	1	f10r
P912-D1026	qotor	OT+OR	NAECHST + EINTRAG	WORKSHOP_PROSE	danach oder nächster Posten; Ansatz oder Zubereitung	3	f10r
P912-D0507	o	O	GANG	WORKSHOP_PROSE	Arbeitsgang ausführen	2	f10r,f56r
P912-D1250	tchy	T+Y	EINSTELLUNG + DIES	WORKSHOP_PROSE	Arbeitsgang einstellen; dieser Arbeitsgegenstand	1	f10r
P912-D0191	chocthy	CH+O+CTH+Y	AUSWAHL + GANG + BEREIT + DIES	WORKSHOP_PROSE	bezeichneten Anteil entnehmen; Arbeitsgang ausführen; bis bereit führen; dieser Arbeitsgegenstand	1	f10r
P912-D1015	qotchy	OT+Y	NAECHST + DIES	WORKSHOP_PROSE	danach oder nächster Posten; dieser Arbeitsgegenstand	5	f10r,f11r,f56r
P912-D0215	chol	OL	WEITER	WORKSHOP_PROSE	im selben Arbeitsgang fortfahren	11	f10r,f11r,f13r,f56r
P912-D0738	or	OR	EINTRAG	WORKSHOP_PROSE	Ansatz oder Zubereitung	6	f10r,f55v
P912-D1382	yty	Y+T+Y	DIES + EINSTELLUNG + DIES	WORKSHOP_PROSE	dieser Arbeitsgegenstand; Arbeitsgang einstellen; dieser Arbeitsgegenstand	2	f10r
P912-D0390	dy	Y	DIES	WORKSHOP_PROSE	dieser Arbeitsgegenstand	10	f10r,f11r,f13r,f56r
P912-D1213	sor	S+OR	WAHL + EINTRAG	WORKSHOP_PROSE	Arbeitsvariante auswählen; Ansatz oder Zubereitung	1	f10r
P912-D0061	chaiin	CH+AIIN	AUSWAHL + SOLLWERT	WORKSHOP_PROSE	bezeichneten Anteil entnehmen; Sollmaß	4	f10r,f11r,f55v
P912-D0082	chcthy	CH+CTH+Y	AUSWAHL + BEREIT + DIES	WORKSHOP_PROSE	bezeichneten Anteil entnehmen; bis bereit führen; dieser Arbeitsgegenstand	1	f10r
P912-D0271	ctho	CTH+O	BEREIT + GANG	WORKSHOP_PROSE	bis bereit führen; Arbeitsgang ausführen	2	f10r,f56r
P912-D0258	ckhy	CKH+Y	DURCHLASS + DIES	WORKSHOP_PROSE	durch einen Durchlass führen; dieser Arbeitsgegenstand	1	f10r
P912-D0003	aiin	AIIN	SOLLWERT	WORKSHOP_PROSE	Sollmaß	7	f10r,f55v,f56r
P912-D0243	chtchor	CH+T+CH+OR	AUSWAHL + EINSTELLUNG + AUSWAHL + EINTRAG	WORKSHOP_PROSE	bezeichneten Anteil entnehmen; Arbeitsgang einstellen; bezeichneten Anteil entnehmen; Ansatz oder Zubereitung	1	f10r
P912-D0365	doiir	D_ADDR+O+IIN+R	UNTER + GANG + STUFE + MARKE	WORKSHOP_PROSE	bezeichneter Teil; Arbeitsgang ausführen; Arbeitsstufe; Zustand kennzeichnen	1	f10r
P912-D0539	ody	O+DY	GANG + ENDE	WORKSHOP_PROSE	Arbeitsgang ausführen; Arbeitsschritt schließen	3	f10r,f55v
P912-D0947	qokchy	OK+Y	START + DIES	WORKSHOP_PROSE	Arbeitsgang ansetzen; dieser Arbeitsgegenstand	3	f10r,f13r,f55v
P912-D1013	qotchol	OT+CH+OL	NAECHST + AUSWAHL + WEITER	WORKSHOP_PROSE	danach oder nächster Posten; bezeichneten Anteil entnehmen; im selben Arbeitsgang fortfahren	2	f10r,f13r
P912-D0277	cthy	CTH+Y	BEREIT + DIES	WORKSHOP_PROSE	bis bereit führen; dieser Arbeitsgegenstand	7	f10r,f11r,f56r
P912-D1278	ycheor	Y+CHEO+R	DIES + AUSZUG + MARKE	WORKSHOP_PROSE	dieser Arbeitsgegenstand; Auszug; Zustand kennzeichnen	1	f10r
P912-D0226	chor	CH+OR	AUSWAHL + EINTRAG	WORKSHOP_PROSE	bezeichneten Anteil entnehmen; Ansatz oder Zubereitung	7	f10r,f13r,f56r
P912-D0267	cthaiin	CTH+AIIN	BEREIT + SOLLWERT	WORKSHOP_PROSE	bis bereit führen; Sollmaß	1	f10r
P912-D0920	qoctholy	CARRIER_Q+O+CTH+OL+Y	EINTRITT + GANG + BEREIT + WEITER + DIES	WORKSHOP_PROSE	neuen Kartenblock beginnen; Arbeitsgang ausführen; bis bereit führen; im selben Arbeitsgang fortfahren; dieser Arbeitsgegenstand	1	f10r
P912-D0248	chy	Y	DIES	WORKSHOP_PROSE	dieser Arbeitsgegenstand	6	f10r,f11r,f56r
P912-D1235	taiin	T+AIIN	EINSTELLUNG + SOLLWERT	WORKSHOP_PROSE	Arbeitsgang einstellen; Sollmaß	1	f10r
P912-D1187	shy	Y	DIES	WORKSHOP_PROSE	dieser Arbeitsgegenstand	4	f10r,f13r,f56r
P912-D0350	dchy	D_ADDR+Y	UNTER + DIES	WORKSHOP_PROSE	bezeichneter Teil; dieser Arbeitsgegenstand	2	f10r,f13r
P912-D0945	qokchol	OK+OL	START + WEITER	WORKSHOP_PROSE	Arbeitsgang ansetzen; im selben Arbeitsgang fortfahren	1	f10r
P912-D1272	y	Y	DIES	WORKSHOP_PROSE	dieser Arbeitsgegenstand	13	f10r,f11r,f13r,f55v,f56r
P912-D0419	kchaiin	K+CH+AIIN	ZUORDNUNG + AUSWAHL + SOLLWERT	WORKSHOP_PROSE	Material zugeben; bezeichneten Anteil entnehmen; Sollmaß	1	f10r
P912-D0266	cth	CTH	BEREIT	WORKSHOP_PROSE	bis bereit führen	1	f10r
P912-D0298	dain	AIN	EINHEIT	WORKSHOP_PROSE	Portion	2	f10r,f11r
P912-D0301	dair	D_ADDR+AIR	UNTER + LAUFWEG	WORKSHOP_PROSE	bezeichneter Teil; Flüssigkeits- oder Stationslauf	2	f10r,f11r
P912-D0033	am	AM_ADDR	INNEN	WORKSHOP_PROSE	Innenstelle	2	f10r,f55v
P912-D1014	qotchor	OT+CH+OR	NAECHST + AUSWAHL + EINTRAG	WORKSHOP_PROSE	danach oder nächster Posten; bezeichneten Anteil entnehmen; Ansatz oder Zubereitung	1	f10r
P912-D0849	otol	OT+OL	NAECHST + WEITER	WORKSHOP_PROSE	danach oder nächster Posten; im selben Arbeitsgang fortfahren	2	f10r,f11r
P912-D0221	cholor	OL+OR	WEITER + EINTRAG	WORKSHOP_PROSE	im selben Arbeitsgang fortfahren; Ansatz oder Zubereitung	1	f10r
P912-D0322	dar	D_ADDR+AR	UNTER + QUELLE	WORKSHOP_PROSE	bezeichneter Teil; Entnahmestelle	2	f10r,f13r
P912-D0877	oykchor	O+Y+K+CH+OR	GANG + DIES + ZUORDNUNG + AUSWAHL + EINTRAG	WORKSHOP_PROSE	Arbeitsgang ausführen; dieser Arbeitsgegenstand; Material zugeben; bezeichneten Anteil entnehmen; Ansatz oder Zubereitung	1	f10r
P912-D0409	kaiiin	K+A_ADDR+LOCAL_CHAR_I+IIN	ZUORDNUNG + ADRESSE + I + STUFE	WORKSHOP_PROSE	Material zugeben; lokale Arbeitsstelle; lokales Schreibzeichen; Arbeitsstufe	1	f10r
P912-D0193	chodaiin	CH+O+D_ADDR+AIIN	AUSWAHL + GANG + UNTER + SOLLWERT	WORKSHOP_PROSE	bezeichneten Anteil entnehmen; Arbeitsgang ausführen; bezeichneter Teil; Sollmaß	1	f10r
P912-D0736	oqotor	O+OT+OR	GANG + NAECHST + EINTRAG	WORKSHOP_PROSE	Arbeitsgang ausführen; danach oder nächster Posten; Ansatz oder Zubereitung	1	f10r
P912-D0857	otor	OT+OR	NAECHST + EINTRAG	WORKSHOP_PROSE	danach oder nächster Posten; Ansatz oder Zubereitung	1	f10r
P912-D0057	cfhy	CFH+Y	TRENNEN + DIES	WORKSHOP_PROSE	trennen; dieser Arbeitsgegenstand	2	f10r,f11r
P912-D0276	cthor	CTH+OR	BEREIT + EINTRAG	WORKSHOP_PROSE	bis bereit führen; Ansatz oder Zubereitung	1	f10r
P912-D0752	osain	O+S+AIN	GANG + WAHL + EINHEIT	WORKSHOP_PROSE	Arbeitsgang ausführen; Arbeitsvariante auswählen; Portion	1	f10r
P912-D1377	ytoiin	Y+T+O+IIN	DIES + EINSTELLUNG + GANG + STUFE	WORKSHOP_PROSE	dieser Arbeitsgegenstand; Arbeitsgang einstellen; Arbeitsgang ausführen; Arbeitsstufe	1	f10r
P912-D0801	otchoshor	OT+CH+O+SH+OR	NAECHST + AUSWAHL + GANG + HALT + EINTRAG	WORKSHOP_PROSE	danach oder nächster Posten; bezeichneten Anteil entnehmen; Arbeitsgang ausführen; Arbeitsgegenstand halten; Ansatz oder Zubereitung	1	f10r
P912-D1028	qoty	OT+Y	NAECHST + DIES	WORKSHOP_PROSE	danach oder nächster Posten; dieser Arbeitsgegenstand	3	f10r,f11r,f13r
P912-D0278	cthyd	CTH+Y+D_ADDR	BEREIT + DIES + UNTER	WORKSHOP_PROSE	bis bereit führen; dieser Arbeitsgegenstand; bezeichneter Teil	1	f10r
P912-D0785	otar	OT+AR	NAECHST + QUELLE	WORKSHOP_PROSE	danach oder nächster Posten; Entnahmestelle	3	f10r,f55v
P912-D0531	odaiin	O+D_ADDR+AIIN	GANG + UNTER + SOLLWERT	WORKSHOP_PROSE	Arbeitsgang ausführen; bezeichneter Teil; Sollmaß	1	f10r
P912-D1269	tshol	T+SH+OL	EINSTELLUNG + HALT + WEITER	WORKSHOP_PROSE	Arbeitsgang einstellen; Arbeitsgegenstand halten; im selben Arbeitsgang fortfahren	1	f11r
P912-D1105	schoal	SH+O+AL	HALT + GANG + ZIEL	WORKSHOP_PROSE	Arbeitsgegenstand halten; Arbeitsgang ausführen; Ziel- oder Anschlussstelle	1	f11r
P912-D1165	shfydaiin	SH+Y+AIIN	HALT + DIES + SOLLWERT	WORKSHOP_PROSE	Arbeitsgegenstand halten; dieser Arbeitsgegenstand; Sollmaß	1	f11r
P912-D0265	cphy	CPH+Y	GEGENLAUF + DIES	WORKSHOP_PROSE	umleiten; dieser Arbeitsgegenstand	1	f11r
P912-D1162	shey	SH+E+Y	HALT + KURZ + DIES	WORKSHOP_PROSE	Arbeitsgegenstand halten; kurz oder direkt; dieser Arbeitsgegenstand	2	f11r,f13r
P912-D1246	tchody	T+CH+O+DY	EINSTELLUNG + AUSWAHL + GANG + ENDE	WORKSHOP_PROSE	Arbeitsgang einstellen; bezeichneten Anteil entnehmen; Arbeitsgang ausführen; Arbeitsschritt schließen	1	f11r
P912-D1183	shoyty	SH+O+Y+T+Y	HALT + GANG + DIES + EINSTELLUNG + DIES	WORKSHOP_PROSE	Arbeitsgegenstand halten; Arbeitsgang ausführen; dieser Arbeitsgegenstand; Arbeitsgang einstellen; dieser Arbeitsgegenstand	1	f11r
P912-D1193	socthody	S+O+CTH+O+D_ADDR+Y	WAHL + GANG + BEREIT + GANG + UNTER + DIES	WORKSHOP_PROSE	Arbeitsvariante auswählen; Arbeitsgang ausführen; bis bereit führen; Arbeitsgang ausführen; bezeichneter Teil; dieser Arbeitsgegenstand	1	f11r
P912-D0923	qodor	CARRIER_Q+O+D_ADDR+OR	EINTRITT + GANG + UNTER + EINTRAG	WORKSHOP_PROSE	neuen Kartenblock beginnen; Arbeitsgang ausführen; bezeichneter Teil; Ansatz oder Zubereitung	1	f11r
P912-D0450	kshy	K+SH+Y	ZUORDNUNG + HALT + DIES	WORKSHOP_PROSE	Material zugeben; Arbeitsgegenstand halten; dieser Arbeitsgegenstand	1	f11r
P912-D1362	ytchy	Y+T+Y	DIES + EINSTELLUNG + DIES	WORKSHOP_PROSE	dieser Arbeitsgegenstand; Arbeitsgang einstellen; dieser Arbeitsgegenstand	2	f11r,f13r
P912-D1361	ytchoky	Y+T+OK+Y	DIES + EINSTELLUNG + START + DIES	WORKSHOP_PROSE	dieser Arbeitsgegenstand; Arbeitsgang einstellen; Arbeitsgang ansetzen; dieser Arbeitsgegenstand	1	f11r
P912-D0429	kchol	K+OL	ZUORDNUNG + WEITER	WORKSHOP_PROSE	Material zugeben; im selben Arbeitsgang fortfahren	4	f11r,f13r,f56r
P912-D0378	dor	D_ADDR+OR	UNTER + EINTRAG	WORKSHOP_PROSE	bezeichneter Teil; Ansatz oder Zubereitung	2	f11r,f13r
P912-D1345	ykychy	Y+K+Y+CH+Y	DIES + ZUORDNUNG + DIES + AUSWAHL + DIES	WORKSHOP_PROSE	dieser Arbeitsgegenstand; Material zugeben; dieser Arbeitsgegenstand; bezeichneten Anteil entnehmen; dieser Arbeitsgegenstand	1	f11r
P912-D0238	choty	CH+OT+Y	AUSWAHL + NAECHST + DIES	WORKSHOP_PROSE	bezeichneten Anteil entnehmen; danach oder nächster Posten; dieser Arbeitsgegenstand	2	f11r,f56r
P912-D0361	dod	D_ADDR+O+D_ADDR	UNTER + GANG + UNTER	WORKSHOP_PROSE	bezeichneter Teil; Arbeitsgang ausführen; bezeichneter Teil	1	f11r
P912-D0345	dchol	D_ADDR+OL	UNTER + WEITER	WORKSHOP_PROSE	bezeichneter Teil; im selben Arbeitsgang fortfahren	2	f11r,f13r
P912-D0431	kchy	K+Y	ZUORDNUNG + DIES	WORKSHOP_PROSE	Material zugeben; dieser Arbeitsgegenstand	3	f11r,f13r
P912-D1248	tchol	T+OL	EINSTELLUNG + WEITER	WORKSHOP_PROSE	Arbeitsgang einstellen; im selben Arbeitsgang fortfahren	3	f11r,f56r
P912-D0356	dky	D_ADDR+K+Y	UNTER + ZUORDNUNG + DIES	WORKSHOP_PROSE	bezeichneter Teil; Material zugeben; dieser Arbeitsgegenstand	1	f11r
P912-D0280	d	D_ADDR	UNTER	WORKSHOP_PROSE	bezeichneter Teil	5	f11r,f13r,f56r
P912-D0195	chodl	CH+O+D_ADDR+L	AUSWAHL + GANG + UNTER + VERBINDUNG	WORKSHOP_PROSE	bezeichneten Anteil entnehmen; Arbeitsgang ausführen; bezeichneter Teil; entlang des Arbeitswegs führen	1	f11r
P912-D0538	odl	O+D_ADDR+L	GANG + UNTER + VERBINDUNG	WORKSHOP_PROSE	Arbeitsgang ausführen; bezeichneter Teil; entlang des Arbeitswegs führen	1	f11r
P912-D1059	s	S	WAHL	WORKSHOP_PROSE	Arbeitsvariante auswählen	7	f11r,f13r,f55v,f56r
P912-D1312	ykchor	Y+K+CH+OR	DIES + ZUORDNUNG + AUSWAHL + EINTRAG	WORKSHOP_PROSE	dieser Arbeitsgegenstand; Material zugeben; bezeichneten Anteil entnehmen; Ansatz oder Zubereitung	1	f11r
P912-D0196	chody	CH+O+D_ADDR+Y	AUSWAHL + GANG + UNTER + DIES	WORKSHOP_PROSE	bezeichneten Anteil entnehmen; Arbeitsgang ausführen; bezeichneter Teil; dieser Arbeitsgegenstand	2	f11r,f56r
P912-D0601	okchol	OK+OL	START + WEITER	WORKSHOP_PROSE	Arbeitsgang ansetzen; im selben Arbeitsgang fortfahren	1	f11r
P912-D1267	torshor	T+OR+SH+OR	EINSTELLUNG + EINTRAG + HALT + EINTRAG	WORKSHOP_PROSE	Arbeitsgang einstellen; Ansatz oder Zubereitung; Arbeitsgegenstand halten; Ansatz oder Zubereitung	1	f13r
P912-D0729	opchy	O+P+Y	GANG + EINSATZ + DIES	WORKSHOP_PROSE	Arbeitsgang ausführen; Material einsetzen; dieser Arbeitsgegenstand	1	f13r
P912-D1176	shol	SH+OL	HALT + WEITER	WORKSHOP_PROSE	Arbeitsgegenstand halten; im selben Arbeitsgang fortfahren	3	f13r,f56r
P912-D0998	qopchy	O+P+Y	GANG + EINSATZ + DIES	WORKSHOP_PROSE	Arbeitsgang ausführen; Material einsetzen; dieser Arbeitsgegenstand	2	f13r
P912-D0728	opchor	O+P+CH+OR	GANG + EINSATZ + AUSWAHL + EINTRAG	WORKSHOP_PROSE	Arbeitsgang ausführen; Material einsetzen; bezeichneten Anteil entnehmen; Ansatz oder Zubereitung	1	f13r
P912-D0396	dypchy	D_ADDR+Y+P+Y	UNTER + DIES + EINSATZ + DIES	WORKSHOP_PROSE	bezeichneter Teil; dieser Arbeitsgegenstand; Material einsetzen; dieser Arbeitsgegenstand	1	f13r
P912-D0344	dchg	D_ADDR+CH+LOCAL_CHAR_G	UNTER + AUSWAHL + GLOKAL	WORKSHOP_PROSE	bezeichneter Teil; bezeichneten Anteil entnehmen; lokales Schreibzeichen	1	f13r
P912-D0369	dol	D_ADDR+OL	UNTER + WEITER	WORKSHOP_PROSE	bezeichneter Teil; im selben Arbeitsgang fortfahren	1	f13r
P912-D1166	shkchy	SH+K+Y	HALT + ZUORDNUNG + DIES	WORKSHOP_PROSE	Arbeitsgegenstand halten; Material zugeben; dieser Arbeitsgegenstand	1	f13r
P912-D1286	ydal	Y+AL	DIES + ZIEL	WORKSHOP_PROSE	dieser Arbeitsgegenstand; Ziel- oder Anschlussstelle	1	f13r
P912-D1314	ykchy	Y+K+Y	DIES + ZUORDNUNG + DIES	WORKSHOP_PROSE	dieser Arbeitsgegenstand; Material zugeben; dieser Arbeitsgegenstand	2	f13r
P912-D0346	dchor	D_ADDR+CH+OR	UNTER + AUSWAHL + EINTRAG	WORKSHOP_PROSE	bezeichneter Teil; bezeichneten Anteil entnehmen; Ansatz oder Zubereitung	1	f13r
P912-D1108	shaiin	SH+AIIN	HALT + SOLLWERT	WORKSHOP_PROSE	Arbeitsgegenstand halten; Sollmaß	1	f13r
P912-D0545	oeees	O+EEE+S	GANG + VOLL + WAHL	WORKSHOP_PROSE	Arbeitsgang ausführen; vollständig; Arbeitsvariante auswählen	1	f13r
P912-D1341	ykor	Y+K+OR	DIES + ZUORDNUNG + EINTRAG	WORKSHOP_PROSE	dieser Arbeitsgegenstand; Material zugeben; Ansatz oder Zubereitung	1	f13r
P912-D1381	ytshy	Y+T+Y	DIES + EINSTELLUNG + DIES	WORKSHOP_PROSE	dieser Arbeitsgegenstand; Arbeitsgang einstellen; dieser Arbeitsgegenstand	1	f13r
P912-D0922	qodchy	O+D_ADDR+Y	GANG + UNTER + DIES	WORKSHOP_PROSE	Arbeitsgang ausführen; bezeichneter Teil; dieser Arbeitsgegenstand	1	f13r
P912-D0800	otchor	OT+CH+OR	NAECHST + AUSWAHL + EINTRAG	WORKSHOP_PROSE	danach oder nächster Posten; bezeichneten Anteil entnehmen; Ansatz oder Zubereitung	2	f13r,f56r
P912-D1180	shorodo	SH+OR+O+D_ADDR+O	HALT + EINTRAG + GANG + UNTER + GANG	WORKSHOP_PROSE	Arbeitsgegenstand halten; Ansatz oder Zubereitung; Arbeitsgang ausführen; bezeichneter Teil; Arbeitsgang ausführen	1	f13r
P912-D1270	tshy	T+Y	EINSTELLUNG + DIES	WORKSHOP_PROSE	Arbeitsgang einstellen; dieser Arbeitsgegenstand	1	f13r
P912-D0382	dpchy	D_ADDR+P+Y	UNTER + EINSATZ + DIES	WORKSHOP_PROSE	bezeichneter Teil; Material einsetzen; dieser Arbeitsgegenstand	1	f13r
P912-D0798	otchol	OT+CH+OL	NAECHST + AUSWAHL + WEITER	WORKSHOP_PROSE	danach oder nächster Posten; bezeichneten Anteil entnehmen; im selben Arbeitsgang fortfahren	1	f13r
P912-D0056	cfholdy	CFH+OL+DY	TRENNEN + WEITER + ENDE	WORKSHOP_PROSE	trennen; im selben Arbeitsgang fortfahren; Arbeitsschritt schließen	1	f13r
P912-D1249	tchor	T+CH+OR	EINSTELLUNG + AUSWAHL + EINTRAG	WORKSHOP_PROSE	Arbeitsgang einstellen; bezeichneten Anteil entnehmen; Ansatz oder Zubereitung	1	f13r
P912-D0604	okchy	OK+Y	START + DIES	WORKSHOP_PROSE	Arbeitsgang ansetzen; dieser Arbeitsgegenstand	2	f13r,f56r
P912-D0602	okchor	OK+CH+OR	START + AUSWAHL + EINTRAG	WORKSHOP_PROSE	Arbeitsgang ansetzen; bezeichneten Anteil entnehmen; Ansatz oder Zubereitung	2	f13r
P912-D0564	oiin	O+IIN	GANG + STUFE	WORKSHOP_PROSE	Arbeitsgang ausführen; Arbeitsstufe	1	f13r
P912-D0076	chckhy	CKH+Y	DURCHLASS + DIES	WORKSHOP_PROSE	durch einen Durchlass führen; dieser Arbeitsgegenstand	2	f13r,f55v
P912-D0981	qoky	OK+Y	START + DIES	WORKSHOP_PROSE	Arbeitsgang ansetzen; dieser Arbeitsgegenstand	1	f13r
P912-D1029	qoy	O+Y	GANG + DIES	WORKSHOP_PROSE	Arbeitsgang ausführen; dieser Arbeitsgegenstand	1	f13r
P912-D0691	oldy	OL+DY	WEITER + ENDE	WORKSHOP_PROSE	im selben Arbeitsgang fortfahren; Arbeitsschritt schließen	3	f13r,f55v
P912-D0359	doaiin	D_ADDR+O+AIIN	UNTER + GANG + SOLLWERT	WORKSHOP_PROSE	bezeichneter Teil; Arbeitsgang ausführen; Sollmaß	1	f13r
P912-D1169	shochy	HO+Y	TEIL + DIES	WORKSHOP_PROSE	Teil des sichtbaren Gegenstands; dieser Arbeitsgegenstand	1	f13r
P912-D1266	torchy	T+OR+Y	EINSTELLUNG + EINTRAG + DIES	WORKSHOP_PROSE	Arbeitsgang einstellen; Ansatz oder Zubereitung; dieser Arbeitsgegenstand	1	f13r
P912-D0408	k	K	ZUORDNUNG	WORKSHOP_PROSE	Material zugeben	1	f13r
P912-D0598	okchey	OK+Y	START + DIES	WORKSHOP_PROSE	Arbeitsgang ansetzen; dieser Arbeitsgegenstand	1	f13r
P912-D0363	doiin	D_ADDR+O+IIN	UNTER + GANG + STUFE	WORKSHOP_PROSE	bezeichneter Teil; Arbeitsgang ausführen; Arbeitsstufe	1	f13r
P912-D1340	ykoly	Y+K+OL+Y	DIES + ZUORDNUNG + WEITER + DIES	WORKSHOP_PROSE	dieser Arbeitsgegenstand; Material zugeben; im selben Arbeitsgang fortfahren; dieser Arbeitsgegenstand	1	f13r
P912-D0592	okchal	OK+CH+AL	START + AUSWAHL + ZIEL	WORKSHOP_PROSE	Arbeitsgang ansetzen; bezeichneten Anteil entnehmen; Ziel- oder Anschlussstelle	1	f13r
P912-D0317	daldy	AL+DY	ZIEL + ENDE	WORKSHOP_PROSE	Ziel- oder Anschlussstelle; Arbeitsschritt schließen	1	f13r
P912-D1221	sotchy	S+OT+Y	WAHL + NAECHST + DIES	WORKSHOP_PROSE	Arbeitsvariante auswählen; danach oder nächster Posten; dieser Arbeitsgegenstand	1	f13r
P912-D0664	okorory	OK+OR+OR+Y	START + EINTRAG + EINTRAG + DIES	WORKSHOP_PROSE	Arbeitsgang ansetzen; Ansatz oder Zubereitung; Ansatz oder Zubereitung; dieser Arbeitsgegenstand	1	f13r
P912-D0424	kcheedchdy	K+CH+EE+D_ADDR+CHD+Y	ZUORDNUNG + AUSWAHL + LANG + UNTER + WECHSEL + DIES	WORKSHOP_PROSE	Material zugeben; bezeichneten Anteil entnehmen; länger oder gehalten; bezeichneter Teil; Arbeitsgut umsetzen; dieser Arbeitsgegenstand	1	f55v
P912-D0543	oedain	O+E+D_ADDR+AIN	GANG + KURZ + UNTER + EINHEIT	WORKSHOP_PROSE	Arbeitsgang ausführen; kurz oder direkt; bezeichneter Teil; Portion	1	f55v
P912-D0852	otoldaiin	OT+OL+D_ADDR+AIIN	NAECHST + WEITER + UNTER + SOLLWERT	WORKSHOP_PROSE	danach oder nächster Posten; im selben Arbeitsgang fortfahren; bezeichneter Teil; Sollmaß	1	f55v
P912-D0362	dodyd	D_ADDR+O+DY+D_LABEL	UNTER + GANG + ENDE + D	WORKSHOP_PROSE	bezeichneter Teil; Arbeitsgang ausführen; Arbeitsschritt schließen; lokales Schreibzeichen	1	f55v
P912-D0544	oeeed	O+EEE+D_ADDR	GANG + VOLL + UNTER	WORKSHOP_PROSE	Arbeitsgang ausführen; vollständig; bezeichneter Teil	1	f55v
P912-D1364	yteey	Y+T+EE+Y	DIES + EINSTELLUNG + LANG + DIES	WORKSHOP_PROSE	dieser Arbeitsgegenstand; Arbeitsgang einstellen; länger oder gehalten; dieser Arbeitsgegenstand	1	f55v
P912-D0614	okeedy	OK+EE+DY	START + LANG + ENDE	WORKSHOP_PROSE	Arbeitsgang ansetzen; länger oder gehalten; Arbeitsschritt schließen	1	f55v
