component	shelf	atomic_pocket_value_de	workshop_expansion_de	image_expansion_de	total_atom_occurrences	teaching_rule_de
AM_ADDR	FORMAL_ADDRESS_SIGN	INNEN	Innenstelle	Innenplatz	47	Merke nur INNEN; die konkrete Formulierung kommt aus Register und Nachbarkarten.
CHEO	PRODUCTIVE_CONTRAST_CORE	AUSZUG	Auszug	lokaler Eintrag	45	Merke nur AUSZUG; die konkrete Formulierung kommt aus Register und Nachbarkarten.
DA	PRODUCTIVE_CONTRAST_CORE	ZWEIT	zweite Arbeitsstufe	zweite Bildstufe	38	Merke nur ZWEIT; die konkrete Formulierung kommt aus Register und Nachbarkarten.
CARRIER_Q	LOCAL_WRITING_SIGN	EINTRITT	neuen Kartenblock beginnen	Eintrittsform einer Bildkarte	36	Merke nur EINTRITT; die konkrete Formulierung kommt aus Register und Nachbarkarten.
A_ADDR	FORMAL_ADDRESS_SIGN	ADRESSE	lokale Arbeitsstelle	lokale Bildadresse	35	Merke nur ADRESSE; die konkrete Formulierung kommt aus Register und Nachbarkarten.
AIR	PRODUCTIVE_CONTRAST_CORE	LAUFWEG	Flüssigkeits- oder Stationslauf	Ringlauf	33	Merke nur LAUFWEG; die konkrete Formulierung kommt aus Register und Nachbarkarten.
CHK	PRODUCTIVE_CONTRAST_CORE	BEHANDLUNG	Arbeitsgegenstand behandeln	Behandlungsklasse	30	Merke nur BEHANDLUNG; die konkrete Formulierung kommt aus Register und Nachbarkarten.
IIN	PRODUCTIVE_CONTRAST_CORE	STUFE	Arbeitsstufe	Wertstufe	26	Merke nur STUFE; die konkrete Formulierung kommt aus Register und Nachbarkarten.
S_ADDR	FORMAL_ADDRESS_SIGN	STERNORT	bezeichnete s-Stelle	Stern- oder s-Stelle	24	Merke nur STERNORT; die konkrete Formulierung kommt aus Register und Nachbarkarten.
SOLK	LEARNED_WORKSHOP_ROOT	SAMMELN	auffangen	Sammelstelle	22	Merke nur SAMMELN; die konkrete Formulierung kommt aus Register und Nachbarkarten.
EEE	PRODUCTIVE_CONTRAST_CORE	VOLL	vollständig	dritter oder voller Grad	18	Merke nur VOLL; die konkrete Formulierung kommt aus Register und Nachbarkarten.
LSH	LEARNED_WORKSHOP_ROOT	SPUELEN	spülen	Spülklasse	17	Merke nur SPUELEN; die konkrete Formulierung kommt aus Register und Nachbarkarten.
LOCAL_CHAR_F	LOCAL_WRITING_SIGN	F	lokales Schreibzeichen	lokales Bildzeichen	13	Merke nur F; die konkrete Formulierung kommt aus Register und Nachbarkarten.
CPH	LEARNED_WORKSHOP_ROOT	GEGENLAUF	umleiten	Gegenplatz	12	Merke nur GEGENLAUF; die konkrete Formulierung kommt aus Register und Nachbarkarten.
HO	LEARNED_WORKSHOP_ROOT	TEIL	Teil des sichtbaren Gegenstands	Teil oder Mitglied der Bildklasse	11	Merke nur TEIL; die konkrete Formulierung kommt aus Register und Nachbarkarten.
AN	LEARNED_WORKSHOP_ROOT	ZUSATZ	weiteren Posten zugeben	zusätzlicher Eintrag	9	Merke nur ZUSATZ; die konkrete Formulierung kommt aus Register und Nachbarkarten.
G_LABEL	LOCAL_WRITING_SIGN	G	lokales Schreibzeichen	lokales Bildzeichen	7	Merke nur G; die konkrete Formulierung kommt aus Register und Nachbarkarten.
CFH	LEARNED_WORKSHOP_ROOT	TRENNEN	trennen	Trennklasse	5	Merke nur TRENNEN; die konkrete Formulierung kommt aus Register und Nachbarkarten.
LOCAL_CHAR_G	LOCAL_WRITING_SIGN	GLOKAL	lokales Schreibzeichen	lokales Bildzeichen	5	Merke nur GLOKAL; die konkrete Formulierung kommt aus Register und Nachbarkarten.
LOCAL_CHAR_I	LOCAL_WRITING_SIGN	I	lokales Schreibzeichen	lokales Bildzeichen	5	Merke nur I; die konkrete Formulierung kommt aus Register und Nachbarkarten.
OS	LEARNED_WORKSHOP_ROOT	DAZU	dazu oder außerdem	zusätzlicher Bildposten	4	Merke nur DAZU; die konkrete Formulierung kommt aus Register und Nachbarkarten.
D_LABEL	LOCAL_WRITING_SIGN	D	lokales Schreibzeichen	lokales Bildzeichen	3	Merke nur D; die konkrete Formulierung kommt aus Register und Nachbarkarten.
S_LABEL	LOCAL_WRITING_SIGN	S	lokales Schreibzeichen	lokales Bildzeichen	3	Merke nur S; die konkrete Formulierung kommt aus Register und Nachbarkarten.
LOCAL_CHAR_B	LOCAL_WRITING_SIGN	B	lokales Schreibzeichen	lokales Bildzeichen	2	Merke nur B; die konkrete Formulierung kommt aus Register und Nachbarkarten.
M_LOCAL	LOCAL_WRITING_SIGN	M	lokales Schreibzeichen	lokales Bildzeichen	2	Merke nur M; die konkrete Formulierung kommt aus Register und Nachbarkarten.
Z_ADDR	FORMAL_ADDRESS_SIGN	ZORT	z-stelle	z-stelle	2	Merke nur ZORT; die konkrete Formulierung kommt aus Register und Nachbarkarten.
LD	LEARNED_WORKSHOP_ROOT	BEFESTIGEN	befestigen	Befestigungsstelle	1	Merke nur BEFESTIGEN; die konkrete Formulierung kommt aus Register und Nachbarkarten.
LOCAL_CHAR_J	LOCAL_WRITING_SIGN	J	lokales Schreibzeichen	lokales Bildzeichen	1	Merke nur J; die konkrete Formulierung kommt aus Register und Nachbarkarten.
LOCAL_CHAR_Z	LOCAL_WRITING_SIGN	ZLOKAL	lokales Schreibzeichen	lokales Bildzeichen	1	Merke nur ZLOKAL; die konkrete Formulierung kommt aus Register und Nachbarkarten.
RESUME_CARD	LEARNED_WORKSHOP_ROOT	WIEDER	vorigen Posten wieder aufnehmen	vorigen Bildbezug wieder aufnehmen	1	Merke nur WIEDER; die konkrete Formulierung kommt aus Register und Nachbarkarten.
