card_no	component_parse	invariant_card_reading_de	occurrences	records	pages	visible_surfaces	event_ids	cross_record	default_policy
PROC028	CFHY	auswringen	1	H3	f11r	cfhy	E041	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC029	SH+Y+AIIN	halten · dies · Maß	1	H3	f11r	shfydaiin	E042	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC030	P+Y	hinein · dies	1	H3	f11r	cphy	E043	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC031	WHOLE[cheey|shey]	Empfangsbestand	1	H3	f11r	shey	E044	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC032	T+CH+O+DY	eintragen · abziehen · Arbeitsgang · Schluss	1	H3	f11r	tchody	E045	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC033	SH+O+Y+T+Y	halten · Arbeitsgang · dies · eintragen · dies	1	H3	f11r	shoyty	E046	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC034	OL	fortsetzen	2	H3|H5	f11r|f56r	dchol|schol	E047|E083	YES	ONE_CARD_ONE_WORKSHOP_READING
PROC035	K+Y	zuführen · dies	1	H3	f11r	kchy	E049	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC036	OT+Y	danach · dies	1	H3	f11r	qotchy	E052	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC037	OK+OL	ansetzen · fortsetzen	1	H3	f11r	okchol	E053	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC038	OK+AIIN	ansetzen · Maß	1	H4	f55v	qokaiin	E056	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC039	Y+K+AIN	dies · zuführen · Portion	1	H4	f55v	ykain	E058	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC040	Y+K+AIN	dies · zuführen · Portion	1	H4	f55v	ykan	E059	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC041	O+DY	Arbeitsgang · Schluss	1	H4	f55v	ody	E060	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC042	CHD+Y	umsetzen · dies	1	H4	f55v	chedy	E062	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC043	TALAM	verwahren	1	H4	f55v	talam	E063	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC044	Y+K+AIIN	dies · zuführen · Maß	1	H4	f55v	ykaiin	E064	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC045	CHEO+AR	abziehen · kurz · Arbeitsgang · von dort	1	H4	f55v	cheoar	E065	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC046	CHK+EE+Y	wärmen · länger · dies	1	H4	f55v	cheeky	E066	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC047	OL+DY	fortsetzen · Schluss	1	H4	f55v	oldy	E067	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC048	OK+AL	ansetzen · Zielstelle	1	H4	f55v	okal	E069	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC049	OL+T+Y	fortsetzen · eintragen · dies	1	H4	f55v	oltchy	E070	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC050	OR+AIN	Ansatz · Portion	1	H4	f55v	orain	E073	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC051	HO+CH+OR	Gabe · abziehen · Ansatz	1	H5	f56r	chochor	E074	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC052	HO	Gabe	4	H5	f56r	cho|sho	E075|E078|E088|E094	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC053	HO+AL+Y	Gabe · Zielstelle · dies	1	H5	f56r	chodaly	E076	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC054	K+OL	zuführen · fortsetzen	1	H5	f56r	kchol	E079	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC055	AL	Zielstelle	1	H5	f56r	dal	E082	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC056	HO+Y	Gabe · dies	1	H5	f56r	choy	E084	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC057	CH+EE+CKH+O+DY	abziehen · länger · Durchlass · Arbeitsgang · Schluss	1	H5	f56r	cheeckhody	E086	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC058	SH	halten	1	H5	f56r	sh	E087	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC059	K+E+Y	zuführen · kurz · dies	1	H5	f56r	kchey	E089	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC060	OK+OK+Y	ansetzen · ansetzen · dies	1	H5	f56r	qokokchy	E090	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC061	OK+CHEO	ansetzen · abziehen · kurz · Arbeitsgang	1	H5	f56r	chokcheo	E092	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC062	K+AL	zuführen · Zielstelle	1	H5	f56r	kchal	E093	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC063	K+HO+AR	zuführen · Gabe · von dort	1	H5	f56r	kchoar	E096	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC064	OT+O+AIN	danach · Arbeitsgang · Portion	1	H5	f56r	sotodan	E097	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC065	OT+Y	danach · dies	1	H5	f56r	otchey	E098	NO	ONE_CARD_ONE_WORKSHOP_READING
PROC066	K+E+OL	zuführen · kurz · fortsetzen	1	H5	f56r	keol	E099	NO	ONE_CARD_ONE_WORKSHOP_READING
