old_teaching_unit_id	new_teaching_unit_id	surface	component_recipe	root_sum_default_de	old_specialist_headword_de	contextual_expansions_de	occurrences	pages	event_ids	new_status	scribe_instruction_de
W003	C-W003-01	kchal	K+CH+AL	GEBEN · NEHMEN · ZIEL	ABSEIHEN	abseihen	1	f56r	P912-E0412	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W004	C-W004-01	oltchy	OL+T+Y	FORTSETZEN · STELLEN · POSTEN	ANWÄRMEN	anwärmen	1	f55v	P912-E0322	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W004	C-W004-02	qotchol	OT+CH+OL	DANACH · NEHMEN · FORTSETZEN	ANWÄRMEN	anwärmen	1	f10r	P912-E0041	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W005	C-W005-01	sotodan	S+OT+O+D_ADDR+AN	AUSWÄHLEN · DANACH · AUSFÜHREN · TEIL · ZUSATZ	ANWENDEN	anwenden	1	f56r	P912-E0436	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W006	C-W006-01	raly	R+AL+Y	MERKEN · ZIEL · POSTEN	SEITENARM	Seitenarm	1	f83r	P912-E1735	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W007	C-W007-01	kchol	K+OL	GEBEN · FORTSETZEN	AUFLEGEN	auflegen	2	f56r	P912-E0378|P912-E0387	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W008	C-W008-01	shecthedchy	SH+E+CTH+CHD+Y	HALTEN · KURZ · BEREIT · UMSETZEN · POSTEN	AUFSTREICHEN	aufstreichen	1	f83r	P912-E1472	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W009	C-W009-01	cheeckhody	CH+EE+CKH+O+DY	NEHMEN · LÄNGER · DURCHLASS · AUSFÜHREN · SCHLUSS	AUFTRAGEN	auftragen	1	f56r	P912-E0385	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W010	C-W010-01	skar	K+AR	GEBEN · QUELLE	AUSGIESSEN	warm ausgießen	1	f83r	P912-E1716	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W011	C-W011-01	cfhy	CFH+Y	TRENNEN · POSTEN	AUSWRINGEN	auswringen	1	f11r	P912-E0095	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W012	C-W012-01	cheedar	EE+AR	LÄNGER · QUELLE	BECKEN	Sammelbecken	1	f83r	P912-E1548	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W012	C-W012-02	qolchey	OL+Y	FORTSETZEN · POSTEN	BECKEN	Becken	1	f83r	P912-E1624	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W013	C-W013-01	ls	OL	FORTSETZEN	DÜSE	Düse	1	f82r	P912-E1167	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W014	C-W014-01	dsheol	SH+E+OL	HALTEN · KURZ · FORTSETZEN	EINREIBEN	einreiben	1	f81v	P912-E1104	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W015	C-W015-01	dshedy	SH+E+DY	HALTEN · KURZ · SCHLUSS	FRISCHWASSER	Frischwasser	2	f82r	P912-E1160|P912-E1241	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W016	C-W016-01	ytey	T+E+Y	STELLEN · KURZ · POSTEN	FÜLLEN	füllen	1	f81v	P912-E1073	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W017	C-W017-01	keol	K+E+OL	GEBEN · KURZ · FORTSETZEN	ZUGABE	Gabe	1	f56r	P912-E0438	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W018	C-W018-01	os	OS	DAZU	GEFÄSS	Gefäß	1	f10r	P912-E0013	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W019	C-W019-01	octheol	O+CTH+E+OL	AUSFÜHREN · BEREIT · KURZ · FORTSETZEN	AUSGLEICHEN	gleichstellen	1	f82r	P912-E1136	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W020	C-W020-01	teol	E+OL	KURZ · FORTSETZEN	HAHN	Hahn	1	f81v	P912-E1080	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W021	C-W021-01	chealror	AL+R+OR	ZIEL · MERKEN · ANSATZ	KLARPUNKT	klar	1	f83r	P912-E1553	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W022	C-W022-01	cheey	SH+EE+Y	HALTEN · LÄNGER · POSTEN	KLARLAUF	Klarlauf	9	f82r|f83r	P912-E1118|P912-E1168|P912-E1174|P912-E1207|P912-E1232|P912-E1294|P912-E1350|P912-E1412|P912-E1647	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W022	C-W022-02	shey	SH+E+Y	HALTEN · KURZ · POSTEN	KLARLAUF	Klarlauf	6	f11r|f82r|f83r	P912-E0098|P912-E1120|P912-E1416|P912-E1578|P912-E1682|P912-E1695	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W023	C-W023-01	tshol	T+SH+OL	STELLEN · HALTEN · FORTSETZEN	KRAUT	Blütenkraut	1	f11r	P912-E0093	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W024	C-W024-01	ody	O+DY	AUSFÜHREN · SCHLUSS	KUEHLEN	kühlen	2	f55v	P912-E0258|P912-E0263	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W024	C-W024-02	tchody	T+CH+O+DY	STELLEN · NEHMEN · AUSFÜHREN · SCHLUSS	KUEHLEN	kalt stellen	1	f11r	P912-E0099	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W025	C-W025-01	sheckhal	SH+E+CKH+AL	HALTEN · KURZ · DURCHLASS · ZIEL	MITTELMASS	Mittelmaß	1	f81v	P912-E0922	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W026	C-W026-01	cphy	CPH+Y	UMLEITEN · POSTEN	NACHSEIHEN	nachseihen	1	f11r	P912-E0097	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W027	C-W027-01	qoctholy	CARRIER_Q+O+CTH+OL+Y	BEGINN · AUSFÜHREN · BEREIT · FORTSETZEN · POSTEN	PRESSEN	pressen	1	f10r	P912-E0048	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W028	C-W028-01	shoyty	SH+O+Y+T+Y	HALTEN · AUSFÜHREN · POSTEN · STELLEN · POSTEN	BLÜTENRESERVE	Blütenreserve	1	f11r	P912-E0100	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W029	C-W029-01	etyd	E+T+Y	KURZ · STELLEN · POSTEN	WURZELREST	Wurzelrest	1	f10r	P912-E0018	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W030	C-W030-01	qekey	E+K+E+Y	KURZ · GEBEN · KURZ · POSTEN	ROH	roh	1	f83r	P912-E1734	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W031	C-W031-01	ly	L+Y	LEITEN · POSTEN	AUFFANGSCHALE	Auffangschale	1	f81v	P912-E1082	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W032	C-W032-01	sshkchdy	SH+K+CHD+DY	HALTEN · GEBEN · UMSETZEN · SCHLUSS	SCHWENKEN	schwenken	1	f81v	P912-E1010	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W033	C-W033-01	cheeety	EEE+T+Y	VOLL · STELLEN · POSTEN	SPÜLUNG	erste Spülung	1	f83r	P912-E1585	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W033	C-W033-02	tshey	SH+E+Y	HALTEN · KURZ · POSTEN	SPÜLUNG	Spülwasser	1	f82r	P912-E1323	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W034	C-W034-01	sh	SH	HALTEN	STÄNGEL	Stängel	1	f56r	P912-E0406	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W035	C-W035-01	shfydaiin	SH+Y+AIIN	HALTEN · POSTEN · MASS	STEHZEIT	vorgeschriebene Stehzeit	1	f11r	P912-E0096	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W036	C-W036-01	lcheey	L+EE+Y	LEITEN · LÄNGER · POSTEN	STELLE	Nassstelle	1	f82r	P912-E1297	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W036	C-W036-02	qolky	SOLK+Y	AUFFANGEN · POSTEN	STELLE	Arbeitsstelle	1	f81v	P912-E1052	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W037	C-W037-01	schoal	SH+O+AL	HALTEN · AUSFÜHREN · ZIEL	WEINSUD	Weinsud	1	f11r	P912-E0094	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W038	C-W038-01	ches	CH+E+S	NEHMEN · KURZ · AUSWÄHLEN	TEILEN	gleichteilen	1	f82r	P912-E1327	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W039	C-W039-01	oykchor	O+Y+K+CH+OR	AUSFÜHREN · POSTEN · GEBEN · NEHMEN · ANSATZ	TOPF	Topf	1	f10r	P912-E0071	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W040	C-W040-01	kchy	K+Y	GEBEN · POSTEN	TRANK	Trank	1	f11r	P912-E0122	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W041	C-W041-01	dain	AIN	PORTION	TUCH	Tuch	3	f83r	P912-E1491|P912-E1635|P912-E1743	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W041	C-W041-02	solkaiin	SOLK+AIIN	AUFFANGEN · MASS	TUCH	Seihtuch	1	f82r	P912-E1132	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W042	C-W042-01	qockhey	O+CKH+E+Y	AUSFÜHREN · DURCHLASS · KURZ · POSTEN	ÜBERLAUF	Überlauf	1	f83r	P912-E1692	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W042	C-W042-02	sheckhy	SH+E+CKH+Y	HALTEN · KURZ · DURCHLASS · POSTEN	ÜBERLAUF	Überlauf	2	f82r	P912-E1141|P912-E1155	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W043	C-W043-01	talam	T+AL+AM_ADDR	STELLEN · ZIEL · INNEN	VERWAHREN	verwahren	1	f55v	P912-E0266	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W044	C-W044-01	dchol	D_ADDR+OL	TEIL · FORTSETZEN	VORPOSTEN	Voriges	1	f11r	P912-E0120	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W044	C-W044-02	schol	RESUME_CARD	WIEDER	VORPOSTEN	Voriges	1	f56r	P912-E0382	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W045	C-W045-01	qotedaiin	OT+E+AIIN	DANACH · KURZ · MASS	WANNE	Wanne	1	f83r	P912-E1604	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W046	C-W046-01	lol	L+OL	LEITEN · FORTSETZEN	WARMGRAD	warm	1	f83r	P912-E1725	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W046	C-W046-02	rol	R+OL	MERKEN · FORTSETZEN	WARMGRAD	warm	2	f81v	P912-E0879|P912-E1071	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W046	C-W046-03	shecthy	SH+E+CTH+Y	HALTEN · KURZ · BEREIT · POSTEN	WARMGRAD	handwarm	2	f83r	P912-E1539|P912-E1614	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W047	C-W047-01	rsheal	R+SH+E+AL	MERKEN · HALTEN · KURZ · ZIEL	WARMWASSER	Warmwasser	1	f82r	P912-E1333	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W048	C-W048-01	choy	HO+Y	TEILSTOFF · POSTEN	WASCHEN	waschen	1	f56r	P912-E0383	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W048	C-W048-02	lkedy	L+K+E+DY	LEITEN · GEBEN · KURZ · SCHLUSS	WASCHEN	nachwaschen	2	f83r	P912-E1594|P912-E1686	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W048	C-W048-03	rshedy	R+SHED+DY	MERKEN · ABSETZEN · SCHLUSS	WASCHEN	Waschgang	1	f82r	P912-E1336	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W049	C-W049-01	dchey	CH+E+Y	NEHMEN · KURZ · POSTEN	WURZEL	Wurzel	1	f10r	P912-E0009	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W050	C-W050-01	chckhal	CH+CKH+AL	NEHMEN · DURCHLASS · ZIEL	HALTEZEIT	Haltezeit	1	f83r	P912-E1697	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W051	C-W051-01	kchey	K+CH+E+Y	GEBEN · NEHMEN · KURZ · POSTEN	ZERREIBEN	zerreiben	1	f56r	P912-E0408	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
