multi_anchor_line_id	page	physical_folio	locus	line_number	section	language	hand	paragraph_start_line	paragraph_end_line	line_token_count	distinct_exact_anchor_count	exact_anchor_occurrence_count	exact_anchor_surfaces	exact_anchor_ordinals	exact_anchor_counts	written_line_eva	reader_exact_anchor_positions	confirmed_plaintext	component_export_credit
G768-M18	f36r	f36	f36r.1	1	H	A	1	1	0	9	2	2	cthy|dair	8|9	"{""cthy"":1,""dair"":1}"	pcha dan qorain chcfhal soiin cphor shaiin cthy dair	1	0	0
G768-M19	f3r	f3	f3r.19	19	H	A	1	0	0	9	3	3	dair|chor|cthy	5|8|9	"{""chor"":1,""cthy"":1,""dair"":1}"	otchor ol cheor qoeor dair qoteol qosaiin chor cthy	1	0	0
G768-M20	f3v	f3	f3v.9	9	H	A	1	0	0	5	2	2	chor|cthy	4|5	"{""chor"":1,""cthy"":1}"	ytcheear okeol cthodoaly chor cthy	1	0	0
G768-M21	f45v	f45	f45v.2	2	H	A	1	0	0	10	2	2	chor|cthy	2|4	"{""chor"":1,""cthy"":1}"	okol chor daiin cthy okchol chom okolor dy okchol s	1	0	0
G768-M22	f4r	f4	f4r.8	8	H	A	1	0	0	5	2	2	shor|cthy	1|4	"{""cthy"":1,""shor"":1}"	shor shol shol cthy cpholdy	1	0	0
G768-M23	f52r	f52	f52r.5	5	H	A	1	0	0	8	2	2	chor|shor	2|5	"{""chor"":1,""shor"":1}"	oky chor okchal okchar shor tol ykair ytchdam	1	0	0
G768-M24	f6r	f6	f6r.2	2	H	A	1	0	0	8	2	3	chor|chor|cthy	3|4|6	"{""chor"":2,""cthy"":1}"	daiin chckhy chor chor kar cthy cthor chotols	1	0	0
G768-M25	f6r	f6	f6r.12	12	H	A	1	0	0	5	2	2	chor|cthy	4|5	"{""chor"":1,""cthy"":1}"	or shol cthom chor cthy	1	0	0
G768-M26	f6v	f6	f6v.13	13	H	A	1	0	0	6	2	2	cthy|chor	2|4	"{""chor"":1,""cthy"":1}"	yodaiin cthy s chor oees or	1	0	0
G768-M27	f85r1	f85	f85r1.17	17	T	B	2	1	0	10	2	2	shor|dair	4|6	"{""dair"":1,""shor"":1}"	polky shey olkedaiin shor cphedy dair shy opchey shtor aiinsham	1	0	0
G768-M28	f86v5	f86	f86v5.10	10	T	B	2	0	0	11	2	2	shor|chor	5|7	"{""chor"":1,""shor"":1}"	ykar olkal kar shedy shor qokar chor or ykaiin otam ytam	1	0	0
G768-M29	f8r	f8	f8r.1	1	H	A	1	1	0	9	2	2	chor|shor	2|9	"{""chor"":1,""shor"":1}"	pshol chor otshal chopy cphol chody shy cfhodar shor	1	0	0
G768-M30	f8v	f8	f8v.2	2	H	A	1	0	0	8	2	2	chor|shor	3|5	"{""chor"":1,""shor"":1}"	shcthal sar chor sheaiin shor chykchy otaiin y	1	0	0
G768-M31	f9r	f9	f9r.1	1	H	A	1	1	0	10	2	2	shor|cthy	9|10	"{""cthy"":1,""shor"":1}"	tydlo choly cthor orchey s shy odaiin sary shor cthy	1	0	0
G768-M32	f9r	f9	f9r.5	5	H	A	1	0	1	10	2	2	chor|cthy	2|4	"{""chor"":1,""cthy"":1}"	daiin chor sor cthy chokoiin shol dsholdy otchol ot dy	1	0	0
G768-M33	f9v	f9	f9v.3	3	H	A	1	0	0	9	2	2	chor|cthy	2|5	"{""chor"":1,""cthy"":1}"	ykey chor ykaiin daiin cthy otaiin oky oeees daiin	1	0	0
