locus_row	diagram_id	page	locus	local_namespace	groups	group_serials	atomic_reading_de	celestial_context_reading_de	orientation	cross_instrument_join	owner_class	owner_code	concrete_owner_de	dies_resolves_to_de	dort_quelle_resolves_to_de	stelle_resolves_to_de	owner_status	owner_expanded_reading_de	referent_rule	active_before_de	referent_resolved_locus_de	cross_locus_pronoun_carry
11	A1	f67r2	f67r2.11	A67_RIGHT_CELESTIAL_WHEEL	3	24|25|26	anheben + dies; dies + zufuehren + entnehmen + Sternbezug; dies	Stufe anheben; dieser Eintrag. dieser Eintrag; zuordnen; Eintrag entnehmen; Sternbezug. dieser Eintrag.	UNSPECIFIED	NONE	A1_RIGHT_SECTOR	A1_RIGHT_SECTOR_SLOT_11	Sektorplatz 11 des rechten Rades	Wert am rechten Sektorplatz 11	Sektorplatz 11 des rechten Rades	Sektorplatz 11 des rechten Rades	DIRECT_VISIBLE	Bei Sektorplatz 11 des rechten Rades: Stufe anheben; Wert am rechten Sektorplatz 11. Wert am rechten Sektorplatz 11; zuordnen; Wert am rechten Sektorplatz 11 entnehmen; Sternbezug. Wert am rechten Sektorplatz 11.	RESET_AT_EACH_VISIBLE_LOCUS	Wert am rechten Sektorplatz 11	Bei Sektorplatz 11 des rechten Rades: Stufe anheben; Wert am rechten Sektorplatz 11. Wert am rechten Sektorplatz 11; zuordnen; Wert am rechten Sektorplatz 11 entnehmen; Sternbezug. Wert am rechten Sektorplatz 11.	NONE
12	A1	f67r2	f67r2.12	A67_RIGHT_CELESTIAL_WHEEL	2	27|28	dies + zufuehren + laenger + Sternbezug; dies + zufuehren + Gabe + Sternbezug	dieser Eintrag; zuordnen; lange Stufe; Sternbezug. dieser Eintrag; zuordnen; Eintrag; Sternbezug.	UNSPECIFIED	NONE	A1_RIGHT_SECTOR	A1_RIGHT_SECTOR_SLOT_12	Sektorplatz 12 des rechten Rades	Wert am rechten Sektorplatz 12	Sektorplatz 12 des rechten Rades	Sektorplatz 12 des rechten Rades	DIRECT_VISIBLE	Bei Sektorplatz 12 des rechten Rades: Wert am rechten Sektorplatz 12; zuordnen; lange Stufe; Sternbezug. Wert am rechten Sektorplatz 12; zuordnen; Wert am rechten Sektorplatz 12; Sternbezug.	RESET_AT_EACH_VISIBLE_LOCUS	Wert am rechten Sektorplatz 12	Bei Sektorplatz 12 des rechten Rades: Wert am rechten Sektorplatz 12; zuordnen; lange Stufe; Sternbezug. Wert am rechten Sektorplatz 12; zuordnen; Wert am rechten Sektorplatz 12; Sternbezug.	NONE
13	A1	f67r2	f67r2.13	A67_RIGHT_CELESTIAL_WHEEL	4	29|30|31|32	Arbeitsgang + hinein + Arbeitsgang + fortsetzen; Sternbezug; Portion; Stelle + Schluss	Lesegang; hinein; Lesegang; weiterzaehlen. Sternbezug. Teilwert. Position; Eintrag schliessen.	UNSPECIFIED	NONE	A1_RIGHT_RING	A1_RIGHT_RING_BAND_01	Ringband 1 des rechten Rades	Ringwert 1 des rechten Rades	Ringband 1 des rechten Rades	Ringband 1 des rechten Rades	INHERITED_VISIBLE	Bei Ringband 1 des rechten Rades: Lesegang; hinein; Lesegang; weiterzaehlen. Sternbezug. Teilwert. Ringband 1 des rechten Rades; Ringwert 1 des rechten Rades schliessen.	RESET_AT_EACH_VISIBLE_LOCUS	Ringwert 1 des rechten Rades	Bei Ringband 1 des rechten Rades: Lesegang; hinein; Lesegang; weiterzaehlen. Sternbezug. Teilwert. Ringband 1 des rechten Rades; Ringwert 1 des rechten Rades schliessen.	NONE
14	A1	f67r2	f67r2.14	A67_RIGHT_CELESTIAL_WHEEL	3	33|34|35	Sternbezug + Arbeitsgang + laenger + dies; Teiladresse + Arbeitsgang + Sollstufe; fortsetzen; Schluss	Sternbezug; Lesegang; lange Stufe; dieser Eintrag. Teiladresse; Lesegang; Sollstufe. weiterzaehlen; Eintrag schliessen.	UNSPECIFIED	NONE	A1_RIGHT_RING	A1_RIGHT_RING_BAND_02	Ringband 2 des rechten Rades	Ringwert 2 des rechten Rades	Ringband 2 des rechten Rades	Ringband 2 des rechten Rades	INHERITED_VISIBLE	Bei Ringband 2 des rechten Rades: Sternbezug; Lesegang; lange Stufe; Ringwert 2 des rechten Rades. Teiladresse; Lesegang; Sollstufe. weiterzaehlen; Ringwert 2 des rechten Rades schliessen.	RESET_AT_EACH_VISIBLE_LOCUS	Ringwert 2 des rechten Rades	Bei Ringband 2 des rechten Rades: Sternbezug; Lesegang; lange Stufe; Ringwert 2 des rechten Rades. Teiladresse; Lesegang; Sollstufe. weiterzaehlen; Ringwert 2 des rechten Rades schliessen.	NONE
15	A1	f67r2	f67r2.15	A67_LEFT_CELESTIAL_WHEEL	1	36	Teiladresse + fortsetzen + entnehmen + Sternbezug + Arbeitsgang + Schluss	Teiladresse; weiterzaehlen; Eintrag entnehmen; Sternbezug; Lesegang; Eintrag schliessen.	UNSPECIFIED	NONE	A1_LEFT_FIELD	A1_LEFT_LOCAL_FIELD_15	Feld 15 des linken Rades	Wert im linken Feld 15	Feld 15 des linken Rades	Feld 15 des linken Rades	INHERITED_VISIBLE	Bei Feld 15 des linken Rades: Teiladresse; weiterzaehlen; Wert im linken Feld 15 entnehmen; Sternbezug; Lesegang; Wert im linken Feld 15 schliessen.	RESET_AT_EACH_VISIBLE_LOCUS	Wert im linken Feld 15	Bei Feld 15 des linken Rades: Teiladresse; weiterzaehlen; Wert im linken Feld 15 entnehmen; Sternbezug; Lesegang; Wert im linken Feld 15 schliessen.	NONE
16	A1	f67r2	f67r2.16	A67_LEFT_CELESTIAL_WHEEL	4	37|38|39|40	Arbeitsgang + Teiladresse + Nebenadresse + kurz + Sollstufe; ansetzen + Arbeitsgang + kurz + Sternbezug; Arbeitsgang + kurz + zufuehren + Portion; dies	Lesegang; Teiladresse; Nebenadresse; kurze Stufe; Sollstufe. markieren; Lesegang; kurze Stufe; Sternbezug. Lesegang; kurze Stufe; zuordnen; Teilwert. dieser Eintrag.	UNSPECIFIED	NONE	A1_LEFT_FIELD	A1_LEFT_LOCAL_FIELD_16	Feld 16 des linken Rades	Wert im linken Feld 16	Feld 16 des linken Rades	Feld 16 des linken Rades	INHERITED_VISIBLE	Bei Feld 16 des linken Rades: Lesegang; Teiladresse; Nebenadresse; kurze Stufe; Sollstufe. markieren; Lesegang; kurze Stufe; Sternbezug. Lesegang; kurze Stufe; zuordnen; Teilwert. Wert im linken Feld 16.	RESET_AT_EACH_VISIBLE_LOCUS	Wert im linken Feld 16	Bei Feld 16 des linken Rades: Lesegang; Teiladresse; Nebenadresse; kurze Stufe; Sollstufe. markieren; Lesegang; kurze Stufe; Sternbezug. Lesegang; kurze Stufe; zuordnen; Teilwert. Wert im linken Feld 16.	NONE
17	A1	f67r2	f67r2.17	A67_LEFT_CELESTIAL_WHEEL	3	41|42|43	nächster Posten; Ansatz + Nebenadresse + Zaehlstrich + Zaehlstrich + senken; dies	naechster Eintrag; dieser Eintrag. Einstellung; Nebenadresse; Zaehlstrich; Zaehlstrich; senken. dieser Eintrag.	UNSPECIFIED	NONE	A1_LEFT_FIELD	A1_LEFT_LOCAL_FIELD_17	Feld 17 des linken Rades	Wert im linken Feld 17	Feld 17 des linken Rades	Feld 17 des linken Rades	INHERITED_VISIBLE	Bei Feld 17 des linken Rades: naechster Wert im linken Feld 17; Wert im linken Feld 17. Einstellung; Nebenadresse; Zaehlstrich; Zaehlstrich; senken. Wert im linken Feld 17.	RESET_AT_EACH_VISIBLE_LOCUS	Wert im linken Feld 17	Bei Feld 17 des linken Rades: naechster Wert im linken Feld 17; Wert im linken Feld 17. Einstellung; Nebenadresse; Zaehlstrich; Zaehlstrich; senken. Wert im linken Feld 17.	NONE
18	A1	f67r2	f67r2.18	A67_LEFT_CELESTIAL_WHEEL	3	44|45|46	Arbeitsgang + hinein + dies; Mass; Stelle	Lesegang; hinein; dieser Eintrag. Wert. Position.	UNSPECIFIED	NONE	A1_LEFT_FIELD	A1_LEFT_LOCAL_FIELD_18	Feld 18 des linken Rades	Wert im linken Feld 18	Feld 18 des linken Rades	Feld 18 des linken Rades	INHERITED_VISIBLE	Bei Feld 18 des linken Rades: Lesegang; hinein; Wert im linken Feld 18. Wert. Feld 18 des linken Rades.	RESET_AT_EACH_VISIBLE_LOCUS	Wert im linken Feld 18	Bei Feld 18 des linken Rades: Lesegang; hinein; Wert im linken Feld 18. Wert. Feld 18 des linken Rades.	NONE
19	A1	f67r2	f67r2.19	A67_LEFT_CELESTIAL_WHEEL	4	47|48|49|50	dies + Teiladresse + Gabe + Sternbezug; Portion; von dort; Gegenfeld + dies	dieser Eintrag; Teiladresse; Eintrag; Sternbezug. Teilwert. von dieser Position. Gegenfeld; dieser Eintrag.	UNSPECIFIED	NONE	A1_LEFT_FIELD	A1_LEFT_LOCAL_FIELD_19	Feld 19 des linken Rades	Wert im linken Feld 19	Feld 19 des linken Rades	Feld 19 des linken Rades	INHERITED_VISIBLE	Bei Feld 19 des linken Rades: Wert im linken Feld 19; Teiladresse; Wert im linken Feld 19; Sternbezug. Teilwert. von Feld 19 des linken Rades. Gegenfeld; Wert im linken Feld 19.	RESET_AT_EACH_VISIBLE_LOCUS	Wert im linken Feld 19	Bei Feld 19 des linken Rades: Wert im linken Feld 19; Teiladresse; Wert im linken Feld 19; Sternbezug. Teilwert. von Feld 19 des linken Rades. Gegenfeld; Wert im linken Feld 19.	NONE
20	A1	f67r2	f67r2.20	A67_LEFT_CELESTIAL_WHEEL	2	51|52	Gabe + Sternhaufen + dies; von dort + Stelle	Eintrag; Sternhaufen; dieser Eintrag. von dieser Position; Position.	UNSPECIFIED	NONE	A1_LEFT_FIELD	A1_LEFT_LOCAL_FIELD_20	Feld 20 des linken Rades	Wert im linken Feld 20	Feld 20 des linken Rades	Feld 20 des linken Rades	INHERITED_VISIBLE	Bei Feld 20 des linken Rades: Wert im linken Feld 20; Sternhaufen; Wert im linken Feld 20. von Feld 20 des linken Rades; Feld 20 des linken Rades.	RESET_AT_EACH_VISIBLE_LOCUS	Wert im linken Feld 20	Bei Feld 20 des linken Rades: Wert im linken Feld 20; Sternhaufen; Wert im linken Feld 20. von Feld 20 des linken Rades; Feld 20 des linken Rades.	NONE
21	A1	f67r2	f67r2.21	A67_LEFT_CELESTIAL_WHEEL	3	53|54|55	Sternbezug + Portion; Gegenfeld; von dort	Sternbezug; Teilwert. Gegenfeld. von dieser Position.	UNSPECIFIED	NONE	A1_LEFT_FIELD	A1_LEFT_LOCAL_FIELD_21	Feld 21 des linken Rades	Wert im linken Feld 21	Feld 21 des linken Rades	Feld 21 des linken Rades	INHERITED_VISIBLE	Bei Feld 21 des linken Rades: Sternbezug; Teilwert. Gegenfeld. von Feld 21 des linken Rades.	RESET_AT_EACH_VISIBLE_LOCUS	Wert im linken Feld 21	Bei Feld 21 des linken Rades: Sternbezug; Teilwert. Gegenfeld. von Feld 21 des linken Rades.	NONE
22	A1	f67r2	f67r2.22	A67_LEFT_CELESTIAL_WHEEL	1	56	an die Stelle setzen	markieren; Position.	UNSPECIFIED	NONE	A1_LEFT_FIELD	A1_LEFT_LOCAL_FIELD_22	Feld 22 des linken Rades	Wert im linken Feld 22	Feld 22 des linken Rades	Feld 22 des linken Rades	INHERITED_VISIBLE	Bei Feld 22 des linken Rades: markieren; Feld 22 des linken Rades.	RESET_AT_EACH_VISIBLE_LOCUS	Wert im linken Feld 22	Bei Feld 22 des linken Rades: markieren; Feld 22 des linken Rades.	NONE
23	A1	f67r2	f67r2.23	A67_LEFT_CELESTIAL_WHEEL	2	57|58	Arbeitsgang + hinein + von dort + dies; Stelle + Sternbezug + Portion	Lesegang; hinein; von dieser Position; dieser Eintrag. Position; Sternbezug; Teilwert.	UNSPECIFIED	NONE	A1_LEFT_FIELD	A1_LEFT_LOCAL_FIELD_23	Feld 23 des linken Rades	Wert im linken Feld 23	Feld 23 des linken Rades	Feld 23 des linken Rades	INHERITED_VISIBLE	Bei Feld 23 des linken Rades: Lesegang; hinein; von Feld 23 des linken Rades; Wert im linken Feld 23. Feld 23 des linken Rades; Sternbezug; Teilwert.	RESET_AT_EACH_VISIBLE_LOCUS	Wert im linken Feld 23	Bei Feld 23 des linken Rades: Lesegang; hinein; von Feld 23 des linken Rades; Wert im linken Feld 23. Feld 23 des linken Rades; Sternbezug; Teilwert.	NONE
24	A1	f67r2	f67r2.24	A67_LEFT_CELESTIAL_WHEEL	3	59|60|61	Sternbezug + Arbeitsgang + von dort; Arbeitsgang + Aussenbezug + von dort; von dort	Sternbezug; Lesegang; von dieser Position. Lesegang; Aussenbezug; von dieser Position. von dieser Position.	UNSPECIFIED	NONE	A1_LEFT_FIELD	A1_LEFT_LOCAL_FIELD_24	Feld 24 des linken Rades	Wert im linken Feld 24	Feld 24 des linken Rades	Feld 24 des linken Rades	INHERITED_VISIBLE	Bei Feld 24 des linken Rades: Sternbezug; Lesegang; von Feld 24 des linken Rades. Lesegang; Aussenbezug; von Feld 24 des linken Rades. von Feld 24 des linken Rades.	RESET_AT_EACH_VISIBLE_LOCUS	Wert im linken Feld 24	Bei Feld 24 des linken Rades: Sternbezug; Lesegang; von Feld 24 des linken Rades. Lesegang; Aussenbezug; von Feld 24 des linken Rades. von Feld 24 des linken Rades.	NONE
25	A1	f67r2	f67r2.25	A67_LEFT_CELESTIAL_WHEEL	1	62	dies + Teiladresse + Gegenfeld	dieser Eintrag; Teiladresse; Gegenfeld.	UNSPECIFIED	NONE	A1_LEFT_FIELD	A1_LEFT_LOCAL_FIELD_25	Feld 25 des linken Rades	Wert im linken Feld 25	Feld 25 des linken Rades	Feld 25 des linken Rades	INHERITED_VISIBLE	Bei Feld 25 des linken Rades: Wert im linken Feld 25; Teiladresse; Gegenfeld.	RESET_AT_EACH_VISIBLE_LOCUS	Wert im linken Feld 25	Bei Feld 25 des linken Rades: Wert im linken Feld 25; Teiladresse; Gegenfeld.	NONE
26	A1	f67r2	f67r2.26	A67_LEFT_CELESTIAL_WHEEL	3	63|64|65	dies + eintragen + kurz + Arbeitsgang + Ansatz; dies + eintragen + Arbeitsgang; dies + zufuehren + Ansatz	dieser Eintrag; eintragen; kurze Stufe; Lesegang; Einstellung. dieser Eintrag; eintragen; Lesegang. dieser Eintrag; zuordnen; Einstellung.	UNSPECIFIED	NONE	A1_LEFT_FIELD	A1_LEFT_LOCAL_FIELD_26	Feld 26 des linken Rades	Wert im linken Feld 26	Feld 26 des linken Rades	Feld 26 des linken Rades	INHERITED_VISIBLE	Bei Feld 26 des linken Rades: Wert im linken Feld 26; eintragen; kurze Stufe; Lesegang; Einstellung. Wert im linken Feld 26; eintragen; Lesegang. Wert im linken Feld 26; zuordnen; Einstellung.	RESET_AT_EACH_VISIBLE_LOCUS	Wert im linken Feld 26	Bei Feld 26 des linken Rades: Wert im linken Feld 26; eintragen; kurze Stufe; Lesegang; Einstellung. Wert im linken Feld 26; eintragen; Lesegang. Wert im linken Feld 26; zuordnen; Einstellung.	NONE
27	A1	f67r2	f67r2.27	A67_LEFT_CELESTIAL_WHEEL	4	66|67|68|69	ansetzen + kurz + Arbeitsgang; senken; Mass; Gegenfeld	markieren; kurze Stufe; Lesegang. senken. Wert. Gegenfeld.	UNSPECIFIED	NONE	A1_LEFT_FIELD	A1_LEFT_LOCAL_FIELD_27	Feld 27 des linken Rades	Wert im linken Feld 27	Feld 27 des linken Rades	Feld 27 des linken Rades	INHERITED_VISIBLE	Bei Feld 27 des linken Rades: markieren; kurze Stufe; Lesegang. senken. Wert. Gegenfeld.	RESET_AT_EACH_VISIBLE_LOCUS	Wert im linken Feld 27	Bei Feld 27 des linken Rades: markieren; kurze Stufe; Lesegang. senken. Wert. Gegenfeld.	NONE
28	A1	f67r2	f67r2.28	A67_LEFT_CELESTIAL_WHEEL	2	70|71	eine Portion zugeben; Gegenfeld	markieren; Teilwert. Gegenfeld.	UNSPECIFIED	NONE	A1_LEFT_FIELD	A1_LEFT_LOCAL_FIELD_28	Feld 28 des linken Rades	Wert im linken Feld 28	Feld 28 des linken Rades	Feld 28 des linken Rades	INHERITED_VISIBLE	Bei Feld 28 des linken Rades: markieren; Teilwert. Gegenfeld.	RESET_AT_EACH_VISIBLE_LOCUS	Wert im linken Feld 28	Bei Feld 28 des linken Rades: markieren; Teilwert. Gegenfeld.	NONE
29	A1	f67r2	f67r2.29	A67_LEFT_CELESTIAL_WHEEL	2	72|73	dies + eintragen + Arbeitsgang + dies; Mass	dieser Eintrag; eintragen; Lesegang; dieser Eintrag. Wert.	UNSPECIFIED	NONE	A1_LEFT_FIELD	A1_LEFT_LOCAL_FIELD_29	Feld 29 des linken Rades	Wert im linken Feld 29	Feld 29 des linken Rades	Feld 29 des linken Rades	INHERITED_VISIBLE	Bei Feld 29 des linken Rades: Wert im linken Feld 29; eintragen; Lesegang; Wert im linken Feld 29. Wert.	RESET_AT_EACH_VISIBLE_LOCUS	Wert im linken Feld 29	Bei Feld 29 des linken Rades: Wert im linken Feld 29; eintragen; Lesegang; Wert im linken Feld 29. Wert.	NONE
