surface	occurrence_count	pages	registers	content_classes	decision_tier	semantic_status	selected_recipe_or_whole_class	short_default_de	confidence	source_event_ids
cheosdy	1	f88v	PHARMA	DRUG_OR_INGREDIENT_OBJECT	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::DRUG_OR_INGREDIENT_OBJECT	DROGENNAME	CONCRETE_OWNER_DEFAULT	P1003-E0460
ches	2	f72r|f89r	CELESTIAL|PHARMA	DRUG_OR_INGREDIENT_OBJECT|STAR_BEARING_RING_POSITION	A_EXACT_RUNNING_FORMULA	PORTABLE_ADDRESS_FORMULA	CH+E+S	NEHMEN · GRAD I · WÄHLEN	HIGH_WORKING	P1008-E0358|P1008-E1092
cheys	1	f89r	PHARMA	DRUG_OR_INGREDIENT_OBJECT	C_SHORT_OR_REPEATED_COMPOSITION	PROVISIONAL_ADDRESS_FORMULA	Y+S	POSTEN · WÄHLEN	MEDIUM_CREATIVE	P1008-E1298
chfaly	1	f71v	CELESTIAL	STAR_BEARING_RING_POSITION	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::STAR_BEARING_RING_POSITION	STERNSTELLENNAME	CONCRETE_OWNER_DEFAULT	P1003-E0597
chol	1	f89r	PHARMA	DRUG_OR_INGREDIENT_OBJECT	A_EXACT_RUNNING_FORMULA	PORTABLE_ADDRESS_FORMULA	OL	FORTSETZEN	HIGH_WORKING	P1008-E1091
chosar	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::STAR_BEARING_RING_POSITION	STERNSTELLENNAME	CONCRETE_OWNER_DEFAULT	P1008-E0284
cpheor	1	f88v	PHARMA	DRUG_OR_INGREDIENT_OBJECT	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::DRUG_OR_INGREDIENT_OBJECT	DROGENNAME	CONCRETE_OWNER_DEFAULT	P1003-E0415
daiin	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	A_EXACT_RUNNING_FORMULA	PORTABLE_ADDRESS_FORMULA	AIIN	WERT	HIGH_WORKING	P1008-E0362
dan	2	f71v|f89r	CELESTIAL|PHARMA	DRUG_OR_INGREDIENT_OBJECT|STAR_BEARING_RING_POSITION	A_EXACT_RUNNING_FORMULA	PORTABLE_ADDRESS_FORMULA	AIN	ANTEIL	HIGH_WORKING	P1003-E0608|P1008-E1095
daramdal	1	f88v	PHARMA	DRUG_OR_INGREDIENT_OBJECT	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::DRUG_OR_INGREDIENT_OBJECT	DROGENNAME	CONCRETE_OWNER_DEFAULT	P1003-E0554
dararda	1	f88v	PHARMA	DRUG_OR_INGREDIENT_OBJECT	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::DRUG_OR_INGREDIENT_OBJECT	DROGENNAME	CONCRETE_OWNER_DEFAULT	P1003-E0557
darchdar	1	f77r	BIOLOGICAL	BATH_OR_OUTLET_STATION	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::BATH_OR_OUTLET_STATION	BADSTATIONSNAME	CONCRETE_OWNER_DEFAULT	P1003-E0081
dchdy	1	f77r	BIOLOGICAL	BATH_OR_OUTLET_STATION	A_EXACT_RUNNING_FORMULA	PORTABLE_ADDRESS_FORMULA	CHD+DY	BEARBEITEN · SCHLUSS	HIGH_WORKING	P1003-E0086
doly	1	f89r	PHARMA	DRUG_OR_INGREDIENT_OBJECT	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::DRUG_OR_INGREDIENT_OBJECT	DROGENNAME	CONCRETE_OWNER_DEFAULT	P1008-E1180
dotedy	1	f77r	BIOLOGICAL	BATH_OR_OUTLET_STATION	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::BATH_OR_OUTLET_STATION	BADSTATIONSNAME	CONCRETE_OWNER_DEFAULT	P1003-E0088
dy	2	f72r|f89r	CELESTIAL|PHARMA	DRUG_OR_INGREDIENT_OBJECT|STAR_BEARING_RING_POSITION	A_EXACT_RUNNING_FORMULA	PORTABLE_ADDRESS_FORMULA	Y	POSTEN	HIGH_WORKING	P1008-E0245|P1008-E1232
eeesaly	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::STAR_BEARING_RING_POSITION	STERNSTELLENNAME	CONCRETE_OWNER_DEFAULT	P1008-E0417
fydy	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::STAR_BEARING_RING_POSITION	STERNSTELLENNAME	CONCRETE_OWNER_DEFAULT	P1008-E0414
korainy	1	f89r	PHARMA	DRUG_OR_INGREDIENT_OBJECT	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::DRUG_OR_INGREDIENT_OBJECT	DROGENNAME	CONCRETE_OWNER_DEFAULT	P1008-E1296
o	2	f72r|f77r	BIOLOGICAL|CELESTIAL	BATH_OR_OUTLET_STATION|STAR_BEARING_RING_POSITION	A_EXACT_RUNNING_FORMULA	PORTABLE_ADDRESS_FORMULA	O	AUSFÜHRUNG	HIGH_WORKING	P1008-E0416|P1003-E0412
oaiin	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	A_EXACT_RUNNING_FORMULA	PORTABLE_ADDRESS_FORMULA	O+AIIN	AUSFÜHRUNG · WERT	HIGH_WORKING	P1008-E0129
ochey	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	A_EXACT_RUNNING_FORMULA	PORTABLE_ADDRESS_FORMULA	O+CH+E+Y	AUSFÜHRUNG · NEHMEN · GRAD I · POSTEN	HIGH_WORKING	P1008-E0413
ochol	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	A_EXACT_RUNNING_FORMULA	PORTABLE_ADDRESS_FORMULA	O+OL	AUSFÜHRUNG · FORTSETZEN	HIGH_WORKING	P1008-E0142
octho	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::STAR_BEARING_RING_POSITION	STERNSTELLENNAME	CONCRETE_OWNER_DEFAULT	P1008-E0457
odory	1	f89r	PHARMA	DRUG_OR_INGREDIENT_OBJECT	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::DRUG_OR_INGREDIENT_OBJECT	DROGENNAME	CONCRETE_OWNER_DEFAULT	P1008-E1179
oeeesaiin	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::STAR_BEARING_RING_POSITION	STERNSTELLENNAME	CONCRETE_OWNER_DEFAULT	P1008-E0411
oeeodaiin	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::STAR_BEARING_RING_POSITION	STERNSTELLENNAME	CONCRETE_OWNER_DEFAULT	P1008-E0363
of	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::STAR_BEARING_RING_POSITION	STERNSTELLENNAME	CONCRETE_OWNER_DEFAULT	P1008-E0415
ofakal	1	f89r	PHARMA	DRUG_OR_INGREDIENT_OBJECT	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::DRUG_OR_INGREDIENT_OBJECT	DROGENNAME	CONCRETE_OWNER_DEFAULT	P1008-E1410
ofaom	1	f71v	CELESTIAL	STAR_BEARING_RING_POSITION	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::STAR_BEARING_RING_POSITION	STERNSTELLENNAME	CONCRETE_OWNER_DEFAULT	P1003-E0641
ofaralar	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::STAR_BEARING_RING_POSITION	STERNSTELLENNAME	CONCRETE_OWNER_DEFAULT	P1008-E0171
ofchdamy	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::STAR_BEARING_RING_POSITION	STERNSTELLENNAME	CONCRETE_OWNER_DEFAULT	P1008-E0190
ofsholdy	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::STAR_BEARING_RING_POSITION	STERNSTELLENNAME	CONCRETE_OWNER_DEFAULT	P1008-E0364
oiil	1	f17r	HERBAL	PICTURED_PLANT	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::PICTURED_PLANT	PFLANZENNAME	CONCRETE_OWNER_DEFAULT	P1003-E0080
okaiin	3	f72r|f88v|f89r	CELESTIAL|PHARMA	DRUG_OR_INGREDIENT_OBJECT|STAR_BEARING_RING_POSITION	A_EXACT_RUNNING_FORMULA	PORTABLE_ADDRESS_FORMULA	OK+AIIN	SETZEN · WERT	HIGH_WORKING	P1008-E0366|P1003-E0461|P1008-E1094
okain	1	f89r	PHARMA	DRUG_OR_INGREDIENT_OBJECT	A_EXACT_RUNNING_FORMULA	PORTABLE_ADDRESS_FORMULA	OK+AIN	SETZEN · ANTEIL	HIGH_WORKING	P1008-E1408
okaircham	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::STAR_BEARING_RING_POSITION	STERNSTELLENNAME	CONCRETE_OWNER_DEFAULT	P1008-E0246
okairy	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::STAR_BEARING_RING_POSITION	STERNSTELLENNAME	CONCRETE_OWNER_DEFAULT	P1008-E0193
okal	2	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	A_EXACT_RUNNING_FORMULA	PORTABLE_ADDRESS_FORMULA	OK+AL	SETZEN · ZIELORT	HIGH_WORKING	P1008-E0238|P1008-E0240
okalam	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::STAR_BEARING_RING_POSITION	STERNSTELLENNAME	CONCRETE_OWNER_DEFAULT	P1008-E0132
okalar	2	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	A_EXACT_RUNNING_FORMULA	PORTABLE_ADDRESS_FORMULA	OK+AL+AR	SETZEN · ZIELORT · AUSGANG	HIGH_WORKING	P1008-E0237|P1008-E0420
okaldy	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	A_EXACT_RUNNING_FORMULA	PORTABLE_ADDRESS_FORMULA	OK+AL+DY	SETZEN · ZIELORT · SCHLUSS	HIGH_WORKING	P1008-E0283
okaly	2	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	A_EXACT_RUNNING_FORMULA	PORTABLE_ADDRESS_FORMULA	OK+AL+Y	SETZEN · ZIELORT · POSTEN	HIGH_WORKING	P1008-E0239|P1008-E0249
okalyd	1	f88v	PHARMA	DRUG_OR_INGREDIENT_OBJECT	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::DRUG_OR_INGREDIENT_OBJECT	DROGENNAME	CONCRETE_OWNER_DEFAULT	P1003-E0413
okam	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	A_EXACT_RUNNING_FORMULA	PORTABLE_ADDRESS_FORMULA	OK+AM_ADDR	SETZEN · HIER	HIGH_WORKING	P1008-E0281
okaraiin	1	f71v	CELESTIAL	STAR_BEARING_RING_POSITION	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::STAR_BEARING_RING_POSITION	STERNSTELLENNAME	CONCRETE_OWNER_DEFAULT	P1003-E0602
okaram	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::STAR_BEARING_RING_POSITION	STERNSTELLENNAME	CONCRETE_OWNER_DEFAULT	P1008-E0192
okarcham	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::STAR_BEARING_RING_POSITION	STERNSTELLENNAME	CONCRETE_OWNER_DEFAULT	P1008-E0287
okchshy	1	f89r	PHARMA	DRUG_OR_INGREDIENT_OBJECT	B_ATTESTED_RECIPE_NEW_SURFACE	PORTABLE_ADDRESS_FORMULA	OK+CH+Y	SETZEN · NEHMEN · POSTEN	HIGH_WORKING	P1008-E1038
okeal	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::STAR_BEARING_RING_POSITION	STERNSTELLENNAME	CONCRETE_OWNER_DEFAULT	P1008-E0247
okealar	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::STAR_BEARING_RING_POSITION	STERNSTELLENNAME	CONCRETE_OWNER_DEFAULT	P1008-E0194
okeey	2	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	A_EXACT_RUNNING_FORMULA	PORTABLE_ADDRESS_FORMULA	OK+EE+Y	SETZEN · GRAD II · POSTEN	HIGH_WORKING	P1008-E0174|P1008-E0241
oklairdy	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::STAR_BEARING_RING_POSITION	STERNSTELLENNAME	CONCRETE_OWNER_DEFAULT	P1008-E0191
okol	1	f89r	PHARMA	DRUG_OR_INGREDIENT_OBJECT	A_EXACT_RUNNING_FORMULA	PORTABLE_ADDRESS_FORMULA	OK+OL	SETZEN · FORTSETZEN	HIGH_WORKING	P1008-E1230
okolar	1	f71v	CELESTIAL	STAR_BEARING_RING_POSITION	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::STAR_BEARING_RING_POSITION	STERNSTELLENNAME	CONCRETE_OWNER_DEFAULT	P1003-E0598
okshdchos	1	f89r	PHARMA	DRUG_OR_INGREDIENT_OBJECT	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::DRUG_OR_INGREDIENT_OBJECT	DROGENNAME	CONCRETE_OWNER_DEFAULT	P1008-E1301
okyd	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::STAR_BEARING_RING_POSITION	STERNSTELLENNAME	CONCRETE_OWNER_DEFAULT	P1008-E0251
olaiin	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	A_EXACT_RUNNING_FORMULA	PORTABLE_ADDRESS_FORMULA	OL+AIIN	FORTSETZEN · WERT	HIGH_WORKING	P1008-E0422
olalsy	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	B_ATTESTED_RECIPE_NEW_SURFACE	PORTABLE_ADDRESS_FORMULA	OL+AL+Y	FORTSETZEN · ZIELORT · POSTEN	HIGH_WORKING	P1008-E0351
olay	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::STAR_BEARING_RING_POSITION	STERNSTELLENNAME	CONCRETE_OWNER_DEFAULT	P1008-E0423
oldam	1	f89r	PHARMA	DRUG_OR_INGREDIENT_OBJECT	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::DRUG_OR_INGREDIENT_OBJECT	DROGENNAME	CONCRETE_OWNER_DEFAULT	P1008-E1040
oletal	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::STAR_BEARING_RING_POSITION	STERNSTELLENNAME	CONCRETE_OWNER_DEFAULT	P1008-E0459
olfsheoral	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::STAR_BEARING_RING_POSITION	STERNSTELLENNAME	CONCRETE_OWNER_DEFAULT	P1008-E0424
olkalaiin	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::STAR_BEARING_RING_POSITION	STERNSTELLENNAME	CONCRETE_OWNER_DEFAULT	P1008-E0350
olkchs	1	f77r	BIOLOGICAL	BATH_OR_OUTLET_STATION	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::BATH_OR_OUTLET_STATION	BADSTATIONSNAME	CONCRETE_OWNER_DEFAULT	P1003-E0082
opalal	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::STAR_BEARING_RING_POSITION	STERNSTELLENNAME	CONCRETE_OWNER_DEFAULT	P1008-E0452
opalar	1	f71v	CELESTIAL	STAR_BEARING_RING_POSITION	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::STAR_BEARING_RING_POSITION	STERNSTELLENNAME	CONCRETE_OWNER_DEFAULT	P1003-E0606
opalor	1	f71v	CELESTIAL	STAR_BEARING_RING_POSITION	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::STAR_BEARING_RING_POSITION	STERNSTELLENNAME	CONCRETE_OWNER_DEFAULT	P1003-E0609
opcheor	1	f89r	PHARMA	DRUG_OR_INGREDIENT_OBJECT	A_EXACT_RUNNING_FORMULA	PORTABLE_ADDRESS_FORMULA	O+P+CH+E+OR	AUSFÜHRUNG · EINSETZEN · NEHMEN · GRAD I · EINHEIT	HIGH_WORKING	P1008-E1183
opchoroiin	1	f89r	PHARMA	DRUG_OR_INGREDIENT_OBJECT	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::DRUG_OR_INGREDIENT_OBJECT	DROGENNAME	CONCRETE_OWNER_DEFAULT	P1008-E1233
opchosam	1	f89r	PHARMA	DRUG_OR_INGREDIENT_OBJECT	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::DRUG_OR_INGREDIENT_OBJECT	DROGENNAME	CONCRETE_OWNER_DEFAULT	P1008-E1181
opoeey	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::STAR_BEARING_RING_POSITION	STERNSTELLENNAME	CONCRETE_OWNER_DEFAULT	P1008-E0365
opoiiinoin	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::STAR_BEARING_RING_POSITION	STERNSTELLENNAME	CONCRETE_OWNER_DEFAULT	P1008-E0356
oporain	1	f89r	PHARMA	DRUG_OR_INGREDIENT_OBJECT	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::DRUG_OR_INGREDIENT_OBJECT	DROGENNAME	CONCRETE_OWNER_DEFAULT	P1008-E1300
oraiinam	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::STAR_BEARING_RING_POSITION	STERNSTELLENNAME	CONCRETE_OWNER_DEFAULT	P1008-E0352
oraiiral	1	f72r	CELESTIAL	STAR_BEARING_RING_POSITION	D_OWNER_LEARNED_WHOLE_LABEL	LEARNED_NOMENCLATOR_WHOLE_LABEL	WHOLE_LABEL::STAR_BEARING_RING_POSITION	STERNSTELLENNAME	CONCRETE_OWNER_DEFAULT	P1008-E0454
