field_row	field_id	record_unit_id	page	locus	statement_id	event_count	event_serials	v71_whole_plant_owner	owner_status	field_role	literal_exact_card_sequence	complete_event_default_sequence	readable_field_text	source_layer_counts	minimum_working_confidence	mean_working_confidence	strongest_alternative	contradiction	v72_selected_statement_paraphrase	semantic_ceiling
11	F011	H4	f55v	f55v.5	H4-S002	3	61|62|63	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PAGE_OWNER_ONLY	CLARIFY_AND_STORE	E061:2f1c5e56e8f0ff459065[CARD:MASS?][FORMAL:VORGABEPARAMETER?] > E062:6f7ff8287eddf4da9fdb > E063:e026af581c99322fbd46	E061=Miss eine Portion des Ansatzes ab. | E062=Wringe sie durch Leinentuch und lasse den Auszug klar absetzen. | E063=Verwahre den klaren Auszug und schließe die getrennten Restfraktionen.	Klärung und Verwahrung. Miss eine Portion des Ansatzes ab. Wringe sie durch Leinentuch und lasse den Auszug klar absetzen. Verwahre den klaren Auszug und schließe die getrennten Restfraktionen.	"{""EXEMPLAR_ONLY"": 1, ""FORMAL_CLOSURE_MARKER_WITH_EXEMPLAR_FILL"": 1, ""KNOWN_CARD_AND_FORMAL_WITH_EXEMPLAR_FILL"": 1}"	0.45	0.553	Sollmenge aus H4-P01 abteilen. weichen Blattrest aus der Flotte heben. Rest pressen, Flüssigkeit seihen und beide Fraktionen schließen.	MASS? ist nur der bestehende unsichere Ganzkarten-Merksatz, keine bestätigte Wortbedeutung; VORGABEPARAMETER? ist eine formale Slotanweisung, keine Übersetzung. der konkrete Wert ist ein occurrence-spezifischer Masterexemplar-Default; das Bild stützt nur den Ganzpflanzenartikel. der Schlussmarker stützt nur Feldabschluss, nicht die konkrete Schlussaktion.	Vom selben Pflanzenartikel: bemesse einen Anteil, vermenge ihn gleichmäßig und gebrauche ihn einmal als Waschung an der im Rezept vorausgesetzten Stelle.	COMPLETE_READABLE_FIELD_IS_EXEMPLAR_EXPANSION_NOT_TRANSLATION
12	F012	H4	f55v	f55v.11	H4-S003	4	64|65|66|67	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PAGE_OWNER_ONLY	EXTERNAL_WASH	E064:f7dc90b2c31fd341f0a4 > E065:807591efc3d3f7ddbfab > E066:2c1a5fd92b9e3c762242 > E067:1b1ffdd869fb1429ad03	E064=Wasche eine unreine äußere Wunde. | E065=Verwende dafür den klaren Auszug. | E066=Wasche einmal oder so oft, wie das örtliche Exemplar vorschreibt. | E067=Beende diesen Gebrauch und schließe den Posten.	Äußere Waschung. Wasche eine unreine äußere Wunde. Verwende dafür den klaren Auszug. Wasche einmal oder so oft, wie das örtliche Exemplar vorschreibt. Beende diesen Gebrauch und schließe den Posten.	"{""EXEMPLAR_ONLY"": 3, ""FORMAL_CLOSURE_MARKER_WITH_EXEMPLAR_FILL"": 1}"	0.35	0.450	zweite Blattfraktion H4-R02 eröffnen. zweite Fraktion mit frischem Wasser waschen. Fraktion warm mazerieren. zweite Blattflotte H4-P03 seihen und schließen.	Indikation, Gebrauch und Zielstelle sind nicht abgebildet. der konkrete Wert ist ein occurrence-spezifischer Masterexemplar-Default; das Bild stützt nur den Ganzpflanzenartikel. der Schlussmarker stützt nur Feldabschluss, nicht die konkrete Schlussaktion.	Vom selben Pflanzenartikel: bereite einen zweiten Gebrauchsposten mit einem nicht abgebildeten Medium und verarbeite ihn bei mäßiger Wärme bis zum Abschluss des Arbeitsschritts.	COMPLETE_READABLE_FIELD_IS_EXEMPLAR_EXPANSION_NOT_TRANSLATION
13	F013	H4	f55v	f55v.11	H4-S004	6	68|69|70|71|72|73	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PAGE_OWNER_ONLY	HONEY_LEAF_POULTICE	E068:2f1c5e56e8f0ff459065[CARD:MASS?] > E069:308e8ea2d5d190c498e8[FORMAL:LOKALEN_RELATIONSSLOT_SETZEN] > E070:204b04837409088c48f9 > E071:7a4bb8136330ee4e6e56[CARD:ANSATZ?] > E072:b921a237be883a820352 > E073:6afeb5c9ab9f6cbdea0d	E068=Nimm ein vorgeschriebenes Maß der zurückbehaltenen Blätter. | E069=Lege sie an die im Exemplar bezeichnete äußere Stelle. | E070=Erwärme sie gelinde. | E071=Führe diese Bereitung als zweiten Ansatz. | E072=Mische sie mit Honig. | E073=Lege den warmen Umschlag frisch auf.	Zweiter Blattumschlag. Nimm ein vorgeschriebenes Maß der zurückbehaltenen Blätter. Lege sie an die im Exemplar bezeichnete äußere Stelle. Erwärme sie gelinde. Führe diese Bereitung als zweiten Ansatz. Mische sie mit Honig. Lege den warmen Umschlag frisch auf.	"{""EXEMPLAR_ONLY"": 3, ""KNOWN_CARD_WITH_EXEMPLAR_FILL"": 2, ""KNOWN_FORMAL_WITH_EXEMPLAR_FILL"": 1}"	0.35	0.508	Sollmenge der zweiten Flotte buchen. opaken Relationsslot für Fraktionspaar und Lagergefäß setzen. erste und zweite Flotte nebeneinander prüfen. zweite Flotte als aktiven Ansatz H4-P03 führen. Presskuchen und Flotten als Paarposten etikettieren. Paarposten H4-P04 bedeckt lagern.	MASS? ist nur der bestehende unsichere Ganzkarten-Merksatz, keine bestätigte Wortbedeutung. LOKALEN_RELATIONSSLOT_SETZEN ist eine formale Slotanweisung, keine Übersetzung; Indikation, Gebrauch und Zielstelle sind nicht abgebildet. der konkrete Wert ist ein occurrence-spezifischer Masterexemplar-Default; das Bild stützt nur den Ganzpflanzenartikel. ANSATZ? ist nur der bestehende unsichere Ganzkarten-Merksatz, keine bestätigte Wortbedeutung. Medium, Wasser, Wein, Öl, Honig, Tuch oder Gefäß sind nicht abgebildet. Indikation, Gebrauch und Zielstelle sind nicht abgebildet.	Vom selben Pflanzenartikel: bemesse und vereinige zwei Anteile, verwahre die Bereitung bedeckt und gebrauche die fertige Flüssigkeit frisch.	COMPLETE_READABLE_FIELD_IS_EXEMPLAR_EXPANSION_NOT_TRANSLATION
14	F014	H5	f56r	f56r.5	H5-S001	4	74|75|76|77	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	HARVEST_AND_MEASURE	E074:b9d7b6d68209a9019e7a > E075:2cc054357a929df85f64 > E076:0ec6a45e2950e8e7061d > E077:2f1c5e56e8f0ff459065[CARD:MASS?][FORMAL:VORGABEPARAMETER?]	E074=Nimm die ganze abgebildete Pflanze, deren Art hier unbenannt bleibt. | E075=Sammle das oberirdische Kraut an einem feuchten Standort. | E076=Nimm es zu Beginn der Blüte. | E077=Verwende nur ein kleines, im Exemplar vorgeschriebenes Maß.	Ernte und Maß. Nimm die ganze abgebildete Pflanze, deren Art hier unbenannt bleibt. Sammle das oberirdische Kraut an einem feuchten Standort. Nimm es zu Beginn der Blüte. Verwende nur ein kleines, im Exemplar vorgeschriebenes Maß.	"{""EXEMPLAR_ONLY"": 3, ""KNOWN_CARD_AND_FORMAL_WITH_EXEMPLAR_FILL"": 1}"	0.35	0.463	Bildbesitzer H5 als drüsiges Feuchtland-Rohlos H5-R01 eröffnen. kleine Gesamtpflanzenprobe sammeln. feine Wurzel- und Krautfraktion trennen. Sollmenge der Krautfraktion buchen.	der konkrete Wert ist ein occurrence-spezifischer Masterexemplar-Default; das Bild stützt nur den Ganzpflanzenartikel. Standort und Erntezeit sind nicht abgebildet. MASS? ist nur der bestehende unsichere Ganzkarten-Merksatz, keine bestätigte Wortbedeutung; VORGABEPARAMETER? ist eine formale Slotanweisung, keine Übersetzung.	Von der ganzen abgebildeten Pflanze: sammle sie zur passenden Jahreszeit, nimm einen unterirdischen oder sonst örtlich bestimmten Teil, bemesse ihn, lasse ihn in einem nicht abgebildeten Medium ziehen und führe den gebrauchsfertigen Anteil an die im Rezept vorausgesetzte Zielstelle.	COMPLETE_READABLE_FIELD_IS_EXEMPLAR_EXPANSION_NOT_TRANSLATION
15	F015	H5	f56r	f56r.7	H5-S001	5	78|79|80|81|82	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	SHORT_SKIN_APPLICATION	E078:2cc054357a929df85f64 > E079:893c570f3fa3fce99711 > E080:10488b911aae52b3b334 > E081:276a7c2d74d1143446f4[CARD:ANWENDEN?] > E082:dd0ecaf5e27d81befffc[CARD:ZIEL?]	E078=Zerstoße die frischen klebrigen Blätter. | E079=Lege die Masse auf die bezeichnete Stelle. | E080=Behandle damit eine einzelne Warze oder ein Hühnerauge. | E081=Lasse die Masse nur kurz einwirken. | E082=Bestätige die örtlich bezeichnete Hautstelle als Ziel.	Kurze äußere Auflage. Zerstoße die frischen klebrigen Blätter. Lege die Masse auf die bezeichnete Stelle. Behandle damit eine einzelne Warze oder ein Hühnerauge. Lasse die Masse nur kurz einwirken. Bestätige die örtlich bezeichnete Hautstelle als Ziel.	"{""EXEMPLAR_ONLY"": 3, ""KNOWN_CARD_WITH_EXEMPLAR_FILL"": 2}"	0.35	0.478	Krautfraktion in wenig Wasser einweichen. weiches Material quetschen. klebrige Flüssigkeit als Prüfcharge H5-P01 auffangen. aktive Prüfcharge H5-P01 auf Prüffläche H5-T01 einsetzen. Zieladresse H5-T01 nach dem Auftrag im Register festhalten.	der konkrete Wert ist ein occurrence-spezifischer Masterexemplar-Default; das Bild stützt nur den Ganzpflanzenartikel. Indikation, Gebrauch und Zielstelle sind nicht abgebildet. ANWENDEN? ist nur der bestehende unsichere Ganzkarten-Merksatz, keine bestätigte Wortbedeutung; Indikation, Gebrauch und Zielstelle sind nicht abgebildet. ZIEL? ist nur der bestehende unsichere Ganzkarten-Merksatz, keine bestätigte Wortbedeutung; Indikation, Gebrauch und Zielstelle sind nicht abgebildet.	Von der ganzen abgebildeten Pflanze: sammle sie zur passenden Jahreszeit, nimm einen unterirdischen oder sonst örtlich bestimmten Teil, bemesse ihn, lasse ihn in einem nicht abgebildeten Medium ziehen und führe den gebrauchsfertigen Anteil an die im Rezept vorausgesetzte Zielstelle.	COMPLETE_READABLE_FIELD_IS_EXEMPLAR_EXPANSION_NOT_TRANSLATION
16	F016	H5	f56r	f56r.8	H5-S002	4	83|84|85|86	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	APPLICATION_AFTERCARE	E083:d665560c8ff80799a82c > E084:c10aec6d4dd877ec8bd8 > E085:276a7c2d74d1143446f4[CARD:ANWENDEN?] > E086:95987d6f198d6d247511	E083=Nimm die Auflage wieder ab. | E084=Wasche die Stelle mit Wasser. | E085=Wiederhole den Gebrauch nur, wenn die Haut ihn verträgt. | E086=Beende die äußere Anwendung und schließe den Posten.	Abnahme und Nachwäsche. Nimm die Auflage wieder ab. Wasche die Stelle mit Wasser. Wiederhole den Gebrauch nur, wenn die Haut ihn verträgt. Beende die äußere Anwendung und schließe den Posten.	"{""EXEMPLAR_ONLY"": 2, ""FORMAL_CLOSURE_MARKER_WITH_EXEMPLAR_FILL"": 1, ""KNOWN_CARD_WITH_EXEMPLAR_FILL"": 1}"	0.35	0.468	H5-P01 als aktive Charge wieder aufnehmen. zweite Prüffläche H5-T02 bereitstellen. aktive Charge auf H5-T02 einsetzen. beschichtete Prüffläche lufttrocknen lassen und schließen.	Indikation, Gebrauch und Zielstelle sind nicht abgebildet. Medium, Wasser, Wein, Öl, Honig, Tuch oder Gefäß sind nicht abgebildet. ANWENDEN? ist nur der bestehende unsichere Ganzkarten-Merksatz, keine bestätigte Wortbedeutung; Indikation, Gebrauch und Zielstelle sind nicht abgebildet. der Schlussmarker stützt nur Feldabschluss, nicht die konkrete Schlussaktion.	Vom selben Pflanzenartikel: nimm Material von einem feuchten oder schattigen Standort, bereite daraus einen anwendbaren Anteil und lasse eine daraus gefertigte Auflage unbedeckt trocknen.	COMPLETE_READABLE_FIELD_IS_EXEMPLAR_EXPANSION_NOT_TRANSLATION
17	F017	H5	f56r	f56r.12	H5-S003	4	87|88|89|90	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	DRIED_RESERVE	E087:ad3581d3144f69a5912d > E088:2cc054357a929df85f64 > E089:b74e9e65637b7c8538dd > E090:1322bc176443fc2a8a86	E087=Nimm vom übrigen Kraut die blühenden Stiele. | E088=Trockne sie im Schatten. | E089=Zerreibe sie grob. | E090=Verwahre sie trocken.	Trockenvorrat. Nimm vom übrigen Kraut die blühenden Stiele. Trockne sie im Schatten. Zerreibe sie grob. Verwahre sie trocken.	"{""EXEMPLAR_ONLY"": 4}"	0.39	0.435	Kopf- oder Knospenfraktion H5-R02 eröffnen. schmale Blattfraktion H5-R03 getrennt einführen. beide Fraktionen mit Loszeichen versehen. beide im Schatten trocknen.	keine Leiterlinie weist diesem Feld den genannten Pflanzenteil sichtbar zu. der konkrete Wert ist ein occurrence-spezifischer Masterexemplar-Default; das Bild stützt nur den Ganzpflanzenartikel.	Vom selben Pflanzenartikel: trenne einen kleinen Kopf- oder Samenstand und einen schmalen Blattteil und trockne den Vorrat im Schatten.	COMPLETE_READABLE_FIELD_IS_EXEMPLAR_EXPANSION_NOT_TRANSLATION
18	F018	H5	f56r	f56r.13	H5-S004	3	91|92|93	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	WEAK_WINE_EXTRACT	E091:9ad66e67803a12e745de > E092:087a47b5423438cd6b6a > E093:75a523fcf039b006f97b	E091=Setze daraus einen schwachen Auszug an. | E092=Verwende milden Wein als Medium. | E093=Seihe den Auszug durch ein Tuch.	Schwacher Weinauszug. Setze daraus einen schwachen Auszug an. Verwende milden Wein als Medium. Seihe den Auszug durch ein Tuch.	"{""EXEMPLAR_ONLY"": 3}"	0.35	0.417	getrocknete Blattfraktion H5-R03 wieder aufnehmen. Lagerfach H5-T04 zuweisen. Fraktion trocken im Lagerfach verwahren.	der konkrete Wert ist ein occurrence-spezifischer Masterexemplar-Default; das Bild stützt nur den Ganzpflanzenartikel. Medium, Wasser, Wein, Öl, Honig, Tuch oder Gefäß sind nicht abgebildet.	Vom selben Pflanzenartikel: gebrauche die frisch bereitete Zubereitung nach der im Receptarium vorausgesetzten Indikation und bewahre den Rest trocken im Schatten.	COMPLETE_READABLE_FIELD_IS_EXEMPLAR_EXPANSION_NOT_TRANSLATION
19	F019	H5	f56r	f56r.18	H5-S005	4	94|95|96|97	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	HONEY_CHEST_DRINK	E094:2cc054357a929df85f64 > E095:9ad66e67803a12e745de > E096:c71c72da4e09e0833392 > E097:61a075bc54793c1c781f	E094=Füge dem Auszug Honig hinzu. | E095=Erwärme den Auszug gelinde. | E096=Gib ihn als Brusttrank. | E097=Verwende ihn bei trockenem Husten.	Honigtrank. Füge dem Auszug Honig hinzu. Erwärme den Auszug gelinde. Gib ihn als Brusttrank. Verwende ihn bei trockenem Husten.	"{""EXEMPLAR_ONLY"": 4}"	0.35	0.375	frischen Pflanzenrest H5-R04 als neue Arbeitscharge einführen. Rest mit wenig Wasser wieder anfeuchten. Rest zu gleichmäßiger Klebmasse arbeiten. frische Masse H5-P02 im bedeckten Topf lagern.	Medium, Wasser, Wein, Öl, Honig, Tuch oder Gefäß sind nicht abgebildet. der konkrete Wert ist ein occurrence-spezifischer Masterexemplar-Default; das Bild stützt nur den Ganzpflanzenartikel. Indikation, Gebrauch und Zielstelle sind nicht abgebildet.	Vom selben Pflanzenartikel: nimm den folgenden Teil oder Zusatz, vereinige die frische Bereitung mit einem nicht abgebildeten Bindemittel und gebrauche sie frisch vermischt.	COMPLETE_READABLE_FIELD_IS_EXEMPLAR_EXPANSION_NOT_TRANSLATION
20	F020	H5	f56r	f56r.19	H5-S006	3	98|99|100	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	FLOWER_PORTION_DOSE	E098:faf321940aed922846a9[CARD:ANTEIL?] > E099:9bb7122b386ebbc6138f > E100:2f1c5e56e8f0ff459065[CARD:MASS?][FORMAL:VORGABEPARAMETER?]	E098=Wähle den im Exemplar bezeichneten geöffneten Blütenteil. | E099=Nimm davon je Gabe einen Anteil. | E100=Bemesse jede Gabe mit dem vorgeschriebenen kleinen Maß.	Einzeldosis der Blütenfraktion. Wähle den im Exemplar bezeichneten geöffneten Blütenteil. Nimm davon je Gabe einen Anteil. Bemesse jede Gabe mit dem vorgeschriebenen kleinen Maß.	"{""EXEMPLAR_ONLY"": 1, ""KNOWN_CARD_AND_FORMAL_WITH_EXEMPLAR_FILL"": 1, ""KNOWN_CARD_WITH_EXEMPLAR_FILL"": 1}"	0.45	0.557	bezeichnete Blütenfraktion H5-R05 wählen. geöffnete Blüte als Referenzteil einlegen. Sollmenge des Referenzloses buchen.	ANTEIL? ist nur der bestehende unsichere Ganzkarten-Merksatz, keine bestätigte Wortbedeutung; keine Leiterlinie weist diesem Feld den genannten Pflanzenteil sichtbar zu. der konkrete Wert ist ein occurrence-spezifischer Masterexemplar-Default; das Bild stützt nur den Ganzpflanzenartikel. MASS? ist nur der bestehende unsichere Ganzkarten-Merksatz, keine bestätigte Wortbedeutung; VORGABEPARAMETER? ist eine formale Slotanweisung, keine Übersetzung.	Vom selben Pflanzenartikel: nimm den bezeichneten Anteil des hellen geöffneten Blütenteils und bemesse ihn nach örtlicher Vorschrift.	COMPLETE_READABLE_FIELD_IS_EXEMPLAR_EXPANSION_NOT_TRANSLATION
