unsupported_noun	support_class	event_count	event_serials	records	pages	rationale	semantic_ceiling
Blütenstände	VISIBLE_PART_BUT_EVENT_BINDING_UNSUPPORTED	1	15	H2	f10r	Die Form kommt an der Ganzpflanze vor, doch kein Leader oder Kartenwert bindet dieses Ereignis an genau diesen Teil.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Blütezeit	UNPICTURED_QUANTITATIVE_OR_TEMPORAL_NOUN	1	76	H5	f56r	Menge, Zeitpunkt oder Wiederholungszahl ist nicht bildlich angegeben und bleibt ein Receptarium-Wert.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Brustbeschwerde	UNPICTURED_MEDICAL_OR_USE_NOUN	1	50	H3	f11r	Weder Leiden, Körperziel noch therapeutischer Gebrauch ist abgebildet; der Ausdruck stammt nur aus dem historischen Quellenexemplar.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Brusttrank	UNPICTURED_MEDICAL_OR_USE_NOUN	1	96	H5	f56r	Weder Leiden, Körperziel noch therapeutischer Gebrauch ist abgebildet; der Ausdruck stammt nur aus dem historischen Quellenexemplar.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Dosis	UNPICTURED_QUANTITATIVE_OR_TEMPORAL_NOUN	9	9|22|30|51|57|61|68|77|100	H1|H2|H3|H4|H5	f10r|f11r|f55v|f56r	Menge, Zeitpunkt oder Wiederholungszahl ist nicht bildlich angegeben und bleibt ein Receptarium-Wert.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Einwirkdauer	UNPICTURED_QUANTITATIVE_OR_TEMPORAL_NOUN	1	81	H5	f56r	Menge, Zeitpunkt oder Wiederholungszahl ist nicht bildlich angegeben und bleibt ein Receptarium-Wert.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Erntezeit	UNPICTURED_QUANTITATIVE_OR_TEMPORAL_NOUN	2	16|24	H2	f10r	Menge, Zeitpunkt oder Wiederholungszahl ist nicht bildlich angegeben und bleibt ein Receptarium-Wert.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
erster Auszug	UNPICTURED_RECIPE_STATE_OR_OPERATION_NOUN	1	47	H3	f11r	Der abstrakte Rezept-/Arbeitsbegriff ist eine konkrete Quellenfüllung, nicht aus Bild oder Karte gelesen.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
feuchter Standort	UNPICTURED_RECIPE_STATE_OR_OPERATION_NOUN	1	75	H5	f56r	Der abstrakte Rezept-/Arbeitsbegriff ist eine konkrete Quellenfüllung, nicht aus Bild oder Karte gelesen.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Feuer	UNPICTURED_MATERIAL_IMPLEMENT_OR_MEDIUM	1	35	H2	f10r	Medium, Gerät oder Behälter ist nicht abgebildet und keiner opaken Karte als Wortbedeutung zugewiesen.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Fraktion	UNPICTURED_RECIPE_STATE_OR_OPERATION_NOUN	1	20	H2	f10r	Der abstrakte Rezept-/Arbeitsbegriff ist eine konkrete Quellenfüllung, nicht aus Bild oder Karte gelesen.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Fraktionen	VISIBLE_PART_BUT_EVENT_BINDING_UNSUPPORTED	1	31	H2	f10r	Die Form kommt an der Ganzpflanze vor, doch kein Leader oder Kartenwert bindet dieses Ereignis an genau diesen Teil.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Frühjahr	UNPICTURED_QUANTITATIVE_OR_TEMPORAL_NOUN	1	39	H3	f11r	Menge, Zeitpunkt oder Wiederholungszahl ist nicht bildlich angegeben und bleibt ein Receptarium-Wert.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Gabe	UNPICTURED_QUANTITATIVE_OR_TEMPORAL_NOUN	2	98|99	H5	f56r	Menge, Zeitpunkt oder Wiederholungszahl ist nicht bildlich angegeben und bleibt ein Receptarium-Wert.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Gebrauchsabschluss	UNPICTURED_RECIPE_STATE_OR_OPERATION_NOUN	1	67	H4	f55v	Der abstrakte Rezept-/Arbeitsbegriff ist eine konkrete Quellenfüllung, nicht aus Bild oder Karte gelesen.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Gebrauchsreife	UNPICTURED_RECIPE_STATE_OR_OPERATION_NOUN	2	14|54	H1|H3	f10r|f11r	Der abstrakte Rezept-/Arbeitsbegriff ist eine konkrete Quellenfüllung, nicht aus Bild oder Karte gelesen.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Gefäß	UNPICTURED_MATERIAL_IMPLEMENT_OR_MEDIUM	2	5|60	H1|H4	f10r|f55v	Medium, Gerät oder Behälter ist nicht abgebildet und keiner opaken Karte als Wortbedeutung zugewiesen.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Gemütsbeschwerde	UNPICTURED_MEDICAL_OR_USE_NOUN	1	50	H3	f11r	Weder Leiden, Körperziel noch therapeutischer Gebrauch ist abgebildet; der Ausdruck stammt nur aus dem historischen Quellenexemplar.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Geschwür	UNPICTURED_MEDICAL_OR_USE_NOUN	1	38	H2	f10r	Weder Leiden, Körperziel noch therapeutischer Gebrauch ist abgebildet; der Ausdruck stammt nur aus dem historischen Quellenexemplar.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Glas	UNPICTURED_MATERIAL_IMPLEMENT_OR_MEDIUM	1	7	H1	f10r	Medium, Gerät oder Behälter ist nicht abgebildet und keiner opaken Karte als Wortbedeutung zugewiesen.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
glasiertes Gefäß	UNPICTURED_MATERIAL_IMPLEMENT_OR_MEDIUM	1	32	H2	f10r	Medium, Gerät oder Behälter ist nicht abgebildet und keiner opaken Karte als Wortbedeutung zugewiesen.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Handvoll	UNPICTURED_QUANTITATIVE_OR_TEMPORAL_NOUN	1	26	H2	f10r	Menge, Zeitpunkt oder Wiederholungszahl ist nicht bildlich angegeben und bleibt ein Receptarium-Wert.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Hautstelle	UNPICTURED_MEDICAL_OR_USE_NOUN	1	82	H5	f56r	Weder Leiden, Körperziel noch therapeutischer Gebrauch ist abgebildet; der Ausdruck stammt nur aus dem historischen Quellenexemplar.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Honig	UNPICTURED_MATERIAL_IMPLEMENT_OR_MEDIUM	2	72|94	H4|H5	f55v|f56r	Medium, Gerät oder Behälter ist nicht abgebildet und keiner opaken Karte als Wortbedeutung zugewiesen.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Husten	UNPICTURED_MEDICAL_OR_USE_NOUN	1	97	H5	f56r	Weder Leiden, Körperziel noch therapeutischer Gebrauch ist abgebildet; der Ausdruck stammt nur aus dem historischen Quellenexemplar.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Hühnerauge	UNPICTURED_MEDICAL_OR_USE_NOUN	1	80	H5	f56r	Weder Leiden, Körperziel noch therapeutischer Gebrauch ist abgebildet; der Ausdruck stammt nur aus dem historischen Quellenexemplar.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
innerlicher Gebrauch	UNPICTURED_MEDICAL_OR_USE_NOUN	1	8	H1	f10r	Weder Leiden, Körperziel noch therapeutischer Gebrauch ist abgebildet; der Ausdruck stammt nur aus dem historischen Quellenexemplar.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
junge Blätter	VISIBLE_PART_BUT_EVENT_BINDING_UNSUPPORTED	1	39	H3	f11r	Die Form kommt an der Ganzpflanze vor, doch kein Leader oder Kartenwert bindet dieses Ereignis an genau diesen Teil.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
junge Spitzen	VISIBLE_PART_BUT_EVENT_BINDING_UNSUPPORTED	2	15|24	H2	f10r	Die Form kommt an der Ganzpflanze vor, doch kein Leader oder Kartenwert bindet dieses Ereignis an genau diesen Teil.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Klarstand	UNPICTURED_RECIPE_STATE_OR_OPERATION_NOUN	1	62	H4	f55v	Der abstrakte Rezept-/Arbeitsbegriff ist eine konkrete Quellenfüllung, nicht aus Bild oder Karte gelesen.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Klarzustand	UNPICTURED_RECIPE_STATE_OR_OPERATION_NOUN	1	44	H3	f11r	Der abstrakte Rezept-/Arbeitsbegriff ist eine konkrete Quellenfüllung, nicht aus Bild oder Karte gelesen.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
klebrige Blätter	VISIBLE_PART_BUT_EVENT_BINDING_UNSUPPORTED	1	78	H5	f56r	Die Form kommt an der Ganzpflanze vor, doch kein Leader oder Kartenwert bindet dieses Ereignis an genau diesen Teil.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Kraut	VISIBLE_PART_BUT_EVENT_BINDING_UNSUPPORTED	1	18	H2	f10r	Die Form kommt an der Ganzpflanze vor, doch kein Leader oder Kartenwert bindet dieses Ereignis an genau diesen Teil.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
kühler Lagerort	UNPICTURED_RECIPE_STATE_OR_OPERATION_NOUN	1	60	H4	f55v	Der abstrakte Rezept-/Arbeitsbegriff ist eine konkrete Quellenfüllung, nicht aus Bild oder Karte gelesen.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Leibschmerz	UNPICTURED_MEDICAL_OR_USE_NOUN	1	10	H1	f10r	Weder Leiden, Körperziel noch therapeutischer Gebrauch ist abgebildet; der Ausdruck stammt nur aus dem historischen Quellenexemplar.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Leinwand	UNPICTURED_MATERIAL_IMPLEMENT_OR_MEDIUM	1	62	H4	f55v	Medium, Gerät oder Behälter ist nicht abgebildet und keiner opaken Karte als Wortbedeutung zugewiesen.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Lider	UNPICTURED_MEDICAL_OR_USE_NOUN	1	55	H3	f11r	Weder Leiden, Körperziel noch therapeutischer Gebrauch ist abgebildet; der Ausdruck stammt nur aus dem historischen Quellenexemplar.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
oberirdisches Kraut	VISIBLE_PART_BUT_EVENT_BINDING_UNSUPPORTED	1	75	H5	f56r	Die Form kommt an der Ganzpflanze vor, doch kein Leader oder Kartenwert bindet dieses Ereignis an genau diesen Teil.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Olivenöl	UNPICTURED_MATERIAL_IMPLEMENT_OR_MEDIUM	2	21|53	H2|H3	f10r|f11r	Medium, Gerät oder Behälter ist nicht abgebildet und keiner opaken Karte als Wortbedeutung zugewiesen.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Pflanzensaft	UNPICTURED_MATERIAL_IMPLEMENT_OR_MEDIUM	1	19	H2	f10r	Medium, Gerät oder Behälter ist nicht abgebildet und keiner opaken Karte als Wortbedeutung zugewiesen.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Posten	UNPICTURED_RECIPE_STATE_OR_OPERATION_NOUN	1	56	H4	f55v	Der abstrakte Rezept-/Arbeitsbegriff ist eine konkrete Quellenfüllung, nicht aus Bild oder Karte gelesen.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Quellwasser	UNPICTURED_MATERIAL_IMPLEMENT_OR_MEDIUM	1	6	H1	f10r	Medium, Gerät oder Behälter ist nicht abgebildet und keiner opaken Karte als Wortbedeutung zugewiesen.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Reinigung	UNPICTURED_RECIPE_STATE_OR_OPERATION_NOUN	1	2	H1	f10r	Der abstrakte Rezept-/Arbeitsbegriff ist eine konkrete Quellenfüllung, nicht aus Bild oder Karte gelesen.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Salbe	UNPICTURED_RECIPE_STATE_OR_OPERATION_NOUN	1	36	H2	f10r	Der abstrakte Rezept-/Arbeitsbegriff ist eine konkrete Quellenfüllung, nicht aus Bild oder Karte gelesen.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Salbenansatz	UNPICTURED_RECIPE_STATE_OR_OPERATION_NOUN	2	33|34	H2	f10r	Der abstrakte Rezept-/Arbeitsbegriff ist eine konkrete Quellenfüllung, nicht aus Bild oder Karte gelesen.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Schatten	UNPICTURED_MATERIAL_IMPLEMENT_OR_MEDIUM	1	88	H5	f56r	Medium, Gerät oder Behälter ist nicht abgebildet und keiner opaken Karte als Wortbedeutung zugewiesen.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Schwellung	UNPICTURED_MEDICAL_OR_USE_NOUN	1	38	H2	f10r	Weder Leiden, Körperziel noch therapeutischer Gebrauch ist abgebildet; der Ausdruck stammt nur aus dem historischen Quellenexemplar.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Trank	UNPICTURED_MEDICAL_OR_USE_NOUN	1	49	H3	f11r	Weder Leiden, Körperziel noch therapeutischer Gebrauch ist abgebildet; der Ausdruck stammt nur aus dem historischen Quellenexemplar.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Trankanteil	UNPICTURED_RECIPE_STATE_OR_OPERATION_NOUN	1	98	H5	f56r	Der abstrakte Rezept-/Arbeitsbegriff ist eine konkrete Quellenfüllung, nicht aus Bild oder Karte gelesen.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Tuch	UNPICTURED_MATERIAL_IMPLEMENT_OR_MEDIUM	4	19|41|43|93	H2|H3|H5	f10r|f11r|f56r	Medium, Gerät oder Behälter ist nicht abgebildet und keiner opaken Karte als Wortbedeutung zugewiesen.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Umschlag	UNPICTURED_MEDICAL_OR_USE_NOUN	1	73	H4	f55v	Weder Leiden, Körperziel noch therapeutischer Gebrauch ist abgebildet; der Ausdruck stammt nur aus dem historischen Quellenexemplar.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Verträglichkeit	UNPICTURED_MEDICAL_OR_USE_NOUN	1	85	H5	f56r	Weder Leiden, Körperziel noch therapeutischer Gebrauch ist abgebildet; der Ausdruck stammt nur aus dem historischen Quellenexemplar.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
vorheriger Posten	UNPICTURED_RECIPE_STATE_OR_OPERATION_NOUN	1	28	H2	f10r	Der abstrakte Rezept-/Arbeitsbegriff ist eine konkrete Quellenfüllung, nicht aus Bild oder Karte gelesen.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Vorrat	UNPICTURED_RECIPE_STATE_OR_OPERATION_NOUN	1	90	H5	f56r	Der abstrakte Rezept-/Arbeitsbegriff ist eine konkrete Quellenfüllung, nicht aus Bild oder Karte gelesen.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Vorratsgefäß	UNPICTURED_MATERIAL_IMPLEMENT_OR_MEDIUM	3	10|37|63	H1|H2|H4	f10r|f55v	Medium, Gerät oder Behälter ist nicht abgebildet und keiner opaken Karte als Wortbedeutung zugewiesen.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Warze	UNPICTURED_MEDICAL_OR_USE_NOUN	1	80	H5	f56r	Weder Leiden, Körperziel noch therapeutischer Gebrauch ist abgebildet; der Ausdruck stammt nur aus dem historischen Quellenexemplar.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Wasser	UNPICTURED_MATERIAL_IMPLEMENT_OR_MEDIUM	1	84	H5	f56r	Medium, Gerät oder Behälter ist nicht abgebildet und keiner opaken Karte als Wortbedeutung zugewiesen.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Wein	UNPICTURED_MATERIAL_IMPLEMENT_OR_MEDIUM	2	40|92	H3|H5	f11r|f56r	Medium, Gerät oder Behälter ist nicht abgebildet und keiner opaken Karte als Wortbedeutung zugewiesen.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Weißwein	UNPICTURED_MATERIAL_IMPLEMENT_OR_MEDIUM	1	59	H4	f55v	Medium, Gerät oder Behälter ist nicht abgebildet und keiner opaken Karte als Wortbedeutung zugewiesen.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Wiederholung	UNPICTURED_QUANTITATIVE_OR_TEMPORAL_NOUN	1	85	H5	f56r	Menge, Zeitpunkt oder Wiederholungszahl ist nicht bildlich angegeben und bleibt ein Receptarium-Wert.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Wunde	UNPICTURED_MEDICAL_OR_USE_NOUN	1	64	H4	f55v	Weder Leiden, Körperziel noch therapeutischer Gebrauch ist abgebildet; der Ausdruck stammt nur aus dem historischen Quellenexemplar.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Wurzelteil	VISIBLE_PART_BUT_EVENT_BINDING_UNSUPPORTED	1	1	H1	f10r	Die Form kommt an der Ganzpflanze vor, doch kein Leader oder Kartenwert bindet dieses Ereignis an genau diesen Teil.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Wärme	UNPICTURED_RECIPE_STATE_OR_OPERATION_NOUN	4	12|23|70|95	H1|H2|H4|H5	f10r|f55v|f56r	Der abstrakte Rezept-/Arbeitsbegriff ist eine konkrete Quellenfüllung, nicht aus Bild oder Karte gelesen.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Zerreibung	UNPICTURED_RECIPE_STATE_OR_OPERATION_NOUN	1	89	H5	f56r	Der abstrakte Rezept-/Arbeitsbegriff ist eine konkrete Quellenfüllung, nicht aus Bild oder Karte gelesen.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
Zerschneiden	UNPICTURED_RECIPE_STATE_OR_OPERATION_NOUN	1	4	H1	f10r	Der abstrakte Rezept-/Arbeitsbegriff ist eine konkrete Quellenfüllung, nicht aus Bild oder Karte gelesen.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
zweite Arznei	UNPICTURED_MEDICAL_OR_USE_NOUN	1	46	H3	f11r	Weder Leiden, Körperziel noch therapeutischer Gebrauch ist abgebildet; der Ausdruck stammt nur aus dem historischen Quellenexemplar.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
äußere Anwendung	UNPICTURED_MEDICAL_OR_USE_NOUN	1	86	H5	f56r	Weder Leiden, Körperziel noch therapeutischer Gebrauch ist abgebildet; der Ausdruck stammt nur aus dem historischen Quellenexemplar.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
äußere Zielstelle	UNPICTURED_MEDICAL_OR_USE_NOUN	1	69	H4	f55v	Weder Leiden, Körperziel noch therapeutischer Gebrauch ist abgebildet; der Ausdruck stammt nur aus dem historischen Quellenexemplar.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
äußerliches Öl	UNPICTURED_MEDICAL_OR_USE_NOUN	1	55	H3	f11r	Weder Leiden, Körperziel noch therapeutischer Gebrauch ist abgebildet; der Ausdruck stammt nur aus dem historischen Quellenexemplar.	EXPLICIT_SOURCE_EXEMPLAR_NOUN_NOT_VOYNICH_LEXEME
