event_serial	page	locus	record_unit_id	field_id	statement_id	event_ordinal_in_field	joint_tuple_id	surface_display_only	formal_formula_opaque	terminal_status	parse_status	selected_exact_mnemonic	strict_formal_prompt	event_template	literal_exact_card_formal_exemplar_layer	whole_plant_owner	owner_status	owner_confidence	concrete_technical_default	default_layer	register_effect_in_creative_template	technical_default_confidence	strongest_medical_rival	contradiction	semantic_ceiling
11	f10r	f10r.5	H1	F002	H1-S002	1	9ad66e67803a12e745de	qokchy	OPAQUE_PAYLOAD	NONCLOSE	UNPARSED_EXEMPLAR	UNKNOWN	NONE	EXEMPLAR_ONLY	E11:[TUPLE:9ad66e67803a12e745de;SURFACE_DISPLAY_ONLY:qokchy;FORMULA:OPAQUE_PAYLOAD;CARD:UNKNOWN;PROMPT:NONE;TEMPLATE:EXEMPLAR_ONLY;FROZEN_V72_SEGMENT:[EXEMPLAR TARGET_OR_STATION];TERMINAL:NONCLOSE]	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	Fülle einen zweiten kleinen Posten des Auszugs in ein Arbeitsgefäß.	CREATIVE_OCCURRENCE_EXEMPLAR_FILL	EXECUTE_TYPED_EXEMPLAR_STEP;NO_CONTROL_VALUE_INFERRED	0.24	MEDICAL_RIVAL: wässrige oder andere flüssige Heilmittelzubereitung aus derselben Bildpflanze.	Bild bindet nur die ganze Pflanze, nicht diesen konkreten Arbeitsschritt; Medium und Gerät sind nicht abgebildet; Ereignis besitzt keine bekannte Karte; Objekt und Handlung sind reine Exemplarfüllung.	CREATIVE_NONMEDICAL_EXEMPLAR_NOT_TRANSLATION_CARD_VALUE_STEM_OR_SPECIES
12	f10r	f10r.5	H1	F002	H1-S002	2	e8a6105b5c3a6220b440	qotchol	FRAME_OT(OPAQUE_PAYLOAD)	NONCLOSE	UNPARSED_EXEMPLAR	UNKNOWN	NONE	EXEMPLAR_ONLY	E12:[TUPLE:e8a6105b5c3a6220b440;SURFACE_DISPLAY_ONLY:qotchol;FORMULA:FRAME_OT(OPAQUE_PAYLOAD);CARD:UNKNOWN;PROMPT:NONE;TEMPLATE:EXEMPLAR_ONLY;FROZEN_V72_SEGMENT:[EXEMPLAR ACTION];TERMINAL:NONCLOSE]	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	Erwärme diesen Posten sanft, ohne ihn zum Sieden zu bringen.	CREATIVE_OCCURRENCE_EXEMPLAR_FILL	EXECUTE_TYPED_EXEMPLAR_STEP;NO_CONTROL_VALUE_INFERRED	0.24	MEDICAL_RIVAL: dieselbe Folge als unbekannter heilkundlicher Pflanzenartikel.	Bild bindet nur die ganze Pflanze, nicht diesen konkreten Arbeitsschritt; Ereignis besitzt keine bekannte Karte; Objekt und Handlung sind reine Exemplarfüllung.	CREATIVE_NONMEDICAL_EXEMPLAR_NOT_TRANSLATION_CARD_VALUE_STEM_OR_SPECIES
13	f10r	f10r.5	H1	F002	H1-S002	3	dcda95c81a5460feb191	chol	FRAME_O(LINK)	NONCLOSE	UNIQUE_FORMAL_ONLY	UNKNOWN	AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	LINK_ACTIVE	E13:[TUPLE:dcda95c81a5460feb191;SURFACE_DISPLAY_ONLY:chol;FORMULA:FRAME_O(LINK);CARD:UNKNOWN;PROMPT:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN;TEMPLATE:LINK_ACTIVE;FROZEN_V72_SEGMENT:[FORMAL:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN];TERMINAL:NONCLOSE]	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	Verknüpfe ihn recordlokal mit dem noch aktiven nassen H1-Ansatz.	FROZEN_CONTROL_CLASS_PLUS_CREATIVE_SOURCE_ARGUMENT	PREVIOUS:=ACTIVE;ACTIVE:=EXEMPLAR_OR_LINKED_LOCAL_BATCH	0.44	MEDICAL_RIVAL: dieselbe Folge als unbekannter heilkundlicher Pflanzenartikel.	Bild bindet nur die ganze Pflanze, nicht diesen konkreten Arbeitsschritt; bekannte Karte/Formalklasse ist nur gefrorener Prompt und trägt diese konkrete Lesung nicht.	CREATIVE_NONMEDICAL_EXEMPLAR_NOT_TRANSLATION_CARD_VALUE_STEM_OR_SPECIES
14	f10r	f10r.5	H1	F002	H1-S002	4	e0b630cb1b5df5e7105b	cthy	OPAQUE_PAYLOAD	NONCLOSE	UNIQUE_EXACT	BEREIT?	NONE	STATE_GATE	E14:[TUPLE:e0b630cb1b5df5e7105b;SURFACE_DISPLAY_ONLY:cthy;FORMULA:OPAQUE_PAYLOAD;CARD:BEREIT?;PROMPT:NONE;TEMPLATE:STATE_GATE;FROZEN_V72_SEGMENT:[CARD:BEREIT?];TERMINAL:NONCLOSE]	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	Gib ihn zum Abgießen frei, sobald sich der örtliche Bereitschaftszustand zeigt.	FROZEN_CONTROL_CLASS_PLUS_CREATIVE_SOURCE_ARGUMENT	IF EXEMPLAR_STATE_REACHED THEN RELEASE(ACTIVE)	0.47	MEDICAL_RIVAL: dieselbe Folge als unbekannter heilkundlicher Pflanzenartikel.	Bild bindet nur die ganze Pflanze, nicht diesen konkreten Arbeitsschritt; bekannte Karte/Formalklasse ist nur gefrorener Prompt und trägt diese konkrete Lesung nicht.	CREATIVE_NONMEDICAL_EXEMPLAR_NOT_TRANSLATION_CARD_VALUE_STEM_OR_SPECIES
15	f10r	f10r.6	H2	F003	H2-S001	1	7249edc4df3419c26999	ycheor	OPAQUE_PAYLOAD	NONCLOSE	UNPARSED_EXEMPLAR	UNKNOWN	NONE	EXEMPLAR_ONLY	E15:[TUPLE:7249edc4df3419c26999;SURFACE_DISPLAY_ONLY:ycheor;FORMULA:OPAQUE_PAYLOAD;CARD:UNKNOWN;PROMPT:NONE;TEMPLATE:EXEMPLAR_ONLY;FROZEN_V72_SEGMENT:[EXEMPLAR SUBSTANCE_OR_OBJECT];TERMINAL:NONCLOSE]	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	Eröffne aus derselben Bildpflanze ein neues, vom H1-Record getrenntes Los.	CREATIVE_OCCURRENCE_EXEMPLAR_FILL	EXECUTE_TYPED_EXEMPLAR_STEP;NO_CONTROL_VALUE_INFERRED	0.24	MEDICAL_RIVAL: dieselbe Folge als unbekannter heilkundlicher Pflanzenartikel.	Bild bindet nur die ganze Pflanze, nicht diesen konkreten Arbeitsschritt; Ereignis besitzt keine bekannte Karte; Objekt und Handlung sind reine Exemplarfüllung.	CREATIVE_NONMEDICAL_EXEMPLAR_NOT_TRANSLATION_CARD_VALUE_STEM_OR_SPECIES
16	f10r	f10r.6	H2	F003	H2-S001	2	e0b630cb1b5df5e7105b	cthy	OPAQUE_PAYLOAD	NONCLOSE	UNIQUE_EXACT	BEREIT?	NONE	STATE_GATE	E16:[TUPLE:e0b630cb1b5df5e7105b;SURFACE_DISPLAY_ONLY:cthy;FORMULA:OPAQUE_PAYLOAD;CARD:BEREIT?;PROMPT:NONE;TEMPLATE:STATE_GATE;FROZEN_V72_SEGMENT:[CARD:BEREIT?];TERMINAL:NONCLOSE]	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	Prüfe, ob das gewählte oberirdische Material frisch und unbeschädigt ist.	FROZEN_CONTROL_CLASS_PLUS_CREATIVE_SOURCE_ARGUMENT	IF EXEMPLAR_STATE_REACHED THEN RELEASE(ACTIVE)	0.47	MEDICAL_RIVAL: therapeutische Anwendung oder Probe derselben unbekannten Heilzubereitung.	Bild bindet nur die ganze Pflanze, nicht diesen konkreten Arbeitsschritt; bekannte Karte/Formalklasse ist nur gefrorener Prompt und trägt diese konkrete Lesung nicht.	CREATIVE_NONMEDICAL_EXEMPLAR_NOT_TRANSLATION_CARD_VALUE_STEM_OR_SPECIES
17	f10r	f10r.6	H2	F003	H2-S001	3	7a4bb8136330ee4e6e56	chor	OPAQUE_PAYLOAD	NONCLOSE	UNIQUE_EXACT	ANSATZ?	NONE	LINK_ACTIVE	E17:[TUPLE:7a4bb8136330ee4e6e56;SURFACE_DISPLAY_ONLY:chor;FORMULA:OPAQUE_PAYLOAD;CARD:ANSATZ?;PROMPT:NONE;TEMPLATE:LINK_ACTIVE;FROZEN_V72_SEGMENT:[CARD:ANSATZ?];TERMINAL:NONCLOSE]	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	Setze dieses Material als neuen aktiven Arbeitsansatz ein.	FROZEN_CONTROL_CLASS_PLUS_CREATIVE_SOURCE_ARGUMENT	PREVIOUS:=ACTIVE;ACTIVE:=EXEMPLAR_OR_LINKED_LOCAL_BATCH	0.44	MEDICAL_RIVAL: Auswahl eines heilkundlich bestimmten Pflanzenanteils statt einer Materialprobe.	Bild bindet nur die ganze Pflanze, nicht diesen konkreten Arbeitsschritt; bekannte Karte/Formalklasse ist nur gefrorener Prompt und trägt diese konkrete Lesung nicht.	CREATIVE_NONMEDICAL_EXEMPLAR_NOT_TRANSLATION_CARD_VALUE_STEM_OR_SPECIES
18	f10r	f10r.6	H2	F003	H2-S001	4	f3c23f42baf625639e1e	cthaiin	OPAQUE_PAYLOAD + <ARG_AIIN>	NONCLOSE	UNPARSED_EXEMPLAR	UNKNOWN	NONE	EXEMPLAR_ONLY	E18:[TUPLE:f3c23f42baf625639e1e;SURFACE_DISPLAY_ONLY:cthaiin;FORMULA:OPAQUE_PAYLOAD + <ARG_AIIN>;CARD:UNKNOWN;PROMPT:NONE;TEMPLATE:EXEMPLAR_ONLY;FROZEN_V72_SEGMENT:[EXEMPLAR SUBSTANCE_OR_OBJECT];TERMINAL:NONCLOSE]	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	Nimm davon eine gleichmäßige Handprobe.	CREATIVE_OCCURRENCE_EXEMPLAR_FILL	EXECUTE_TYPED_EXEMPLAR_STEP;NO_CONTROL_VALUE_INFERRED	0.24	MEDICAL_RIVAL: Auswahl eines heilkundlich bestimmten Pflanzenanteils statt einer Materialprobe.	Bild bindet nur die ganze Pflanze, nicht diesen konkreten Arbeitsschritt; Ereignis besitzt keine bekannte Karte; Objekt und Handlung sind reine Exemplarfüllung.	CREATIVE_NONMEDICAL_EXEMPLAR_NOT_TRANSLATION_CARD_VALUE_STEM_OR_SPECIES
19	f10r	f10r.6	H2	F003	H2-S001	5	af816c04e65874a0f2fa	qoctholy	OPAQUE_PAYLOAD	NONCLOSE	UNPARSED_EXEMPLAR	UNKNOWN	NONE	EXEMPLAR_ONLY	E19:[TUPLE:af816c04e65874a0f2fa;SURFACE_DISPLAY_ONLY:qoctholy;FORMULA:OPAQUE_PAYLOAD;CARD:UNKNOWN;PROMPT:NONE;TEMPLATE:EXEMPLAR_ONLY;FROZEN_V72_SEGMENT:[EXEMPLAR SUBSTANCE_OR_OBJECT];TERMINAL:NONCLOSE]	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	Quetsche die Handprobe in einem Mörser an.	CREATIVE_OCCURRENCE_EXEMPLAR_FILL	EXECUTE_TYPED_EXEMPLAR_STEP;NO_CONTROL_VALUE_INFERRED	0.24	MEDICAL_RIVAL: Auswahl eines heilkundlich bestimmten Pflanzenanteils statt einer Materialprobe.	Bild bindet nur die ganze Pflanze, nicht diesen konkreten Arbeitsschritt; Medium und Gerät sind nicht abgebildet; Ereignis besitzt keine bekannte Karte; Objekt und Handlung sind reine Exemplarfüllung.	CREATIVE_NONMEDICAL_EXEMPLAR_NOT_TRANSLATION_CARD_VALUE_STEM_OR_SPECIES
20	f10r	f10r.6	H2	F003	H2-S001	6	b921a237be883a820352	dy	OPAQUE_PAYLOAD	NONCLOSE	UNPARSED_EXEMPLAR	UNKNOWN	NONE	EXEMPLAR_ONLY	E20:[TUPLE:b921a237be883a820352;SURFACE_DISPLAY_ONLY:dy;FORMULA:OPAQUE_PAYLOAD;CARD:UNKNOWN;PROMPT:NONE;TEMPLATE:EXEMPLAR_ONLY;FROZEN_V72_SEGMENT:[EXEMPLAR SOURCE_ARGUMENT];TERMINAL:NONCLOSE]	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	Presse das gequetschte Material durch ein sauberes Tuch.	CREATIVE_OCCURRENCE_EXEMPLAR_FILL	EXECUTE_TYPED_EXEMPLAR_STEP;NO_CONTROL_VALUE_INFERRED	0.24	MEDICAL_RIVAL: Auswahl eines heilkundlich bestimmten Pflanzenanteils statt einer Materialprobe.	Bild bindet nur die ganze Pflanze, nicht diesen konkreten Arbeitsschritt; Medium und Gerät sind nicht abgebildet; Ereignis besitzt keine bekannte Karte; Objekt und Handlung sind reine Exemplarfüllung.	CREATIVE_NONMEDICAL_EXEMPLAR_NOT_TRANSLATION_CARD_VALUE_STEM_OR_SPECIES
21	f10r	f10r.6	H2	F003	H2-S001	7	b921a237be883a820352	chy	OPAQUE_PAYLOAD	NONCLOSE	UNPARSED_EXEMPLAR	UNKNOWN	NONE	EXEMPLAR_ONLY	E21:[TUPLE:b921a237be883a820352;SURFACE_DISPLAY_ONLY:chy;FORMULA:OPAQUE_PAYLOAD;CARD:UNKNOWN;PROMPT:NONE;TEMPLATE:EXEMPLAR_ONLY;FROZEN_V72_SEGMENT:[EXEMPLAR ACTION];TERMINAL:NONCLOSE]	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	Fange die ausgedrückte Flüssigkeit in einem eigenen Gefäß auf.	CREATIVE_OCCURRENCE_EXEMPLAR_FILL	EXECUTE_TYPED_EXEMPLAR_STEP;NO_CONTROL_VALUE_INFERRED	0.24	MEDICAL_RIVAL: wässrige oder andere flüssige Heilmittelzubereitung aus derselben Bildpflanze.	Bild bindet nur die ganze Pflanze, nicht diesen konkreten Arbeitsschritt; Medium und Gerät sind nicht abgebildet; Ereignis besitzt keine bekannte Karte; Objekt und Handlung sind reine Exemplarfüllung.	CREATIVE_NONMEDICAL_EXEMPLAR_NOT_TRANSLATION_CARD_VALUE_STEM_OR_SPECIES
