statement_id	page	record	first_locus	silent_owner_de	event_count	source_instruction_de	compact_workshop_instruction_de	replacements_used	source_words	compact_words	words_saved	modern_meta_phrases_remaining	semantic_slots_preserved
H5-S006	f56r	H5	f56r.19	abgebildete mehrköpfige stachelige Pflanze	3	danach den laufenden Posten weiter nach vorgeschriebenem Maß als Portion im Arbeitsgang kurz zugeben	danach dies weiter nach Maß als Portion im Gang kurz zugeben	den laufenden Posten>dies|nach vorgeschriebenem Maß>nach Maß|im Arbeitsgang>im Gang	14	11	3	NO	YES
B1-S001	f81v	B1	f81v.2	gemeinsame zweireihige Figuren-/Beckenstation	1	den laufenden Posten kurz einwirken lassen und den Schritt schließen	dies kurz einwirken lassen; schließe	den laufenden Posten>dies|und den Schritt schließen>; schließe	10	5	5	NO	YES
B1-S002	f81v	B1	f81v.2	gemeinsame zweireihige Figuren-/Beckenstation	19	den laufenden Posten nach vorgeschriebenem Maß einsetzen	dies nach Maß einsetzen	den laufenden Posten>dies|nach vorgeschriebenem Maß>nach Maß	7	4	3	NO	YES
B1-S003	f81v	B1	f81v.7	gemeinsame zweireihige Figuren-/Beckenstation	2	den laufenden Posten weiter halten und zugeben und überführen und den Schritt schließen	dies weiter halten und zugeben und überführen; schließe	den laufenden Posten>dies|und den Schritt schließen>; schließe	13	8	5	NO	YES
B1-S004	f81v	B1	f81v.17	gemeinsame zweireihige Figuren-/Beckenstation	3	den laufenden Posten umsetzen	dies umsetzen	den laufenden Posten>dies	4	2	2	NO	YES
B1-S005	f81v	B1	f81v.17	gemeinsame zweireihige Figuren-/Beckenstation	1	den laufenden Posten weiter überführen und den Schritt schließen	dies weiter überführen; schließe	den laufenden Posten>dies|und den Schritt schließen>; schließe	9	4	5	NO	YES
B1-S006	f81v	B1	f81v.17	gemeinsame zweireihige Figuren-/Beckenstation	4	eine Portion einsetzen	eine Portion einsetzen	NONE	3	3	0	NO	YES
B1-S007	f81v	B1	f81v.18	gemeinsame zweireihige Figuren-/Beckenstation	1	den laufenden Posten einsetzen und überführen und den Schritt schließen	dies einsetzen und überführen; schließe	den laufenden Posten>dies|und den Schritt schließen>; schließe	10	5	5	NO	YES
B1-S008	f81v	B1	f81v.18	gemeinsame zweireihige Figuren-/Beckenstation	5	den laufenden Posten weiter kurz warm halten	dies weiter kurz warm halten	den laufenden Posten>dies	7	5	2	NO	YES
B1-S009	f81v	B1	f81v.18	gemeinsame zweireihige Figuren-/Beckenstation	1	den laufenden Posten kurz einwirken lassen und den Schritt schließen	dies kurz einwirken lassen; schließe	den laufenden Posten>dies|und den Schritt schließen>; schließe	10	5	5	NO	YES
B1-S010	f81v	B1	f81v.18	gemeinsame zweireihige Figuren-/Beckenstation	1	den laufenden Posten kurz einwirken lassen und den Schritt schließen	dies kurz einwirken lassen; schließe	den laufenden Posten>dies|und den Schritt schließen>; schließe	10	5	5	NO	YES
B1-S011	f81v	B1	f81v.18	gemeinsame zweireihige Figuren-/Beckenstation	2	den laufenden Posten durch den Durchlass einleiten	dies durch den Durchlass einleiten	den laufenden Posten>dies	7	5	2	NO	YES
B1-S012	f81v	B1	f81v.21	gemeinsame zweireihige Figuren-/Beckenstation	3	den laufenden Posten im Arbeitsgang waschen	dies im Gang waschen	den laufenden Posten>dies|im Arbeitsgang>im Gang	6	4	2	NO	YES
B1-S013	f81v	B1	f81v.21	gemeinsame zweireihige Figuren-/Beckenstation	1	den laufenden Posten kurz durchwaschen und den Schritt schließen	dies kurz durchwaschen; schließe	den laufenden Posten>dies|und den Schritt schließen>; schließe	9	4	5	NO	YES
B1-S014	f81v	B1	f81v.21	gemeinsame zweireihige Figuren-/Beckenstation	5	den laufenden Posten umsetzen	dies umsetzen	den laufenden Posten>dies	4	2	2	NO	YES
B1-S015	f81v	B1	f81v.24	gemeinsame zweireihige Figuren-/Beckenstation	2	danach den laufenden Posten weiter von dort kurz übertragen	danach dies weiter davon kurz übertragen	den laufenden Posten>dies|von dort>davon	9	6	3	NO	YES
B1-S016	f81v	B1	f81v.24	gemeinsame zweireihige Figuren-/Beckenstation	4	den laufenden Posten an der bezeichneten Stelle anlegen	dies dorthin anlegen	den laufenden Posten>dies|an der bezeichneten Stelle>dorthin	8	3	5	NO	YES
B1-S017	f81v	B1	f81v.24	gemeinsame zweireihige Figuren-/Beckenstation	3	den laufenden Posten weiter an der bezeichneten Stelle kurz umfüllen und den Schritt schließen	dies weiter dorthin kurz umfüllen; schließe	den laufenden Posten>dies|an der bezeichneten Stelle>dorthin|und den Schritt schließen>; schließe	14	6	8	NO	YES
B1-S018	f81v	B1	f81v.24	gemeinsame zweireihige Figuren-/Beckenstation	4	den laufenden Posten führen	dies führen	den laufenden Posten>dies	4	2	2	NO	YES
B1-S019	f81v	B1	f81v.27	gemeinsame zweireihige Figuren-/Beckenstation	1	den laufenden Posten absetzen lassen und den Schritt schließen	dies absetzen lassen; schließe	den laufenden Posten>dies|und den Schritt schließen>; schließe	9	4	5	NO	YES
B1-S020	f81v	B1	f81v.27	gemeinsame zweireihige Figuren-/Beckenstation	2	den laufenden Posten kurz warm halten	dies kurz warm halten	den laufenden Posten>dies	6	4	2	NO	YES
B1-S021	f81v	B1	f81v.27	gemeinsame zweireihige Figuren-/Beckenstation	1	an der bezeichneten Stelle weiterarbeiten	dorthin weiterarbeiten	an der bezeichneten Stelle>dorthin	5	2	3	NO	YES
B2-S001	f82r	B2	f82r.2	oberes Beckenpaar mit Zylinder	1	den laufenden Posten überführen und den Schritt schließen	dies überführen; schließe	den laufenden Posten>dies|und den Schritt schließen>; schließe	8	3	5	NO	YES
B2-S002	f82r	B2	f82r.2	oberes Beckenpaar mit Zylinder	1	den laufenden Posten weiter überführen und den Schritt schließen	dies weiter überführen; schließe	den laufenden Posten>dies|und den Schritt schließen>; schließe	9	4	5	NO	YES
B2-S003	f82r	B2	f82r.2	oberes Beckenpaar mit Zylinder	3	eine Portion einsetzen	eine Portion einsetzen	NONE	3	3	0	NO	YES
B2-S004	f82r	B2	f82r.2	oberes Beckenpaar mit Zylinder	5	den laufenden Posten an der bezeichneten Stelle anlegen	dies dorthin anlegen	den laufenden Posten>dies|an der bezeichneten Stelle>dorthin	8	3	5	NO	YES
B2-S005	f82r	B2	f82r.3	oberes Beckenpaar mit Zylinder	8	den laufenden Posten an der bezeichneten Stelle anlegen	dies dorthin anlegen	den laufenden Posten>dies|an der bezeichneten Stelle>dorthin	8	3	5	NO	YES
B2-S006	f82r	B2	f82r.4	oberes Beckenpaar mit Zylinder	4	danach den laufenden Posten an der bezeichneten Stelle länger anlegen	danach dies dorthin länger anlegen	den laufenden Posten>dies|an der bezeichneten Stelle>dorthin	10	5	5	NO	YES
B2-S007	f82r	B2	f82r.7	mittleres linkes Handgerät mit Inline-Knoten	1	den laufenden Posten kurz ruhen lassen und den Schritt schließen	dies kurz ruhen lassen; schließe	den laufenden Posten>dies|und den Schritt schließen>; schließe	10	5	5	NO	YES
B2-S008	f82r	B2	f82r.7	mittleres linkes Handgerät mit Inline-Knoten	3	danach den laufenden Posten von dort nach vorgeschriebenem Maß einsetzen	danach dies davon nach Maß einsetzen	den laufenden Posten>dies|nach vorgeschriebenem Maß>nach Maß|von dort>davon	10	6	4	NO	YES
B2-S009	f82r	B2	f82r.7	mittleres linkes Handgerät mit Inline-Knoten	1	den laufenden Posten weiter kurz ruhen lassen und den Schritt schließen	dies weiter kurz ruhen lassen; schließe	den laufenden Posten>dies|und den Schritt schließen>; schließe	11	6	5	NO	YES
B2-S010	f82r	B2	f82r.7	mittleres linkes Handgerät mit Inline-Knoten	4	den laufenden Posten länger wirken lassen	dies länger wirken lassen	den laufenden Posten>dies	6	4	2	NO	YES
B2-S011	f82r	B2	f82r.19	mittlere rechte unklare Station	4	eine Portion einsetzen	eine Portion einsetzen	NONE	3	3	0	NO	YES
B2-S012	f82r	B2	f82r.19	mittlere rechte unklare Station	8	den laufenden Posten führen und abnehmen	dies führen und abnehmen	den laufenden Posten>dies	6	4	2	NO	YES
B2-S013	f82r	B2	f82r.23	unteres grünes Mehrfigurenbecken	1	den laufenden Posten abführen und überführen und den Schritt schließen	dies abführen und überführen; schließe	den laufenden Posten>dies|und den Schritt schließen>; schließe	10	5	5	NO	YES
B2-S014	f82r	B2	f82r.23	unteres grünes Mehrfigurenbecken	1	den laufenden Posten von dort ableiten	dies davon ableiten	den laufenden Posten>dies|von dort>davon	6	3	3	NO	YES
B2-S015	f82r	B2	f82r.26	kleine Randstationen des unteren Beckens	2	den laufenden Posten kurz halten	dies kurz halten	den laufenden Posten>dies	5	3	2	NO	YES
B2-S016	f82r	B2	f82r.26	kleine Randstationen des unteren Beckens	8	den laufenden Posten von dort an der bezeichneten Stelle ableiten und umfüllen	dies davon dorthin ableiten und umfüllen	den laufenden Posten>dies|an der bezeichneten Stelle>dorthin|von dort>davon	12	6	6	NO	YES
B2-S017	f82r	B2	f82r.27	kleine Randstationen des unteren Beckens	2	den laufenden Posten an der bezeichneten Stelle kurz abkühlen lassen und ruhen lassen und den Schritt schließen	dies dorthin kurz abkühlen lassen und ruhen lassen; schließe	den laufenden Posten>dies|an der bezeichneten Stelle>dorthin|und den Schritt schließen>; schließe	17	9	8	NO	YES
B2-S018	f82r	B2	f82r.27	kleine Randstationen des unteren Beckens	1	den laufenden Posten länger einwirken lassen und den Schritt schließen	dies länger einwirken lassen; schließe	den laufenden Posten>dies|und den Schritt schließen>; schließe	10	5	5	NO	YES
B2-S019	f82r	B2	f82r.27	kleine Randstationen des unteren Beckens	1	den laufenden Posten auskühlen lassen und absetzen lassen und den Schritt schließen	dies auskühlen lassen und absetzen lassen; schließe	den laufenden Posten>dies|und den Schritt schließen>; schließe	12	7	5	NO	YES
B2-S020	f82r	B2	f82r.27	kleine Randstationen des unteren Beckens	1	danach länger einwirken lassen und den Schritt schließen	danach länger einwirken lassen; schließe	und den Schritt schließen>; schließe	8	5	3	NO	YES
B2-S021	f82r	B2	f82r.27	kleine Randstationen des unteren Beckens	1	den laufenden Posten länger einwirken lassen und den Schritt schließen	dies länger einwirken lassen; schließe	den laufenden Posten>dies|und den Schritt schließen>; schließe	10	5	5	NO	YES
B2-S022	f82r	B2	f82r.27	kleine Randstationen des unteren Beckens	1	den laufenden Posten im Arbeitsgang abführen und überführen und den Schritt schließen	dies im Gang abführen und überführen; schließe	den laufenden Posten>dies|im Arbeitsgang>im Gang|und den Schritt schließen>; schließe	12	7	5	NO	YES
B3-S001	f83r	B3	f83r.3	obere offene Fächerstation am Rand	1	den laufenden Posten länger auffangen und stehen lassen und den Schritt schließen	dies länger auffangen und stehen lassen; schließe	den laufenden Posten>dies|und den Schritt schließen>; schließe	12	7	5	NO	YES
B3-S002	f83r	B3	f83r.3	obere offene Fächerstation am Rand	2	danach den laufenden Posten an der bezeichneten Stelle länger anwärmen und den Schritt schließen	danach dies dorthin länger anwärmen; schließe	den laufenden Posten>dies|an der bezeichneten Stelle>dorthin|und den Schritt schließen>; schließe	14	6	8	NO	YES
B3-S003	f83r	B3	f83r.3	obere offene Fächerstation am Rand	4	den laufenden Posten nach vorgeschriebenem Maß abführen und abmessen und umsetzen und den Schritt schließen	dies nach Maß abführen und abmessen und umsetzen; schließe	den laufenden Posten>dies|nach vorgeschriebenem Maß>nach Maß|und den Schritt schließen>; schließe	15	9	6	NO	YES
B3-S004	f83r	B3	f83r.3	obere offene Fächerstation am Rand	3	den laufenden Posten nach vorgeschriebenem Maß einsetzen	dies nach Maß einsetzen	den laufenden Posten>dies|nach vorgeschriebenem Maß>nach Maß	7	4	3	NO	YES
B3-S005	f83r	B3	f83r.6	mittlere Randfigur im runden Gefäß	1	danach den laufenden Posten von dort an der bezeichneten Stelle umfüllen und den Schritt schließen	danach dies davon dorthin umfüllen; schließe	den laufenden Posten>dies|an der bezeichneten Stelle>dorthin|von dort>davon|und den Schritt schließen>; schließe	15	6	9	NO	YES
B3-S006	f83r	B3	f83r.6	mittlere Randfigur im runden Gefäß	3	den laufenden Posten umsetzen	dies umsetzen	den laufenden Posten>dies	4	2	2	NO	YES
B3-S007	f83r	B3	f83r.6	mittlere Randfigur im runden Gefäß	3	den laufenden Posten nach vorgeschriebenem Maß einsetzen	dies nach Maß einsetzen	den laufenden Posten>dies|nach vorgeschriebenem Maß>nach Maß	7	4	3	NO	YES
B3-S008	f83r	B3	f83r.6	mittlere Randfigur im runden Gefäß	1	den laufenden Posten abführen und überführen und den Schritt schließen	dies abführen und überführen; schließe	den laufenden Posten>dies|und den Schritt schließen>; schließe	10	5	5	NO	YES
B3-S009	f83r	B3	f83r.6	mittlere Randfigur im runden Gefäß	1	den laufenden Posten einsetzen	dies einsetzen	den laufenden Posten>dies	4	2	2	NO	YES
B3-S010	f83r	B3	f83r.8	untere Randfigur im korbartigen Gefäß	2	danach den laufenden Posten an der bezeichneten Stelle kurz einfüllen und umfüllen und den Schritt schließen	danach dies dorthin kurz einfüllen und umfüllen; schließe	den laufenden Posten>dies|an der bezeichneten Stelle>dorthin|und den Schritt schließen>; schließe	16	8	8	NO	YES
B3-S011	f83r	B3	f83r.8	untere Randfigur im korbartigen Gefäß	4	den laufenden Posten kurz bis bereit halten und umsetzen	dies kurz bis bereit halten und umsetzen	den laufenden Posten>dies	9	7	2	NO	YES
B3-S012	f83r	B3	f83r.11	untere Randfigur im korbartigen Gefäß	2	den laufenden Posten von dort absetzen lassen und den Schritt schließen	dies davon absetzen lassen; schließe	den laufenden Posten>dies|von dort>davon|und den Schritt schließen>; schließe	11	5	6	NO	YES
B3-S013	f83r	B3	f83r.11	untere Randfigur im korbartigen Gefäß	4	den laufenden Posten nach vorgeschriebenem Maß einsetzen	dies nach Maß einsetzen	den laufenden Posten>dies|nach vorgeschriebenem Maß>nach Maß	7	4	3	NO	YES
B3-S014	f83r	B3	f83r.11	untere Randfigur im korbartigen Gefäß	2	den laufenden Posten im Lauf einleiten	dies im Lauf einleiten	den laufenden Posten>dies	6	4	2	NO	YES
B3-S015	f83r	B3	f83r.11	untere Randfigur im korbartigen Gefäß	1	den laufenden Posten abführen und überführen und den Schritt schließen	dies abführen und überführen; schließe	den laufenden Posten>dies|und den Schritt schließen>; schließe	10	5	5	NO	YES
B3-S016	f83r	B3	f83r.11	untere Randfigur im korbartigen Gefäß	2	den laufenden Posten im Arbeitsgang führen	dies im Gang führen	den laufenden Posten>dies|im Arbeitsgang>im Gang	6	4	2	NO	YES
B3-S017	f83r	B3	f83r.14	unverbundener Zwischenbereich	1	den laufenden Posten länger einwirken lassen und den Schritt schließen	dies länger einwirken lassen; schließe	den laufenden Posten>dies|und den Schritt schließen>; schließe	10	5	5	NO	YES
B3-S018	f83r	B3	f83r.14	unverbundener Zwischenbereich	1	den laufenden Posten absetzen lassen und den Schritt schließen	dies absetzen lassen; schließe	den laufenden Posten>dies|und den Schritt schließen>; schließe	9	4	5	NO	YES
B3-S019	f83r	B3	f83r.14	unverbundener Zwischenbereich	1	den laufenden Posten kurz einwirken lassen und ruhen lassen und den Schritt schließen	dies kurz einwirken lassen und ruhen lassen; schließe	den laufenden Posten>dies|und den Schritt schließen>; schließe	13	8	5	NO	YES
B3-S020	f83r	B3	f83r.14	unverbundener Zwischenbereich	2	den laufenden Posten an der bezeichneten Stelle hinleiten und umfüllen und den Schritt schließen	dies dorthin hinleiten und umfüllen; schließe	den laufenden Posten>dies|an der bezeichneten Stelle>dorthin|und den Schritt schließen>; schließe	14	6	8	NO	YES
B3-S021	f83r	B3	f83r.14	unverbundener Zwischenbereich	11	den laufenden Posten nach vorgeschriebenem Maß einsetzen	dies nach Maß einsetzen	den laufenden Posten>dies|nach vorgeschriebenem Maß>nach Maß	7	4	3	NO	YES
B3-S022	f83r	B3	f83r.15	unverbundener Zwischenbereich	1	danach den laufenden Posten überführen und den Schritt schließen	danach dies überführen; schließe	den laufenden Posten>dies|und den Schritt schließen>; schließe	9	4	5	NO	YES
B3-S023	f83r	B3	f83r.15	unverbundener Zwischenbereich	1	den laufenden Posten abführen und überführen und den Schritt schließen	dies abführen und überführen; schließe	den laufenden Posten>dies|und den Schritt schließen>; schließe	10	5	5	NO	YES
B3-S024	f83r	B3	f83r.16	unverbundener Zwischenbereich	1	den laufenden Posten überführen und den Schritt schließen	dies überführen; schließe	den laufenden Posten>dies|und den Schritt schließen>; schließe	8	3	5	NO	YES
B3-S025	f83r	B3	f83r.16	unverbundener Zwischenbereich	1	den laufenden Posten einsetzen und überführen und den Schritt schließen	dies einsetzen und überführen; schließe	den laufenden Posten>dies|und den Schritt schließen>; schließe	10	5	5	NO	YES
B3-S026	f83r	B3	f83r.16	unverbundener Zwischenbereich	7	den laufenden Posten von dort nach vorgeschriebenem Maß länger ableiten	dies davon nach Maß länger ableiten	den laufenden Posten>dies|nach vorgeschriebenem Maß>nach Maß|von dort>davon	10	6	4	NO	YES
B3-S027	f83r	B3	f83r.20	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	1	danach länger einwirken lassen und den Schritt schließen	danach länger einwirken lassen; schließe	und den Schritt schließen>; schließe	8	5	3	NO	YES
B3-S028	f83r	B3	f83r.20	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	2	den laufenden Posten länger wirken lassen	dies länger wirken lassen	den laufenden Posten>dies	6	4	2	NO	YES
B3-S029	f83r	B3	f83r.20	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	3	den laufenden Posten weiter vollständig eintragen	dies weiter vollständig eintragen	den laufenden Posten>dies	6	4	2	NO	YES
B3-S030	f83r	B3	f83r.20	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	4	den laufenden Posten einsetzen	dies einsetzen	den laufenden Posten>dies	4	2	2	NO	YES
B3-S031	f83r	B3	f83r.22	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	1	den laufenden Posten länger einwirken lassen und den Schritt schließen	dies länger einwirken lassen; schließe	den laufenden Posten>dies|und den Schritt schließen>; schließe	10	5	5	NO	YES
B3-S032	f83r	B3	f83r.22	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	5	eine Portion abmessen und umsetzen	eine Portion abmessen und umsetzen	NONE	5	5	0	NO	YES
B3-S033	f83r	B3	f83r.22	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	1	den laufenden Posten abführen und den Schritt schließen	dies abführen; schließe	den laufenden Posten>dies|und den Schritt schließen>; schließe	8	3	5	NO	YES
B3-S034	f83r	B3	f83r.24	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	6	den laufenden Posten im Arbeitsgang bis bereit bis zur Sollstufe eintragen	dies im Gang bis bereit bis zum Sollgrad eintragen	den laufenden Posten>dies|bis zur Sollstufe>bis zum Sollgrad|im Arbeitsgang>im Gang	11	9	2	NO	YES
B4-S001	f83r	B4	f83r.25	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	1	den laufenden Posten länger einwirken lassen und den Schritt schließen	dies länger einwirken lassen; schließe	den laufenden Posten>dies|und den Schritt schließen>; schließe	10	5	5	NO	YES
B4-S002	f83r	B4	f83r.25	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	3	den laufenden Posten weiter länger wirken lassen	dies weiter länger wirken lassen	den laufenden Posten>dies	7	5	2	NO	YES
B4-S003	f83r	B4	f83r.25	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	7	den laufenden Posten umsetzen	dies umsetzen	den laufenden Posten>dies	4	2	2	NO	YES
B4-S004	f83r	B4	f83r.26	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	1	den laufenden Posten einsetzen und festbinden und den Schritt schließen	dies einsetzen und festbinden; schließe	den laufenden Posten>dies|und den Schritt schließen>; schließe	10	5	5	NO	YES
B4-S005	f83r	B4	f83r.27	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	3	den laufenden Posten als Portion abmessen und umsetzen	dies als Portion abmessen und umsetzen	den laufenden Posten>dies	8	6	2	NO	YES
B4-S006	f83r	B4	f83r.27	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	1	den laufenden Posten durch den Durchlass kurz zurückhalten und den Schritt schließen	dies durch den Durchlass kurz zurückhalten; schließe	den laufenden Posten>dies|und den Schritt schließen>; schließe	12	7	5	NO	YES
B4-S007	f83r	B4	f83r.27	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	1	den laufenden Posten durch den Durchlass kurz zurückhalten und den Schritt schließen	dies durch den Durchlass kurz zurückhalten; schließe	den laufenden Posten>dies|und den Schritt schließen>; schließe	12	7	5	NO	YES
B4-S008	f83r	B4	f83r.28	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	4	den laufenden Posten nach vorgeschriebenem Maß länger warm halten	dies nach Maß länger warm halten	den laufenden Posten>dies|nach vorgeschriebenem Maß>nach Maß	9	6	3	NO	YES
B4-S009	f83r	B4	f83r.28	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	1	den laufenden Posten absetzen lassen und den Schritt schließen	dies absetzen lassen; schließe	den laufenden Posten>dies|und den Schritt schließen>; schließe	9	4	5	NO	YES
B4-S010	f83r	B4	f83r.28	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	1	weiterarbeiten und den Schritt schließen	weiterarbeiten; schließe	und den Schritt schließen>; schließe	5	2	3	NO	YES
B4-S011	f83r	B4	f83r.35	linke Hauptstation mit offenem Fransenlauf	7	den laufenden Posten nach vorgeschriebenem Maß kurz warm halten	dies nach Maß kurz warm halten	den laufenden Posten>dies|nach vorgeschriebenem Maß>nach Maß	9	6	3	NO	YES
B4-S012	f83r	B4	f83r.37	linke Hauptstation mit offenem Fransenlauf	1	den laufenden Posten abführen und überführen und den Schritt schließen	dies abführen und überführen; schließe	den laufenden Posten>dies|und den Schritt schließen>; schließe	10	5	5	NO	YES
B4-S013	f83r	B4	f83r.37	linke Hauptstation mit offenem Fransenlauf	2	den laufenden Posten weiter einsetzen	dies weiter einsetzen	den laufenden Posten>dies	5	3	2	NO	YES
B4-S014	f83r	B4	f83r.38	linke Hauptstation mit offenem Fransenlauf	4	den Ansatz mit dem laufenden Bestand kurz durch den Durchlass führen und den Schritt schließen	den Ansatz mit dem laufenden Bestand kurz durch den Durchlass führen; schließe	und den Schritt schließen>; schließe	15	12	3	NO	YES
B4-S015	f83r	B4	f83r.39	linke Hauptstation mit offenem Fransenlauf	6	eine Portion einsetzen	eine Portion einsetzen	NONE	3	3	0	NO	YES
B4-S016	f83r	B4	f83r.41	rechte Hauptstation mit S-Lauf und Mehrarmknoten	4	eine Portion weiter dosiert zugeben	eine Portion weiter dosiert zugeben	NONE	5	5	0	NO	YES
B5-S001	f83r	B5	f83r.47	linke Fransenstation im B5-Nachtrag	1	danach den laufenden Posten überführen und den Schritt schließen	danach dies überführen; schließe	den laufenden Posten>dies|und den Schritt schließen>; schließe	9	4	5	NO	YES
B5-S002	f83r	B5	f83r.47	linke Fransenstation im B5-Nachtrag	1	den laufenden Posten einsetzen und überführen und den Schritt schließen	dies einsetzen und überführen; schließe	den laufenden Posten>dies|und den Schritt schließen>; schließe	10	5	5	NO	YES
B5-S003	f83r	B5	f83r.47	linke Fransenstation im B5-Nachtrag	9	den laufenden Posten an der bezeichneten Stelle ablagern	dies dorthin ablagern	den laufenden Posten>dies|an der bezeichneten Stelle>dorthin	8	3	5	NO	YES
B6-S001	f83r	B6	f83r.52	rechter S-Lauf im B6-Nachtrag	9	den laufenden Posten länger auffangen	dies länger auffangen	den laufenden Posten>dies	5	3	2	NO	YES
