event_serial	record_unit_id	page	statement_id	visible_surface	spoken_value_de	drawer	record_phase
55	H3	f11r	H3-S004	dy	dieser Posten	ACTIVE_CORE	P11
56	H4	f55v	H4-S001	qokaiin	auf Sollmaß stellen	ACTIVE_CORE	P01
57	H4	f55v	H4-S001	chaiin	Sollmaß	ACTIVE_CORE	P01
58	H4	f55v	H4-S001	ykain	Posten · Anteil	D5_QUANTITY_PART_STAGE	P02
59	H4	f55v	H4-S001	ykan	Posten · Anteil	D5_QUANTITY_PART_STAGE	P02
60	H4	f55v	H4-S001	ody	kühlen	D3_HEAT_SETTLE_STATE	P03
61	H4	f55v	H4-S002	daiin	Sollmaß	ACTIVE_CORE	P04
62	H4	f55v	H4-S002	chedy	diesen Posten übertragen	ACTIVE_CORE	P04
63	H4	f55v	H4-S002	talam	Zielstelle · verwahren	D7_APPLICATION_FASTEN_STORE	P05
64	H4	f55v	H4-S003	ykaiin	Posten · Sollmaß	D5_QUANTITY_PART_STAGE	P06
65	H4	f55v	H4-S003	cheoar	Auszug · Ausgang	D1_MATERIAL_PRODUCT_VESSEL	P07
66	H4	f55v	H4-S003	cheeky	länger bearbeiten	ACTIVE_CORE	P08
67	H4	f55v	H4-S003	oldy	fortsetzen; abschließen	ACTIVE_CORE	P08
68	H4	f55v	H4-S004	aiin	Sollmaß	ACTIVE_CORE	P08
69	H4	f55v	H4-S004	okal	dorthin einsetzen	ACTIVE_CORE	P08
70	H4	f55v	H4-S004	oltchy	weiter · bereitstellen · Posten	D3_HEAT_SETTLE_STATE	P09
71	H4	f55v	H4-S004	or	Arbeitsansatz	ACTIVE_CORE	P10
72	H4	f55v	H4-S004	y	dieser Posten	ACTIVE_CORE	P10
73	H4	f55v	H4-S004	orain	Ansatz · Anteil	D1_MATERIAL_PRODUCT_VESSEL	P11
74	H5	f56r	H5-S001	chochor	Zutat · Ansatz	D1_MATERIAL_PRODUCT_VESSEL	P01
75	H5	f56r	H5-S001	cho	weitere Zutat	ACTIVE_CORE	P02
76	H5	f56r	H5-S001	chodaly	Zutat · Zielstelle · Posten	D1_MATERIAL_PRODUCT_VESSEL	P03
77	H5	f56r	H5-S001	daiin	Sollmaß	ACTIVE_CORE	P04
78	H5	f56r	H5-S001	sho	weitere Zutat	ACTIVE_CORE	P04
79	H5	f56r	H5-S001	kchol	bearbeiten · weiter	D6_ORDER_CONTINUATION	P05
80	H5	f56r	H5-S001	otchor	nächster Arbeitsansatz	ACTIVE_CORE	P06
81	H5	f56r	H5-S001	choky	diesen Posten einsetzen	ACTIVE_CORE	P06
82	H5	f56r	H5-S001	dal	dorthin	ACTIVE_CORE	P06
83	H5	f56r	H5-S002	schol	vom vorigen Posten	ACTIVE_CORE	P06
84	H5	f56r	H5-S002	choy	Zutat · Posten	D1_MATERIAL_PRODUCT_VESSEL	P07
85	H5	f56r	H5-S002	choky	diesen Posten einsetzen	ACTIVE_CORE	P08
86	H5	f56r	H5-S002	cheeckhody	länger · Durchgang · Zutat; schließen	D2_FILTER_WASH_FLOW	P09
87	H5	f56r	H5-S003	sh	halten	D3_HEAT_SETTLE_STATE	P10
88	H5	f56r	H5-S003	cho	weitere Zutat	ACTIVE_CORE	P11
89	H5	f56r	H5-S003	kchey	bearbeiten · kurz · Posten	D3_HEAT_SETTLE_STATE	P12
90	H5	f56r	H5-S003	qokokchy	einsetzen · einsetzen · Posten	D8_LOCAL_OPERATION	P13
91	H5	f56r	H5-S004	okchy	diesen Posten weiterbearbeiten	ACTIVE_CORE	P14
92	H5	f56r	H5-S004	chokcheo	einsetzen · Auszug	D1_MATERIAL_PRODUCT_VESSEL	P15
93	H5	f56r	H5-S004	kchal	bearbeiten · Zielstelle	D4_TRANSFER_SOURCE_TARGET	P16
94	H5	f56r	H5-S005	sho	weitere Zutat	ACTIVE_CORE	P17
95	H5	f56r	H5-S005	chokchy	diesen Posten weiterbearbeiten	ACTIVE_CORE	P17
96	H5	f56r	H5-S005	kchoar	Auszug · Ausgang	D1_MATERIAL_PRODUCT_VESSEL	P18
97	H5	f56r	H5-S005	sotodan	danach · anwenden	D7_APPLICATION_FASTEN_STORE	P19
98	H5	f56r	H5-S006	otchey	der nächste Posten	ACTIVE_CORE	P20
99	H5	f56r	H5-S006	keol	kurz · weiter	D3_HEAT_SETTLE_STATE	P21
100	H5	f56r	H5-S006	daiin	Sollmaß	ACTIVE_CORE	P22
101	B1	f81v	B1-S001	qokedy	kurz einwirken; schließen	ACTIVE_CORE	P01
102	B1	f81v	B1-S002	okaiin	auf Sollmaß stellen	ACTIVE_CORE	P01
103	B1	f81v	B1-S002	kair	Flüssigkeitslauf	D4_TRANSFER_SOURCE_TARGET	P02
104	B1	f81v	B1-S002	okal	dorthin einsetzen	ACTIVE_CORE	P03
105	B1	f81v	B1-S002	sar	davon	ACTIVE_CORE	P03
106	B1	f81v	B1-S002	ol	weiter	ACTIVE_CORE	P03
107	B1	f81v	B1-S002	kain	einen Anteil	ACTIVE_CORE	P03
108	B1	f81v	B1-S002	olkain	weiter · Anteil	D5_QUANTITY_PART_STAGE	P04
109	B1	f81v	B1-S002	al	dorthin	ACTIVE_CORE	P05
110	B1	f81v	B1-S002	ol	weiter	ACTIVE_CORE	P05
111	B1	f81v	B1-S002	rol	weiter	D6_ORDER_CONTINUATION	P06
112	B1	f81v	B1-S002	dl	Zusatz	ACTIVE_CORE	P07
113	B1	f81v	B1-S002	olor	damit weiter	ACTIVE_CORE	P07
114	B1	f81v	B1-S002	ol	weiter	ACTIVE_CORE	P07
115	B1	f81v	B1-S002	sheckhal	Durchgang · kurz · Zielstelle	D2_FILTER_WASH_FLOW	P08
116	B1	f81v	B1-S002	daiin	Sollmaß	ACTIVE_CORE	P09
117	B1	f81v	B1-S002	qokeedal	einsetzen · länger · Zielstelle	D3_HEAT_SETTLE_STATE	P10
118	B1	f81v	B1-S002	daiin	Sollmaß	ACTIVE_CORE	P11
119	B1	f81v	B1-S002	chckhy	durchführen	ACTIVE_CORE	P11
120	B1	f81v	B1-S002	schedy	übertragen; schließen	ACTIVE_CORE	P11
121	B1	f81v	B1-S003	qol	weiter	ACTIVE_CORE	P11
122	B1	f81v	B1-S003	sshkchdy	halten · bearbeiten · übertragen; schließen	D3_HEAT_SETTLE_STATE	P12
123	B1	f81v	B1-S004	chedy	diesen Posten übertragen	ACTIVE_CORE	P13
124	B1	f81v	B1-S004	ol	weiter	ACTIVE_CORE	P13
125	B1	f81v	B1-S004	shedy	kurz absetzen; schließen	ACTIVE_CORE	P13
126	B1	f81v	B1-S005	qolchedy	weiter übertragen; schließen	ACTIVE_CORE	P13
127	B1	f81v	B1-S006	qokain	einen Anteil zugeben	ACTIVE_CORE	P13
128	B1	f81v	B1-S006	shckhy	durchführen	ACTIVE_CORE	P13
129	B1	f81v	B1-S006	dl	Zusatz	ACTIVE_CORE	P13
130	B1	f81v	B1-S006	ral	Zielstelle	D4_TRANSFER_SOURCE_TARGET	P14
131	B1	f81v	B1-S007	qokchdy	einsetzen, übertragen; schließen	ACTIVE_CORE	P15
132	B1	f81v	B1-S008	chey	dieser Posten	ACTIVE_CORE	P15
133	B1	f81v	B1-S008	ol	weiter	ACTIVE_CORE	P15
134	B1	f81v	B1-S008	cheky	kurz wärmen	ACTIVE_CORE	P15
135	B1	f81v	B1-S008	ol	weiter	ACTIVE_CORE	P15
136	B1	f81v	B1-S008	shedy	kurz absetzen; schließen	ACTIVE_CORE	P15
137	B1	f81v	B1-S009	qokedy	kurz einwirken; schließen	ACTIVE_CORE	P15
138	B1	f81v	B1-S010	qokedy	kurz einwirken; schließen	ACTIVE_CORE	P15
139	B1	f81v	B1-S011	chckhy	durchführen	ACTIVE_CORE	P15
140	B1	f81v	B1-S011	qoky	diesen Posten einsetzen	ACTIVE_CORE	P15
141	B1	f81v	B1-S012	lsho	waschen	D2_FILTER_WASH_FLOW	P16
142	B1	f81v	B1-S012	qokey	kurz einwirken	ACTIVE_CORE	P17
143	B1	f81v	B1-S012	lshedy	waschen; schließen	D2_FILTER_WASH_FLOW	P18
144	B1	f81v	B1-S013	lshedy	waschen; schließen	D2_FILTER_WASH_FLOW	P18
145	B1	f81v	B1-S014	chedy	diesen Posten übertragen	ACTIVE_CORE	P19
146	B1	f81v	B1-S014	qolky	weiter	D6_ORDER_CONTINUATION	P20
147	B1	f81v	B1-S014	lchedal	abführen · übertragen · Zielstelle	D4_TRANSFER_SOURCE_TARGET	P21
148	B1	f81v	B1-S014	qol	weiter	ACTIVE_CORE	P22
149	B1	f81v	B1-S014	otar	danach · Ausgang	D4_TRANSFER_SOURCE_TARGET	P23
150	B1	f81v	B1-S015	ytey	Posten · kurz · Teil	D3_HEAT_SETTLE_STATE	P24
151	B1	f81v	B1-S015	okchedy	einsetzen, übertragen; schließen	ACTIVE_CORE	P25
152	B1	f81v	B1-S016	qokal	dorthin einsetzen	ACTIVE_CORE	P25
153	B1	f81v	B1-S016	okeey	länger einwirken	ACTIVE_CORE	P25
154	B1	f81v	B1-S016	qol	weiter	ACTIVE_CORE	P25
155	B1	f81v	B1-S016	cheedy	kurz absetzen; schließen	ACTIVE_CORE	P25
156	B1	f81v	B1-S017	sal	dorthin	ACTIVE_CORE	P25
157	B1	f81v	B1-S017	teol	kurz · weiter	D3_HEAT_SETTLE_STATE	P26
158	B1	f81v	B1-S017	dchdy	übertragen; schließen	D4_TRANSFER_SOURCE_TARGET	P27
159	B1	f81v	B1-S018	ly	abführen · Posten	D4_TRANSFER_SOURCE_TARGET	P27
160	B1	f81v	B1-S018	dsheol	halten · kurz · weiter	D3_HEAT_SETTLE_STATE	P28
161	B1	f81v	B1-S018	oiiin	Arbeitsstufe	D5_QUANTITY_PART_STAGE	P29
162	B1	f81v	B1-S018	olkeedy	länger auffangen; schließen	ACTIVE_CORE	P30
163	B1	f81v	B1-S019	tedy	kurz absetzen; schließen	ACTIVE_CORE	P30
164	B1	f81v	B1-S020	cheky	kurz wärmen	ACTIVE_CORE	P30
165	B1	f81v	B1-S020	shckhedy	seihen; schließen	ACTIVE_CORE	P30
166	B1	f81v	B1-S021	chal	dorthin	ACTIVE_CORE	P30
167	B2	f82r	B2-S001	dchedy	übertragen; schließen	ACTIVE_CORE	P01
168	B2	f82r	B2-S002	qolchedy	weiter übertragen; schließen	ACTIVE_CORE	P01
169	B2	f82r	B2-S003	qokain	einen Anteil zugeben	ACTIVE_CORE	P01
170	B2	f82r	B2-S003	dy	dieser Posten	ACTIVE_CORE	P01
171	B2	f82r	B2-S003	qokeedy	länger einwirken; schließen	ACTIVE_CORE	P01
172	B2	f82r	B2-S004	qokal	dorthin einsetzen	ACTIVE_CORE	P01
173	B2	f82r	B2-S004	lcheckhy	abführen · Durchgang · Posten	D2_FILTER_WASH_FLOW	P02
174	B2	f82r	B2-S004	lched	abführen · übertragen	D4_TRANSFER_SOURCE_TARGET	P03
175	B2	f82r	B2-S004	qokeey	länger einwirken	ACTIVE_CORE	P04
176	B2	f82r	B2-S004	lcheckhedy	abführen · trennen; schließen	D2_FILTER_WASH_FLOW	P05
177	B2	f82r	B2-S005	qokaly	einsetzen · Zielstelle · Posten	D4_TRANSFER_SOURCE_TARGET	P06
178	B2	f82r	B2-S005	solkaiin	auffangen · Sollmaß	D3_HEAT_SETTLE_STATE	P07
179	B2	f82r	B2-S005	chckhy	durchführen	ACTIVE_CORE	P08
180	B2	f82r	B2-S005	qokaiin	auf Sollmaß stellen	ACTIVE_CORE	P08
181	B2	f82r	B2-S005	qokaiin	auf Sollmaß stellen	ACTIVE_CORE	P08
182	B2	f82r	B2-S005	octheol	bereitstellen · weiter	D3_HEAT_SETTLE_STATE	P09
183	B2	f82r	B2-S005	chkeey	wärmen · länger · Posten	D3_HEAT_SETTLE_STATE	P09
184	B2	f82r	B2-S005	ldy	abziehen; schließen	ACTIVE_CORE	P10
185	B2	f82r	B2-S006	oteey	danach · länger · Posten	D3_HEAT_SETTLE_STATE	P11
186	B2	f82r	B2-S006	qokal	dorthin einsetzen	ACTIVE_CORE	P12
187	B2	f82r	B2-S006	sheckhy	Durchgang · kurz · Posten	D2_FILTER_WASH_FLOW	P13
188	B2	f82r	B2-S006	qoky	diesen Posten einsetzen	ACTIVE_CORE	P14
189	B2	f82r	B2-S007	dshedy	absetzen · kurz; schließen	D3_HEAT_SETTLE_STATE	P15
190	B2	f82r	B2-S008	sotaiin	nächstes Sollmaß	ACTIVE_CORE	P16
191	B2	f82r	B2-S008	qokar	einsetzen · Ausgang	D4_TRANSFER_SOURCE_TARGET	P17
192	B2	f82r	B2-S008	shedy	kurz absetzen; schließen	ACTIVE_CORE	P18
193	B2	f82r	B2-S009	solshedy	weiter · absetzen; schließen	D3_HEAT_SETTLE_STATE	P19
194	B2	f82r	B2-S010	qokeey	länger einwirken	ACTIVE_CORE	P20
195	B2	f82r	B2-S010	qoky	diesen Posten einsetzen	ACTIVE_CORE	P20
196	B2	f82r	B2-S010	ls	abführen	D4_TRANSFER_SOURCE_TARGET	P21
197	B2	f82r	B2-S010	cheey	Klarlauf	ACTIVE_CORE	P22
198	B2	f82r	B2-S011	okain	einen Anteil zugeben	ACTIVE_CORE	P22
199	B2	f82r	B2-S011	char	davon	ACTIVE_CORE	P22
200	B2	f82r	B2-S011	okain	einen Anteil zugeben	ACTIVE_CORE	P22
201	B2	f82r	B2-S011	qokeedy	länger einwirken; schließen	ACTIVE_CORE	P22
202	B2	f82r	B2-S012	lchy	abführen · Posten	D4_TRANSFER_SOURCE_TARGET	P23
203	B2	f82r	B2-S012	cheey	Klarlauf	ACTIVE_CORE	P24
204	B2	f82r	B2-S012	qcthey	bereitstellen · kurz · Posten	D3_HEAT_SETTLE_STATE	P25
205	B2	f82r	B2-S012	qokeey	länger einwirken	ACTIVE_CORE	P26
206	B2	f82r	B2-S012	lcheey	abführen · Klarlauf	D2_FILTER_WASH_FLOW	P27
207	B2	f82r	B2-S012	daiin	Sollmaß	ACTIVE_CORE	P28
208	B2	f82r	B2-S012	chey	dieser Posten	ACTIVE_CORE	P28
209	B2	f82r	B2-S012	qokeeedy	einsetzen · vollständig; schließen	D3_HEAT_SETTLE_STATE	P29
210	B2	f82r	B2-S013	lchedy	abführen; schließen	ACTIVE_CORE	P30
211	B2	f82r	B2-S014	lar	abführen · Ausgang	D4_TRANSFER_SOURCE_TARGET	P31
212	B2	f82r	B2-S015	tshey	Klarlauf	D2_FILTER_WASH_FLOW	P32
213	B2	f82r	B2-S015	qokeedy	länger einwirken; schließen	ACTIVE_CORE	P33
214	B2	f82r	B2-S016	cheal	dorthin	ACTIVE_CORE	P33
215	B2	f82r	B2-S016	lchedar	abführen · übertragen · Ausgang	D4_TRANSFER_SOURCE_TARGET	P34
216	B2	f82r	B2-S016	ches	teilen	D8_LOCAL_OPERATION	P35
217	B2	f82r	B2-S016	aiin	Sollmaß	ACTIVE_CORE	P36
218	B2	f82r	B2-S016	oteey	danach · länger · Posten	D3_HEAT_SETTLE_STATE	P37
219	B2	f82r	B2-S016	qokaiin	auf Sollmaß stellen	ACTIVE_CORE	P38
220	B2	f82r	B2-S016	okey	kurz einwirken	ACTIVE_CORE	P38
221	B2	f82r	B2-S016	pchedy	zuführen · übertragen; schließen	D4_TRANSFER_SOURCE_TARGET	P39
222	B2	f82r	B2-S017	rsheal	halten · kurz · Zielstelle	D3_HEAT_SETTLE_STATE	P40
223	B2	f82r	B2-S017	daldy	Zielstelle; schließen	D4_TRANSFER_SOURCE_TARGET	P41
224	B2	f82r	B2-S018	qokeedy	länger einwirken; schließen	ACTIVE_CORE	P42
225	B2	f82r	B2-S019	rshedy	waschen; schließen	D2_FILTER_WASH_FLOW	P43
226	B2	f82r	B2-S020	qoteedy	danach · länger; schließen	D3_HEAT_SETTLE_STATE	P44
227	B2	f82r	B2-S021	qokeedy	länger einwirken; schließen	ACTIVE_CORE	P45
228	B2	f82r	B2-S022	lochedy	abführen · übertragen; schließen	D4_TRANSFER_SOURCE_TARGET	P46
229	B3	f83r	B3-S001	olkeedy	länger auffangen; schließen	ACTIVE_CORE	P01
230	B3	f83r	B3-S002	qotal	danach dorthin	ACTIVE_CORE	P01
231	B3	f83r	B3-S002	chkeedy	wärmen · länger; schließen	D3_HEAT_SETTLE_STATE	P02
232	B3	f83r	B3-S003	chey	dieser Posten	ACTIVE_CORE	P03
233	B3	f83r	B3-S003	daiin	Sollmaß	ACTIVE_CORE	P03
234	B3	f83r	B3-S003	chey	dieser Posten	ACTIVE_CORE	P03
235	B3	f83r	B3-S003	lchedy	abführen; schließen	ACTIVE_CORE	P03
236	B3	f83r	B3-S004	qokaiin	auf Sollmaß stellen	ACTIVE_CORE	P03
237	B3	f83r	B3-S004	qotal	danach dorthin	ACTIVE_CORE	P03
238	B3	f83r	B3-S004	dar	davon	ACTIVE_CORE	P03
239	B3	f83r	B3-S005	schedy	übertragen; schließen	ACTIVE_CORE	P03
240	B3	f83r	B3-S006	chedchy	übertragen · Posten	D4_TRANSFER_SOURCE_TARGET	P04
241	B3	f83r	B3-S006	qokal	dorthin einsetzen	ACTIVE_CORE	P05
242	B3	f83r	B3-S006	olchedy	weiter übertragen; schließen	ACTIVE_CORE	P05
243	B3	f83r	B3-S007	qokaiin	auf Sollmaß stellen	ACTIVE_CORE	P05
244	B3	f83r	B3-S007	chedy	diesen Posten übertragen	ACTIVE_CORE	P05
245	B3	f83r	B3-S007	qokeedy	länger einwirken; schließen	ACTIVE_CORE	P05
246	B3	f83r	B3-S008	lchedy	abführen; schließen	ACTIVE_CORE	P05
247	B3	f83r	B3-S009	qoky	diesen Posten einsetzen	ACTIVE_CORE	P05
248	B3	f83r	B3-S010	pchedal	zuführen · übertragen · Zielstelle	D4_TRANSFER_SOURCE_TARGET	P06
249	B3	f83r	B3-S010	otedy	danach · kurz; schließen	D3_HEAT_SETTLE_STATE	P07
250	B3	f83r	B3-S011	shecthedchy	bereitstellen · übertragen · Posten	D3_HEAT_SETTLE_STATE	P07
251	B3	f83r	B3-S011	qoky	diesen Posten einsetzen	ACTIVE_CORE	P08
252	B3	f83r	B3-S011	chedy	diesen Posten übertragen	ACTIVE_CORE	P08
253	B3	f83r	B3-S011	chary	Ausgang · Posten	D4_TRANSFER_SOURCE_TARGET	P09
254	B3	f83r	B3-S012	sor	Arbeitsansatz	ACTIVE_CORE	P10
255	B3	f83r	B3-S012	shedy	kurz absetzen; schließen	ACTIVE_CORE	P10
256	B3	f83r	B3-S013	qokaiin	auf Sollmaß stellen	ACTIVE_CORE	P10
257	B3	f83r	B3-S013	chkain	einen Anteil	ACTIVE_CORE	P10
258	B3	f83r	B3-S013	shcthey	bereitstellen · kurz · Posten	D3_HEAT_SETTLE_STATE	P11
259	B3	f83r	B3-S013	qokedy	kurz einwirken; schließen	ACTIVE_CORE	P12
260	B3	f83r	B3-S014	okair	einsetzen · Flüssigkeitslauf	D4_TRANSFER_SOURCE_TARGET	P13
261	B3	f83r	B3-S014	sheedy	absetzen · länger; schließen	D3_HEAT_SETTLE_STATE	P14
262	B3	f83r	B3-S015	lchedy	abführen; schließen	ACTIVE_CORE	P15
263	B3	f83r	B3-S016	lo	abführen	D4_TRANSFER_SOURCE_TARGET	P16
264	B3	f83r	B3-S016	qokchedy	einsetzen, übertragen; schließen	ACTIVE_CORE	P17
265	B3	f83r	B3-S017	qokeedy	länger einwirken; schließen	ACTIVE_CORE	P17
266	B3	f83r	B3-S018	shedy	kurz absetzen; schließen	ACTIVE_CORE	P17
267	B3	f83r	B3-S019	qokshedy	einsetzen · absetzen; schließen	D3_HEAT_SETTLE_STATE	P18
268	B3	f83r	B3-S020	dal	dorthin	ACTIVE_CORE	P19
269	B3	f83r	B3-S020	lchedy	abführen; schließen	ACTIVE_CORE	P19
270	B3	f83r	B3-S021	qokaiin	auf Sollmaß stellen	ACTIVE_CORE	P19
271	B3	f83r	B3-S021	shcthy	diesen Posten bereitstellen	ACTIVE_CORE	P19
272	B3	f83r	B3-S021	dal	dorthin	ACTIVE_CORE	P19
273	B3	f83r	B3-S021	sy	dieser Posten	ACTIVE_CORE	P19
274	B3	f83r	B3-S021	saiin	Sollmaß	ACTIVE_CORE	P19
275	B3	f83r	B3-S021	shedal	absetzen · Zielstelle	D3_HEAT_SETTLE_STATE	P20
276	B3	f83r	B3-S021	shecthy	bereitstellen · kurz · Posten	D3_HEAT_SETTLE_STATE	P20
277	B3	f83r	B3-S021	chey	dieser Posten	ACTIVE_CORE	P21
278	B3	f83r	B3-S021	tal	dorthin	ACTIVE_CORE	P21
279	B3	f83r	B3-S021	shcthy	diesen Posten bereitstellen	ACTIVE_CORE	P21
280	B3	f83r	B3-S021	dalchdy	Zielstelle · übertragen; schließen	D4_TRANSFER_SOURCE_TARGET	P22
281	B3	f83r	B3-S022	qotchedy	danach · übertragen; schließen	D4_TRANSFER_SOURCE_TARGET	P22
282	B3	f83r	B3-S023	lchedy	abführen; schließen	ACTIVE_CORE	P23
283	B3	f83r	B3-S024	tchedy	übertragen; schließen	ACTIVE_CORE	P23
284	B3	f83r	B3-S025	qokchdy	einsetzen, übertragen; schließen	ACTIVE_CORE	P23
285	B3	f83r	B3-S026	cheedar	übertragen · Ausgang	D4_TRANSFER_SOURCE_TARGET	P24
286	B3	f83r	B3-S026	chldaiin	absetzen · Sollmaß	D3_HEAT_SETTLE_STATE	P25
287	B3	f83r	B3-S026	chedy	diesen Posten übertragen	ACTIVE_CORE	P26
288	B3	f83r	B3-S026	qokain	einen Anteil zugeben	ACTIVE_CORE	P26
289	B3	f83r	B3-S026	checthy	diesen Posten bereitstellen	ACTIVE_CORE	P26
290	B3	f83r	B3-S026	chealror	Zielstelle · Ansatz	D1_MATERIAL_PRODUCT_VESSEL	P27
291	B3	f83r	B3-S026	solkeedy	länger auffangen; schließen	ACTIVE_CORE	P28
292	B3	f83r	B3-S027	qoteedy	danach · länger; schließen	D3_HEAT_SETTLE_STATE	P29
293	B3	f83r	B3-S028	qokeey	länger einwirken	ACTIVE_CORE	P30
294	B3	f83r	B3-S028	qokedy	kurz einwirken; schließen	ACTIVE_CORE	P30
295	B3	f83r	B3-S029	sol	weiter	ACTIVE_CORE	P30
296	B3	f83r	B3-S029	cheeety	vollständig · Teil	D3_HEAT_SETTLE_STATE	P31
297	B3	f83r	B3-S029	qokedy	kurz einwirken; schließen	ACTIVE_CORE	P32
298	B3	f83r	B3-S030	qoky	diesen Posten einsetzen	ACTIVE_CORE	P32
299	B3	f83r	B3-S030	saiin	Sollmaß	ACTIVE_CORE	P32
300	B3	f83r	B3-S030	schedair	Flüssigkeitslauf	D4_TRANSFER_SOURCE_TARGET	P33
301	B3	f83r	B3-S030	otchedy	danach · übertragen; schließen	D4_TRANSFER_SOURCE_TARGET	P33
