sample_id	page	locus	section	language	hand	position	token_type	local_span	reader_status	deictic_A	entry_B	closure_C	best_role	best_rendering_de	reason	rival/replacement_trigger
MY018	f86v3	f86v3.13	C	B	2	MEDIAL	P	chedaiin y chedy	IT_LOSES_OR_FUSES_Y	[CHEDAIIN] dieser Droge; getrockneter Zustand	[CHEDAIIN]; neuer Posten: getrockneter Zustand	[CHEDAIIN]; Form: getrockneter Zustand, abgeschlossen	Y_FORM_CLOSE	Form: getrockneter Zustand	IT fusioniert Y rechts an den bekannten Zustandskopf CHEDY; C ergibt eine konkrete Zustandsangabe statt einen unbestimmten Referenten	Rivale B; als Gliederung ersetzen, wenn CHEDY in vergleichbaren Spannen einen neuen unabhängigen Posten eröffnet
MY019	f102v1	f102v1.12	P	A	1	BOS	P	y cheol	IT_LOSES_OR_FUSES_Y	Zu dieser Droge: trockener Drogenstoff	Neuer Eintrag: trockener Drogenstoff	Grundform: trockener Drogenstoff	Y_SAME_DRUG_HEAD	Zu dieser Droge:	BOS vor CHEOL und IT-Rechtsfusion entsprechen genau der lokalen GDT650-YCHEOL-Familie	Rivale B; auf Eintrag zurückstufen, wenn auf P-Seiten kein konkreter Antezedent vorliegt
MY020	f99r	f99r.2	P	A	1	EOS	L	okar y	BOTH_LOSE_OR_FUSE_Y	Heiße Drogenfraktion dieser Droge	Label: heiße Drogenfraktion; Trenner	Heiße Drogenfraktion; Label geschlossen	Y_FORM_CLOSE	[Labelschluss]	Zweiwort-L-Zeile; IT und RF fusionieren Y links zu OKARY	Rivale B; als neutrales Labeltrennzeichen ersetzen, falls weitere mehrteilige Labels Y zwischen statt am Ende tragen
MY021	f102v2	f102v2.18	P	A	1	EOS	P	shy y	BOTH_LOSE_OR_FUSE_Y	Feucht am Gradanfang dieser Droge	Feucht am Gradanfang; Trenner	Feucht am Gradanfang; Eintrag geschlossen	Y_FORM_CLOSE	Eintrag geschlossen	EOS nach vollständiger Qualitätsform; beide Alternativleser behalten kein separates Y	Rivale B; als Trenner ersetzen, wenn die Stelle sichtbar eine Listenfortsetzung statt Zeilenabschluss markiert
MY022	f89r1	f89r1.10	P	A	1	MEDIAL	P	chor y daiin	IT_LOSES_OR_FUSES_Y	Pflanzen- oder Reproduktionsteil dieser Droge, Grad oder Maß III	Pflanzenteil; neuer Posten: Grad oder Maß III	Pflanzenteil; Formmarker, Grad III	Y_SAME_DRUG_HEAD	Pflanzenteil dieser Droge, Grad III	Zwischen konkretem Pflanzenteil und Wertangabe erzeugt A eine knappe nominale Registerangabe	Rivale C; als Wert- oder Formbinder ersetzen, wenn CHOR-Y-DAIIN ohne Antezedent als festes Messmuster wiederkehrt
MY023	f100r	f100r.23	P	A	1	MEDIAL	P	keey y ykeeam	BOTH_LOSE_OR_FUSE_Y	Heiß am Gradende dieser Droge; [YKEEAM]	Heiß am Gradende; neuer Posten: [YKEEAM]	Heiß am Gradende; Form: [YKEEAM]	Y_MEDIAL_DIVIDER	Neuer Posten:	Beide Leser ersetzen oder fusionieren das nackte Y und der rechte Kopf ist bereits Y-initial; ein eigenständiges deiktisches Wort ist unplausibel	Rivale C; als Formgrenze ersetzen, wenn YKEEAM als nächste Stufe derselben Qualitätsreihe erkannt wird
MY024	f86v6	f86v6.39	T	B	2	BOS	P	y aiin	BOTH_LOSE_OR_FUSE_Y	Zu dieser Droge: Menge III, abgemessene Fraktion I, kaltes Zubereitungsgut	Neuer Eintrag: Menge III, abgemessene Fraktion I, kaltes Zubereitungsgut	Grundform: Menge III, abgemessene Fraktion I, kaltes Zubereitungsgut	Y_ENTRY_HEAD	Neuer Eintrag:	BOS vor einer vollständigen Mengen- und Materialliste; beide Alternativleser binden Y rechts	Rivale A; deiktisch ersetzen, wenn die Mengenliste sichtbar an einen vorangehenden Stoffeintrag anschließt
MY025	f76r	f76r.13	T	B	2	MEDIAL	P	dal y kal	BOTH_LOSE_OR_FUSE_Y	Abgemessene Rohstoffmenge I; davon heißer Rohstoff Klasse I	Abgemessene Rohstoffmenge I; neuer Posten: heißer Rohstoff Klasse I	Abgemessene Rohstoffmenge I in Grundform; heißer Rohstoff Klasse I	Y_MEDIAL_DIVIDER	Neuer Posten:	Beide Leser fusionieren rechts zu YKAL; die lange Nominalzeile wechselt hier von gemessener Menge zu neuem Rohstoffposten	Rivale A; deiktisch ersetzen, wenn KAL nach DAL regelmäßig dieselbe gemessene Droge spezifiziert
MY026	f85r1	f85r1.16	T	B	2	MEDIAL	P	okar y cheey	IT_LOSES_OR_FUSES_Y	Heiße Drogenfraktion dieser Droge, trocken am Gradende	Heiße Drogenfraktion; neuer Posten: trocken am Gradende	Heiße Drogenfraktion; Formschluss: trocken am Gradende	Y_FORM_CLOSE	Formschluss: trocken am Gradende	IT bindet Y links an OKAR; der folgende Qualitätswert CHEEY lässt sich als Formangabe derselben Fraktion lesen	Rivale A; deiktisch ersetzen, wenn OKAR-Y-CHEEY systematisch einen aktuellen Drogenreferenten statt Formbindung ausdrückt
MY027	f76r	f76r.25	T	B	2	EOS	P	llaiir y	BOTH_LOSE_OR_FUSE_Y	[LLAIIR] dieser Droge	[LLAIIR]; Trenner	[LLAIIR]; Eintrag geschlossen	Y_FORM_CLOSE	Eintrag geschlossen	EOS und beide Leser fusionieren Y links; kein konkreter rechter Referent existiert	Rivale B; als Trenner rendern, falls LLAIIR-Y einen sichtbaren Folgelistenpunkt auf derselben Zeile eröffnet
MY028	f66r	f66r.62	T	B	5	MEDIAL	P	akar y daiin	IT_LOSES_OR_FUSES_Y	[AKAR] dieser Droge, Grad oder Maß III	[AKAR]; neuer Posten: Grad oder Maß III	[AKAR]; Form- oder Gradmarker III	Y_FORM_CLOSE	Form- oder Gradmarker III	Y steht vor einem bekannten Gradwert und IT verändert die Grenze; C liefert eine konkrete formale Bindung ohne AKAR zu erfinden	Rivale B; als neuen Posten ersetzen, wenn DAIIN hier unabhängig von AKAR beginnt
MY029	f66r	f66r.16	T	B	5	ONLY	L	y	EXACT_LINE	Dieser Eintrag	Beschriftungs- oder Gliederungszeichen	Form- oder Schlusszeichen	Y_LABEL_SIGLUM	[Beschriftungszeichen]	Dreileser-exaktes Einzelzeichen auf einer L-Zeile; Teil einer Vierergruppe gleicher f66r-Labels	Rivale C; als Schlusszeichen lesen, falls die vier Labels jeweils nachweisbar ein benachbartes Objekt abschließen
MY030	f115r	f115r.25	S	B	@	BOS	P	y cheodain	EXACT_LINE	Zu dieser Droge: Trockenansatz, Dosis II	Neuer Eintrag: Trockenansatz, Dosis II	Grundform: Trockenansatz, Dosis II	Y_SAME_DRUG_HEAD	Zu dieser Droge:	Dreileser-exaktes BOS vor einem konkreten Zubereitungs- und Dosiskopf	Rivale B; auf bloßen Eintragskopf zurückstufen, falls kein lokaler Drogenantezedent rekonstruiert werden kann
MY031	f58v	f58v.7	S	A	3	BOS	P	y daiin	Y_RETAINED_OTHER_VARIANT	Zu dieser Droge: Grad- oder Maßwert III	Neuer Eintrag: Grad- oder Maßwert III	Grundform: Grad- oder Maßwert III	Y_ENTRY_HEAD	Neuer Eintrag:	Alle Leser behalten Y am BOS, aber ein Wert allein benennt keinen klaren deiktischen Stoffkopf	Rivale A; deiktisch ersetzen, wenn DAIIN nach Y regelmäßig den Wert eines unmittelbar vorherigen Drogenpostens fortsetzt
MY032	f115v	f115v.28	S	B	3	BOS	P	y chey	BOTH_LOSE_OR_FUSE_Y	Zu dieser Droge: trocken im Mittelgrad; Holzportion	Neuer Eintrag: trocken im Mittelgrad; Holzportion	Grundform: trocken im Mittelgrad; Holzportion	Y_SAME_DRUG_HEAD	Zu dieser Droge:	Rechts folgt eine konkrete Qualität mit Holzportion; beide Leser fusionieren den Kopf rechts, wie bei einer gebundenen Eintragsreferenz	Rivale B; auf Eintrag zurückstufen, wenn der folgende Holzposten keinen gemeinsamen Stoffreferenten besitzt
MY033	f108r	f108r.6	S	B	3	EOS	P	aiin y	EXACT_LINE	Menge III dieser Droge	Menge III; Trenner	Menge III; Eintrag geschlossen	Y_FORM_CLOSE	Eintrag geschlossen	Dreileser-exaktes EOS nach einer vollständigen Mengenangabe	Rivale A; deiktisch nur bei wiederholtem terminalem AIIN-Y mit explizitem Antezedenten
MY034	f58v	f58v.4	S	A	3	MEDIAL	P	okair y dair	Y_RETAINED_OTHER_VARIANT	[OKAIR] davon; abgemessene Fraktion II	[OKAIR]; neuer Posten: abgemessene Fraktion II	[OKAIR] in Grundform; abgemessene Fraktion II	Y_MEDIAL_DIVIDER	Neuer Posten: abgemessene Fraktion II	Alle Leser behalten Y, doch der Wechsel zu einer selbständigen abgemessenen Fraktion ist als Listengliederung praktischer	Rivale A; deiktisch ersetzen, wenn OKAIR konkret dieselbe Droge oder Ausgangsfraktion bezeichnet
MY035	f116r	f116r.20	S	B	3	MEDIAL	P	raiin y chedy	Y_RETAINED_OTHER_VARIANT	Wurzel, Charge III dieser Droge; getrockneter Zustand	Wurzel, Charge III; neuer Posten: getrockneter Zustand	Wurzel, Charge III; Form: getrocknet, abgeschlossen	Y_FORM_CLOSE	Wurzel, Charge III; Form: getrocknet	Alle Leser behalten Y zwischen einem konkreten Wurzelkopf und einer bekannten Zustandsform; C bindet Inhalt und Form direkt	Rivale A; deiktisch ersetzen, wenn RAIIN-Y-CHEDY in weiteren Wurzelzeilen einen gemeinsamen Antezedenten statt Zustandsbindung zeigt
MY036	f115r	f115r.22	S	B	@	MEDIAL	P	cheedy y cheedy	IT_LOSES_OR_FUSES_Y	Getrockneter Endzustand dieser Droge; derselbe Endzustand	Getrockneter Endzustand; neuer paralleler Posten: getrockneter Endzustand	Getrockneter Endzustand; Formmarker; derselbe Endzustand	Y_MEDIAL_DIVIDER	Neuer paralleler Posten:	Die identische Qualitätsform steht beidseits von Y; eine Gliederung erklärt die Wiederholung besser als ein neuer Referent	Rivale C; als Formmarker ersetzen, wenn solche X-Y-X-Spannen systematisch eine grammatische Verdopplung statt zwei Posten bilden
MY037	f78v	f78v.7	B	B	2	MEDIAL	P	otor y shedy	IT_LOSES_OR_FUSES_Y	Kalte Drogenportion im Ansatz; davon feuchter Zustand in der Gradmitte, abgeschlossen	Kalte Drogenportion im Ansatz; neuer Zustandsabschnitt: feucht in der Gradmitte, abgeschlossen	Kalte Drogenportion im Ansatz in Grundform; feucht in der Gradmitte, abgeschlossen	Y_MEDIAL_DIVIDER	Neuer Zustandsabschnitt:	Zusätzlicher V35-Einlochkontext; IT fusioniert rechts und danach beginnt eine längere Folge konkreter Zustandswerte	Rivale C; als Formmarker ersetzen, wenn die folgende Zustandsfolge nachweisbar nur OTOR flektiert statt einen neuen Abschnitt zu bilden
MY038	f77v	f77v.1	B	B	2	MEDIAL	L	okain y kal	BOTH_LOSE_OR_FUSE_Y	Heiß im Zubereitungsrahmen, Grad II dieser Droge; heißer Rohstoff Klasse I	Labelteile: heiß, Grad II | heißer Rohstoff Klasse I	Heiß, Grad II; Formmarker; heißer Rohstoff Klasse I	Y_LABEL_SIGLUM	[Labelgliederung]	Zusätzlicher V35-Einlochkontext auf einer L-Zeile; beide Leser fusionieren Y rechts an KAL	Rivale C; als Formmarker ersetzen, wenn weitere L-Spannen Y zwischen Gradwert und dessen eigener Grundform zeigen
