page	locus	section	language	hand	y_occurrences	y_ordinals	context_classes	zl3b_line	v35_token_glosses_de	v36_token_glosses_de	v36_working_translation_de	base_unknown_tokens	v36_unknown_tokens
f104r	f104r.42	S	B	3	1	1	Y_BOS_ENTRY	y lshedy cholkar	[y:?] | eingeweichtes Drogenholz | [cholkar:?]	Eintrag: | eingeweichtes Drogenholz | [cholkar:?]	Eintrag: eingeweichtes Drogenholz; [cholkar:?]	2	1
f104r	f104r.6	S	B	3	1	1	Y_BOS_ENTRY	y cheeody aiin lkar cheeo dain ockhedy qokeedy qotain otchdy otain chedam	[y:?] | [cheeody:?] | Menge III | heiße Holzfraktion I | [cheeo:?] | Grad-/Maßwert II | Ansatz eines Arzneikompositums in der Gradmitte, abgeschlossen | heiß am Ende des Grades, abgeschlossen | kalt im qo-Rahmen, Grad II | kalt-trockener Ansatz am Anfang des Grades, abgeschlossen | kalt im Zubereitungsrahmen, Grad II | [chedam:?]	Eintrag: | [cheeody:?] | Menge III | heiße Holzfraktion I | [cheeo:?] | Grad-/Maßwert II | Ansatz eines Arzneikompositums in der Gradmitte, abgeschlossen | heiß am Ende des Grades, abgeschlossen | kalt im qo-Rahmen, Grad II | kalt-trockener Ansatz am Anfang des Grades, abgeschlossen | kalt im Zubereitungsrahmen, Grad II | [chedam:?]	Eintrag: [cheeody:?]; Menge III; heiße Holzfraktion I; [cheeo:?]; Grad-/Maßwert II; Ansatz eines Arzneikompositums in der Gradmitte, abgeschlossen; heiß am Ende des Grades, abgeschlossen; kalt im qo-Rahmen, Grad II; kalt-trockener Ansatz am Anfang des Grades, abgeschlossen; kalt im Zubereitungsrahmen, Grad II; [chedam:?]	4	3
f104v	f104v.31	S	B	3	1	1	Y_BOS_ENTRY	y cheoraiin cthey chol sheody qokair qoeey cheey lkeedy	[y:?] | [cheoraiin:?] | CTH-Drogenmaterial, Form I; im Herbal Blatt-/Krautdroge, Form I | trocken; nominal trockenes Gut/Material | [sheody:?] | [qokair:?] | [qoeey:?] | trocken am Ende des Grades | [lkeedy:?]	Eintrag: | [cheoraiin:?] | CTH-Drogenmaterial, Form I; im Herbal Blatt-/Krautdroge, Form I | trocken; nominal trockenes Gut/Material | [sheody:?] | [qokair:?] | [qoeey:?] | trocken am Ende des Grades | [lkeedy:?]	Eintrag: [cheoraiin:?]; CTH-Drogenmaterial, Form I; im Herbal Blatt-/Krautdroge, Form I; trocken; nominal trockenes Gut/Material; [sheody:?]; [qokair:?]; [qoeey:?]; trocken am Ende des Grades; [lkeedy:?]	6	5
f104v	f104v.39	S	B	3	1	14	Y_MEDIAL_LEFT_CLOSE	yshey ar a kain char lkeey roiir shey cheey kar ar lkchs ar y ais alod	[yshey:?] | Drogenfraktion I | [a:?] | heiß, Grad II | [char:?] | [lkeey:?] | [roiir:?] | feucht in der Mitte des Grades | trocken am Ende des Grades | heiße Drogenfraktion I | Drogenfraktion I | [lkchs:?] | Drogenfraktion I | [y:?] | [ais:?] | [alod:?]	[yshey:?] | Drogenfraktion I | [a:?] | heiß, Grad II | [char:?] | [lkeey:?] | [roiir:?] | feucht in der Mitte des Grades | trocken am Ende des Grades | heiße Drogenfraktion I | Drogenfraktion I | [lkchs:?] | Drogenfraktion I | Eintragsteil abgeschlossen | [ais:?] | [alod:?]	[yshey:?]; Drogenfraktion I; [a:?]; heiß, Grad II; [char:?]; [lkeey:?]; [roiir:?]; feucht in der Mitte des Grades; trocken am Ende des Grades; heiße Drogenfraktion I; Drogenfraktion I; [lkchs:?]; Drogenfraktion I; [ais:?]; [alod:?]	9	8
f104v	f104v.44	S	B	3	1	2	Y_MEDIAL_BIDIRECTIONAL_HINGE	daiin y cheeo chey okeeey qokeeey okeey okeey	Grad-/Maßwert III | [y:?] | [cheeo:?] | trocken in der Mitte des Grades | [okeeey:?] | [qokeeey:?] | heißer Ansatz am Ende des Grades | heißer Ansatz am Ende des Grades	Grad-/Maßwert III | ; hierzu: | [cheeo:?] | trocken in der Mitte des Grades | [okeeey:?] | [qokeeey:?] | heißer Ansatz am Ende des Grades | heißer Ansatz am Ende des Grades	Grad-/Maßwert III; hierzu: [cheeo:?]; trocken in der Mitte des Grades; [okeeey:?]; [qokeeey:?]; heißer Ansatz am Ende des Grades; heißer Ansatz am Ende des Grades	4	3
f105r	f105r.30	S	B	3	1	5	Y_MEDIAL_RIGHT_REFERENCE	oleedar aiildy dar oiin y teey tair cheody qokolky cheolkary	[oleedar:?] | [aiildy:?] | abgemessene Fraktion I | Zubereitungsform III | [y:?] | kalt am Ende des Grades | [tair:?] | getrockneter Ansatz | [qokolky:?] | [cheolkary:?]	[oleedar:?] | [aiildy:?] | abgemessene Fraktion I | Zubereitungsform III | hierzu: | kalt am Ende des Grades | [tair:?] | getrockneter Ansatz | [qokolky:?] | [cheolkary:?]	[oleedar:?]; [aiildy:?]; abgemessene Fraktion I; Zubereitungsform III; hierzu: kalt am Ende des Grades; [tair:?]; getrockneter Ansatz; [qokolky:?]; [cheolkary:?]	6	5
f105v	f105v.25	S	B	3	1	10	Y_MEDIAL_BIDIRECTIONAL_HINGE	kchdaldy alfo lfcheedy ofoiir opchey fchedy qotor oeeeodr qopar y dl	[kchdaldy:?] | [alfo:?] | [lfcheedy:?] | [ofoiir:?] | [opchey:?] | [fchedy:?] | kalte Drogenportion | [oeeeodr:?] | [qopar:?] | [y:?] | [dl:?]	[kchdaldy:?] | [alfo:?] | [lfcheedy:?] | [ofoiir:?] | [opchey:?] | [fchedy:?] | kalte Drogenportion | [oeeeodr:?] | [qopar:?] | ; hierzu: | [dl:?]	[kchdaldy:?]; [alfo:?]; [lfcheedy:?]; [ofoiir:?]; [opchey:?]; [fchedy:?]; kalte Drogenportion; [oeeeodr:?]; [qopar:?]; hierzu: [dl:?]	10	9
f105v	f105v.9	S	B	3	1	3	Y_MEDIAL_RIGHT_REFERENCE	lcheey qoeees y daiin okairy otchedy ockhedy otchey daiin or r ail l okam	Drogenholz, trocken gebunden, Form II | [qoeees:?] | [y:?] | Grad-/Maßwert III | [okairy:?] | kalt-trockener Ansatz in der Mitte des Grades, abgeschlossen | Ansatz eines Arzneikompositums in der Gradmitte, abgeschlossen | kalt-trockener Ansatz in der Mitte des Grades | Grad-/Maßwert III | Drogenportion | [r:?] | Rohstoffklasse II | [l:?] | [okam:?]	Drogenholz, trocken gebunden, Form II | [qoeees:?] | hierzu: | Grad-/Maßwert III | [okairy:?] | kalt-trockener Ansatz in der Mitte des Grades, abgeschlossen | Ansatz eines Arzneikompositums in der Gradmitte, abgeschlossen | kalt-trockener Ansatz in der Mitte des Grades | Grad-/Maßwert III | Drogenportion | [r:?] | Rohstoffklasse II | [l:?] | [okam:?]	Drogenholz, trocken gebunden, Form II; [qoeees:?]; hierzu: Grad-/Maßwert III; [okairy:?]; kalt-trockener Ansatz in der Mitte des Grades, abgeschlossen; Ansatz eines Arzneikompositums in der Gradmitte, abgeschlossen; kalt-trockener Ansatz in der Mitte des Grades; Grad-/Maßwert III; Drogenportion; [r:?]; Rohstoffklasse II; [l:?]; [okam:?]	6	5
f106r	f106r.19	S	B	3	1	10	Y_EOS_CLOSE	otchedy qokeey shosaiin qokaiin okain cholkeeey ltal olcheey qotchoraiin y	kalt-trockener Ansatz in der Mitte des Grades, abgeschlossen | heiß am Ende des Grades | [shosaiin:?] | heiß, Grad III | heiß im Zubereitungsrahmen, Grad II | [cholkeeey:?] | [ltal:?] | [olcheey:?] | [qotchoraiin:?] | [y:?]	kalt-trockener Ansatz in der Mitte des Grades, abgeschlossen | heiß am Ende des Grades | [shosaiin:?] | heiß, Grad III | heiß im Zubereitungsrahmen, Grad II | [cholkeeey:?] | [ltal:?] | [olcheey:?] | [qotchoraiin:?] | Eintrag abgeschlossen	kalt-trockener Ansatz in der Mitte des Grades, abgeschlossen; heiß am Ende des Grades; [shosaiin:?]; heiß, Grad III; heiß im Zubereitungsrahmen, Grad II; [cholkeeey:?]; [ltal:?]; [olcheey:?]; [qotchoraiin:?].	6	5
f106r	f106r.45	S	B	3	1	1	Y_BOS_ENTRY	y sheedal okain okain otar kaiin chdalkair olkai al keedy okal	[y:?] | [sheedal:?] | heiß im Zubereitungsrahmen, Grad II | heiß im Zubereitungsrahmen, Grad II | kalte Drogenfraktion I im Ansatz | heiß, Grad III | [chdalkair:?] | [olkai:?] | Rohstoffklasse I | heiß am Ende des Grades, abgeschlossen | Rohstoffklasse I im Ansatz, heiß am Gradanfang	Eintrag: | [sheedal:?] | heiß im Zubereitungsrahmen, Grad II | heiß im Zubereitungsrahmen, Grad II | kalte Drogenfraktion I im Ansatz | heiß, Grad III | [chdalkair:?] | [olkai:?] | Rohstoffklasse I | heiß am Ende des Grades, abgeschlossen | Rohstoffklasse I im Ansatz, heiß am Gradanfang	Eintrag: [sheedal:?]; heiß im Zubereitungsrahmen, Grad II; heiß im Zubereitungsrahmen, Grad II; kalte Drogenfraktion I im Ansatz; heiß, Grad III; [chdalkair:?]; [olkai:?]; Rohstoffklasse I; heiß am Ende des Grades, abgeschlossen; Rohstoffklasse I im Ansatz, heiß am Gradanfang	4	3
f106v	f106v.2	S	B	3	1	4	Y_MEDIAL_UNRESOLVED_HINGE	daiin al sheeodar y chtain char otar qokar otar shed sheo keorain amchy	Grad-/Maßwert III | Rohstoffklasse I | [sheeodar:?] | [y:?] | kalt-trocken, Grad II | [char:?] | kalte Drogenfraktion I im Ansatz | heiße Drogenfraktion I | kalte Drogenfraktion I im Ansatz | [shed:?] | Feuchtzubereitung | [keorain:?] | [amchy:?]	Grad-/Maßwert III | Rohstoffklasse I | [sheeodar:?] | hierzu: | kalt-trocken, Grad II | [char:?] | kalte Drogenfraktion I im Ansatz | heiße Drogenfraktion I | kalte Drogenfraktion I im Ansatz | [shed:?] | Feuchtzubereitung | [keorain:?] | [amchy:?]	Grad-/Maßwert III; Rohstoffklasse I; [sheeodar:?]; hierzu: kalt-trocken, Grad II; [char:?]; kalte Drogenfraktion I im Ansatz; heiße Drogenfraktion I; kalte Drogenfraktion I im Ansatz; [shed:?]; Feuchtzubereitung; [keorain:?]; [amchy:?]	6	5
f107r	f107r.11	S	B	3	1	5	Y_MEDIAL_RIGHT_REFERENCE	cheeo cheeol qokaiin ytain y keeol l oraiin okaiin okar okaiin otaram	[cheeo:?] | [cheeol:?] | heiß, Grad III | [ytain:?] | [y:?] | [keeol:?] | [l:?] | Portion III | heiß, Grad III, im Ansatzrahmen | heiße Drogenfraktion I im Ansatz | heiß, Grad III, im Ansatzrahmen | [otaram:?]	[cheeo:?] | [cheeol:?] | heiß, Grad III | [ytain:?] | hierzu: | [keeol:?] | [l:?] | Portion III | heiß, Grad III, im Ansatzrahmen | heiße Drogenfraktion I im Ansatz | heiß, Grad III, im Ansatzrahmen | [otaram:?]	[cheeo:?]; [cheeol:?]; heiß, Grad III; [ytain:?]; hierzu: [keeol:?]; [l:?]; Portion III; heiß, Grad III, im Ansatzrahmen; heiße Drogenfraktion I im Ansatz; heiß, Grad III, im Ansatzrahmen; [otaram:?]	7	6
f107r	f107r.12	S	B	3	1	1	Y_BOS_ENTRY	y chol chol loraiir aiinal	[y:?] | trocken; nominal trockenes Gut/Material | trocken; nominal trockenes Gut/Material | [loraiir:?] | [aiinal:?]	Eintrag: | trocken; nominal trockenes Gut/Material | trocken; nominal trockenes Gut/Material | [loraiir:?] | [aiinal:?]	Eintrag: trocken; nominal trockenes Gut/Material; trocken; nominal trockenes Gut/Material; [loraiir:?]; [aiinal:?]	3	2
f107r	f107r.45	S	B	3	1	6	Y_MEDIAL_RIGHT_REFERENCE	podky chedy qockhy qokeedy qokokil y chees opal kaiin otaiin otaram	[podky:?] | trocken in der Mitte des Grades, abgeschlossen | [qockhy:?] | heiß am Ende des Grades, abgeschlossen | [qokokil:?] | [y:?] | [chees:?] | Ansatz aus Pulverrohstoff, Form I | heiß, Grad III | kalt im Zubereitungsrahmen, Grad III | [otaram:?]	[podky:?] | trocken in der Mitte des Grades, abgeschlossen | [qockhy:?] | heiß am Ende des Grades, abgeschlossen | [qokokil:?] | hierzu: | [chees:?] | Ansatz aus Pulverrohstoff, Form I | heiß, Grad III | kalt im Zubereitungsrahmen, Grad III | [otaram:?]	[podky:?]; trocken in der Mitte des Grades, abgeschlossen; [qockhy:?]; heiß am Ende des Grades, abgeschlossen; [qokokil:?]; hierzu: [chees:?]; Ansatz aus Pulverrohstoff, Form I; heiß, Grad III; kalt im Zubereitungsrahmen, Grad III; [otaram:?]	6	5
f107r	f107r.50	S	B	3	1	7	Y_MEDIAL_RIGHT_REFERENCE	chain al lkeey chol taidy qotaiin y taiin lkl lfchal pchdy pal tar	trocken, Grad II | Rohstoffklasse I | [lkeey:?] | trocken; nominal trockenes Gut/Material | [taidy:?] | kalt, Grad III | [y:?] | kalt, Grad III | [lkl:?] | [lfchal:?] | Pulver, getrocknete Kurz-/Kompaktform | Pulverrohstoff I | kalte Drogenfraktion I	trocken, Grad II | Rohstoffklasse I | [lkeey:?] | trocken; nominal trockenes Gut/Material | [taidy:?] | kalt, Grad III | hierzu: | kalt, Grad III | [lkl:?] | [lfchal:?] | Pulver, getrocknete Kurz-/Kompaktform | Pulverrohstoff I | kalte Drogenfraktion I	trocken, Grad II; Rohstoffklasse I; [lkeey:?]; trocken; nominal trockenes Gut/Material; [taidy:?]; kalt, Grad III; hierzu: kalt, Grad III; [lkl:?]; [lfchal:?]; Pulver, getrocknete Kurz-/Kompaktform; Pulverrohstoff I; kalte Drogenfraktion I	5	4
f107v	f107v.28	S	B	3	1	1	Y_BOS_ENTRY	y cheor cheol lcheedy raraiin	[y:?] | trockener Drogenteil | trockener Drogenstoff | [lcheedy:?] | [raraiin:?]	Eintrag: | trockener Drogenteil | trockener Drogenstoff | [lcheedy:?] | [raraiin:?]	Eintrag: trockener Drogenteil; trockener Drogenstoff; [lcheedy:?]; [raraiin:?]	3	2
f107v	f107v.33	S	B	3	1	9	Y_MEDIAL_RIGHT_REFERENCE	orain chol qodaiin odain aiin okain chkaly raiin y kaiin aldy	[orain:?] | trocken; nominal trockenes Gut/Material | [qodaiin:?] | [odain:?] | Menge III | heiß im Zubereitungsrahmen, Grad II | [chkaly:?] | Wurzel, Typ/Charge III | [y:?] | heiß, Grad III | Rohstoffklasse I, abgeschlossen	[orain:?] | trocken; nominal trockenes Gut/Material | [qodaiin:?] | [odain:?] | Menge III | heiß im Zubereitungsrahmen, Grad II | [chkaly:?] | Wurzel, Typ/Charge III | hierzu: | heiß, Grad III | Rohstoffklasse I, abgeschlossen	[orain:?]; trocken; nominal trockenes Gut/Material; [qodaiin:?]; [odain:?]; Menge III; heiß im Zubereitungsrahmen, Grad II; [chkaly:?]; Wurzel, Typ/Charge III; hierzu: heiß, Grad III; Rohstoffklasse I, abgeschlossen	5	4
f107v	f107v.39	S	B	3	1	10	Y_EOS_CLOSE	okain cheor olkaiin oain cheary raiin okoiin odaiin okaiin y	heiß im Zubereitungsrahmen, Grad II | trockener Drogenteil | [olkaiin:?] | [oain:?] | [cheary:?] | Wurzel, Typ/Charge III | [okoiin:?] | Zubereitungsdosis III | heiß, Grad III, im Ansatzrahmen | [y:?]	heiß im Zubereitungsrahmen, Grad II | trockener Drogenteil | [olkaiin:?] | [oain:?] | [cheary:?] | Wurzel, Typ/Charge III | [okoiin:?] | Zubereitungsdosis III | heiß, Grad III, im Ansatzrahmen | Eintrag abgeschlossen	heiß im Zubereitungsrahmen, Grad II; trockener Drogenteil; [olkaiin:?]; [oain:?]; [cheary:?]; Wurzel, Typ/Charge III; [okoiin:?]; Zubereitungsdosis III; heiß, Grad III, im Ansatzrahmen.	5	4
f107v	f107v.47	S	B	3	2	1|9	Y_BOS_ENTRY|Y_MEDIAL_BIDIRECTIONAL_HINGE	y cheey qokeey okeoteey qokey qokey qokeey daiin y okeey odain	[y:?] | trocken am Ende des Grades | heiß am Ende des Grades | [okeoteey:?] | heiß in der Mitte des Grades | heiß in der Mitte des Grades | heiß am Ende des Grades | Grad-/Maßwert III | [y:?] | heißer Ansatz am Ende des Grades | [odain:?]	Eintrag: | trocken am Ende des Grades | heiß am Ende des Grades | [okeoteey:?] | heiß in der Mitte des Grades | heiß in der Mitte des Grades | heiß am Ende des Grades | Grad-/Maßwert III | ; hierzu: | heißer Ansatz am Ende des Grades | [odain:?]	Eintrag: trocken am Ende des Grades; heiß am Ende des Grades; [okeoteey:?]; heiß in der Mitte des Grades; heiß in der Mitte des Grades; heiß am Ende des Grades; Grad-/Maßwert III; hierzu: heißer Ansatz am Ende des Grades; [odain:?]	4	2
f107v	f107v.49	S	B	3	1	5	Y_MEDIAL_RIGHT_REFERENCE	ycheosaiin oekey chey qokeey y cheey dy qoy	[ycheosaiin:?] | [oekey:?] | trocken in der Mitte des Grades | heiß am Ende des Grades | [y:?] | trocken am Ende des Grades | [dy:?] | [qoy:?]	[ycheosaiin:?] | [oekey:?] | trocken in der Mitte des Grades | heiß am Ende des Grades | hierzu: | trocken am Ende des Grades | [dy:?] | [qoy:?]	[ycheosaiin:?]; [oekey:?]; trocken in der Mitte des Grades; heiß am Ende des Grades; hierzu: trocken am Ende des Grades; [dy:?]; [qoy:?]	5	4
f107v	f107v.9	S	B	3	1	7	Y_MEDIAL_RIGHT_REFERENCE	saiin shey kedy qokain qokedy qokaiin y lkaiin qoky lkal tar aty	Samen/Saatgut, Typ/Charge III | feucht in der Mitte des Grades | heiß in der Mitte des Grades, abgeschlossen | heiß, Grad II | heiß in der Mitte des Grades, abgeschlossen | heiß, Grad III | [y:?] | [lkaiin:?] | heiß am Anfang des Grades | [lkal:?] | kalte Drogenfraktion I | [aty:?]	Samen/Saatgut, Typ/Charge III | feucht in der Mitte des Grades | heiß in der Mitte des Grades, abgeschlossen | heiß, Grad II | heiß in der Mitte des Grades, abgeschlossen | heiß, Grad III | hierzu: | [lkaiin:?] | heiß am Anfang des Grades | [lkal:?] | kalte Drogenfraktion I | [aty:?]	Samen/Saatgut, Typ/Charge III; feucht in der Mitte des Grades; heiß in der Mitte des Grades, abgeschlossen; heiß, Grad II; heiß in der Mitte des Grades, abgeschlossen; heiß, Grad III; hierzu: [lkaiin:?]; heiß am Anfang des Grades; [lkal:?]; kalte Drogenfraktion I; [aty:?]	4	3
