occurrence_id	page	locus	ordinal	position	token_kind	left_surface	target_surface	right_surface	all_reader_separate_y	it2a_boundary_class	it2a_matched_surface	rf1b_boundary_class	rf1b_matched_surface	zl3b_line	it2a_line	rf1b_line
G659-Y030	f107v	f107v.47	9	MEDIAL	P	daiin	y	okeey	1	SEPARATE	y	SEPARATE	y	y cheey qokeey okeoteey qokey qokey qokeey daiin y okeey odain	ycheey qokeey okeoteey qokey qokey qokeey daiin y okoey odain	ycheey qokeey okeoteey qokey qokey qokeey daiin y keey odain
G659-Y031	f107v	f107v.49	5	MEDIAL	P	qokeey	y	cheey	0	MERGE_RIGHT	ycheey	MERGE_RIGHT	ycheey	ycheosaiin oekey chey qokeey y cheey dy qoy	ycheo saiin oekey chey qokeey ycheey dy qoy	ycheosaiin oekey chey qokeey ycheey dy qoy
G659-Y032	f107v	f107v.9	7	MEDIAL	P	qokaiin	y	lkaiin	0	MERGE_RIGHT	ylkaiin	SEPARATE	y	saiin shey kedy qokain qokedy qokaiin y lkaiin qoky lkal tar aty	saiin shey kedy qokain qokedy qokaiin ylkaiin qoky lkal tar aty	saiin sheykedy qokain qoke y qokaiin ylkaiin qoky lkaltaraty
G659-Y033	f108r	f108r.18	12	EOS	P	chedl	y	<EOS>	0	VARIANT_OTHER	NONE	SEPARATE	y	okeedy lkal daiin ykchedy qokol chedy qokedy lkedy okalo l chedl y	okeedy lkal daiin ykchedy qokol chedy qokedy lkedy okalol csedly	okee y lkal daiin ykchedy qokol chedy qoke y lke y okalo l che ly
G659-Y034	f108r	f108r.24	2	MEDIAL	P	folaiin	y	qokal	0	VARIANT_OTHER	NONE	SEPARATE	y	folaiin y qokal lkedy qotedy qoked qotedy okal chdar al char aiin	folaiin shkhy qokal lkedy qotedy qoked qotedy okal chdar al char aiin	folaiin y qokal lkedy qote y qoked qotedy okal chdar al char aiin
G659-Y035	f108r	f108r.25	1	BOS	P	<BOS>	y	cheeor	0	MERGE_RIGHT	ycheeor	SEPARATE	y	y cheeor aiin okeey cheol chedy opchsd opchedy alkedy al lkeam ol rain al	ycheeor aiin okeey cheol chedy opchsd opchedy alkedy allkeam ol rain al	ycheeor aiin keey cheol chedy apchsd opchedy alke y al lkeam ol rain al
G659-Y036	f108r	f108r.46	3	MEDIAL	P	qokeed	y	qokey	0	MERGE_LEFT	qokeedy	SEPARATE	y	yteedy qokeed y qokey otedy okedy qokaiin cheodar cheey qokedy al	yteedy qokeedy qokey otedy okedy qokaiin cheodar cheey qokedy al	yteedy qokeed y qokey otedy oke y qokaiin cheodar cheey qokedy al
G659-Y037	f108r	f108r.5	7	MEDIAL	P	okche	y	pchofar	0	VARIANT_OTHER	NONE	VARIANT_OTHER	NONE	tchokedy chey oteey okeey lkededy okche y pchofar cheo pchedy qotedy otol	tchokedy chey oteey okeey lkedshedy okcheefy pchofar cheo pchedy qotedy otol	tchokedy chey oteey okeey lkededy okcheefy pchofar cheo pchedy qotedy otol
G659-Y038	f108r	f108r.6	13	EOS	P	aiin	y	<EOS>	1	SEPARATE	y	SEPARATE	y	ol cheol qo qokeey qokeey qokeedy sheoky otedy qotey qokchey chdar aiin y	ol cheol qo qokeey qokeey qokeedy sheoky otedy qotey qokchey chdar aiin y	ol cheol qo qokeey qokeey qokeedy sheoky otedy qotey qokchey chdar aiin y
G659-Y039	f108v	f108v.44	1	BOS	P	<BOS>	y	shey	0	MERGE_RIGHT	yshey	MERGE_RIGHT	yshey	y shey qol lchey shey qokear shey qokeey lsheey oteey sheey qol cheekeey lchg	yshey qol leeey shey qokeeor shey qokeey lsheey oteey sheey qol cheekeey lchg	yshey qol leeey shey qokear ey qokeey lsheey oteey sheey qol cheekeey lchg
G659-Y040	f10r	f10r.7	3	MEDIAL	P	qokchol	y	kchaiin	0	MERGE_RIGHT	ykchaiin	MERGE_RIGHT	ykchaiin	dchy qokchol y kchaiin yty daiin cth dain dair am	dchy qokchol ykchaiin yty daiin cth dain dair am	dchy qokchol ykchaiin yty daiin cth dain dair am
G659-Y041	f111r	f111r.35	1	BOS	P	<BOS>	y	chedl	0	MERGE_RIGHT	ychedl	VARIANT_OTHER	NONE	y chedl ar aiin aiy dam	ychedl ar aiin ain dam	yche l ar aiin aiy dam
G659-Y042	f111r	f111r.46	1	BOS	P	<BOS>	y	cheeo	1	SEPARATE	y	SEPARATE	y	y cheeo lkeey oteed lkeedy okeeshey chey lkar al olchal or aiin cheom	y cheeo lkeey oteed lkeedy okeeesey chey lkar al olchal or aiin cheom	y cheeo lkeey oteed lkeedy okeeey chey lkar al olchal or aiin cheam
G659-Y043	f111v	f111v.11	1	BOS	P	<BOS>	y	lcheey	0	MERGE_RIGHT	ylcheey	MERGE_RIGHT	ylcheey	y lcheey shear aiin sheear otain otedy qokain chedkain shedaitain shalg	ylcheey shear aiin sheeor otain otedy qokain chedkain shedaitain chalg	ylcheey shear aiin shee r otain otedy qokain che kain shedaitain shalg
G659-Y044	f111v	f111v.33	1	BOS	P	<BOS>	y	sheeil	0	VARIANT_OTHER	NONE	VARIANT_OTHER	NONE	y sheeil oair ain okan sheain y qokan chan aman cheal char	ysheal qoair ain okan sheainy qokan chan aman cheal char	ysheal oair ain okan sheainy qokan chan aman cheal char
G659-Y045	f111v	f111v.33	7	MEDIAL	P	sheain	y	qokan	0	MERGE_LEFT	sheainy	MERGE_LEFT	sheainy	y sheeil oair ain okan sheain y qokan chan aman cheal char	ysheal qoair ain okan sheainy qokan chan aman cheal char	ysheal oair ain okan sheainy qokan chan aman cheal char
G659-Y046	f111v	f111v.35	12	EOS	P	lkain	y	<EOS>	1	SEPARATE	y	SEPARATE	y	oain okaiin chcthy lkain lchey lshekain qotal shedy chkeey lkeeed lkain y	oain okaiin chcthy lkain lchey lshekain qotal shedy chkeey lkeeed lkain y	oain okaiin chcthy lkain lchey lshekain qotal she y chkeey lkeeed lkain y
G659-Y047	f112r	f112r.19	5	MEDIAL	P	otal	y	raiin	0	MERGE_LEFT	otaly	VARIANT_OTHER	NONE	polchdy o l otal y raiin sheky qeey qokey qokeey qoky am	polchdy ol otaly saiin sheky qeey qokey qokeey qoko am	polchdy ol otalysaiin sheky qeey qokey qokeey qokyam
G659-Y048	f112r	f112r.42	5	MEDIAL	P	qokaiin	y	okeedy	1	SEPARATE	y	SEPARATE	y	pol ar shedy qokaiin y okeedy qotal chody oteody araryteop	polar shedy qokaiin y okeedy qotal chody oteody oraryteop	p lar shedy qokaiin y okeedy qotal ch dy oteody arar yte p
G659-Y049	f112r	f112r.9	5	MEDIAL	P	qokeey	y	chedy	0	VARIANT_OTHER	NONE	SEPARATE	y	saiin ol okeey qokeey y chedy teedy qokchy qokar y	saiin ol okeey qokeey o chedy teedy qokchy qokary	saiin ol okeey qokeey o chedy tee y qokchy qokar
G659-Y050	f112r	f112r.9	10	EOS	P	qokar	y	<EOS>	0	MERGE_LEFT	qokary	VARIANT_OTHER	NONE	saiin ol okeey qokeey y chedy teedy qokchy qokar y	saiin ol okeey qokeey o chedy teedy qokchy qokary	saiin ol okeey qokeey o chedy tee y qokchy qokar
G659-Y051	f112v	f112v.1	5	MEDIAL	P	otalair	y	fcheol	0	SEPARATE	y	MERGE_LEFT	otalairy	keeoal chool opal otalair y fcheol oteey qor eees am	keeoal chool opal otalair y fcheol oteey qor eees am	keeoal cho ol opal otalairy fcheol oteey qor eees am
G659-Y052	f112v	f112v.40	1	BOS	P	<BOS>	y	cheol	1	SEPARATE	y	SEPARATE	y	y cheol lchedy chckhy cheolchal shchy daiin cheolor okain chedy daiin	y cheol lchedy chckhy cheolchal shchy daiin cheolor okain chedy daiin	y cheol lchedy chckhy cheolchal shchy daiin cheolor okain chedy daiin
G659-Y053	f113r	f113r.12	1	BOS	P	<BOS>	y	shoain	0	MERGE_RIGHT	yshoain	MERGE_RIGHT	yshoain	y shoain qoeey qoaiin shol lkeeoar chodaiin otam chos aiin	yshoain qoeey qoaiin shol lkeeoar chodaiin otam chosaiin	yshoain qoeey qoaiin shol lkeeoar chodaiin otag chos aiin
G659-Y054	f113r	f113r.27	6	MEDIAL	P	kcheey	y	raiin	0	MERGE_RIGHT	yraiin	MERGE_RIGHT	yraiin	tchol chol lsheol shor kcheey y raiin sheol tcheody tchey sheoky lpchedy qokam	tchol chol lsheol shor kcheey yraiin sheol tcheody tchey sheoky lpchedy qokam	tchol chol lsheol shar kcheey yraiin sheol tcheody tchey sheoky lpchedy qokam
G659-Y055	f113r	f113r.29	1	BOS	P	<BOS>	y	sheeoaiin	0	MERGE_RIGHT	ysheeoaiin	MERGE_RIGHT	ysheeoaiin	y sheeoaiin olkeeol chtchol kcheody lkchedy okaiin chal taiin oteedy	ysheeoaiin alkeeol chtchol kcheody lkchedy okaiin chal taiin oteedy	ysheeoaiin alkeeol chtchol kcheody lkchedy okaiin chal taiin oteedy
G659-Y056	f113r	f113r.35	1	BOS	P	<BOS>	y	sh	0	VARIANT_OTHER	NONE	VARIANT_OTHER	NONE	y sh s sheeo lkeeos aiin qokeees okchedy qotaiin otar okar ockhy rchdy qosain	yshs sheeo lkeeos aiin qokeees okchedy qotaiin otar okar ockhy rchedy qosain	yshssheeo lkeeos aiin qokeees okchedy qotaiin otar okar ockhy rchedy qosain
G659-Y057	f113r	f113r.47	1	BOS	P	<BOS>	y	sheol	1	SEPARATE	y	SEPARATE	y	y sheol keechey cholkeedy qokaiin chedal l kches ar okain qokaiin oram	y sheol keechey cholkeedy qokaiin chedal lkches ar okain qokaiin oriim	y sheol keechey cholkee y qokaiin che al l kches ar kain qokaiin oram
G659-Y058	f113v	f113v.27	1	BOS	P	<BOS>	y	cheeo	0	VARIANT_OTHER	NONE	VARIANT_OTHER	NONE	y cheeo l cheeo alkeedy	ycheeol cheeo alkeedy	ycheeolcheeo alkeedy
G659-Y059	f113v	f113v.37	7	MEDIAL	P	qokair	y	daiin	0	MERGE_RIGHT	ydaiin	MERGE_RIGHT	ydaiin	qol aiin olaiin oteeey lchedy qokair y daiin	qol aiin olaiin oteeey lchedy qokair ydaiin	qol aiin olaiin oteee lchedy qokair ydaiin
G659-Y060	f113v	f113v.48	1	BOS	P	<BOS>	y	cheol	0	MERGE_RIGHT	ycheol	SEPARATE	y	y cheol cheey qol lsheedy qokaiin chedy kain qokeeedy lkaiin okal dy	ycheol cheey qol lsheedy qokaiin chedy kain qokeeedy lkaiin okal dy	y cheol cheey qol lshee y qokaiin che y kain qokeee y lkaiin okal dy
G659-Y061	f114r	f114r.15	6	MEDIAL	P	chodar	y	dal	1	SEPARATE	y	SEPARATE	y	qoedy otair otar okod chodar y dal oeedy qokolkchdy dalol y qokaiin ched al	qoedy otair otar okod chodar y dal oeedy qokolkchdy dalol y qokaiin ched al	qoedy otair otar okod chodar y dal oeedy qokolkchdy dalol y qokaiin che al
G659-Y062	f114r	f114r.15	11	MEDIAL	P	dalol	y	qokaiin	1	SEPARATE	y	SEPARATE	y	qoedy otair otar okod chodar y dal oeedy qokolkchdy dalol y qokaiin ched al	qoedy otair otar okod chodar y dal oeedy qokolkchdy dalol y qokaiin ched al	qoedy otair otar okod chodar y dal oeedy qokolkchdy dalol y qokaiin che al
G659-Y063	f114r	f114r.18	3	MEDIAL	P	okar	y	cheodeeey	1	SEPARATE	y	SEPARATE	y	lcheos okar y cheodeeey qoeeody qodaiin daildain	lcheos okar y cheodeeey qoeeody qodaiin daildain	lcheos okar y cheodeeey qoeeody qodaiin daildain
G659-Y064	f114r	f114r.30	1	BOS	P	<BOS>	y	chedar	0	MERGE_RIGHT	ychedar	MERGE_RIGHT	ychedar	y chedar okeedy lkeedy aiin oeedaiin qoaiin ykedy okair olkeedy qoain ain okeey ram	ychedar okeedy lkeede aiin oeedaiin qoaiin ykedy okair olkeedy qoain ain okeey ram	ychedar okeedy lkeedy aiin oeedaiin qoaiin yke okair olkeedy qoain ain okee ram
G659-Y065	f114r	f114r.34	5	MEDIAL	P	kaiin	y	kar	0	MERGE_RIGHT	ykar	MERGE_RIGHT	ykar	ytain o l kaiin y kar chdar alkam	ytain olkaiin ykar chdar alkam	ytain olkaiin ykar chdar alkam
G659-Y066	f114v	f114v.30	1	BOS	P	<BOS>	y	cheey	0	MERGE_RIGHT	ycheey	MERGE_RIGHT	ycheey	y cheey qooeey qolcheey qoteey qotaiin otal otaiin oteeo teey rain	ycheey qoochy qolcheey qoteey qotaiin otal otaiin oteeo teey rain	ycheey qooeey qolcheey qoteey qotaiin otal otaiin oteeo teey rain
G659-Y067	f114v	f114v.32	1	BOS	P	<BOS>	y	cheol	0	MERGE_RIGHT	ycheol	MERGE_RIGHT	ycheol	y cheol oleey cheoaiin chetaiin sheeodain	ycheol oleeey cheoaiin chetaiin sheeodain	ycheol olee cheoaiin chetaiin eeodain
G659-Y068	f114v	f114v.40	3	MEDIAL	P	cheo	y	oteey	0	MERGE_LEFT	cheoy	SEPARATE	y	eeo cheo y oteey qotaiin cheo l oteeey daiin oteey teeedy dm	eeo cheoy oteey qotaiin cheol oteeey daiin oteey teeedy dm	eeo che y oteey qotaiin cheol oteeey aiin oteey teee y m
G659-Y069	f115r	f115r.15	1	BOS	P	<BOS>	y	cheo	0	MERGE_RIGHT	ycheo	SEPARATE	y	y cheo lkeodain chcthed qokar chedy qotain chody qotain cheol lkar air om	ycheo lkeodain chcthed qokar chedy qotain chody qotain cheol lkar air om	y cheo lkeodain chcthed qokar chedy qotain chody qotain cheol lkar air om
G659-Y070	f115r	f115r.22	9	MEDIAL	P	cheedy	y	cheedy	0	VARIANT_OTHER	NONE	SEPARATE	y	psheody chsho tchdy dar chedy okchdar chdor cheedy y cheedy qepchey lkam	psheody chsho tchdy dar chedy okchdar chdor cheedy ykhy cheedy qepchey lkam	fsheody chsho tchdy dar chedy o chdar chdor chee y y cheedy qepchey lkam
G659-Y071	f115r	f115r.25	1	BOS	P	<BOS>	y	cheodain	1	SEPARATE	y	SEPARATE	y	y cheodain cheey qotchedy qokeeody choar cheey	y cheodain cheey qotchedy qokeeody choar cheey	y cheodain cheey qotchedy qokeeody choar cheey
G659-Y072	f115r	f115r.33	1	BOS	P	<BOS>	y	cheey	0	MERGE_RIGHT	ycheey	SEPARATE	y	y cheey qotaiin chokeeey chckhey qoky aiin cheey lkeedy oky chokchaiin	ycheey qotaiiin chokeeey chckhey qoky aiin cheey lkeedy okchy chokchaiin	ycheey qotaiin chokeeey chckhey qoky aiin cheey lkee y okchy chokeeaiin
G659-Y073	f115r	f115r.39	1	BOS	P	<BOS>	y	chey	0	MERGE_RIGHT	ychey	MERGE_RIGHT	ychey	y chey keey qodain cheody qokor	ychey keey qodain cheody qokor	ychey keey qodain cheody qok r
G659-Y074	f115r	f115r.45	1	BOS	P	<BOS>	y	dchedy	1	SEPARATE	y	SEPARATE	y	y dchedy kody qokeedy chols	y dchedy kody qokeedy chols	y dchedy kody qokeed chols
G659-Y075	f115v	f115v.16	6	MEDIAL	P	kar	y	sheo	1	SEPARATE	y	SEPARATE	y	dain ar oteey qoteol kar y sheo lkechdy qokar qokey lko rokeedy ld	dain aroteey qoteol kar y sheo lkechdy qokar qokey lko rokeedy ld	dain aroteey qoteo l kar y sheo lkechdy qokar qokey lko rokee y ld
G659-Y076	f115v	f115v.28	1	BOS	P	<BOS>	y	chey	0	MERGE_RIGHT	ychey	MERGE_RIGHT	ychey	y chey lcho lor chedy chol chedy chdy	ychey lcho lor chedy chol chedy chdy	ychey lcho l or chedy chol chedy chdy
G659-Y077	f116r	f116r.18	14	EOS	P	ar	y	<EOS>	0	MERGE_LEFT	ary	MERGE_LEFT	ary	pcharalor qokey r ain otedy opain lor oiin otain otar oteeedy ches ar y	pcharalor qokey rain otedy opain lor oiin otain otar oteeedy ches ary	pcharalar qokey r ain otedy opain lor oiin ot in otar oteeedy ches ary
G659-Y078	f116r	f116r.19	12	MEDIAL	P	ot	y	dain	0	MERGE_LEFT	oty	VARIANT_OTHER	NONE	porchey sheedy qotain chetar qotar ar arody chcthy rain otey ot y dain	porchey sheedy qotain chetar qotar ar arody chcthy rain otey oty dain	porchey sheedy qotain chetar qotar ar ar dy chcthy rain otey otey dain
G659-Y079	f116r	f116r.20	6	MEDIAL	P	raiin	y	chedy	1	SEPARATE	y	SEPARATE	y	chol keedy ol cheey raiin y chedy otar o kal okain olar otedy qoty sfm	chol keedy ol cheey laiin y chedy otar okal okain olar otedy qoty rfam	chol keedy ol cheey raiin y chedy otar okal okain ol ar ytedy qoty rf m
G659-Y080	f116r	f116r.34	6	MEDIAL	P	okain	y	r	0	VARIANT_OTHER	NONE	VARIANT_OTHER	NONE	qokain ar raiin shek okain y r shey qolchey okaiin shckhy qokam	qokain ar raiin shek okain yrshey qolchey okain shckhy qokam	qokain ar raiin shek okain yrshey qolchey okaiin sh ckhy qokam
G659-Y081	f116r	f116r.37	4	MEDIAL	P	l	y	oiin	0	VARIANT_OTHER	NONE	VARIANT_OTHER	NONE	pairain sheek l y oiin cheey lkeey olkeey lchey qoky lshedy cheam sham	pairain sheekly oiin cheey lkeey olkeey lchey qoky lshedy cheam sham	pairain sheekly oiin cheey lkeey olkeey lchey qoky lshedy cheam sham
G659-Y082	f116r	f116r.4	12	EOS	P	aralar	y	<EOS>	0	MERGE_LEFT	aralary	SEPARATE	y	padar shey osheeky qol laiin chckhy okam chedy oteedy qotar aralar y	padar shey osheeky qol loiin chckhy okam chedy oteedy qotar aralary	padar shey osheeky qol l iin chckhy okam che y oteedy qotar aral ar y
G659-Y083	f116r	f116r.48	8	MEDIAL	P	dain	y	otan	1	SEPARATE	y	SEPARATE	y	sykar ain olkeey dainchey qokar chey dain y otan otain oly	sykar ain olkeey dain choy qokar chey dain y otan otain oly	sykar ain lokeey dain che qokar chey dain y otan otain oly
G659-Y084	f11r	f11r.2	3	MEDIAL	P	qodor	y	kshy	0	SEPARATE	y	MERGE_LEFT	qodory	socthody qodor y kshy daiin ytchy ytchoky kchol daiin	socthody qodor y kshy daiin ytchy ytchoky kchol daiin	socthody qodory tshy daiin ytchy ytchaky kchol daiin
G659-Y085	f11r	f11r.5	5	MEDIAL	P	dky	y	daiin	0	VARIANT_OTHER	NONE	SEPARATE	y	tchol shor shor dky y daiin cthy d y chodl daiin	tchol shor shor dky shcphy daiin cthy dy chodl daiin	tchol shor shor dky y daiin cthy dy chodldaiin
