surface	occurrence_count	physical_pages	truth_recipe	candidate_count_capped	gdt519_rank	gdt519_top1	gdt520_rank	gdt520_top1	gdt520_top5	truth_gdt519_score	truth_segment_count	truth_boundary_nll	truth_gdt520_score	truth_alignment_trace	top1_gdt519_score	top1_segment_count	top1_boundary_nll	top1_gdt520_score	top1_alignment_trace	decision_change_class	working_policy
kchody	1	f66r	K+CH+O+D_ADDR+Y	44	2	K+CH+O+DY	2	K+CH+O+DY	K+CH+O+DY | K+CH+O+D_ADDR+Y | K+LOCAL_C+O+DY | K+O+DY | K+CH+O+Y	3.453837643	5	1.333232259	4.087160868	k=>k~K@edit0+alias0.000 | ch=>ch~CH@edit0+alias0.000 | o=>o~O@edit0+alias0.000 | d=>d~D_ADDR@edit0+alias0.000 | y=>y~Y@edit0+alias0.000	2.506842909	4	0.682599045	2.975102813	k=>k~K@edit0+alias0.000 | ch=>ch~CH@edit0+alias0.000 | o=>o~O@edit0+alias0.000 | dy=>dy~DY@edit0+alias0.000	GDT519_ERROR_UNCHANGED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__BOUNDARY_LATTICE_RERANKS_ONLY_FINITE_UNKNOWN_CANDIDATES
kechody	1	f66r	K+E+CH+O+D_ADDR+Y	46	3	K+E+CH+O+DY	2	K+E+CH+O+DY	K+E+CH+O+DY | K+E+CH+O+D_ADDR+Y | K+E+LOCAL_C+O+DY | K+E+CH+O+Y | K+E+CH+SH+O+DY	4.705333226	6	1.588334566	5.464166683	k=>k~K@edit0+alias0.000 | e=>e~E@edit0+alias0.000 | ch=>ch~CH@edit0+alias0.000 | o=>o~O@edit0+alias0.000 | d=>d~D_ADDR@edit0+alias0.000 | y=>y~Y@edit0+alias0.000	3.182627990	5	0.937701352	3.776398125	k=>k~K@edit0+alias0.000 | e=>e~E@edit0+alias0.000 | ch=>ch~CH@edit0+alias0.000 | o=>o~O@edit0+alias0.000 | dy=>dy~DY@edit0+alias0.000	GDT519_ERROR_UNCHANGED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__BOUNDARY_LATTICE_RERANKS_ONLY_FINITE_UNKNOWN_CANDIDATES
keeol	1	f31r	K+EE+O+L	14	2	K+EE+OL	2	K+EE+OL	K+EE+OL | K+EE+O+L | K+E+E+OL | OL+K+EE | OK+EE+L	5.981818523	4	1.875546467	6.569373170	k=>k~K@edit0+alias0.000 | ee=>ee~EE@edit0+alias0.000 | o=>o~O@edit0+alias0.000 | l=>l~L@edit0+alias0.000	1.497583684	3	0.396433859	1.837227070	k=>k~K@edit0+alias0.000 | ee=>ee~EE@edit0+alias0.000 | ol=>ol~OL@edit0+alias0.000	GDT519_ERROR_UNCHANGED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__BOUNDARY_LATTICE_RERANKS_ONLY_FINITE_UNKNOWN_CANDIDATES
keody	3	f20v|f66r	K+E+O+D_ADDR+Y	11	2	K+E+O+DY	2	K+E+O+DY	K+E+O+DY | K+E+O+D_ADDR+Y | K+E+O+Y | OK+E+DY | O+D_ADDR+Y	3.278045839	5	1.539409341	3.931986773	k=>k~K@edit0+alias0.000 | e=>e~E@edit0+alias0.000 | o=>o~O@edit0+alias0.000 | d=>d~D_ADDR@edit0+alias0.000 | y=>y~Y@edit0+alias0.000	2.115005182	4	0.888776128	2.603882795	k=>k~K@edit0+alias0.000 | e=>e~E@edit0+alias0.000 | o=>o~O@edit0+alias0.000 | dy=>dy~DY@edit0+alias0.000	GDT519_ERROR_UNCHANGED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__BOUNDARY_LATTICE_RERANKS_ONLY_FINITE_UNKNOWN_CANDIDATES
ld	1	f66r	L+D_ADDR	6	2	L	2	L	L | L+D_ADDR | AL | AL+D_ADDR | L+CHD	2.691980572	2	0.189402062	2.910920778	l=>l~L@edit0+alias0.000 | d=>d~D_ADDR@edit0+alias0.000	0.857808397	1	1.757089972	1.133517394	ld=>ld~L@edit0+alias0.267	GDT519_ERROR_UNCHANGED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__BOUNDARY_LATTICE_RERANKS_ONLY_FINITE_UNKNOWN_CANDIDATES
okedals	1	f66r	OK+AL+S	100	3	OK+E+D_ADDR+AL+S	3	OK+E+D_ADDR+AL+S	OK+E+D_ADDR+AL+S | OK+E+AL+S | OK+AL+S | OK+E+AL | OK+E+DA+L	4.583728718	3	2.722377479	5.155966466	ok=>ok~OK@edit0+alias0.000 | edal=>dal~AL@edit1+alias0.273 | s=>s~S@edit0+alias0.000	3.462749117	5	1.652839721	4.128033089	ok=>ok~OK@edit0+alias0.000 | e=>e~E@edit0+alias0.000 | d=>d~D_ADDR@edit0+alias0.000 | al=>al~AL@edit0+alias0.000 | s=>s~S@edit0+alias0.000	GDT519_ERROR_UNCHANGED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__BOUNDARY_LATTICE_RERANKS_ONLY_FINITE_UNKNOWN_CANDIDATES
psheody	1	f66r	P+SH+E+O+D_ADDR+Y	34	1	P+SH+E+O+D_ADDR+Y	2	P+SH+E+O+DY	P+SH+E+O+DY | P+SH+E+O+D_ADDR+Y | P+SH+E+O+Y | P+E+O+DY | P+SH+E+O+D_ADDR+DY	2.867511996	6	1.554469700	3.622958966	p=>p~P@edit0+alias0.000 | sh=>sh~SH@edit0+alias0.000 | e=>e~E@edit0+alias0.000 | o=>o~O@edit0+alias0.000 | d=>d~D_ADDR@edit0+alias0.000 | y=>y~Y@edit0+alias0.000	2.875535475	5	0.903836487	3.465919123	p=>p~P@edit0+alias0.000 | sh=>sh~SH@edit0+alias0.000 | e=>e~E@edit0+alias0.000 | o=>o~O@edit0+alias0.000 | dy=>dy~DY@edit0+alias0.000	GDT519_CORRECT_LOST	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__BOUNDARY_LATTICE_RERANKS_ONLY_FINITE_UNKNOWN_CANDIDATES
qef	1	f31r	E+LOCAL_CHAR_F	4	2	CARRIER_Q+E+LOCAL_CHAR_F	2	CARRIER_Q+E+LOCAL_CHAR_F	CARRIER_Q+E+LOCAL_CHAR_F | E+LOCAL_CHAR_F | CARRIER_Q+D_ADDR | CARRIER_Q+CH+E+LOCAL_CHAR_F	4.243960321	2	1.811011303	4.625061451	qe=>e~E@edit1+alias0.000 | f=>f~LOCAL_CHAR_F@edit0+alias0.000	2.161535792	3	0.871106063	2.548646398	q=>q~CARRIER_Q@edit0+alias0.000 | e=>e~E@edit0+alias0.000 | f=>f~LOCAL_CHAR_F@edit0+alias0.000	GDT519_ERROR_UNCHANGED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__BOUNDARY_LATTICE_RERANKS_ONLY_FINITE_UNKNOWN_CANDIDATES
qocthedy	1	f66r	CARRIER_Q+O+CH+T+E+Y	93	3	CARRIER_Q+O+CH+T+E+DY	3	CARRIER_Q+O+CH+T+E+DY	CARRIER_Q+O+CH+T+E+DY | O+CH+T+E+DY | CARRIER_Q+O+CH+T+E+Y | CARRIER_Q+O+CH+T+E+D_ADDR+Y | O+CH+T+E+D_ADDR+Y	5.747534992	5	2.297952237	6.477330215	q=>q~CARRIER_Q@edit0+alias0.000 | o=>o~O@edit0+alias0.000 | cth=>cth~CH+T@edit0+alias0.508 | e=>e~E@edit0+alias0.000 | dy=>y~Y@edit1+alias0.000	2.987508232	5	2.297952237	3.717303456	q=>q~CARRIER_Q@edit0+alias0.000 | o=>o~O@edit0+alias0.000 | cth=>cth~CH+T@edit0+alias0.508 | e=>e~E@edit0+alias0.000 | dy=>dy~DY@edit0+alias0.000	GDT519_ERROR_UNCHANGED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__BOUNDARY_LATTICE_RERANKS_ONLY_FINITE_UNKNOWN_CANDIDATES
saiis	1	f31r	S+IIN+S	64	2	S+A_ADDR+IIN+S	2	S+A_ADDR+IIN+S	S+A_ADDR+IIN+S | S+IIN+S | S+AIIN+S | S+LOCAL_CHAR_I+S | S+A_ADDR+LOCAL_CHAR_I+S	5.041763798	3	0.687003288	5.410464127	s=>s~S@edit0+alias0.000 | aii=>iin~IIN@edit2+alias0.000 | s=>s~S@edit0+alias0.000	4.579445972	4	2.260315349	5.205477507	s=>s~S@edit0+alias0.000 | a=>a~A_ADDR@edit0+alias0.000 | ii=>in~IIN@edit1+alias0.534 | s=>s~S@edit0+alias0.000	GDT519_ERROR_UNCHANGED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__BOUNDARY_LATTICE_RERANKS_ONLY_FINITE_UNKNOWN_CANDIDATES
