reader_id	selection_role	gdt744_field_id	page	locus	target_surface	target_ordinal	field_channel	field_confidence_tier	boundary_state	eva_microfield	gdt743_target_render_de	safe_microfield_render_de	gdt744_field_card_de	combined_target_field_render_de	unresolved_candidate_surfaces	information_added	reader_ceiling	manual_coherence	manual_information_gain	manual_note
G744-R11	COMPLETE_TEMPLATE_CLASS_EXEMPLAR	G744-F0106	f115r	f115r.15	lkar	11	QUANTITY_OR_PART	F3_RECURRENT_COMPLETE_CONTEXT	L=PRIOR_CLOSE_BEFORE_R3|R=LINE_EDGE_AFTER_R2	qotain cheol ⟦lkar⟧ air om	Mengen-/Portionsstufe I des Materialteils	[qotain:?]; [cheol:?]; ⟦Mengen-/Portionsstufe I des Materialteils⟧; zweite Drogenfraktion; [om:?]	Mengen-/Teilfeld: Bezugsstoff offen; Marker=Teil/Portion; Träger=Stoff+Teil/Portion; Wert=Skala/Stufe I; Evidenz=voll begrenzt und auf mehreren Seiten wiederholt	Mengen-/Portionsstufe I des Materialteils ⟦Mengen-/Teilfeld: Bezugsstoff offen; Marker=Teil/Portion; Träger=Stoff+Teil/Portion; Wert=Skala/Stufe I; Evidenz=voll begrenzt und auf mehreren Seiten wiederholt⟧	NONE	adds recurrent QUANTITY_OR_PART record channel and locates the unresolved QUANTITY_REFERENT_OR_PART_NAME slot	FIELD_ROLE_ONLY__NO_LITERAL_CONTENT_IDENTITY_OR_PLAINTEXT	COHERENT_QUANTITY_PART	1	The field and inherited target both support a material-part quantity reading without naming the material.
G744-R12	COMPLETE_TEMPLATE_CLASS_EXEMPLAR	G744-F0126	f52v	f52v.7	pcheol	1	QUANTITY_OR_PART	F3_RECURRENT_COMPLETE_CONTEXT	L=LINE_EDGE_AFTER_R0|R=LINE_EDGE_AFTER_R3	⟦pcheol⟧ sholoiin cthor aiin	Status-Eintrag des Materials; Zustandsachse offen	⟦Status-Eintrag des Materials; Zustandsachse offen⟧; [sholoiin:?]; eine Portion Pflanzendroge; [aiin:?]	Mengen-/Teilfeld: Bezugsstoff offen; Marker=Menge; Träger=Stoff; Wert=Statusfeld; Evidenz=voll begrenzt und auf mehreren Seiten wiederholt	Status-Eintrag des Materials; Zustandsachse offen ⟦Mengen-/Teilfeld: Bezugsstoff offen; Marker=Menge; Träger=Stoff; Wert=Statusfeld; Evidenz=voll begrenzt und auf mehreren Seiten wiederholt⟧	NONE	adds recurrent QUANTITY_OR_PART record channel and locates the unresolved QUANTITY_REFERENT_OR_PART_NAME slot	FIELD_ROLE_ONLY__NO_LITERAL_CONTENT_IDENTITY_OR_PLAINTEXT	COHERENT_TWO_LAYER	1	The target supplies an entry/status role while the surrounding field supplies a quantity referent slot; the unusual combination remains explicit.
G744-R13	COMPLETE_TEMPLATE_CLASS_EXEMPLAR	G744-F0135	f115r	f115r.11	rain	8	DESCRIPTIVE_MATERIA	F3_RECURRENT_COMPLETE_CONTEXT	L=PRIOR_CLOSE_BEFORE_R2|R=STRICT_INITIAL_BEFORE_R4	qototeeey ⟦rain⟧ cheo chkain cho	Skalarstufe II der Zubereitung; Dimension offen; interner Rückbezug	[qototeeey: Lemma-/Beschreibungsinhalt offen]; ⟦Skalarstufe II der Zubereitung; Dimension offen; interner Rückbezug⟧; trocken angesetzte Zubereitung; trocken-heiß, Stufe II; Trockenansatz	Materia-medica-Beschreibung: Lemma offen; Träger=Zubereitung; Qualität=heiß+trocken; Skala/Stufe II; Evidenz=voll begrenzt und auf mehreren Seiten wiederholt	Skalarstufe II der Zubereitung; Dimension offen; interner Rückbezug ⟦Materia-medica-Beschreibung: Lemma offen; Träger=Zubereitung; Qualität=heiß+trocken; Skala/Stufe II; Evidenz=voll begrenzt und auf mehreren Seiten wiederholt⟧	qototeeey	adds recurrent DESCRIPTIVE_MATERIA record channel and locates the unresolved LEMMA_OR_DESCRIPTIVE_CONTENT slot	FIELD_ROLE_ONLY__NO_LITERAL_CONTENT_IDENTITY_OR_PLAINTEXT	COHERENT_ROLE_ONLY	1	The field is a hot/dry preparation description with a visible open lemma candidate.
G744-R14	COMPLETE_TEMPLATE_CLASS_EXEMPLAR	G744-F0169	f113r	f113r.49	sain	1	DESCRIPTIVE_MATERIA	F3_RECURRENT_COMPLETE_CONTEXT	L=LINE_EDGE_AFTER_R0|R=STRICT_INITIAL_BEFORE_R5	⟦sain⟧ cheeey cheo kcheey qokeey	Skalarstufe II; Dimension offen; Eintrag	⟦Skalarstufe II; Dimension offen; Eintrag⟧; [cheeey: Lemma-/Beschreibungsinhalt offen]; trocken angesetzte Zubereitung; heiß und trocken am Ende des Grades; heiß am Ende des Grades	Materia-medica-Beschreibung: Lemma offen; Träger=Zubereitung; Qualität=heiß+trocken; Skala/Stufe II; Evidenz=voll begrenzt und auf mehreren Seiten wiederholt	Skalarstufe II; Dimension offen; Eintrag ⟦Materia-medica-Beschreibung: Lemma offen; Träger=Zubereitung; Qualität=heiß+trocken; Skala/Stufe II; Evidenz=voll begrenzt und auf mehreren Seiten wiederholt⟧	cheeey	adds recurrent DESCRIPTIVE_MATERIA record channel and locates the unresolved LEMMA_OR_DESCRIPTIVE_CONTENT slot	FIELD_ROLE_ONLY__NO_LITERAL_CONTENT_IDENTITY_OR_PLAINTEXT	COHERENT_ROLE_ONLY	1	The entry-level target and hot/dry preparation description combine without a literal plant or drug name.
G744-R15	COMPLETE_TEMPLATE_CLASS_EXEMPLAR	G744-F0196	f83r	f83r.33	sain	6	DESCRIPTIVE_QUALITY	F3_RECURRENT_COMPLETE_CONTEXT	L=STRICT_INITIAL_BEFORE_R5|R=LINE_EDGE_AFTER_R0	s aiin sheekchy qokey ⟦sain⟧	Heißgrad II	[s:?]; [aiin:?]; vollständig anfeuchten, dann heiß-trocken ansetzen; heiß in der Mitte des Grades; ⟦Heißgrad II⟧	Materia-medica-Beschreibung: Lemma und Träger offen; Qualität=heiß+trocken+feucht/eingeweicht (konkurrierende Anker); Skala/Stufe II; Evidenz=voll begrenzt und auf mehreren Seiten wiederholt	Heißgrad II ⟦Materia-medica-Beschreibung: Lemma und Träger offen; Qualität=heiß+trocken+feucht/eingeweicht (konkurrierende Anker); Skala/Stufe II; Evidenz=voll begrenzt und auf mehreren Seiten wiederholt⟧	NONE	adds recurrent DESCRIPTIVE_QUALITY record channel and locates the unresolved LEMMA_OR_DESCRIPTIVE_CONTENT slot	FIELD_ROLE_ONLY__NO_LITERAL_CONTENT_IDENTITY_OR_PLAINTEXT	COHERENT_CHANNEL_WITH_QUALITY_CONFLICT	1	The quality-description channel is useful, but dry and moist anchors compete and are explicitly flagged.
G744-R16	COMPLETE_TEMPLATE_CLASS_EXEMPLAR	G744-F0151	f106v	f106v.19	sain	9	QUANTITY_OR_PART	F3_RECURRENT_COMPLETE_CONTEXT	L=PRIOR_CLOSE_BEFORE_R5|R=LINE_EDGE_AFTER_R0	r ain olaiin otaiin ⟦sain⟧	Skalarstufe II; Dimension offen	[r:?]; [ain:?]; drei Portionen Drogenstoff; [otaiin:?]; ⟦Skalarstufe II; Dimension offen⟧	Mengen-/Teilfeld: Bezugsstoff offen; Marker=Menge; Träger=Stoff; Wert=Skala/Stufe II; Evidenz=voll begrenzt und auf mehreren Seiten wiederholt	Skalarstufe II; Dimension offen ⟦Mengen-/Teilfeld: Bezugsstoff offen; Marker=Menge; Träger=Stoff; Wert=Skala/Stufe II; Evidenz=voll begrenzt und auf mehreren Seiten wiederholt⟧	NONE	adds recurrent QUANTITY_OR_PART record channel and locates the unresolved QUANTITY_REFERENT_OR_PART_NAME slot	FIELD_ROLE_ONLY__NO_LITERAL_CONTENT_IDENTITY_OR_PLAINTEXT	COHERENT_QUANTITY_PART	1	The amount/material context supports a quantity field while the actual referent remains open.
G744-R17	CENSORED_TEMPLATE_EXEMPLAR	G744-F0156	f108v	f108v.37	sain	1	DESCRIPTIVE_MATERIA	F2_RECURRENT_TEMPLATE_PARTIAL_CONTEXT	L=LINE_EDGE_AFTER_R0|R=RADIUS5_CENSORED	⟦sain⟧ sheor sheey sheckhey qokey okey	Skalarstufe II des Materialteils; Dimension offen; Eintrag	⟦Skalarstufe II des Materialteils; Dimension offen; Eintrag⟧; feuchter Drogenteil; [sheey:?]; feuchtes Arzneikompositum in der Gradmitte; heiß in der Mitte des Grades; heißer Ansatz in der Mitte des Grades	Materia-medica-Beschreibung: Lemma offen; Träger=Stoff+Zubereitung+Teil/Portion; Qualität=heiß+feucht/eingeweicht; Skala/Stufe II; Evidenz=voll begrenzte Vorlage wiederholt; dieser Feldrand >R5 offen	Skalarstufe II des Materialteils; Dimension offen; Eintrag ⟦Materia-medica-Beschreibung: Lemma offen; Träger=Stoff+Zubereitung+Teil/Portion; Qualität=heiß+feucht/eingeweicht; Skala/Stufe II; Evidenz=voll begrenzte Vorlage wiederholt; dieser Feldrand >R5 offen⟧	NONE	adds recurrent DESCRIPTIVE_MATERIA record channel and locates the unresolved LEMMA_OR_DESCRIPTIVE_CONTENT slot	FIELD_ROLE_ONLY__NO_LITERAL_CONTENT_IDENTITY_OR_PLAINTEXT	COHERENT_CENSORED_TEMPLATE	1	The recurrent descriptive template is useful, with the open radius-five boundary stated in the card.
G744-R18	WINDOW_ONLY_COUNTERCASE	G744-F0134	f114v	f114v.30	rain	11	PRESCRIPTIVE_RECIPE	F1_RECURRENT_WINDOW_ONLY	L=RADIUS5_CENSORED|R=LINE_EDGE_AFTER_R0	qotaiin otal otaiin oteeo teey ⟦rain⟧	Kältegrad II; Abschlussbezug	[qotaiin:?]; [otal:?]; [otaiin:?]; zweiter Kaltansatz; kalt am Ende des Grades; ⟦Kältegrad II; Abschlussbezug⟧	VORLÄUFIG: Rezept-/Verarbeitungsfeld: Zutat offen; Verarbeitungsabschnitt belegt; Träger=Zubereitung; Mengenmarker=nicht belegt; Bedingung=kalt; Ziel=Skala/Stufe II; Evidenz=nur im Radius-5-Fenster wiederholt	Kältegrad II; Abschlussbezug ⟦VORLÄUFIG: Rezept-/Verarbeitungsfeld: Zutat offen; Verarbeitungsabschnitt belegt; Träger=Zubereitung; Mengenmarker=nicht belegt; Bedingung=kalt; Ziel=Skala/Stufe II; Evidenz=nur im Radius-5-Fenster wiederholt⟧	NONE	shows provisional PRESCRIPTIVE_RECIPE channel without renderer licence	FIELD_ROLE_ONLY__NO_LITERAL_CONTENT_IDENTITY_OR_PLAINTEXT	PROVISIONAL_WINDOW_ONLY	0	The process-pass reading is plausible, but complete-boundary recurrence is absent and no renderer licence is granted.
G744-R19	WINDOW_ONLY_COUNTERCASE	G744-F0048	f113r	f113r.46	lkaiin	3	QUANTITY_OR_PART	F1_RECURRENT_WINDOW_ONLY	L=LINE_EDGE_AFTER_R2|R=CURRENT_CLOSE_INCLUDED_R3	oaiin cheokeeas ⟦lkaiin⟧ chkal kar cheeody	Skalarstufe III; Dimension offen	drei Ansatzportionen; [cheokeeas:?]; ⟦Skalarstufe III; Dimension offen⟧; [chkal:?]; [kar:?]; [cheeody:?]	VORLÄUFIG: Mengen-/Teilfeld: Bezugsstoff offen; Marker=Menge; Träger=Zubereitung; Wert=Skala/Stufe III; Evidenz=nur im Radius-5-Fenster wiederholt	Skalarstufe III; Dimension offen ⟦VORLÄUFIG: Mengen-/Teilfeld: Bezugsstoff offen; Marker=Menge; Träger=Zubereitung; Wert=Skala/Stufe III; Evidenz=nur im Radius-5-Fenster wiederholt⟧	NONE	shows provisional QUANTITY_OR_PART channel without renderer licence	FIELD_ROLE_ONLY__NO_LITERAL_CONTENT_IDENTITY_OR_PLAINTEXT	PROVISIONAL_WINDOW_ONLY	0	The quantity reading is plausible, but complete-boundary recurrence is absent and no renderer licence is granted.
G744-R20	OPEN_COUNTERCASE	G744-F0002	f113v	f113v.46	lain	4	OPEN	F0_OPEN	L=STRICT_INITIAL_BEFORE_R2|R=LINE_EDGE_AFTER_R2	cheey ⟦lain⟧ al cheey	interne Skalarstufe II; Dimension offen	[cheey:?]; ⟦interne Skalarstufe II; Dimension offen⟧; [al:?]; [cheey:?]	Mikrofeld: Kanal offen; keine starken historischen Feldanker	interne Skalarstufe II; Dimension offen ⟦Mikrofeld: Kanal offen; keine starken historischen Feldanker⟧	NONE	adds no channel; preserves the open countercase	FIELD_ROLE_ONLY__NO_LITERAL_CONTENT_IDENTITY_OR_PLAINTEXT	OPEN_CONTROL	0	No strong historical channel anchor survives; the renderer correctly adds nothing.
