event_serial	event_id	record_unit_id	page	locus	field_id	statement_id	joint_tuple_id	surface_display	semantic_segmentation	stable_concrete_nucleus_de	concrete_word_reading_de	contextual_event_reading_de	statement_continuation	previous_semantic_segmentation	previous_stable_concrete_nucleus_de	previous_concrete_word_reading_de	previous_contextual_event_reading_de	paradigm_revision	revision_strength	component_completion_previous_segmentation	component_completion_previous_nucleus_de	component_completion_previous_gloss_de	component_completion_previous_context_de	component_completion_source	component_completion_strength
11	E011	H1	f10r	f10r.5	F002	H1-S002	9ad66e67803a12e745de	qokchy	OK+CHY[wrapped Y_REFERENT]	OK=in Arbeit setzen; CHY=umhüllter Verweis auf den laufenden Posten	den laufenden Posten anwenden oder in Arbeit nehmen	Den laufenden Posten anwenden oder in Arbeit nehmen	LOCAL_SEQUENCE	okchy=frischer Auszug	frischer Auszug	frischer Auszug	Nimm erneut von dem frischen ersten Auszug	OK_PARADIGM	CLOSED_RENDERER_PAIR	OK+CHY[Y]	OK=in den laufenden Arbeitsgang setzen; aktueller Ansatz	aktuellen Ansatz in Arbeit nehmen oder anwenden	Aktuellen Ansatz in Arbeit nehmen oder anwenden	Y_CHY	SELECTED_PRODUCTIVE
12	E012	H1	f10r	f10r.5	F002	H1-S002	e8a6105b5c3a6220b440	qotchol	qotchol=gelind erwärmen	gelind erwärmen	gelind erwärmen	Erwärme ihn gelinde	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
13	E013	H1	f10r	f10r.5	F002	H1-S002	dcda95c81a5460feb191	chol	ol=weiter	weiter	mit Vorigem weiter	und mit dem vorigen Ansatz weiter	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
14	E014	H1	f10r	f10r.5	F002	H1-S002	e0b630cb1b5df5e7105b	cthy	cthy=bereit	bereit	bereit	Sobald er zum Gebrauch bereit ist, gebrauche ihn	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
15	E015	H2	f10r	f10r.6	F003	H2-S001	7249edc4df3419c26999	ycheor	ycheor=Pflanzenspitzen	Pflanzenspitzen	Pflanzenspitzen	Nimm die jungen Spitzen mit Blütenständen und Blättern derselben unbenannten Pflanze	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
16	E016	H2	f10r	f10r.6	F003	H2-S001	e0b630cb1b5df5e7105b	cthy	cthy=bereit	bereit	bereit	Sammle sie, wenn sie sich eben öffnen	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
17	E017	H2	f10r	f10r.6	F003	H2-S001	7a4bb8136330ee4e6e56	chor	or=Zubereitung	Zubereitung	Zubereitung	Führe sie als frischen Ansatz	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
18	E018	H2	f10r	f10r.6	F003	H2-S001	f3c23f42baf625639e1e	cthaiin	cthaiin=Kraut zerstoßen	Kraut zerstoßen	Kraut zerstoßen	Zerstoße das Kraut	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
19	E019	H2	f10r	f10r.6	F003	H2-S001	af816c04e65874a0f2fa	qoctholy	qoctholy=durch Tuch	durch Tuch	durch Tuch	Presse den Saft durch ein Tuch	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
20	E020	H2	f10r	f10r.6	F003	H2-S001	b921a237be883a820352	dy	Y_REFERENT_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	der laufende Posten; dies oder es	Der laufende Posten; dies oder es	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED	y=Ansatz	Ansatz	Ansatz	Fange die erste Fraktion auf	Y_CHY	SELECTED_PRODUCTIVE
21	E021	H2	f10r	f10r.6	F003	H2-S001	b921a237be883a820352	chy	Y_REFERENT_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	der laufende Posten; dies oder es	Der laufende Posten; dies oder es	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED	y=Ansatz	Ansatz	Ansatz	Gib Olivenöl hinzu	Y_CHY	SELECTED_PRODUCTIVE
22	E022	H2	f10r	f10r.6	F003	H2-S001	2f1c5e56e8f0ff459065	taiin	aiin=Maß	Maß	Maß	Nimm das örtlich vorgeschriebene Maß	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
23	E023	H2	f10r	f10r.6	F003	H2-S001	b921a237be883a820352	shy	Y_REFERENT_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	der laufende Posten; dies oder es	Der laufende Posten; dies oder es	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED	y=Ansatz	Ansatz	Ansatz	Erwärme gelinde	Y_CHY	SELECTED_PRODUCTIVE
24	E024	H2	f10r	f10r.8	F004	H2-S002	10488b911aae52b3b334	qotchor	otchor=zweite Auswahl	zweite Auswahl	zweite Auswahl	Nimm vor voller Blüte eine zweite Portion der Spitzen	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
25	E025	H2	f10r	f10r.8	F004	H2-S002	7a4bb8136330ee4e6e56	chor	or=Zubereitung	Zubereitung	Zubereitung	Führe den ersten Ansatz weiter	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
26	E026	H2	f10r	f10r.8	F004	H2-S002	497cbd9c7401810ff56b	otol	otol=Handvoll	Handvoll	Handvoll	Nimm eine Handvoll	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
27	E027	H2	f10r	f10r.8	F004	H2-S002	dcda95c81a5460feb191	chol	ol=weiter	weiter	mit Vorigem weiter	und mit dem vorigen Ansatz weiter	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
28	E028	H2	f10r	f10r.8	F004	H2-S002	dec401773c1f0347793d	cholor	ol=weiter + or=Zubereitung	weiter + Zubereitung	vorige Zubereitung	Nimm den vorherigen Posten hinzu	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
29	E029	H2	f10r	f10r.8	F004	H2-S002	dcda95c81a5460feb191	chol	ol=weiter	weiter	mit Vorigem weiter	und mit dem vorigen Ansatz weiter	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
30	E030	H2	f10r	f10r.8	F004	H2-S002	2f1c5e56e8f0ff459065	daiin	aiin=Maß	Maß	Maß	Gib von beiden das gleiche örtliche Maß	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
31	E031	H2	f10r	f10r.8	F004	H2-S002	4d4559019a961b834aa1	dar	ar=aus	aus	aus demselben Ansatz	Vereinige die beiden Fraktionen	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
32	E032	H2	f10r	f10r.9	F005	H2-S003	27d97af8c96eb056c2e6	oykchor	oykchor=glasiertes Gefäß	glasiertes Gefäß	glasiertes Gefäß	Gib sie in ein glasiertes Gefäß	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
33	E033	H2	f10r	f10r.9	F005	H2-S003	7a4bb8136330ee4e6e56	shor	or=Zubereitung	Zubereitung	Zubereitung	Führe die Mischung als Salbenansatz	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
34	E034	H2	f10r	f10r.9	F005	H2-S003	7a4bb8136330ee4e6e56	chor	or=Zubereitung	Zubereitung	Zubereitung	Der wiederholte Ansatzvermerk bestätigt hier denselben Salbenposten	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
35	E035	H2	f10r	f10r.9	F005	H2-S003	b921a237be883a820352	chy	Y_REFERENT_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	der laufende Posten; dies oder es	Der laufende Posten; dies oder es	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED	y=Ansatz	Ansatz	Ansatz	Rühre bei kleinem Feuer	Y_CHY	SELECTED_PRODUCTIVE
36	E036	H2	f10r	f10r.9	F005	H2-S003	409de02322e7b2ca0c62	kaiiin	kaiiin=weiche Salbe	weiche Salbe	weiche Salbe	Bis eine weiche Salbe entsteht	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
37	E037	H2	f10r	f10r.9	F005	H2-S003	b921a237be883a820352	dy	Y_REFERENT_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	der laufende Posten; dies oder es	Der laufende Posten; dies oder es	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED	y=Ansatz	Ansatz	Ansatz	Bewahre sie bedeckt	Y_CHY	SELECTED_PRODUCTIVE
38	E038	H2	f10r	f10r.9	F005	H2-S003	834825c61d048a6b5628	chodaiin	chodaiin=Geschwür	Geschwür	Geschwür	Lege sie äußerlich auf ein Geschwür oder eine harte Schwellung	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
39	E039	H3	f11r	f11r.1	F006	H3-S001	953ad19b79517fc8a211	tshol	tshol=Blütenkraut	Blütenkraut	Blütenkraut	Nimm im ersten Frühjahr Blüten und junge Blätter der unbenannten Pflanze	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
40	E040	H3	f11r	f11r.1	F006	H3-S001	428a5e3662aa57b4b256	schoal	schoal=in Wein kochen	in Wein kochen	in Wein kochen	Koche sie in reinem Wein	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
41	E041	H3	f11r	f11r.1	F006	H3-S001	bdad9f9ea8b80f141496	cfhy	cfhy=durch Tuch wringen	durch Tuch wringen	durch Tuch wringen	Wring den Ansatz durch ein feines Tuch	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
42	E042	H3	f11r	f11r.1	F006	H3-S001	a8af08e69edab8e54f15	shfydaiin	shfydaiin=stehen lassen	stehen lassen	stehen lassen	Lass den Auszug stehen	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
43	E043	H3	f11r	f11r.1	F006	H3-S001	deb377381ceaf55ea310	cphy	cphy=nochmals seihen	nochmals seihen	nochmals seihen	Seihe ihn nochmals durch ein Tuch	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
44	E044	H3	f11r	f11r.1	F006	H3-S001	b5df9126607030b95175	shey	sh-/ch-=klar + ey=Wasser	klar + Wasser	klare Flüssigkeit	Warte, bis der örtlich verlangte klare Zustand erreicht ist	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
45	E045	H3	f11r	f11r.1	F006	H3-S001	2e2027b1951d79911e24	tchody	tcho=abkühlen + dy=Ende	abkühlen + Ende	abkühlen; Ende	Lass ihn abkühlen; damit endet der erste Posten	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
46	E046	H3	f11r	f11r.1	F007	H3-S002	577c03a928d674d420d7	shoyty	shoyty=Blütenanteil zurückhalten	Blütenanteil zurückhalten	Blütenanteil zurückhalten	Behalte einen Teil der frischen Blüten für eine zweite Arznei zurück	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
47	E047	H3	f11r	f11r.4	F008	H3-S003	d665560c8ff80799a82c	dchol	chol=vorigen Ansatz abnehmen	vorigen Ansatz abnehmen	vorigen Ansatz abnehmen	Nimm den ersten Auszug wieder auf	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
48	E048	H3	f11r	f11r.4	F008	H3-S003	b921a237be883a820352	chy	Y_REFERENT_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	der laufende Posten; dies oder es	Der laufende Posten; dies oder es	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED	y=Ansatz	Ansatz	Ansatz	Nimm davon einen Anteil	Y_CHY	SELECTED_PRODUCTIVE
49	E049	H3	f11r	f11r.4	F008	H3-S003	b2812c8283c3a62438bd	kchy	kchy=als Trank geben	als Trank geben	als Trank geben	Gib ihn als Trank	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
50	E050	H3	f11r	f11r.4	F008	H3-S003	b921a237be883a820352	dy	Y_REFERENT_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	der laufende Posten; dies oder es	Der laufende Posten; dies oder es	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED	y=Ansatz	Ansatz	Ansatz	Gebrauche ihn bei bedrücktem Gemüt und beschwerter Brust	Y_CHY	SELECTED_PRODUCTIVE
51	E051	H3	f11r	f11r.4	F008	H3-S003	2f1c5e56e8f0ff459065	daiin	aiin=Maß	Maß	Maß	Gib ein kleines örtliches Maß	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
52	E052	H3	f11r	f11r.7	F009	H3-S004	a48efd6c4491a046ba78	qotchy	qotchy=zurückbehaltene Blüten	zurückbehaltene Blüten	zurückbehaltene Blüten	Nimm die zurückbehaltenen Blüten	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
53	E053	H3	f11r	f11r.7	F009	H3-S004	322281bd391aa621f568	okchol	OK+CHOL[OL]	OK=in den laufenden Arbeitsgang setzen; mit Vorigem fortsetzen	mit dem vorigen Arbeitsgut weiterarbeiten	Mit dem vorigen Arbeitsgut weiterarbeiten	LOCAL_SEQUENCE	okchol=Olivenöl	Olivenöl	Olivenöl	Erwärme sie in Olivenöl	OK_PARADIGM	TRANSPARENT_RENDERER_PAIR					UNCHANGED	UNCHANGED
54	E054	H3	f11r	f11r.7	F009	H3-S004	e0b630cb1b5df5e7105b	cthy	cthy=bereit	bereit	bereit	Warte, bis der örtliche Bereitschaftszustand erreicht ist	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
55	E055	H3	f11r	f11r.7	F009	H3-S004	b921a237be883a820352	dy	Y_REFERENT_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	der laufende Posten; dies oder es	Der laufende Posten; dies oder es	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED	y=Ansatz	Ansatz	Ansatz	Streiche das Öl äußerlich um die Lider, ohne das Auge zu berühren	Y_CHY	SELECTED_PRODUCTIVE
56	E056	H4	f55v	f55v.5	F010	H4-S001	b5fcea1eaed06b2f2291	qokaiin	OK+AIIN	OK=in den laufenden Arbeitsgang setzen; vorgeschriebenes Maß	nach Maß einsetzen; den Einsatz bemessen	Nach Maß einsetzen; den Einsatz bemessen	LOCAL_SEQUENCE	ok=geben + aiin=Maß	geben + Maß	nach Maß geben	nach dem örtlichen Maß beziehungsweise als vorgeschriebene Dosis	OK_PARADIGM	CLOSED_STRONG					UNCHANGED	UNCHANGED
57	E057	H4	f55v	f55v.5	F010	H4-S001	2f1c5e56e8f0ff459065	chaiin	aiin=Maß	Maß	Maß	das örtlich vorgeschriebene Maß	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
58	E058	H4	f55v	f55v.5	F010	H4-S001	403c1592f918c8f23b88	ykain	ykain=Blätter zerstoßen	Blätter zerstoßen	Blätter zerstoßen	Zerstoße breite Blätter der unbenannten Pflanze	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
59	E059	H4	f55v	f55v.5	F010	H4-S001	d929a14ec45749b2e805	ykan	ykan=Weißwein zugeben	Weißwein zugeben	Weißwein zugeben	Gib Weißwein hinzu	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
60	E060	H4	f55v	f55v.5	F010	H4-S001	97cc9ac109148723c472	ody	o=kühl lagern + dy=Ende	kühl lagern + Ende	kühl lagern; Ende	Verschließe das Gefäß und lass es kühl stehen; damit endet der Posten	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
61	E061	H4	f55v	f55v.5	F011	H4-S002	2f1c5e56e8f0ff459065	daiin	aiin=Maß	Maß	Maß	Miss eine Portion des Ansatzes ab	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
62	E062	H4	f55v	f55v.5	F011	H4-S002	6f7ff8287eddf4da9fdb	chedy	CHD~CHED+Y_REFERENT	CHD~CHED=umsetzen; Y=laufender Posten	den laufenden Posten umsetzen oder durcharbeiten	Den laufenden Posten umsetzen oder durcharbeiten	LOCAL_SEQUENCE	ch(e)d=rühren	rühren	rühren	Wring sie durch Leinwand und lass sie klar absetzen	CHED_PARADIGM	HIGH_STRUCTURE__MEDIUM_MEANING	CHD+Y / CHED+Y	CHD~CHED=umsetzen/in einen Arbeitsgang führen; NONE; Y=laufender Ansatz	Ansatz umsetzen oder durcharbeiten	Ansatz umsetzen oder durcharbeiten	Y_CHY	SELECTED_PRODUCTIVE
63	E063	H4	f55v	f55v.5	F011	H4-S002	e026af581c99322fbd46	talam	talam=klaren Auszug verwahren	klaren Auszug verwahren	klaren Auszug verwahren	Verwahre den klaren Auszug; damit endet der Posten	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
64	E064	H4	f55v	f55v.11	F012	H4-S003	f7dc90b2c31fd341f0a4	ykaiin	ykaiin=Wunde waschen	Wunde waschen	Wunde waschen	Wasche damit eine unreine äußere Wunde	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
65	E065	H4	f55v	f55v.11	F012	H4-S003	807591efc3d3f7ddbfab	cheoar	ar=aus	aus	klarer Auszug	Verwende dazu den klaren Auszug	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
66	E066	H4	f55v	f55v.11	F012	H4-S003	2c1a5fd92b9e3c762242	cheeky	CHK_WARMTH_PAIR+E_GRADE_2	gelernte Wärmefamilie; längerer Grad	länger warm halten	Länger warm halten	LOCAL_SEQUENCE	cheeky=vorgeschriebene Zeit	vorgeschriebene Zeit	vorgeschriebene Zeit	Einmal oder nach örtlicher Vorschrift	E_GRADE_PARADIGM	TRANSFER_PROVISIONAL	CH+EE+KY	E-Grad=SUSTAINED_SPECIFIED_HOLD; Zustand=OPEN_STATE	längere oder festgelegte Zustands- beziehungsweise Haltestufe	Längere oder festgelegte Zustands- beziehungsweise Haltestufe	HOLD_CORES	SELECTED_PRODUCTIVE_PAIR
67	E067	H4	f55v	f55v.11	F012	H4-S003	1b1ffdd869fb1429ad03	oldy	ol=weiter + dy=Ende	weiter + Ende	weiterführen; Ende	Beende diesen Gebrauch	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
68	E068	H4	f55v	f55v.11	F013	H4-S004	2f1c5e56e8f0ff459065	aiin	aiin=Maß	Maß	Maß	Nimm ein örtliches Maß der zurückbehaltenen Blätter	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
69	E069	H4	f55v	f55v.11	F013	H4-S004	308e8ea2d5d190c498e8	okal	OK+AL	OK=in den laufenden Arbeitsgang setzen; Zielstelle	an der Zielstelle anwenden; dorthin führen	An der Zielstelle anwenden; dorthin führen	LOCAL_SEQUENCE	ok=geben + al=Stelle	geben + Stelle	an Stelle geben	Lege sie an die bezeichnete äußere Stelle	OK_PARADIGM	CLOSED_STRONG					UNCHANGED	UNCHANGED
70	E070	H4	f55v	f55v.11	F013	H4-S004	204b04837409088c48f9	oltchy	oltchy=gelind erwärmen	gelind erwärmen	gelind erwärmen	Erwärme sie gelinde	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
71	E071	H4	f55v	f55v.11	F013	H4-S004	7a4bb8136330ee4e6e56	or	or=Zubereitung	Zubereitung	Zubereitung	Führe sie als zweiten Ansatz	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
72	E072	H4	f55v	f55v.11	F013	H4-S004	b921a237be883a820352	y	Y_REFERENT_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	der laufende Posten; dies oder es	Der laufende Posten; dies oder es	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED	y=Ansatz	Ansatz	Ansatz	Mische sie mit Honig	Y_CHY	SELECTED_PRODUCTIVE
73	E073	H4	f55v	f55v.11	F013	H4-S004	6afeb5c9ab9f6cbdea0d	orain	orain=warm auflegen	warm auflegen	warm auflegen	Lege den warmen Umschlag frisch auf	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
74	E074	H5	f56r	f56r.5	F014	H5-S001	b9d7b6d68209a9019e7a	chochor	ho=Pflanze + or=Zubereitung	Pflanze + Zubereitung	Pflanzenteil	Von der abgebildeten, unbenannten Pflanze	CONTINUES_ACROSS_LINE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
75	E075	H5	f56r	f56r.5	F014	H5-S001	2cc054357a929df85f64	cho	ho=Pflanze	Pflanze	Pflanze	Sammle das ganze oberirdische Kraut an einem feuchten Standort	CONTINUES_ACROSS_LINE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
76	E076	H5	f56r	f56r.5	F014	H5-S001	0ec6a45e2950e8e7061d	chodaly	chodaly=Blütebeginn	Blütebeginn	Blütebeginn	Nimm es zu Beginn der Blüte	CONTINUES_ACROSS_LINE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
77	E077	H5	f56r	f56r.5	F014	H5-S001	2f1c5e56e8f0ff459065	daiin	aiin=Maß	Maß	Maß	Nimm nur ein kleines örtliches Maß	CONTINUES_ACROSS_LINE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
78	E078	H5	f56r	f56r.7	F015	H5-S001	2cc054357a929df85f64	sho	ho=Pflanze	Pflanze	Pflanze	Zerstoße die frischen klebrigen Blätter	CONTINUES_ACROSS_LINE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
79	E079	H5	f56r	f56r.7	F015	H5-S001	893c570f3fa3fce99711	kchol	kchol=auflegen	auflegen	auflegen	Lege sie als Auflage auf	CONTINUES_ACROSS_LINE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
80	E080	H5	f56r	f56r.7	F015	H5-S001	10488b911aae52b3b334	otchor	otchor=zweite Auswahl	zweite Auswahl	zweite Auswahl	Auf eine einzelne Warze oder ein Hühnerauge	CONTINUES_ACROSS_LINE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
81	E081	H5	f56r	f56r.7	F015	H5-S001	276a7c2d74d1143446f4	choky	OK+Y_REFERENT	OK=in Arbeit setzen; Y=laufender Posten	den laufenden Posten anwenden oder in Arbeit nehmen	Den laufenden Posten anwenden oder in Arbeit nehmen	CONTINUES_ACROSS_LINE	ok=geben + y=Ansatz	geben + Ansatz	Ansatz geben	Lass die Auflage nur kurz einwirken	E_GRADE_PARADIGM	SELECTED_PRODUCTIVE	OK+Y	E-Grad=UNMARKED; Zustand=OPEN_ACTIVE	aktiven Ansatz einsetzen oder anwenden	Aktiven Ansatz einsetzen oder anwenden	Y_CHY	SELECTED_PRODUCTIVE
82	E082	H5	f56r	f56r.7	F015	H5-S001	dd0ecaf5e27d81befffc	dal	al=Stelle	Stelle	an der Stelle	An der örtlich bezeichneten Hautstelle	CONTINUES_ACROSS_LINE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
83	E083	H5	f56r	f56r.8	F016	H5-S002	d665560c8ff80799a82c	schol	chol=vorigen Ansatz abnehmen	vorigen Ansatz abnehmen	vorigen Ansatz abnehmen	Nimm die Auflage wieder ab	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED
