action_ordinal	statement_id	host_ordinal_in_statement	physical_page	primary_governor_key	action_slot_id	anchor_event_id	action_root	gdt584_rule_id	written_carrier_count	written_carrier_roots	typing_card_id	reference_scope_card_id	selection_route	source_pointer	source_distance_hosts	skipped_incompatible_source_count	selection_blocker	source_layer	reference_mode	object_class	object_lemma_de	grammatical_gender	determiner_de	rendered_object_np_de	participant_count	participant_lemma_sequence_de	upstream_clause_de	gdt597_completed_clause_de	default_is_replaceable	guard
11	G407-S090	7	f75r	ACTION:G407-E1486@1:S	RUNNING:G407-E1486@1	G407-E1486	S	S_REST_SELECT	2	OR+Y	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	WRITTEN_GDT589_PACKET	ACTION:G407-E1486@1:S	0	0	NONE	GDT589_WRITTEN_TARGET	DEFINITE	STATION	Stationsansatz	MASCULINE	den	den Stationsansatz	2	Stationseinheit|Stationsansatz	Wähle die Stationseinheit und den Stationsansatz aus	Wähle die Stationseinheit und den Stationsansatz aus	YES	WRITTEN_FIRST__OT_DY_CUT__COMPATIBLE_TYPED_REFERENCE__ACTION_DEFAULT__NO_NEW_PAGE_ROOT_OR_SEGMENT
12	G407-S093	2	f75r	ACTION:G407-E1494@2:CHD	RUNNING:G407-E1494@2	G407-E1494	CHD	CHD_BIO_TREAT	0	NONE	T05_WORKPIECE_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	ACTION_RULE_TYPED_DEFAULT	NONE	0	0	NONE	ACTION_RULE_DEFAULT	DEFINITE	STATION	Stationsansatz	MASCULINE	den	den Stationsansatz	1	Stationsansatz	Behandle den Ansatz	Behandle den Stationsansatz	YES	WRITTEN_FIRST__OT_DY_CUT__COMPATIBLE_TYPED_REFERENCE__ACTION_DEFAULT__NO_NEW_PAGE_ROOT_OR_SEGMENT
13	G407-S094	3	f75r	ACTION:G407-E1495@3:T	RUNNING:G407-E1495@3	G407-E1495	T	T_BIO_STATION_REGULATE	1	Y	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	WRITTEN_GDT589_PACKET	ACTION:G407-E1495@3:T	0	0	NONE	GDT589_WRITTEN_TARGET	DEFINITE	STATION	Stationsansatz	MASCULINE	den	den Stationsansatz	1	Stationsansatz	Reguliere den Stationsansatz in Anwendungsform und über den Stationskontakt oder die Leitung	Reguliere den Stationsansatz in Anwendungsform und über den Stationskontakt oder die Leitung	YES	WRITTEN_FIRST__OT_DY_CUT__COMPATIBLE_TYPED_REFERENCE__ACTION_DEFAULT__NO_NEW_PAGE_ROOT_OR_SEGMENT
14	G407-S095	7	f75r	ACTION:G407-E1501@2:CHD	RUNNING:G407-E1501@2	G407-E1501	CHD	CHD_BIO_TREAT	0	NONE	T03_BOUND_COMPATIBLE_REFERENCE	Q01_LEFT_COMPATIBLE_ANAPHORIC	LEFT_COMPATIBLE_TYPED_SOURCE	ACTION:G407-E1499@4:K	3	0	NONE	GDT582_WRITTEN_OTHER_ACTION	ANAPHORIC	STATION	Stationsansatz	MASCULINE	denselben	denselben Stationsansatz	1	Stationsansatz	Behandle den Ansatz	Behandle denselben Stationsansatz	YES	WRITTEN_FIRST__OT_DY_CUT__COMPATIBLE_TYPED_REFERENCE__ACTION_DEFAULT__NO_NEW_PAGE_ROOT_OR_SEGMENT
15	G407-S096	1	f75r	ACTION:G407-E1502@1:S	RUNNING:G407-E1502@1	G407-E1502	S	S_BIO_DIVERT	0	NONE	T02_ACTION_INTERNAL_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	ACTION_INTERNAL_FLOW_DEFAULT	NONE	0	0	NONE	ACTION_INTERNAL_DEFAULT	DEFINITE	FLOW	Strom	MASCULINE	den	den Strom	1	Strom	Leite den Strom zur Zielstation oder ins Zielbecken um	Leite den Strom zur Zielstation oder ins Zielbecken um	YES	WRITTEN_FIRST__OT_DY_CUT__COMPATIBLE_TYPED_REFERENCE__ACTION_DEFAULT__NO_NEW_PAGE_ROOT_OR_SEGMENT
16	G407-S096	4	f75r	ACTION:G407-E1505@1:CHD	RUNNING:G407-E1505@1	G407-E1505	CHD	CHD_BIO_TREAT	1	Y	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	WRITTEN_GDT589_PACKET	ACTION:G407-E1505@1:CHD	0	0	NONE	GDT589_WRITTEN_TARGET	DEFINITE	STATION	Stationsansatz	MASCULINE	den	den Stationsansatz	1	Stationsansatz	Behandle den Stationsansatz	Behandle den Stationsansatz	YES	WRITTEN_FIRST__OT_DY_CUT__COMPATIBLE_TYPED_REFERENCE__ACTION_DEFAULT__NO_NEW_PAGE_ROOT_OR_SEGMENT
17	G407-S096	11	f75r	ACTION:G407-E1511@1:T	RUNNING:G407-E1511@1	G407-E1511	T	T_PHYSICAL_GRADE_TEMPER	0	NONE	T05_WORKPIECE_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	ACTION_RULE_TYPED_DEFAULT	NONE	0	0	NONE	ACTION_RULE_DEFAULT	DEFINITE	STATION	Stationsansatz	MASCULINE	den	den Stationsansatz	1	Stationsansatz	Temperiere auf Grad I	Temperiere den Stationsansatz auf Grad I	YES	WRITTEN_FIRST__OT_DY_CUT__COMPATIBLE_TYPED_REFERENCE__ACTION_DEFAULT__NO_NEW_PAGE_ROOT_OR_SEGMENT
18	G407-S097	1	f75r	ACTION:G407-E1512@2:CHD	RUNNING:G407-E1512@2	G407-E1512	CHD	CHD_BIO_TREAT	0	NONE	T05_WORKPIECE_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	ACTION_RULE_TYPED_DEFAULT	NONE	0	0	NONE	ACTION_RULE_DEFAULT	DEFINITE	STATION	Stationsansatz	MASCULINE	den	den Stationsansatz	1	Stationsansatz	Behandle den Ansatz über den Stationskontakt oder die Leitung	Behandle den Stationsansatz über den Stationskontakt oder die Leitung	YES	WRITTEN_FIRST__OT_DY_CUT__COMPATIBLE_TYPED_REFERENCE__ACTION_DEFAULT__NO_NEW_PAGE_ROOT_OR_SEGMENT
19	G407-S101	3	f75r	ACTION:G407-E1523@1:S	RUNNING:G407-E1523@1	G407-E1523	S	S_REST_SELECT	0	NONE	T03_BOUND_COMPATIBLE_REFERENCE	Q01_LEFT_COMPATIBLE_ANAPHORIC	LEFT_COMPATIBLE_TYPED_SOURCE	ACTION:G407-E1522@1:CH	2	0	NONE	GDT582_WRITTEN_OTHER_ACTION	ANAPHORIC	UNIT	Becken- oder Körpereinheit	FEMININE	dieselbe	dieselbe Becken- oder Körpereinheit	1	Becken- oder Körpereinheit	Wähle die Einheit aus	Wähle dieselbe Becken- oder Körpereinheit aus	YES	WRITTEN_FIRST__OT_DY_CUT__COMPATIBLE_TYPED_REFERENCE__ACTION_DEFAULT__NO_NEW_PAGE_ROOT_OR_SEGMENT
20	G407-S102	3	f75r	ACTION:G407-E1534@2:CHD	RUNNING:G407-E1534@2	G407-E1534	CHD	CHD_BIO_TREAT	0	NONE	T03_BOUND_COMPATIBLE_REFERENCE	Q01_LEFT_COMPATIBLE_ANAPHORIC	LEFT_COMPATIBLE_TYPED_SOURCE	ACTION:G407-E1533@1:OK	2	0	NONE	GDT582_WRITTEN_OTHER_ACTION	ANAPHORIC	STATION	Stationsansatz	MASCULINE	denselben	denselben Stationsansatz	1	Stationsansatz	Behandle den Ansatz	Behandle denselben Stationsansatz	YES	WRITTEN_FIRST__OT_DY_CUT__COMPATIBLE_TYPED_REFERENCE__ACTION_DEFAULT__NO_NEW_PAGE_ROOT_OR_SEGMENT
21	G407-S109	1	f75r	ACTION:G407-E1542@1:S	RUNNING:G407-E1542@1	G407-E1542	S	S_BIO_DIVERT	1	AIN	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	WRITTEN_GDT589_PACKET	ACTION:G407-E1542@1:S	0	0	NONE	GDT589_WRITTEN_TARGET	DEFINITE	FLOW	Teilmenge	FEMININE	die	die Teilmenge	1	Teilmenge	Leite die Teilmenge zur Zielstation oder ins Zielbecken um	Leite die Teilmenge zur Zielstation oder ins Zielbecken um	YES	WRITTEN_FIRST__OT_DY_CUT__COMPATIBLE_TYPED_REFERENCE__ACTION_DEFAULT__NO_NEW_PAGE_ROOT_OR_SEGMENT
22	G407-S110	6	f75r	ACTION:G407-E1553@1:S	RUNNING:G407-E1553@1	G407-E1553	S	S_REST_SELECT	1	AIN	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	WRITTEN_GDT589_PACKET	ACTION:G407-E1553@1:S	0	0	NONE	GDT589_WRITTEN_TARGET	DEFINITE	PORTION	Anwendungsportion	FEMININE	die	die Anwendungsportion	1	Anwendungsportion	Wähle die Anwendungsportion aus	Wähle die Anwendungsportion aus	YES	WRITTEN_FIRST__OT_DY_CUT__COMPATIBLE_TYPED_REFERENCE__ACTION_DEFAULT__NO_NEW_PAGE_ROOT_OR_SEGMENT
23	G407-S110	12	f75r	ACTION:G407-E1556@1:S	RUNNING:G407-E1556@1	G407-E1556	S	S_REST_SELECT	1	AIIN	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	WRITTEN_GDT589_PACKET	ACTION:G407-E1556@1:S	0	0	NONE	GDT589_WRITTEN_TARGET	DEFINITE	MEASURE	Stationsmaß	NEUTER	das	das Stationsmaß	1	Stationsmaß	Wähle das Stationsmaß aus	Wähle das Stationsmaß aus	YES	WRITTEN_FIRST__OT_DY_CUT__COMPATIBLE_TYPED_REFERENCE__ACTION_DEFAULT__NO_NEW_PAGE_ROOT_OR_SEGMENT
24	G407-S110	13	f75r	ACTION:G407-E1557@1:CHD	RUNNING:G407-E1557@1	G407-E1557	CHD	CHD_BIO_TREAT	2	Y+OR	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	WRITTEN_GDT589_PACKET	ACTION:G407-E1557@1:CHD	0	0	NONE	GDT589_WRITTEN_TARGET	DEFINITE	STATION	Stationsansatz	MASCULINE	den	den Stationsansatz	2	Stationsansatz|Stationseinheit	Behandle den Stationsansatz und die Stationseinheit	Behandle den Stationsansatz und die Stationseinheit	YES	WRITTEN_FIRST__OT_DY_CUT__COMPATIBLE_TYPED_REFERENCE__ACTION_DEFAULT__NO_NEW_PAGE_ROOT_OR_SEGMENT
25	G407-S111	2	f75r	ACTION:G407-E1561@2:CHD	RUNNING:G407-E1561@2	G407-E1561	CHD	CHD_BIO_TREAT	0	NONE	T05_WORKPIECE_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	ACTION_RULE_TYPED_DEFAULT	NONE	0	0	NONE	ACTION_RULE_DEFAULT	DEFINITE	STATION	Stationsansatz	MASCULINE	den	den Stationsansatz	1	Stationsansatz	Behandle den Ansatz	Behandle den Stationsansatz	YES	WRITTEN_FIRST__OT_DY_CUT__COMPATIBLE_TYPED_REFERENCE__ACTION_DEFAULT__NO_NEW_PAGE_ROOT_OR_SEGMENT
26	G407-S115	2	f75r	ACTION:G407-E1571@1:CHD	RUNNING:G407-E1571@1	G407-E1571	CHD	CHD_BIO_TREAT	1	Y	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	WRITTEN_GDT589_PACKET	ACTION:G407-E1571@1:CHD	0	0	NONE	GDT589_WRITTEN_TARGET	DEFINITE	STATION	Stationsansatz	MASCULINE	den	den Stationsansatz	1	Stationsansatz	Behandle den Stationsansatz	Behandle den Stationsansatz	YES	WRITTEN_FIRST__OT_DY_CUT__COMPATIBLE_TYPED_REFERENCE__ACTION_DEFAULT__NO_NEW_PAGE_ROOT_OR_SEGMENT
27	G407-S115	4	f75r	ACTION:G407-E1572@2:CHD	RUNNING:G407-E1572@2	G407-E1572	CHD	CHD_BIO_TREAT	0	NONE	T03_BOUND_COMPATIBLE_REFERENCE	Q01_LEFT_COMPATIBLE_ANAPHORIC	LEFT_COMPATIBLE_TYPED_SOURCE	ACTION:G407-E1571@1:CHD	2	0	NONE	GDT589_WRITTEN_TARGET	ANAPHORIC	STATION	Stationsansatz	MASCULINE	denselben	denselben Stationsansatz	1	Stationsansatz	Behandle den Ansatz von der Ausgangsstation oder aus dem Ausgangsbecken	Behandle denselben Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken	YES	WRITTEN_FIRST__OT_DY_CUT__COMPATIBLE_TYPED_REFERENCE__ACTION_DEFAULT__NO_NEW_PAGE_ROOT_OR_SEGMENT
28	G407-S118	4	f75r	ACTION:G407-E1588@1:S	RUNNING:G407-E1588@1	G407-E1588	S	S_BIO_DIVERT	1	Y	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	WRITTEN_GDT589_PACKET	ACTION:G407-E1588@1:S	0	0	NONE	GDT589_WRITTEN_TARGET	DEFINITE	FLOW	Strom	MASCULINE	den	den Strom	1	Strom	Leite den Strom von der Ausgangsstation oder aus dem Ausgangsbecken um	Leite den Strom von der Ausgangsstation oder aus dem Ausgangsbecken um	YES	WRITTEN_FIRST__OT_DY_CUT__COMPATIBLE_TYPED_REFERENCE__ACTION_DEFAULT__NO_NEW_PAGE_ROOT_OR_SEGMENT
29	G407-S119	18	f75r	ACTION:G407-E1618@1:CHD	RUNNING:G407-E1618@1	G407-E1618	CHD	CHD_BIO_TREAT	2	Y+OR	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	WRITTEN_GDT589_PACKET	ACTION:G407-E1618@1:CHD	0	0	NONE	GDT589_WRITTEN_TARGET	DEFINITE	STATION	Stationsansatz	MASCULINE	den	den Stationsansatz	2	Stationsansatz|Stationseinheit	Behandle den Stationsansatz und die Stationseinheit	Behandle den Stationsansatz und die Stationseinheit	YES	WRITTEN_FIRST__OT_DY_CUT__COMPATIBLE_TYPED_REFERENCE__ACTION_DEFAULT__NO_NEW_PAGE_ROOT_OR_SEGMENT
30	G407-S119	21	f75r	ACTION:G407-E1622@1:CHD	RUNNING:G407-E1622@1	G407-E1622	CHD	CHD_BIO_TREAT	1	Y	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	WRITTEN_GDT589_PACKET	ACTION:G407-E1622@1:CHD	0	0	NONE	GDT589_WRITTEN_TARGET	DEFINITE	STATION	Stationsansatz	MASCULINE	den	den Stationsansatz	1	Stationsansatz	Behandle den Stationsansatz	Behandle den Stationsansatz	YES	WRITTEN_FIRST__OT_DY_CUT__COMPATIBLE_TYPED_REFERENCE__ACTION_DEFAULT__NO_NEW_PAGE_ROOT_OR_SEGMENT
31	G407-S119	22	f75r	ACTION:G407-E1623@1:S	RUNNING:G407-E1623@1	G407-E1623	S	S_BIO_DIVERT	0	NONE	T02_ACTION_INTERNAL_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	ACTION_INTERNAL_FLOW_DEFAULT	NONE	0	0	NONE	ACTION_INTERNAL_DEFAULT	DEFINITE	FLOW	Strom	MASCULINE	den	den Strom	1	Strom	Leite den Strom von der Ausgangsstation oder aus dem Ausgangsbecken um	Leite den Strom von der Ausgangsstation oder aus dem Ausgangsbecken um	YES	WRITTEN_FIRST__OT_DY_CUT__COMPATIBLE_TYPED_REFERENCE__ACTION_DEFAULT__NO_NEW_PAGE_ROOT_OR_SEGMENT
32	G407-S119	28	f75r	ACTION:G407-E1628@1:S	RUNNING:G407-E1628@1	G407-E1628	S	S_REST_SELECT	0	NONE	T03_BOUND_COMPATIBLE_REFERENCE	Q02_RIGHT_SAME_EVENT_DEFINITE	RIGHT_SAME_EVENT_COMPATIBLE_SOURCE	ACTION:G407-E1628@2:SH	1	0	LOCAL_RIGHT_DIFFERENT_OBJECT_OUTRANKS_OLDER_LEFT	GDT596_COMPLETED_SH	DEFINITE	BODY	Körper	MASCULINE	den	den Körper	1	Körper	Wähle die Einheit aus	Wähle den Körper aus	YES	WRITTEN_FIRST__OT_DY_CUT__COMPATIBLE_TYPED_REFERENCE__ACTION_DEFAULT__NO_NEW_PAGE_ROOT_OR_SEGMENT
33	G407-S119	31	f75r	ACTION:G407-E1630@1:CHD	RUNNING:G407-E1630@1	G407-E1630	CHD	CHD_BIO_TREAT	1	Y	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	WRITTEN_GDT589_PACKET	ACTION:G407-E1630@1:CHD	0	0	NONE	GDT589_WRITTEN_TARGET	DEFINITE	STATION	Stationsansatz	MASCULINE	den	den Stationsansatz	1	Stationsansatz	Behandle den Stationsansatz	Behandle den Stationsansatz	YES	WRITTEN_FIRST__OT_DY_CUT__COMPATIBLE_TYPED_REFERENCE__ACTION_DEFAULT__NO_NEW_PAGE_ROOT_OR_SEGMENT
34	G407-S119	39	f75r	ACTION:G407-E1634@1:S	RUNNING:G407-E1634@1	G407-E1634	S	S_REST_SELECT	1	AIN	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	WRITTEN_GDT589_PACKET	ACTION:G407-E1634@1:S	0	0	NONE	GDT589_WRITTEN_TARGET	DEFINITE	PORTION	Anwendungsportion	FEMININE	die	die Anwendungsportion	1	Anwendungsportion	Wähle die Anwendungsportion aus	Wähle die Anwendungsportion aus	YES	WRITTEN_FIRST__OT_DY_CUT__COMPATIBLE_TYPED_REFERENCE__ACTION_DEFAULT__NO_NEW_PAGE_ROOT_OR_SEGMENT
35	G407-S119	41	f75r	ACTION:G407-E1635@2:T	RUNNING:G407-E1635@2	G407-E1635	T	T_BIO_STATION_REGULATE	2	Y+OR	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	WRITTEN_GDT589_PACKET	ACTION:G407-E1635@2:T	0	0	NONE	GDT589_WRITTEN_TARGET	DEFINITE	STATION	Stationsansatz	MASCULINE	den	den Stationsansatz	2	Stationsansatz|Stationseinheit	Reguliere den Stationsansatz und die Stationseinheit über den Stationskontakt oder die Leitung	Reguliere den Stationsansatz und die Stationseinheit über den Stationskontakt oder die Leitung	YES	WRITTEN_FIRST__OT_DY_CUT__COMPATIBLE_TYPED_REFERENCE__ACTION_DEFAULT__NO_NEW_PAGE_ROOT_OR_SEGMENT
36	G407-S119	43	f75r	ACTION:G407-E1638@1:S	RUNNING:G407-E1638@1	G407-E1638	S	S_REST_SELECT	1	AIN	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	WRITTEN_GDT589_PACKET	ACTION:G407-E1638@1:S	0	0	NONE	GDT589_WRITTEN_TARGET	DEFINITE	PORTION	Anwendungsportion	FEMININE	die	die Anwendungsportion	1	Anwendungsportion	Wähle die Anwendungsportion aus	Wähle die Anwendungsportion aus	YES	WRITTEN_FIRST__OT_DY_CUT__COMPATIBLE_TYPED_REFERENCE__ACTION_DEFAULT__NO_NEW_PAGE_ROOT_OR_SEGMENT
37	G407-S121	1	f75r	ACTION:G407-E1644@2:CHD	RUNNING:G407-E1644@2	G407-E1644	CHD	CHD_BIO_TREAT	0	NONE	T05_WORKPIECE_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	ACTION_RULE_TYPED_DEFAULT	NONE	0	0	NONE	ACTION_RULE_DEFAULT	DEFINITE	STATION	Stationsansatz	MASCULINE	den	den Stationsansatz	1	Stationsansatz	Behandle den Ansatz über den Stationskontakt oder die Leitung	Behandle den Stationsansatz über den Stationskontakt oder die Leitung	YES	WRITTEN_FIRST__OT_DY_CUT__COMPATIBLE_TYPED_REFERENCE__ACTION_DEFAULT__NO_NEW_PAGE_ROOT_OR_SEGMENT
