bundle_case_id	action_case_id	expected_item_surfaces	decision	practical_reading_de	decisive_reason_de	portable_default
B011	A021	qotar|al|kal	STOP	Die drei genommenen Pulverteile werden rechts als kalter Drogenanteil I und Rohstoff I am heißen Gradanfang geführt.	Pulverzubereitung und drei Teile verschwinden; kalt zu heiß wird ohne Operation eingeführt.	NO
B012	A024	otedy|cheop|ol	HOLD	Zwei Dosen eines bis zur Mitte getrockneten Pulverstoffs aus dem kalten Mittelstufenansatz abmessen.	Mittelstufe und Trockengut oder Pulver sind kompatibel; Kälte sowie die ausgeschriebene Zweidosen-Messung bleiben ungebunden.	NO
B013	A027	s|checthy|qokeeey	STOP	Den Samenposten erhitzen und trocknen; rechts stehen trockenes Kraut und eine stark erhitzte Endstufe III.	Trocknen und Erhitzen spiegeln sich, aber Samen zu Kraut ist ein ungebundener Materialwechsel und Ansetzen fehlt.	NO
B014	A028	ar|cholches|okain	STOP	Den zweiten Drogenansatz als Anteil I mit nachgetrocknetem Mittelstufenmaterial nehmen; danach folgt heißer Ansatz II.	Anteil und Nachtrocknung sind plausibel, doch der heiße Ansatz II wird durch bloßes Nehmen neu erzeugt.	NO
B015	A029	dar|okol|dchey	STOP	Den abgemessenen Anteil I leicht erhitzen; rechts folgen heißer Ansatzstoff und fertige abgemessene Mittelstufen-Trockenportion.	Leichtes Erhitzen erklärt den heißen Stoff, nicht aber Abmessen, Trocknen, Abschluss und Mittelstufe des dritten Werts.	NO
B016	A032	kchod|dchal|ochdy	STOP	Die Portion trocknen; rechts stehen heißer abgezogener Auszug, angetrocknete Rohdrogedosis und fertige Trockenmasse.	Heißer abgezogener Auszug verlangt fremde Operationen; die fertige Trockenmasse schreibt keine Mittelstufe.	NO
B017	A036	keeod|shotchey|chol	STOP	Die Portion trocknen; rechts stehen vollständig erhitzter Auszug, kalt-mittelgetrocknetes Mazerat und der Zustand trocken.	Vollständig erhitzter Auszug zu Mazerat ist kein kohärenter Patient der Trocknung; bloßes trocken schließt die Mittelstufe nicht.	NO
B018	A043	dchey|keey|daiin	HOLD	Aus der warmen Trockenmischung eine fertige abgemessene Mittelstufen-Trockenportion im heißen Endzustand III bereiten.	Trockenprodukt und warmer oder heißer Zustand sind verwandt; Abmessen, Mittelstufe und Grad III erscheinen jedoch nur rechts.	NO
B019	A045	ltain|olkar|or	STOP	Kaltes Holz II vollständig einweichen, erhitzen und schließen; rechts folgen heißer Holzanteil I und Drogenportion.	Kaltes Holz kann Patient und heißer Holzanteil Zwischenstand sein, aber die Drogenportion bricht Material; Einweichen und Abschluss fehlen.	NO
B020	A047	dshedy|shedy|tchedy	STOP	Das fertige Trockenpulver nehmen; rechts folgen angefeuchtete Drogenportion, mittlere Feuchte und kalt-trockene Mittelstufe.	Fertig trocken steht unmittelbar gegen angefeuchtet und feucht; der kalt-trockene Mittelzustand heilt den frühen Widerspruch nicht.	NO
B021	A053	okedy|lshedy|chs	STOP	Bis zur Endstufe trocknen; rechts stehen heißer Mittelstufenansatz, vollständig eingeweichtes Holz I und Trockengut.	Endtrocknung trifft zuerst heißen Mittelansatz, dann vollständig eingeweichtes Holz; Material und Zustand wechseln hart.	NO
B022	A055	keo|r|shor	STOP	Eine Dosis vollständig trocknen und schließen; rechts stehen Ansatz auf mittlerer Heizstufe, Wurzel und Blüte.	Mittlere Heizstufe, Wurzel und Blüte schreiben weder vollständige Trocknung noch Abschluss einer Dosis.	NO
B023	A059	ol|olkar|okain	STOP	Den Grundansatz bis zur Mitte trocknen und auf Kühlstufe II bringen; rechts bleibt ein heißer Ansatz.	Kühlung II wird als heißer Holzanteil und heißer Ansatz II ins Gegenteil verkehrt; Trocknung fehlt.	NO
B024	A063	kain|okiin|ol	STOP	Drogenstoff in einen heißen Empfänger geben; rechts stehen erhitzte Zubereitung III und nachgestellter Grundansatz.	Heißer Zustand und erhitzte Zubereitung bilden einen möglichen Zielpfad, doch der Grundansatz erscheint erst nach dem fertigen Zustand.	NO
B025	A064	cheey|qoal|qokeedy	STOP	Den Holzdrogenanteil I abmessen; rechts stehen trockenes Gradende, Rohstoff I und heißes Gradende.	Holzanteil und Messung verschwinden; trockenes zu heißem Gradende wird ohne Erhitzen eingeführt.	NO
B026	A065	qokain|qodaiin|olkar	STOP	Abkühlen, bis zur Mitte trocknen und ansetzen; rechts stehen heißer Grad II, drei Portionen und heißer Holzanteil I.	Abkühlen und Trocknen stehen heißem Grad II und heißem Holzansatz entgegen; drei Portionen binden den Widerspruch nicht.	NO
B027	A067	shol|sheody|solkam	STOP	Getrockneten Pulverstoff nehmen; rechts folgen feuchtes Mazerat am Gradanfang und ein Maß erhitzter Samenzubereitung.	Getrocknetes Pulver wird sofort feucht; Mazerat zu erhitzter Samenzubereitung ist ein weiterer Material- und Operationsbruch.	NO
B028	A070	chol|kchdy|chol	STOP	Ein trockenes Maß bis zum heiß-trockenen Gradanfang erhitzen; anschließend bleibt der Zustand trocken.	Erhitzen passt zum heiß-trockenen Anfang, aber Maß und Grad fehlen und das dritte trocken kommt nach einem schon plausiblen Ergebnis.	NO
B029	A073	okal|kchody|chckhy	STOP	Rohstoff I im heißen Ansatz erhitzen; rechts stehen fertige heiß-trockene Zubereitung und trockenes Kompositum am Gradanfang.	Erhitzung und heiß-trockene Zubereitung passen, doch Stufe II wird zweimal zum Gradanfang und Rohstoff zu Kompositum bleibt ungebunden.	NO
B030	A074	oky|sheeey|qoty	STOP	Samenpulver bis zur Mitte trocknen; rechts folgen heißer Ansatzanfang, vollständig eingeweichte Schlussstufe und kalter Anfang.	Samenpulver-Trocknung und Mittelstufe wechseln zu heißem Ansatzanfang, vollständig eingeweichtem Gut und kaltem Anfang.	NO
B031	A077	or|okeeeey|ofchedy	STOP	Die Drogenportion bis zur letzten Heizstufe führen; danach beginnt fertige getrocknete Blütenmasse.	Die ersten zwei Items sind bereits C019; das dritte wechselt zu Blüte und Trocknung und darf das abgeschlossene Heizbündel nicht erweitern.	NO
B032	A083	ckhol|chol|chey	ADMIT_RESULT_BUNDLE	Eine abgemessene Portion bis zur Mittelstufe trocknen. Als möglicher Ergebnisblock folgt: Drogenstoff aus Arzneikompositum – trocken; trocken in der Mitte des Grades.	Materialträger, trockener Zustand und exakte Mittelstufe stehen ohne inneren Bruch zusammen; die Patientengleichheit bleibt eine lokale Möglichkeit, keine Behauptung.	NO
