page	block_id	kind	boundary_status	first_locus	last_locus	loci	target_loci	context_parent	selection
f76r	f76r.10--f76r.10	L	NON_P_RECORD	f76r.10	f76r.10	1		f76r.1--f76r.38	INTERLEAVED_L_CONTEXT
f76r	f76r.14--f76r.14	L	NON_P_RECORD	f76r.14	f76r.14	1		f76r.1--f76r.38	INTERLEAVED_L_CONTEXT
f76r	f76r.18--f76r.18	L	NON_P_RECORD	f76r.18	f76r.18	1		f76r.1--f76r.38	INTERLEAVED_L_CONTEXT
f76r	f76r.22--f76r.22	L	NON_P_RECORD	f76r.22	f76r.22	1		f76r.1--f76r.38	INTERLEAVED_L_CONTEXT
f76r	f76r.27--f76r.27	L	NON_P_RECORD	f76r.27	f76r.27	1		f76r.1--f76r.38	INTERLEAVED_L_CONTEXT
f76r	f76r.31--f76r.31	L	NON_P_RECORD	f76r.31	f76r.31	1		f76r.1--f76r.38	INTERLEAVED_L_CONTEXT
f76r	f76r.37--f76r.37	L	NON_P_RECORD	f76r.37	f76r.37	1		f76r.1--f76r.38	INTERLEAVED_L_CONTEXT
f77r	f77r.25--f77r.37	P	SOURCE_PARAGRAPH_BOTH_MARKED	f77r.25	f77r.37	13	f77r.27,f77r.35		ANY_READER_EXACT_OKAIIN
f77r	f77r.38--f77r.48	P	SOURCE_PARAGRAPH_BOTH_MARKED	f77r.38	f77r.48	11	f77r.40		ANY_READER_EXACT_OKAIIN
f81v	f81v.1--f81v.9	P	SOURCE_PARAGRAPH_BOTH_MARKED	f81v.1	f81v.9	9	f81v.2,f81v.5,f81v.6		ANY_READER_EXACT_OKAIIN
f88r	f88r.18--f88r.22	P	SOURCE_PARAGRAPH_BOTH_MARKED	f88r.18	f88r.22	5	f88r.22		ANY_READER_EXACT_OKAIIN
f88v	f88v.14--f88v.14	L	NON_P_RECORD	f88v.14	f88v.14	1	f88v.14		ANY_READER_EXACT_OKAIIN
f89r1	f89r1.14--f89r1.14	L	NON_P_RECORD	f89r1.14	f89r1.14	1	f89r1.14		ANY_READER_EXACT_OKAIIN
f95v2	f95v2.1--f95v2.7	P	SOURCE_PARAGRAPH_BOTH_MARKED	f95v2.1	f95v2.7	7	f95v2.5		ANY_READER_EXACT_OKAIIN
f95v1	f95v1.11--f95v1.13	P	SOURCE_PARAGRAPH_BOTH_MARKED	f95v1.11	f95v1.13	3	f95v1.13		ANY_READER_EXACT_OKAIIN
