rank	locus	zl3b_line	manual_workshop_translation_de	notes	automatic_v45_translation_de	v45_unknown_tokens	comparison_scope
11	f113v.37	qol aiin olaiin oteeey lchedy qokair y daiin	Gib Folgendes hinzu: drei Teile; drei Teile Holzdrogenansatz. Kühle den Ansatz bis zur letzten Stufe ab und schließe ihn ab; getrocknetes Drogenholz. Erhitze die zweite Fraktion; hierzu drei Maße.	oteeey lizenziert Kühlen und Abschluss, aber keine zusätzliche Menge.	gib Folgendes hinzu: drei Teile; drei Teile Holzdrogenansatz; Ansatz bis zur letzten Stufe abkühlen und abschließen; getrocknetes Drogenholz; erhitze die zweite Fraktion; hierzu: drei Maße	0	manual workshop prose versus deterministic V45 renderer; neither is confirmed plaintext
12	f107r.3	olcheey cheos qokeeey ycheedy qotain ykain okeey raiin	Holzdrogenansatz vollständig trocknen; Charge eines mitteltrockenen Ansatzes. Erhitze bis Endstufe III; trockne hiervon vollständig und stelle es fertig. Kalt im Befehlsrahmen auf Stufe II; erhitze hiervon auf Stufe II; Ansatz auf Heizendstufe; Wurzelcharge III.	ycheedy bewahrt Trocknen und Fertigstellen als eigene Doppelhandlung.	Holzdrogenansatz vollständig trocknen; Charge eines mitteltrockenen Ansatzes; erhitze bis Endstufe III; trockne hiervon vollständig und stelle es fertig; kalt im qo-Rahmen, Grad II; erhitze hiervon auf Stufe II; Ansatz auf Heizendstufe; Wurzel, Typ/Charge III	0	manual workshop prose versus deterministic V45 renderer; neither is confirmed plaintext
13	f47v.3	shol char oteol dor otchol chkchy daiin	Feuchtgut; Trockenfraktion I. Kühle den Drogenstoff im Ansatz bis zur Mittelstufe; miss eine Portion Droge ab. Kalt-trockener Zubereitungsstoff; trockne, erhitze, trockne erneut und schließe ab; drei Maße.	chkchy bewahrt beide Trockenschritte, die Erhitzung und den Schluss; keine erfundene Zugabe.	Feuchtgut; Trockenfraktion I; Drogenstoff im Ansatz bis zur Mittelstufe abkühlen; miss eine Portion Droge ab; kalt-trockener Zubereitungsstoff; trocknen, erhitzen, erneut trocknen und abschließen; drei Maße	0	manual workshop prose versus deterministic V45 renderer; neither is confirmed plaintext
14	f22r.10	kchol chor daiin cthoiin dchor chey qokol dy opchol oldam	Erhitztes Trockengut; Pflanzenteil; Menge/Portion III; Krautzubereitung Form III; abgemessener Pflanzenteil; Trockenmittelstufe. Erhitze Folgendes: getrockneten Pulverstoff im Ansatz. Miss ein Maß Drogenstoff ab.	qokol richtet sich vorwärts auf opchol; freies dy erhält keinen erfundenen Zwischenabschluss.	erhitztes Trockengut; Pflanzenteil; Menge/Portion III; Blatt-/Krautzubereitung, Form III; abgemessener Pflanzenteil; bis zur mittleren Trockenstufe; erhitze Folgendes: getrockneter Pulverstoff im Ansatz; ein Maß Drogenstoff abmessen	0	manual workshop prose versus deterministic V45 renderer; neither is confirmed plaintext
15	f93r.11	okeol oteol s odam sheo al sal	Grundansatz bis zur mittleren Heizstufe erwärmt. Kühle den Drogenstoff im Ansatz bis zur Mittelstufe; Saatgutposten; miss ein Maß Ansatz ab; Feuchtzubereitung; Rohstoff I; Saat-Rohstoff I.	odam trägt die Abmesshandlung samt Ansatzobjekt.	Grundansatz bis zur mittleren Heizstufe erwärmt; Drogenstoff im Ansatz bis zur Mittelstufe abkühlen; Samen-/Saatgutposten; ein Maß Ansatz abmessen; Feuchtzubereitung; Rohstoff I; Saat-Rohstoff I	0	manual workshop prose versus deterministic V45 renderer; neither is confirmed plaintext
16	f56v.8	ykchor chokchy qokcho tcheey kol	Erhitze hiervon den Pflanzenteil. Trockenansatz in heiß-trockener Grundform; erhitze, trockne und setze den Ansatz an; kalt und vollständig getrocknet; heißes Material.	Die drei Befehlsverben in qokcho bleiben sichtbar; ykchor trägt den Pflanzenteil.	erhitze hiervon den Pflanzenteil; Trockenansatz: heiß-trockene Grundform; erhitze, trockne und setze an; kalt und vollständig getrocknet; heiß; nominal heißes Gut/Material	0	manual workshop prose versus deterministic V45 renderer; neither is confirmed plaintext
17	f58v.30	daiin sheoy ykey sheky qokal qokeey okain okar ol dam	Drei Maße; feucht angesetzte Zubereitung am Gradanfang. Erhitze hiervon bis zur Mittelstufe und schließe ab; weiche bis zur Mittelstufe ein, erhitze und schließe ab. Rohstoff I heiß am Gradanfang; heiß am Gradende; heißer Ansatz im Zubereitungsrahmen auf Stufe II; heiße Drogenfraktion I im Ansatz; Grundansatz; Dosis I.	ykey ist ein Referenzbefehl; qokeey, okain und okar bleiben positionsgetreu getrennt.	drei Maße; feucht angesetzte Zubereitung am Gradanfang; erhitze hiervon bis zur Mittelstufe und schließe ab; bis zur Mittelstufe einweichen, erhitzen und abschließen; Rohstoff I, heiß am Gradanfang; bis zur Heizendstufe; heiß im Zubereitungsrahmen, Grad II; heiße Drogenfraktion I im Ansatz; Grundansatz; Dosis I	0	manual workshop prose versus deterministic V45 renderer; neither is confirmed plaintext
18	f9v.6	odol choy ksheody chody dain otchy cthod yko	Drogenstoff im Ansatz abmessen; Trockenansatz leicht abschließen; erhitze den Ansatz, weiche ihn bis zur Mittelstufe ein und stelle ihn fertig; Trockenansatz abgeschlossen; zwei Maße; kalt-trockener Ansatz am Gradanfang. Gieße den Krautansatz ab; erhitze hiervon einen Ansatz.	ksheody erhält Einweichen, Wärme und Fertigstellung, ohne ein zusätzliches Objekt einzuführen.	Drogenstoff im Ansatz abmessen; Trockenansatz leicht abschließen; Ansatz erhitzen, bis zur Mittelstufe einweichen und fertigstellen; Trockenansatz, abgeschlossen; zwei Maße; kalt-trockener Ansatz am Anfang des Grades; gieße den Krautansatz ab; erhitze hiervon einen Ansatz	0	manual workshop prose versus deterministic V45 renderer; neither is confirmed plaintext
19	f37v.22	qotol ytoiin choy	Kaltes Material; kühle hiervon Ansatzform III; schließe den Trockenansatz leicht ab.	ytoiin trägt die Kühlrichtung; oiin bleibt Zubereitungsform III.	kaltes Material; kühle hiervon einen Ansatz in Zubereitungsform III; Trockenansatz leicht abschließen	0	manual workshop prose versus deterministic V45 renderer; neither is confirmed plaintext
20	f104v.31	y cheoraiin cthey chol sheody qokair qoeey cheey lkeedy	Eintrag: drei Portionen bis zur Mittelstufe getrockneter Droge; Krautdroge Form I; Blatt-/Krautdroge Form I; Trockengut; angefeuchteter Ansatz abgeschlossen. Erhitze die zweite Fraktion; nimm die Endportion hinzu; vollständig getrocknet; Drogenholz heiß am Gradende und abgeschlossen.	cheoraiin bleibt eine dreifache Portionsangabe; kein Verb aus dem Zeilenanfang ergänzt.	Eintrag: drei Portionen bis zur Mittelstufe getrockneter Droge; Krautdroge, Form I; Blatt-/Krautdroge, Form I; Trockengut; angefeuchteter Ansatz, abgeschlossen; erhitze die zweite Fraktion; nimm die Endportion hinzu; vollständig getrocknet; Drogenholz, heiß am Gradende, abgeschlossen	0	manual workshop prose versus deterministic V45 renderer; neither is confirmed plaintext
