visible_surface	astro_groups	atom_sequence	spoken_value_de	registered_shell_de	apprentice_rule_de
dokan	1	OK	Diagrammposten setzen oder aktivieren	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
ochol	1	HO	im selben Ring, Band oder Satz fortsetzen	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
ochoyk	1	HO	Himmelsobjekt oder Eingangsbedingung	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
ockhy	3	CKH	durch Sektor, Ring oder Pruefweg fuehren	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
octhey	1	CTH	ausgewählte Grundbedingung	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
octhys	1	CTH	sekundäre Grundbedingung	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
oekain	1	AIN	gezaehlter Teil oder Unterabschnitt	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
oepchod	1	HO	Himmelsobjekt oder Eingangsbedingung	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
ofcheor	1	CHEO	Bedingungs-, Tabellen- oder Wahlansatz	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
okchdy	1	KCH	Diagrammposten setzen oder aktivieren + Wert oder Platzbezug uebertragen	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
okcheys	1	KCH	Diagrammplatz berechnen oder bearbeiten	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
okedy	1	OK	Diagrammposten setzen oder aktivieren	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
okeo	2	OK	Diagrammposten setzen oder aktivieren	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
okoes	1	OK	Diagrammposten setzen oder aktivieren	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
okoirsh	1	OK	Diagrammposten setzen oder aktivieren + Position oder Bedingung halten	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
okshor	1	OK+HO	Aktivieren + Eingangsposten	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
opcholdy	1	HO	im selben Ring, Band oder Satz fortsetzen	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
opodchol	1	HO	im selben Ring, Band oder Satz fortsetzen	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
otaza	1	OT	naechster Platz oder folgende Bedingung	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
otcheody	1	OT+CHEO	Folge + Auszug/Ausgabe	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
otchl	1	OT	naechster Platz oder folgende Bedingung	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
otchy	1	OT	naechster Platz oder folgende Bedingung	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
otochedy	1	OT+CHD	Folge + Umsetzen	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
oty	1	OT	Teilsektor oder Untereintrag	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
otydy	1	OT	Teilsektor oder Untereintrag	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
otykchs	1	OT+KCH	Folge + Bearbeiten	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
otys	1	OT	Teilsektor oder Untereintrag	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
qockhy	1	CKH	durch Sektor, Ring oder Pruefweg fuehren	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
qofair	1	AIR	Himmels-, Ring- oder Zeigerlauf	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
qokeochy	1	OK	Diagrammposten setzen oder aktivieren	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
shekchy	1	KCH	Position oder Bedingung halten + Diagrammplatz berechnen oder bearbeiten	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
shokchy	1	HO+KCH	Eingangsposten + Bearbeiten	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
ycheody	1	CHEO	aktueller Ablesewert fest	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
yfain	1	AIN	gezaehlter Teil oder Unterabschnitt	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
ypair	1	AIR	Himmels-, Ring- oder Zeigerlauf	lokaler Schreiberrahmen um bekannte Operations- oder Argumentkerne	Form im Register erkennen, Hülle abziehen, bekannte Kerne in Reihenfolge sprechen
