array_index	array_id	physical_folio	page	unit	slot_count	transcribed_slots	absent_slots	unreadable_or_other_slots	neutral_unit_description	canvas_ids	formal_access_state
36	SCARR036|f72v2|S1	f72	f72v2	S1	18	18	0	0	Labels in star/nymph band 1 (outermost)	1006204;1006205	SEALED
37	SCARR037|f72v2|S2	f72	f72v2	S2	12	12	0	0	Labels in star/nymph band 2 (inner).	1006204;1006205	SEALED
38	SCARR038|f72v1|S1	f72	f72v1	S1	20	20	0	0	Labels in star/nymph band 1 (outermost)	1006204;1006205	SEALED
39	SCARR039|f72v1|S2	f72	f72v1	S2	10	10	0	0	Labels in star/nymph band 2 (inner).	1006204;1006205	SEALED
40	SCARR040|f73r|S0	f73	f73r	S0	4	4	0	0	Labels on stars/nymphs outside the diagram.	1006206	SEALED
41	SCARR041|f73r|S1	f73	f73r	S1	16	16	0	0	Labels in star/nymph band 1 (outermost inside diagram)	1006206	SEALED
42	SCARR042|f73r|S2	f73	f73r	S2	10	10	0	0	Labels in star/nymph band 2 (inner).	1006206	SEALED
43	SCARR043|f73v|S0	f73	f73v	S0	4	4	0	0	Labels on stars/nymphs outside the diagram.	1006207	SEALED
44	SCARR044|f73v|S1	f73	f73v	S1	16	16	0	0	Labels in star/nymph band 1 (outermost)	1006207	SEALED
45	SCARR045|f73v|S2	f73	f73v	S2	10	10	0	0	Labels in star/nymph band 2 (inner).	1006207	SEALED
