verb	model	world	target	form	object	status	exact_effect_witnesses	prior_hot_actions	before	row_status
X	E	E|ZL3b|B|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	ASSUMED_EFFECT_APPLIED	0	0	"{""PHYSICAL:thermal"":""warm""}"	recorded
G	E	E|ZL3b|B|f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	f86v5.21:4	ASSUMED_EFFECT_APPLIED	0	0	{}	recorded
G	E	E|ZL3b|B|f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	f86v5.21:6	ASSUMED_EFFECT_APPLIED	0	0	"{""CONSTITUTION:thermal"":""cold""}"	recorded
G	E	E|ZL3b|B|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	ASSUMED_EFFECT_APPLIED	0	0	"{""PHYSICAL:thermal"":""warm""}"	recorded
X	P	E|ZL3b|B|f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	f86v5.21:4	ASSUMED_EFFECT_APPLIED	0	0	{}	recorded
X	P	E|ZL3b|B|f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	f86v5.21:6	ASSUMED_EFFECT_APPLIED	0	0	"{""CONSTITUTION:thermal"":""cold""}"	recorded
X	P	E|ZL3b|B|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	ASSUMED_EFFECT_APPLIED	0	0	"{""PHYSICAL:thermal"":""warm""}"	recorded
G	P	E|ZL3b|B|f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	f86v5.21:4	ASSUMED_EFFECT_APPLIED	0	0	{}	recorded
G	P	E|ZL3b|B|f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	f86v5.21:6	ASSUMED_EFFECT_APPLIED	0	0	"{""CONSTITUTION:thermal"":""cold""}"	recorded
G	P	E|ZL3b|B|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	ASSUMED_EFFECT_APPLIED	0	0	"{""PHYSICAL:thermal"":""warm""}"	recorded
X	R	E|ZL3b|B|f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	f86v5.21:4	ASSUMED_EFFECT_APPLIED	0	0	{}	recorded
X	R	E|ZL3b|B|f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	f86v5.21:6	ASSUMED_EFFECT_APPLIED	0	0	"{""CONSTITUTION:thermal"":""cold""}"	recorded
X	R	E|ZL3b|B|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	ASSUMED_EFFECT_APPLIED	0	0	"{""PHYSICAL:thermal"":""warm""}"	recorded
G	R	E|ZL3b|B|f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	f86v5.21:4	ASSUMED_EFFECT_APPLIED	0	0	{}	recorded
G	R	E|ZL3b|B|f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	f86v5.21:6	ASSUMED_EFFECT_APPLIED	0	0	"{""CONSTITUTION:thermal"":""cold""}"	recorded
G	R	E|ZL3b|B|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	ASSUMED_EFFECT_APPLIED	0	0	"{""PHYSICAL:thermal"":""warm""}"	recorded
X	E	E|ZL3b|J|f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	f86v5.21:4	ASSUMED_EFFECT_APPLIED	0	0	{}	recorded
X	E	E|ZL3b|J|f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	f86v5.21:6	ASSUMED_EFFECT_APPLIED	0	0	"{""CONSTITUTION:thermal"":""cold""}"	recorded
X	E	E|ZL3b|J|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	ASSUMED_EFFECT_APPLIED	0	0	"{""PHYSICAL:thermal"":""warm""}"	recorded
G	E	E|ZL3b|J|f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	f86v5.21:4	ASSUMED_EFFECT_APPLIED	0	0	{}	recorded
G	E	E|ZL3b|J|f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	f86v5.21:6	ASSUMED_EFFECT_APPLIED	0	0	"{""CONSTITUTION:thermal"":""cold""}"	recorded
G	E	E|ZL3b|J|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	ASSUMED_EFFECT_APPLIED	0	0	"{""PHYSICAL:thermal"":""warm""}"	recorded
X	P	E|ZL3b|J|f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	f86v5.21:4	ASSUMED_EFFECT_APPLIED	0	0	{}	recorded
X	P	E|ZL3b|J|f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	f86v5.21:6	ASSUMED_EFFECT_APPLIED	0	0	"{""CONSTITUTION:thermal"":""cold""}"	recorded
X	P	E|ZL3b|J|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	ASSUMED_EFFECT_APPLIED	0	0	"{""PHYSICAL:thermal"":""warm""}"	recorded
G	P	E|ZL3b|J|f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	f86v5.21:4	ASSUMED_EFFECT_APPLIED	0	0	{}	recorded
G	P	E|ZL3b|J|f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	f86v5.21:6	ASSUMED_EFFECT_APPLIED	0	0	"{""CONSTITUTION:thermal"":""cold""}"	recorded
G	P	E|ZL3b|J|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	ASSUMED_EFFECT_APPLIED	0	0	"{""PHYSICAL:thermal"":""warm""}"	recorded
X	R	E|ZL3b|J|f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	f86v5.21:4	ASSUMED_EFFECT_APPLIED	0	0	{}	recorded
X	R	E|ZL3b|J|f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	f86v5.21:6	ASSUMED_EFFECT_APPLIED	0	0	"{""CONSTITUTION:thermal"":""cold""}"	recorded
X	R	E|ZL3b|J|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	ASSUMED_EFFECT_APPLIED	0	0	"{""PHYSICAL:thermal"":""warm""}"	recorded
G	R	E|ZL3b|J|f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	f86v5.21:4	ASSUMED_EFFECT_APPLIED	0	0	{}	recorded
G	R	E|ZL3b|J|f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	f86v5.21:6	ASSUMED_EFFECT_APPLIED	0	0	"{""CONSTITUTION:thermal"":""cold""}"	recorded
G	R	E|ZL3b|J|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	ASSUMED_EFFECT_APPLIED	0	0	"{""PHYSICAL:thermal"":""warm""}"	recorded
X	E	E|ZL3b|M|f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	f86v5.21:4	ASSUMED_EFFECT_APPLIED	0	0	{}	recorded
X	E	E|ZL3b|M|f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	f86v5.21:6	ASSUMED_EFFECT_APPLIED	0	0	"{""CONSTITUTION:thermal"":""cold""}"	recorded
X	E	E|ZL3b|M|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	ASSUMED_EFFECT_APPLIED	0	0	"{""PHYSICAL:thermal"":""warm""}"	recorded
G	E	E|ZL3b|M|f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	f86v5.21:4	ASSUMED_EFFECT_APPLIED	0	0	{}	recorded
G	E	E|ZL3b|M|f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	f86v5.21:6	ASSUMED_EFFECT_APPLIED	0	0	"{""CONSTITUTION:thermal"":""cold""}"	recorded
G	E	E|ZL3b|M|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	ASSUMED_EFFECT_APPLIED	0	0	"{""PHYSICAL:thermal"":""warm""}"	recorded
X	P	E|ZL3b|M|f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	f86v5.21:4	ASSUMED_EFFECT_APPLIED	0	0	{}	recorded
X	P	E|ZL3b|M|f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	f86v5.21:6	ASSUMED_EFFECT_APPLIED	0	0	"{""CONSTITUTION:thermal"":""cold""}"	recorded
X	P	E|ZL3b|M|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	ASSUMED_EFFECT_APPLIED	0	0	"{""PHYSICAL:thermal"":""warm""}"	recorded
G	P	E|ZL3b|M|f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	f86v5.21:4	ASSUMED_EFFECT_APPLIED	0	0	{}	recorded
G	P	E|ZL3b|M|f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	f86v5.21:6	ASSUMED_EFFECT_APPLIED	0	0	"{""CONSTITUTION:thermal"":""cold""}"	recorded
G	P	E|ZL3b|M|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	ASSUMED_EFFECT_APPLIED	0	0	"{""PHYSICAL:thermal"":""warm""}"	recorded
X	R	E|ZL3b|M|f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	f86v5.21:4	ASSUMED_EFFECT_APPLIED	0	0	{}	recorded
X	R	E|ZL3b|M|f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	f86v5.21:6	ASSUMED_EFFECT_APPLIED	0	0	"{""CONSTITUTION:thermal"":""cold""}"	recorded
X	R	E|ZL3b|M|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	ASSUMED_EFFECT_APPLIED	0	0	"{""PHYSICAL:thermal"":""warm""}"	recorded
G	R	E|ZL3b|M|f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	f86v5.21:4	ASSUMED_EFFECT_APPLIED	0	0	{}	recorded
G	R	E|ZL3b|M|f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	f86v5.21:6	ASSUMED_EFFECT_APPLIED	0	0	"{""CONSTITUTION:thermal"":""cold""}"	recorded
G	R	E|ZL3b|M|f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.20:6	ASSUMED_EFFECT_APPLIED	0	0	"{""PHYSICAL:thermal"":""warm""}"	recorded
X	E	E|ZL3b|B|f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.33:2	ASSUMED_EFFECT_APPLIED	0	0	"{""PHYSICAL:thermal"":""warm""}"	recorded
G	E	E|ZL3b|B|f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.33:2	ASSUMED_EFFECT_APPLIED	0	2	"{""PHYSICAL:thermal"":""hot""}"	recorded
X	P	E|ZL3b|B|f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.32:9	ASSUMED_EFFECT_APPLIED	0	2	"{""PHYSICAL:thermal"":""hot""}"	recorded
G	P	E|ZL3b|B|f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.32:9	ASSUMED_EFFECT_APPLIED	0	2	"{""PHYSICAL:thermal"":""hot""}"	recorded
X	R	E|ZL3b|B|f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.35:9	ASSUMED_EFFECT_APPLIED	2	0	"{""PHYSICAL:thermal"":""warm""}"	recorded
G	R	E|ZL3b|B|f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.35:9	ASSUMED_EFFECT_APPLIED	2	2	"{""PHYSICAL:thermal"":""hot""}"	recorded
X	E	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.33:2	ASSUMED_EFFECT_APPLIED	0	0	"{""PHYSICAL:thermal"":""warm""}"	recorded
G	E	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.33:2	ASSUMED_EFFECT_APPLIED	0	2	"{""PHYSICAL:thermal"":""hot""}"	recorded
X	P	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.32:9	ASSUMED_EFFECT_APPLIED	0	2	"{""PHYSICAL:thermal"":""hot""}"	recorded
G	P	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.32:9	ASSUMED_EFFECT_APPLIED	0	2	"{""PHYSICAL:thermal"":""hot""}"	recorded
X	R	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.35:9	ASSUMED_EFFECT_APPLIED	2	0	"{""PHYSICAL:thermal"":""warm""}"	recorded
G	R	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.35:9	ASSUMED_EFFECT_APPLIED	2	2	"{""PHYSICAL:thermal"":""hot""}"	recorded
X	E	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.33:2	ASSUMED_EFFECT_APPLIED	0	0	"{""PHYSICAL:thermal"":""warm""}"	recorded
G	E	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.33:2	ASSUMED_EFFECT_APPLIED	0	2	"{""PHYSICAL:thermal"":""hot""}"	recorded
X	P	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.32:9	ASSUMED_EFFECT_APPLIED	0	2	"{""PHYSICAL:thermal"":""hot""}"	recorded
G	P	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.32:9	ASSUMED_EFFECT_APPLIED	0	2	"{""PHYSICAL:thermal"":""hot""}"	recorded
X	R	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.35:9	ASSUMED_EFFECT_APPLIED	2	0	"{""PHYSICAL:thermal"":""warm""}"	recorded
G	R	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.35:9	ASSUMED_EFFECT_APPLIED	2	2	"{""PHYSICAL:thermal"":""hot""}"	recorded
