verb	model	world	target	witness	form	object	kind	row_status
X	R	E|ZL3b|B|f102v2|f102v2.30-f102v2.39	f102v2.38:8	f102v2.36:8	okeey	f102v2.35:9	REP_EXACT	recorded
G	R	E|ZL3b|B|f102v2|f102v2.30-f102v2.39	f102v2.38:8	f102v2.36:3	okeey	f102v2.35:9	REP_EXACT	recorded
G	R	E|ZL3b|B|f102v2|f102v2.30-f102v2.39	f102v2.38:8	f102v2.36:8	okeey	f102v2.35:9	REP_EXACT	recorded
G	R	E|ZL3b|B|f102v2|f102v2.30-f102v2.39	f102v2.38:8	f102v2.36:9	qokeor	f102v2.35:9	PRIOR_HOT	recorded
G	R	E|ZL3b|B|f102v2|f102v2.30-f102v2.39	f102v2.38:8	f102v2.38:4	qokeor	f102v2.35:9	PRIOR_HOT	recorded
G	E	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	f102v2.38:8	f102v2.33:1	qokeor	f102v2.33:2	PRIOR_HOT	recorded
G	E	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	f102v2.38:8	f102v2.38:4	qokeor	f102v2.33:2	PRIOR_HOT	recorded
X	P	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	f102v2.38:8	f102v2.33:1	qokeor	f102v2.32:9	PRIOR_HOT	recorded
X	P	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	f102v2.38:8	f102v2.38:4	qokeor	f102v2.32:9	PRIOR_HOT	recorded
G	P	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	f102v2.38:8	f102v2.33:1	qokeor	f102v2.32:9	PRIOR_HOT	recorded
G	P	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	f102v2.38:8	f102v2.38:4	qokeor	f102v2.32:9	PRIOR_HOT	recorded
X	R	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	f102v2.38:8	f102v2.36:3	okeey	f102v2.35:9	REP_EXACT	recorded
X	R	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	f102v2.38:8	f102v2.36:8	okeey	f102v2.35:9	REP_EXACT	recorded
G	R	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	f102v2.38:8	f102v2.36:3	okeey	f102v2.35:9	REP_EXACT	recorded
G	R	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	f102v2.38:8	f102v2.36:8	okeey	f102v2.35:9	REP_EXACT	recorded
G	R	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	f102v2.38:8	f102v2.36:9	qokeor	f102v2.35:9	PRIOR_HOT	recorded
G	R	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	f102v2.38:8	f102v2.38:4	qokeor	f102v2.35:9	PRIOR_HOT	recorded
G	E	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	f102v2.38:8	f102v2.33:1	qokeor	f102v2.33:2	PRIOR_HOT	recorded
G	E	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	f102v2.38:8	f102v2.38:4	qokeor	f102v2.33:2	PRIOR_HOT	recorded
X	P	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	f102v2.38:8	f102v2.33:1	qokeor	f102v2.32:9	PRIOR_HOT	recorded
X	P	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	f102v2.38:8	f102v2.38:4	qokeor	f102v2.32:9	PRIOR_HOT	recorded
G	P	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	f102v2.38:8	f102v2.33:1	qokeor	f102v2.32:9	PRIOR_HOT	recorded
G	P	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	f102v2.38:8	f102v2.38:4	qokeor	f102v2.32:9	PRIOR_HOT	recorded
X	R	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	f102v2.38:8	f102v2.36:3	okeey	f102v2.35:9	REP_EXACT	recorded
X	R	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	f102v2.38:8	f102v2.36:8	okeey	f102v2.35:9	REP_EXACT	recorded
G	R	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	f102v2.38:8	f102v2.36:3	okeey	f102v2.35:9	REP_EXACT	recorded
G	R	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	f102v2.38:8	f102v2.36:8	okeey	f102v2.35:9	REP_EXACT	recorded
G	R	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	f102v2.38:8	f102v2.36:9	qokeor	f102v2.35:9	PRIOR_HOT	recorded
G	R	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	f102v2.38:8	f102v2.38:4	qokeor	f102v2.35:9	PRIOR_HOT	recorded
