visible_surface	final_y_class	portable_y_licensed	component_parse	short_workshop_value_de	group_count	pages	loci
qokeeody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	1	f67r2	f67r2.74
qockhy	RELATION_Y	YES	RELATION_OR_ACTION+Y	Relation oder Handlung am aktuell gemeinten Posten	1	f67r2	f67r2.74
okeeody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	2	f67r2|f69v	f67r2.74|f69v.1
shokchy	OPERATION_Y	YES	OPERATION_CORE+Y	Operation am aktuell gemeinten Posten	1	f68r1	f68r1.1
chteey	E_GRADE_Y	CANDIDATE	E_GRADE_LANG+Y	aktuellen Posten auf langer Stufe halten	1	f68r1	f68r1.1
choteey	E_GRADE_Y	CANDIDATE	E_GRADE_LANG+Y	aktuellen Posten auf langer Stufe halten	1	f68r1	f68r1.1
choctheeey	E_GRADE_Y	CANDIDATE	E_GRADE_VOLL+Y	aktuellen Posten auf voller Stufe halten	1	f68r1	f68r1.1
cheeteey	E_GRADE_Y	CANDIDATE	E_GRADE_LANG+Y	aktuellen Posten auf langer Stufe halten	1	f68r1	f68r1.2
yteody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	1	f68r1	f68r1.2
cheokorchey	E_GRADE_Y	CANDIDATE	E_GRADE_KURZ+Y	aktuellen Posten auf kurzer Stufe halten	1	f68r1	f68r1.2
qocheey	E_GRADE_Y	CANDIDATE	E_GRADE_LANG+Y	aktuellen Posten auf langer Stufe halten	1	f68r1	f68r1.3
yky	EXPLICIT_CURRENT_Y	YES	LOCAL_CORE+Y	dieser aktuell gemeinte Diagrammposten	1	f68r1	f68r1.5
dary	RELATION_Y	YES	RELATION_OR_ACTION+Y	Relation oder Handlung am aktuell gemeinten Posten	1	f68r1	f68r1.6
chkchykoly	RELATION_Y	YES	RELATION_OR_ACTION+Y	Relation oder Handlung am aktuell gemeinten Posten	1	f68r1	f68r1.7
okodaly	RELATION_Y	YES	RELATION_OR_ACTION+Y	Relation oder Handlung am aktuell gemeinten Posten	1	f68r1	f68r1.8
odchecthy	LOCAL_WHOLE_Y	NO	LEARNED_LOCAL_WHOLE_SIGN	gelernter lokaler Wert der sichtbaren Diagrammstelle	1	f68r1	f68r1.9
otcheody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	1	f68r1	f68r1.10
okoaly	RELATION_Y	YES	RELATION_OR_ACTION+Y	Relation oder Handlung am aktuell gemeinten Posten	1	f68r1	f68r1.11
octhey	E_GRADE_Y	CANDIDATE	E_GRADE_KURZ+Y	aktuellen Posten auf kurzer Stufe halten	1	f68r1	f68r1.13
otshey	E_GRADE_Y	CANDIDATE	E_GRADE_KURZ+Y	aktuellen Posten auf kurzer Stufe halten	1	f68r1	f68r1.14
otydy	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	1	f68r1	f68r1.15
cphocthy	LOCAL_WHOLE_Y	NO	LEARNED_LOCAL_WHOLE_SIGN	gelernter lokaler Wert der sichtbaren Diagrammstelle	1	f68r1	f68r1.17
ytchody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	1	f68r1	f68r1.18
okoldy	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	1	f68r1	f68r1.28
ykchdy	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	1	f68r1	f68r1.29
oeeody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	1	f68r1	f68r1.30
ocphy	LOCAL_WHOLE_Y	NO	LEARNED_LOCAL_WHOLE_SIGN	gelernter lokaler Wert der sichtbaren Diagrammstelle	1	f68r1	f68r1.31
otochedy	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	1	f68r1	f68r1.35
dolchedy	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	1	f68r1	f68r1.36
okchdy	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	1	f68r1	f68r1.37
okardy	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	1	f68r1	f68r1.37
oygy	EXPLICIT_CURRENT_Y	YES	LOCAL_CORE+Y	dieser aktuell gemeinte Diagrammposten	1	f68r1	f68r1.37
cheyky	EXPLICIT_CURRENT_Y	YES	LOCAL_CORE+Y	dieser aktuell gemeinte Diagrammposten	1	f69v	f69v.1
chetody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	1	f69v	f69v.1
tey	E_GRADE_Y	CANDIDATE	E_GRADE_KURZ+Y	aktuellen Posten auf kurzer Stufe halten	1	f69v	f69v.1
otokeeey	E_GRADE_Y	CANDIDATE	E_GRADE_VOLL+Y	aktuellen Posten auf voller Stufe halten	1	f69v	f69v.1
okedy	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	1	f69v	f69v.1
chsdy	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	1	f69v	f69v.1
oty	LOCAL_WHOLE_Y	NO	LEARNED_LOCAL_WHOLE_SIGN	gelernter lokaler Wert der sichtbaren Diagrammstelle	1	f69v	f69v.1
eykeody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	1	f69v	f69v.1
ykady	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	1	f69v	f69v.2
choly	RELATION_Y	YES	RELATION_OR_ACTION+Y	Relation oder Handlung am aktuell gemeinten Posten	1	f69v	f69v.2
cheody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	1	f69v	f69v.2
yetey	E_GRADE_Y	CANDIDATE	E_GRADE_KURZ+Y	aktuellen Posten auf kurzer Stufe halten	1	f69v	f69v.2
ykey	E_GRADE_Y	CANDIDATE	E_GRADE_KURZ+Y	aktuellen Posten auf kurzer Stufe halten	1	f69v	f69v.2
ykeeody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	1	f69v	f69v.2
airchy	OPERATION_Y	YES	OPERATION_CORE+Y	Operation am aktuell gemeinten Posten	1	f69v	f69v.2
ychey	E_GRADE_Y	CANDIDATE	E_GRADE_KURZ+Y	aktuellen Posten auf kurzer Stufe halten	1	f69v	f69v.2
oteody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	1	f69v	f69v.3
dchy	OPERATION_Y	YES	OPERATION_CORE+Y	Operation am aktuell gemeinten Posten	1	f69v	f69v.3
otoly	RELATION_Y	YES	RELATION_OR_ACTION+Y	Relation oder Handlung am aktuell gemeinten Posten	1	f69v	f69v.3
okody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	2	f69v	f69v.3|f69v.11
ykeey	E_GRADE_Y	CANDIDATE	E_GRADE_LANG+Y	aktuellen Posten auf langer Stufe halten	1	f69v	f69v.7
ytory	RELATION_Y	YES	RELATION_OR_ACTION+Y	Relation oder Handlung am aktuell gemeinten Posten	1	f69v	f69v.8
oeesy	LOCAL_WHOLE_Y	NO	LEARNED_LOCAL_WHOLE_SIGN	gelernter lokaler Wert der sichtbaren Diagrammstelle	1	f69v	f69v.9
otody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	1	f69v	f69v.12
ykeydy	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	1	f69v	f69v.17
sarydy	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	1	f69v	f69v.23
otchy	OPERATION_Y	YES	OPERATION_CORE+Y	Operation am aktuell gemeinten Posten	1	f69v	f69v.24
okodchy	OPERATION_Y	YES	OPERATION_CORE+Y	Operation am aktuell gemeinten Posten	1	f69v	f69v.28
okeody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	1	f69v	f69v.29
