group_serial	page	locus	visible_owner	namespace_id	visible_surface	final_y_class	portable_y_licensed	component_parse	short_workshop_value_de	existing_diagram_reading_de
36	f67r2	f67r2.15	A1_LEFT_LOCAL_FIELD_15	F67_LEFT_WHEEL_NS	dolchsody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	Sternplatz A1_LEFT_LOCAL_FIELD_15: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest d/chsody.
44	f67r2	f67r2.18	A1_LEFT_LOCAL_FIELD_18	F67_LEFT_WHEEL_NS	qopchy	OPERATION_Y	YES	OPERATION_CORE+Y	Operation am aktuell gemeinten Posten	A1_LEFT_LOCAL_FIELD_18: neuer Paarbezug.
50	f67r2	f67r2.19	A1_LEFT_LOCAL_FIELD_19	F67_LEFT_WHEEL_NS	amy	EXPLICIT_CURRENT_Y	YES	LOCAL_CORE+Y	dieser aktuell gemeinte Diagrammposten	A1_LEFT_LOCAL_FIELD_19: aktueller Aspektwert.
51	f67r2	f67r2.20	A1_LEFT_LOCAL_FIELD_20	F67_LEFT_WHEEL_NS	chocfhy	LOCAL_WHOLE_Y	NO	LEARNED_LOCAL_WHOLE_SIGN	gelernter lokaler Wert der sichtbaren Diagrammstelle	Sternplatz A1_LEFT_LOCAL_FIELD_20: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest c/cfhy.
57	f67r2	f67r2.23	A1_LEFT_LOCAL_FIELD_23	F67_LEFT_WHEEL_NS	oparchy	OPERATION_Y	YES	OPERATION_CORE+Y	Operation am aktuell gemeinten Posten	Sternplatz A1_LEFT_LOCAL_FIELD_23: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest op/chy.
72	f67r2	f67r2.29	A1_LEFT_LOCAL_FIELD_29	F67_LEFT_WHEEL_NS	ytody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	A1_LEFT_LOCAL_FIELD_29: Platz fest eingetragen.
76	f67r2	f67r2.31	A1_LEFT_LOCAL_FIELD_31	F67_LEFT_WHEEL_NS	opcholdy	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	Sternplatz A1_LEFT_LOCAL_FIELD_31: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest opch/dy.
101	f67r2	f67r2.41	A1_LEFT_LOCAL_FIELD_41	F67_LEFT_WHEEL_NS	ytoeopchey	E_GRADE_Y	CANDIDATE	E_GRADE_KURZ+Y	aktuellen Posten auf kurzer Stufe halten	A1_LEFT_LOCAL_FIELD_41: Vergleichswert dieses Platzes.
102	f67r2	f67r2.41	A1_LEFT_LOCAL_FIELD_41	F67_LEFT_WHEEL_NS	chekody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	A1_LEFT_LOCAL_FIELD_41: abgeleiteter Klassenwert.
105	f67r2	f67r2.42	A1_LEFT_LOCAL_FIELD_42	F67_LEFT_WHEEL_NS	ockhy	RELATION_Y	YES	RELATION_OR_ACTION+Y	Relation oder Handlung am aktuell gemeinten Posten	Sternplatz A1_LEFT_LOCAL_FIELD_42: durch Sektor, Ring oder Pruefweg fuehren; lokaler Namensrest o/y.
110	f67r2	f67r2.44	A1_LEFT_LOCAL_FIELD_44	F67_LEFT_WHEEL_NS	ofydy	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	A1_LEFT_LOCAL_FIELD_44: fester Grundlichtwert.
111	f67r2	f67r2.44	A1_LEFT_LOCAL_FIELD_44	F67_LEFT_WHEEL_NS	sheody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	Sternplatz A1_LEFT_LOCAL_FIELD_44: Position oder Bedingung halten; lokaler Namensrest eody.
113	f67r2	f67r2.45	A1_LEFT_LOCAL_FIELD_45	F67_LEFT_WHEEL_NS	ycheody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	A1_LEFT_LOCAL_FIELD_45: aktueller Ablesewert fest.
117	f67r2	f67r2.46	A1_LEFT_LOCAL_FIELD_46	F67_LEFT_WHEEL_NS	oraly	RELATION_Y	YES	RELATION_OR_ACTION+Y	Relation oder Handlung am aktuell gemeinten Posten	Sternplatz A1_LEFT_LOCAL_FIELD_46: Bedingungs-, Tabellen- oder Wahlansatz + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest y.
140	f67r2	f67r2.59	A1_LEFT_OUTER_STAR_STATION_08	F67_LEFT_WHEEL_NS	ytchodly	LOCAL_WHOLE_Y	NO	LEARNED_LOCAL_WHOLE_SIGN	gelernter lokaler Wert der sichtbaren Diagrammstelle	Sternplatz A1_LEFT_OUTER_STAR_STATION_08: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest ytc/dly.
148	f67r2	f67r2.66	A1_RIGHT_PHASE_STATION_03	F67_RIGHT_WHEEL_NS	cpheey	E_GRADE_Y	CANDIDATE	E_GRADE_LANG+Y	aktuellen Posten auf langer Stufe halten	Radstelle A1_RIGHT_PHASE_STATION_03: lange oder volle Diagrammstufe; lokaler Namensrest cph/y.
152	f67r2	f67r2.69	A1_RIGHT_PHASE_STATION_06	F67_RIGHT_WHEEL_NS	ay	EXPLICIT_CURRENT_Y	YES	LOCAL_CORE+Y	dieser aktuell gemeinte Diagrammposten	A1_RIGHT_PHASE_STATION_06: aktueller Hauptwert.
158	f67r2	f67r2.72	A1_LEFT_OUTER_RING_TEXT	F67_LEFT_WHEEL_NS	qkoy	LOCAL_WHOLE_Y	NO	LEARNED_LOCAL_WHOLE_SIGN	gelernter lokaler Wert der sichtbaren Diagrammstelle	A1_LEFT_OUTER_RING_TEXT: neue Grundklasse.
163	f67r2	f67r2.72	A1_LEFT_OUTER_RING_TEXT	F67_LEFT_WHEEL_NS	ydoly	RELATION_Y	YES	RELATION_OR_ACTION+Y	Relation oder Handlung am aktuell gemeinten Posten	Ring- oder Bandstelle A1_LEFT_OUTER_RING_TEXT: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest yd/y.
165	f67r2	f67r2.72	A1_LEFT_OUTER_RING_TEXT	F67_LEFT_WHEEL_NS	oly	RELATION_Y	YES	RELATION_OR_ACTION+Y	Relation oder Handlung am aktuell gemeinten Posten	Ring- oder Bandstelle A1_LEFT_OUTER_RING_TEXT: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest y.
167	f67r2	f67r2.73	A1_RIGHT_OUTER_RING_TEXT	F67_RIGHT_WHEEL_NS	sshey	E_GRADE_Y	CANDIDATE	E_GRADE_KURZ+Y	aktuellen Posten auf kurzer Stufe halten	Ring- oder Bandstelle A1_RIGHT_OUTER_RING_TEXT: abgelesener oder freigegebener Wert; lokaler Namensrest s.
170	f67r2	f67r2.73	A1_RIGHT_OUTER_RING_TEXT	F67_RIGHT_WHEEL_NS	qeykeey	E_GRADE_Y	CANDIDATE	E_GRADE_LANG+Y	aktuellen Posten auf langer Stufe halten	Ring- oder Bandstelle A1_RIGHT_OUTER_RING_TEXT: lange oder volle Diagrammstufe; lokaler Namensrest qeyk/y.
171	f67r2	f67r2.73	A1_RIGHT_OUTER_RING_TEXT	F67_RIGHT_WHEEL_NS	ykchey	E_GRADE_Y	CANDIDATE	E_GRADE_KURZ+Y	aktuellen Posten auf kurzer Stufe halten	Ring- oder Bandstelle A1_RIGHT_OUTER_RING_TEXT: Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest y/ey.
172	f67r2	f67r2.73	A1_RIGHT_OUTER_RING_TEXT	F67_RIGHT_WHEEL_NS	ykchey	E_GRADE_Y	CANDIDATE	E_GRADE_KURZ+Y	aktuellen Posten auf kurzer Stufe halten	Ring- oder Bandstelle A1_RIGHT_OUTER_RING_TEXT: Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest y/ey.
173	f67r2	f67r2.73	A1_RIGHT_OUTER_RING_TEXT	F67_RIGHT_WHEEL_NS	qokeochy	OPERATION_Y	YES	OPERATION_CORE+Y	Operation am aktuell gemeinten Posten	Ring- oder Bandstelle A1_RIGHT_OUTER_RING_TEXT: Diagrammposten setzen oder aktivieren; lokaler Namensrest q/eochy.
178	f67r2	f67r2.74	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	F67_PAIRED_LEGEND_QUARANTINE_NS	yshey	E_GRADE_Y	CANDIDATE	E_GRADE_KURZ+Y	aktuellen Posten auf kurzer Stufe halten	Legendenstelle A1_PAIRED_WHEEL_LEGEND_UNRESOLVED: abgelesener oder freigegebener Wert; lokaler Namensrest y.
179	f67r2	f67r2.74	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	F67_PAIRED_LEGEND_QUARANTINE_NS	qokeeody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	Legendenstelle A1_PAIRED_WHEEL_LEGEND_UNRESOLVED: Diagrammposten setzen oder aktivieren + lange oder volle Diagrammstufe; lokaler Namensrest q/ody.
182	f67r2	f67r2.74	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	F67_PAIRED_LEGEND_QUARANTINE_NS	qockhy	RELATION_Y	YES	RELATION_OR_ACTION+Y	Relation oder Handlung am aktuell gemeinten Posten	Legendenstelle A1_PAIRED_WHEEL_LEGEND_UNRESOLVED: durch Sektor, Ring oder Pruefweg fuehren; lokaler Namensrest qo/y.
185	f67r2	f67r2.74	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	F67_PAIRED_LEGEND_QUARANTINE_NS	okeeody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	Legendenstelle A1_PAIRED_WHEEL_LEGEND_UNRESOLVED: Diagrammposten setzen oder aktivieren + lange oder volle Diagrammstufe; lokaler Namensrest ody.
190	f67r2	f67r2.74	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	F67_PAIRED_LEGEND_QUARANTINE_NS	ay	EXPLICIT_CURRENT_Y	YES	LOCAL_CORE+Y	dieser aktuell gemeinte Diagrammposten	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED: aktueller Hauptwert.
191	f68r1	f68r1.1	A2_LEFT_PANEL_HEADER	F68_LEFT_PANEL_HEADER_NS	shokchy	OPERATION_Y	YES	OPERATION_CORE+Y	Operation am aktuell gemeinten Posten	Sternplatz A2_LEFT_PANEL_HEADER: Himmelsobjekt oder Eingangsbedingung + Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest s/y.
192	f68r1	f68r1.1	A2_LEFT_PANEL_HEADER	F68_LEFT_PANEL_HEADER_NS	chteey	E_GRADE_Y	CANDIDATE	E_GRADE_LANG+Y	aktuellen Posten auf langer Stufe halten	Sternplatz A2_LEFT_PANEL_HEADER: lange oder volle Diagrammstufe; lokaler Namensrest cht/y.
193	f68r1	f68r1.1	A2_LEFT_PANEL_HEADER	F68_LEFT_PANEL_HEADER_NS	choteey	E_GRADE_Y	CANDIDATE	E_GRADE_LANG+Y	aktuellen Posten auf langer Stufe halten	Sternplatz A2_LEFT_PANEL_HEADER: naechster Platz oder folgende Bedingung + lange oder volle Diagrammstufe; lokaler Namensrest ch/y.
198	f68r1	f68r1.1	A2_LEFT_PANEL_HEADER	F68_LEFT_PANEL_HEADER_NS	choctheeey	E_GRADE_Y	CANDIDATE	E_GRADE_VOLL+Y	aktuellen Posten auf voller Stufe halten	Sternplatz A2_LEFT_PANEL_HEADER: Himmelsobjekt oder Eingangsbedingung + lange oder volle Diagrammstufe; lokaler Namensrest c/cth/y.
204	f68r1	f68r1.2	A2_MIDDLE_PANEL_HEADER	F68_MIDDLE_PANEL_HEADER_NS	cheeteey	E_GRADE_Y	CANDIDATE	E_GRADE_LANG+Y	aktuellen Posten auf langer Stufe halten	Sternplatz A2_MIDDLE_PANEL_HEADER: lange oder volle Diagrammstufe + lange oder volle Diagrammstufe; lokaler Namensrest ch/t/y.
205	f68r1	f68r1.2	A2_MIDDLE_PANEL_HEADER	F68_MIDDLE_PANEL_HEADER_NS	yteody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	A2_MIDDLE_PANEL_HEADER: Phasenplatz fest eingetragen.
207	f68r1	f68r1.2	A2_MIDDLE_PANEL_HEADER	F68_MIDDLE_PANEL_HEADER_NS	cheokorchey	E_GRADE_Y	CANDIDATE	E_GRADE_KURZ+Y	aktuellen Posten auf kurzer Stufe halten	Sternplatz A2_MIDDLE_PANEL_HEADER: Diagrammposten setzen oder aktivieren + Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest che/chey.
211	f68r1	f68r1.3	A2_RIGHT_PANEL_HEADER	F68_RIGHT_PANEL_HEADER_NS	qocheey	E_GRADE_Y	CANDIDATE	E_GRADE_LANG+Y	aktuellen Posten auf langer Stufe halten	Sektorplatz A2_RIGHT_PANEL_HEADER: abgelesener oder freigegebener Wert; lokaler Namensrest qo.
219	f68r1	f68r1.5	A2_MULTIPANEL_HEADER_FRAGMENT_05	F68_MULTIPANEL_HEADER_QUARANTINE_NS	yky	EXPLICIT_CURRENT_Y	YES	LOCAL_CORE+Y	dieser aktuell gemeinte Diagrammposten	A2_MULTIPANEL_HEADER_FRAGMENT_05: aktuelles Haus.
220	f68r1	f68r1.6	A2_MULTIPANEL_HEADER_FRAGMENT_06	F68_MULTIPANEL_HEADER_QUARANTINE_NS	dary	RELATION_Y	YES	RELATION_OR_ACTION+Y	Relation oder Handlung am aktuell gemeinten Posten	Tafelkopf A2_MULTIPANEL_HEADER_FRAGMENT_06: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest d/y.
221	f68r1	f68r1.7	A2_MULTIPANEL_HEADER_FRAGMENT_07	F68_MULTIPANEL_HEADER_QUARANTINE_NS	chkchykoly	RELATION_Y	YES	RELATION_OR_ACTION+Y	Relation oder Handlung am aktuell gemeinten Posten	Tafelkopf A2_MULTIPANEL_HEADER_FRAGMENT_07: Diagrammplatz berechnen oder bearbeiten + im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest ch/yk/y.
222	f68r1	f68r1.8	A2_CENTRE_KEY_UNRESOLVED	F68_CENTRE_KEY_QUARANTINE_NS	okodaly	RELATION_Y	YES	RELATION_OR_ACTION+Y	Relation oder Handlung am aktuell gemeinten Posten	Zentrumsmarke A2_CENTRE_KEY_UNRESOLVED: Diagrammposten setzen oder aktivieren + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest od/y.
223	f68r1	f68r1.9	A2_STAR_STATION_01	F68_LOCAL_STAR_SLOT_NS	odchecthy	LOCAL_WHOLE_Y	NO	LEARNED_LOCAL_WHOLE_SIGN	gelernter lokaler Wert der sichtbaren Diagrammstelle	A2_STAR_STATION_01: feste abgeleitete Bedingung.
224	f68r1	f68r1.10	A2_STAR_STATION_02	F68_LOCAL_STAR_SLOT_NS	otcheody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	Sternplatz A2_STAR_STATION_02: naechster Platz oder folgende Bedingung; lokaler Namensrest cheody.
225	f68r1	f68r1.11	A2_STAR_STATION_03	F68_LOCAL_STAR_SLOT_NS	okoaly	RELATION_Y	YES	RELATION_OR_ACTION+Y	Relation oder Handlung am aktuell gemeinten Posten	Sternplatz A2_STAR_STATION_03: Diagrammposten setzen oder aktivieren + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest o/y.
226	f68r1	f68r1.12	A2_STAR_STATION_04	F68_LOCAL_STAR_SLOT_NS	chocfhy	LOCAL_WHOLE_Y	NO	LEARNED_LOCAL_WHOLE_SIGN	gelernter lokaler Wert der sichtbaren Diagrammstelle	Sternplatz A2_STAR_STATION_04: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest c/cfhy.
227	f68r1	f68r1.13	A2_STAR_STATION_05	F68_LOCAL_STAR_SLOT_NS	octhey	E_GRADE_Y	CANDIDATE	E_GRADE_KURZ+Y	aktuellen Posten auf kurzer Stufe halten	A2_STAR_STATION_05: ausgewählte Grundbedingung.
228	f68r1	f68r1.14	A2_STAR_STATION_06	F68_LOCAL_STAR_SLOT_NS	otshey	E_GRADE_Y	CANDIDATE	E_GRADE_KURZ+Y	aktuellen Posten auf kurzer Stufe halten	Sternplatz A2_STAR_STATION_06: naechster Platz oder folgende Bedingung + abgelesener oder freigegebener Wert.
229	f68r1	f68r1.15	A2_STAR_STATION_07	F68_LOCAL_STAR_SLOT_NS	otydy	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	Sternplatz A2_STAR_STATION_07: Teilsektor oder Untereintrag; lokaler Namensrest o/dy.
231	f68r1	f68r1.17	A2_STAR_STATION_09	F68_LOCAL_STAR_SLOT_NS	cphocthy	LOCAL_WHOLE_Y	NO	LEARNED_LOCAL_WHOLE_SIGN	gelernter lokaler Wert der sichtbaren Diagrammstelle	Sternplatz A2_STAR_STATION_09: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest cp/cthy.
232	f68r1	f68r1.18	A2_STAR_STATION_10	F68_LOCAL_STAR_SLOT_NS	ytchody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	Sternplatz A2_STAR_STATION_10: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest ytc/dy.
235	f68r1	f68r1.21	A2_STAR_STATION_13	F68_LOCAL_STAR_SLOT_NS	ockhy	RELATION_Y	YES	RELATION_OR_ACTION+Y	Relation oder Handlung am aktuell gemeinten Posten	Sternplatz A2_STAR_STATION_13: durch Sektor, Ring oder Pruefweg fuehren; lokaler Namensrest o/y.
242	f68r1	f68r1.28	A2_STAR_STATION_20	F68_LOCAL_STAR_SLOT_NS	okoldy	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	Sternplatz A2_STAR_STATION_20: Diagrammposten setzen oder aktivieren + im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest dy.
243	f68r1	f68r1.29	A2_STAR_STATION_21	F68_LOCAL_STAR_SLOT_NS	ykchdy	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	Sternplatz A2_STAR_STATION_21: Wert oder Platzbezug uebertragen; lokaler Namensrest yk/y.
244	f68r1	f68r1.30	A2_STAR_STATION_22	F68_LOCAL_STAR_SLOT_NS	oeeody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	Sternplatz A2_STAR_STATION_22: lange oder volle Diagrammstufe; lokaler Namensrest o/ody.
245	f68r1	f68r1.31	A2_STAR_STATION_23	F68_LOCAL_STAR_SLOT_NS	ocphy	LOCAL_WHOLE_Y	NO	LEARNED_LOCAL_WHOLE_SIGN	gelernter lokaler Wert der sichtbaren Diagrammstelle	A2_STAR_STATION_23: Grundauswahl.
249	f68r1	f68r1.35	A2_STAR_STATION_27	F68_LOCAL_STAR_SLOT_NS	otochedy	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	Sternplatz A2_STAR_STATION_27: naechster Platz oder folgende Bedingung + Wert oder Platzbezug uebertragen; lokaler Namensrest o/y.
250	f68r1	f68r1.36	A2_STAR_STATION_28	F68_LOCAL_STAR_SLOT_NS	dolchedy	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	Sternplatz A2_STAR_STATION_28: im selben Ring, Band oder Satz fortsetzen + Wert oder Platzbezug uebertragen; lokaler Namensrest d/y.
252	f68r1	f68r1.37	A2_CENTRAL_LEGEND_UNRESOLVED	F68_CENTRAL_LEGEND_QUARANTINE_NS	okchdy	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	Legendenstelle A2_CENTRAL_LEGEND_UNRESOLVED: Diagrammposten setzen oder aktivieren + Wert oder Platzbezug uebertragen; lokaler Namensrest y.
253	f68r1	f68r1.37	A2_CENTRAL_LEGEND_UNRESOLVED	F68_CENTRAL_LEGEND_QUARANTINE_NS	okardy	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	Legendenstelle A2_CENTRAL_LEGEND_UNRESOLVED: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest dy.
255	f68r1	f68r1.37	A2_CENTRAL_LEGEND_UNRESOLVED	F68_CENTRAL_LEGEND_QUARANTINE_NS	oygy	EXPLICIT_CURRENT_Y	YES	LOCAL_CORE+Y	dieser aktuell gemeinte Diagrammposten	A2_CENTRAL_LEGEND_UNRESOLVED: aktueller Grundgrad.
257	f69v	f69v.1	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	cheyky	EXPLICIT_CURRENT_Y	YES	LOCAL_CORE+Y	dieser aktuell gemeinte Diagrammposten	A3_LEFT_WHEEL_RING_TEXT: Ablesung dieses Hauses.
264	f69v	f69v.1	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	chetody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	A3_LEFT_WHEEL_RING_TEXT: abgeleiteter Platzwert.
267	f69v	f69v.1	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	tey	E_GRADE_Y	CANDIDATE	E_GRADE_KURZ+Y	aktuellen Posten auf kurzer Stufe halten	A3_LEFT_WHEEL_RING_TEXT: aktueller Phasenwert.
268	f69v	f69v.1	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	otokeeey	E_GRADE_Y	CANDIDATE	E_GRADE_VOLL+Y	aktuellen Posten auf voller Stufe halten	Radstelle A3_LEFT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + Diagrammposten setzen oder aktivieren + lange oder volle Diagrammstufe; lokaler Namensrest y.
269	f69v	f69v.1	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	okeeody	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	Radstelle A3_LEFT_WHEEL_RING_TEXT: Diagrammposten setzen oder aktivieren + lange oder volle Diagrammstufe; lokaler Namensrest ody.
277	f69v	f69v.1	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	okedy	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	Radstelle A3_LEFT_WHEEL_RING_TEXT: Diagrammposten setzen oder aktivieren; lokaler Namensrest edy.
278	f69v	f69v.1	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	chsdy	DY_FIXED	NO	DY_LICENSED_WHOLE_ENDING	fest eingetragener oder abgeschlossener lokaler Wert	A3_LEFT_WHEEL_RING_TEXT: sekundärer Zustand fest.
289	f69v	f69v.1	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	oty	LOCAL_WHOLE_Y	NO	LEARNED_LOCAL_WHOLE_SIGN	gelernter lokaler Wert der sichtbaren Diagrammstelle	Radstelle A3_LEFT_WHEEL_RING_TEXT: Teilsektor oder Untereintrag; lokaler Namensrest o.
