statement_id	record_unit_id	visible_owner	field_ids	frame_modes	visible_sequence	normalized_sequence	literal_card_reading	source_token_correction	previous_fluent_expansion	revised_fluent_translation_de	revision_reason
B2-S012	B2	ungelöste mittlere rechte Linie-/Liegepodeststation	F058|F059	LOW_DATA|MIXED	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	lchy cheey qcthey okeey lcheey aiin chey qokeeedy	Abführgut | Klarauszug | kurz vorbereiten | lange einwirken | Klarabzug | Sollmaß | dies | Volleinsatz; Schluss	NONE	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: Abführgut — Klarauszug — kurz vorbereiten — lange einwirken — Klarabzug — Sollmaß — dies — Volleinsatz; Schluss.	Das Abführgut als klaren Auszug kurz vorbereiten, länger einwirken lassen, klar abziehen, auf Sollmaß bringen und den aktuellen Posten vollständig einsetzen; Schluss.	VISIBLE_STATION_CELL_NORMALIZED
B2-S013	B2	unteres grünes Mehrfigurenfeld	F060	LOW_DATA	lchedy	lchedy	abführen; Schluss	NONE	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: abführen; Schluss.	In das untere grüne Mehrfigurenfeld abführen; Schluss.	VISIBLE_STATION_CELL_NORMALIZED
B2-S014	B2	unteres grünes Mehrfigurenfeld	F061	LOW_DATA	lar	lar	Quellabzug	NONE	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: Quellabzug.	Aus der Quelle abziehen.	VISIBLE_STATION_CELL_NORMALIZED
B2-S015	B2	lokale Randstationen des unteren Feldes	F062	LOW_DATA	tshey qokeedy	tshey qokeedy	Klarlauf | lange einwirken; Schluss	NONE	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Besitzer »lokale Randstationen des unteren Feldes«: Klarlauf — lange einwirken; Schluss.	An der lokalen Randstation den klaren Lauf länger einwirken lassen; Schluss.	VISIBLE_STATION_CELL_NORMALIZED
B2-S016	B2	lokale Randstationen des unteren Feldes	F063|F064	MIXED|LOW_DATA	cheal lchedar ches aiin oteey qokaiin okey pchedy	al lchedar ches aiin oteey okaiin okey pchedy	dorthin | Quellabführung | Teilen | Sollmaß | Langfolge | bemessen | kurz einwirken | Zuführung; Schluss	NONE	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: dorthin — Quellabführung — Teilen — Sollmaß — Langfolge — bemessen — kurz einwirken — Zuführung; Schluss.	Dorthin führen, aus der Quelle abführen, teilen, auf Sollmaß bringen, die lange Folge bemessen, kurz einwirken lassen und zuführen; Schluss.	VISIBLE_STATION_CELL_NORMALIZED
B2-S017	B2	lokale Randstationen des unteren Feldes	F065	LOW_DATA	rsheal daldy	rsheal daldy	Kurzhalt am Ziel | Zielschluss	NONE	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: Kurzhalt am Ziel — Zielschluss.	Am Ziel kurz halten und den Zielschritt schließen.	VISIBLE_STATION_CELL_NORMALIZED
B2-S018	B2	lokale Randstationen des unteren Feldes	F066	LOW_DATA	qokeedy	qokeedy	lange einwirken; Schluss	NONE	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: lange einwirken; Schluss.	Länger einwirken lassen; Schluss.	VISIBLE_STATION_CELL_NORMALIZED
B2-S019	B2	lokale Randstationen des unteren Feldes	F067	LOW_DATA	rshedy	rshedy	Waschschluss	NONE	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: Waschschluss.	Den Waschgang schließen.	VISIBLE_STATION_CELL_NORMALIZED
B2-S020	B2	lokale Randstationen des unteren Feldes	F068	LOW_DATA	qoteedy	qoteedy	lange Folgestufe; Schluss	NONE	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: lange Folgestufe; Schluss.	Die folgende Stufe länger halten; Schluss.	VISIBLE_STATION_CELL_NORMALIZED
B2-S021	B2	lokale Randstationen des unteren Feldes	F069	LOW_DATA	qokeedy	qokeedy	lange einwirken; Schluss	NONE	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: lange einwirken; Schluss.	Länger einwirken lassen; Schluss.	VISIBLE_STATION_CELL_NORMALIZED
B2-S022	B2	lokale Randstationen des unteren Feldes	F070	LOW_DATA	lochedy	lochedy	Abführung; Schluss	NONE	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: Abführung; Schluss.	Abführen; Schluss.	VISIBLE_STATION_CELL_NORMALIZED
