left_root	right_root	component_recipe	literal_prediction_de	status	productive_events	formula_card_events	specialist_events	local_address_events	content_events	content_surfaces	content_pages	simple_candidate_surface	candidate_surface_collision	collision_with
S	AR	S+AR	AUSWÄHLEN · QUELLE	BELEGT_ALS_GELERNTE_FORMEL	0	9	0	2	9	sar	f55v|f75r|f81v|f82r|f83r|f88r	sar	NEIN	KEINE
S	AIR	S+AIR	AUSWÄHLEN · LAUF	BELEGT_PRODUKTIV	1	0	0	0	1	sair	f83r	sair	NEIN	KEINE
S	OR	S+OR	AUSWÄHLEN · ANSATZ	BELEGT_PRODUKTIV	5	0	0	0	5	sor	f10r|f67r2|f75r|f83r	sor	NEIN	KEINE
S	CTH	S+CTH	AUSWÄHLEN · BEREIT	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	scth	NEIN	KEINE
CH	Y	CH+Y	NEHMEN · POSTEN	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	chy	JA	Y@LOCAL_ADDRESS_OR_KENNING|Y@PRODUCTIVE_ROOT_COMPOSITION
CH	AIN	CH+AIN	NEHMEN · PORTION	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	chain	NEIN	KEINE
CH	AIIN	CH+AIIN	NEHMEN · MASS	BELEGT_PRODUKTIV	4	0	0	0	4	chaiin	f10r|f11r|f55v	chaiin	NEIN	KEINE
CH	AL	CH+AL	NEHMEN · ZIEL	BELEGT_PRODUKTIV	3	0	0	0	3	chal	f56r|f75r|f81v	chal	NEIN	KEINE
CH	AR	CH+AR	NEHMEN · QUELLE	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	char	JA	AR@LOCAL_ADDRESS_OR_KENNING|AR@PRODUCTIVE_ROOT_COMPOSITION
CH	AIR	CH+AIR	NEHMEN · LAUF	BELEGT_PRODUKTIV	1	0	0	0	1	chair	f10r	chair	NEIN	KEINE
CH	OR	CH+OR	NEHMEN · ANSATZ	BELEGT_PRODUKTIV	9	0	0	0	9	chor	f10r|f13r|f56r|f88r	chor	NEIN	KEINE
CH	CTH	CH+CTH	NEHMEN · BEREIT	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	chcth	NEIN	KEINE
OL	Y	OL+Y	FORTSETZEN · POSTEN	BELEGT_ALS_GELERNTE_FORMEL	0	11	1	2	12	choly|olchey|oly|qolchey|qoly	f56r|f67r2|f75r|f81v|f82r|f83r	oly	NEIN	KEINE
OL	AIN	OL+AIN	FORTSETZEN · PORTION	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	olain	NEIN	KEINE
OL	AIIN	OL+AIIN	FORTSETZEN · MASS	BELEGT_PRODUKTIV	1	0	0	3	1	olaiin	f75r	olaiin	NEIN	KEINE
OL	AL	OL+AL	FORTSETZEN · ZIEL	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	olal	NEIN	KEINE
OL	AR	OL+AR	FORTSETZEN · QUELLE	BELEGT_PRODUKTIV	1	0	0	1	1	olar	f67r2	olar	NEIN	KEINE
OL	AIR	OL+AIR	FORTSETZEN · LAUF	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	olair	NEIN	KEINE
OL	OR	OL+OR	FORTSETZEN · ANSATZ	BELEGT_PRODUKTIV	4	0	0	1	4	cholor|olor	f10r|f75r|f81v	olor	NEIN	KEINE
OL	CTH	OL+CTH	FORTSETZEN · BEREIT	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	olcth	NEIN	KEINE
O	Y	O+Y	AUSFÜHREN · POSTEN	BELEGT_PRODUKTIV	1	0	0	1	1	qoy	f13r	oy	NEIN	KEINE
O	AIN	O+AIN	AUSFÜHREN · PORTION	BELEGT_PRODUKTIV	1	0	0	0	1	oain	f88r	oain	NEIN	KEINE
O	AIIN	O+AIIN	AUSFÜHREN · MASS	BELEGT_PRODUKTIV	2	0	0	0	2	oaiin	f55v|f67r2	oaiin	NEIN	KEINE
O	AL	O+AL	AUSFÜHREN · ZIEL	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	oal	NEIN	KEINE
O	AR	O+AR	AUSFÜHREN · QUELLE	NUR_LOKALE_ADRESSE	0	0	0	1	0	KEINE	KEINE	oar	NEIN	KEINE
O	AIR	O+AIR	AUSFÜHREN · LAUF	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	oair	NEIN	KEINE
O	OR	O+OR	AUSFÜHREN · ANSATZ	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	oor	NEIN	KEINE
O	CTH	O+CTH	AUSFÜHREN · BEREIT	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	octh	NEIN	KEINE
L	Y	L+Y	LEITEN · POSTEN	BELEGT_PRODUKTIV	4	0	1	0	5	lchey|ly	f75r|f81v|f82r	ly	NEIN	KEINE
L	AIN	L+AIN	LEITEN · PORTION	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	lain	NEIN	KEINE
L	AIIN	L+AIIN	LEITEN · MASS	BELEGT_PRODUKTIV	1	0	0	0	1	chldaiin	f83r	laiin	NEIN	KEINE
L	AL	L+AL	LEITEN · ZIEL	BELEGT_PRODUKTIV	1	0	0	0	1	lal	f83r	lal	NEIN	KEINE
L	AR	L+AR	LEITEN · QUELLE	NUR_GELERNTE_FACHKARTE	0	0	2	0	2	lar	f82r	lar	NEIN	KEINE
L	AIR	L+AIR	LEITEN · LAUF	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	lair	NEIN	KEINE
L	OR	L+OR	LEITEN · ANSATZ	BELEGT_PRODUKTIV	3	0	0	0	3	lor	f75r|f81v	lor	NEIN	KEINE
L	CTH	L+CTH	LEITEN · BEREIT	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	lcth	NEIN	KEINE
P	Y	P+Y	EINSETZEN · POSTEN	BELEGT_PRODUKTIV	1	0	0	0	1	pchey	f75r	py	NEIN	KEINE
P	AIN	P+AIN	EINSETZEN · PORTION	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	pain	NEIN	KEINE
P	AIIN	P+AIIN	EINSETZEN · MASS	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	paiin	NEIN	KEINE
P	AL	P+AL	EINSETZEN · ZIEL	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	pal	NEIN	KEINE
P	AR	P+AR	EINSETZEN · QUELLE	BELEGT_PRODUKTIV	1	0	0	0	1	par	f81v	par	NEIN	KEINE
P	AIR	P+AIR	EINSETZEN · LAUF	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	pair	NEIN	KEINE
P	OR	P+OR	EINSETZEN · ANSATZ	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	por	NEIN	KEINE
P	CTH	P+CTH	EINSETZEN · BEREIT	NICHT_BELEGT	0	0	0	0	0	KEINE	KEINE	pcth	NEIN	KEINE
