audit_id	page	locus	token_ordinal	surface	position_id	reading_id	superseded_v48_gloss_de	current_v99_context_de	final_v99r6_spoken_de	special_grade_policy_id	v48_grade_frame	current_v99_grade_frame	final_v99r6_grade_frame	component_relation_credit
G733-SX32	f77v	f77v.7	9	shdal	P284	shdal#1	feuchte abgemessene Rohstoffmenge I am Gradanfang	feuchtes, abgemessenes Material I, Anfangsstufe	feuchtes, abgemessenes Material I, Anfangsstufe	NONE	1	0	0	0
G733-SX33	f77v	f77v.7	10	chedy	P285	chedy#1	trocken in der Mitte des Grades, abgeschlossen	mittlere Trockenstufe erreicht	mittlere Trockenstufe erreicht	NONE	1	0	0	0
G733-SX34	f7r	f7r.2	7	kchey	P293	kchey#1	heiß und trocken in der Mitte des Grades	heiß-trocken, Mittelstufe	heiß-trocken, Mittelstufe	NONE	1	0	0	0
G733-SX35	f7r	f7r.2	8	otchy	P294	otchy#1	kalt-trockener Ansatz am Anfang des Grades	kalt-trockene Zubereitung, Anfangsstufe	kalt-trockene Zubereitung, Anfangsstufe	NONE	1	0	0	0
G733-SX36	f80r	f80r.17	2	sheckhy	P297	sheckhy#1	feuchtes Arzneikompositum am Gradanfang	feuchte Mischung, Anfangsstufe	feuchte Mischung, Anfangsstufe	NONE	1	0	0	0
G733-SX37	f80r	f80r.17	12	qokal	P307	qokal#1	Rohstoffklasse I, heiß am Gradanfang	Material I im heißen Anfangsansatz	Material I im heißen Anfangsansatz	NONE	1	0	0	0
G733-SX38	f80v	f80v.27	9	shal	P317	shal#1	Rohstoffklasse I, feucht am Gradanfang	feuchtes Material I, Anfangsstufe	feuchtes Material I, Anfangsstufe	NONE	1	0	0	0
G733-SX39	f83v	f83v.12	2	shckhy	P332	shckhy#V84_1	Arzneikompositum: feucht, Gradanfang	feuchte Mischung, Anfangsstufe	feuchte Mischung, Anfangsstufe	NONE	1	0	0	0
G733-SX40	f86v3	f86v3.13	9	chedy	P353	chedy#1	trocken in der Mitte des Grades, abgeschlossen	mittlere Trockenstufe erreicht	mittlere Trockenstufe erreicht	NONE	1	0	0	0
G733-SX41	f86v3	f86v3.18	3	qokchdy	P358	qokchdy#1	heiß und trocken am Anfang des Grades, abgeschlossen	heiß-trockene Anfangsstufe erreicht	heiß-trockene Anfangsstufe erreicht	NONE	1	0	0	0
G733-SX42	f86v3	f86v3.19	6	kchdy	P368	kchdy#1	heiß und trocken am Anfang des Grades, abgeschlossen	heiß-trockene Anfangsstufe erreicht	heiß-trockene Anfangsstufe erreicht	NONE	1	0	0	0
G733-SX43	f86v3	f86v3.19	8	tchdy	P370	tchdy#1	kalt und trocken am Anfang des Grades, abgeschlossen	kalt-trockene Anfangsstufe erreicht	kalt-trockene Anfangsstufe erreicht	NONE	1	0	0	0
G733-SX44	f86v5	f86v5.2	4	shy	P376	shy#1	feucht am Anfang des Grades	feucht, Anfangsstufe	feucht, Anfangsstufe	NONE	1	0	0	0
G733-SX45	f86v5	f86v5.2	8	tal	P380	tal#1	Rohstoffklasse I, kalt am Gradanfang	kaltes Material I, Anfangsstufe	kaltes Material I, Anfangsstufe	NONE	1	0	0	0
G733-SX46	f86v5	f86v5.24	6	chckhy	P390	chckhy#V84_1	Arzneikompositum: trocken, Gradanfang	trockene Mischung, Anfangsstufe	trockene Mischung, Anfangsstufe	NONE	1	0	0	0
G733-SX47	f86v6	f86v6.4	2	shdy	P427	shdy#1	feucht am Anfang des Grades, abgeschlossen	feuchte Anfangsstufe erreicht	feuchte Anfangsstufe erreicht	NONE	1	0	0	0
G733-SX48	f86v6	f86v6.4	7	shdal	P432	shdal#1	feuchte abgemessene Rohstoffmenge I am Gradanfang	feuchtes, abgemessenes Material I, Anfangsstufe	feuchtes, abgemessenes Material I, Anfangsstufe	NONE	1	0	0	0
G733-SX49	f86v6	f86v6.5	8	otshey	P446	otshey#1	kalt-feuchter Ansatz in der Mitte des Grades	kalt-feuchte Zubereitung, Mittelstufe	kalt-feuchte Zubereitung, Mittelstufe	NONE	1	0	0	0
G733-SX50	f8r	f8r.15	10	ckhy	P468	ckhy#1	Arzneikompositum am Gradanfang	Mischung, Anfangsstufe	Mischung, Anfangsstufe	NONE	1	0	0	0
G733-SX51	f95v1	f95v1.7	8	chdy	P476	chdy#1	trocken am Anfang des Grades, abgeschlossen	trockene Anfangsstufe erreicht	trockene Anfangsstufe erreicht	NONE	1	0	0	0
G733-SX52	f95v1	f95v1.7	9	kchdy	P477	kchdy#1	heiß und trocken am Anfang des Grades, abgeschlossen	heiß-trockene Anfangsstufe erreicht	heiß-trockene Anfangsstufe erreicht	NONE	1	0	0	0
